album_name,artist_name,copyright,genre,price,released,song_name,time
west coast remix ep,lana del rey,2014 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock,129,13jul14,west coast mk remix,526.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
hed kandi deep disco,lucas nord,2014 hed kandi recordsministry of sound recordings ltd,dance music,129,25jan15,wasting time hk deep disco edit,404.0
hed kandi miami 2015,dj eibhlin,2015 hed kandi recordsministry of sound recordings ltd,dance music,129,22feb15,bring me joy hk miami 2015 edit,444.0
blue jeans remixes ep,lana del rey,2012 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,1may12,blue jeans penguin prison remix,536.0
blue jeans omid 16b remixes,lana del rey,2013 alola records,dance music rock adult alternative,129,21jan13,video games omid 16b instrumental reprise,235.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
tropico single,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music,album only,6dec13,tropico,270700.0
ride remixes,lana del rey,2012 polydor ltd uk,alternative music rock,129,19nov12,ride lyla s surprise james lavelle remix,813.0
ride remixes,lana del rey,2012 polydor ltd uk,alternative music rock,129,19nov12,ride lyla s surprise james lavelle remix,813.0
blue jeans omid 16b remixes,lana del rey,2013 alola records,dance music rock adult alternative,129,21jan13,video games omid 16b instrumental reprise,235.0
blue jeans omid 16b remixes,lana del rey,2013 alola records,dance music rock adult alternative,129,21jan13,video games omid 16b instrumental reprise,235.0
blue jeans omid 16b remixes,lana del rey,2013 alola records,dance music rock adult alternative,129,21jan13,video games omid 16b instrumental reprise,235.0
blue jeans omid 16b remixes,lana del rey,2013 alola records,dance music rock adult alternative,129,21jan13,video games omid 16b instrumental reprise,235.0
blue jeans omid 16b remixes,lana del rey,2013 alola records,dance music rock adult alternative,129,21jan13,video games omid 16b instrumental reprise,235.0
blue jeans omid 16b remixes,lana del rey,2013 alola records,dance music rock adult alternative,129,21jan13,video games omid 16b instrumental reprise,235.0
miami sessions 2013 ministry of sound,kink marc romboy,2013 ministry of sound recordings limited,dance music,129,10mar13,over and out miami sessions 2013 edit instrumental mix,642.0
ibiza sessions 2013 ministry of sound,mandy,2013 ministry of sound recordings limited,dance music,129,9jun13,twisted sister ibiza sessions 2013 edit dj hell s dehousing berlin mix,453.0
hed kandi beach house 2013,lana del rey,2013 hed kandi records,dance music,129,16jun13,summertime sadness mk lee foss cold blooded remix,540.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
ibiza annual 2013 ministry of sound,discopolis,2013 ministry of sound recordings ltd,dance music,album only,2sep13,falling commited to sparkle motion ibiza annual 2013 edit axwell radio edit,305.0
tropico single,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music,album only,6dec13,tropico,270700.0
eat sleep rave repeat ministry of sound,breach,2014 ministry of sound recordings ltd,dance music,album only,10feb14,everything you never had we had it all esrr edit feat andreya triana,243.0
west coast remix ep,lana del rey,2014 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock,129,13jul14,west coast mk remix,526.0
the morning after the night before ministry of sound,jon hopkins,2014 ministry of sound recordings ltd,dance music electronic,129,28sep14,abandon window tmatnb edit,454.0
now party anthems vol 2,john legend,this compilation p 2014 umg recordings inc and sony music entertainment,pop music,album only,5aug14,all of me ti sto s birthday treatment remix radio edit,410.0
gim me shelter original soundtrack album,c line dion,2014 day twentyeight films apple llc under exclusive license to milan entertainment inc,soundtrack music,album only,11mar14,a mother s prayer,341.0
now that s what i call a workout 3,armin van buuren,2013 umg recordings inc and sony music entertainment,fitness workout music,album only,17dec13,this is what it feels like feat trevor guthrie,323.0
defected presents house masters mk second edition,kelsey,2013 defected records limited,dance music,129,15nov13,boy mk deep dub,708.0
soul music,special request,2013 houndstooth,dance music electronic rock jungledrum n bass,129,21oct13,deflowered hieroglyphic being remix,656.0
edm euphoria 2013,wideboys,2013 euphoria,dance music,129,16sep13,addicted 2 the bass edm euphoria 2013 edit daahype s trap vip,311.0
pump it up ultimate dance workout ministry of sound,tritonal,2013 ministry of sound recordings ltd,fitness workout music,129,8sep13,bullet that saved me pump it up edit feat underdown festival mix,350.0
chilled house ibiza 2013 ministry of sound,clarian guy gerber,2013 ministry of sound recordings limited,dance music,129,21jul13,claire,659.0
running trax summer 2013 ministry of sound,jessie ware,2013 ministry of sound recordings limited,fitness workout music pop,129,8jul13,night light running trax summer 60 min mix joe goddard remix,531.0
chapter one,rac,2012 rac records,electronic music dance,album only,6nov12,rac radio continuous dj mix,10140.0
hed kandi nu disco,candi staton,2012 hed kandi records,dance music,album only,23sep12,hallelujah anyway larse vocal edit,303.0
video games remixes ep,lana del rey,2012 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,099,28feb12,video games we don t belong in pacha remix,519.0
video games remixes ep,lana del rey,2012 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,099,28feb12,video games we don t belong in pacha remix,519.0
video games remixes ep,lana del rey,2012 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,099,28feb12,video games we don t belong in pacha remix,519.0
blue jeans remixes ep,lana del rey,2012 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,1may12,blue jeans penguin prison remix,536.0
the chillout session ministry of sound,wretch 32,2012 ministry of sound recordings limited,pop music,129,2sep12,don t go feat josh kumra,357.0
ride remixes,lana del rey,2012 polydor ltd uk,alternative music rock,129,19nov12,ride lyla s surprise james lavelle remix,813.0
ride remixes,lana del rey,2012 polydor ltd uk,alternative music rock,129,19nov12,ride lyla s surprise james lavelle remix,813.0
ride remixes,lana del rey,2012 polydor ltd uk,alternative music rock,129,19nov12,ride lyla s surprise james lavelle remix,813.0
maleficent original motion picture soundtrack,lana del rey,2014 walt disney records,soundtrack music,129,27may14,once upon a dream,320.0
revival deluxe,selena gomez,2015 interscope records,pop music rock,album only,,perfect,402.0
revival deluxe,selena gomez,2015 interscope records,pop music rock,album only,,perfect,402.0
revival deluxe,selena gomez,2015 interscope records,pop music rock,album only,,perfect,402.0
revival deluxe,selena gomez,2015 interscope records,pop music rock,album only,,perfect,402.0
revival deluxe,selena gomez,2015 interscope records,pop music rock,album only,,perfect,402.0
revival deluxe,selena gomez,2015 interscope records,pop music rock,album only,,perfect,402.0
revival deluxe,selena gomez,2015 interscope records,pop music rock,album only,,perfect,402.0
revival deluxe,selena gomez,2015 interscope records,pop music rock,album only,,perfect,402.0
revival deluxe,selena gomez,2015 interscope records,pop music rock,album only,,perfect,402.0
revival deluxe,selena gomez,2015 interscope records,pop music rock,album only,,perfect,402.0
revival,selena gomez,2015 interscope records,pop music rock,album only,,rise,303.0
revival,selena gomez,2015 interscope records,pop music rock,album only,,rise,303.0
revival,selena gomez,2015 interscope records,pop music rock,album only,,rise,303.0
revival,selena gomez,2015 interscope records,pop music rock,album only,,rise,303.0
revival,selena gomez,2015 interscope records,pop music rock,album only,,rise,303.0
revival,selena gomez,2015 interscope records,pop music rock,album only,,rise,303.0
revival,selena gomez,2015 interscope records,pop music rock,album only,,rise,303.0
revival,selena gomez,2015 interscope records,pop music rock,album only,,rise,303.0
revival,selena gomez,2015 interscope records,pop music rock,album only,,rise,303.0
now that s what i call a workout 3,armin van buuren,2013 umg recordings inc and sony music entertainment,fitness workout music,album only,17dec13,this is what it feels like feat trevor guthrie,323.0
vhs,x ambassadors,2015 kidinakornerinterscope records,alternative music rock adult alternative,129,30jun15,vhs outro interlude,125.0
vhs,x ambassadors,2015 kidinakornerinterscope records,alternative music rock adult alternative,129,30jun15,vhs outro interlude,125.0
vhs,x ambassadors,2015 kidinakornerinterscope records,alternative music rock adult alternative,129,30jun15,vhs outro interlude,125.0
vhs,x ambassadors,2015 kidinakornerinterscope records,alternative music rock adult alternative,129,30jun15,vhs outro interlude,125.0
vhs,x ambassadors,2015 kidinakornerinterscope records,alternative music rock adult alternative,129,30jun15,vhs outro interlude,125.0
vhs,x ambassadors,2015 kidinakornerinterscope records,alternative music rock adult alternative,129,30jun15,vhs outro interlude,125.0
chilled house session 2014 ministry of sound,good guy mikesh,2014 ministry of sound recordings ltd,dance music,129,16feb14,place of love feat filburt mp edit,542.0
ibiza annual 2013 ministry of sound,discopolis,2013 ministry of sound recordings ltd,dance music,album only,2sep13,falling commited to sparkle motion ibiza annual 2013 edit axwell radio edit,305.0
addicted to bass winter 2013 ministry of sound,friend within,2013 ministry of sound recordings ltd,dance music,album only,30sep13,the renegade addicted to bass winter 2013 edit,218.0
never be your woman naughty boy presents feat emeli sand ep,wiley naughty boy,2010 the copyright in this sound recording is owned by virgin records ltd,dance music,129,26feb10,never be your woman solo uk loves garage remix feat emeli sand,402.0
never be your woman naughty boy presents feat emeli sand ep,wiley naughty boy,2010 the copyright in this sound recording is owned by virgin records ltd,dance music,129,26feb10,never be your woman solo uk loves garage remix feat emeli sand,402.0
never be your woman naughty boy presents feat emeli sand ep,wiley naughty boy,2010 the copyright in this sound recording is owned by virgin records ltd,dance music,129,26feb10,never be your woman solo uk loves garage remix feat emeli sand,402.0
never be your woman naughty boy presents feat emeli sand ep,wiley naughty boy,2010 the copyright in this sound recording is owned by virgin records ltd,dance music,129,26feb10,never be your woman solo uk loves garage remix feat emeli sand,402.0
never be your woman naughty boy presents feat emeli sand ep,wiley naughty boy,2010 the copyright in this sound recording is owned by virgin records ltd,dance music,129,26feb10,never be your woman solo uk loves garage remix feat emeli sand,402.0
our version of events deluxe edition,emeli sand rick smith,2013 virgin records ltd,pop music rock singersongwriter contemporary singersongwriter adult contemporary,129,8oct13,here it comes,740.0
vampire academy music from the motion picture,goldfrapp,2014 universal music enterprises a division of umg recordings inc,soundtrack music,album only,4feb14,felt mountain,414.0
eat sleep rave repeat ministry of sound,breach,2014 ministry of sound recordings ltd,dance music,album only,10feb14,everything you never had we had it all esrr edit feat andreya triana,243.0
rb mixtape ministry of sound,flume chet faker,2014 ministry of sound recordings ltd,rb soul music,album only,23mar14,drop the game rb mixtape edit,342.0
dada life presents welcome to dada land,dada life,2015 so bleeped ab,electronic music,129,3mar15,kick out the epic m r dada life 2015 epic remix,248.0
strictly the best vol 51,konshens,2014 vp music group inc,reggae music,129,25nov14,gal a bubble,331.0
eat sleep rave repeat ministry of sound,breach,2014 ministry of sound recordings ltd,dance music,album only,10feb14,everything you never had we had it all esrr edit feat andreya triana,243.0
reggae gold 2013,bounty killer,2013 vp music group inc,reggae music,099,23jul13,smoke the herb,306.0
radio disney music awards,olly murs,2015 walt disney records,pop music,album only,21apr15,wrapped up live,301.0
the duff original motion picture soundtrack,the chainsmokers,2015 2015 island records a division of umg recordings inc 1755 broadway new york new york 10019 motion picture photos,soundtrack music,album only,17feb15,selfie,304.0
who i am,nick jonas the administration,2010 jonas enterprises,rock music pop teen pop poprock,099,2feb10,stronger back on the ground,454.0
who i am,nick jonas the administration,2010 jonas enterprises,rock music pop teen pop poprock,099,2feb10,stronger back on the ground,454.0
who i am,nick jonas the administration,2010 jonas enterprises,rock music pop teen pop poprock,099,2feb10,stronger back on the ground,454.0
who i am,nick jonas the administration,2010 jonas enterprises,rock music pop teen pop poprock,099,2feb10,stronger back on the ground,454.0
ultra dance 16,carnage,2015 ultra records llc,dance music electronic,129,24feb15,bricks feat migos,423.0
x deluxe edition,ed sheeran,2014 asylum records uk a warner music uk company except track 16 2013 warner bros entertainment inc and metrogoldwynmayer pictures inc,singersongwriter music,album only,20jun14,i see fire,459.0
now 45,capital cities,compilation 2013 now joint venture all rights reserved unauthorized reproduction is a violation of applicable laws manufactured by capitol catalog 1750 north vine street hollywood ca 90028,pop music,album only,5feb13,safe and sound now what s next bonus track,312.0
itunes festival london 2012 ep,ed sheeran,2012 warner music uk limited,singersongwriter music,199,3sep12,the a team live,501.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music poprock dance rock teen pop,129,9jan15,lips are movin,301.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music poprock dance rock teen pop,129,9jan15,lips are movin,301.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music poprock dance rock teen pop,129,9jan15,lips are movin,301.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music poprock dance rock teen pop,129,9jan15,lips are movin,301.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
disney channel playlist,the cheetah girls,2009 walt disney records,children s music music,129,9jun09,dance me if you can,330.0
another cinderella story feat selena gomez ep,selena gomez,2009 razor and tie,pop music soundtrack,199,16jun09,new classic,330.0
stars dance,selena gomez,2013 hollywood records inc,pop music dance house electronic rock teen pop,129,23jul13,music feels better bonus track,310.0
stars dance,selena gomez,2013 hollywood records inc,pop music dance house electronic rock teen pop,129,23jul13,music feels better bonus track,310.0
for you,selena gomez,2014 hollywood records inc,pop music teen pop dance rock,199,24nov14,the heart wants what it wants official video,435.0
wizards of waverly place songs from and inspired by the tv series movie,selena gomez,2009 disney,soundtrack music tv soundtrack children s music,129,4aug09,everything is not as it seems series theme song,50.0
shake it up single,selena gomez,2011 walt disney records,pop music teen pop soundtrack soundtrack,129,15feb11,shake it up,300.0
tell me something i do nt know single,selena gomez,2009 razor and tie,pop music,129,5aug08,tell me something i do nt know,321.0
stars dance,selena gomez,2013 hollywood records inc,pop music dance house electronic rock teen pop,129,23jul13,music feels better bonus track,310.0
stars dance,selena gomez,2013 hollywood records inc,pop music dance house electronic rock teen pop,129,23jul13,music feels better bonus track,310.0
for you,selena gomez,2014 hollywood records inc,pop music teen pop dance rock,199,24nov14,the heart wants what it wants official video,435.0
stars dance,selena gomez,2013 hollywood records inc,pop music dance house electronic rock teen pop,129,23jul13,music feels better bonus track,310.0
tinker bell songs from and inspired by disney fairies,joel mcneely,2008 walt disney records,children s music music soundtrack,129,14oct08,end credit score suite,718.0
revival,selena gomez,2015 interscope records,pop music rock,album only,,rise,303.0
for you,selena gomez,2014 hollywood records inc,pop music teen pop dance rock,199,24nov14,the heart wants what it wants official video,435.0
for you,selena gomez,2014 hollywood records inc,pop music teen pop dance rock,199,24nov14,the heart wants what it wants official video,435.0
radio disney music awards,olly murs,2015 walt disney records,pop music,album only,21apr15,wrapped up live,301.0
wizards of waverly place songs from and inspired by the tv series movie,selena gomez,2009 disney,soundtrack music tv soundtrack children s music,129,4aug09,everything is not as it seems series theme song,50.0
tinker bell and the lost treasure soundtrack from the motion picture,selena gomez,2009 walt disney records,children s music music,129,22sep09,fly to your heart,313.0
another cinderella story original motion picture soundtrack,selena gomez drew seeley,2008 razor tie direct,soundtrack music pop,129,1jan08,new classic acoustic version,241.0
another cinderella story original motion picture soundtrack,selena gomez drew seeley,2008 razor tie direct,soundtrack music pop,129,1jan08,new classic acoustic version,241.0
shake it up break it down deluxe edition soundtrack from the tv series,rosero mccoy,2011 walt disney records,soundtrack music,album only,12jul11,shake it up,1155.0
stars dance,selena gomez,2013 hollywood records inc,pop music dance house electronic rock teen pop,129,23jul13,music feels better bonus track,310.0
another cinderella story feat selena gomez ep,selena gomez,2009 razor and tie,pop music soundtrack,199,16jun09,new classic,330.0
wizards of waverly place songs from and inspired by the tv series movie,selena gomez,2009 disney,soundtrack music tv soundtrack children s music,129,4aug09,everything is not as it seems series theme song,50.0
disney fairies faith trust and pixie dust,tiffany thornton,2012 walt disney records,soundtrack music children s music,129,16oct12,magic mirror,336.0
stars dance,selena gomez,2013 hollywood records inc,pop music dance house electronic rock teen pop,129,23jul13,music feels better bonus track,310.0
stars dance,selena gomez,2013 hollywood records inc,pop music dance house electronic rock teen pop,129,23jul13,music feels better bonus track,310.0
another cinderella story original motion picture soundtrack,selena gomez drew seeley,2008 razor tie direct,soundtrack music pop,129,1jan08,new classic acoustic version,241.0
another cinderella story original motion picture soundtrack,selena gomez drew seeley,2008 razor tie direct,soundtrack music pop,129,1jan08,new classic acoustic version,241.0
come get it remixes,selena gomez,2013 hollywood records inc,dance music electronic rock,129,28may13,come get it dave aud club remix,611.0
stars dance,selena gomez,2013 hollywood records inc,pop music dance house electronic rock teen pop,129,23jul13,music feels better bonus track,310.0
stars dance,selena gomez,2013 hollywood records inc,pop music dance house electronic rock teen pop,129,23jul13,music feels better bonus track,310.0
for you,selena gomez,2014 hollywood records inc,pop music teen pop dance rock,199,24nov14,the heart wants what it wants official video,435.0
come get it remixes,selena gomez,2013 hollywood records inc,dance music electronic rock,129,28may13,come get it dave aud club remix,611.0
good for you feat a ap rocky remixes single,selena gomez,2015 interscope records,pop music,129,4sep15,good for you feat a ap rocky kasbo remix,341.0
disney girlz rock 2,hilary duff,2008 walt disney recordshollywood records inc,children s music music,129,9sep08,with love,301.0
disney channel playlist,the cheetah girls,2009 walt disney records,children s music music,129,9jun09,dance me if you can,330.0
another cinderella story feat selena gomez ep,selena gomez,2009 razor and tie,pop music soundtrack,199,16jun09,new classic,330.0
wizards of waverly place songs from and inspired by the tv series movie,selena gomez,2009 disney,soundtrack music tv soundtrack children s music,129,4aug09,everything is not as it seems series theme song,50.0
another cinderella story original motion picture soundtrack,selena gomez drew seeley,2008 razor tie direct,soundtrack music pop,129,1jan08,new classic acoustic version,241.0
disneymania 7,debby ryan,2010 walt disney records,children s music music,129,9mar10,hakuna matata,320.0
ultra weekend 6,kaskade seamus haji,2010 ultra records inc,dance music electronic,129,25may10,so far away with haley,648.0
shake it up break it down soundtrack from the tv series,windy wagner,2011 walt disney records,soundtrack music,129,12jul11,bling bling,236.0
shake it up i 3 dance music from the tv series,bridgit mendler,2013 walt disney records,soundtrack music soundtrack pop,129,5mar13,we re dancing alex ghenea 30 remix,321.0
come get it remixes,selena gomez,2013 hollywood records inc,dance music electronic rock,129,28may13,come get it dave aud club remix,611.0
come get it remixes,selena gomez,2013 hollywood records inc,dance music electronic rock,129,28may13,come get it dave aud club remix,611.0
come get it remixes,selena gomez,2013 hollywood records inc,dance music electronic rock,129,28may13,come get it dave aud club remix,611.0
come get it remixes,selena gomez,2013 hollywood records inc,dance music electronic rock,129,28may13,come get it dave aud club remix,611.0
slow down remixes,selena gomez,2013 hollywood records inc,dance music reggae rock electronic,129,20aug13,slow down smash mode remix,521.0
slow down remixes,selena gomez,2013 hollywood records inc,dance music reggae rock electronic,129,20aug13,slow down smash mode remix,521.0
slow down remixes,selena gomez,2013 hollywood records inc,dance music reggae rock electronic,129,20aug13,slow down smash mode remix,521.0
slow down remixes,selena gomez,2013 hollywood records inc,dance music reggae rock electronic,129,20aug13,slow down smash mode remix,521.0
slow down remixes,selena gomez,2013 hollywood records inc,dance music reggae rock electronic,129,20aug13,slow down smash mode remix,521.0
slow down reggae remixes single,selena gomez,2013 hollywood records inc,reggae music electronic dance rock,129,20aug13,slow down sure shot rockers reggae dub remix,315.0
slow down reggae remixes single,selena gomez,2013 hollywood records inc,reggae music electronic dance rock,129,20aug13,slow down sure shot rockers reggae dub remix,315.0
slow down reggae remixes single,selena gomez,2013 hollywood records inc,reggae music electronic dance rock,129,20aug13,slow down sure shot rockers reggae dub remix,315.0
disney classics,bruce healey barnette ricci,2013 walt disney records,soundtrack music,129,12nov13,finale,330.0
stars dance,selena gomez,2013 hollywood records inc,pop music dance house electronic rock teen pop,129,23jul13,music feels better bonus track,310.0
good for you feat a ap rocky remixes single,selena gomez,2015 interscope records,pop music,129,4sep15,good for you feat a ap rocky kasbo remix,341.0
