id,iso_code_2t,iso_code_2b,iso_code_1,name,frequency,iso_code_3
532,,,,Aneme Wake,0,aby
533,,,,Abui,0,abz
534,,,,Achagua,0,aca
535,,,,Áncá,0,acb
536,,,,Gikyode,0,acd
3,ace,ace,,Achinese,1,ace
537,,,,Saint Lucian Creole French,0,acf
4,ach,ach,,Acoli,1,ach
538,,,,Aka-Cari,0,aci
539,,,,Aka-Kora,0,ack
540,,,,Akar-Bale,0,acl
541,,,,Mesopotamian Arabic,0,acm
131,fin,fin,fi,Finnish,2,fin
134,fra,fre,fr,French,2,fra
195,ita,ita,it,Italian,2,ita
198,jpn,jpn,ja,Japanese,2,jpn
284,mul,mul,,[Multiple languages],2,mul
113,nld,dut,nl,Dutch,2,nld
309,nor,nor,no,Norwegian,2,nor
542,,,,Achang,0,acn
543,,,,Eastern Acipa,0,acp
544,,,,Ta'izzi-Adeni Arabic,0,acq
545,,,,Achi,0,acr
546,,,,Acroá,0,acs
547,,,,Achterhoeks,0,act
548,,,,Achuar-Shiwiar,0,acu
549,,,,Achumawi,0,acv
550,,,,Hijazi Arabic,0,acw
551,,,,Omani Arabic,0,acx
552,,,,Cypriot Arabic,0,acy
553,,,,Acheron,0,acz
5,ada,ada,,Adangme,1,ada
554,,,,Adabe,0,adb
555,,,,Dzodinka,0,add
556,,,,Adele,0,ade
557,,,,Dhofari Arabic,0,adf
558,,,,Andegerebinha,0,adg
559,,,,Adhola,0,adh
560,,,,Adi,0,adi
561,,,,Adioukrou,0,adj
562,,,,Galo,0,adl
563,,,,Adang,0,adn
564,,,,Abu,0,ado
565,,,,Adap,0,adp
566,,,,Adangbe,0,adq
567,,,,Adonara,0,adr
568,,,,Adamorobe Sign Language,0,ads
569,,,,Adnyamathanha,0,adt
570,,,,Aduge,0,adu
473,ain,ain,,Ainu,1,ain
159,ell,gre,el,Greek,2,ell
120,eng,eng,en,English,2,eng
10,aka,aka,ak,Akan,1,aka
673,,,,Batak Angkola,0,akb
674,,,,Mpur,0,akc
675,,,,Ukpet-Ehom,0,akd
676,,,,Akawaio,0,ake
677,,,,Akpa,0,akf
678,,,,Anakalangu,0,akg
679,,,,Angal Heneng,0,akh
680,,,,Aiome,0,aki
571,,,,Amundava,0,adw
572,,,,Amdo Tibetan,0,adx
6,ady,ady,,Adyghe,1,ady
573,,,,Adzera,0,adz
574,,,,Areba,0,aea
575,,,,Tunisian Arabic,0,aeb
576,,,,Saidi Arabic,0,aec
577,,,,Argentine Sign Language,0,aed
578,,,,Northeast Pashayi,0,aee
579,,,,Haeke,0,aek
580,,,,Ambele,0,ael
581,,,,Arem,0,aem
582,,,,Armenian Sign Language,0,aen
583,,,,Aer,0,aeq
584,,,,Eastern Arrernte,0,aer
585,,,,Alsea,0,aes
586,,,,Akeu,0,aeu
587,,,,Ambakich,0,aew
588,,,,Amele,0,aey
589,,,,Aeka,0,aez
590,,,,Gulf Arabic,0,afb
591,,,,Andai,0,afd
592,,,,Putukwam,0,afe
593,,,,Afghan Sign Language,0,afg
8,afh,afh,,Afrihili,1,afh
594,,,,Akrukay,0,afi
595,,,,Nanubae,0,afk
596,,,,Defaka,0,afn
597,,,,Eloyi,0,afo
598,,,,Tapei,0,afp
9,afr,afr,af,Afrikaans,1,afr
599,,,,Afro-Seminole Creole,0,afs
600,,,,Afitti,0,aft
601,,,,Awutu,0,afu
602,,,,Obokuitai,0,afz
603,,,,Aguano,0,aga
604,,,,Legbo,0,agb
605,,,,Agatu,0,agc
606,,,,Agarabi,0,agd
607,,,,Angal,0,age
608,,,,Arguni,0,agf
609,,,,Angor,0,agg
610,,,,Ngelima,0,agh
611,,,,Agariya,0,agi
612,,,,Argobba,0,agj
613,,,,Isarog Agta,0,agk
614,,,,Fembe,0,agl
615,,,,Angaataha,0,agm
616,,,,Agutaynen,0,agn
617,,,,Tainae,0,ago
618,,,,Aghem,0,agq
619,,,,Aguaruna,0,agr
620,,,,Esimbi,0,ags
621,,,,Central Cagayan Agta,0,agt
622,,,,Aguacateco,0,agu
623,,,,Remontado Dumagat,0,agv
624,,,,Kahua,0,agw
625,,,,Aghul,0,agx
626,,,,Southern Alta,0,agy
627,,,,Mt. Iriga Agta,0,agz
628,,,,Ahanta,0,aha
629,,,,Axamb,0,ahb
630,,,,Qimant,0,ahg
631,,,,Aghu,0,ahh
632,,,,Tiagbamrin Aizi,0,ahi
633,,,,Akha,0,ahk
634,,,,Igo,0,ahl
635,,,,Mobumrin Aizi,0,ahm
636,,,,Àhàn,0,ahn
637,,,,Ahom,0,aho
638,,,,Aproumu Aizi,0,ahp
639,,,,Ahirani,0,ahr
640,,,,Ashe,0,ahs
641,,,,Ahtena,0,aht
642,,,,Arosi,0,aia
643,,,,Ainu (China),0,aib
644,,,,Ainbai,0,aic
645,,,,Alngith,0,aid
646,,,,Amara,0,aie
647,,,,Agi,0,aif
648,,,,Antigua and Barbuda Creole English,0,aig
649,,,,Ai-Cham,0,aih
650,,,,Assyrian Neo-Aramaic,0,aii
651,,,,Lishanid Noshan,0,aij
652,,,,Ake,0,aik
653,,,,Aimele,0,ail
654,,,,Aimol,0,aim
681,,,,Aka-Jeru,0,akj
11,akk,akk,,Akkadian,0,akk
682,,,,Aklanon,0,akl
655,,,,Aiton,0,aio
656,,,,Burumakok,0,aip
657,,,,Aimaq,0,aiq
658,,,,Airoran,0,air
659,,,,Nataoran Amis,0,ais
660,,,,Arikem,0,ait
661,,,,Aari,0,aiw
662,,,,Aighon,0,aix
663,,,,Ali,0,aiy
664,,,,Aja (Sudan),0,aja
665,,,,Aja (Benin),0,ajg
666,,,,Ajië,0,aji
667,,,,Andajin,0,ajn
668,,,,South Levantine Arabic,0,ajp
669,,,,Judeo-Tunisian Arabic,0,ajt
670,,,,Judeo-Moroccan Arabic,0,aju
671,,,,Ajawa,0,ajw
672,,,,Amri Karbi,0,ajz
683,,,,Aka-Bo,0,akm
684,,,,Akurio,0,ako
685,,,,Siwu,0,akp
686,,,,Ak,0,akq
687,,,,Araki,0,akr
688,,,,Akaselem,0,aks
689,,,,Akolet,0,akt
690,,,,Akum,0,aku
691,,,,Akhvakh,0,akv
692,,,,Akwa,0,akw
693,,,,Aka-Kede,0,akx
694,,,,Aka-Kol,0,aky
695,,,,Alabama,0,akz
696,,,,Alago,0,ala
697,,,,Qawasqar,0,alc
698,,,,Alladian,0,ald
13,ale,ale,,Aleut,1,ale
699,,,,Alege,0,alf
700,,,,Alawa,0,alh
701,,,,Amaimon,0,ali
702,,,,Alangan,0,alj
703,,,,Alak,0,alk
704,,,,Allar,0,all
705,,,,Amblong,0,alm
706,,,,Gheg Albanian,0,aln
707,,,,Larike-Wakasihu,0,alo
708,,,,Alune,0,alp
709,,,,Algonquin,0,alq
710,,,,Alutor,0,alr
711,,,,Tosk Albanian,0,als
474,alt,alt,,Southern Altai,1,alt
712,,,,'Are'are,0,alu
713,,,,Alaba-K’abeena,0,alw
714,,,,Amol,0,alx
715,,,,Alyawarr,0,aly
716,,,,Alur,0,alz
717,,,,Amanayé,0,ama
718,,,,Ambo,0,amb
719,,,,Amahuaca,0,amc
720,,,,Yanesha',0,ame
721,,,,Hamer-Banna,0,amf
722,,,,Amurdak,0,amg
15,amh,amh,am,Amharic,1,amh
723,,,,Amis,0,ami
724,,,,Amdang,0,amj
725,,,,Ambai,0,amk
726,,,,War-Jaintia,0,aml
727,,,,Ama (Papua New Guinea),0,amm
728,,,,Amanab,0,amn
729,,,,Amo,0,amo
730,,,,Alamblak,0,amp
731,,,,Amahai,0,amq
732,,,,Amarakaeri,0,amr
733,,,,Southern Amami-Oshima,0,ams
734,,,,Amto,0,amt
735,,,,Guerrero Amuzgo,0,amu
736,,,,Ambelau,0,amv
737,,,,Western Neo-Aramaic,0,amw
738,,,,Anmatyerre,0,amx
739,,,,Ami,0,amy
740,,,,Atampaya,0,amz
741,,,,Andaqui,0,ana
742,,,,Andoa,0,anb
743,,,,Ngas,0,anc
744,,,,Ansus,0,and
745,,,,Xârâcùù,0,ane
746,,,,Animere,0,anf
747,,,,Nend,0,anh
748,,,,Andi,0,ani
749,,,,Anor,0,anj
750,,,,Goemai,0,ank
751,,,,Anu-Hkongso Chin,0,anl
752,,,,Anal,0,anm
753,,,,Obolo,0,ann
754,,,,Andoque,0,ano
475,anp,anp,,Angika,1,anp
755,,,,Jarawa (India),0,anq
756,,,,Andh,0,anr
757,,,,Anserma,0,ans
758,,,,Antakarinya,0,ant
759,,,,Anuak,0,anu
760,,,,Denya,0,anv
761,,,,Anaang,0,anw
762,,,,Andra-Hus,0,anx
763,,,,Anyin,0,any
764,,,,Anem,0,anz
765,,,,Angolar,0,aoa
766,,,,Abom,0,aob
767,,,,Pemon,0,aoc
768,,,,Andarum,0,aod
769,,,,Angal Enen,0,aoe
770,,,,Bragat,0,aof
771,,,,Angoram,0,aog
772,,,,Arma,0,aoh
773,,,,Anindilyakwa,0,aoi
774,,,,Mufian,0,aoj
775,,,,Arhö,0,aok
776,,,,Alor,0,aol
777,,,,Ömie,0,aom
778,,,,Bumbita Arapesh,0,aon
779,,,,Aore,0,aor
780,,,,Taikat,0,aos
781,,,,A'tong,0,aot
782,,,,A'ou,0,aou
783,,,,Atorada,0,aox
784,,,,Uab Meto,0,aoz
785,,,,Sa'a,0,apb
786,,,,North Levantine Arabic,0,apc
787,,,,Sudanese Arabic,0,apd
788,,,,Bukiyip,0,ape
789,,,,Pahanan Agta,0,apf
790,,,,Ampanang,0,apg
791,,,,Athpariya,0,aph
792,,,,Apiaká,0,api
793,,,,Jicarilla Apache,0,apj
794,,,,Kiowa Apache,0,apk
795,,,,Lipan Apache,0,apl
796,,,,Mescalero-Chiricahua Apache,0,apm
797,,,,Apinayé,0,apn
798,,,,Ambul,0,apo
799,,,,Apma,0,app
800,,,,A-Pucikwar,0,apq
801,,,,Arop-Lokep,0,apr
802,,,,Arop-Sissano,0,aps
803,,,,Apatani,0,apt
804,,,,Apurinã,0,apu
805,,,,Alapmunte,0,apv
806,,,,Western Apache,0,apw
807,,,,Aputai,0,apx
808,,,,Apalaí,0,apy
809,,,,Safeyoka,0,apz
810,,,,Archi,0,aqc
811,,,,Ampari Dogon,0,aqd
812,,,,Arigidi,0,aqg
813,,,,Atohwaim,0,aqm
814,,,,Northern Alta,0,aqn
815,,,,Atakapa,0,aqp
816,,,,Arhâ,0,aqr
817,,,,Akuntsu,0,aqz
818,,,,Standard Arabic,0,arb
19,arc,arc,,Official Aramaic (700-300 BCE),0,arc
819,,,,Arabana,0,ard
820,,,,Western Arrarnta,0,are
20,arg,arg,an,Aragonese,1,arg
821,,,,Arhuaco,0,arh
822,,,,Arikara,0,ari
823,,,,Arapaso,0,arj
824,,,,Arikapú,0,ark
825,,,,Arabela,0,arl
22,arn,arn,,Mapudungun,1,arn
826,,,,Araona,0,aro
23,arp,arp,,Arapaho,1,arp
827,,,,Algerian Arabic,0,arq
828,,,,Karo (Brazil),0,arr
829,,,,Najdi Arabic,0,ars
830,,,,Aruá (Amazonas State),0,aru
16,ang,ang,,"English, Old (ca.450-1100)",1,ang
831,,,,Arbore,0,arv
25,arw,arw,,Arawak,1,arw
832,,,,Aruá (Rodonia State),0,arx
833,,,,Moroccan Arabic,0,ary
834,,,,Egyptian Arabic,0,arz
835,,,,Asu (Tanzania),0,asa
836,,,,Assiniboine,0,asb
837,,,,Casuarina Coast Asmat,0,asc
838,,,,Asas,0,asd
839,,,,American Sign Language,0,ase
840,,,,Australian Sign Language,0,asf
841,,,,Cishingini,0,asg
842,,,,Abishira,0,ash
843,,,,Buruwai,0,asi
844,,,,Nsari,0,asj
845,,,,Ashkun,0,ask
846,,,,Asilulu,0,asl
26,asm,asm,as,Assamese,1,asm
847,,,,Xingú Asuriní,0,asn
848,,,,Dano,0,aso
849,,,,Algerian Sign Language,0,asp
850,,,,Austrian Sign Language,0,asq
851,,,,Asuri,0,asr
852,,,,Ipulo,0,ass
27,ast,ast,,Asturian,1,ast
853,,,,Tocantins Asurini,0,asu
854,,,,Asoa,0,asv
855,,,,Australian Aborigines Sign Language,0,asw
856,,,,Muratayak,0,asx
857,,,,Yaosakor Asmat,0,asy
858,,,,As,0,asz
859,,,,Pele-Ata,0,ata
860,,,,Zaiwa,0,atb
861,,,,Atsahuaca,0,atc
862,,,,Ata Manobo,0,atd
863,,,,Atemble,0,ate
864,,,,Ivbie North-Okpela-Arhe,0,atg
865,,,,Attié,0,ati
866,,,,Atikamekw,0,atj
867,,,,Ati,0,atk
868,,,,Mt. Iraya Agta,0,atl
869,,,,Ata,0,atm
870,,,,Ashtiani,0,atn
871,,,,Atong,0,ato
872,,,,Pudtol Atta,0,atp
873,,,,Aralle-Tabulahan,0,atq
874,,,,Waimiri-Atroari,0,atr
875,,,,Gros Ventre,0,ats
876,,,,Pamplona Atta,0,att
877,,,,Reel,0,atu
878,,,,Northern Altai,0,atv
879,,,,Atsugewi,0,atw
880,,,,Arutani,0,atx
881,,,,Aneityum,0,aty
882,,,,Arta,0,atz
883,,,,Asumboa,0,aua
884,,,,Alugu,0,aub
885,,,,Waorani,0,auc
886,,,,Anuta,0,aud
887,,,,=/Kx'au//'ein,0,aue
888,,,,Aguna,0,aug
889,,,,Aushi,0,auh
890,,,,Anuki,0,aui
891,,,,Awjilah,0,auj
892,,,,Heyo,0,auk
893,,,,Aulua,0,aul
894,,,,Asu (Nigeria),0,aum
895,,,,Molmo One,0,aun
896,,,,Auyokawa,0,auo
897,,,,Makayam,0,aup
898,,,,Anus,0,auq
899,,,,Aruek,0,aur
900,,,,Austral,0,aut
901,,,,Auye,0,auu
902,,,,Awyi,0,auw
903,,,,Aurá,0,aux
904,,,,Awiyaana,0,auy
905,,,,Uzbeki Arabic,0,auz
30,ava,ava,av,Avaric,1,ava
906,,,,Avau,0,avb
907,,,,Alviri-Vidari,0,avd
31,ave,ave,ae,Avestan,1,ave
908,,,,Avikam,0,avi
909,,,,Kotava,0,avk
910,,,,Eastern Egyptian Bedawi Arabic,0,avl
911,,,,Angkamuthi,0,avm
912,,,,Avatime,0,avn
913,,,,Agavotaguerra,0,avo
914,,,,Aushiri,0,avs
915,,,,Au,0,avt
916,,,,Avokaya,0,avu
917,,,,Avá-Canoeiro,0,avv
32,awa,awa,,Awadhi,1,awa
918,,,,Awa (Papua New Guinea),0,awb
919,,,,Cicipu,0,awc
920,,,,Awetí,0,awe
921,,,,Anguthimri,0,awg
922,,,,Awbono,0,awh
923,,,,Aekyom,0,awi
924,,,,Awabakal,0,awk
925,,,,Arawum,0,awm
926,,,,Awngi,0,awn
927,,,,Awak,0,awo
928,,,,Awera,0,awr
929,,,,South Awyu,0,aws
930,,,,Araweté,0,awt
931,,,,Central Awyu,0,awu
932,,,,Jair Awyu,0,awv
933,,,,Awun,0,aww
934,,,,Awara,0,awx
935,,,,Edera Awyu,0,awy
936,,,,Abipon,0,axb
937,,,,Ayerrerenge,0,axe
938,,,,Mato Grosso Arára,0,axg
939,,,,Yaka (Central African Republic),0,axk
940,,,,Middle Armenian,0,axm
941,,,,Xaragure,0,axx
942,,,,Awar,0,aya
943,,,,Ayizo Gbe,0,ayb
944,,,,Southern Aymara,0,ayc
945,,,,Ayabadhu,0,ayd
946,,,,Ayere,0,aye
947,,,,Ginyanga,0,ayg
948,,,,Hadrami Arabic,0,ayh
949,,,,Leyigha,0,ayi
950,,,,Akuku,0,ayk
951,,,,Libyan Arabic,0,ayl
33,aym,aym,ay,Aymara,1,aym
952,,,,Sanaani Arabic,0,ayn
953,,,,Ayoreo,0,ayo
954,,,,North Mesopotamian Arabic,0,ayp
955,,,,Ayi (Papua New Guinea),0,ayq
956,,,,Central Aymara,0,ayr
957,,,,Sorsogon Ayta,0,ays
958,,,,Magbukun Ayta,0,ayt
959,,,,Ayu,0,ayu
960,,,,Tayabas Ayta,0,ayy
961,,,,Mai Brat,0,ayz
962,,,,Azha,0,aza
963,,,,South Azerbaijani,0,azb
964,,,,Eastern Durango Nahuatl,0,azd
34,aze,aze,az,Azerbaijani,1,aze
965,,,,San Pedro Amuzgos Amuzgo,0,azg
966,,,,North Azerbaijani,0,azj
967,,,,Ipalapa Amuzgo,0,azm
968,,,,Western Durango Nahuatl,0,azn
969,,,,Awing,0,azo
970,,,,Faire Atta,0,azt
971,,,,Highland Puebla Nahuatl,0,azz
972,,,,Babatana,0,baa
973,,,,Bainouk-Gunyuño,0,bab
974,,,,Badui,0,bac
975,,,,Baré,0,bae
976,,,,Nubaca,0,baf
977,,,,Tuki,0,bag
978,,,,Bahamas Creole English,0,bah
979,,,,Barakai,0,baj
37,bak,bak,ba,Bashkir,1,bak
38,bal,bal,,Baluchi,1,bal
39,bam,bam,bm,Bambara,1,bam
40,ban,ban,,Balinese,1,ban
980,,,,Waimaha,0,bao
981,,,,Bantawa,0,bap
982,,,,Bavarian,0,bar
42,bas,bas,,Basa,1,bas
983,,,,Bada (Nigeria),0,bau
984,,,,Vengo,0,bav
985,,,,Bambili-Bambui,0,baw
986,,,,Bamun,0,bax
987,,,,Batuley,0,bay
988,,,,Baatonum,0,bba
989,,,,Barai,0,bbb
990,,,,Batak Toba,0,bbc
991,,,,Bau,0,bbd
992,,,,Bangba,0,bbe
993,,,,Baibai,0,bbf
994,,,,Barama,0,bbg
995,,,,Bugan,0,bbh
996,,,,Barombi,0,bbi
997,,,,Ghomálá',0,bbj
998,,,,Babanki,0,bbk
999,,,,Bats,0,bbl
1000,,,,Babango,0,bbm
1001,,,,Uneapa,0,bbn
1002,,,,Northern Bobo Madaré,0,bbo
1003,,,,West Central Banda,0,bbp
1004,,,,Bamali,0,bbq
1005,,,,Girawa,0,bbr
1006,,,,Bakpinka,0,bbs
1007,,,,Mburku,0,bbt
1008,,,,Kulung (Nigeria),0,bbu
1009,,,,Karnai,0,bbv
1010,,,,Baba,0,bbw
1011,,,,Bubia,0,bbx
1012,,,,Befang,0,bby
1013,,,,Babalia Creole Arabic,0,bbz
1014,,,,Central Bai,0,bca
1015,,,,Bainouk-Samik,0,bcb
1016,,,,Southern Balochi,0,bcc
1017,,,,North Babar,0,bcd
1018,,,,Bamenyam,0,bce
1019,,,,Bamu,0,bcf
1020,,,,Baga Binari,0,bcg
1021,,,,Bariai,0,bch
1022,,,,Baoulé,0,bci
1023,,,,Bardi,0,bcj
1024,,,,Bunaba,0,bck
1025,,,,Central Bikol,0,bcl
1026,,,,Bannoni,0,bcm
1027,,,,Bali (Nigeria),0,bcn
1028,,,,Kaluli,0,bco
1029,,,,Bali (Democratic Republic of Congo),0,bcp
1030,,,,Bench,0,bcq
1031,,,,Babine,0,bcr
1032,,,,Kohumono,0,bcs
1033,,,,Bendi,0,bct
1034,,,,Awad Bing,0,bcu
1035,,,,Shoo-Minda-Nye,0,bcv
1036,,,,Bana,0,bcw
1037,,,,Bacama,0,bcy
1038,,,,Bainouk-Gunyaamolo,0,bcz
1039,,,,Bayot,0,bda
1040,,,,Basap,0,bdb
1041,,,,Emberá-Baudó,0,bdc
1042,,,,Bunama,0,bdd
1043,,,,Bade,0,bde
1044,,,,Biage,0,bdf
1045,,,,Bonggi,0,bdg
1046,,,,Baka (Sudan),0,bdh
1047,,,,Burun,0,bdi
1048,,,,Bai,0,bdj
1049,,,,Budukh,0,bdk
1050,,,,Indonesian Bajau,0,bdl
1051,,,,Buduma,0,bdm
1052,,,,Baldemu,0,bdn
1053,,,,Morom,0,bdo
1054,,,,Bende,0,bdp
1055,,,,Bahnar,0,bdq
1056,,,,West Coast Bajau,0,bdr
1057,,,,Burunge,0,bds
1058,,,,Bokoto,0,bdt
1059,,,,Oroko,0,bdu
1060,,,,Bodo Parja,0,bdv
1061,,,,Baham,0,bdw
1062,,,,Budong-Budong,0,bdx
1063,,,,Bandjalang,0,bdy
1064,,,,Badeshi,0,bdz
1065,,,,Beaver,0,bea
1066,,,,Bebele,0,beb
1067,,,,Iceve-Maci,0,bec
1068,,,,Bedoanas,0,bed
1069,,,,Byangsi,0,bee
1070,,,,Benabena,0,bef
1071,,,,Belait,0,beg
1072,,,,Biali,0,beh
1073,,,,Bekati',0,bei
44,bej,bej,,Beja,1,bej
1074,,,,Bebeli,0,bek
45,bel,bel,be,Belarusian,1,bel
46,bem,bem,,Bemba,1,bem
47,ben,ben,bn,Bengali,1,ben
1075,,,,Beami,0,beo
1076,,,,Besoa,0,bep
1077,,,,Beembe,0,beq
1078,,,,Besme,0,bes
1079,,,,Guiberoua Béte,0,bet
1080,,,,Blagar,0,beu
1081,,,,Daloa Bété,0,bev
1082,,,,Betawi,0,bew
1083,,,,Jur Modo,0,bex
1084,,,,Beli (Papua New Guinea),0,bey
1085,,,,Bena (Tanzania),0,bez
1086,,,,Bari,0,bfa
1087,,,,Pauri Bareli,0,bfb
1088,,,,Northern Bai,0,bfc
1089,,,,Bafut,0,bfd
1090,,,,Betaf,0,bfe
1091,,,,Bofi,0,bff
1092,,,,Busang Kayan,0,bfg
1093,,,,Blafe,0,bfh
1094,,,,British Sign Language,0,bfi
1095,,,,Bafanji,0,bfj
1096,,,,Ban Khor Sign Language,0,bfk
1097,,,,Banda-Ndélé,0,bfl
1098,,,,Mmen,0,bfm
1099,,,,Bunak,0,bfn
1100,,,,Malba Birifor,0,bfo
1101,,,,Beba,0,bfp
1102,,,,Badaga,0,bfq
1103,,,,Bazigar,0,bfr
1104,,,,Southern Bai,0,bfs
1105,,,,Balti,0,bft
1106,,,,Gahri,0,bfu
1107,,,,Bondo,0,bfw
1108,,,,Bantayanon,0,bfx
1109,,,,Bagheli,0,bfy
1110,,,,Mahasu Pahari,0,bfz
1111,,,,Gwamhi-Wuri,0,bga
1112,,,,Bobongko,0,bgb
1113,,,,Haryanvi,0,bgc
1114,,,,Rathwi Bareli,0,bgd
1115,,,,Bauria,0,bge
1116,,,,Bangandu,0,bgf
1117,,,,Bugun,0,bgg
1118,,,,Giangan,0,bgi
1119,,,,Bangolan,0,bgj
1120,,,,Bit,0,bgk
1121,,,,Bo (Laos),0,bgl
1122,,,,Baga Mboteni,0,bgm
1123,,,,Western Balochi,0,bgn
1124,,,,Baga Koga,0,bgo
1125,,,,Eastern Balochi,0,bgp
1126,,,,Bagri,0,bgq
1127,,,,Bawm Chin,0,bgr
1128,,,,Tagabawa,0,bgs
1129,,,,Bughotu,0,bgt
1130,,,,Mbongno,0,bgu
1131,,,,Warkay-Bipim,0,bgv
1132,,,,Bhatri,0,bgw
1133,,,,Balkan Gagauz Turkish,0,bgx
1134,,,,Benggoi,0,bgy
1135,,,,Banggai,0,bgz
1136,,,,Bharia,0,bha
1137,,,,Bhili,0,bhb
1138,,,,Biga,0,bhc
1139,,,,Bhadrawahi,0,bhd
1140,,,,Bhaya,0,bhe
1141,,,,Odiai,0,bhf
1142,,,,Binandere,0,bhg
1143,,,,Bukharic,0,bhh
1144,,,,Bhilali,0,bhi
1145,,,,Bahing,0,bhj
1146,,,,Bimin,0,bhl
1147,,,,Bathari,0,bhm
1148,,,,Bohtan Neo-Aramaic,0,bhn
49,bho,bho,,Bhojpuri,1,bho
1149,,,,Bima,0,bhp
1150,,,,Tukang Besi South,0,bhq
1151,,,,Bara Malagasy,0,bhr
1152,,,,Buwal,0,bhs
1153,,,,Bhattiyali,0,bht
1154,,,,Bhunjia,0,bhu
1155,,,,Bahau,0,bhv
1156,,,,Biak,0,bhw
1157,,,,Bhalay,0,bhx
1158,,,,Bhele,0,bhy
1159,,,,Bada (Indonesia),0,bhz
1160,,,,Badimaya,0,bia
1161,,,,Bissa,0,bib
1162,,,,Bikaru,0,bic
1163,,,,Bidiyo,0,bid
1164,,,,Bepour,0,bie
1165,,,,Biafada,0,bif
1166,,,,Biangai,0,big
1167,,,,Vaghat-Ya-Bijim-Legeri,0,bij
51,bik,bik,,Bikol,1,bik
1168,,,,Bile,0,bil
1169,,,,Bimoba,0,bim
52,bin,bin,,Bini,1,bin
1170,,,,Nai,0,bio
1171,,,,Bila,0,bip
1172,,,,Bipi,0,biq
1173,,,,Bisorio,0,bir
53,bis,bis,bi,Bislama,1,bis
1174,,,,Berinomo,0,bit
1175,,,,Biete,0,biu
1176,,,,Southern Birifor,0,biv
1177,,,,Kol (Cameroon),0,biw
1178,,,,Bijori,0,bix
1179,,,,Birhor,0,biy
1180,,,,Baloi,0,biz
1181,,,,Budza,0,bja
1182,,,,Banggarla,0,bjb
1183,,,,Bariji,0,bjc
1184,,,,Biao-Jiao Mien,0,bje
1185,,,,Barzani Jewish Neo-Aramaic,0,bjf
1186,,,,Bidyogo,0,bjg
1187,,,,Bahinemo,0,bjh
1188,,,,Burji,0,bji
1189,,,,Kanauji,0,bjj
1190,,,,Barok,0,bjk
1191,,,,Bulu (Papua New Guinea),0,bjl
1192,,,,Bajelani,0,bjm
1193,,,,Banjar,0,bjn
1194,,,,Mid-Southern Banda,0,bjo
1195,,,,Binumarien,0,bjr
1196,,,,Bajan,0,bjs
1197,,,,Balanta-Ganja,0,bjt
1198,,,,Busuu,0,bju
1199,,,,Bedjond,0,bjv
1200,,,,Bakwé,0,bjw
1201,,,,Banao Itneg,0,bjx
1202,,,,Bayali,0,bjy
1203,,,,Baruga,0,bjz
1204,,,,Kyak,0,bka
1205,,,,Baka (Cameroon),0,bkc
1206,,,,Binukid,0,bkd
1207,,,,Beeke,0,bkf
