discid,dtitle,dyear,dgenre,extd,playorder,disc_length,revision,submitted_via
8d0f0a0a,Various / VA - Dance club 80's CD 1,2010,Disco,"","",3854,0,ExactAudioCopy v0.99pb5
8e07650b,The Byrds / Greatest Hits,1967,Rock,"Label: CBS
LC 0149
","",1895,3,Grip 3.2.0
900b8f0c,James Vincent McMorrow / Early In The Morning,2011,Pop-Folk, YEAR: 2011,"",2961,0,CDex 1.51
930a0c0a,BE THE VOICE / EPOCHS,2005,Pop, YEAR: 2005,"",2574,0,CDex 1.51
930bea0a,Echoboy / Giraffe,2002,Rock,- upped by #hs @ 26.11.2002 -,"",3052,2,Grip 3.0.7
9312000b,Saint Etienne / Casino classics (Deluxe Edition),2012,Pop,"","",4610,0,EasyCDDAExtractor 2010.4.0.0
99114a0a,Neptun / Music for Relaxation and Meditation,2004,Meditative,"","",4428,0,ExactAudioCopy v0.99pb4
9f09f40c,Harmonica Hinds / Anything If I Could,2010,Blues,"","",2550,1,ExactAudioCopy v1.0b3
9f0c2f0b,Torun Eriksen / Glittercard,2004,Folk,"","",3121,1,audiograbber 1.83.01
a30bac0c,Various / Dance Hits 2,-1,"","","",2990,2,dBpowerAMP V4.0
a40ac60d,VA / Bozz Music Sampler,2004,Rap,"","",2760,1,ExactAudioCopy v0.90b3
ae0cc80d,Oxygen / Oxygen,-1,"","","",3274,0,Grip 2.96
b006300c,Necrophagia / Death Is Fun,1986,Metal,"","",1586,0,ExactAudioCopy v0.95a4
b90c090c,勝又隆一 / Leaf Piano Collection Vol.1,-1,soundtrack,"","",3083,1,freeDBTagger 0.5
bb0c530d,Coolio / Fantastic Voyage: The Greatest Hits,2001,Rap,"","",3157,0,dBpowerAMP V4.0
bf0c510f,"Bernd, Inga und Anke Knobloch / 5205825",2010,Kinder,www.cap-music.de,"",3155,0,audiograbber 1.83.01
c0089c0f,The Waistcoats / Stark Raving Mod!,2000,Surf, YEAR: 2000,"",2206,0,CDex 1.50beta9
ce0d060f,Karen Staley / The Hits,2003,Country, YEAR: 2003,"",3336,0,CDex 1.51
d1122610,Various / Madchester: The Manchester Story '88 - '91,1995,Alternative,"","",4648,6,audiograbber 1.83.01
d70f7e0e,U2 / The Best of 1980-1990 CD 1,-1,Rock,"","",3968,1,CDex 1.50Beta7
e8104710,Various Artists / The Best Love.. Ever,2008,Alternative,"","",4169,0,ExactAudioCopy v1.0b3
f20f2e10,various artists / hit disc 24,1900,Top 40, YEAR: 1900,"",3888,2,CDex 1.50
f20f3510,"Whiteman, Paul  / 16 Classic Performances",1934,Jazz,"","",3895,1,audiograbber 1.83.01
fa10bb11,Anne-Marie / Anne-Marie,2000,Vocal, YEAR: 2000,"",4285,1,CDex 1.70beta2
6c0a0708,Various / Afrika erz�hlt,2008,Soundtrack,"Afrika erzaehlt - Die Afrika-Hoerbuchedition - Grosse Autoren-Grosse Sprecher - 8 Auszuge
Eine gemeinsame Edition von
steinbach sprechende buecher und
SCALA Z MEDIA","",2569,0,jack 3.1.1
