abv,beer_name,brew_factory_name,style
4.3,abbeydale moonshine,abbeydale,golden ale blond ale
7.1,lawsons finest equinox extra xpa,lawsons finest liquids,american strong ale
4.1,woodcock brothers amber ale 1,woodcock brothers brewing company,amber ale
6.4,blind tiger little red corvette,blind tiger,amber ale
7.1,modus operandi former tenant,modus operandi brewing co,india pale ale 40 ipa 41
6.9,glasstown founders ale,glasstown brewing company,american strong ale
6.6,mountain toad apex amber,mountain toad brewing,amber ale
5.3,dado bier red ale,dado bier,belgian ale
4.0,coalition simple india style session ale,coalition brewing,session ipa
5.6,downtown joes tail waggin amber ale,downtown joes restaurant brewery,amber ale
5.0,alexander keiths red 40 amber ale 41,oland brewery 40 abinbev 41,amber ale
7.6,denizens big red norm,denizens brewing company,amber ale
5.2,coastal empire southern delight,coastal empire beer co,amber ale
8.8,big island caldera red sea imperial red gose,big island brewhaus,american strong ale
9.0,blue pants big tall 2 barrel aged belgian red,blue pants brewery,amber ale
4.0,roosters brewing twobit amber,roosters brewing co 40 us 41,amber ale
8.0,51st ward conscious sedation,church street brewing company,brown ale
5.2,great baraboo snake eye canyon red ale,great baraboo brewing company,amber ale
,bold city european street cafe lamp post ale,bold city brewery,amber ale
5.5,river horse special ale,river horse brewing company,amber ale
4.0,adkin alfreds galaxy,adkin,golden ale blond ale
5.0,boxing cat ringside red,boxing cat brewery,amber lager vienna
8.0,cucamonga jacked up red,cucamonga brewing company,american strong ale
5.5,north star horizons amber ale,north star craft brewery,amber ale
4.2,3 stars lime basil saison 40 coconut 41,3 stars brewing company,saison
,white lion insane mane red ale,ipswich ale brewery,amber ale
4.0,elk rock velvet antler amber ale,portland brewing company 40 pyramid north american breweries 41,amber ale
7.0,abita mint julep turbodog,abita brewing company,brown ale
4.5,sockeye angels perch amber,sockeye brewing,amber ale
5.2,crazy mountain amber ale,crazy mountain brewing company,amber ale
10.4,double barley give em hell,double barley brewing,american strong ale
6.8,old schoolhouse blazing amber,old schoolhouse brewery,amber ale
4.5,pizza boy journeymen,pizza boy brewing,amber ale
4.8,adnams devils backbone american amber,adnams,amber ale
6.6,350 el scorcho belgian amber,350 brewing company,belgian ale
5.5,kingdom round barn red,kingdom brewing,amber ale
6.8,kassiks orions quest red ale,kassiks brewery,amber ale
5.0,lynnwood bill teds excellent amber,lynnwood grill brewing concern,amber ale
6.5,lakewood manimal,lakewood brewing company,amber ale
6.0,fair winds running light red,fair winds brewing company,belgian ale
,blind tiger holy grail pale ale,blind tiger,american pale ale
5.1,prescott manzanita red,prescott brewing company,amber ale
7.0,tahoe mountain ranch dog red,tahoe mountain brewing company,amber ale
5.0,vancouver island high trail honey ale,vancouver island brewery,amber ale
8.6,bottle logic imperial redioactive,bottle logic brewing,american strong ale
5.1,books brews shogun soba ale,books brews,specialty grain
8.0,island hoppin old madrona,island hoppin brewery,american strong ale
8.5,modern times mega blazing world,modern times beer,imperial ipa
,5 seasons big horn bock,5 seasons brewing company,dunkler bock
4.0,squatters respect your mother organic amber ale,squatters craft beers,amber ale
5.5,birrificio trunasse zoe,zoe birrificio trunasse,golden ale blond ale
4.8,coronado monk in tha trunk,coronado brewing company,belgian ale
6.3,jackie os smoke ya oats,jackie os pub brewery,smoked
5.8,bog iron slap happy rye amber,bog iron brewing,amber ale
,harvest moon oq coffee porter 40 frangelico coffee w hazelnut 41,harvest moon brewery 40 nj 41,porter
6.0,amnesia crystal red ale,amnesia brewing,amber ale
5.7,twelve bar brews turnaround northwest red ale,twelve bar brews,amber ale
4.8,wicked weed wicked tea party,wicked weed brewing,amber ale
5.7,tap room no 21 moes backroom amber ale,genesee brewing company 40 north american breweries 41,amber ale
3.8,brodies shoreditch sunshine,brodies,golden ale blond ale
6.0,bloodline through silver in blood red ale,bloodline brewing company,amber ale
11.0,8 wired mighty imperial ale,renaissance brewing,american strong ale
4.5,coombe martin hangmans bitter,combe martin,premium bitter esb
4.5,seven brides emilys ember,seven brides brewing company,amber ale
9.2,founders barrel aged reds rye,founders brewing company,specialty grain
9.5,bagby hop whompus,bagby beer company,american strong ale
5.3,crank arm reflector,crank arm brewing,irish ale
5.7,kirkland signature amber ale,fx matt brewing company,amber ale
5.0,banks amber ale,banks barbados brewery,golden ale blond ale
5.0,glutenberg 8,glutenberg craft brewery,specialty grain
5.2,joboys manheim red,joboys brew pub,amber ale
8.0,7 seas ballz deep double ipa,7 seas brewing,imperial ipa
5.0,firestorm red angel,wharfebank,amber ale
5.0,granite falls bushfire american red ale,granite falls brewing company,amber ale
5.9,il vicino dougie style amber,canteen brewhouse 40 was il vicino pizzeria and brewery 41,amber ale
5.6,red duck hoppy amber,purrumbete brewing,amber ale
6.2,imperial oak roil red,imperial oak brewing,amber ale
5.0,black forest brau keller grateful red,black forest brau keller,amber ale
6.0,parallel 49 gypsy tears ruby ale,parallel 49 brewing company,amber ale
5.0,brew bus rollin dirty red ale cedar aged,cigar city brewing,irish ale
8.0,fuggles warlock hyper combo red rye ipa,dead frog brewery,american strong ale
5.4,american honor declaration ale,lion brewery,american pale ale
,bilbos dragon red ale,bilbos pizza in a pan,irish ale
,americas american red ale,americas brewpub,amber ale
6.5,phat matts red ale,phat matts brewing company,amber ale
6.8,seabright sacrilicious ale,seabright brewery,american strong ale
7.8,good people stepchild belgian india red ale,good people brewing company,india pale ale 40 ipa 41
9.0,black sky imperial petal to the metal,black sky brewery,spice herb vegetable
8.2,phillips double dragon imperial red ale,phillips brewing co,american strong ale
5.2,blue corn 40 santa fe 41 atalaya amber ale,blue corn brewery 40 santa fe 41,amber ale
6.1,fitgers daisy ale,fitgers brewhouse,amber ale
6.0,council rock sleeping lion red ale,council rock brewery,irish ale
5.0,kootenay true ale,columbia brewery 40 labattinbev 41,amber ale
5.0,gonzos biggdogg burning sun redd,gonzos biggdogg brewing,amber ale
5.5,ballast point calico amber ale coffee,ballast point brewing company,amber ale
6.0,abbey cardinal sin,abbey ales,english strong ale
5.2,alameda brickhouse brown,alameda brewing co,brown ale
5.5,101 hook tender honey brown ale,101 brewery twana roadhouse,brown ale
9.0,amsterdam x indie alehouse shapeshifter,amsterdam brewing company,american strong ale
6.2,anacapa santa rosa red,anacapa brewing company,amber ale
10.0,kuhnhenn irreverent,kuhnhenn brewing,belgian strong ale
5.8,spoonwood cold drip city,spoonwood brewery,amber ale
6.5,lolmaia la 9,lolmaia,belgian ale
5.0,pisgah ryans red ale,pisgah brewing company,irish ale
5.5,barts cardinal red ale,barts brewpub,amber ale
8.4,the brew gentlemen business casual,the brew gentlemen beer company,american strong ale
,angelic big red ale,angelic brewing company,irish ale
,park tavern olmsted amber,park tavern brewery,amber ale
5.5,les brasseurs du hameau dhamsud rousse bitter,les brasseurs du hameau,bitter
5.0,bob crimson king,the bobs house of brews,amber ale
9.0,deep cove small victories,deep cove brewers,belgian strong ale
6.5,claremont craft ales disrobled,claremont craft ales,amber ale
5.1,black swan cherrywood smoked porter,black swan brewpub,porter
4.2,central coast topless amber,central coast brewing,bitter
4.7,broken tooth northern lights amber,broken tooth brewing company,amber ale
4.5,alpine dog black rye session pale ale,alpine dog brewery,specialty grain
6.2,cigar city iwcb unite,cigar city brewing,amber ale
4.8,la f t la rousse rustre,la f t,amber ale
,5 seasons westside the huntsman,5 seasons westside,bitter
6.0,stallhagen us red ale,stallhagen,amber ale
6.0,assawoman bay coastal edge copper,assawoman bay brewing company,amber ale
5.5,75th street red eye rye,75th street brewery,specialty grain
8.2,siren batch 200 liquid monstrous,siren,imperial ipa
9.0,cambridge red god ipa,cambridge brewing company,imperial ipa
,cool springs fatback amber ale,cool springs brewing company,amber ale
4.5,gilgamesh pumphouse copper ale,gilgamesh brewing,amber ale
5.8,karl strauss red trolley ale,karl strauss brewing company,irish ale
5.5,broken bow red ale,broken bow brewery,irish ale
5.7,breakwater railslide red,breakwater brewing company,amber ale
6.0,1933 oktoberfest,1933 brewing company,oktoberfest m   rzen
5.2,la jolla brewhouse blue whale pale ale,la jolla brewhouse,american pale ale
7.0,house ales crack of noon,house ales,stout
5.0,squam asquam amber ale,squam brewing,amber ale
5.5,jumping cow amber ale,august schell brewing company,amber ale
5.6,big wood stump splitter dates ginger,big wood brewery,belgian ale
5.5,baja peliroja,baja brewing co,amber ale
5.2,angus macdougals scottish red ale,cold spring brewery,scottish ale
,bonfire vulcans vienna ale,bonfire bistro and brewery,amber lager vienna
,bradys absolutely amber,bradys brewhouse,amber ale
4.5,les bi res de la nouvellefrance nouvellefrance rouge,les bi res de la nouvellefrance,amber ale
5.7,cascade lakes angus macdougals amber,cascade lakes brewing co,scottish ale
5.7,big al amber 40 tutta bella 41,big al brewing,amber ale
5.5,ac golden colorado native amber lager,coors brewing company 40 millercoors 41,amber lager vienna
5.5,casa bruja sir francis red ale,casa bruja brewing co,amber ale
6.7,bird dog maggies cider ale,bird dog brewing,cider
4.1,goldstone old charmer,goldstone,golden ale blond ale
4.5,budge brothers spokamber 509 amber ale,budge brothers brewery,amber ale
,alaskan taku river red,alaskan brewing company,amber ale
5.4,odell mean street pumpkin ale,odell brewing company,spice herb vegetable
4.5,borderlands la morena brown ale,borderlands brewing company,brown ale
7.2,fogbelt hyperion red ale,fogbelt brewing company,amber ale
5.5,rush river the unforgiven amber ale,rush river brewing company,amber ale
6.2,grist house camp slap red,grist house brewing,amber ale
11.0,amager hr frederiksen 40 colorado whiskey edition 41,amager bryghus,imperial stout
5.0,ballast point calico amber ale rum barrel aged,ballast point brewing company,amber ale
5.0,blue tractor smokehouse amber,blue tractor bbq brewery,amber ale
,uncle billys bitchin camaro,uncle billys brew que smokehouse brewery,amber ale
5.5,aarhus cains triple a american amber ale,aarhus bryghus,amber ale
6.4,deschutes fire king ira,deschutes brewery,irish ale
6.0,lenny boy noshow amber,lenny boy brewing company,amber ale
5.0,adirondack bear naked ale,adirondack pub and brewery,amber ale
6.0,mudhook live bait amber ale,mudhook brewing company,amber ale
6.8,auburn alehouse scarlet harlot,auburn alehouse 40 ca 41,amber ale
6.0,sigtuna red ale,sigtuna brygghus,amber ale
5.0,americas aurora amber ale,americas brewpub,amber ale
,tahquamenon falls tannin red,tahquamenon falls brewery,amber ale
6.7,ladyface agoura ale,ladyface ale companie,amber ale
7.5,mornington peninsula imperial amber,mornington peninsula brewery,american strong ale
5.5,de dochter van de korenaar noblesse very special old pale 40 vsop 41,de dochter van de korenaar,belgian ale
,john harvards colonial red,john harvards brewhouse lake grove,amber ale
5.5,carters roundhouse red ale,carters brewing co,amber ale
6.0,crafthaus unite smokey red,crafthaus brewery,smoked
7.0,bottle logic sunspear saison,bottle logic brewing,saison
8.2,triple c imperial smoked amber,triple c brewing company,smoked
5.0,alpha golden nugget pale ale,alpha brewing company,american pale ale
,legends jack rabbit red ale,legends brewhouse eatery,amber ale
5.3,kallholmen levande ale,skellefte bryggeri,english pale ale
4.8,uberach doigt de dieu,uberach,bi  re de garde
,john harvards golden honey ale,john harvards brewhouse lake grove,golden ale blond ale
6.7,lupine convocation tea ale,lupine brewing company,spice herb vegetable
5.0,jukebox jazz,brasseur de montr al,amber ale
,ahnapee little soldier,ahnapee brewery,amber ale
6.1,23rd street crimson phog irish ale,23rd street brewery,irish ale
5.3,stagecoach amber ale,mantorville brewing co,amber ale
7.0,prohibition sweet biscuit amber ale 40 sba 41,prohibition brewing 40 california 41,amber ale
5.2,4 pines christmas ale 2012,4 pines brewing company,saison
,thirsty pagan north coast amber ale,thirsty pagan brewing,amber ale
12.0,clown shoes rexx,ipswich ale brewery,american strong ale
,el toro peach flavored ale,el toro brewing co,fruit beer
4.0,shades of pale ready to fly,shades of pale brewing company,amber ale
9.5,black dog eel river eeldog muscat mongrel,black dog brewery,barley wine
6.0,barley mow lamp lighter amber,barley mow brewing company,amber ale
5.8,flagstaff agassiz amber,flagstaff brewing company,amber ale
4.2,redline 501 golden ale,redline brewhouse,golden ale blond ale
5.2,fiddlehead mellow mike,fiddlehead brewing company,amber ale
8.0,krugher brent red beer,krugher brent,imperial pils strong pale lager
5.0,north peak siren amber ale,north peak brewing company,amber ale
10.5,scarlet lane nights watch,scarlet lane brewing company,american strong ale
4.5,donegal atlantic amber,donegal brewing co,amber ale
5.5,maui brewing amber reign,maui brewing company,amber ale
6.6,northbound smokehouse wild rice amber,northbound smokehouse brewpub,specialty grain
5.9,two brothers bottlenectar,two brothers brewing company,amber ale
8.0,columbia kettle works kettleface,columbia kettle works,amber ale
6.2,thorn street smugglers cove agave amber ale,thorn street brewery,amber ale
,tram k amber ale 12,minipivovar tram k,amber ale
9.0,ethereal rum reckoner,ethereal brewing,american strong ale
6.3,columbia kettle works bald guy,columbia kettle works,amber ale
5.0,drummond gluten free,drummond brewing company something brewing,specialty grain
4.4,1516 pub brewery american black ale,1516 pub brewery,black ipa
7.4,books brews clifford the big red ale,books brews,american strong ale
5.2,essers anniversary ale,sand creek brewing company,amber ale
4.5,wild range amber ale,genesee brewing company 40 north american breweries 41,amber ale
9.5,westfield river big red barn,westfield river brewing company,specialty grain
9.8,hopcat ginger slap,hopcat,spice herb vegetable
7.6,absolution american revelation bourbon barrel ryepa,absolution brewing company,specialty grain
9.5,boneshaker rusty chain english barleywine,boneshaker community brewery,barley wine
6.1,lazy boy dumb luck amber ale,lazy boy brewing,amber ale
6.5,castle danger barrel aged nestor grade amber ale,castle danger brewery,amber ale
6.0,baranof island redoubt red ale,baranof island brewing company,amber ale
7.2,cigar city cold brew series red ale,cigar city brewing,amber ale
5.5,revolution harbor amber ale,genesee brewing company 40 north american breweries 41,amber ale
9.0,imperial oak barrel aged odins beard,imperial oak brewing,american strong ale
5.5,naparbier zz amber ale,naparbier,amber ale
4.5,rebellion scandale,rebellion,bitter
5.5,crooked fence trainwreck red ale,crooked fence brewing company,irish ale
6.6,dragoon fate 40 az 41 infringement pils,dragoon brewing company,pilsener
6.5,old market mr toads wild red ale,old market pub and brewery,amber ale
7.8,pizza boy hop test 1 40 ginger red ale 41,pizza boy brewing,amber ale
6.0,bentley hooligan amber ale,bentley brewing co dark horse tavern,amber ale
5.5,2 way revolution red,2 way brewing company,amber ale
4.9,tipping point chunky gal amber,tipping point tavern,amber ale
5.7,willimantic fire engine red,willimantic brewing company,amber ale
4.8,st peters amarillo ale,st peters 40 uk 41,golden ale blond ale
5.0,ambers bubs lunch pail ale,hogs head brewing company,golden ale blond ale
5.8,americas reindeer red ale,americas brewpub,amber ale
8.2,roosevelt imperial red,turner alley brewing company,american strong ale
5.2,victory amber lager,old dominion brewing company 40 coastal brewing co 41,amber lager vienna
,river horse burnt sugar ale,river horse brewing company,american pale ale
5.5,linox trois de pique,linox ma tres brasseurs,premium bitter esb
6.0,brewsters winter warmer amber ale,brewsters brewing co alberta,amber ale
,original joes red ale,big rock brewery,amber ale
4.7,coastal pamlico amber,fordham brewing company 40 coastal brewing co 41,amber ale
3.5,14th star hop tea session ipa,14th star brewing company,session ipa
4.5,ranga premium red ale,southern bay brewing company,amber ale
8.0,5 seasons kilt lifter scotch ale,5 seasons brewing company,scotch ale
5.6,monkish false prophet,monkish brewing co,belgian ale
5.8,t ij red rye ipa,brouwerij t ij,india pale ale 40 ipa 41
,5 seasons westside imagine rustic farmhouse ale,5 seasons westside,saison
6.7,sasquatch red electric ira,sasquatch brewing company,amber ale
6.5,sycamore salty coconut red ale,sycamore brewing,amber ale
,big ridge red truck ale,big ridge brewing co,amber ale
,brewbakers oatmeal amber,brewbakers brewing company,amber ale
4.4,amber autumn pale,amber,golden ale blond ale
,1516 tres conejones,1516 brewing company,imperial ipa
5.0,picaroons afterglow aphrodisiac ale,northampton brewing co 40 nb 41,amber ale
5.8,mount dora dora drawdy drool,mount dora brewing,amber ale
5.0,moxies big life amber ale,big rock brewery,amber ale
3.9,blackwater libertine,salopian,bitter
5.0,austmann easter ale,austmann bryggeri,english pale ale
5.3,aksarben antler ale,aksarben brewing company,golden ale blond ale
,rogues harbor route 34 red ale,rogues harbor brewing,amber ale
7.4,growlers alley way amber,growlers,bi  re de garde
6.2,10 barrel double barrel nw red,10 barrel brewing 40 ab inbev 41,amber ale
4.0,arvada flanagans irish red,arvada beer company,irish ale
4.5,flyers first flight amber ale,flyers restaurant brewery,amber ale
6.0,rivertowne arctic amber,rivertowne pour house,amber ale
5.3,river rat broad river red ale,river rat brewery,amber ale
5.2,device derby gurl american amber ale,device brewing company,amber ale
5.4,barrier nunu bru,barrier brewing company,spice herb vegetable
,fegleys brew works richters revenge,fegleys brew works,american strong ale
5.5,bobcat cafe ripton red,bobcat cafe and brewery,amber ale
7.0,sun king bring the hops,sun king brewing company,india pale ale 40 ipa 41
7.8,uncommon brewers rubidus red ale,uncommon brewers,spice herb vegetable
5.0,cigar city white oak sunspear with coffee,cigar city brewing,amber ale
4.8,finnegans irish amber,summit brewing company,irish ale
4.2,lake tahoe crystal bay red ale,lake tahoe brewing,amber ale
8.0,canhead johnny octane red ipa,panhead custom ales,india pale ale 40 ipa 41
,pecan street ten penny nail,pecan street brewing,scottish ale
5.0,mcmenamins bagdad ale,mcmenamins pubs and breweries,pilsener
6.5,barbarian red ale,cervecera barbarian,amber ale
4.0,rockingham a1 amber ale,rockingham,bitter
8.6,laurelwood organic deranger imperial red ale,laurelwood public house brewery,american strong ale
5.0,haines eldred rock amber,haines brewing co,amber ale
5.0,philadelphia rowhouse red,philadelphia brewing company,specialty grain
7.0,eight bridges twisted red,eight bridges brewing,amber ale
5.5,house of brews aframe amber,house of brews,amber ale
6.0,agrarian curiosity,agrarian ales,bi  re de garde
11.0,8 wired barrel aged smoked imperial porter 40 2011 41,renaissance brewing,imperial porter
5.0,genesee brew house american red ale,genesee brewing company 40 north american breweries 41,amber ale
4.5,big texan texas red amber ale,big texan brewery,amber ale
6.9,liberty yakima scarlet,liberty brewing co,american strong ale
5.0,beer works beantown nut brown ale,beer works,brown ale
6.0,toxic gem city ruby,toxic brew company,belgian ale
8.1,big alice no 0104 red oak white ash aged stout,big alice brewing,stout
9.0,peak organic king crimson,shipyard brewing company,american strong ale
5.0,cjs richhagg red ale,cjs brewing company,irish ale
5.2,beierhaascht lambr e,beierhaascht,amber ale
5.2,catawba valley revenuers red ale,catawba valley brewing company,irish ale
5.5,300 suns kentucky uncommon whiskey ale,300 suns brewing,amber ale
5.7,bicycle craft crimson cascade,bicycle craft brewery,amber ale
3.9,portneuf valley twisted stick amber ale,portneuf valley brewing co,amber ale
,milwaukee ale house double louies demise,milwaukee ale house,american strong ale
4.9,cambridge valley girl,cambridge brewing company,amber ale
4.5,heist american style red ale,heist brewery,amber ale
7.1,broken goblet amber management,broken goblet brewing,amber ale
7.5,african moon black buck bitter,porcupine quill micro brewery,premium bitter esb
5.7,calfkiller scorned hooker,calfkiller brewing company,amber ale
5.0,seabright amber,seabright brewery,amber ale
5.5,west sixth amber,west sixth brewing company,amber ale
5.9,bagby hop crop red ale,bagby beer company,amber ale
6.6,triple crossing demon days,triple crossing brewing company,amber ale
,healthy brew easy amber,healthy brew,amber ale
5.9,keystone v9,coors brewing company 40 millercoors 41,golden ale blond ale
7.2,big boss miss charlotte,big boss brewing company,american pale ale
5.0,fat heads zest for breasts,fat heads brewery saloon,wheat ale
4.7,first magnitude 450 amber ale,first magnitude brewing company,amber ale
5.7,backshore happy camper amber ale,backshore brewing company,amber ale
4.5,big bear mountain orange blossom amber ale,big bear mountain brewery,fruit beer
4.9,liberal cup state budget red ale,liberal cup public house and brewery,amber ale
5.5,bns ole prospector red ale,bns brewing distilling,amber ale
5.2,timeless pints a precarious proposal amber ale,timeless pints brewing company,amber ale
5.2,3 cordilleras mulata,3 cordilleras,amber ale
,callahans red,san diego brewing company,amber ale
