"formerCallsign"
"KFTI (2001–2010)"
"WKET (1962&ndash;64)"
"KRNR (1935-2008)"
"WJIZ (1949-1954)"
"KGCO (2009–2014)"
"KEGR (2002-2013)"
"WTIP (1997-Present)"
"CJQM-FM (1963-1965)"
"KUHD (1993-2007)"
"WHUM (1990-1993)"
"KNLU (1973–2000)"
"KNPT-FM (1976–1984)"
"KESC (2001-2007)"
"KZTA (1986-1987)"
"KBRQ-FM (1982–87)"
"WKBI-FM (1966-1978)"
"WPTC (1997-2018)"
"KNIK-FM (ca. 1961-2009)"
"KICS-FM (1965-1979)"
"08)"
"WWRK (2005–2006)"
"WYCA (1959-2001)"
"WIZD (2012-2015)"
"XHQF-FM"
"KKHG (1994–1997)"
"WABB (1948–2012)"
"KNVR (April 26, 2004-August 1, 2007)"
"WCKK (1983-1987)"
"KLBP (1999-2005)"
"KNJR (2000–2001)"
"KALK (1983-1984)"
"WYNQ (1974-1978)"
"WFOG (1982–1996)"
"WZNN (2007-2010)"
"WGBG-FM (2016-2018)"
"WNSG (1998–2005)"
"1998, CP)"
"WCUZ-FM (1980–2000)"
"KTXN (1947–58)"
"WOLA-FM (1969-1983)"
"KYSX (1983-1984)"
"WZMM-FM (1987-1989)"
"WTNX (2016–2018)"
"WVKS (1986-1989)"
"DWRV (1978-1991)"
"WBBI (1956–1992)"
"WLAV (1940–1979)"
"KVSF (1992-2002)"
"1999)"
"WWQT (1978-1983)"
"91)"
"WWSW-FM (1949&ndash;73)"
"WTLB-FM (1975–1981)"
"KLEB-FM (1993-1995)"
"WNCE-FM (1995–2001)"
"WFTG-FM (1970-1979)"
"WFXN (1994&ndash;97)"
"1989, CP)"
"KWHW-FM (1974–1984, 2011–2021)"
"CJOY-FM (1969-1975)"
"KAJZ (2004–2005)"
"KZLO-FM (1993–2004)"
"KHYD (1961–64)"
"KGHI-LP (2009-2010)"
"WKOC (W Kankakee Olivet College)"
"WKAU (1986-1990)"
"WTIJ (1981–1983)"
"WYSI"
"WSDD (2009-2011)"
"WLIT (1974-1987)"
"WLWX (2020-2021)"
"KWJS (1976–1984)"
"WWEZ (1971-1992)"
"KFTA (2000-2014)"
"KDES (1987–1994)"
"KFBQ-FM (1978-1996)"
"KRIO (94.1) (1991-1998 & 2004-2011)"
"WBLQ (1986–1988)"
"WMVU (1992–2002)"
"KINF (2006–2009)"
"KKBQ (1982&ndash;98)"
"KZSO (1933-1944)"
"WHAS-FM (1966–1975)"
"WQRA (1978&ndash;96)"
"WEZC (1973-1989)"
"KTWV-FM (1987)"
"KJIV (2015-2017)"
"KVOD (1962–1969)"
"WPVJ (1994–96)"
"KNRS (1998-2009)"
"KLCR (1991–1995)"
"KRTX (1987–1996)"
"WTNB (1946–1950)"
"DWRG (1997-2010)"
"WMBH (1927-2001)"
"WNBI-FM (1968-1991)"
"WSDX (2000-2012)"
"WHYP-LP (2014-Present)"
"KSKK (1993-2015)"
"WSSB"
"WMMA (1993–1998)"
"B5 plus (2007–2021)"
"KABR (1952-1980)"
"DWWYO (2020-2020)"
"WAIV (2013-2021)"
"KCHF-FM (1969–1977)"
"WJTD (1993-1993)"
"KTPI (1981&ndash;2002)"
"04)"
"KNTS (1984-1986)"
"KWTD-FM (1982-1990)"
"WKSD (1989-1992)"
"KGGY (1992-1997)"
"KIVA (2009–2012)"
"KQWB (1965-1995)"
"WNAV-FM (1947–83)"
"KBOA (1947-1995)"
"1996)"
"WUPP (1998&ndash;99)"
"KJNE (1983-1994)"
"WZNN (2000-2004)"
"WPMH (2004–2010)"
"KFGI (1992)"
"WKIO (1978–2005)"
"WCPS-FM (1952–1976)"
"WYGL (1984–2011)"
"WKBE (1925–1929)"
"WELE (1959–1981)"
"WBZU (1996–98)"
"KDFN (1929–1948)"
"CKIS-FM (1996-1999, 2003-2009)"
"KLSN (1998-2000)"
"WAHH (1996–2000)"
"WCOW (1951-1992)"
"WPXY (1992–1993)"
"WTNY-FM (1986-1997)"
"KZZX (1986-1991)"
"DZOO (1987–1989)"
"KKIB (1983–1984)"
"KWNM"
"KBKO-FM (20042008)"
"KLAY (1980–1990, 1991–present)"
"KBZE (1989–1991)"
"WAGE (1958-2011)"
"WGGG-FM (1987–89)"
"KBXM (1965-1986)"
"XEVH-AM"
"KEVE (1956–1964)"
"XHCDL-FM (1994-98)"
"WUSP:"
"KTEE (1957-1960)"
"WHBJ (1925&ndash;26)"
"KHDY (1999-2002)"
"WTHU (1986-2003)"
"KZEZ (1998-2001)"
"WMOS (1995-1999)"
"KXMX-FM (2008)"
"ID&T Radio (2001-2005)"
"KIJZ (2000-2002)"
"CHAM (1967-1976)"
"WKND (1969-2004)"
"KRJF (1941-1955)"
"WWEA (2004-05)"
"00)"
"WELL-FM (1963-64)"
"KSIR (1991–1993)"
"WHLB-FM (1979-1987)"
"WHUZ (1979-1985)"
"WFJX (2000–05)"
"KAGZ (2009–2022)"
"WTND (1992-1996)"
"7HT"
"XHEXA-FM (early 2000s) XEBH-AM (1935-2017)"
"WZAT (1971-2019)"
"WSVY (1993–-1996)"
"WVOH (2012–2014)"
"WWWQ (1978-1985)"
"KBID (1992-2006)"
"WWLC (2002-2020)"
"WPTN (1962-January 2010)"
"2010)"
"KBGR (2001-2009)"
"WBTZ (1992-95)"
"CFMJ (2002-2022)"
"WFBG-FM (1959-1991)"
"WBSK-FM (1992–1993)"
"KKRP (1987-1994)"
"KRIG (1995-1996)"
"WODJ (2004-2005)"
"WMTQ (1973–1976)"
"WGIT (1980-1987)"
"XEOQ-AM (1960–2020)"
"WGMP (2011-2012)"
"KOSS (1998–2007)"
"WBIX (1963-1988)"
"AM:"
"WJRR (1987–1988)"
"WHSH (1973–1980)"
"KMXW (2011-2014)"
"KZRK (2002&ndash;13)"
"WAXY-FM (2012–15)"
"WINJ (1986-1995)"
"KVPH (1962&ndash;63)"
"WRQR (2010-2011)"
"WOKC-FM (1987–94)"
"WREM (1958–1966)"
"2012)"
"KTAT (1928-1929)"
"WMOG (1940–2014)"
"WFZY (2006-2008)"
"WHPP (2014-2018)"
"WTBM (1987–2016)"
"WNFM (1975–1982)"
"WOBF (2020–2021)"
"WISE-FM (1999–present)"
"WXRF (1948-2014)"
"DYTO (1995-2000)"
"KCIL-FM (1965–1969)"
"DXXM"
"KVMX (20082011)"
"KBNZ (2000-01)"
"KXET (2015-2022)"
"KSJN (1980–1989)"
"KABR (1984-2010)"
"WLAW (2006-2019)"
"KLVT (1991-2007)"
"WMKR"
"WLLE (2000-2004)"
"WWWT (2007–08)"
"WLYN (1977–79)"
"KHLT (1989-1994)"
"WAXL (1981-1990)"
"KXLP (1982–2007)"
"WBBL (1994–2009)"
"WDOL (1994-1996)"
"KQW (1921–49)"
"WQBS(1960-1992)"
"KLIS (1970-2001)"
"WGZA-LP (2015-2018)"
"KIZS (1992–94)"
"WPVR-LP (2014-2015)"
"KPTT (2006-2022)"
"82)"
"WYEN (1971-1986)"
"WMEK (2003-2006)"
"WPNF"
"WRKN (1960s-2005)"
"KCLE (1957–1969)"
"WLGS (1999-2003)"
"KGTN (1962–91)"
"KYNR (1978–1983)"
"WAMD and KFOY (separately)"
"WALQ (1987)"
"WHKK (1968–1985)"
"2000)"
"KEDC-FM (1963–1973)"
"WGNB"
"WAIL (1981–84)"
"KAVR-FM (1985-1988)"
"WGFE (1994)"
"KEZU (1983-1990)"
"CJRS (2007-2016)"
"KHOG (1986–1987)"
"KMJK(1977-1991)"
"WEOA (1989-1990)"
"WAQB (1997)"
"WPOM (1971–1999)"
"WYTL (1975-1984)"
"WECB (1998-2009)"
"WWHT (1987-1989)"
"WGBC (1924–37)"
"CKY-FM (1962-1978)"
"WQXQ (1973–80)"
"KGCL (2006-2008)"
"WKSD (?-1981)"
"KEYI (1982-1986)"
"KEFM (1968-1973)"
"KGUD-FM (1962–1973)"
"WRFB (1959-1965)"
"WVMA (2010–2013)"
"WLRO (1995-2007)"
"KJZN (2006–2017)"
"KBXD (2012–2019)"
"WAVX (1983-1985)"
"WWOO (95.3, 2018–2021)"
"WSID (1947–1982)"
"WVSV (1977-1993)"
"WRNG (1965-1982)"
"KDUZ-FM (1968-1986)"
"WKST (1999-2004)"
"KUDO (1980–1987)"
"KLVI-FM (January 3, 1967-September 1, 1967)"
"WHCU-FM (1951-1987)"
"KSNM-FM (2000-2001)"
"WSKX (1991-2003)"
"WBKF (?-1984)"
"2000"
"KEEZ (1958–1978)"
"KLLR-FM (1984-1991)"
"WCNH (2011–2021)"
"WOC-FM (1948-1972)"
"WRFX (2002–2004)"
"KQZT (2007-2011)"
"WVIV (2003)"
"WKEA (1977–1978)"
"KXOU(1981-1981)"
"WBYS-FM (1968-2004)"
"KUDY (1964–2002)"
"KRDO-FM (1969-2006)"
"KTWH-LP (2014-Present)"
"WKZW (1977&ndash;1994)"
"KDOS (1988-1998)"
"VF2448 (pre-launch)"
"KBKK (1995-1997)"
"KKGR (1985-1987)"
"WZRO (1957-1963)"
"WKZD (1986-1999)"
"KIXS-FM (1973-1986)"
"KWOA-FM 1961-2012"
"KMYR (1997-2005)"
"KRDP (1961-1961)"
"WRIG-FM"
"KAIR-FM (1973–1978)"
"WPBH (1994-1997)"
"WUKB (2015-2018)"
"WHYP (2010-2013)"
"KLZX-FM (1989-1995)"
"WAIX (1994-1995)"
"WMYK (1973-1991)"
"KLZR (1979-2012)"
"WRAC-FM (1969–1970)"
"KZBS (1983-1991)"
"WGMB (1986–1989)"
"WGTC (1989-2002)"
"KARY (1956-1998)"
"WWLY (2002-2006)"
"WAYC-FM (1988-1994)"
"KGAL (1951-1991)"
"WJVM (1966&ndash;88)"
"KTNT (1952-1983)"
"WEQZ (1986–1989)"
"WFLK (1989)"
"KMSD-FM (1989–1991)"
"WPBS (1961–1976)"
"KSQI (1988-1991)"
"WBEV-FM (1968-1976)"
"WPGP (2000–2006)"
"KZXT (1993-1995)"
"WPCI(1985-1986)"
"KLPW-FM (1966-2010)"
"WYKY (2000-2001)"
"1980"
"KUDY (1957-1960)"
"WVTI (1984-1989)"
"WAZU-FM (1997-1998)"
"KPAD (1997)"
"WMDC-FM (1970-1998)"
"WWOC (1993–2001)"
"WPMX (1995-2018)"
"WLHN (1999–2007)"
"WHUG (2001-2002)"
"WVWR-FM (1973–1982)"
"WRDA (2020)"
"KZAN (1978-1988)"
"1995, CP)"
"WVFC (1999-2004)"
"WDCZ-FM (1997-2004)"
"KYUN (2006-2015)"
"KXMP (2006-2008)"
"WDKT (1985-1991)"
"KTXR (1962–2020)"
"WJAZ (1987–1990)"
"WCCM (2002)"
"KBPI (1988-1989)"
"WLOM (1983)"
"WHUB (1940–2010)"
"WSPE (1999-2001)"
"KJOX (1996-1997)"
"KPPL (1978–1984)"
"KNNC"
"WBVV (2005–2016)"
"KNCE (2002-2004)"
"KHQS (1988-1989)"
"WMXN (1997–1999)"
"1998)"
"WLYV (1966&ndash;82)"
"KLUQ (2017-2021)"
"WYDE (2003-2006)"
"KZHP-LP (2015-Present)"
"KRHT (1996–2001)"
"KLAD (1955-1987)"
"KCNM-FM (1999-2010)"
"WOXO (2016–2019)"
"KQV-FM (1962–1970)"
"WJEZ (1977–1984)"
"KRUZ-FM (2012)"
"WAGD (1993-1994)"
"WHFS (2008–2011)"
"KDBS (1991-1995)"
"2001)"
"KHZF (2006-2008)"
"KOVA (1972–1984)"
"85)"
"WVVC (1994–2001)"
"WEEP-FM (1963–77)"
"WMKT (1965-1970)"
"WKHX (1987–97)"
"WKCK (1979-2015)"
"2005)"
"KFIO (1979–1989)"
"KEYC-FM (1968-1978)"
"WCOC (1994-1996)"
"none"
"WXHT (1996–1999)"
"WNNS (1975–1977)"
"KLZK (2008-2015)"
"WKTX-FM (1990-1991)"
"KLCY (1984–2008)"
"KBEY (1990-1995)"
"WUSJ-FM (1986-1994)"
"WHIL (1952–1974)"
"WSEB (1959-1984)"
"KWLZ-FM (2002-2016)"
"KMWX (1969–2000)"
"CFYZ"
"CKGL-FM (1972-1992)"
"CFRL (1955)"
"WMXV (2003-2006)"
"WJYR (2000–2002)"
"WXTM-FM (1998–2000)"
"WGWC (1946-1968)"
"WMSI (1981–1982)"
"KOPE (1974–1987)"
"WXXY (2007-2009)"
"WQQX (2010–2016)"
"KTCE (1983-1988)"
"WEAV-FM (1960-1974)"
"WFAU-FM (1961–1982)"
"WKAL-FM (1986–1988)"
"WEXG (2018–2020)"
"WSSJ (2003-2006)"
"WOLT (1996–2014)"
"WTPI (1984–2005)"
"WDEH-FM (1979-2001)"
"WKAB (1948-1962)"
"WJXY (2017–March 23, 2021)"
"WCEC (2002–2007)"
"WNEW (2011–2013)"
"WHTR (2002-2003)"
"WYLK (1996-1999)"
"KYAH-LP (2005-2006)"
"90)"
"WKOL (1967–1990)"
"WTPR-FM: WTWL (1988-1994)"
"KQFM(1954-1983)"
"KZGL (2006)"
"KDB (1929–1990)"
"WWOC (1971–1975)"
"KIKI (1994–2001)"
"10)"
"KCHL (1988-1991)"
"KRFM (1946–1964)"
"WSUX-FM (2016-2017)"
"KGCB (June 1993–2016)"
"WMDO (1981–1997)"
"WIKY (1986–1992)"
"KEOE-LP (2003–2021)"
"WZXR (1975–1986)"
"Skai 100.4 (1993-2000)"
"KINT (1994)"
"KBZN (1978–1983)"
"KTPZ (1997–2007)"
"WFNX (2013–2020)"
"WFAG (1960–1979)"
"6GE - 96.5 GGG-FM"
"KMXW (2007)"
"KGRU (1987–1988, CP)"
"KJAK (1978-2019)"
"WZEC (1998-2005)"
"WBLU-FM:"
"KULF (1988-2007)"
"WVBS-FM (1981-1993)"
"WKTT (1984–2003)"
"KUUY (1979–1996)"
"KWFM (1969–1980)"
"KQBR (1982–1986)"
"KPOI (1983-2004)"
"WFIW (1927-1933)"
"KYRX (1990–2002)"
"WVEC (1948–1978)"
"WJYE (2014–2020)"
"KXZN (1998-1999)"
"KFYZ (2010)"
"KLMR-FM (1976–1982)"
"WSDC (1972–1989)"
"KYTX (1988-2002)"
"KAFM"
"KJOU-LP (2014-2015)"
"KHOM-FM (1968-1998)"
"KKOS (1979–1995)"
"WVAY (1989–1999)"
"WICA-FM (1949–1960)"
"WLAW (2019-2021)"
"KDBI (2015-2017)"
"KMJE (2013–14)"
"WKDA (December 12, 2000-March 26, 2002)"
"KOEE (2016-2018)"
"WVFV (1967–1980)"
"WTTL-FM (1991-1995)"
"CJRC (1935-1943)"
"WCNX (1948–1996)"
"KXNO (1993–97)"
"KIOB (1979–1983)"
"KLZC (2015)"
"KAMJ (1986–1990)"
"KCJF (2001-2019)"
"KGRE (1984–1986)"
"WQSD (2003–2009)"
"DWML (October 2012-June 2017)"
"2011)"
"VONF (1932-1949)"
"WEZE (1957&ndash;97)"
"WPBC (1993-1996)"
"CFAV (2004-2010)"
"KINQ (1983-1987)"
"WSUH (2003–2007)"
"WXOL (1992-1995)"
"WSFF (2009–2019"
"KIFM (1963–1975)"
"KBKF (1998-1999, CP)"
"KHFX (2005-2008)"
"KABL (1959-2004)"
"KPMN (1950, CP)"
"KRIM (1988–1998)"
"KMGM (1959–1962)"
"WEAA (1922-1925)"
"WEEH (1979-1980)"
"WDLS (1988-1998)"
"KCVD-LP (2014-2015)"
"WUUU (1993–1996)"
"KLDI (1985-2002)"
"WSOM (1965&ndash;2019)"
"WFOX (1946-1967)"
"WFON (1967-1993)"
"KTIQ (2002-2016)"
"WTBO-FM (1962–1968)"
"WHFE (1989-1999)"
"1986)"
"KGNM (1981-2020)"
"KIDA (1971–1977)"
"WVCM (1983–1988)"
"WDCM-LP (2005–2013)"
"WPGI (1995–2020)"
"CKVD (1939-1999)"
"WNZE (1994-1996)"
"KXTC (1984–1988)"
"KQUY-FM (1980-1996)"
"KLCI (1984-1987)"
"KFYI (1984-1985)"
"WZFN (2008-2010)"
"KXKW (1990-1992, CP)"
"WGUS (2003–2012)"
"WPAB (1926–1927)"
"KFMS (1968-1972)"
"KAVE (1990-1993)"
"KWTD (1981-1982)"
"KSLP"
"KHSS (1974-1979)"
"KRDR (1997-2012)"
"DZCI (1966-1978)"
"WINX-FM (1946–1949)"
"KWPL (1985-1988)"
"WHOD (1964-2002)"
"K47SL (1940-1943)"
"WAAE(1993-1993)"
"WAAQ"
"KBFG (1997-1998)"
"KQEZ (2015–2016)"
"KLCN-FM (1948-1973)"
"WHIL-FM (1960–72)"
"WLCL (2008-2011)"
"WDEO (1996–1999)"
"KCHJ-FM (2016-2019)"
"KTRY (2010-2015)"
"KXXV (1977–1979)"
"2008)"
"WJTL (1931-1935)"
"WDBL-FM (1979-2002)"
"KFAM (1938-1975)"
"WFPM (1951-1981)"
"2009)"
"2013)"
"KKFX"
"KFMT (1923&ndash;25)"
"WLLK (2005)"
"KUPI-FM (1988–2011)"
"KOWZ-FM (2003–2020)"
"WYLT (2002-2006)"
"WWGM (1993-2018)"
"KKJZ (September 2–November 27, 1992)"
"WKNN (1989-1991)"
"WYDM (2005–2014)"
"WDDV (1999-2005)"
"KMGG (2005–2006)"
"WWCP-FM (1992-1996)"
"KTIE(1989-1997)"
"WPHY (1993-1994)"
"KCNR-FM (1980–85)"
"WDON (1953–1981)"
"WFAV (1969-1992)"
"WLGH (1992-1994)"
"KCIA (1971-1981)"
"WZBQ (1986–1987)"
"WPHD (1989–2003)"
"KKGO-FM (1988-2000)"
"KTZQ (2011)"
"WPSB (2006–2009)"
"KSES (1999-2001)"
"WPCM (1978-1998)"
"WPBH (2007-2012)"
"M40 (1992-1994)"
"WKFD (November 16, 1999 – November 2, 2001)"
"WTID (1989-2003)"
"WIMX (1988–95)"
"KAMA-FM (1976-1982)"
"WOKF (1989-2003)"
"KMSX (2001)"
"WZJO (2001-2010)"
"WEDG (1993-1994)"
"KBZT-FM (1987–1993)"
"WPMX (1990–1994)"
"WQMR (1960–1971)"
"WXEJ (1992-1995)"
"WCJZ (2002–2003)"
"WSES (1983–1987)"
"WDJW (1988-1989)"
"The Groove (2000-2004)"
"KEZF (2012-2014)"
"WRFN (c. 1973–1983)"
"WSJI (1995-2007)"
"WMNN (1989)"
"WKNT (1964–1989)"
"WNCG (1992–98)"
"KWYA (2003-2010)"
"KRFD (1999-2000)"
"KRQI-FM (2004-2005)"
"KBBK (1985-2000)"
"KILS"
"WMDK-FM (1989–1991)"
"WCRM-LP (2016-2017)"
"WBBO"
"DKHKY (2014-2015)"
"WHEB-FM (1971–1991)"
"KIVA (2009)"
"2NC"
"WSSL (1984–1985)"
"KSKX (1996–2006)"
"WNNW-FM (1984-1985)"
"KEVT (1953–1981)"
"WITA (1948-1970)"
"KHCK-FM (2005-2010)"
"1994)"
"1998)"
"WAJY (1990-2004)"
"KFEZ (1992-1997)"
"WMOE, WJAQ (CP)"
"WAWE (1997–2001)"
"WMAL (1925–2019)"
"WEGK (1996–2001)"
"WZNE (1983&ndash;86)"
"96)"
"WTUN (2003-2006)"
"WGES (1995-2006)"
"KHOL (1978-2006)"
"WNOE"
"WAYX-FM (1986–1987)"
"WEKV (2006-2017)"
"KZCY (1997-2002)"
"KUTQ (1991-1996)"
"WEAE (1998–2010)"
"none"
"KXQR (1959-1969)"
"WIXO (1981-1984)"
"WTAP, WKYG"
"WKDM (2000–2003)"
"KCPX (1993–1999)"
"WSQN (1991–2003)"
"WZBO (1982&ndash;1983)"
"DZAF (1986-1987)"
"KSIQ (1981-2014)"
"WBRF (1985-Present)"
"KRAM (1968–1988)"
"WYHY (1982–1996)"
"WAMX (1970-1972)"
"WLRB-FM (1975-1980)"
"WLLI (2017-2020)"
"KCHQ (1990–1997)"
"WGH (1984–2004)"
"WGOR (2004-2006)"
"WOUF (2001-2009)"
"CKRX (1993-1996)"
"WWMM (2011–12)"
"KRRR (1959-1983)"
"KKAW (2013-2014)"
"KQYX (1962-2001)"
"CKWG-FM (1980s)"
"WIZZ (1953-2001)"
"WSRW-FM (1962&ndash;2009)"
"WEXL-FM (1948–73)"
"KORQ-FM (1984-1999)"
"WKQV (1979-1981)"
"WAVJ (1994-2017)"
"DXRM (November 2008-April 2012)"
"KBBQ (1973–1985)"
"KFGT (1949-1958)"
"WXTR (2006&ndash;10)"
"WFML, WVUC"
"KNJY (1993-1999)"
"WHII (?-1987)"
"WWCW (1972-1978)"
"KYWY (2016–2017)"
"WFSO (1966-1978)"
"WXFO (2009-2014)"
"WALT (1970-1982)"
"WZOM (?-1987)"
"KEYI-FM (1986-2004)"
"WYDD (1967–1989)"
"KHTE (1998-2000)"
"KMUR (2001-2007)"
"KOJO (1987-1989)"
"KMUZ (2007-2008)"
"WSEG(1993-2003)"
"WFOG (2001-2003)"
"KGNU (1965–1969)"
"KZFX (1998-2002)"
"KBCR (1977-1995)"
"KVOD (1996–99)"
"WKGE (1982–1985)"
"1998)"
"KVBC (1951-1958)"
"HJKC"
"05)"
"1992, CP)"
"WWYW (2004–2013)"
"WDSC-FM (1954–1986)"
"KQIN (1970 -1986)"
"WUPE-FM (1977–79)"
"KODA-FM (1967&ndash;80)"
"WADD (1970-1976)"
"WRAX (1998-2005)"
"WLDA (2000–2001)"
"KELO-FM (1965–2013)"
"KVFG (2000–2019)"
"KVLT (1986-1990)"
"08)"
"WPBB (1985-1988)"
"WXQZ (1996-1999)"
"WSJC-FM (1970-1988)"
"WHER (1955–73)"
"KBDB-FM (2005)"
"WESL (1972–2007)"
"2002)"
"WBPR (1989–1993)"
"KBBJ (1982-1987)"
"KOUL (1970–2013)"
"WCTI-LP (2003-2004)"
"Bayern plus"
"WOKM (1979–1982)WOKM-FM (1982–1984)"
"KAKK (1995)"
"WJLY (1974–1979)"
"KEZG (2008)"
"WTRX-FM (2003&ndash;2010)"
"92)"
"KIKX(1984-1987)"
"WZRQ (1985-1990)"
"ZBW (1 February 1929&mdash;August 1948)"
"CFGM (1961-1988, 1988-1990)"
"WNAD (September 16, 1922-December 7, 1981)"
"WXXP (1985–88)"
"WACF (1974-2006)"
"KDDC (1980–1981)"
"Susanville:"
"WIVY-FM (1965–97)"
"WXGN (1996-2020)"
"KKBE (2015–2021)"
"KWLB-FM (1980-1987)"
"KQDS-FM (1980–1981)"
"WAXU-FM (1973-1984)"
"WXRG (1993–1997)"
"KCUV-FM (2005-2006)"
"KBOI-FM (1960–1985)"
"2004)"
"ZFRS-FM and ZFRS-FM-1"
"WSOK-FM (1953&ndash;1955)"
"Radio Moldova"
"KBIB (1964–1982)"
"WAPL-FM (1977-2008)"
"WLLW (2000-2016)"
"WRLP (1992-2000)"
"WRJS (2006–2009)"
"WPPY (2000&ndash;2004)"
"WSIC-FM (1947-?)"
"KGBA (1963–1965)"
"KIRQ (2007-2015)"
"WBMS (1984–1996)"
"KUTI (1955–1996)"
"KGDP (January 22, 1990 to September 18, 2009)"
"79)"
"CKXD (1990-1999)"
"KRZN (1994-1997)"
"WLKW-FM (2011-2018)"
"WYOU-LP (2004-2008)"
"WTCX (1987-1992)"
"KJYK (1989-1995)"
"WKYJ (1988-1991)"
"KMUS-FM (1990-2002)"
"WXLM (1970s-1980)"
"WSIG (1954–1988)"
"KIMX (1988-2003)"
"WMFJ-FM (1967–73)"
"WWOY-LP (2014-2017)"
"WVXM (2011–2014)"
"KMJY (2008-2010)"
"KEYA"
"* 4IP (1935–1978)"
"WBLP (1982&ndash;1984)"
"KMWS (2002)"
"WBBB (1941-1979)"
"KADI-FM (1979-87)"
"WPRT-FM, WBVS"
"WSWM (1975-1979)"
"WWGO-FM (1969–1971)"
"WJYT (1985-1988)"
"KOPA (1974-1974)"
"WGBZ (2014-2021)"
"WKKB(May 11, 1989-November 2, 1998)"
"WTRL-FM (1990-1992)"
"KMA-FM (1989–1992)"
"WKZE (1985–2006)"
"WJJJ (1996–2004)"
"KRGN (1963-1974)"
"WUHN (1979–2006)"
