"synonym"
"Dāūdpur"
"* Dorcadion graecum (Waltl, 1838)"
"* Streptomyces luridiscabiei (Park et al. 2003)"
"*Scaptesyle integra (Swinhoe, 1894)"
"*Oxynetra rufocincta (Hayward, 1932)"
"Chalymmota (P.Karst. (1879)"
"*Rhizotrogus signatus (Mulsant, 1842)"
"Lampteromyces mangensis (Jian Z.Li & X.W.Hu (1993)"
"*Cryphia ravala ravulatra (Aubert, 1953)"
"جماعة سيدي عبدالمومن"
"Przygodzice Commune"
"Clavaria amethystinoides (Peck (1907)"
"Gauhati (anglicised)"
"* Pongamia elegans Graham"
"*Encyclia hollandae (Fowlie)  (1990)"
"*Liptena (Tetrarhanis) ilma ugandae (Stempffer, 1964)"
"Mesocriconema pruni"
"*Calisto smintheus brochei (Torre, 1973)"
"Trzebnica Commune"
"*Laemocharis fasciatella (Ménétriés, 1857)"
"** Idiotubidae (Kozlowski 1949)"
"Pszczółki Commune"
"("
"Polycheles intermedius (Balss, 1914)"
"Atypical decubital fibroplasia, decubital ischemic fasciitis"
"Deknepollen"
"* Agallissus grata (Haldeman, 1853)"
"Uslaria (Nieuwl.(1916)"
"*Chrysozonata (Hampson, 1914)"
"*Psoricoptera trigonota (Walsingham, 1911)"
"*Dimetrota crucialis"
"* Plagiohammus imperator (Thomson, 1868)"
"Lamia bifasciata (Fabricius, 1775 (Preocc.?)"
"* Aroaphila (Heller, 1901)"
"* Alcithoe ostenfeldi (Iredale, 1937)"
"* Hylobrotus ploemi (Lacordaire, 1872)"
"*Rhizotrogus zuzartei (Baraud & Branco, 1981)"
"*Josia contracta (Walker, 1854)"
"* Phytoecia hispancia (Breuning, 1951)"
"(Garassino & Schweigert, 2006)"
"Satyoo"
"* Astathes puncticollis (Thomson, 1865)"
"*Ctenucha virgo (Herrich-Schäffer,[1855])"
"*Phlyctidium apophysatum (Canter (1947)"
"* Mitra coronata (Schumacher, H.C.F., 1817)"
"*Mesogona obscurata (Dannehl, 1926)"
"*Peronea rufana (Stephens, 1834)"
"* Purpura saxicola (Valenciennes, 1846)"
"Ozorków Commune"
"* Helix incarnata (Müller, 1774)"
"Kudla"
"*Sipalus misumenus Boheman, 1845"
"Cocculina leptalea A(. E. Verrill, 1884)"
"Våg"
"Trichy District"
"*Gomphidius gracilis (Berk(1854)"
"Gerdiella cingulata Olsson & Bayer, 1972"
"*Chelaria saxigera (Meyrick, in Caradja, 1931)"
"* Phytoecia pici var. erivanica (Reitter, 1899)"
"Sveti Benedikt v Slovenskih Goricah (until 1952),"
"Xerocomus hortonii (A.H.Sm. & Thiers) Manfr.Binder & Besl (2000)"
"দুধের কুঠি দেওয়ান বস"
"Patpo"
"Los Artistas"
"Полуостров Мангышла́к"
"*Plaesiorrhina ugandensis (Heath, 1903)"
"*Ixodes dugesi (Mégnin, 1880 (misapplied name)"
"*Amyna subtracta (Walker, 1862)"
"* Crypta lamellosa A. Adams, 1862"
"* Actinopycnidium caeruleum (Krassilnikov 1962 (Approved Lists 1980)"
"*Brachmia xerophaga (Meyrick, 1914)"
"* Trophon mortenseni (Odhner, 1924)"
"* Strombus scorpius (Linnaeus,1758) (basionym)"
"* Echelus punctatus (Rafinesque, 1810)"
"*Thais nesiotes (Dall, 1908)"
"* Chariesthoides unicolor (Breuning, 1953)"
"Vila Muriqui"
"*Noctua secalina"
"*Castnia variegata (Rothschild, 1919)"
"*Anisographe (Warren, 1897)"
"*Nemapogon cacheticus"
"*Castnia penelope (Schaufuss, 1870)"
"Chargulay"
"Amphisa gerningiana (Stephens, 1829)"
"* Entebbia bipunctata (Gahan, 1902)"
"Tilmiz"
"* Mynonebra consputa (Pascoe, 1864)"
"(Bosnian)"
"هبهب"
"* Castnia escalante"
"Arowali"
"*Nebria lividipes (Fairmaire, 1886)"
"Ifrane, Anti-Atlas"
"*Cyclopides malchus (Mabille, 1879)"
"*Ascidia aspersa( Mueller, 1776 )"
"*Arotrophora hemiplecta (Turner, 1916)"
"Красний Виноградар (Ukrainian)"
"*Castnia subcoerulea (Rothschild, 1919)"
"*Nepticula perpusillella (Herrich-Schaffer, 1855)"
"* Tristichotrochus takaseanus (Okutani, 1972)"
"*Metarctia flavivena (Hampson, 1902)"
"* Hypopomus mulleri (Kaup, 1856)"
"Balmoral NW"
"Wesley Vale"
"Kshirpai"
"*Zamarada pandatilinea (Prout, 1916)"
"*Eudemis albomaculatis (Liu & Bai, 1985)"
"*Calligenia suavis (Pagenstecher, 1886)"
"*Altimaenas (Dyar, 1913)"
"*Prometopus heliosema (Lower, 1902)"
"*Limacodes dentata (Oberthür , 1879)"
"Mitra aurata (Röding, 1798)"
"Kafroun"
"("
"Sacramento–Roseville"
"* Latirus scabrosus (Reeve, 1847) · unaccepted"
"*Stempfferia (Cercenia) baoule"
"Sveta Lucija ob Soči (until 1955)"
"*Phlyctaenia angustalis (Barnes & McDunnough, 1918)"
"Gurais"
"*Lithosia microxantha (Hampson, 1894)"
"*Athous porrectus Thomson"
"Shahe Town (沙河镇)"
"* Chaetostigme casta (Pascoe, 1875)"
"*Nudaurelia amathusia (Weymer, 1909)"
"*Parapodia tamaricicola (de Joannis, 1912)"
"(Kızıllar)"
"*Albinaria porphyrostoma"
"*Anerastria pleurochorda (Turner, 1913)"
"*Pseudatteria baccheutis (Meyrick, 1924)"
"*Euptera sirene (Staudinger, 1891)"
"Puttabong (Tukvar) Tea Estate"
"Vexillum osidiris"
"Lihuaxuella thermophilus"
"Specific"
"*Mesolasia hampsoni (Dognin, 1902)"
"* Pheropsopus Motschoulsky, 1855"
"*Phloeobius griseus (Stephens, 1831)"
"*Zaphanaula xenophila (Meyrick, 1920)"
""
"Lewinella sediminis"
"*Brachycrossata psoricopterella (Walsingham,[1892])"
"*Abrochia cosmosomoides (Rothschild, 1911)"
"ʔIcuman"
"Xylophasia zollikoferi"
"*''Eutelia cinctipalpis (Walker, 1865)"
"* Pterocera millipeda (Linnaeus,1758)"
"*Patella melaloma (Alb. & Schwein.)Seaver(1928)"
"Bweideh"
"Erebia segregata (Reverdin, 1918)"
""
"* Gulliveria (D'Abrera & Bálint, 2001) (may be nomen nudum; non Castelnau, 1878:preoccupied)"
"Kusāha"
"*Scyllarus sieboldi (De Haan, 1841)"
"*Eilema fuscistriga"
"Klebsiella electrica (Ma et al. 2021, not validly published)"
"* Morum delectum (Garrard, 1961)"
"Vernonia caudata (Drake)"
"*Boletus pulverulentus (Opat. (1836)"
"*Phaeochora acrocomiae (Mont.) Theiss. & Syd., (1915)"
"* Leptocyrtinus elongatus (Breuning, 1948)"
"Jagpur"
"* Tinocallis lagerstroemiae"
"Sereen"
"* Dirphya bimaculata (Franz, 1942)"
"*Zeuzera borneana (Roepke, 1957)"
"* Psyllobora bistigmosa (Mulsant, 1850)"
"* Polinices (Glossaulax) ephebus (Hedley, C., 1915)"
"*Rhizotrogus carmonensis (Baguena-Corella, 1960)"
"*Eilema angulistrigata (Strand, 1912)"
"* Heilprinia lindae (Petuch, 1987)"
"*Galtara rostrata"
"*Helomyza hispanica (Loew, 1862)"
"*Trichoniscus montanus"
"*Scyllarus squammosus (H. Milne-Edwards, 1837)"
"Stalin etraby"
"*Chlorostola (Hampson, 1898) (preocc.)"
""
"* Tectarius (Tectininus) (Clench & Abbott, 1942)"
"*Velutina zonata (Gould, 1841)"
"* Cernuella (Xeromagna) cespitum (Draparnaud, 1801)"
"Troncoso"
"*Coelodasys biguttata (Packard, 1864)"
"Evodinus dorensis (Pic, 1933)"
"* Taurolema peruviana (Lane, 1957)"
"Bukowiec Commune"
"* Oberea diversicornis (Pic, 1923)"
"Aleksandrów Kujawski Commune"
"Alshany"
"Bacillus nanhaiensis"
"আদ্রা"
"Muricopsis warreni (Petuch, 1993)"
"* Rhyssemus inscitus (Pittino, 1984)"
"* Nemcia (Domin 1923)"
"*Dicrypta (Lindl.)"
"Crusher City"
"*Orobena implicalis (Guenée, 1854)"
"Zaarouriyeh"
"Trametes ursina (Link) Fr., (1849)"
"Maranda, MC Palampur"
"*Genussa (Walker,[1865])"
"*Mordella pulla (Fahraeus, 1870)"
"Lecanocnide"
"* Sybra apiceflava (Breuning, 1970)"
"* Euchelus denigratus (Chemnitz)"
"Cunina sanfuentes (Clos)"
"Banana City"
"Jaje"
"Tānda"
"Bilémona"
"*Agrotis tibetana (Moore, 1878)"
"*Phalaena dominica"
"Beit Nakuba"
"*Glottula orientalis (Hampson, 1894)"
"* Babella affectuosa"
"Sielec"
"Boreotrophon dalli var. altus (Dall, 1902)"
"Wierzchlas Commune"
"* Stagnicola occultus"
"*Cnephasia designata (Meyrick, 1921)"
"*Melanesthes atopa"
"*Macrosila nyctiphanes (Walker, 1856)"
"*Thyrocopa depressariella (Walsingham, 1907)"
"Crinistrophia Havlíček, 1967"
"*Argyractis dualalis (Gaede, 1916)"
" Argomaiz"
"*Phalaena antennalis (Fabricius, 1794)"
"*Littorina pallescens var. erronea (Nevill, 1885)"
"*Phalaena orficalis (Linnaeus, 1758)"
"* Murex saxicola (Broderip, 1825)"
"*Zinckenia primordialis (Zeller, 1852)"
"*Pilocrocis metatalis"
"*Elaphria cephalica (Butler, 1891)"
"Katnalli"
"(San Juan Bautista de Jaruco)"
"*Dysauxes florida (de Joannis, 1906)"
"* Sigaretus planulatus (Récluz, 1843) (original combination)"
"*Antona decisa (Draudt, 1918)"
"Murex alatus (Sowerby, 1834)"
"*Dohertya minuta (Razowski, 1966)"
"* Voluta serpentina Lamarck, J.B.P.A. de, 1811"
"* Nanopsis hadfieldi (Jay & Drivas, 2002)"
"*Botis hariolalis (Hulst, 1886)"
"*Mephritus apicatus (Napp & Martins, 1991)"
"* Allacanthocotylinae Yamaguti, 1963"
"*Thecla arindela (rinde Dyar, 1916)"
"**Cataclysta albidentata (Hampson, 1897)"
"*Aplecta latex"
"* Rubrobacteridae (Rainey et al. 1997)"
"* Sphaeridium chinense (J.Frivaldszky, 1889)"
"*Cossus aries (Püngeler, 1902)"
"*Omphalina venustissima (Fr.) Quél. (1886)"
"*Emmelia uncinula (Herrich-Schäffer, 1868)"
"Chicago–Naperville–Elgin, IL–IN–WI MSA"
"Oliva (Acutoliva) australis (Duclos, 1835)· accepted, alternate representation"
"*Botys caldusalis (Walker, 1859)"
"San Gaspar Chajul"
"*Gelechia palpigera (Walsingham, 1891)"
"Persicivirga ulvanivorans"
"Kelpin, Koping"
"*Philotherma apithana (Hering, 1928)"
"*Temnolopha metallota (Lower, 1901)"
"* Ophiothrix alopecurus (Müller & Troschel, 1842 )"
"*Nacoleia brunnescens (Dyar, 1914)"
"* Cochlostyla hydrophana (G. B. Sowerby I, 1841) (superseded combination)"
"*Scardia genitalis (Meyrick, 1913)"
"ঘোষপাড়া"
"*Dolichoderus sinensis atriceps (Wheeler, W.M., 1928)"
"Selenochlamys plumbea Simroth, 1912"
"* Cingula vittata Donovan, E., 1803"
"*Chloridea posttriphaena (Rothschild, 1924)"
"*Porcellana sagrai (Guérin-Méneville, 1855)"
"* Pedestredorcadion eugeniae (Ganglbauer) Sama, 2002)"
"Charles Lake"
"Geastrum cesatii (Rabenh.(1851)"
"*Zethes coenotype (Hampson, 1910)"
"Rudraksh Vatika"
"Rogowo Commune"
"* Helix lubomirskii Ślósarski, 1881"
"*Heliothis victorina (Sodoffsky, 1849)"
"Brzeszcze Commune"
"*Musca carnaria (Linnaeus,1758,)"
"* Eunidia flavovittata latevittipennis (Breuning, 1969)"
"* Sipho caelatus (Verrill & Smith, 1880)"
"*Carpocapsa gallanum (Graells, 1858)"
"*Echinus hirsutus (Döderlein, 1905)"
"L.Pudupatti"
"* Glaphyra (Albers, 1850) (Invalid: junior homonym of Glaphyra (Newman, 1840)[Coleoptera])"
"*Celama mesotherma (Hampson, 1909)"
"*Gelechia inornatella (Douglas, 1850)"
"*Cataplectica pumila (Buvat & Nel, 2000)"
"Deulgaon Gujari"
"*Pseudosimnia verepunctata (Iredale, 1930)"
"*Auxomitia minoralis (Snellen, 1880)"
"* Seguenzia carinata (Jeffreys, 1877) (original description)"
"St Micheal's"
"*Arctia x-album (Oberthür, 1911)"
"*Entyloma calendulae f. dahliae (Syd. & P.Syd.)Viégas(1944)"
"* Fusus nodicinctus A. Adams, 1855 (basionym)"
"Novohrad"
"* Rissoina costulata (Pease, 1867) ((Invalid: junior homonym of Rissoina costulata Dunker, 1859; Rissoina harperi is a replacement name))"
"* Chemnitzia curta (Dall, 1889)"
"Saba'a Biar"
"* Hoplothrix paramicator (Breuning, 1965 (misspelling)"
"* Eolis pallidula (Lafont, 1871)"
"*Trachypepla vinaria (Meyrick, 1914)"
"Helix (Helicodonta) plectostoma Benson, 1836"
"Majdan Królewski Commune"
"* Cyclostoma lapidaria Say, 1817"
"Paludina bengalensis Lamarck, 1822 (original combination)"
"*Tortrix straemiana (Haworth,[1811])"
"*Aulacoptera eucentra (Meyrick, 1937)"
"*Phalaena variegalis (Fabricius, 1787)"
"*Titanichthysbrevis (Claypole 1896)"
"*Trametes albida (Fr.) Fr. (1840)"
"Nummularia starbaeckii (Sacc. & Traverso (1911)"
"Bunonemidae"
"Bacillus thermoaerophilus"
"* Eutaxia leptophylla (Turcz.)"
"Jang Aghli"
"*Tortrix sporadias (Meyrick, 1920)"
"*Botys creonalis (Walker, 1859)"
"Trophon coronatus (H. Adams & A. Adams, 1864)"
"Pagri"
"Osaka MEA"
"Hydrogenomonas ruhlandii (Packer and Vishniac 1955)"
"* Sarcanthus rostratus Lindl. (1826)"
"Sunayama"
"*Hypena legrosi (Guillermet, 1992)"
"* Vernonia sect. Strobocalyx (Blume ex DC.)"
"* Rhodopis aberrans (Gahan, 1894)"
"Kunnal N"
"* ""Caldocellum"" Sissons et al. 1987"
"*Apethymus braccata"
"Deszczno Commune"
"* Cimex albomarginellus (Fabricius, 1794)"
"* Clausilia nigricans (Maton & Rackett, 1807 )"
"* Cypraea isabelloides (Schilder, F.A., 1924)"
"* Mylothris hepaticolor (Heller, 1923)"
"* Helminthocarpon (A.Rich. 1847)"
"*Tortrix margaritana (Hubner,[1811-1813]) (preocc. (Haworth, 1811))"
"* Polinices (Lunatia) catena (da Costa, 1778)"
"Neritina crepidularia (Lamarck, 1822)"
"Grzegorzew Commune"
"*Stenoma caliginea (Meyrick, 1930)"
"*Aphidoletes flavida (Felt, 1908)"
"*Caloptilia platycosma (Meyrick, 1912)"
"Genoa Erzelli"
"* Aculhua inca (Röber, 1895)"
"*Dectobathra choristis (Meyrick, 1904)"
"*Sesia palariformis (Lederer, 1858)"
"Biré, El Bire, El Bireh, Birra"
"Shiwad"
"Yong'an District"
"Pilchowice Commune"
"*Phasia urnifera (von Roser, 1840)"
"Krzyżanów Commune"
"مبور"
"Haocha Village (好茶村)"
"*Chrysaeglia magnifica ab. taiwana (Wileman, 1910)"
"Mhambal, Mahambel"
"Pulu"
"* Pterolophia basalis (Aurivillius, 1908 nec Pascoe, 1857)"
"* Rea lacerata (Phil.)"
"* Euclea rhombifera (Heller, 1913)"
"*Monacanthus hispidus( (Linnaeus, 1766)"
"Honjaram"
"*Parallelia albocincta (Walker, 1865)"
"Mazhom"
"La Chinche"
"* Cacia anthriboides (Pascoe, 1860)"
"*Oreta hylaeina (Aurivillius, 1925)"
"*Metarctia umbretta (Kiriakoff, 1963)"
"*Myiophyton (Lebert(1857)"
"St-Brieux (French)"
"*Cypraea minoridens (Melvill, 1901)"
"* Orobus formosus (Stev.)"
"*Pungeleria valesiaria (Vorbrodt & Muller-Rutz 1913)"
"Tubiporus rubinellus ( (Peck) S. Imai (1968)"
"*Noctua umbra (Vieweg, 1789)"
"Bir Tighissit"
"* Phantasis heros (Pascoe, 1864)"
"Gandoula"
"* Lepidopterus (Pohlig 1892 non Agassiz 1846)"
"* Favartia bellini (D'Attilio & B. W. Myers, 1985)"
"Osieck Commune"
"*Nymphula pygmaealis (Warren, 1896)"
"Beggiatoa roseopersicina (Zopf 1883)"
"Oberea pupillata ( Pesarini & Sabbadini, 2007 )"
"Chikkamath oni"
"Windmill Point"
"*Porcellium nodulosus"
"Sikasoko"
"*Purpura albocincta (Küster, 1860)"
"Nurzec-Stacja Commune"
"*Rhinosia aflavella (Amsel, 1935)"
"Asifabad"
"*Iolaus catori cottoni (Bethune-Baker, 1908)"
"* Eulima conoidea ( Kurtz & Stimpson, 1851 )"
"* Tritogenaphis escalantii (Knowlton, 1928)"
"* Hecyra asiatica (Pic) Auct. ?)"
"*Cnaphalocrocis perpersalis (Möschler, 1890)"
"*Zeuzera capensis (Walker, 1856)"
"*Cataclysta ochripicta (Moore, 1888)"
