rid,availability,updatecode,numref,contractnum,issn,isbn,notes,subfile,source,series,accessionnum
988,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199910,34,,1083-4427,,,AIAA,"IEEE-Transactions-on-Systems,-Man,-and-Cybernetics. 1999 July; vol. 29, no. 4: 378-393",,A1999-38673; Reference AN: A99-38673
1020,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794, E-Mail: dispatch@aiaa.org",199914,12,,,,,AIAA,,,A1999-47831; Reference AN: A99-47831
1034,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794, E-Mail: dispatch@aiaa.org",199914,3,CEC-ENV4-CT96-03634,,,,AIAA,,,A1999-47743; Reference AN: A99-47743
1062,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794, E-Mail: dispatch@aiaa.org",199914,4,,,,,AIAA,,,A1999-47612; Reference AN: A99-47612
1068,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794, E-Mail: dispatch@aiaa.org",199914,,,,,,AIAA,,,A1999-47581; Reference AN: A99-47581
1114,"Aeroplus Dispatch; Voice: 1 800 1545, Fax: 1 816 926 8794, E-Mail: dispatch@aiaa.org",199913,4,,,,,AIAA,,,A1999-46913; Reference AN: A99-46913
1136,"Aeroplus Dispatch; Voice: 1 800 1545, Fax: 1 816 926 8794, E-Mail: dispatch@aiaa.org",199913,7,,,,,AIAA,,,A1999-46806; Reference AN: A99-46806
1244,Aeroplus Dispatch,199912,15,,,,,AIAA,,,A1999-45404; Reference AN: A99-45404
1273,Aeroplus Dispatch,199912,12,,,,,AIAA,IAF-International-Astronautical-Congress-50th-Amsterdam-Netherlands-Oct. 4-8-1999,,A1999-44945; Reference AN: A99-44945
1333,Aeroplus Dispatch,199912,,,,,,AIAA,IAF-International-Astronautical-Congress-50th-Amsterdam-Netherlands-Oct. 4-8-1999,,A1999-44423; Reference AN: A99-44423
1334,Aeroplus Dispatch,199912,,,,,,AIAA,IAF-International-Astronautical-Congress-50th-Amsterdam-Netherlands-Oct. 4-8-1999,,A1999-44422; Reference AN: A99-44422
1357,Aeroplus Dispatch,199912,17,,0034-4257,,,AIAA,"Remote-Sensing-of-Environment. 1999 July; vol. 69, no. 1: 16-29",,A1999-43867; Reference AN: A99-43867
1363,Aeroplus Dispatch,199912,4,,0023-4206,,,AIAA,"Kosmicheskie-Issledovaniya. 1999 June; vol. 37, no. 3: 283-288",,A1999-43758; Reference AN: A99-43758
1455,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199911,48,F49620-94-1,0018-9286,,,AIAA,"IEEE-Transactions-on-Automatic-Control. 1999 August; vol. 44, no. 8: 1498-1511",,A1999-42402; Reference AN: A99-42402
1474,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199911,5,,,,,AIAA,AIAA-Space-Technology-Conference-and-Exposition-Albuquerque-NM-Sept. 28-30-1999,,A1999-42111; Reference AN: A99-42111
1476,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199911,8,F29601-97-K,,,,AIAA,AIAA-Space-Technology-Conference-and-Exposition-Albuquerque-NM-Sept. 28-30-1999,,A1999-42104; Reference AN: A99-42104
1500,"AIAA Dispatch; VOICE: (1) 800 662 1545, FAX: (1) 816 926 8794",199911,3,,,,,AIAA,,,A1999-41774; Reference AN: A99-41774
