<page title>,battery,dimensions wxhxd,keyboard,operating system,pointing device,weight,power requirements,security
"Samsung ATIV Book 9 NP930X2K-K02US 12.2"" NP930X2K-K02US B&H",2-Cell Lithium-Polymer Providing up to 12.5 Hours per Charge ( 4700 mAh ),11.2 x 0.5 x 8.4 '' / 28.4 x 1.3 x 21.3 cm,Keys : 80 Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,2.09 lb / .95 kg,,"BIOS Booting , HDD User Password Protection"
"HP Beats Special Edition 15-p030nr 15.6"" G6R14UA#ABA B&H",4-Cell Lithium-Ion Providing up to 4.75 Hours per Charge ( 41 Wh ),15.1 x 0.9 x 10.2 '' / 38.4 x 2.3 x 25.9 cm,"Type : Standard Notebook Keyboard Features : Backlight , Numeric Keypad",Windows 8.1,TouchPad with Multi-Touch Control,5.99 lb / 2.72 kg,,"Power-On Password , Accepts 3rd Party Security Lock Devices , Kensington Lock Slot"
"HP Envy 15-k081nr TouchSmart 15.6"" Multi-Touch G6U30UA#ABA",4-Cell Providing up to 4.25 Hours per Charge ( 41 Wh ),15.1 x 1.1 x 10.2 '' / 38.4 x 2.8 x 25.9 cm,"Type : Full-Size Features : Backlight , Numeric Keypad",Windows 8.1 ( 64-bit ),TouchPad,5.74 lb / 2.60 kg,AC : - VAC Consumption : 90 W,"Power-On Password , Accepts 3rd Party Security Lock Devices , Kensington Lock Slot"
"Samsung ATIV Book 9 NP940X5J-K02US 15.6"" NP940X5J-K02US B&H",4-Cell Lithium-Polymer Providing up to 8.8 Hours per Charge ( 8150 mAh ),14.7 x 0.6 x 9.8 '' / 37.3 x 1.5 x 24.9 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.4 lb / 2.00 kg,,"BIOS Booting , HDD User Password Protection , Kensington Lock Slot"
"Samsung ATIV Book 9 NP940X5J-K01US 15.6"" NP940X5J-K01US B&H",4-Cell Lithium-Polymer Providing up to 8.8 Hours per Charge ( 8150 mAh ),14.7 x 0.6 x 9.8 '' / 37.3 x 1.5 x 24.9 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.4 lb / 2.00 kg,,"BIOS Booting , HDD User Password Protection , Kensington Lock Slot"
"Panasonic Toughbook SX2 CF-SX2JDAZ1M 12.1"" CF-SX2JDAZ1M B&H","Lithium-Ion Providing up to 14.5 Hours per Charge ( 13,600mAh )",11.6 x 1.0 x 8.5 '' / 29.5 x 2.5 x 21.6 cm,Keys : 84 Type : Standard Notebook Keyboard,Windows 7 Professional ( 32-bit ),TouchPad with Circular Motion Scrolling,3.1 lb / 1.41 kg,"AC : 100-240 V AC , 50/60Hz",HDD User Password Protection
"Gigabyte Q Series Q2556N-CF1 15.6"" Notebook Q2556N-CF1 B&H",6-Cell Built-In Lithium-Ion ( 4400mAh ),14.7 x 1.2 x 9.9 '' / 37.3 x 3.0 x 25.1 cm,Type : Full-Size Features : Numeric Keypad,Windows 8.1,TouchPad,5.7 lb / 2.59 kg,,Kensington Lock Slot
"Acer Aspire R 13 R7-371T-50ZE 13.3"" NX.MQPAA.009 B&H Photo",4-Cell Built-In Lithium-Ion Providing up to 10 Hours per Charge ( 3220 mAh ),13.5 x 0.7 x 9.1 '' / 34.3 x 1.8 x 23.1 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,3.31 lb / 1.50 kg,Not Specified By Manufacturer,HDD User Password Protection
"ASUS GL551JM-EH71 15.6"" Gaming Notebook GL551JM-EH71 B&H",6-Cell Built-In Lithium-Ion Providing up to 5 Hours per Charge,15.0 x 10.0 x 1.3 '' / 38.1 x 25.4 x 3.3 cm,Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,6 lb / 2.72 kg,Not Specified By Manufacturer,
"HP ProBook 450 G2 J8U86UT#ABA 15.6"" Notebook PC J8U86UT#ABA",4-Cell Lithium-Ion ( 44 Wh ),14.8 x 10.4 x 1.0 '' / 37.6 x 26.4 x 2.5 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad with Multi-Touch Control,4.54 lb / 2.06 kg,,
Dell Inspiron 14 3000 Series i3451-1001BLK I3451-1001BLK B&H,4-Cell Providing up to 6 Hours per Charge ( 40 Wh ),13.6 x 0.8 x 9.6 '' / 34.5 x 2.0 x 24.4 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.43 lb / 2.01 kg,,Kensington Lock Slot
"ASUS K200MA-DS01T(S) 11.6"" Multi-Touch K200MA-DS01T(S) B&H",3-Cell Lithium-Ion Providing up to 5 Hours per Charge ( 34 Wh ),11.9 x 1.2 x 7.9 '' / 30.2 x 3.0 x 20.1 cm,Type : Standard Notebook Keyboard Features : Chiclet Style,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,3 lb / 1.36 kg,,Not Specified By Manufacturer
Dell Inspiron 15 5000 Series I5548-833SLV I5548-833SLV B&H Photo,3-Cell Lithium-Ion ( 43 Wh ),14.9 x 0.9 x 10.0 '' / 37.8 x 2.3 x 25.4 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,5.25 lb / 2.38 kg,,Kensington Lock Slot
"Acer Aspire V3-112P-C2HF 11.6"" Multi-Touch NX.MRQAA.005 B&H",4-Cell Lithium-Ion Providing up to 7 Hours per Charge ( 3220 mAh ),11.5 x 0.9 x 8.3 '' / 29.2 x 2.3 x 21.1 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,3.06 lb / 1.39 kg,,
"ASUS Republic of Gamers GL771JM-DH71 17.3"" GL771JM-DH71 B&H",6-Cell Lithium-Ion Providing up to 3.5 Hours per Charge ( 56 Wh ),16.3 x 1.4 x 11.0 '' / 41.4 x 3.6 x 27.9 cm,"Type : Standard Notebook Keyboard Features : Backlight , Chiclet Style",Windows 8.1 ( 64-bit ),TouchPad,7.5 lb / 3.40 kg,,
"Lenovo ThinkPad W550s 20E2000YUS 15.6"" Notebook 20E2000YUS",6-Cell External ( 48 Wh ),15.0 x 10.2 x 0.9 '' / 38.1 x 25.9 x 2.3 cm,"Type : Standard Notebook Keyboard Features : Backlight , Numeric Keypad",Windows 7 Professional ( 64-bit ),TouchPad,4.92 lb / 2.23 kg,Not Specified By Manufacturer,Fingerprint Reader
ASUS Transformer Book Flip TP500LA-DS71T TP500LA-DS71T B&H Photo,3-Cell Lithium-Ion Providing up to 5 Hours per Charge ( 48 Wh ),15.0 x 0.9 x 10.2 '' / 38.1 x 2.3 x 25.9 cm,Type : Standard Notebook Keyboard Features : Chiclet Style,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,5 lb / 2.27 kg,,
"Panasonic Toughboook 53 CF-53SAMZYLM 14"" HD CF-53SAMZYLM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"Acer Aspire V Nitro VN7-591G-7857 15.6"" NX.MTDAA.002 B&H",3-Cell Built-In Lithium-Ion ( 4605 mAh ),15.3 x 0.9 x 10.1 '' / 38.9 x 2.3 x 25.7 cm,"Type : Standard Notebook Keyboard Features : Backlight , Numeric Keypad",Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,5.29 lb / 2.40 kg,Not Specified By Manufacturer,
"MSI GS60 Ghost-003 15.6"" Notebook Computer GS60 GHOST-003",6-Cell,15.3 x 0.7 x 10.4 '' / 38.9 x 1.8 x 26.4 cm,"Type : Standard Notebook Keyboard Features : LED Backlight , Numeric Keypad",Windows 8.1,TouchPad,4.36 lb / 1.98 kg,"AC : 100-240 V AC , 50/60Hz Consumption : 120W",Not Specified By Manufacturer
"ASUS K200MA-DS01T-WH(S) 11.6"" K200MA-DS01T-WH(S) B&H Photo",3-Cell Lithium-Ion Providing up to 5 Hours per Charge ( 34 Wh ),11.9 x 1.2 x 7.9 '' / 30.2 x 3.0 x 20.1 cm,Type : Standard Notebook Keyboard Features : Chiclet Style,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,3 lb / 1.36 kg,,Not Specified By Manufacturer
"Panasonic Toughboook 53 CF-537ALZYCM 14"" HD CF-537ALZYCM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
Dell Inspiron 15 3000 Series I3543-000BLK I3543-000BLK B&H Photo,4-Cell Lithium-Ion ( 40 Wh ),15.0 x 1.0 x 10.0 '' / 38.1 x 2.5 x 25.4 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.8 lb / 2.18 kg,,Kensington Lock Slot
"Samsung ATIV Book 9 NP930X2K-K01US 12.2"" NP930X2K-K01US B&H",2-Cell Lithium-Polymer Providing up to 12.5 Hours per Charge ( 4700 mAh ),11.2 x 0.5 x 8.4 '' / 28.4 x 1.3 x 21.3 cm,Keys : 80 Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,2.09 lb / .95 kg,,"BIOS Booting , HDD User Password Protection"
"Acer Aspire E 11 ES1-111M-C40S 11.6"" Notebook NX.MRSAA.001",3-Cell Built-In Lithium-Ion Providing up to 5 Hours per Charge ( 3220 mAh ),11.5 x 0.8 x 8.3 '' / 29.2 x 2.0 x 21.1 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,2.84 lb / 1.29 kg,Not Specified By Manufacturer,Kensington Lock Slot
"MSI GS70 Stealth-280 17.3"" Gaming Notebook GS70 STEALTH-280",6-Cell,16.4 x 0.8 x 11.3 '' / 41.7 x 2.0 x 28.7 cm,"Type : Standard Notebook Keyboard Features : Backlight , Numeric Keypad",Windows 8.1,TouchPad,5.7 lb / 2.59 kg,,Not Specified By Manufacturer
"Razer Blade 14"" QHD+ Touchscreen Gaming RZ09-01301E21-R3U1",Built-In Lithium-Ion ( 70 Wh ),13.6 x 0.7 x 9.3 '' / 345.4 x 17.8 x 236.2 mm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,4.47 lb / 2.03 kg,,"Infineon TPM Software Professional Package , Kensington Lock Slot"
"Panasonic Toughboook 53 CF-532BLZYCM 14"" HD CF-532BLZYCM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"Panasonic Toughbook 31 CF-31YFAAXRM 13.1"" CF-31YFAAXRM B&H",Lithium-Ion Providing up to 8 Hours per Charge ( 4500 mAh ),11.9 x 2.9 x 11.5 '' / 30.2 x 7.4 x 29.2 cm,Keys : 87,Windows 8.1 Pro ( 64-bit ),TouchPad,7.9 lb / 3.58 kg,"AC : 100-240 VAC , 50/60 Hz",Kensington Lock Slot
"HP Stream 13.3"" 13-c030nr Notebook Computer K2L97UA#ABA B&H",3-Cell Built-In Lithium-Ion Providing up to 7.75 Hours per Charge ( 36 Wh ),13.1 x 0.8 x 9.0 '' / 33.3 x 2.0 x 22.9 cm,Type : 97 % Standard Notebook Keyboard,Windows 8.1,TouchPad with Multi-Touch Control,3.42 lb / 1.55 kg,,"Power-On Password , Accepts 3rd Party Security Lock Devices , Kensington Lock Slot"
"Lenovo G50 80E3005NUS 15.6"" Notebook Computer 80E3005NUS",4-Cell Built-In Lithium-Ion Providing up to 4 Hours per Charge ( 2200 mAh ),15.1 x 1.0 x 10.4 '' / 38.4 x 2.5 x 26.4 cm,Type : Standard Notebook Keyboard,Windows 8.1,TouchPad,4.63 lb / 2.10 kg,Not Specified By Manufacturer,Kensington Lock Slot
"Gigabyte P35GV2-CF1 15.6"" Notebook Computer P35GV2-CF1 B&H",Built-In Lithium-Polymer ( 75 Wh ),15.2 x 0.8 x 10.6 '' / 38.6 x 2.0 x 26.9 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,5.07 lb / 2.30 kg,Not Specified By Manufacturer,Kensington Lock Slot
"Fujitsu LIFEBOOK E544 14"" Notebook Computer SPFC E544-001",Providing up to 8.5 Hours per Charge,13.2 x 1.2 x 9.0 '' / 33.5 x 3.0 x 22.9 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad,4.5 lb / 2.04 kg,,
"ASUS N56JN-EB71 15.6"" Notebook Computer N56JN-EB71 B&H",6-Cell Lithium-Ion Providing up to 5 Hours per Charge ( 62 Wh ),15.0 x 1.3 x 10.0 '' / 38.1 x 3.3 x 25.4 cm,Type : Standard Notebook Keyboard Features : Chiclet Style,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,6 lb / 2.72 kg,,
"Lenovo ThinkPad 540p 20BE004EUS 15.6"" Notebook 20BE004EUS",6-Cell Lithium-Ion Providing up to 7 Hours per Charge ( 56 Wh ),14.8 x 1.1 x 9.7 '' / 37.6 x 2.8 x 24.6 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 7 Professional ( 64-bit ),TouchPad & TrackPoint with Multi-Touch Control,5.31 lb / 2.41 kg,Not Specified By Manufacturer,"HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot , Fingerprint Reader"
"Panasonic Toughboook 53 CF-53UALZZLM 14"" HD CF-53UALZZLM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"ASUS X750JA-DB71 17.3"" Notebook Computer X750JA-DB71 B&H",4-Cell Lithium-Ion Providing up to 3.65 Hours per Charge ( 2950 ),16.3 x 1.2 x 10.6 '' / 41.4 x 3.0 x 26.9 cm,"Type : Standard Notebook Keyboard Features : Numeric Keypad , Chiclet Style",Windows 8 ( 64-bit ),TouchPad with Multi-Touch Control,6.2 lb / 2.81 kg,Not Specified By Manufacturer,Not Specified By Manufacturer
"Panasonic Toughbook 31 CF-31YFAAXLM 13.1"" CF-31YFAAXLM B&H",Lithium-Ion Providing up to 8 Hours per Charge ( 4500 mAh ),11.9 x 2.9 x 11.5 '' / 30.2 x 7.4 x 29.2 cm,Keys : 87,Windows 7 Professional,TouchPad,7.9 lb / 3.58 kg,"AC : 100-240 VAC , 50/60 Hz",Kensington Lock Slot
"Lenovo Y50 59426255 15.6"" Multi-Touch Notebook 59426255 B&H",Providing up to 4 Hours per Charge,15.2 x 0.9 x 10.3 '' / 38.6 x 2.3 x 26.2 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1,TouchPad,5.29 lb / 2.40 kg,,
"Toshiba Satellite C75D-B7230 17.3"" Notebook PSCLEU-004002",6-Cell Lithium-Ion ( 48Wh ),16.3 x 1.3 x 10.6 '' / 41.4 x 3.3 x 26.9 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad with Multi-Touch Control,5.9 lb / 2.68 kg,"AC : 100-240 V AC , 50-60Hz Consumption : 45W",Kensington Lock Slot
"Panasonic Toughbook CF-31WFNAXLM 13.1"" CF-31WFNAXLM B&H",Lithium-Ion Providing up to 18 Hours per Charge ( 8550 mAh ),11.9 x 2.9 x 11.5 '' / 302.3 x 73.7 x 292.1 mm,Keys : 87 Type : Standard Notebook Keyboard Features : Backlight,Windows 7 Professional,TouchPad,7.9 lb / 3.58 kg,"AC : 100-240 VAC , 50/60 Hz","Infineon TPM Software Professional Package , Kensington Lock Slot"
"Toshiba Satellite L75-B7240 17.3"" Notebook PSKRLU-01200M",6-Cell Lithium-Ion ( 48Wh ),16.3 x 1.3 x 10.6 '' / 41.4 x 3.3 x 26.9 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad with Multi-Touch Control,5.9 lb / 2.68 kg,"AC : 100-240 V AC , 50-60Hz Consumption : 45W",Kensington Lock Slot
"Toshiba Satellite P55T-B5360 15.6"" Laptop PSPNVU-02000W B&H",4-Cell Built-In Lithium-Ion ( 43 Wh ),14.9 x 1.1 x 9.6 '' / 37.8 x 2.8 x 24.4 cm,"Type : Full-Size Features : LED Backlight , Numeric Keypad",Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,5.1 lb / 2.31 kg,"AC : 100-240 VAC , 50-60 Hz Consumption : 120 W","Power-On Password , Kensington Lock Slot"
"HP 15-g074nr 15.6"" Notebook Computer J1J29UA#ABA B&H Photo",3-Cell Lithium-Polymer ( 31 Wh ),14.8 x 1.0 x 10.2 '' / 37.6 x 2.5 x 25.9 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.83 lb / 2.19 kg,,
"HP Pavilion 17-f220nr 17.3"" Touchscreen K9B22UA#ABA B&H",4-Cell Built-In Lithium-Ion Providing up to 4.75 Hours per Charge ( 41 Wh ),16.5 x 1.1 x 11.0 '' / 41.9 x 2.8 x 27.9 cm,Type : Full-Size Features : Numeric Keypad,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,6.91 lb / 3.13 kg,Not Specified By Manufacturer,"Power-On Password , Accepts 3rd Party Security Lock Devices , Kensington Lock Slot"
"Lenovo ThinkPad W550s 20E20010US 15.5"" Notebook 20E20010US",6-Cell External ( 48 Wh ),15.0 x 10.2 x 0.9 '' / 38.1 x 25.9 x 2.3 cm,"Type : Standard Notebook Keyboard Features : Backlight , Numeric Keypad",Windows 7 Professional ( 64-bit ),TouchPad,4.92 lb / 2.23 kg,Not Specified By Manufacturer,Fingerprint Reader
"Panasonic Toughbook 53 CF-53SALZ8LM 14"" CF-53SALZ8LM B&H",Lithium-Ion,13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Type : Standard Notebook Keyboard,Windows 7 Home Premium,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,,Infineon TPM Software Professional Package
"Panasonic Toughboook 53 CF-53SALBYLM 14"" HD CF-53SALBYLM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"Toshiba Satellite C55-B5296 15.6"" Notebook PSCMLU-03701M",4-Cell Built-In Lithium-Ion ( 32Wh ),15.0 x 1.0 x 10.2 '' / 38.0 x 2.5 x 25.9 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad with Multi-Touch Control,4.85 lb / 2.20 kg,"AC : 100-240 V AC , 50-60Hz Consumption : 45W",Kensington Lock Slot
"Panasonic Toughbook 53 CF-53SALZYRM 14"" CF-53SALZYRM B&H",Lithium-Ion,13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Type : Standard Notebook Keyboard,Windows 8 Pro,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,,Infineon TPM Software Professional Package
"HP Stream 13.3"" 13-c010nr Notebook Computer K2L96UA#ABA B&H",3-Cell Lithium-Ion Providing up to 7.75 Hours per Charge ( 36 Wh ),13.1 x 0.7 x 9.0 '' / 33.3 x 1.8 x 22.9 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,3.42 lb / 1.55 kg,,
"ASUS ZenBook UX303LA-DB51T 13.3"" Multi-Touch UX303LA-DB51T",3-Cell Lithium-Polymer Providing up to 8 Hours per Charge ( 50 Wh ),12.7 x 0.8 x 8.8 '' / 32.3 x 2.0 x 22.4 cm,"Type : Standard Notebook Keyboard Features : Backlight , Chiclet Style",Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,3.2 lb / 1.45 kg,,
"Lenovo G70 80HW000WUS 17.3"" Notebook Computer 80HW000WUS",4-Cell Built-In Lithium-Cylinder Providing up to 4 Hours per Charge ( 2800 mAh ),16.5 x 1.1 x 11.1 '' / 41.9 x 2.8 x 28.2 cm,Type : Standard Notebook Keyboard,Windows 8.1,TouchPad,6.38 lb / 2.89 kg,,Kensington Lock Slot
"Lenovo ThinkPad E440 20C50052US 14"" Notebook 20C50052US B&H",6-Cell Lithium-Ion Providing up to 6.3 Hours per Charge ( 48Wh ),13.5 x 1.1 x 9.4 '' / 34.3 x 2.8 x 23.9 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad & TrackPoint with Multi-Touch Control,4.69 lb / 2.13 kg,,"HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot , Fingerprint Reader"
"Dell Alienware 17-R2 ANW17-2136SLV 17.3"" ANW17-2136SLV B&H",8-Cell Lithium-Ion,16.9 x 1.4 x 11.5 '' / 42.9 x 3.6 x 29.2 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,8.33 lb / 3.78 kg,Not Specified By Manufacturer,
"ASUS Transformer Book T200TA-B1-BL 11.6"" T200TA-B1-BL B&H",2-Cell Lithium-Ion Providing up to 9 Hours per Charge ( 38 Wh ),12.0 x 1.0 x 7.9 '' / 30.5 x 2.5 x 20.1 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 32-bit ),TouchPad with Multi-Touch Control,3.6 lb / 1.63 kg,,
"Lenovo Flex 2 59418262 Convertible 15.6"" 59418262 B&H Photo",Providing up to 7 Hours per Charge,15.1 x 1.1 x 10.9 '' / 38.4 x 2.8 x 27.7 cm,"Type : Standard Notebook Keyboard Features : Backlight , Numeric Keypad",Windows 8.1,TouchPad with Multi-Touch Control,5.51 lb / 2.50 kg,,
"ASUS X555LA-DB71 15.6"" Notebook Computer X555LA-DB71 B&H",2-Cell Built-In Lithium-Polymer Providing up to 5 Hours per Charge ( 37Wh ),15.0 x 1.0 x 10.1 '' / 38.1 x 2.5 x 25.7 cm,"Type : Standard Notebook Keyboard Features : Numeric Keypad , Chiclet Style",Windows 8.1 ( 64-bit ),TouchPad,5.1 lb / 2.31 kg,,Kensington Lock Slot
"Dell Inspiron 15 i3542-5000BK 15.6"" I3542-5000BK B&H Photo",4-Cell ( 40Wh ),Not Specified By Manufacturer,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,Not Specified By Manufacturer,,
