64bit computing,<page title>,brand,clock speed,manufacturing process,multicore technology,platform compatibility,processor quantity,product type,socket type,tdp,architecture features,bus speed,packaging type,max supported quantity
Yes,Intel Xeon X5650 2.66 GHz Six Core (BX80614X5650) Processor - Pricing and Details - Catalog.com,Intel,2.66 GHz,32 nm,Six Core,PC,1.0,Processor,LGA 1366 / Socket B ● Socket F,95 W,,,,
Yes,HP Intel Xeon X5470 3.33 GHz Quad-Core (487511-B21#0D1) Processor - Pricing and Details - Catalog.com,HP,3.33 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 771 / Socket J,120 W,"Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",FSB Speed - 1333 MHz,,
Yes,AMD Opteron 275 2.2 GHz Dual-Core (391782-B21) Processor - Pricing and Details - Catalog.com,AMD,2.2 GHz,,Dual-Core,PC,1.0,Processor upgrade,Socket 940,,"HyperTransport technology , AMD64 technology , integrated memory controller",,,
Yes,Intel Core i5-2540M 2.6 GHz Dual-Core (BX80627I52540M) Processor - Pricing and Details - Catalog.com,Intel,2.6 GHz,32 nm,Dual-Core,PC,1.0,Processor,Socket G2 ● PGA988 Socket ● Socket P,35 W,,DMI Speed - 5 GT / s,,
,Intel Pentium 4 2.66 GHz (RK80532PE067512) Processor - Pricing and Details - Catalog.com,Intel,2.66 GHz,,Single-Core,PC,1.0,Processor,Socket 478 / N,,"Streaming SIMD extensions 2 , MMX instructions set",FSB Speed - 533 MHz,FC-PGA2,
Yes,Intel Core i5-760 2.8 GHz Quad-Core (BX80605I5760) Processor - Pricing and Details - Catalog.com,Intel,2.8 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 1156 / Socket H,95 W,,DMI Speed - 2.5 GT / s,,
,AMD Athlon 64 X2 4200+ 2.2 GHz Dual-Core (ADO4200CUBOX) Processor - Pricing and Details - Catalog.com,,,,Dual-Core,,,Processor,Socket AM2+ ● Socket AM2,,,,,
,Intel Pentium 4 3.06 GHz (BX80532PE3066D) Processor - Pricing and Details - Catalog.com,,3.06 GHz,,Single-Core,,1.0,Processor,Socket 478 / N,,,,,
Yes,Intel Core 2 Quad Q8400 2.66 GHz Quad-Core (BX80580Q8400) Processor - Pricing and Details - Catalog.com,Intel,2.66 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 775 / Socket T,95 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 1333 MHz,,
Yes,Intel 3770 3.4 GHz Quad-Core (BX80637I73770) Processor - Pricing and Details - Catalog.com,Intel,3.4 GHz,22 nm,Quad-Core,PC,1.0,Processor,LGA 1155 / Socket H2,,,,,
Yes,Intel Core 2 Duo T7700 2.4 GHz Dual-Core (LF80537GG0564M) Processor - Pricing and Details - Catalog.com,Intel,2.4 GHz,65 nm,Dual-Core,PC,1.0,Processor,Socket M ● Socket P,35 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 800 MHz,478-pin Micro FCPGA,
Yes,AMD Athlon 64 3500+ 2.2 GHz (ADA3500IAA4CN) Processor - Pricing and Details - Catalog.com,AMD,2.2 GHz,90 nm,Single-Core,PC,1.0,Processor,Socket AM2+ ● Socket AM2,62 W,"HyperTransport technology , AMD64 technology , integrated memory controller , Enhanced Virus Protection",FSB Speed - 1000 MHz,,
Yes,Intel Core 2 Duo T7200 2 GHz Dual-Core (BX80537T7200) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,65 nm,Dual-Core,PC,1.0,Processor,Socket 478 / N ● Socket P ● Socket 479,34 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 667 MHz,478-pin Micro FCPGA,
Yes,Intel Xeon L5410 Low-Voltage (LV) 2.33 GHz Quad-Core (EU80574JJ053N) Processor - Pricing and Details - Catalog.com,Intel,2.33 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J,,"Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel I / O Acceleration Technology , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 1333 MHz,,
,AMD Turion II Ultra M600 2.4 GHz Dual-Core (TMM600DBO23GQ) Processor - Pricing and Details - Catalog.com,,2.4 GHz,,Dual-Core,,,Processor,Socket S1,35 W,,,,
Yes,Intel Xeon E3-1230V2 3.3 GHz Quad-Core (BX80637E31230V2) Processor - Pricing and Details - Catalog.com,Intel,3.3 GHz,22 nm,Quad-Core,PC,,Processor,LGA 1155 / Socket H2,,,,,
Yes,Intel Xeon E5440 2.83 GHz Quad-Core (BX80574E5440P) Processor - Pricing and Details - Catalog.com,Intel,2.83 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J ● Socket 771,,,FSB Speed - 1333 MHz,,
Yes,Intel Xeon 7120M 3 GHz Dual-Core (430818-B21) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,,Dual-Core,PC,1.0,Processor upgrade,Socket 604,,"Hyper-Threading Technology , Intel 64 Technology",FSB Speed - 800 MHz,,
Yes,Intel Xeon E5504 2 GHz Quad-Core (AT80602000801AA) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 1366 / Socket B,,,,,
,Intel Xeon 3.2 GHz (333714-B21) Processor - Pricing and Details - Catalog.com,Intel,3.2 GHz,,,PC,1.0,Processor upgrade,Socket 604,,"Streaming SIMD extensions 2 , Hyper-Threading Technology",FSB Speed - 533 MHz,,
Yes,Intel Xeon E5530 2.4 GHz Quad-Core (507822-B21) Processor - Pricing and Details - Catalog.com,Intel,2.4 GHz,,Quad-Core,PC,1.0,Processor upgrade,,80 W,"Hyper-Threading Technology , Intel Intelligent Power Technology , Intel Data Center Manager",,,
Yes,Intel Core i7 720QM 1.6 GHz Quad-Core (BX80607I7720QM) Processor - Pricing and Details - Catalog.com,Intel,1.6 GHz,45 nm,Quad-Core,PC,1.0,Processor,Socket 988 ● PGA988 Socket,45 W,,DMI Speed - 2.5 GT / s,988-pin Micro FCPGA,
Yes,AMD Athlon 64 X2 4000+ Energy Efficient Small Form Factor 2.1 GHz Dual-Core (ADO4000DDBOX) Processor - Pricing and Details - Catalog.com,AMD,2.1 GHz,65 nm,Dual-Core,PC,1.0,Processor,Socket AM2+ ● Socket AM2,65 W,"3DNow ! Professional technology , streaming SIMD extensions , streaming SIMD extensions 2 , HyperTransport technology , AMD64 technology , integrated memory controller , streaming SIMD extensions 3 , Enhanced Virus Protection , AMD Cool'n'Quiet Technology",FSB Speed - 1000 MHz,,
Yes,Intel Xeon X5675 3.06 GHz Six Core (BX80614X5675) Processor - Pricing and Details - Catalog.com,Intel,3.06 GHz,32 nm,Six Core,PC,1.0,Processor,LGA 1366 / Socket B,,,FSB Speed - 1333 MHz,,
Yes,Intel Xeon X5355 2.66 GHz Quad-Core (BX80563X5355P) Processor - Pricing and Details - Catalog.com,Intel,2.66 GHz,65 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J ● Socket 771,120 W,"Enhanced SpeedStep technology , Demand Based Switching , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",FSB Speed - 1333 MHz,,
Yes,Intel Pentium E5800 3.2 GHz Dual-Core (BX80571E5800) Processor - Pricing and Details - Catalog.com,Intel,3.2 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,,,FSB Speed - 800 MHz,,
,HP Intel Xeon E7-4860 2.26 GHz Ten Core (643768-B21) Processor - Pricing and Details - Catalog.com,,2.26 GHz,,Ten Core,,1.0,Processor upgrade,LGA 1567,130 W,,,,
Yes,AMD Opteron 8347 HE 1.9 GHz Quad-Core (OS8347PAL4BGH) Processor - Pricing and Details - Catalog.com,AMD,1.9 GHz,65 nm,Quad-Core,PC,1.0,Processor,Socket F ( 1207 ),55 W,"PowerNow ! technology , HyperTransport technology , AMD64 technology , integrated memory controller , AMD Virtualization",FSB Speed - 1000 MHz,,
,AMD Opteron 2350 HE 2 GHz Quad-Core (OS2350PAL4BGH) Processor - Pricing and Details - Catalog.com,AMD,2 GHz,65 nm,Quad-Core,PC,1.0,Processor,Socket F ( 1207 ),55 W,,FSB Speed - 1000 MHz,,
Yes,Intel Core 2 Quad Q9650 3 GHz Quad-Core (AT80569PJ080N) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 775 / Socket T ● Socket 8,,,FSB Speed - 1333 MHz,,
Yes,AMD Athlon X2 7850 2.8 GHz Dual-Core (AD785ZWCGHBOX) Processor - Pricing and Details - Catalog.com,AMD,2.8 GHz,65 nm,Dual-Core,PC,1.0,Processor,Socket AM2+ ● Socket AM2,95 W,"HyperTransport technology , AMD64 technology , integrated memory controller , Enhanced Virus Protection , AMD Cool'n'Quiet Technology",,,
Yes,Intel Core i5-650 3.2 GHz Dual-Core (BX80616I5650) Processor - Pricing and Details - Catalog.com,Intel,3.2 GHz,32 nm,Dual-Core,PC,1.0,Processor,LGA 1156 / Socket H,73 W,"Streaming SIMD extensions , streaming SIMD extensions 2 , MMX instructions set , Hyper-Threading Technology , integrated memory controller , streaming SIMD extensions 3 , Execute Disable Bit capability , Intel Virtualization Technology , Intel Turbo Boost Technology , supplemental streaming SIMD extensions 3 , Intel Trusted Execution Technology , Intel HD Graphics , streaming SIMD extensions 4.1 , streaming SIMD extensions 4.2",DMI Speed - 2.5 GT / s,,
Yes,Intel Core 2 Duo T7500 2.2 GHz Dual-Core (BX80537T7500) Processor - Pricing and Details - Catalog.com,Intel,2.2 GHz,65 nm,Dual-Core,PC,1.0,Processor,Socket 478 / N ● Socket P ● Socket 479,,,FSB Speed - 800 MHz,478-pin Micro FCPGA,
Yes,Intel Xeon L5320 1.86 GHz Quad-Core (HH80563JH0368M) Processor - Pricing and Details - Catalog.com,Intel,1.86 GHz,65 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J,50 W,"Enhanced SpeedStep technology , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",FSB Speed - 1066 MHz,,
Yes,Intel Pentium E2160 1.8 GHz Dual-Core (HH80557PG0331M) Processor - Pricing and Details - Catalog.com,Intel,1.8 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,,FSB Speed - 800 MHz,,
Yes,Intel Core 2 Duo E6700 2.66 GHz Dual-Core (BX80557E6700) Processor - Pricing and Details - Catalog.com,Intel,2.66 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,,FSB Speed - 1066 MHz,,
Yes,Intel Xeon 3070 2.66 GHz Dual-Core (BX805573070) Processor - Pricing and Details - Catalog.com,Intel,2.66 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 1066 MHz,,
Yes,AMD Opteron 2435 2.6 GHz Six Core (OS2435WJS6DGNWOF) Processor - Pricing and Details - Catalog.com,AMD,2.6 GHz,45 nm,Six Core,PC,1.0,Processor,Socket F ( 1207 ),75 W,"PowerNow ! technology , HyperTransport technology , AMD64 technology , integrated memory controller , AMD Virtualization , AMD CoolCore Technology",2400 MHz,,
,Intel Core Duo T2500 2 GHz Dual-Core (LF80539GF0412M) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,65 nm,Dual-Core,PC,1.0,Processor,Socket M ● Socket 479,31 W,"Enhanced SpeedStep technology , power-optimized processor system bus , streaming SIMD extensions 3 , Execute Disable Bit capability , Intel Virtualization Technology",FSB Speed - 667 MHz,478-pin Micro FCPGA,
Yes,Intel Xeon 7140N 3.33 GHz Dual-Core (40K1262) Processor - Pricing and Details - Catalog.com,Intel,,,,PC,,,,,,,Micro FCPGA6,
,HP Intel Xeon X5450 3 GHz Quad-Core (464076-001) Processor - Pricing and Details - Catalog.com,,3 GHz,,Quad-Core,,1.0,Processor upgrade,LGA 775 / Socket T,120 W,,,,
Yes,Intel Xeon E5502 1.86 GHz Dual-Core (AT80602000804AA) Processor - Pricing and Details - Catalog.com,Intel,1.86 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 1366 / Socket B,80 W,"Enhanced SpeedStep technology , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Enhanced Halt State ( C1E )",,,
Yes,Intel Core 2 Quad Q6700 2.66 GHz Quad-Core (HH80562PH0678MK) Processor - Pricing and Details - Catalog.com,Intel,2.66 GHz,65 nm,Quad-Core,PC,1.0,Processor,LGA 775 / Socket T,105 W,,FSB Speed - 1066 MHz,,
Yes,Intel Xeon E5320 1.86 GHz Quad-Core (HH80563QH0368M) Processor - Pricing and Details - Catalog.com,Intel,1.86 GHz,65 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J,,,FSB Speed - 1066 MHz,,
Yes,Intel Core 2 Duo E8300 2.83 GHz Dual-Core (EU80570PJ0736M) Processor - Pricing and Details - Catalog.com,Intel,2.83 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Trusted Execution Technology , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 1333 MHz,,
,Intel Xeon E5507 2.26 GHz Quad-Core (59Y4002) Processor - Pricing and Details - Catalog.com,,2.26 GHz,,Quad-Core,,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,,,,
,Intel Core i3 3220T 2.8 GHz Dual-Core (BX80637I33220T) Processor - Pricing and Details - Catalog.com,,2.8 GHz,,Dual-Core,,,Processor,LGA 1155 / Socket H2,,,,,
Yes,Intel Pentium D 935 3.2 GHz Dual-Core (BX80553935) Processor - Pricing and Details - Catalog.com,Intel,3.2 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,95 W,,FSB Speed - 800 MHz,,
,Intel Core i7-3770K 3.5 GHz Quad-Core (BX80667I73770K) Processor - Pricing and Details - Catalog.com,,3.5 GHz,,Quad-Core,,,Processor,LGA 1155 / Socket H2,77 W,,,,
Yes,AMD Opteron 8354 2.2 GHz Quad-Core (OS8354WAL4BGHWOF) Processor - Pricing and Details - Catalog.com,AMD,2.2 GHz,65 nm,Quad-Core,PC,1.0,Processor,Socket F ( 1207 ),75 W,"PowerNow ! technology , HyperTransport technology , AMD64 technology , integrated memory controller , AMD Virtualization",,,
Yes,Intel Xeon 5140 2.33 GHz Dual-Core (40K1240) Processor - Pricing and Details - Catalog.com,Intel,2.33 GHz,65 nm,Dual-Core,PC,1.0,Processor upgrade,Socket 771,65 W,"SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 1333 MHz,,
Yes,AMD Opteron 2435 2.6 GHz Six Core (OS2435WJS6DGN) Processor - Pricing and Details - Catalog.com,AMD,2.6 GHz,45 nm,Six Core,PC,1.0,Processor,Socket F ● Socket F ( 1207 ),75 W,"PowerNow ! technology , HyperTransport technology , AMD64 technology , integrated memory controller , AMD Virtualization , AMD CoolCore Technology",FSB Speed - 400 MHz,,
Yes,Intel Xeon X5355 2.66 GHz Quad-Core (HH80563KJ0678M) Processor - Pricing and Details - Catalog.com,Intel,2.66 GHz,65 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J,120 W,"Enhanced SpeedStep technology , Demand Based Switching , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",FSB Speed - 1333 MHz,,
Yes,Intel Celeron E1200 1.6 GHz Dual-Core (BX80557E1200) Processor - Pricing and Details - Catalog.com,Intel,1.6 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,,,FSB Speed - 800 MHz,,
Yes,Intel Core 2 Duo E7500 2.93 GHz Dual-Core (AT80571PH0773M) Processor - Pricing and Details - Catalog.com,Intel,2.93 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,,FSB Speed - 1066 MHz,,
Yes,AMD Opteron 8360 SE 2.5 GHz Quad-Core (OS8360YAL4BGH) Processor - Pricing and Details - Catalog.com,AMD,2.5 GHz,65 nm,Quad-Core,PC,1.0,Processor,Socket F ( 1207 ),105 W,"PowerNow ! technology , HyperTransport technology , AMD64 technology , integrated memory controller , AMD Virtualization",FSB Speed - 1000 MHz,,
,Dell Intel Xeon X5570 2.93 GHz Quad-Core (H506J) Processor - Pricing and Details - Catalog.com,,2.93 GHz,,Quad-Core,,1.0,Processor upgrade,,,,,,
Yes,Intel Core i5-650 3.2 GHz Dual-Core (CM80616003174AH) Processor - Pricing and Details - Catalog.com,Intel,3.2 GHz,32 nm,Dual-Core,PC,1.0,Processor,LGA 1156 / Socket H,73 W,,DMI Speed - 2.5 GT / s,,
Yes,AMD Sempron 145 2.8 GHz (SDX145HBGMBOX) Processor - Pricing and Details - Catalog.com,AMD,2.8 GHz,45 nm,Single-Core,PC,1.0,Processor,Socket AM3,45 W,,FSB Speed - 2000 MHz,,
Yes,Intel Core i3-2100 3.1 GHz Dual-Core (BX80623I32100) Processor - Pricing and Details - Catalog.com,Intel,3.1 GHz,32 nm,Dual-Core,PC,1.0,Processor,LGA 1155 / Socket H2,65 W,,DMI Speed - 5 GT / s,,
Yes,Intel Core i5 661 3.33 GHz Dual-Core (BX80616I5661) Processor - Pricing and Details - Catalog.com,Intel,3.33 GHz,32 nm,Dual-Core,PC,1.0,Processor,LGA 1156 / Socket H,,,,,
Yes,Intel Xeon E5-1660 3.3 GHz Six Core (BX80621E51660) Processor - Pricing and Details - Catalog.com,Intel,3.3 GHz,32 nm,Six Core,PC,,Processor,Socket F,,,FSB Speed - 600 MHz,,
Yes,Intel Pentium P6200 2.13 GHz Dual-Core (CP80617004122AW) Processor - Pricing and Details - Catalog.com,Intel,,,,PC,,,,,,,988-pin Micro FCPGA,
,Intel Celeron G1610 2.6 GHz Dual-Core (BX80637G1610) Processor - Pricing and Details - Catalog.com,Intel,2.6 GHz,22 nm,Dual-Core,PC,,Processor,LGA 1155 / Socket H2,,,FSB Speed - 2200 MHz,,
Yes,Intel Xeon E7220 2.93 GHz Dual-Core (LF80564QH0778M) Processor - Pricing and Details - Catalog.com,Intel,2.93 GHz,65 nm,Dual-Core,PC,1.0,Processor,Socket P ● Socket 604,,,FSB Speed - 1066 MHz,Micro FCPGA6,
Yes,Intel Xeon 5140 2.33 GHz Dual-Core (40K1244) Processor - Pricing and Details - Catalog.com,Intel,2.33 GHz,65 nm,Dual-Core,PC,1.0,Processor upgrade,LGA 771 / Socket J ● Socket 771,65 W,"Enhanced SpeedStep technology , streaming SIMD extensions 3 , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 1333 MHz,,
Yes,AMD Athlon 64 X2 4400+ 2.3 GHz Dual-Core (ADO4400IAA5DD) Processor - Pricing and Details - Catalog.com,AMD,2.3 GHz,65 nm,Dual-Core,PC,1.0,Processor,Socket AM2,65 W,"3DNow ! Professional technology , streaming SIMD extensions , streaming SIMD extensions 2 , HyperTransport technology , AMD64 technology , integrated memory controller , streaming SIMD extensions 3 , Enhanced Virus Protection , AMD Cool'n'Quiet Technology",FSB Speed - 1000 MHz,,
Yes,Intel Core 2 Quad Q8200 2.33 GHz Quad-Core (BX80580Q8200) Processor - Pricing and Details - Catalog.com,Intel,2.33 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 775 / Socket T,95 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel 64 Technology , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 1333 MHz,,
,HP AMD Opteron 6176 2.3 GHz Twelve Core (636082-B21) Processor - Pricing and Details - Catalog.com,,2.3 GHz,,Twelve Core,,1.0,Processor upgrade,Socket G34,80 W,,,,
Yes,Intel Core i5-4670 3.4 GHz Quad-Core (BX80646I54670) Processor - Pricing and Details - Catalog.com,Intel,3.4 GHz,22 nm,Quad-Core,PC,1.0,Processor,LGA 1150 / Socket H3,95 W,,FSB Speed - 1600 MHz,,
,HP Intel Xeon 3.2 GHz (352568-B21) Processor - Pricing and Details - Catalog.com,HP,3.2 GHz,,,PC,1.0,Processor upgrade,Socket 604,,"Streaming SIMD extensions 2 , Hyper-Threading Technology",FSB Speed - 533 MHz,,
Yes,Intel Xeon L3406 2.26 GHz Dual-Core (BX80616L3406) Processor - Pricing and Details - Catalog.com,Intel,2.26 GHz,32 nm,Dual-Core,PC,1.0,Processor,LGA 1156 / Socket H ● LGA 1366 / Socket B,30 W,"Enhanced SpeedStep technology , streaming SIMD extensions , streaming SIMD extensions 2 , Hyper-Threading Technology , integrated memory controller , streaming SIMD extensions 3 , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel Turbo Boost Technology , Intel 64 Technology , supplemental streaming SIMD extensions 3 , Intel Trusted Execution Technology , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2 , streaming SIMD extensions 4.1 , streaming SIMD extensions 4.2",,,
Yes,AMD Athlon 64 X2 4600+ 2.4 GHz Dual-Core (ADA4600IAA5CU) Processor - Pricing and Details - Catalog.com,AMD,2.4 GHz,90 nm,Dual-Core,PC,1.0,Processor,Socket AM2,89 W,"HyperTransport technology , AMD64 technology , integrated memory controller , Enhanced Virus Protection",FSB Speed - 1000 MHz,,
Yes,Intel Celeron E1400 2 GHz Dual-Core (BX80557E1400) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel 64 Technology , Intel Advanced Digital Media Boost , Intel Advanced Smart Cache , Intel Smart Memory Access , Intel Wide Dynamic Execution , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 800 MHz,,
Yes,Intel Core i7-3960X 3.3 GHz Six Core (BX80619I73960X) Processor - Pricing and Details - Catalog.com,Intel,3.3 GHz,32 nm,Six Core,PC,1.0,Processor,Socket LGA2011 ● Socket M,,,DMI Speed - 5 GT / s,,
Yes,Intel Core 2 Duo E6750 2.66 GHz Dual-Core (BX80557E6750) Processor - Pricing and Details - Catalog.com,Intel,2.66 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Trusted Execution Technology",FSB Speed - 1333 MHz,,
