64bit processing,<page title>,aspect ratio,battery chemistry,battery energy,bluetooth,bluetooth standard,brand name,cache,certifications standards,color,connection type,depth,display screen technology,display screen type,form factor,front camera resolutionwebcam resolution,front camerawebcam,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,headphonemicrophone combo port,height,keyboard,keyboard type,manufacturer,manufacturer part number,manufacturer website address,maximum battery run time,maximum standby battery time,maximum turbo speed,memory card reader,memory card supported,memory technology,micro hdmi,microphone,multitouch screen,number of cells,number of usb 30 ports,operating system,operating system platform,optical drive type,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product model,product name,product series,product type,screen mode,screen resolution,screen size,software included,solid state drive capacity,speakers,standard memory,total number of usb ports,touchpad features,touchscreen,weight approximate,width,wireless lan,wireless lan standard,additional information,audio line out,backlight technology,battery capacity,ethernet technology,finger print reader,hard drive capacity,hdcp supported,hdmi,height front,height rear,maximum memory,network rj45,number of total memory slots,number of usb 20 ports,operating system architecture,optical media supported,tv card,vga,webcam,wireless lan manufacturer,wireless lan model,mini hdmi,rear camera,rear camera resolution,wwan supported,direct media interface,focus modes,hard drive interface,hard drive rpm,hyperthreading,keyboard backlight,memory standard,security features,sensor type,solid state drive interface,vpro technology,wimax,chipset manufacturer,construction,mini displayport,applicationusage,carrying options,case features,compartment depth,compartment height,compartment width,durability,exterior material,maximum screen size supported,minimum screen size supported,style,chipset model,acer converter cable supported,acer converter port,displayport,checkpoint friendly,compatibility,graphics memory capacity,duallayer media supported,flash memory capacity,country of origin,input voltage,keyboard localization,maximum power supply wattage,digitizer,audio line in,esata,modem,modem rj11,printed designpatterntexture,features,memory form factor,number of mini pci express slots,number of processors installed,number of processors supported,number of total expansion slots,total hard drive capacity,near field communication,number of 35 bays,number of external 525 bays,number of total expansion bays,hard drive configuration,gps,maximum web surfing battery time,maximum video battery time,number of graphic controllers,number of internal 25 bays,number of pci express x1 slots,number of pci express x16 slots,controller type,raid levels,raid supported,expansion bay type,expansion slot type,switchable graphics,number of optical drives,cellular data connectivity technology,solid state drive configuration,number of msata interfaces,number of mxm slots,total solid state drive capacity,burst frequency,widi technology,usb host,rear camera video resolution,maximum audio battery time,accessibility,interior material,pixel density
Yes,"Lenovo IdeaTab Miix 2 64 GB Net-tablet PC - 10.1"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Atom Z3740 1.33 GHz - 59404509 - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 10,Lithium Ion ( Li-Ion ),18 Wh,Yes,Bluetooth 4.0,Lenovo,2 MB,,,Micro USB,7.2 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Hybrid,2 Megapixel,Yes,Intel,HD Graphics,Shared,LPDDR3,,,Yes,0.3 '',Yes,Physical Keyboard,Lenovo Group Limited,59404509,http : //www.lenovo.com/us/en/,,,1.86 GHz,Yes,microSD,LPDDR3,Yes,Yes,Yes,,,Windows 8.1,Windows,,,,Quad-core ( 4 Core ),Intel,Z3740,1.33 GHz,Atom,IdeaTab Miix 2,,IdeaTab Miix 2 Net-tablet PC,,Net-tablet PC,WUXGA,1920 x 1200,10.1 '',Security and Support : Lenovo Support Lenovo Companion Lenovo VeriFace Pro McAfee Internet Security ( 30-Days Free Trial ) Multimedia & amp ; Productivity : Zinio Skype Evernote Camera Man Photo Touch Amazon Kindle Lenovo Cloud Storage Microsoft Office ( Free Trial Version ),,Yes,2 GB,,,Yes,1.30 lb,10.3 '',Yes,IEEE 802.11a/b/g/n,,,,,,,,,No,,,,,,,,,,,,,,,Yes,5 Megapixel,,,,,,,,LPDDR3-1066,,Ambient Light Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,8 Hour,,,,,,,,,,,,,,,,,,,,,,,,,
,"Visual Land Prestige 10 ME-110-16GB 16 GB Tablet - 10"" - Wireless LAN - ARM Cortex A8 1.20 GHz - Blue - ME11016GBBLU - Laptops & Notebooks - VISUAL LAND Laptops & Notebooks - TheNerds.net",128 : 75,Lithium Ion ( Li-Ion ),,,,Visual Land,,,Blue,Mini USB,6.5 '',,Active Matrix TFT Color LCD,Slate,1.3 Megapixel,Yes,,,,,,,,0.5 '',Yes,Touchscreen Keyboard,"Visual Land , Inc",ME-110-16GB-BLU,http : //www.visual-land.com,8 Hour,,,Yes,microSD High Capacity ( microSDHC ),DDR3 SDRAM,,Yes,Yes,,,Android 4.0 Ice Cream Sandwich,Android,No,,,,ARM,,1.20 GHz,Cortex A8,Prestige 10,ME-110-16GB,Prestige 10 ME-110-16GB Tablet,,Tablet,WSVGA,1024 x 600,10 '',Web BrowserSuper-HD Video PlayerMusic PlayerGetJarE-mailPDF ReaderCalculatorCalendarCameraSWF PlayerFile ManagerSound RecorderAdobe Flash Player 11.1,,Yes,1 GB,2.0,,Yes,1.20 lb,11.1 '',Yes,IEEE 802.11b/g/n,,Yes,,,,,,,Yes,,,,,,2.0,,,,,,,,,Yes,2 Megapixel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Acer ICONIA W4-820-Z3742G06aii 64 GB Net-tablet PC - 8"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Atom Z3740 1.33 GHz - NTL31AA002 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 10,Lithium Polymer ( Li-Polymer ),,Yes,,Acer,2 MB,,,Micro USB,8.6 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Slate,2 Megapixel,Yes,Intel,HD Graphics,Shared,LPDDR3,,,Yes,0.4 '',Yes,Touchscreen Keyboard,"Acer , Inc",NT.L31AA.002,http : //us.acer.com,,,,Yes,microSD Extended Capacity ( microSDXC ),LPDDR3,,Yes,Yes,2-cell,,Windows 8,Windows,No,ICONIA W4-820-Z3742G06aii Net-tablet PCLithium Polymer BatteryAC Adapter,,Quad-core ( 4 Core ),Intel,Z3740,1.33 GHz,Atom,ICONIA,W4-820-Z3742G06aii,ICONIA W4-820-Z3742G06aii Net-tablet PC,W4-820,Net-tablet PC,WXGA,1280 x 800,8 '',,,Yes,2 GB,,,Yes,14.64 oz,5.3 '',Yes,IEEE 802.11a/b/g/n,Wireless LAN : Acer Nplify 802.11a/b/g/n,,LED,4960 mAh,,No,,,Yes,0.38 '',0.42 '',,,,,32-bit,,No,,,AzureWave,AW-AH691,,,,,,,,,,,,Trusted Platform Module ( TPM ) solution,Digital Compass,,,,,,,,,,,,,,,,,,,,,,,,,,64 GB,,,,,,,,,,,,,,,,,,,,,,,,10 Hour,8 Hour,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Acer Aspire E1-572-34014G50Mnrr 15.6"" LED Notebook - Intel Core i3 i3-4010U 1.70 GHz - Red - NXMHFAA002 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),,Yes,,Acer,3 MB,ACPI 3.0,Red,,10.1 '',,Active Matrix TFT Color LCD,,,,Intel,HD 4400,Shared,DDR3 SDRAM,,,,1 '',Yes,,"Acer , Inc",NX.MHFAA.002,http : //us.acer.com,4 Hour,,,Yes,Secure Digital ( SD ),DDR3L SDRAM,,Yes,,4-cell,1.0,Windows 7 Home Premium,,DVD-Writer,Aspire E1-572-34014G50Mnrr NotebookLithium Ion BatteryAC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,i3-4010U,1.70 GHz,Core i3,Aspire,E1-572-34014G50Mnrr,Aspire E1-572-34014G50Mnrr Notebook,E1-572,Notebook,HD,1366 x 768,15.6 '',"Microsoft & reg ; Office Starter : reduced-functionality Word and Excel & reg ; only , with advertising . No PowerPoint & reg ; or Outlook & reg ; . Buy Office 2010 to use the full-featured software . Bing & trade ; Bar Windows Live & trade ; Essentials",,Yes,4 GB,3.0,Multi-touch Gesture,,5.18 lb,15 '',Yes,IEEE 802.11b/g/n,Wireless LAN : Acer Nplify 802.11b/g/n,Yes,LED,2500 mAh,Gigabit Ethernet,No,500 GB,Yes,Yes,,,8 GB,Yes,,2.0,64-bit,DVD-RAM/ R/ RW,No,Yes,Yes,Atheros,WB335,,,,,,,Serial ATA,5400.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Acer Aspire E1-731-20204G50Mnii 17.3"" LED Notebook - Intel Pentium 2020M 2.40 GHz - NXMGAAA004 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),,Yes,,Acer,2 MB,ACPI 3.0,,,10.8 '',,Active Matrix TFT Color LCD,,,,Intel,HD Graphics,Shared,DDR3 SDRAM,,,,1.4 '',Yes,,"Acer , Inc",NX.MGAAA.004,http : //us.acer.com,3 Hour,,,Yes,Secure Digital ( SD ),DDR3 SDRAM,,Yes,,6-cell,2.0,Windows 7 Home Premium,,DVD-Writer,Aspire E1-731-20204G50Mnii NotebookLithium Ion BatteryAC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,2020M,2.40 GHz,Pentium,Aspire,E1-731-20204G50Mnii,Aspire E1-731-20204G50Mnii Notebook,E1-731,Notebook,HD+,1600 x 900,17.3 '',"Microsoft & reg ; Office Starter : reduced-functionality Word and Excel & reg ; only , with advertising . No PowerPoint & reg ; or Outlook & reg ; . Buy Office 2010 to use the full-featured software . Bing & trade ; Bar Windows Live & trade ; Essentials",,Yes,4 GB,3.0,Multi-touch Gesture,,7.05 lb,16.3 '',Yes,IEEE 802.11b/g/n,Wireless LAN : Acer Nplify 802.11b/g/n,Yes,LED,4400 mAh,Gigabit Ethernet,No,500 GB,Yes,Yes,1.22 '',1.36 '',8 GB,Yes,2.0,1.0,64-bit,DVD-RAM/ R/ RW,No,Yes,Yes,Atheros,WB335,,,,,5 GT/s,,Serial ATA,5400.0,No,,,,,,,,Intel,,,,,,,,,,,,,,HM77 Express,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Lenovo ThinkPad X1 Carbon 20A8004AUS 14"" Touchscreen LED Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 20A8004AUS - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),45 Wh,Yes,Bluetooth 4.0,Lenovo,4 MB,,,,8.9 '',,Active Matrix TFT Color LCD,,,,Intel,HD Graphics 4400,Shared,DDR3L SDRAM,ENERGY STAR 6.0,,Yes,0.7 '',Yes,,Lenovo Group Limited,20A8004AUS,http : //www.lenovo.com/us/en/,9 Hour,,3.30 GHz,No,,DDR3L SDRAM,,Yes,Yes,8-cell,2.0,Windows 8.1 Pro,,No,ThinkPad X1 Carbon ( 20A8-004AUS ) AC Adapter,Trackpoint,Dual-core ( 2 Core ),Intel,i7-4600U,2.10 GHz,Core i7,ThinkPad,20A8004AUS,ThinkPad X1 Carbon ( 20A8-004AUS ),X1 Carbon,Ultrabook,WQHD,2560 x 1440,14 '',Lenovo Solution CenterLenovo SupportLenovo CompanionThinkVantage System UpdateHightail - MetroPC Device StageAccuWeatherAmazon KindleNitro ProRara StreamingNorton StudioMicrosoft Office preloaded ; Purchase a product key to activateNorton Internet Security ( 30 days of virus definitions ),240 GB,Yes,8 GB,2.0,Multi-touch Gesture,Yes,3.15 lb,13 '',Yes,IEEE 802.11a/b/g/n/ac,,,LED,,Gigabit Ethernet,Yes,,,Yes,,,,Yes,,,64-bit,,,,Yes,Intel,Dual Band Wireless-AC 7260,,,,Yes,5 GT/s,,,,Yes,,DDR3L-1600/PC3-12800,"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-compliant",,M.2,,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP Business Desktop ProDesk 600 G1 Desktop Computer - Intel Core i3 i3-4150 3.50 GHz - Small Form Factor - Black - G5R57UTABA - Laptops & Notebooks - HEWLETT-PACKARD Laptops & Notebooks - TheNerds.net,,,,,,HP,3 MB,ACPI TAA Compliant,Black,,14.9 '',,,Small Form Factor,,,Intel,HD Graphics 4400,Shared,DDR3 SDRAM,RoHS,Yes,,4 '',Yes,,Hewlett-Packard,G5R57UT # ABA,http : //www.hp.com,,,,,,DDR3 SDRAM,,,,,4.0,Windows 7 Professional ( English ),,DVD-Writer,ProDesk 600 G1 Small Form Factor PC Keyboard Mouse,Mouse,Dual-core ( 2 Core ),Intel,i3-4150,3.50 GHz,Core i3,Business Desktop,,ProDesk 600 G1 Small Form Factor PC,ProDesk 600 G1,Desktop Computer,,,,"Security : Device Access Manager Drive Encryption File Sanitizer ( Activated via Wizard ) Microsoft Security Essentials HP Client Security MultiMedia : Cyberlink Power DVD , BD Cyberlink Power2Go ( Secure Burn ) HP Value Add : HP PageLift HP Support Assistant HP Recovery Disk Creator 3rd Party : Adobe Flash Player Bing Search for Internet Explorer 10 Box PDF Complete , Corporate Edition Skype",,,4 GB,10.0,,,16.70 lb,13.3 '',,,,Yes,,,,,,Yes,,,,32 GB,Yes,4.0,6.0,64-bit,DVD-RAM/ R/ RW,,Yes,,,,,,,,5 GT/s,,Serial ATA/600,7200.0,Yes,,DDR3-1600/PC3-12800,,,,No,,Intel,,,,,,,,,,,,,,Q85 Express,,,Yes,,,,Yes,,,120 V AC,English ( US ),240 W,,Yes,,,,,Security Slot,DIMM,,1.0,1.0,4.0,500 GB,,2.0,1.0,4.0,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteDesk 800 G1 Desktop Computer - Intel Core i7 i7-4770 3.40 GHz - Small Form Factor - F4K05UTABA - Laptops & Notebooks - HEWLETT-PACKARD Laptops & Notebooks - TheNerds.net,,,,,,HP,8 MB,ACPI TAA Compliant,,,14.9 '',,,Small Form Factor,,,Intel,HD 4600,Shared,DDR3 SDRAM,EU RoHS,Yes,,4 '',Yes,,Hewlett-Packard,F4K05UT # ABA,http : //www.hp.com,,,3.90 GHz,,,DDR3 SDRAM,,,,,4.0,Windows 7 Professional Upgradable to Windows 8.1 Pro,,DVD-Writer,EliteDesk 800 G1 Small Form Factor Business PC Keyboard Mouse Windows 7 Pro 64-bit Restore CD Windows 8.1 Pro 64-bit Restore CD,Mouse,Quad-core ( 4 Core ),Intel,i7-4770,3.40 GHz,Core i7,EliteDesk,,EliteDesk 800 G1 Small Form Factor Business PC,800 G1,Desktop Computer,,,,"Microsoft Security Essentials Security : Device Access Manager File Sanitizer ( Activated via Wizard ) Microsoft Defender Secure Erase HP Client Security MultiMedia : Cyberlink Media Suite Cyberlink PhotoDirector Cyberlink Power Director Cyberlink Power DVD , BD Cyberlink Power2Go ( Secure Burn ) HP Value Add : HP PageLift HP Recovery Manager HP Support Assistant HP QuickStart 3rd Party : Bing Search Evernote PDF Complete , Corporate Edition Skype",,,4 GB,10.0,,,16.70 lb,13.3 '',No,,,Yes,,,Gigabit Ethernet,,,Yes,,,,32 GB,Yes,4.0,6.0,64-bit,DVD-RAM/ R/ RW,,Yes,,,,,,,,5 GT/s,,Serial ATA/600,7200.0,Yes,,DDR3-1600/PC3-12800,,,,Yes,,Intel,,,,,,,,,,,,,,Q87 Express,,,Yes,,,,Yes,,,220 V AC,,240 W,,Yes,,,,,Security Slot,DIMM,,1.0,1.0,4.0,1 TB,,2.0,1.0,4.0,,,,,,1.0,2.0,2.0,Serial ATA/600,1,Yes,,,,,,,,,,,,,,,,,
Yes,"Lenovo ThinkPad X1 Carbon 20A70037US 14"" Touchscreen LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - Black - 20A70037US - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),45 Wh,Yes,Bluetooth 4.0,Lenovo,4 MB,,Black,,8.9 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,,,,Intel,HD 4400,Shared,DDR3L SDRAM,ENERGY STAR 6.0,Yes,Yes,0.7 '',Yes,,Lenovo Group Limited,20A70037US,http : //www.lenovo.com/us/en/,8.70 Hour,,3.30 GHz,No,,DDR3L SDRAM,,Yes,Yes,8-cell,2.0,Windows 8.1 Pro,,No,ThinkPad X1 Carbon 20A70037US Ultrabook AC Adapter Ethernet Extension Cable,Trackpoint,Dual-core ( 2 Core ),Intel,i7-4600U,2.10 GHz,Core i7,ThinkPad,20A70037US,ThinkPad X1 Carbon 20A70037US Ultrabook,X1 Carbon,Ultrabook,WQHD,2560 x 1440,14 '',Lenovo Solution Center Lenovo Support Lenovo Companion ThinkVantage System Update PC Device Stage AccuWeather Amazon Kindle Nitro Pro Rara Streaming Norton Studio Microsoft Office Preloaded ( purchase a product key to activate ) Norton Internet Security ( 30 days of virus definitions ),256 GB,Yes,8 GB,2.0,Multi-touch Gesture,Yes,3.15 lb,13 '',Yes,IEEE 802.11ac,,,LED,,Ethernet,Yes,,,Yes,,,,,,,64-bit,,,,Yes,Intel,Dual Band Wireless-AC 7260,,,,Yes,5 GT/s,,,,Yes,Yes,DDR3L-1600/PC3-12800,"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-compliant",,M.2,Yes,,Intel,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Lenovo ThinkPad T540p 20BE0085US 15.6"" LED Notebook - Intel Core i7 i7-4600M 2.90 GHz - Black - 20BE0085US - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),99.90 Wh,Yes,Bluetooth 4.0,Lenovo,4 MB,,Black,,9.8 '',,Active Matrix TFT Color LCD,,,,Intel,GeForce GT 730M,Dedicated,DDR3L SDRAM,RoHS,Yes,Yes,1.2 '',Yes,,Lenovo Group Limited,20BE0085US,http : //www.lenovo.com/us/en/,11 Hour,,3.60 GHz,Yes,Secure Digital Extended Capacity ( SDXC ),DDR3L SDRAM,,Yes,,9-cell,2.0,Windows 7 Professional Upgradable to Windows 8 Pro,,DVD-Writer,ThinkPad T540p 20BE0085US Notebook Lithium Ion Battery AC Adapter Windows 8 Pro ( 64-bit ) License Media,Trackpoint,Dual-core ( 2 Core ),Intel,i7-4600M,2.90 GHz,Core i7,ThinkPad,20BE0085US,ThinkPad T540p 20BE0085US Notebook,T540p,Notebook,Full HD,1920 x 1080,15.6 '',Lenovo Solution Center ThinkVantage Product Recovery Rescue and Recovery ThinkVantage System Update Lenovo Cloud Storage By SugarSync Intel AppUp PC Device Stage Adobe Reader Nitro Pro Evernote Skype Microsoft Office Preloaded ( purchase a product key to activate ) Norton Internet Security ( 30 days of virus definitions ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer,240 GB,Yes,8 GB,4.0,Multi-touch Gesture,,5.80 lb,14.8 '',Yes,IEEE 802.11a/b/g/n/ac,,,LED,,Gigabit Ethernet,Yes,,,,,,16 GB,Yes,2.0,2.0,64-bit,DVD R/ RW,,Yes,Yes,Intel,Dual Band Wireless-AC 7260,,,,Yes,5 GT/s,,,,Yes,Yes,DDR3L-1600/PC3-12800,Security Keyhole Power-on Password Hard Disk Password Supervisor Password Trusted Platform Module TCG 1.2-Compliant,,Serial ATA/600,Yes,,Intel,,,,,,,,,,,,,,QM87 Express,,,Yes,,,Up to 1 GB,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,Ultrabay Slim,ExpressCard/34,Yes,,,,,,,,,,,,,,
,"HP 15.6"" Touchscreen LED (BrightView) Notebook - AMD A-Series A8-6410 2 GHz - Black Licorice - G4V02UTABA - Laptops & Notebooks - HEWLETT-PACKARD Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),41 Wh,Yes,,HP,2 MB,Wi-Fi Certified UL CSA FCC Compliance ICES Australia / NZ A-Tick Compliance CCC Japan VCCI Compliance KC BSMI CE Marking Compliance BNCI or BELUS CIT GOST Saudi ArabianCompliance ( ICCP ) SABS UKRSERTCOMPUTER,Black Licorice,,10.2 '',BrightView,Active Matrix TFT Color LCD,,,,AMD,Radeon R5,Shared,DDR3L SDRAM,EPEAT Silver,Yes,Yes,1 '',Yes,,Hewlett-Packard,G4V02UT # ABA,http : //www.hp.com,,,,Yes,Secure Digital ( SD ),DDR3L SDRAM,,Yes,,4-cell,1.0,Windows 8.1 Pro,,DVD-Writer,255 G3 Notebook PC ( ENERGY STAR ) Lithium Polymer Battery AC Adapter,TouchPad,,AMD,A8-6410,2 GHz,A-Series,,,255 G3 Notebook PC ( ENERGY STAR ),,Notebook,HD,1366 x 768,15.6 '',Recovery Manager Installer Cyberlink Youcam DE Cyberlink Power DVD McAfee Internet Security ( 60 days trial ) Getting Started with Windows 8.1,,Yes,4 GB,3.0,Multi-touch Gesture,Yes,5.49 lb,14.9 '',Yes,IEEE 802.11b/g/n,,,LED,,Fast Ethernet,,500 GB,,Yes,,,8 GB,Yes,1.0,2.0,64-bit,DVD-RAM/ R/ RW,,Yes,Yes,Qualcomm,,,,,,,,Serial ATA/300,5400.0,,,DDR3L-1600/PC3-12800,Security Lock Slot ( lock purchased separately ) HP 3D DriveGuard,,,,,AMD,,,,,,,,,,,,,,,,,,,,,Yes,,China,120 V AC,English ( US ),45 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Acer TravelMate P246-M TMP246-M-52X2 14"" LED (ComfyView) Notebook - Intel Core i5 i5-4210U 1.70 GHz - Black - NXV9VAA003 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),,Yes,,Acer,3 MB,ACPI 3.0,Black,,9.8 '',ComfyView,Active Matrix TFT Color LCD,,,,Intel,,Shared,DDR3 SDRAM,,,,1.2 '',Yes,,"Acer , Inc",NX.V9VAA.003,http : //us.acer.com,,,,Yes,Secure Digital ( SD ) Card,DDR3L SDRAM,,Yes,,6-cell,1.0,Windows 7 Professional,,DVD-Writer,TravelMate TMP246-M-52X2 NotebookLithium Ion BatteryAC Adapter,TouchPad,,Intel,i5-4210U,1.70 GHz,Core i5,TravelMate,TMP246-M-52X2,TravelMate TMP246-M-52X2 Notebook,P246-M,Notebook,HD,1366 x 768,14 '',,,Yes,4 GB,3.0,Multi-touch Gesture,,5.07 lb,13.6 '',Yes,IEEE 802.11a/b/g/n,Wireless LAN : Acer Nplify 802.11a/b/g/n,Yes,LED,2500 mAh,Gigabit Ethernet,No,500 GB,Yes,Yes,1 '',1.20 '',16 GB,Yes,2.0,2.0,64-bit,DVD-RAM/ R/ RW,No,Yes,Yes,Intel,Wireless-N 7260,,,,,,,,,,,,"Kensington Lock Slot BIOS Passwords : User Supervisor HDD Acer ProShield Security Manager Including : Facial Recognition LoginData Protection : File Encryption & Decryption , Personal Secure DriveData Removal : File Shredder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"MYEPADS WOPAD-7i 8 GB Tablet - 7"" - Wireless LAN - Intel Atom Z2520 1.20 GHz - Black - WFGWOPAD7I - Laptops & Notebooks - WORRYFREE GADGETS Laptops & Notebooks - TheNerds.net",128 : 75,Lithium Ion ( Li-Ion ),,Yes,,MYEPADS,1 MB,,Black,,,,Active Matrix TFT Color LCD,Slate,300 Kilopixel,Yes,,,,,,,,,,,WORRYFREE GADGETS,WFG-WOPAD-7I,http : //www.myepads.com,,,,,,DDR3 SDRAM,,,,,,Android 4.4 KitKat,Android,No,,,Dual-core ( 2 Core ),Intel,Z2520,1.20 GHz,Atom,,WOPAD-7i,WOPAD-7i Tablet,,Tablet,WSVGA,1024 x 600,7 '',Quick Office Opera People File Manager Movie Studio MX Player Skype Sound Recording Play Store Gallery Facebook YouTube Calendar Camera Dongle Settings Games : Angry Birds Fruit Ninja Solitaire,,,2 GB,,,,,,Yes,,,,,3000 mAh,,,,,,,,,,,,,,,,,,,,Yes,2 Megapixel,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Asus Eee Box EB1033-B005G Nettop Computer - Intel Atom D2550 1.86 GHz - Black - EB1033B005G - Laptops & Notebooks - ASUS Laptops & Notebooks - TheNerds.net,,,,No,,Asus,1 MB,,Black,,6.8 '',,,,,,NVIDIA,GeForce 610M,,VRAM,RoHS,Yes,,1.1 '',Yes,,ASUS Computer International,EB1033-B005G,http : //usa.asus.com,,,,Yes,Secure Digital ( SD ),DDR3 SDRAM,,,,,,Windows 7 Professional,,,Eee Box EB1033-B005G Nettop ComputerKeyboardMouseAC AdapterVESA Mount KitStylish Stand,Mouse,Dual-core ( 2 Core ),Intel,D2550,1.86 GHz,Atom,Eee Box,EB1033-B005G,Eee Box EB1033-B005G Nettop Computer,EB1033,Nettop Computer,,,,,,,2 GB,6.0,,,1.52 lb,8.6 '',Yes,IEEE 802.11a/b/g/n,,Yes,,,Gigabit Ethernet,,,,Yes,,,4 GB,Yes,1.0,,64-bit,,,Yes,,,,,,,,,,Serial ATA,5400.0,Yes,,DDR3-1600/PC3-12800,,,,,,Intel,,,,,,,,,,,,,,NM10,,,,,,Up to 512 MB,,,,,,,,Yes,,,,,,,,1.0,1.0,,320 GB,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,
Yes,"Acer ICONIA W4-820-Z3742G06aii 64 GB Net-tablet PC - 8"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Atom Z3740 1.33 GHz - NTL31AA009 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 10,Lithium Polymer ( Li-Polymer ),,Yes,,Acer,2 MB,,,Micro USB,8.6 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Slate,2 Megapixel,Yes,Intel,HD Graphics,Shared,LPDDR3,,,Yes,0.4 '',Yes,Touchscreen Keyboard,"Acer , Inc",NT.L31AA.009,http : //us.acer.com,,,,Yes,microSD Extended Capacity ( microSDXC ),LPDDR3,,Yes,Yes,2-cell,,Windows 8,Windows,No,ICONIA W4-820-Z3742G06aii Net-tablet PCLithium Polymer BatteryAC Adapter,,Quad-core ( 4 Core ),Intel,Z3740,1.33 GHz,Atom,ICONIA,W4-820-Z3742G06aii,ICONIA W4-820-Z3742G06aii Net-tablet PC,W4-820,Net-tablet PC,WXGA,1280 x 800,8 '',,,Yes,2 GB,,,Yes,14.64 oz,5.3 '',Yes,IEEE 802.11a/b/g/n,Wireless LAN : Acer Nplify 802.11a/b/g/n,,LED,4960 mAh,,No,,,Yes,0.38 '',0.42 '',,,,,32-bit,,No,,,AzureWave,AW-AH691,,,,,,,,,,,,Trusted Platform Module ( TPM ) solution,Digital Compass,,,,,,,,,,,,,,,,,,,,,,,,,,64 GB,,,,,,,,,,,,,,,,,,,,,,,,10 Hour,8 Hour,,,,,,,,,,,,,,,,,,,,,,,,
