<page title>,display,hard drives,memory,networking,operating system,processors,support,video cards,optical drives
"$539 HP 17-f010us, HP Pavilion 17-f010us Notebook PC",17.3 '' diagonal HD+ BrightView LED-backlit ( 1600 x 900 ),750GB 5400 rpm SATA,4GB 1600 MHz DDR3L SDRAM ( 1 x 4 GB ),Integrated 10/100 BASE-T Ethernet LAN,Windows 8.1 64,"AMD Quad-Core A6-6310 APU with Radeon R4 Graphics ( 2.4 GHz , 2 MB cache )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",AMD Radeon R4 Graphics,SuperMulti DVD burner
"$299 HP 14-q010nr, HP Chromebook 14-q010nr",14 '' diagonal HD BrightView LED-backlit ( 1366 x 768 ),16 GB SATA SSD,2GB 1600 MHz DDR3 ( on-board ),802.11a/b/g/n ; Bluetooth,Chrome OS,"Intel® Celeron® 2955U with Intel HD Graphics ( 1.4 GHz , 2 MB cache , 2 cores )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",Intel HD Graphics,
"$299 HP 14-q020nr, HP Chromebook 14-q020nr",14 '' diagonal HD BrightView LED-backlit ( 1366 x 768 ),16 GB SATA SSD,2GB 1600 MHz DDR3 ( on-board ),802.11a/b/g/n ; Bluetooth,Chrome OS,"Intel® Celeron® 2955U with Intel HD Graphics ( 1.4 GHz , 2 MB cache , 2 cores )",1-year limited hardware warranty support,Intel HD Graphics,
"$1259 Lenovo W540, Lenovo ThinkPad W540 Mobile Workstation Laptop","15.6 '' FHD ( 1920 x 1080 ) LED Backlit Anti-Glare Display , Mobile Broadband Ready","500GB Hard Disk Drive , 7200rpm",8GB PC3-12800 DDR3L ( 2 DIMM ),Intel Single Band Wireless 7260BN with Bluetooth 4.0,Windows 8.1 64,"Intel Core i7-4700MQ Processor ( 6MB Cache , up to 3.40GHz )",1 Year Depot or Carry-in,NVIDIA Quadro K1100M 2GB,DVD Recordable 8x Max Dual Layer
"$550 Lenovo E440, Lenovo ThinkPad E440 Laptop",14.0 '' HD ( 1366x768 ) AntiGlare - Black,"500GB Hard Disk Drive , 7200rpm",4GB PC3-12800 DDR3L SDRAM 1600MHz SODIMM,Intel WL-N 7260 BT,Windows 8.1 64,"Intel Core i3-4000M Processor ( 3MB Cache , 2.40GHz )",1 Year Depot or Carry-in,E440 Intel,DVD Recordable 8x Max Dual Layer
"$558 HP 17z, HP Pavilion - 17z Laptop Best Value",17.3-inch diagonal HD+ BrightView WLED-backlit Display ( 1600x900 ),750GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,AMD Quad-Core A6-6310 Processor + 2GB AMD Radeon™ R7 M260 Graphics,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",2GB AMD Radeon™ R7 M260 Graphics,SuperMulti DVD burner
"$674 HP 14t, HP ENVY - 14t",14.0-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),750GB 5400 rpm Hard Drive,8GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i5-4210U Dual Core Processor + Intel® HD Graphics 4400,1-year limited hardware warranty support,Intel® HD Graphics 4400,SuperMulti DVD burner
"$656 Lenovo L540, Lenovo ThinkPad L540 Laptop - 20AVCTO1WW",15.6 '' FHD ( 1920x1080 ) LED Backlit Anti-Glare Display WWAN,"500GB Hard Disk Drive , 7200rpm",4GB PC3-12800 DDR3L SDRAM 1600MHz SODIMM,Intel 7260BN Bluetooth M.2,Windows 8 64,"Intel Core i3-4000M Processor ( 3MB Cache , 2.40GHz )",1 Year Depot or Carry-in,Intel HD Graphics 4600,DVD Recordable 8x Max Dual Layer ( clipped ) w/ SW Royalty for Windows 8
"$249 Lenovo G40, Lenovo G40 Laptop",14.0 '' HD LED ( 1366x768 ),320GB 5400 RPM,2.0GB PC3-10600 DDR3L SDRAM 1333 MHz,Lenovo BGN Wireless,Windows 8.1 64,Intel Celeron N2830 processor ( 2.16GHz 1333MHz 1MB ),One year,Intel® HD Graphics,
"$589 HP 17-f020us, HP Pavilion 17-f020us Notebook PC",17.3 '' diagonal HD+ Bright,750GB 5400 rpm SATA,"6GB 1333 MHz DDR3 SDRAM ( 1 x 2 GB , 1 x 4 GB )",Integrated 10/100 BASE-T Ethernet LAN,Windows 8.1 64,"AMD Quad-Core A8-6410 APU with Radeon R5 Graphics ( 2 GHz , 2 MB cache )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",AMD Radeon R4 Graphics,SuperMulti DVD burner
"$1054 HP 17t, HP Pavilion 17t Touch Laptop Best Value i7",17.3-inch diagonal Full HD WLED-backlit Display ( 1920x1080 ) Touchscreen,1TB 5400 rpm Hard Drive,12GB DDR3L System Memory ( 2 Dimm ),Intel 802.11ac WLAN and Bluetooth® [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i7-4510U Dual Core Processor + 2GB NVIDIA GeForce 840M Graphics,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",2GB NVIDIA GeForce 840M Graphics,SuperMulti DVD burner
"$319 HP 15t, HP 15t Non-touch PC",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),500GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,Intel® Celeron® N2840 Dual Core Processor + Intel® HD Graphics,1-year limited hardware warranty with toll-free support,Intel® HD Graphics,SuperMulti DVD burner
"$299 HP 14-q030nr, HP Chromebook - 14-q030nr",14 '' diagonal HD BrightView LED-backlit ( 1366 x 768 ),16 GB SATA SSD,2 GB 1600 MHz DDR3 ( on-board ),802.11a/b/g/n ; Bluetooth,Chrome OS,"Intel® Celeron® 2955U with Intel HD Graphics ( 1.4 GHz , 2 MB cache , 2 cores )",1-year limited hardware warranty support,Intel HD Graphics,
"$239 HP 15-g070nr, HP 15-g070nr Notebook PC",15.6 '' diagonal HD BrightView LED-backlit ( 1366 x 768 ),500GB 5400 rpm SATA,4GB 1066 MHz DDR3L SDRAM ( onboard ),Integrated 10/100 BASE-T Ethernet LAN,Windows 8.1 with Bing 64,"AMD Dual-Core E1-6010 APU with Radeon R2 Graphics ( 1.35 GHz , 1 MB cache )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",AMD Radeon R2 Graphics,
"$574 HP 15z, HP Pavilion - 15z Beats Special Edition Touch Laptop",15.6-inch diagonal Full HD WLED-backlit Display ( 1920x1080 ),1TB 5400 rpm Hard Drive,8GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,AMD Quad-Core A8-5545M Processor + AMD Radeon™ HD 8510G Graphics,1-year limited hardware warranty with toll-free support,AMD Radeon™ HD 8510G Graphics,SuperMulti DVD burner
"$824 HP 14t, HP ENVY - 14t Touch Ultrabook",14.0-inch diagonal HD BrightView LED-backlit Display ( 1366 x 768 ),500GB 5400 rpm Hard Drive,4GB DDR3 System Memory ( 1Dimm ),802.11b/g/n WLAN and Bluetooth ( R ) [ 2x2 ],Windows 8.1 64,4th generation Intel ( R ) Core ( TM ) i5-4200U Processor + Intel ( R ) HD Graphics,1-year limited hardware warranty support,Intel ( R ) HD Graphics,No Internal DVD or CD Drive
"$469 HP 14z, HP Pavilion - 14z Touch Laptop",14.0-inch diagonal HD WLED-backlit Display ( 1366x768 ),500GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,AMD Quad-Core A4-6210 Processor + AMD Radeon™ R3 Graphics,1-year limited hardware warranty with toll-free support,,SuperMulti DVD burner
"$550 Lenovo E540, Lenovo ThinkPad E540 Laptop",15.6 '' HD ( 1366x768 ) AntiGlare - Black,"500GB Hard Disk Drive , 7200rpm",4GB PC3-12800 DDR3L SDRAM 1600MHz SODIMM,Intel Wireless-N 7260 2X2 BGN+Bluetooth,Windows 8.1 64,Intel Core i3-4000M Processor -nVPro,1 Year Depot or Carry-in,E540 Intel,DVD Recordable 8x Max Dual Layer
"$199 Lenovo A10, Lenovo A10 Tablet - 59407931",10.1 '' LCD IPS Multi-touch ( 1280x800 ),16GB eMMC,1.0GB Onboard LPDDR2 600 MHz,802.11.b/g/n Wifi Wireless,ANDROID 4.2,MTK 8121 Quad-core ARM Cortex-A7 ( 1.30GHz 533MHz 1MB ),One year,,
"$804 HP 17t, HP ENVY 17t Laptop Best Value",17.3-inch diagonal HD+ BrightView WLED-backlit Display ( 1600x900 ),1TB 5400 rpm Hybrid Hard Drive,12GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel ( R ) Core ( TM ) i5-4210U Dual Core Processor + 2GB NVIDIA GeForce 840M Graphics,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",4GB NVIDIA GeForce GTX 850M Graphics,SuperMulti DVD burner
"$279 Lenovo 10 HD+, Lenovo Yoga Tablet 10 HD+ 59412196",10.1 '' FHD IPS LED Backlit ( 1920x1200 ),32GB EMMC,2.0GB LPDDR2 800 MHz,802.11b/g/n Wi-Fi wireless,ANDROID 4.3,Qualcomm Snapdragon APQ8028 Processor ( 1.60GHz 1MB ),One year,,
"$229 Lenovo Yoga 10, Lenovo Yoga Tablet 10 - 59388006",,32GB EMMC,1.0GB LPDDR2 800 MHz,11 b/g/n Wifi Wireless,ANDROID 4.2,MTK 8125 Quad-core ARM Cortex-A7 ( 1.20GHz 533MHz 1MB ),One year,,
"$224 HP 15z, HP 15z Value Laptop",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),320GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,AMD Dual-Core E1-6010 Processor,1-year limited hardware warranty support,AMD Radeon™ R2 Graphics,SuperMulti DVD burner
"$569 HP x360 - 15t, HP ENVY x360 - 15t Touch",15.6-inch diagonal HD WLED-backlit Display ( 1366x768 ) Touchscreen,500GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN and Bluetooth® [ 1x1 ],Windows 8.1 64,4th generation Intel ( R ) Core ( TM ) i3-4030U Dual Core Processor + Intel ( R ) HD Graphics 4400,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",Intel® HD Graphics 4400,No Internal DVD or CD Drive
"$654 HP 15t, HP ENVY 15t Select",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),750GB 5400 rpm Hard Drive,8GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i5-4210U Dual Core Processor + Intel® HD Graphics 4400,"1-year limited hardware warranty , toll-free technical support",Intel® HD Graphics 4400,SuperMulti DVD burner
"$249 Lenovo G50-30, Lenovo G50-30 Lpaotp - 80G0008BUS",15.6 '' HD LED ( 1366x768 ),320GB 5400RPM,2.0GB PC3-10600 DDR3L SDRAM 1333 MHz,Lenovo BGN Wireless,Windows 8.1 with Bing,Intel Celeron Processor N2830 ( 2.16 GHz 1600MHz 1MB ),One year,Intel® HD Graphics,None
"$714 HP 15t, HP Pavilion - 15t Touch Laptop Best Value",15.6-inch diagonal HD WLED-backlit Display ( 1366x768 ) Touchscreen,750GB 5400 rpm Hard Drive,6GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i5-4210U Dual Core Processor + 2GB NVIDIA GeForce 830M Graphics,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",2GB NVIDIA GeForce 830M Graphics,SuperMulti DVD burner
"$299 HP 15z, HP 15z Laptop",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),500GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,AMD Dual-Core E1-6010 Processor + AMD Radeon™ R2 Graphics,1-year limited hardware warranty support,AMD Radeon™ R2 Graphics,SuperMulti DVD burner
"$774 HP 15t, HP Pavilion - 15t Windows 7 Laptop",15.6-inch diagonal HD BrightView LED-backlit Display ( 1366x768 ),750GB 5400 rpm Hard Drive,8GB DDR3 System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1X1 ],Windows 7 Home Premium 64,4th generation Intel® Core™ i5-4200U Processor,1-year limited hardware warranty support,Intel® HD Graphics,SuperMulti 8X DVD +/- R/RW with Double Layer Support
"$773 Lenovo T440, Lenovo ThinkPad T440 Laptop",T440 14.1HD WWAN,"500GB Hard Disk Drive , 7200rpm",4GB PC3-12800 0GBBS+4GB1D,TThinkPad Wireless 2 x 2 BGN with Bluetooth,Windows 8 64,"4th Gen Intel Core i3-4010U Processor ( 3MB Cache , 1.70GHz )",,Intel HD Graphics 4400,
"$1124 Lenovo X1, Lenovo ThinkPad X1 Carbon Ultrabook",14.0 '' HD+ 1600 x 900,128GB SSD M.2,4 GB PC3-10600 DDR3L SDRAM 1333MHz SODIMM Memory ( 1 DIMM ),Bluetooth Version 4.0,Windows 8.1 64,"4th Gen Intel Core i5-4200U Processor ( 3MB Cache , up to 2.60GHz )",Three year,Intel HD 4400,
"$789 HP 14-v063us, HP Pavilion 14-v063us Notebook PC",14 '' diagonal HD LED-backlit touch screen ( 1366 x 768 ),1TB 5400 rpm SATA,"12GB 1600 MHz DDR3L SDRAM ( 1 x 4 GB , 1 x 8 GB )",Integrated 10/100 BASE-T Ethernet LAN,Windows 8.1 64,"Intel® Core™ i5-4210U with Intel HD Graphics 4400 ( 1.7 GHz , up to 2.7 GHz , 3 MB cache , 2 cores )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",Intel HD Graphics 4400,SuperMulti DVD burner
"$379 HP x360 - 11t, HP Pavilion x360 - 11t Touch Laptop",11.6-inch diagonal HD LED-backlit Display ( 1366x768 ) Touchscreen,500GB 5400 rpm Hard Drive,4GB DDR3 System Memory ( 1Dimm ),802.11b/g/n WLAN and Bluetooth® [ 1x1 ],Windows 8.1 64,Intel® Pentium® N3520 Processor,1-year limited hardware warranty support,Intel® HD Graphics,
"$407 Lenovo X140e, Lenovo ThinkPad X140e Laptop - 20BLCTO1WW","X140e 11.6WHD , WW AG Black","500GB Hard Disk Drive , 7200rpm",2 GB DDR3 - 1600MHz ( 1 DIMM ),ThinkPad b/g/n Wireless & Bluetooth 4.0 ( 1x1 BGN & BT 4.0 ),Windows 7 Professional 64,"AMD E1-2500 Processor ( 1MB Cache , 1.40GHz )",1 Year Depot or Carry-in,"X140e AMD , AMD E1-2500",
"$624 HP 14t, HP Pavilion - 14t Touch",14.0-inch diagonal HD WLED-backlit Display ( 1366x768 ),750GB 5400 rpm Hard Drive,6GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i3-4030U Dual Core Processor + Intel® HD Graphics 4400,1-year limited hardware warranty with toll-free support,Intel® HD Graphics 4400,SuperMulti DVD burner
"$301 Lenovo Yoga 2, Lenovo Yoga 2 11 - 59416662","11.6 '' HD ( 1366x768 ) LED backlight , Multitouch , IPS w/720p HD Camera","500GB , 5400RPM Serial ATA",4 GB PC3-12800 DDR3L SDRAM 1600MHz SODIMM Memory,11 b/g/n Wireless BT Combo,Windows 8.1 Standard 64 - English,"Intel® Pentium® Processor N3520 ( 2M Cache , up to 2.42 GHz )",One year,Intel® Graphics Media Accelerator HD,
"$455 Lenovo 11e, Lenovo ThinkPad Yoga 11e Multimode Chromebook - 20DU0008US",11.6 '' HD Glare 1366x768,,4.0GB PC3-10600 DDR3L 1333 MHz,Intel Dual Band Wireless-AC 7260,Google Chrome,Intel Celeron N2930 processor ( 1.83GHz 1333MHz 2MB ),One year,Integrated HD Graphics,
"$349 HP 14t, HP Pavilion 14t PC",14.0-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),500GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,Intel® Pentium® N3540 Quad Core Processor + Intel® HD Graphics,1-year limited hardware warranty support,Intel® HD Graphics,SuperMulti DVD burner
"$229 Lenovo Yoga 8, Lenovo Yoga Tablet 8 - 59387748",8.0 '' 1280x800,32GB eMMC,1.0GB LPDDR2 800 MHz,11.b/g/n Wifi Wireless,ANDROID 4.2,MTK 8125 Quad-core ARM Cortex-A7 ( 1.20GHz 533MHz 1MB ),One year,,
"$326 HP 15-r030nr, HP 15-r030nr Notebook PC",15.6 '' diagonal HD BrightView LED-backlit ( 1366 x 768 ),500GB 5400 rpm SATA,4GB 1600 MHz DDR3L SDRAM ( 1 x 4 GB ),Integrated 10/100 BASE-T Ethernet LAN,Windows 8.1 64,"Intel® Pentium® N3530 with Intel HD Graphics ( 2.16 GHz , up to 2.58 GHz , 2 MB cache , 4 cores )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",Intel HD Graphics,SuperMulti DVD burner
"$360 Lenovo 11e, Lenovo ThinkPad 11e Chromebook - 20DU0003US",11.6 '' HD AntiGlare 1366x768,,4.0GB PC3-10600 DDR3L 1333 MHz,Intel Dual Band Wireless-AC 7260,Google Chrome,Intel Celeron N2930 processor ( 1.83GHz 1333MHz 2MB ),One year,Integrated HD Graphics,
"$439 HP 15z, HP Pavilion 15z",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),750GB 5400 rpm Hard Drive,6GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,AMD Quad-Core A8-6410 Processor + AMD Radeon™ R5 Graphics,1-year limited hardware warranty with toll-free support,AMD Radeon™ R5 Graphics,SuperMulti DVD burner
"$704 HP 17t, HP ENVY 17t",17.3-inch diagonal HD+ BrightView WLED-backlit Display ( 1600x900 ),1TB 5400 rpm Hard Drive,12GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i7-4710HQ Quad Core Processor + Intel® HD Graphics 4600,1-year limited hardware warranty with toll-free support,Intel® HD Graphics 4600,SuperMulti DVD burner
"$569 HP 15-p010us, HP Pavilion 15-p010us Laptop",15.6 '' diagonal HD LED-backlit touch screen ( 1366 x 768 ),750GB 5400 rpm SATA,"6GB 1600 MHz DDR3L SDRAM ( 1 x 2 GB , 1 x 4 GB )",Integrated 10/100 BASE-T Ethernet LAN,Windows 8.1 64,"AMD Quad-Core A8-6410 APU with Radeon R5 Graphics ( 2.4 GHz , 2 MB cache )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",AMD Radeon R5 Graphics ( up to 3.25 GB ),SuperMulti DVD burner
"$1349 Lenovo Helix, Lenovo ThinkPad Helix Convertible Ultrabook","11.6 '' 400nit Full HD ( 1920 x 1080 ) , Digitizer and Pen , Intel Centrino Advanced-N 6205S ( 2x2 AGN ) , 2MP 1080p front camera , 5MP 1080prear camera","128 GB Micro Solid State Drive , Serial ATA3",4 GB PC3-10600 DDR3L SDRAM 1333MHz SODIMM Memory ( 1 DIMM ),Intel Centrino Advanced-N 6205S ( 2x2 AGN ),Windows 8 64,"Intel Core i5-3337U Processor ( 3M Cache , up to 2.70 GHz ) on Mother Board",1 Year Depot/Express Warranty,"2 x 2 WiFi , No Mobile Broadband , NFC Device Pairing , 3 cell battery",
"$799 Lenovo T440p, Lenovo ThinkPad T440p Laptop",T440p 14.0HD WWAN,"500GB Hard Disk Drive , 7200rpm",4GB PC3-12800 DDR3L SDRAM 1600MHz SODIMM,TThinkPad Wireless 2 x 2 BGN with Bluetooth,Windows 8 64,"Intel Core i5-4200M Processor ( 3MB Cache , up to 3.10GHz )",1 Year Depot or Carry-in,Intel HD Graphics,
"$699 Lenovo Y40, Lenovo Y40 Laptop",14.0 '' FHD LED AntiGlare Backlight ( 1920x1080 ),Hybrid 500GB 5400 RPM+8GB SSHD,8.0GB PC3-12800 DDR3L SDRAM 1600 MHz,Intel® Dual Band Wireless-AC 3160,Windows 8.1 64,4th Generation Intel Core i7-4510U Processor ( 2.00GHz 1600 MHz 4MB ),1 Year Depot or Carry-in,AMD Radeon R9 M270 2GB,
"$874 HP ENVY 15t, HP ENVY 15t Slim Quad Laptop Best Value",15.6-inch diagonal Full HD WLED-backlit Display ( 1920x1080 ),750GB 5400 rpm Hard Drive,8GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i7-4712HQ Quad Core Processor +4GB NVIDIA GeForce GTX 850M Graphics,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",,No Internal DVD or CD Drive
"$549 Lenovo G410, Lenovo Essential G410 Laptop - 59416602",14.0 '' HD LED Glossy with integrated camera ( 1366x768 ),500GB 5400 RPM,6.0GB PC3-12800 DDR3 SDRAM 1600 MHz,Lenovo BGN Wireless,Windows 8.1 64,4th Generation Intel Core i3-4000M Processor ( 2.40GHz 1600MHz 3MB ),One year,Intel® HD Graphics 4600,DVD Recordable ( Dual Layer )
"$476 HP 15t, HP - 15t Touch Laptop Best Value",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),500GB 5400 rpm Hard Drive,6GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel ( R ) Core ( TM ) i5-4210U Dual Core Processor + Intel ( R ) HD Graphics 4400,1-year limited hardware warranty with toll-free support,Intel ( R ) HD Graphics 4400,SuperMulti DVD burner
"$674 HP 17t-j100, HP ENVY 17t-j100 Select Edition Notebook PC",17.3-inch diagonal HD+ BrightView LED-backlit Display ( 1600 x 900 ),750GB 5400 rpm Hard Drive,6GB DDR3 System Memory ( 2 Dimm ),802.11b/g/n WLAN,Windows 8.1 64,"4th generation Intel® Core™ i5-4200M Processor ( 2.5GHz , 3MB L3 Cache )",2-year limited hardware warranty support,Intel® HD Graphics 4000,SuperMulti 8X DVD+/-R/RW with Double Layer Support
"$329 Lenovo N20p, Lenovo N20p Chromebook",11.6 '' HD AntiGlare with Multitouch ( 1366x768 ),16GB SSD,2.0GB PC3-10600 DDR3L 1333 MHz,Intel Dual Band Wireless-AC 7260,Google Chrome,Intel Celeron N2830 processor ( 2.16GHz 1333MHz 1MB ),One year,,
