<page title>,brand name,compatibility,drive interface,drive interface standard,drive type,drive width,hot swappable,manufacturer,manufacturer part number,manufacturer website address,maximum external data transfer rate,network rj45,package type,product name,product type,rotational speed,storage capacity,wireless lan,64bit processing,audio line in,audio line out,cache,chipset manufacturer,chipset model,color,controller type,depth,displayport,esata,ethernet technology,features,firewireilink,form factor,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,hdmi,height,hybrid hard drive capacity,hybrid hard drive interface,hyperthreading,keyboard,limited warranty,maximum memory,maximum power supply wattage,memory standard,memory technology,modem,modem rj11,number of mini pci express slots,number of processors installed,number of processors supported,number of total expansion slots,number of total memory slots,number of usb 30 ports,operating system,operating system architecture,optical drive type,optical media supported,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product model,product series,software included,ssd cache capacity,standard memory,total number of usb ports,vga,vpro technology,weight approximate,width,wireless lan standard,aspect ratio,backlight technology,battery chemistry,battery energy,bluetooth,bluetooth standard,digitizer,direct media interface,display screen technology,display screen type,expansion slot type,finger print reader,focus modes,front camerawebcam,headphonemicrophone combo port,keyboard backlight,keyboard localization,keyboard type,maximum battery run time,maximum turbo speed,memory card reader,memory card supported,microphone,multitouch screen,number of cells,operating system platform,screen mode,screen resolution,screen size,security features,sensor type,solid state drive capacity,solid state drive interface,speakers,touchpad features,touchscreen,wimax,wireless lan manufacturer,wireless lan model,wwan supported,applicationusage,maximum screen size supported,minimum screen size supported,style,error checking,length,memory size,memory speed,number of pins,plating,signal processing,thickness,adjustable display angle,adjustable display height,brightness,certifications standards,contrast ratio,dvi,hdcp supported,horizontal viewing angle,maximum resolution,mount type,number of screens,operating power consumption,platform supported,response time,screen surface,standby power consumption,vertical viewing angle,vesa mount compatible,vesa mount standard,near field communication,webcam,battery capacity,battery rechargeable,battery size,output voltage,packaged quantity,carrying options,case features,durability,hard drive configuration,hard drive interface,hard drive rpm,number of external 525 bays,number of hard drives,number of pci express x16 slots,number of pci express x8 slots,number of pci slots,quickpath interconnect,raid levels,raid supported,remote management,total hard drive capacity,buffer,bus powered,host interface,system requirements,hard drive capacity,number of usb 20 ports,duallayer media supported,memory form factor,number of 35 bays,number of pci express x1 slots,number of total expansion bays,license pricing,license quantity,license type,operating system supported,software name,average seek time,accessibility,additional information,exterior material,clock speed,input voltage,l1 cache,l2 cache,l3 cache,overclocking speed,process technology,processor socket,processor technology,thermal design power,thermal specification,sim size supported,license details,licensing program,graphics controller interface,graphics memory capacity,number of pci express x4 slots,device supported,number of modules,number of msata interfaces,expansion bay type,switchable graphics,flash memory capacity,front camera resolutionwebcam resolution,maximum standby battery time,maximum web surfing battery time,rear camera,rear camera resolution,rear camera video resolution,total number of micro usb ports,cable length,cable type,conductor,connector on first end,connector on second end,analog signal,api supported,bus width,chipset line,digital signal,dual link dvi supported,number of monitors supported,number of stream processors,number of power supplies installed,rack height,keyboardkeypad connectivity technology,keyboardkeypad depth,keyboardkeypad features,keyboardkeypad height,keyboardkeypad host interface,keyboardkeypad width,localization,number of keys,battery size supported,ergonomic fit,movement detection,movement resolution,number of batteries supported,pointing device connectivity technology,pointing device host interface,pointing device wireless technology,scroller type,number of hard drives installed,number of hard drives supported,protocols,frequency,input voltage range,maximum output power,buttons keys,charging capability,connectivity technology,powered usb,card height,ethernet aui,media type supported,network technology,number of network rj45 ports,poe rj45 port,serial port,total number of ports,usb,xjack,headphone,sata pin,output power,number of 25 bays,printed designpatterntexture,gobi supported,number of 2535 bays,number of 525 bays,number of solid state drive installed,number of solid state drive supported,power source,burst frequency,micro hdmi,horizontal frequency,panel technology,standard refresh rate,tilt angle,number of optical drives,adjustable display pivot,builtin devices,color supported,height with stand,offmode power consumption,usb standard,width with stand,depth with stand,number of speakers,number of graphic controllers,number of internal 25 bays,display size supported,display type supported,widescreen,gps,maximum video battery time,media layer supported,sas connector details,total number of sas ports,number of solid state drives,solid state drive configuration,total solid state drive capacity,language supported,keyboardkeypad cable length,flash memory,drive height,mini displayport
"Lenovo 57y4303 Security Cable Lock - Keyed Lock - Zinc Alloy, Galvanized Steel - 4.99 Ft - (57Y4303) - SoftwareCity.ca - Canada",Lenovo,"NotebookDocking StationDesktop ComputerFlat Panel MonitorThinkCentre SystemLenovo - ThinkStation S10 , D10 , E20 , S20 , D20 , C20 , C20X",,,,,,Lenovo Group Limited,57Y4303,http : //www.lenovo.com/ca/en,,,,57Y4303 Security Cable Lock,Cable Lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57Y4303,,,,,,,,130 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,One piece design for easy useConvenient Velcro strap tie for cable management for travel or storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad X240 20al009cus 12.5"" Led (in-plane Switching (ips) Technology) Ultrabook - Intel Core I7 I7-4600u 2.10 Ghz - Black - 8 Gb Ram - 256 Gb Ssd - Intel Hd 4400 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth - (20AL009CUS) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20AL009CUS,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad X240 ( 20AL-009CUS ),Ultrabook,,,,Yes,,,4 MB,Intel,,Black,,,Yes,,Gigabit Ethernet,,,,Intel,HD 4400,Shared,DDR3L SDRAM,"EPEAT Gold , GREENGUARD , RoHS , ENERGY STAR 5.0",Yes,,,,,Yes,Yes,3 Year,8 GB,45 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,1.0,2.0,Windows 7 Professional,64-bit,No,,ThinkPad X240 ( 20AL-009CUS ) Lithium Polymer Battery AC Adapter,"TouchPad , Trackpoint",Dual-core ( 2 Core ),Intel,i7-4600U,2.10 GHz,Core i7,ThinkPad,20AL009CUS,X240,,,8 GB,2.0,Yes,,,,,16 : 9,LED,"Lithium Ion ( Li-Ion ) , Lithium Polymer ( Li-Polymer )",23.50 Wh,Yes,Bluetooth 4.0,,5 GT/s,In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,,Yes,,,Yes,Yes,,,8.70 Hour,3.30 GHz,Yes,"Secure Digital ( SD ) , Secure Digital Extended Capacity ( SDXC ) , Secure Digital High Capacity ( SDHC ) , MultiMediaCard ( MMC )",Yes,,3-cell,,HD,1366 x 768,12.5 '',"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-compliant",,256 GB,Serial ATA/600,Yes,Multi-touch Gesture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo 43n3412 Hard Drive Bay Adaptor - 1 X 2.5"" - Ultrabay Slim - Serial Ata - Internal - (43N3412) - SoftwareCity.ca - Canada",Lenovo,Lenovo ThinkPad T400s NotebookLenovo ThinkPad T400 NotebookLenovo ThinkPad T500 NotebookLenovo ThinkPad R400 NotebookLenovo ThinkPad R500 NotebookLenovo ThinkPad W500 NotebookLenovo ThinkPad W700 Notebook,Serial ATA/150,,,,,Lenovo Group Limited,43N3412,http : //www.lenovo.com/ca/en,,,,43N3412 Hard Drive Bay Adaptor,Drive Bay Adapter,,,,,,,,,,,Serial ATA,5.2 '' ( 133 mm ),,,,,,Internal,,,,,,,,0.4 '' ( 10.5 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43N3412,,,,,,,,,5 '' ( 128 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision Lt2223p 21.5"" Led Lcd Monitor - 16:9 - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - Full Hd - Hdmi - Vga - Displayport - Usb - 8 W - Business Black - Energy Star 6.0, Epeat Gold, Tco Certified Displays 6.0, Tco Certified Edge Displays 1.1, Ule Gold, Eu Rohs, China Energy Label (cel), It Eco Declaration, Reach, Eup, China Rohs, ... - (60A1MAR2US) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,60A1MAR2US,http : //www.lenovo.com/ca/en,,,,ThinkVision LT2223p 21.5-inch FHD LED Backlit LCD ( 1920 X 1080 ) Monitor,LCD Monitor,,,,,,,,,,Business Black,,2.2 '' ( 56.4 mm ),Yes,,,Security Lock,,,,,,,"ENERGY STAR 6.0 , EPEAT Gold , TCO Certified Displays 6.0 , TCO Certified Edge Displays 1.1 , ULE Gold , EU RoHS , China Energy Label ( CEL ) , IT Eco Declaration , REACH , EuP , China RoHS , EU WEEE , CECP , MPR II",Yes,Yes,12 '' ( 304 mm ),,,,,3 Year,,,,,,,,,,,,,,,,,ThinkVision LT2223p 21.5-inch FHD LED Backlit LCD ( 1920 X 1080 ) Monitor Detachable Tool-less Full Ergo Stand VGA Cable USB Cable Power Cord CD Quick Start and Safety Poster,,,,,,,ThinkVision,LT2223p,,,,,,Yes,,4.96 kg,20.2 '' ( 512.6 mm ),,16 : 9,LED,,,,,,,,,,,,,,,,,,,,,,,,,Full HD,,21.5 '',,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,250 cd/mÂ²,TUV Green Mark ISO 9241-307 e-standby CSC GHG Saftey : BELLIS BSMI CCC CE cULus+ICES KC Gost IEC950 CB Report JEITA KEBS KONCAR KVALITET NEMKO NOM OTAN PSB SASO SONCAP TUV bauart TUV-S EMI : BSMI CCC CE DoC FCC B DoC IC KC SABS VCCI,"2,000,000 : 1",,,170Â°,1920 x 1080,Wall Mountable,1.0,8 W,PC,5 ms,,500 mW,160Â°,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110 V AC , 220 V AC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,81 kHz,Twisted Nematic Film ( TN Film ),60 Hz,,,Yes,USB Hub,16.7 Million Colors,14.3 '' ( 363 mm ),500 mW,USB 2.0,20.2 '' ( 512.6 mm ),8.6 '' ( 218.4 mm ),,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad Battery 67+ (6 Cell - X220t, X230t) - Lithium Ion (li-ion) - (0A36317) - SoftwareCity.ca - Canada",Lenovo,Lenovo ThinkPad Notebooks,,,,,,Lenovo Group Limited,0A36317,http : //www.lenovo.com/ca/en,,,,"ThinkPad Battery 67+ ( 6 Cell - X220T , X230T )",Notebook Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Ion ( Li-Ion ),63 Wh,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Proprietary Battery Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad 11e 20d9s00000 11.6"" Led Notebook - Intel Celeron N2920 1.86 Ghz - Black - 4 Gb Ram - 500 Gb Hdd - Intel Hd Graphics - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth - (20D9S00000) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20D9S00000,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad 11e 20D9S00000,Notebook,,,Yes,Yes,,,2 MB,Intel,,Black,,8.5 '' ( 215.9 mm ),,,Gigabit Ethernet,,,,Intel,HD Graphics,Shared,DDR3L SDRAM,"ENERGY STAR 5.0 , EPEAT Gold , RoHS , GREENGUARD",Yes,Yes,0.9 '' ( 22.4 mm ),,,No,Yes,1 Year,8 GB,45 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,1.0,1.0,Windows 7 Professional,64-bit,No,,ThinkPad 11e 20D9S00000 Lithium Ion Battery AC Adapter,TouchPad,Quad-core ( 4 Core ),Intel,N2920,1.86 GHz,Celeron,ThinkPad,20D9S00000,11e,,,4 GB,2.0,,No,1.49 kg,11.8 '' ( 300 mm ),IEEE 802.11 a/g/n,16 : 9,LED,Lithium Ion ( Li-Ion ),35 Wh,Yes,Bluetooth 4.0,,,,Active Matrix TFT Color LCD,,,,,Yes,,,,6.50 Hour,,Yes,"Secure Digital ( SD ) , Secure Digital Extended Capacity ( SDXC ) , Secure Digital High Capacity ( SDHC ) , MultiMediaCard ( MMC )",Yes,,4-cell,,HD,1366 x 768,11.6 '',Power-on Password Hard Disk Password Supervisor Password Security Keyhole,,,,Yes,Multi-touch Gesture,No,No,Intel,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,Yes,,,,,,,,,,Serial ATA/300,7200.0,,,,,,,,,,,,,,,500 GB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,2 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad Edge E540 20c6008qus 15.6"" Led Notebook - Intel Core I7 I7-4702mq 2.20 Ghz - Matte Black, Silver - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Intel Hd 4600 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth - (20C6008QUS) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20C6008QUS,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad Edge E540 20C6008QUS Notebook,Notebook,,,Yes,Yes,,,6 MB,Intel,HM87 Express,"Matte Black , Silver",,9.8 '' ( 249.9 mm ),,,Gigabit Ethernet,,,,Intel,HD 4600,Shared,DDR3L SDRAM,"ENERGY STAR 5.2 , RoHS , EPEAT Gold",Yes,Yes,1.2 '' ( 29.7 mm ),,,Yes,Yes,1 Year,16 GB,65 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,2.0,2.0,Windows 7 Professional,64-bit,DVD-Writer,DVDÂ±R/Â±RW,ThinkPad Edge E540 20C6008QUS Notebook Lithium Ion Battery AC Adapter,"TouchPad , Trackpoint",Quad-core ( 4 Core ),Intel,i7-4702MQ,2.20 GHz,Core i7,ThinkPad Edge,20C6008QUS,E540,Adobe Reader ThinkVantage System Update Norton Internet Security ( 30 days of virus definitions ) Microsoft Office Preloaded ( purchase a product key to activate ),,4 GB,3.0,Yes,No,2.45 kg,14.8 '' ( 376.9 mm ),IEEE 802.11b/g/n,16 : 9,LED,Lithium Ion ( Li-Ion ),48 Wh,Yes,Bluetooth 4.0,,5 GT/s,,Active Matrix TFT Color LCD,Mini PCI Express,Yes,,,Yes,,,,6.20 Hour,3.20 GHz,Yes,"Secure Digital ( SD ) , MultiMediaCard ( MMC ) , Secure Digital Extended Capacity ( SDXC ) , Secure Digital High Capacity ( SDHC )",Yes,,6-cell,,HD,1366 x 768,15.6 '',Power-on Password Hard Disk Password Supervisor Password Security Keyhole,,,,Yes,Multi-touch Gesture,No,No,Intel,Wireless-N 7260,No,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,Serial ATA/300,7200.0,,,,,,,,,,,,,,,500 GB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision Lt1713p 17"" Lcd Monitor - 5:4 - 5 Ms - Adjustable Display Angle - 1280 X 1024 - 16.7 Million Colors - 250 Nit - 1,000:1 - Sxga - Dvi - Vga - Business Black - Energy Star 6.0, Epeat Gold, Tco Certified Displays 6.0, Tco Certified Edge Displays 1.2, Ule Gold, China Energy Label (cel), Rohs, Meps, Cecp, China Rohs, Weee, ... - (60B3HAR2US) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,60B3HAR2US,http : //www.lenovo.com/ca/en,,,,ThinkVision LT1713p 17-Inch Square LCD Monitor,LCD Monitor,,,,,,,,,,Business Black,,6.5 '' ( 165.2 mm ),,,,Security Lock,,,,,,,"ENERGY STAR 6.0 , EPEAT Gold , CECP , China RoHS , WEEE , Ukraine RoHS , TCO Certified Displays 6.0 , TCO Certified Edge Displays 1.2 , ULE Gold , China Energy Label ( CEL ) , RoHS , MEPS",Yes,,14.6 '' ( 370 mm ),,,,,3 Year,,,,,,,,,,,,,,,,,"ThinkVision LT1713p 17-Inch Square LCD Monitor VGA Cable DVI Cable Power Cord CD ( multilingual user 's guide , setup test pattern , and Windows installation file ) Quick start and safety poster",,,,,,,ThinkVision,LT1713p,,,,,,Yes,,3.60 kg,16 '' ( 405.7 mm ),,5 : 4,,,,,,,,,,,,,,,,,,,,,,,,,,SXGA,,17 '',,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,250 cd/mÂ²,KC ( Korea ) cTUVus NEMKO Green Guard ( USA VOC ) SDO C ( Korea ) PC Green Label ( Japan ) TUV Green Mark TUV-Ergo ISO9241-307 KCC FCC B ( USA ) IC ( Canada ) CE ( Europe ) VCCI ( Japan ) BSMI ( Taiwan ) CCC ( China ) SABS-CoC AAA-RSO ( Serbia ) cTUVus IEC950 CB Report NEMKO TUV-GS ( Germany ) CCC ( China ) BSMI NOM ( Mexico ) ICCP ( Saudi Arab ) EAC ( Russia ) PSB ( Singapore ) ISC ( Cambodia ) AAA-S ( Serbia ) JEITA ( Japan ) SABS-LoA KC E-Standby,"1,000 : 1",Yes,,170Â°,1280 x 1024,,1.0,,PC,5 ms,,,160Â°,Yes,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Twisted Nematic Film ( TN Film ),,-3Â°to22Â°,,Yes,,16.7 Million Colors,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad T540p 20be004eus 15.6"" Led Notebook - Intel Core I5 I5-4300m 2.60 Ghz - Black - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Intel Hd 4600 - Windows 7 Professional 64-bit - 1920 X 1080 Display - Bluetooth - (20BE004EUS) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20BE004EUS,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad T540p ( 20BE-004EUS ),Notebook,,,Yes,Yes,,,3 MB,Intel,QM87 Express,Black,,9.8 '' ( 248.2 mm ),Yes,,Gigabit Ethernet,,,,Intel,HD 4600,Shared,DDR3L SDRAM,"EPEAT Gold , ENERGY STAR 5.0 , GREENGUARD , RoHS",Yes,,1.2 '' ( 29.5 mm ),,,Yes,Yes,3 Year,16 GB,65 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,2.0,2.0,Windows 7 Professional,64-bit,DVD-Writer,DVDÂ±R/Â±RW,ThinkPad T540p ( 20BE-004EUS ) Standard Battery AC Adapter,"Trackpoint , TouchPad",Dual-core ( 2 Core ),Intel,i5-4300M,2.60 GHz,Core i5,ThinkPad,20BE004EUS,T540p,Lenovo Solution Center ThinkVantage Product Recovery Rescue and Recovery ThinkVantage System Update Lenovo Cloud Storage by SugarSync PC Device Stage Adobe Reader Nitro Pro Evernote Skype Microsoft Office Preloaded ( purchase a product key to activate ) Norton Internet Security ( 30 days of virus definitions ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer,,4 GB,4.0,Yes,,2.41 kg,14.8 '' ( 376.7 mm ),IEEE 802.11a/b/g/n,16 : 9,LED,Lithium Ion ( Li-Ion ),56 Wh,Yes,Bluetooth 4.0,,5 GT/s,,Active Matrix TFT Color LCD,ExpressCard/34,Yes,,,Yes,,,,7 Hour,3.30 GHz,Yes,"MultiMediaCard ( MMC ) , Secure Digital ( SD ) , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC )",Yes,,6-cell,,Full HD,1920 x 1080,15.6 '',"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-Compliant",,,,Yes,Multi-touch Gesture,No,,Intel,,Yes,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,Yes,,,,,,,,,,Serial ATA/600,7200.0,,,,,,,,,,,,,,,500 GB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultrabay Slim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad Edge E545 20b2000yus 15.6"" Led Notebook - Amd A-series A10-5750m 2.50 Ghz - Matte Black - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Amd Radeon Hd 8650g - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth - (20B2000YUS) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20B2000YUS,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad Edge E545 ( 20B2-000YUS ),Notebook,,,Yes,Yes,,,4 MB,AMD,A76M,Matte Black,,9.7 '' ( 245.1 mm ),,,Gigabit Ethernet,,,,AMD,Radeon HD 8650G,Shared,DDR3L SDRAM,"ENERGY STAR 5.0 , RoHS , EPEAT Gold",Yes,Yes,1.4 '' ( 34.3 mm ),,,,Yes,1 Year,16 GB,65 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,No,No,,,,,2.0,3.0,Windows 7 Professional,64-bit,DVD-Writer,,ThinkPad Edge E545 ( 20B2-000YUS ) Lithium Ion Battery AC Adapter,"Trackpoint , TouchPad",Quad-core ( 4 Core ),AMD,A10-5750M,2.50 GHz,A-Series,ThinkPad Edge,20B2000YUS,E545,Adobe Reade ThinkVantage System Update Norton Internet Security ( 30 days of virus definitions ) Microsoft Office Preloaded ( purchase a product key to activate ),,4 GB,4.0,Yes,,2.36 kg,14.8 '' ( 376.9 mm ),IEEE 802.11b/g/n,16 : 9,LED,Lithium Ion ( Li-Ion ),48 Wh,Yes,Bluetooth 4.0,,,,Active Matrix TFT Color LCD,Mini PCI Express,No,,,Yes,,,,6.20 Hour,3.50 GHz,Yes,"MultiMediaCard ( MMC ) , Secure Digital High Capacity ( SDHC ) , Secure Digital ( SD ) , Secure Digital Extended Capacity ( SDXC )",Yes,,6-cell,,HD,1366 x 768,15.6 '',Power-on Password Hard Disk Password Supervisor Password Security Keyhole,,,,Yes,Multi-touch Gesture,,No,Lenovo,,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,Serial ATA/300,5400.0,,,,,,,,,,,,,,,500 GB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Portege Z10t-a-003 Ultrabook/tablet - 11.6"" - In-plane Switching (ips) Technology - Wireless Lan - Intel Core I7 I7-3689y 1.50 Ghz - Ultimate Silver - 4 Gb Ram - 256 Gb Ssd - Windows 8 Pro - Hybrid - 1920 X 1080 - Bluetooth - English, French Keyboard - (PT132C-003001) - SoftwareCity.ca - Canada",Toshiba,,,,,,,Toshiba,PT132C-003001,http : //www.toshiba.ca,,Yes,,PortÃ©gÃ© Z10t-A-003,Ultrabook/Tablet,,,Yes,Yes,,,4 MB,,,Ultimate Silver,,8.7 '' ( 220.5 mm ),,,Ethernet,,,Hybrid,Intel,HD 4000,Shared,DDR3 SDRAM,,,Yes,0.8 '' ( 19.9 mm ),,,Yes,Yes,3 Year,,45 W,DDR3-1600/PC3-12800,DDR3 SDRAM,,,,,,,,,Windows 8 Pro,,,,PortÃ©gÃ© Z10t-A-003 Standard Battery AC Adapter Keyboard Dock,"AccuPoint II , TouchPad",Dual-core ( 2 Core ),Intel,i7-3689Y,1.50 GHz,Core i7,Portege,Z10t-A-003,Z10t,DTS Studio Sound Toshiba PC Health Monitor Toshiba Value Added Package Toshiba Assist Intel PROSet Toshiba Eco Ulitity Toshiba Wallpapers Microsoft Bing Map Application Toshiba Effect Sounds Backup/Restore Utility Norton Internet Security ( Trial ) Microsoft Office 2013/365 - Trial,,4 GB,,Yes,Yes,1.49 kg,11.8 '' ( 299 mm ),IEEE 802.11 a/g/n,16 : 9,,,,Yes,Bluetooth 4.0 + LE,Yes,5 GT/s,In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,,,,Yes,Yes,Yes,"English , French",Physical Keyboard,5 Hour,,Yes,"Secure Digital ( SD ) , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC )",,,6-cell,Windows,Full HD,1920 x 1080,11.6 '',Power on Password Supervisor Password HDD Password TPM Ver1.2 ( Trusted Platform Module ),,256 GB,mini-SATA,,,Yes,,Intel,,,,,,,,,,,,,,,,,,ACPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110 V AC , 220 V AC",,,,,,,,,,,,,,,,,,,,,,1 Megapixel,,,Yes,3 Megapixel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7 Million Colors,,,,,,,,,,,,,,,,,,,,,,,,
