<page title>,anzahl der kernethreads,level 2 cache,prozessorhersteller,prozessormodel,prozessortyp,taktung,tdp thermal design power,level 3 cache,besonderheiten,turboboost,level 23 cache,3x usb 2x usb 30
"Apple Notebook MacBook Pro ME864D/A 33,78cm (13,3'') Retina | MacBook Pro | Apple | nach Hersteller-Serie | Notebooks | hoh.de",2/4 2/4,2 x 256 KB 2 x 256 KB,Intel Intel,4258U 4258U,Core i5-4 Core i5-4,"2 x 2,40 GHz 2 x 2,40 GHz",28 Watt 28 Watt,3 MB 3 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,"2,90 GHz 2,90 GHz",,
"ASUS Notebook Business K95VB YZ068H 18.4'' | ab 43,2 cm (17"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",4/8,,Intel,3630QM,Core i7-3,"4 x 2,40 GHz",45 Watt,,,"3,40 GHz",6 MB,
"Fujitsu TS Notebook LIFEBOOK E743 14'' | ab 35,6 cm (14"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",4/8,,Intel,i7-3632QM,Core i7-3,"4 x 2,20 GHz",35 Watt,,,"3,20 GHz",6 MB,
"Schenker XMG A704-5AN 43,9cm (17,3"") Gaming Notebook | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"Apple MacBook Pro 13,3"" Notebook MD101D/A (Core i5 2.5 GHz, 4GB, 500GB, DVD-Writer DL, OS X 10. | Apple | 13"" bis 14,9"" | nach DisplaygrÃ¶Ãe | Notebooks | hoh.de",2/4,,Intel,3210M,Core i5-3,"2 x 2,50 GHz",35 Watt,3 MB,,"3,10 GHz",,
"HP ProBook 430 G1 i5-4200U 4GB 500GB HD4400 Win 7 + 8 Pro (H6P58EA) | HP | 13"" bis 14,9"" | nach DisplaygrÃ¶Ãe | Notebooks | hoh.de",2/4,512 KB,Intel,i5-4200U,Core i5-4,"2 x 1,60 GHz",15 Watt,3 MB,,"2,60 GHz",,
"Acer Travelmate P643-MG-53214G50Mikk i5-2.5-3210M/14,0NG/4GB/500/W (wie NEU) | ab 30,5 cm (12"") | Travelmate | Acer | nach Hersteller-Serie | Notebooks | hoh.de",2/4,,Intel,3210M,Core i5-3,"2 x 2,50 GHz",35 Watt,3 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,"3,10 GHz",,
"Packard Bell Notebook Easy Note TE69KB-12502G32Dns 39,6 cm (15,6'') | ab 15"" | Einsteiger | nach Einsatzgebiet | Notebooks | hoh.de",2/2,1 MB,AMD,E1-2500,AMD E-Series,"2 x 1,40 GHz",15 Watt,,,,,
"Schenker XMG P304-2OY 33,8cm (13.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 120GB SSD, GTX86 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG A704-7IJ 43,9cm (17,3"") Gaming Notebook | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"Schenker XMG C504-8IV 39,6cm (15.6"") Gaming Notebook (Core i7-4710HQ, 8GB, 1000GB HDD + 250GB S | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Toshiba Notebook Tecra A50-A-13W 39,6cm (15,6'') | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,,Intel,i5-4300M,Core i5,"2 x 2,60 GHz",37 Watt,,,"3,30 GHz",3 MB,
"Schenker XMG A704-9AD 43,9,6cm (17.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 128GB SSD, GTX | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG P504-5ER 39,6cm (15.6'') Gaming Notebook (Core i7-4710MQ, 8GB, 1000GB + 250GB SSD, GTX8 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"HP ZBook 14 14'' (i5-4300U 4GB 500GB HDD FirePro M4100 Win7 + 8 Pro) (F0V00ET) | HP | 13"" bis 14,9"" | nach DisplaygrÃ¶Ãe | Notebooks | hoh.de",2/4,512 KB,Intel,i5-4300U,Core i5-4,"2 x 1,90 GHz",15 Watt,3 MB,,"2,90 GHz",,
"Schenker XMG C504-1UJ 39,6cm (15.6"") Gaming Notebook (Core i7-4710HQ, 8GB, 750GB HDD + 120GB SS | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG C404-1UJ 35,6cm (14.0"") Gaming Notebook (Core i7-4710HQ, 8GB, 512GB SSD, GTX860M, | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG A504-2ER 39,6cm (15,6"") Gaming Notebook | ab 35,6 cm (14"") | Gaming & Highend | nach Einsatzgebiet | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"Schenker XMG C404-6AL 35,6cm (14.0"") Gaming Notebook (Core i7-4710HQ, 8GB, 750GB HDD + 120GB SS | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"ASUS PRO P550CC-XO989G 15,6"" Notebook HD Matt (Ci3-3217U, 4GB, 500GB, DVD SuperMulti, GT720M, W | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,2 x 256 KB,Intel,3217U,Core i3-3,"2 x 1,80 GHz",17 Watt,3 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading,,,
"Acer Travelmate P653-MG-53214G75Mikk 15,6"" (i5-3210M 4GB 750GB GT640M matt DVD Win7Pro) | Acer | 15"" bis 16,9"" | nach DisplaygrÃ¶Ãe | Notebooks | hoh.de",2/4,,Intel,3210M,Core i5-3,"2 x 2,50 GHz",35 Watt,3 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,"3,30 GHz",,
"Schenker M704-9UP 43,9cm (17.3"") Notebook (Core i7-4710MQ, 8GB, 500GB HDD + 120GB SSD, GTX850M, | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG P704-8EC 43,9cm (17.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 1000GB + 250GB SSD, GTX8 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Apple MacBook Air 11.6"" Notebook MD712D/A (Ci5 1.3 GHz, 4GB, 256GB, Mac OS X (10.x) | MacBook Air | Apple | nach Hersteller-Serie | Notebooks | hoh.de",2/4 2/4,2 x 256 KB 2 x 256 KB,Intel Intel,4250U 4250U,Core i5-4 Core i5-4,"2 x 1,30 GHz 2 x 1,30 GHz",15 Watt 15 Watt,3 MB 3 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,"2,60 GHz 2,60 GHz",,
"Schenker XMG C504-4UB 39,6cm (15.6"") Gaming Notebook (Core i7-4710HQ, 8GB, 1000GB HDD + 250GB S | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"DELL Notebook Latitude E5440 35,6 cm (14'') | ab 35,6 cm (14"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,,Intel,i5-4300U,Core i5-4,"2 x 1,90 GHz",15 Watt,3 MB,,,,
"Schenker XMG C504-6AL 39,6cm (15.6"") Gaming Notebook (Core i7-4710HQ, 8GB, 750GB HDD + 120GB SS | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG C404-3EH 35,6cm (14.0"") Gaming Notebook (Core i7-4710HQ, 8GB, 1000GB HDD + 250GB S | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG A704-1EB 43,9,6cm (17.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 128GB SSD, GTX | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker M504-7UF 39,6cm (15.6'') Notebook (Core i7-4710MQ, 8GB, 1000GB + 120GB SSD, GTX850M, Win8.1 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker M504-4AQ 39,6cm (15.6"") Notebook (Core i7-4710MQ, 8GB, 500GB HDD + 120GB SSD, GTX850M, | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Dell Notebook Latitude E6440 35,6 cm (14'') | ab 35,6 cm (14"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,2 x 256 KB,Intel,4300M,Core i5-4,"2 x 2,60 GHz",37 Watt,3 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,"3,30 GHz",,
"Asus TAICHI31-CX009H 13,3"" Ultrabook Touchscreen (Ci5-3317U, 4GB, 128GB SSD, HD4000, Win 8) | Ultrabooks | nach Einsatzgebiet | Notebooks | hoh.de",2/4,,Intel,i5-3317U,Core i5-3,"2 x 1,70 GHz",17 Watt,,,"2,6 GHz",3 MB,
"Schenker XMG A504-2IY 39,6cm (15.6'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 128GB SSD, GTX86 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG A504-9EZ 39,6cm (15.6'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 128GB SSD, GTX86 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG P304-2AG 33,8cm (13,3"") Gaming Notebook | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"ASUS PRO P55VA-SO018D 15,6"" Notebook (Ci3-3120, 4GB, 500GB, DVD SuperMulti, HD4000, FreeDOS) | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,,Intel,3120M,Core i3-3,"2 x 2,50 GHz",35 Watt,,,,3 MB,
"Schenker M704-4AB 43,9cm (17,3"") Notebook | ab 43,2 cm (17"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"ASUS PRO P550CA-XO600G 15,6"" Notebook (Celeron 1007U, 4GB, 500GB, DVD SuperMulti, HD Graphics, | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/2,,Intel,1007U,Intel Celeron,"2 x 1,50 GHz",17 Watt,,,,2 MB,
"Schenker XMG P304-1IJ 33,8cm (13.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 120GB SSD, GTX86 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker M704-6US 43,9cm (17,3"") Notebook | ab 43,2 cm (17"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"Schenker XMG P504-3OZ 39,6cm (15.6'') Gaming Notebook (Core i7-4710MQ, 8GB, 1000GB + 250GB SSD, GTX8 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG C404-7EB 35,6cm (14.0"") Gaming Notebook (Core i7-4710HQ, 8GB, 512GB SSD, GTX860M, | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"ASUS Notebook Pro Essential P55VA-SO018G 15.6'' | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,,Intel,3230M,Core i3-3,"2 x 2,50 GHz",35 Watt,3 MB,,,,
"ASUS Business Notebook X200CA-KX196H 29,46 cm (11,6'') (wie NEU) | Business | Asus | nach Hersteller-Serie | Notebooks | hoh.de",2/2,2 x 256 KB,Intel,2117U,Pentium,"2 x 1,80 GHz",17 Watt,2 MB,64 Bit wird unterstÃ¼tzt,,,
"Schenker XMG P304-7EB 33,8cm (13,3"") Gaming Notebook | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"Schenker M704-4EJ 43,9cm (17,3"") Notebook | ab 43,2 cm (17"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"Schenker XMG C404-6AD 35,6cm (14.0"") Gaming Notebook (Core i7-4710HQ, 8GB, 750GB HDD + 120GB SS | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG C404-7AX 35,6cm (14.0"") Gaming Notebook (Core i7-4710HQ, 8GB, 1000GB HDD + 250GB S | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG P704-1OB 43,9cm (17.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 120GB SSD, GTX87 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker B513-6UD 39,6cm (15.6'') Notebook (Core i5-4310M, 8GB, 1000GB, Intel HD Graphics, Win8.1) | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",2/4,,Intel,4310M,Core i5-4,"2 x 2,70 GHz",37 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,40 GHz",,
"Schenker M504-9EZ 39,6cm (15.6'') Notebook (Core i7-4710MQ, 8GB, 1000GB + 120GB SSD, GTX850M, Win7HP | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker M504-8AR 39,6cm (15.6'') Notebook (Core i7-4710MQ, 8GB, 1000GB + 120GB SSD, GTX850M, ohne O | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker B713-3IW 43,9cm (17.3'') Notebook (Core i7-4710MQ, 8GB, 1000GB, Intel HD Graphics, Win8.1) | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker M704-6EL 43,9cm (17.3"") Notebook (Core i7-4710MQ, 8GB, 500GB HDD + 120GB SSD, GTX850M, | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG P504-7UT 39,6cm (15.6'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 120GB SSD, GTX87 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG A704-7UX 43,9cm (17,3"") Gaming Notebook | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"ASUS PRO P550CC-XO747G 15,6"" Notebook (Ci3-3217U, 4GB, 500GB, WIN 8) | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,2 x 256 KB,Intel,i3-3217U,Core i5-3,"2 x 1,80 GHz",17 Watt,3 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,,,
"Dell Notebook Precision M4800 39,6 cm (15,6'') i7, 8GB, 500GB, Win 7 Pro | Precision | Dell | nach Hersteller-Serie | Notebooks | hoh.de",4/8,4 x 256 KB,Intel,i7-4800MQ,Core i7-4,"4 x 2,70 GHz",47 Watt,6 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,"3,70 GHz",,
"Schenker XMG A504-4AQ 39,6cm (15,6"") Gaming Notebook | ab 35,6 cm (14"") | Gaming & Highend | nach Einsatzgebiet | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"Schenker XMG P704-3UH 43,9cm (17.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 120GB SSD, GTX87 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"ASUS X551CA-SX029H 14"" Notebooks (Celeron 1007U, 4GB, 500GB, DVD SuperMulti, HD Graphics, Win | ab 15"" | Einsteiger | nach Einsatzgebiet | Notebooks | hoh.de",2/2,,Intel,Celeron 1007U,Intel Celeron,"2 x 1,50 GHz",17 Watt,,,,2 MB,
"Schenker M704-1AF 43,9cm (17.3"") Notebook (Core i7-4710MQ, 8GB, 500GB HDD + 120GB SSD, GTX850M, | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"HP ProBook 470 G1 17,3'' (i5-4200M 4GB 500GB HD8750 Win7+8 Pro) (E9Y75EA) | ab 43,2 cm (17"") | Multimedia | nach Einsatzgebiet | Notebooks | hoh.de",2/4,512 KB,Intel,i5-4200M,Core i5-4,"2 x 2,50 GHz",37 Watt,3 MB,,"3,10 GHz",,
