32bit or 64bit os,3d glasses included,3d ready,<page title>,backlit keyboard,battery cells,battery life hrs,battery life range,battery type,bluetooth version,built in speakers,color,condition,cpu brand,cpu cache mb,cpu core,cpu series,cpu speed,cpu speed range,depth in,display type,energy star compliant,esata port,fingerprint reader,gpu chipset,gpu memory,gpu video type,hard drive capacity,hard drive capacity range,hard drive interface,hard drive speed,hard drive type,hdmi outputs,hdmi ports,headphone jacks number,height in,included software bundles,item weight lbs,laptop type,lifestyle,manufacturer warranty hardware,manufacturer warranty labor,manufacturer warranty software,max resolution format,maximum memory supported,maximum screen resolution,memory range,memory type,mouse type,networking capability,numeric keypad,operating system,operating system version,optical audio port,optical drive type,package contents,pc card type,screen size by diagonal measure,screen size range,ssd boot drive,total firewire ports,total parallel ports,total serial ports,total system memory,total usb 20 ports,total usb 30 ports,touch screen,tv tuner,vga out,webcam included,widi ready intel wireless display,width in,wireless networking,general warranty,aspect ratio,audio channels,battery capacity ma,bluray read speed max,bluray rewrite speed max,bluray write speed max,cd read speed max,cdr write speed max,cdrw rewrite speed max,dvd read speed max,dvd rewrite speed max,dvd write speed max,microphone jacks,multimedia card built in,multimedia card type,power supply capacity in watts,product bundle,security lock slot,memory speed,64bit computing processor chipset,audio features audio video,capacity battery,chipset processor chipset,color miscellaneous,cpu processor chipset,depth dimensions weight,features display,features input,features miscellaneous,features processor chipset,graphics processor audio video,height dimensions weight,included accessories miscellaneous,included service general,input ac adapter,interfaces connections expansion,lcd backlight technology display,main storage storage,max turbo speed processor chipset,mechanical design general,memory card reader connections expansion,number of cores processor chipset,operating system general,output ac adapter,product type general,ram memory,resolution display,run time battery,sound audio video,speed memory,technology memory,touchscreen display,type display,type input,weight dimensions weight,widescreen display,width dimensions weight,wireless communications,camera in megapixels,caching techology storage,codec audio video,color support display,compliant standards audio video,compliant standards miscellaneous,empty slots memory,epeat compliant environmental standards,features modem,form factor memory,front side bus processor chipset,humidity range operating environmental parameters,interface storage,localization miscellaneous,manufacturer selling program miscellaneous,max transfer rate modem,memory allocation technology audio video,microsoft office preloaded software,min operating temperature environmental parameters,network interface communications,platform technology processor chipset,power efficiency processor chipset,protocols specifications modem,slots connections expansion,slots qty memory,sound emission environmental parameters,the worlds best engineering in action,wireless controller communications,optical drive storage,software included software,cool and quiet design,expansion bays connections expansion,image aspect ratio display,installed qty battery,integrated options miscellaneous,max supported qty battery,outstanding battery life,service support details manufacturer warranty,switchable graphics,system type general
64-bit,None,No,"Buy  Dell Refurbished Latitude E6400 with Armour Shield,Intel Core2Duo 2.2GHz,2GB,80GB,CDRW/DVD,14.1"",Win7 Home Prem, 1yr Warranty,Refurb. ENERGY STAR® - NDE640WM22HEEDG from MyGofer.com",No,6-cell,2.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),No Bluetooth,Yes,Black,Refurbished,Intel,2MB,Dual-core,Intel Core 2 Duo,2.2,2.0 to 3 GHz,9.4,LED-backlit,Yes,Yes,No,Intel,Shared with system memory,Intel GMA 4500MHD,80GB,128GB to 249GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,No,None,1.0,1.2,Microsoft Win 7 Home Premium,4.3,PC laptops,Home & Student,1 Year Depot Parts and Labor Warranty,1 Year Depot Parts and Labor Warranty,1 Year Depot Parts and Labor Warranty,720p,8GB,1280 x 800,2GB or less,DDR2,Touchpad,"10/100/1000 GigaLAN , Wifi B/G , optional Mobile Broadband",No,Windows,Windows 7 Home Premium,No port,CD-RW/DVD Combo Drive,"Computer System , AC Adaptor , Welcome Letter , Warranty Card , System Recovery Instructions",ExpressCard,14.1,11 inches to 14.9 inches,No,1,None,None,2.0,4,0.0,No,No,Yes,No,No,13.3,802.11G,1 Year Depot Parts and Labor Warranty,16 : 9 ( Widescreen ),,,,,,24X,8X,8X,24X,,No Drive,1.0,Yes,"5 in 1 Card Reader , including SD , XD , MMC , MS , MS-Pro",,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-bit,None,No,Buy  Lenovo ThinkPad X61 Core 2 Duo 1.6GHz 1GB RAM 80GB HDD WIN7-H Refurbished ENERGY STAR® - ThinkPad X61 from MyGofer.com,Yes,4-cell,5.5,3hrs - 5.9hrs,Lithium-Ion ( LiIon ),No Bluetooth,Yes,Black,Refurbished,Intel,L2 - 4 MB,Dual-core,Core 2 Duo,1600,1.4 to 1.9 GHz,8.9,TFT,Yes,Yes,Yes,Intel,Yes,Integrated,Refurbished,500GB to 749GB,SATA II ( 3 Gb/s ),5400 rpm,Standard,No,None,1.0,1.3,Laptop & adapter,3.3,PC laptops,"Home & Student , Business",Limited warranty - parts and labor - 3 years - carry-in,Limited warranty - parts and labor - 3 years - carry-in,Limited warranty - parts and labor - 3 years - carry-in,720p,4 GB,1024 x 768,2GB or less,DDR2,Touchpad,"WiFi , LAN",No,Windows,32-bit,No port,None,No,None,12.1,11 inches to 14.9 inches,Yes,1,None,None,1024.0,2,0.0,Yes,No,Yes,No,No,12.1,"802.11N , 802.11G , 802.11B",Limited warranty - parts and labor - 3 years - carry-in,4 : 3 ( Standard ),2.1,,No Drive,No Drive,No Drive,No Drive,No Drive,No Drive,,,,,,,,,,,Yes,,,Mobile Intel GM965 Express,,Intel Core 2 Duo L7500 / 1.6 GHz,9.6 in,"Anti-glare , anti-reflective , MultiView",,"Security lock slot ( cable lock sold separately ) , administrator password , hard drive password , power-on password , ThinkVantage Active Protection System , CardBus Plus , ThinkPad Roll Cage","Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Dynamic Acceleration",Intel GMA X3100,1.3 in,,,AC 120/230 V ( 50/60 Hz ),3 x USB 2.0 - 4 pin USB Type A ¦ 1 x display / video - VGA - 15 pin HD D-Sub ( HD-15 ) ¦ 1 x modem - phone line - RJ-11 ¦ 1 x network - Ethernet 10Base-T/100Base-TX/1000Base-T - RJ-45 ¦ 1 x microphone - input - mini-phone,,160 GB HDD / 5400 rpm,,Convertible design,Yes ( SD Card ),Dual-Core,,,Notebook,2 GB ( 2 x 1 GB ),1024 x 768 ( XGA ),Up to 2.9 hours,"Stereo speakers , microphone",667 MHz / PC2-5300,DDR2 SDRAM,Yes ( multi-touch ),12.1 '',"Keyboard , digitizer , touch-screen , TrackPoint , digital pen",4 lbs,No,10.8 in,"Bluetooth , 802.11a/b/g/n ( draft )",0.0,Intel Turbo Memory ( 1 GB ),AD1984HD,24-bit ( 16.7 million colors ),High Definition Audio,"MPR II , BSMI , VCCI Class B ITE , CISPR 22 Class B , NOM , SASO , IEC 60950 , CSA 22.2 No . 950 , FCC Part 15 B , CER , CCC , RoHS",0.0,EPEAT Silver,V.92 upgradable,SO DIMM 200-pin,800 MHz,8 - 95 %,SATA 1.5 Gb/s,German / Germany,TopSeller,56 Kbps,Dynamic Video Memory Technology 4.0,Includes a preinstalled image of select 2007 Microsoft Office suites . Purchase a Medialess License Kit ( MLK ) to activate the software .,41 °F,Gigabit Ethernet,Intel Centrino Duo,Low-Voltage ( LV ),ITU V.90,2 x memory ( 0 free ) ¦ 1 x CardBus ( 1 free ),2.0,41 dB,"Is it an amazingly capable notebook or an ultra-light tablet ? Actually , it 's both . Capable of going up to seven hours unplugged , the ThinkPad X61 Tablet is an incredibly versatile convertible . With ThinkVantage Client Security Solution , an integrated bi-directional fingerprint reader and the ability to disable ports at the BIOS level , it 's also the most secure X Series Tablet ever .",Intel Wireless WiFi Link 4965AGN,,,,,,,,,,,,
64-bit,None,No,Buy  HP HP 8540P refurbished laptop PC I7 2.67/4GB/750GB/DVDRW/15.6/W7P64 - 8540P from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.67,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,750,750GB to 999GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,15.6,15 inches to 15.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,No,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,"Buy  Toshiba Satellite 15.6"" Laptop with Intel® Celeron® N2830 Processor, 4GB Memory, 500GB Hard Drive and Microsoft Windows 8.1 wi ENERGY STAR® - C55B5296 from MyGofer.com",No,4-cell,4.0,3hrs - 5.9hrs,Lithium-Ion ( LiIon ),Bluetooth 4.0 Smart Ready,Yes,Black,New,Intel,1,Single-core,Intel Celeron N2830,2.41,2.0 to 3 GHz,10.2,LED-backlit,Yes,No,No,Intel,Up to 1760MB Shared graphics memory,Mobile Intel HD graphices,500,500GB to 749GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,No,1,1.0,1.05,Toshiba Software and Utilities,4.65,PC laptops,"Home & Student , Mobile",1 year limited,1 year limited,1 year limited,720p,4,1366 x 768,2.1GB - 4GB,DDR3,Touchpad,﻿10/100 Ethernet,Yes,Windows,Windows 8.1 with Bing,No port,DVD supermulti dual layer,Laptop,None,15.6,15 inches to 15.9 inches,No,None,None,None,500.0,2,1.0,No,No,No,Yes,No,14.96,"802.11N , 802.11G , 802.11B",1 year limited,,,,,,,24X,24X,16X,8X,8X,8X,1.0,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  Dell Dell E6410 refurbished laptop PC I5 2.4/4GB/320GB/DVDRW/14.1/W7P64 - E6410 from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.4,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,320,250GB to 499GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1280 x 800,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,14.1,11 inches to 14.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,No,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  HP HP 8540P refurbished laptop PC I7 2.67/4GB/500GB/DVDRW/15.6/W7P64 - 8540P from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.67,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,500,500GB to 749GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,15.6,15 inches to 15.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,No,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  HP HP 8440P refurbished laptop PC I5 2.4/4GB/320GB/DVDRW/14.1/W7P64 - 8440P from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.4,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,320,250GB to 499GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,14.1,11 inches to 14.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,No,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-bit,None,No,"Buy  Lenovo T410 refurbished laptop PC I5-2.4/3072/160/DVDRW/14""/W7HP64/Webcam - T410 from MyGofer.com",No,4-cell,2.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),No Bluetooth,Yes,Multi color,Refurbished,Intel,2MB,Dual-core,Iseries,2.4,2.0 to 3 GHz,1.2,LCD,No,No,No,Intel,up to 64MB Shared Memory,Integrated Graphic,160GB,128GB to 249GB,SATA ( 1.5Gb/s ),5400 rpm,Traditional,No,None,1.0,13.2,N/A,5.0,PC laptops,Home & Student,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,4GB,1280 x 800,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Home Premium,No port,DVD+/-R/RW,"PC , power cord , set up guide",ExpressCard,14.0,11 inches to 14.9 inches,No,None,None,None,3.0,2,0.0,No,No,No,Yes,No,9.4,802.11G,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  Dell Dell E6510 refurbished laptop PC I5 2.67/4GB/750GB/DVDRW/15.6/W7P64 - E6510 from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.67,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,750,750GB to 999GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,15.6,15 inches to 15.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,No,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,"Buy  HP 15.6"" LED Notebook with AMD A6-6310 Processor, 4 GB, 500 GB Hard Drive and Windows 8.1 - Flyer Red ENERGY STAR® - 15G073NR from MyGofer.com",No,3-cell,4.0,3hrs - 5.9hrs,Lithium polymer,No Bluetooth,Yes,Red,New,AMD,2 MB,Quad-core,AMD A6-6310,1.80,1.4 to 1.9 GHz,10.2,LED-backlit,Yes,No,No,Intel,Shared,Radeon R4 Graphics,500,500GB to 749GB,SATA II ( 3 Gb/s ),5400 rpm,Standard,No,None,1.0,1.0,Windows 8.1,4.83,PC laptops,Home & Student,Limited warranty - parts and labor - 1 year,Limited warranty - parts and labor - 1 year,Limited warranty - parts and labor - 1 year,720i,4,1366 x 768,2.1GB - 4GB,DDR3,Touchpad,10/100,No,Windows,Windows 8.1,No port,DVD+/-R/RW,Laptop,None,15.6,15 inches to 15.9 inches,No,None,None,None,4.0,None,0.0,No,No,No,Yes,Yes,14.88,"802.11N , 802.11G , 802.11B",Limited warranty - parts and labor - 1 year,,,,,,,,,,,,,1.0,,,,,,,Yes,,31 Wh,,Flyer red,AMD A series A6-6310 / 1.8 GHz,10.2 in,HD BrightView,"Built-in numeric keyboard , multi-touch touchpad","Security lock slot ( cable lock sold separately ) , power-on password",,AMD Radeon R4,1 in,,,,HDMI ¦ Headphone/microphone combo jack ¦ 2 x USB 2.0 ¦ USB 3.0 ¦ LAN,WLED backlight,500 GB HDD / 5400 rpm,2.4 GHz,,Yes ( SD Card ),Quad-Core,Windows 8.1 64-bit Edition,45 Watt,Notebook,4 GB ( 1 x 4 GB ),1366 x 768 ( HD ),Up to 6 hours,"Stereo speakers , microphone",1600 MHz,DDR3L SDRAM,,15.6 '',"Keyboard , touchpad",4.9 lbs,Yes,14.9 in,802.11n,,,,,High Definition Audio,,0.0,,,SO DIMM 204-pin,,,SATA 3 Gb/s,English / United States,,,,,,10/100 Ethernet,,,,,1.0,,,,DVD±RW ( ±R DL ) / DVD-RAM,"Cyberlink PowerDVD , Microsoft Windows Movie Maker , CyberLink Power2Go , Skype , Microsoft Windows Photo Gallery , CyberLink Youcam , CyberLink Label Print , HP Recovery Manager , 7-Zip , HP Support Assistant , HP Games Powered by WildTangent , HP e",,,,,,,,,,
64-bit,None,No,Buy  Dell Dell E6420 refurbished laptop PC I5 2.5/4GB/500GB/DVDRW/14/Webcam/W7P64 - E6420 from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.5,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,500,500GB to 749GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,1,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,14.0,11 inches to 14.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,Yes,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  Lenovo Lenovo T420 refurbished laptop PC I5 2.5/4GB/320GB/DVDRW/14/Webcam/W7P64 - T420 from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Black,Refurbished,Intel,4MB,Dual-core,Core I series,2.5,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,320,250GB to 499GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,14.0,11 inches to 14.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,Yes,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  HP HP 8540P refurbished laptop PC I7 2.67/4GB/320GB/DVDRW/15.6/Webcam/W7P64 - 8540P from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.67,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,320,250GB to 499GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,15.6,15 inches to 15.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,Yes,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  HP HP 8540P refurbished laptop PC I7 2.67/4GB/500GB/DVDRW/15.6/W7P64 - 8540P from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.67,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,500,500GB to 749GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,15.6,15 inches to 15.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,No,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Buy  Dell Latitude E4300 Notebook, Armor Shield Skin, Intel Core2Duo 2.4GHz, 4GB, 160GB, DVDRW, 13.3""W, WIFI, Win7HP, Refurbished ENERGY STAR® - NDE430SM24HIGEG from MyGofer.com",,,,,,,,Black,,Intel,,,,2.4,,8.5,,Yes,,,,,,,128GB to 249GB,,,,,,,1.2,"Anti-Virus , Image/Photo Editing , CD Creation , Contacts/Phonebook , Utility , Calendar , Video Editing Software",3.5,PC laptops,,,,,,,,2.1GB - 4GB,,,"DSL , LAN and wireless",,,Windows 7 Home Premium,,,"Computer System , AC Adaptor , Welcome Letter , Warranty Card , System Recovery Instructions",ExpressCard,,11 inches to 14.9 inches,,,,,,2,,No,,Yes,,,12.2,,90 Days Parts and Labor Depot Warranty,,,,,,,,,,24X,,8X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,Buy  HP HP 8540P refurbished laptop PC I7 2.67/4GB/500GB/DVDRW/15.6/Webcam/W7P64 - 8540P from MyGofer.com,No,4-cell,1.0,0-2.9 Hrs,Lithium-Ion ( LiIon ),2.1 + EDR ( Enhanced Data Rate ),Yes,Silver/gray,Refurbished,Intel,4MB,Dual-core,Core I series,2.67,2.0 to 3 GHz,1.23,LCD,No,No,No,Intel,up to 256MB Shared Memory,Integrated Graphics,500,500GB to 749GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,Yes,None,1.0,2.0,W7 Professional 64 BITS,4.7,PC laptops,Business,"One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher","One Year from Joy Systems , Microsoft 's largest Authorized Refurbisher",One Year from Microsoft online support,None,8GB,1600 X 900,2.1GB - 4GB,DDR3,Touchpad,Integrated Ethernet 10/100,No,Windows,W7 Professional 64 BITS,No port,DVD+/-R/RW,"PC , power cord , set up guide .",ExpressCard,15.6,15 inches to 15.9 inches,No,None,None,None,4096.0,4,0.0,No,No,Yes,Yes,No,9.3,802.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-bit,None,No,"Buy  Dell Latitude Refurbished E6400 14.1"" Laptop Intel Core 2 Duo 2.2GHz 2GB Ram 80GB HDD CDRW/DVD Window7 HP (B Grade: Scratch & Dent) ENERGY STAR® - NBDEE64M22MECBG from MyGofer.com",No,6-cell,1.0,0-2.9 Hrs,Lithium polymer,No Bluetooth,Yes,Black,Refurbished,Intel,4,Dual-core,Core 2 Duo,2200,2.0 to 3 GHz,1.0,LCD,Yes,No,No,Intel,4,Integrated Intel GMA X3100,80,Less than 128GB,SATA ( 1.5Gb/s ),5400 rpm,Standard,No,None,1.0,1.0,"Window 7 Home Premium , Libre Office , AVG , Win Live Essentials , Adobe Reader",4.3,Netbooks,"Home & Student , Business",1 Year Parts and Labor,1 Year,None,720p,4,1440 x 900,2GB or less,DDR2,Touchpad,10/100/1000 Gigabit Ethernet network interface adaptor,No,Windows,Window 7 Home Premium 64 bits,No port,CD-RW/DVD Combo Drive,"Laptop , AC Adaptor , Welcome Letter",PCMCIA,13.3,11 inches to 14.9 inches,No,1,None,1,2.0,2,0.0,No,No,Yes,No,No,13.1,"802.11G , 802.11A",1 Year,,,,No Drive,No Drive,No Drive,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
