<page title>,accessories included,battery life,battery type,card reader type,connector type,graphics card,hard drive size,laptop screen size,model no,multi media drive,network connection,operating system,platform,primary color,processor brand,processor speed,processor type,product in inches l x w x h,resolution,screen type,shipping weight in pounds,store information not available,system ram,walmart no,bus speed,maximum memory expansion,here,condition,monitor size,multi pack indicator,multimedia drive
HP Flyer red laptop 15-r030wm - Walmart.com,"Power Cord , Battery",5 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",Intel HD Graphics,500 GB,15.6 inch,15-r030wm,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Red,Intel,"2.17 GHz , with a Max Turbo Speed of 2.42 GHz",Intel Pentium N3520 Processor,10.2 x 14.88 x 1.0,1366 x 768,"LED Backlight , HD BrightView Display",6.0,Please visit your local store to see if this item is in stock .,4 GB,552654245,,,,,,,
"Dell XPS Touch 12.5"" Laptop - Walmart.com","Power Cord , Battery",5 hours 36 minutes,Lithium Ion,,"1 x DC-in , 1 x Headphone/Microphone , 1 x Mini-DisplayPort , 2 x USB 3.0",Intel HD Graphics 4400,128 GB,12.5 inch,XPSU12-4672CRBFB,,802.11ac Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,2.70 GHz,Intel Core i5-4210U Processor,12.64 x 15.55 x 4.65,1920 x 1080,"LED Backlight , Full HD Touchscreen Display",3.35,Please visit your local store to see if this item is in stock .,4 GB,552813048,,8 GB,,,,,
"Purchase the Dell Small Form Factor PC, GX745 With Intel Pentium D Processor for less at Walmart.com. Save money. Live better.",,,Lithium Ion,,,,160 GB,,GX745,,,Windows 7 Professional 32-bit,,Black,,,Intel Pentium D Processor,13.4 x 12.3 x 3.6,,,27.0,Please visit your local store to see if this item is in stock .,2 GB,552088475,,,,,N/A,No,DVD Reader
"Acer Aspire 15.6"" Laptop V5573P6417, 8GB Memory - Walmart.com","Power Cord , Battery",6 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Intel HD Graphics 4400,1 TB,15.6 inch,NX.ME3AA.001,,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 8.1,PC,Red,Intel,1.60 GHz,Intel Core i5-4200U Dual-Core Processor,19.6 x 12.2 x 2.6,1366 x 768,"LED Backlight , HD Touchscreen Display",8.0,Please visit your local store to see if this item is in stock .,8 GB,552635251,,12 GB,,,,,
"ASUS Black 17.3"" G750JZ-DS71 Laptop PC with Intel Core i7-4700HQ Processor, 24GB Memory, 1TB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",3 hours 30 minutes,Lithium Ion,"2-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 1 x Mini-DisplayPort , 4 x USB 3.0 , 1 x VGA",NVIDIA GTX 880M with 4GB of dedicated system memory,1 TB,17.3 inch,Asus G750JZ-DS71,Blu-ray enabled DVD±RW/CD-RW,10/100/1000 Gigabit Ethernet & 802.11a/g/n Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,"2.40 GHz , with a Max Turbo Speed of 3.40 GHz",Intel Core i7-4700HQ Haswell Processor,12.52 x 16.14 x 0.67,1920 x 1080,"LED Backlight , Full HD Display",14.75,Please visit your local store to see if this item is in stock .,24 GB,552775186,,32 GB,,,,,
"Dell Refurbished Desktop PC, 745, Silver - Walmart.com",,,Alkaline,,,,750GB,,745,,,Windows 7 Professional 32-bit,,Silver,,,Intel Core 2 Duo Processor,15.7 x 13.9 x 4.5,,,27.0,Please visit your local store to see if this item is in stock .,4 GB,550963423,,,,,N/A,No,DVD-RW Drive
"HP Pavilion 17 Laptop, 17-f030us - Walmart.com","Power Cord , Battery",4 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",Intel HD Graphics 4400,750 GB,17.3 inch,HP Pavilion 17-F030Us,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Silver,Intel,1.90 GHz,Intel Core i3-4030U Processor,10.98 x 16.51 x 1.092,1600 x 900,"LED Backlight , HD BrightView Display",6.39,Please visit your local store to see if this item is in stock .,4 GB,552728114,,,,,,,
Acer C720-2848 Chromebook with Intel Celeron 2955U Processor - Walmart.com,"Power Cord , Battery",8 hours 30 minutes,Lithium Ion,Digital Media Card Reader,"1 x HDMI , 2 x USB 2.0",Intel HD Graphics,16 GB,11.6 inch,NX.SHEAA.002,,802.11a/g/n Wireless LAN,Chrome,,Gray,Intel,1.40 GHz,Intel Celeron 2955U Dual-Core Processor,11.3 x 0.8 x 8.0,1366 x 768,"LED Backlight , ComfyView HD Display",2.8,Please visit your local store to see if this item is in stock .,2 GB,552223479,,,,,,,
"Acer 13.3"" Aspire Laptop PC, Crystal White, S7-392-6845 - Walmart.com","Power Cord , Battery",8 hours,Lithium Ion,1 x SD Card Reader,"1 x Converter Port , 1 x DC-in , 1 x HDMI , 2 x USB 3.0",Intel HD Graphics 4400,128 GB,13.3 inch,NX.MG4AA.011,,802.11a/b/g/n Wireless LAN,Windows 8 Pro 64-bit,PC,White,Intel,"1.60 GHz , with a Max Turbo Speed of 2.60 GHz",Intel Dual-Core i5-4200U Processor,17.5 x 10.9 x 3.3,1920 x 1080,"LED Backlight , Full HD Touchscreen Display",6.4,Please visit your local store to see if this item is in stock .,8 GB,552436336,,,,,,,
"HP Desktop PC, DX7200 Black - Walmart.com",,,Lithium Primary,,,,160GB,,DX7200,,,Windows 7 Home Premium 32-bit,,Black,,,Intel Pentium 4 Processor,14.9 x 13.3 x 3.95,,,25.0,Please visit your local store to see if this item is in stock .,2 GB,551556392,,,,,N/A,No,DVD-ROM Drive
"Dell Pre-Owned, Refurbished Desktop PC, GX520 - Walmart.com",,,Alkaline,,,,160GB,,GX520,,,Windows 7 Home Premium 32-bit,,Silver,,,Intel Pentium 4 Processor,15.6 x 13.7 x 4.5,,,27.0,Please visit your local store to see if this item is in stock .,2 GB,551864261,,,,,N/A,No,CDRW/DVD Drive
"iBUYPOWER black 17.3"" gaming laptop, Valkyrie CZ-27 WA963 - Walmart.com","Power Cord , Battery",,Lithium Ion,"4-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard ) , 1 x ( Memory Stick ) , 1 x ( xD Picture Card )","2 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 1 x Mini-DisplayPort , 2 x USB 2.0 , 3 x USB 3.0 , 1 x VGA",NVIDIA GeForce GTX 880M with 6GB of dedicated system memory,120 GB,17.3 inch,848604011004,8x Dual Format DVD±R/±RW & 16x CD-R/RW Combo Drive,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,Intel,2.40 GHz,Intel Core i7-4800MQ Mobile Processor,16.9 x 11.3 x 2.2,1920 x 1080,"LED Backlight , Full HD Display",6.9,Please visit your local store to see if this item is in stock .,16 GB,552481037,,,,,,,
"HP Pavillion TouchSmart Laptop PC, 17-e123cl - Walmart.com","Power Cord , Battery",4 hours 45 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",AMD Radeon HD 8550G with 4206MB of dedicated system memory,1 TB,17.3 inch,E8B97UAR # ABA,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Silver,AMD,"2.10 GHz , with a Max Turbo Speed of 3.10 GHz",AMD Elite Quad-Core A8-5550M Accelerated Processor,22.0 x 13.5 x 3.2,1600 x 900,"LED Backlight , HD+ BrightView Touchscreen Display",9.25,Please visit your local store to see if this item is in stock .,8 GB,553028475,,8 GB,,,,,
Dell Inspiron 3000 Desktop PC with 4GB Memory - Walmart.com,,,Does Not Contain a Battery,,,,1 TB,,i3647-2309BK,,,Windows 8.1 64-bit,,Black,,,Intel Core i3-4150 Processor,14.8 x 10.43 x 3.94,,,15.8,Please visit your local store to see if this item is in stock .,4 GB,552726077,,,,,N/A,No,Tray-loading DVD Drive
"Lenovo Black 14"" ThinkPad T440 Laptop PC with Intel i5-4300U Processor, 4GB Memory, 500GB Hard Drive and Windows 7 Professional: Computers : Walmart.com","Power Cord , Battery",8 hours 36 minutes,Lithium Ion,"4-in-1 card reader 1 x ( SD ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MMC )","1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x Headphone/Microphone , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4400,500 GB,14.0 inch,20B6005RUS,,10/100/1000 Gigabit Ethernet & 802.11ac/a/b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"1.90 GHz , with a Max Turbo Speed of 2.90 GHz",Intel Core i5-4300U Processor,15.3 x 11.4 x 5.0,1366 x 768,"LED Backlight , HD Display",8.0,Please visit your local store to see if this item is in stock .,4 GB,552114463,2500MHz,"8 GB , SO DIMM 204-pin , 1600 MHz / PC3-12800",,,,,
"Acer Aspire Laptop PC, E1-532-35584G50Mnkk - Walmart.com","Power Cord , Battery",4 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel GMA HD,500 GB,15.6 inch,NX.MFVAA.005,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Black,Intel,1.70 GHz,Intel Pentium 3558U Dual-Core Processor,15.0 x 10.1 x 0.5,1366 x 768,"LED Backlight , HD Display",5.2,Please visit your local store to see if this item is in stock .,4 GB,552307939,,8 GB,),,,,
"Dell Black 15.6'' Inspiron 15 3531 Laptop PC with Intel Celeron Dual-Core N2830 Processor, 4GB Memory, 500GB Hard Drive and Windows 8.1 (DVD/CD DRIVE NOT INCLUDED): Computers : Walmart.com","Power Cord , Battery",,Lithium Ion,"4-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( Memory Stick ) , 1 x ( Memory Stick Pro )","1 x DC-in , 1 x HDMI , 2 x USB 2.0",Intel HD Graphics,500 GB,15.6 inch,i3531-1200BK,,802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,Intel,2.40 GHz,Intel Celeron N2830 Dual-Core Processor,15.0 x 10.2 x 1.0,1366 x 768,"LED Backlight , HD Truelife Display",6.65,Please visit your local store to see if this item is in stock .,4 GB,552753231,,,,,,,
"Dell 15.6"" Inspiron 15 Laptop PC - Walmart.com","Power Cord , Battery",6 hours 33 minutes,Lithium Ion,"3-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",AMD Radeon R4,1 TB,15.6 inch,i3541-5001BLK,Tray Load DVD Drive,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Black,AMD,2.40 GHz,AMD Quad-Core A6-6310 APU Processor,15.0 x 10.5 x 1.0,1366 x 768,"LED Backlight , HD Truelife Touchscreen Display",7.6,Please visit your local store to see if this item is in stock .,8 GB,552728152,,8 GB,,,,,
"HP Black Elitebook 840 G1 14"" Touch Screen Laptop - Walmart.com","Power Cord , Battery",,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 3 x USB 3.0",Integrated Intel HD Graphics 4400,500 GB,14.0 inch,HP Elitebook 840-G1,,10/100/1000 Gigabit Ethernet & 802.11a/g/n Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,1.60 GHz,Intel Core i5-4200U Processor,13.35 x 9.33 x 0.89,1366 x 768,"LED Backlight , HD Anti-Glare Touchscreen Display",6.1,Please visit your local store to see if this item is in stock .,8 GB,553018525,,16 GB,,,,,
"Acer Aspire Laptop, V5-131-10174G50akk - Walmart.com","Power Cord , Battery",6 hours 30 minutes,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel GMA HD,500 GB,11.6 inch,NX.M89AA.009,,10/100 Fast Ethernet & 802.11a/b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Black,Intel,1.60 GHz,Intel Celeron 1017U Dual-Core Processor,13.4 x 9.4 x 0.8,1366 x 768,"LED Backlight , HD Display",4.4,Please visit your local store to see if this item is in stock .,4 GB,552307932,,8 GB,),,,,
"Dell Silver 17.3"" Inspiron 17 5748 Laptop PC with Intel Core i3-4030U Processor, 4GB Memory, 500GB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",5 hours 26 minutes,Lithium Ion,"3-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",Integrated Graphics,500 GB,17.3 inch,i5748-2143sLV,Tray Load DVD Drive,10/100 Fast Ethernet & 802.11n Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,1.90 GHz,Intel Core i3-4030U Processor,6.73 x 16.3 x 1.1,1600 x 900,"LED Backlight , HD+ Truelife Display",9.13,Please visit your local store to see if this item is in stock .,4 GB,552913779,,8 GB,,,,,
"Acer Aspire 17.3"" Laptop, E1-731-20204G50 - Walmart.com","Power Cord , Battery",3 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel GMA HD,500 GB,17.3 inch,NX.MGAAA.004,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Gray,Intel,2.40 GHz,Intel Pentium Dual-Core 2020M Processor,16.3 x 10.8 x 1.2,1600 x 900,"LED Backlight , CineCrystal Widescreen HD+ Display",7.1,Please visit your local store to see if this item is in stock .,4 GB,552307976,,8 GB,,,,,
"Lenovo Black 10.1"" Flex 10 Convertible Laptop - Walmart.com","Power Cord , Battery",4 hours,Lithium Ion,,"1 x DC-in , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",Integrated Intel HD Graphics,500 GB,10.1 inch,59420879,,802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,Intel,"1.58 GHz , with a Max Turbo Speed of 2.16 GHz",Intel Celeron N2807 Dual-Core Processor,15.3 x 9.8 x 2.5,1366 x 768,"LED Backlight , HD Touchscreen Display",3.85,Please visit your local store to see if this item is in stock .,2 GB,552891129,,,,,,,
"Asus black laptop PC, D550MA-DS01 - Walmart.com",,,,,,,500 GB,15.6 inch,,,,Windows 8 64-bit,,,Intel,,Intel Celeron Dual-Core N2815 Processor,,,,5.9,Please visit your local store to see if this item is in stock .,,552414876,,,,,,,
"Acer Aspire Laptop PC, E1-532-29574G50Mnkk - Walmart.com","Power Cord , Battery",4 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel GMA HD,500 GB,15.6 inch,NX.MFVAA.006,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Black,Intel,1.40 GHz,Intel Celeron 2955U Dual-Core Processor,15.0 x 10.1 x 0.5,1366 x 768,"LED Backlight , HD Display",5.2,Please visit your local store to see if this item is in stock .,4 GB,552307962,,8 GB,),,,,
"Toshiba Satin Gold 15.6"" Satellite S55T-B5260 Laptop PC with Intel Core i7-4510U Processor, 8GB Memory, 1TB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",,Lithium Ion,"6-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MultiMediaCard ) , 1 x ( miniSD ) , 1 x ( microSD )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 1 x USB 2.0 , 2 x USB 3.0",AMD Radeon R7 M260 with 2GB of dedicated system memory,1 TB,15.6 inch,S55T-B5260,,10/100/1000 Gigabit Ethernet & 802.11ac Wireless LAN,Windows 8.1,PC,Gold,Intel,"2.00 GHz , with a Max Turbo Speed of 3.10 GHz",Intel Core i7-4510U Processor,10.2 x 14.96 x 0.93,1366 x 768,"LED Backlight , HD TruBrite Display",7.1,Please visit your local store to see if this item is in stock .,8 GB,553012629,,,,,,,
"Lenovo Black 14"" ThinkPad T440P Laptop PC with Intel Core i5-4200M Processor, 4GB Memory, 500GB Hard Drive and Windows 7 Professional: Computers : Walmart.com","Power Cord , Battery",7 hours 24 minutes,Lithium Ion,"4-in-1 card reader 1 x ( SD ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MMC )","1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x Headphone/Microphone , 2 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4600,500 GB,14.0 inch,20AN0069US,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"2.50 GHz , with a Max Turbo Speed of 3.10 GHz",Intel Core i5-4200M Processor,15.3 x 11.4 x 5.0,1366 x 768,"LED Backlight , HD Display",8.0,Please visit your local store to see if this item is in stock .,4 GB,552114470,2500MHz,"16 GB , SO DIMM 204-pin , 1600 MHz / PC3-12800",,,,,
"HP 15.6"" Laptop PC, TouchSmart 15-g060nr, 750GB Hard Drive - Walmart.com","Power Cord , Battery",5 hours 15 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",AMD Radeon R5,750 GB,15.6 inch,HP 15-G060Nr,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,AMD,2.40 GHz,AMD Quad-Core A8-6410 APU Processor,10.2 x 14.88 x 1.01,1366 x 768,"LED Backlight , HD Brightview Touchscreen Display",6.97,Please visit your local store to see if this item is in stock .,4 GB,552728087,,,,,,,
"Acer Refurbished Granite Gray 11.6"" chromebook - Walmart.com","Power Cord , Battery",7 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x HDMI , 1 x USB 2.0 , 1 x USB 3.0",Intel GMA HD,32 GB,11.6 inch,NX.MJAAA.001,,802.11a/b/g/n Wireless LAN,Chrome,,Gray,Intel,1.40 GHz,Intel Celeron 2955U Dual-Core Processor,8.0 x 11.3 x 0.8,1366 x 768,"LED Backlight , HD Touchscreen Display",2.98,Please visit your local store to see if this item is in stock .,2 GB,552261103,,,,,,,
"Dell E6500 Laptop, 15.4"" - Walmart.com","Power Cord , Battery",3 hours 30 minutes,Lithium Primary,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 4 x USB 2.0 , 1 x VGA",Integrated Intel GMA 4500M HD,160 GB,15.4 inch,E6500,DVD-RW Drive,10/100/1000 Gigabit Ethernet & 802.11a/g Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,2.80 GHz,Intel Core 2 Duo Processor,14.1 x 10.4 x 1.3,1280 x 800,"LCD Color , HD Display",10.0,Please visit your local store to see if this item is in stock .,4 GB,551418123,,8 GB,,Refurbished,,,
