64bit processing,<page title>,aspect ratio,audio line in,audio line out,backlight technology,brand name,cache,certifications standards,chipset manufacturer,chipset model,controller type,direct media interface,display screen technology,display screen type,displayport,ethernet technology,features,form factor,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,hdcp supported,hyperthreading,input voltage,keyboard,keyboard localization,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum memory,maximum power supply wattage,maximum turbo speed,memory form factor,memory standard,memory technology,network rj45,number of external 525 bays,number of internal 25 bays,number of mini pci express slots,number of msata interfaces,number of mxm slots,number of processors installed,number of processors supported,number of total expansion bays,number of total expansion slots,number of total memory slots,number of usb 30 ports,operating system,operating system architecture,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product name,product series,product type,raid supported,screen mode,screen resolution,screen size,software included,standard memory,total hard drive capacity,total number of usb ports,touchscreen,width,depth,hard drive interface,hard drive rpm,height,keyboard type,number of m2 interfaces,number of usb 20 ports,vga,vpro technology,weight approximate,wireless lan,wireless lan standard,color,esata,firewireilink,hdmi,hybrid hard drive capacity,hybrid hard drive interface,modem,modem rj11,optical drive type,optical media supported,product model,ssd cache capacity,memory card reader,number of optical drives,bluetooth,bluetooth standard,microphone,webcam,dvi,solid state drive interface,total solid state drive capacity,number of 35 bays,number of pci express x1 slots,number of pci express x16 slots,duallayer media supported,number of pci slots,raid levels,graphics controller interface,graphics memory capacity,compatibility,device supported,print color,flash memory,headphonemicrophone combo port,clock speed,l1 cache,l2 cache,l3 cache,number of monitors supported,overclocking speed,package type,platform supported,process technology,processor socket,processor technology,thermal design power,thermal specification,memory card supported,multitouch screen,connectivity technology,host interface,system requirements,media type,power source,recommended use,operating power consumption,standby power consumption,usb,usb standard,adjustable display angle,brightness,contrast ratio,horizontal viewing angle,maximum resolution,number of screens,panel technology,response time,screen surface,vertical viewing angle
Yes,Lenovo ThinkCentre M93p 10A9002WUS Desktop Computer,,Yes,Yes,,Lenovo,6 MB,,Intel,Q87 Express,Serial ATA/600,5 GT/s,,,Yes,Gigabit Ethernet,"Security Slot , Tool-less Back Cover",Small Form Factor,AMD,Radeon HD 7450,Dedicated,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,No,,Yes,,3 Year,Lenovo Group Limited,10A9002WUS,http : //www.lenovo.com/ca/en,32 GB,240 W,3.80 GHz,DIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,,,,1.0,1.0,4.0,4.0,4.0,6.0,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,ThinkCentre M93p 10A9002WUS Desktop Computer Keyboard Mouse Floor Stand Windows 8.1 License Media DVI-to-VGA Dongle,Mouse,Quad-core ( 4 Core ),Intel,i5-4670,3.40 GHz,Core i5,ThinkCentre,ThinkCentre M93p 10A9002WUS Desktop Computer,M93p,Desktop Computer,Yes,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office Preloaded ( purchase a product key to activate ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB,1 TB,10.0,,13.3 '' ( 338.1 mm ),14.8 '' ( 374.9 mm ),Serial ATA/600,7200.0,4 '' ( 102.1 mm ),,,4.0,Yes,Yes,7.80 kg,No,,Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10A9002WUS,,No,,No,,,,Yes,,,2.0,1.0,2.0,Yes,1.0,"0 , 1",PCI Express x16,Up to 1 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93z 10AF000HUS All-in-One Computer,16 : 9,Yes,Yes,LED,Lenovo,3 MB,TUV Green Mark,Intel,Q87 Express,Serial ATA/600,5 GT/s,,Active Matrix TFT Color LCD,Yes,Gigabit Ethernet,"Security Slot , Tool-less Back Cover",Desktop Desktop,Intel,HD 4400,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , TCO Certified Edge , ULE Gold , GREENGUARD , RoHS , EuP",Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10AF000HUS,http : //www.lenovo.com/ca/en,16 GB,150 W,,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,1.0,,1.0,1.0,,1.0,2.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro Windows 7 Professional,64-bit,ThinkCentre M93z 10AF000HUS All-in-One Computer Keyboard Mouse Monitor Stand Windows 8 Pro License Media,Mouse,Dual-core ( 2 Core ),Intel,i3-4130 i3-4130,3.40 GHz 3.40 GHz,Core i3 Core i3,ThinkCentre,ThinkCentre M93z 10AF000HUS All-in-One Computer,M93z,All-in-One Computer All-in-One Computer,,Full HD,1920 x 1080 1920 x 1080,23 '' 23 '',ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Device Experience ThinkVantage AutoLock Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ( purchase a product key to activate ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Lenovo Solutions for Small Business Nitro Pro,4 GB 4 GB,,6.0,No,22.4 '' ( 569 mm ),9.7 '' ( 246.4 mm ),,,21.7 '' ( 551.2 mm ),,,,Yes,No,11.58 kg,Yes,IEEE 802.11b/g/n,Business Black Business Black,,,,500 GB,Serial ATA/600,,,DVD-Writer,DVDÂ±R/Â±RW,10AF000HUS,8 GB,Yes,,Yes,Bluetooth 4.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10A9000PUS Desktop Computer,,Yes,Yes,,Lenovo,8 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10A9000PUS,http : //www.lenovo.com/ca/en,32 GB,240 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,,,,,1.0,1.0,4.0,4.0,4.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M93p ( 10A9-000PUS ) Keyboard Mouse Floor Stand Windows 8 Pro License Media,Mouse,Quad-core ( 4 Core ),Intel,i7-4770,3.40 GHz,Core i7,ThinkCentre,ThinkCentre M93p ( 10A9-000PUS ),M93p,Desktop Computer,Yes,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office Preloaded ( purchase a product key to activate ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB,500 GB,8.0,,13.3 '' ( 338.1 mm ),14.8 '' ( 374.9 mm ),Serial ATA/600,7200.0,4 '' ( 102.1 mm ),,,2.0,Yes,Yes,7.80 kg,No,,Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10A9000PUS,,No,,No,,,,,,,2.0,1.0,2.0,Yes,1.0,"0 , 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre 10AY0038US Tiny Thin Client,,Yes,Yes,,Lenovo,2 MB,,Intel,H81 Express,,5 GT/s,,,Yes,Gigabit Ethernet,,Tiny,Intel,HD Graphics,Shared,,"GREENGUARD , RoHS",Yes,,No,,Yes,,1 Year,Lenovo Group Limited,10AY0038US,http : //www.lenovo.com/ca/en,16 GB,65 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,,,,,,1.0,2.0,2.0,LeTOS,,ThinkCentre M73 10AY0038US Thin Client Power Adapter Keyboard Mouse Vertical Floor Stand,Mouse,Dual-core ( 2 Core ),Intel,G1820T,2.40 GHz,Celeron,ThinkCentre,ThinkCentre M73 10AY0038US Thin Client,M73,Thin Client,,,,,xFreeRDP Citrix ICA Client VMware View Client Java Mozilla Firefox NX NoMachine Client X11 Client VDI-In-A-Box Java Client AnyConnect VPN Client,2 GB,,5.0,,7 '' ( 177.8 mm ),7.2 '' ( 182.9 mm ),,,1.4 '' ( 35.6 mm ),Physical Keyboard,,3.0,Yes,No,1.30 kg,Yes,IEEE 802.11b/g/n,Business Black,No,,,,,,No,No,,10AY0038US,,,,,,,,,,,,,,,,,,,,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteDesk 800 G1 Desktop Computer - F4L19UT#ABA,,Yes,Yes,,HP,8 MB,ACPI TAA Compliant,Intel,Q87 Express,Serial ATA/600,5 GT/s,,,Yes,Gigabit Ethernet,Security Slot,Desktop Mini Desktop Mini,Intel Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"Eco-label , IT Eco Declaration , RoHS , WEEE , EU RoHS , EU WEEE",Yes Yes,Yes,Yes,"110 V AC , 220 V AC",Yes,English ( US ),3 Year,Hewlett-Packard,F4L19UT # ABA,http : //www.hp.com/ca,16 GB,65 W,3 GHz,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,1.0,,,,1.0,1.0,1.0,,2.0,6.0,Windows 7 Professional Upgradable to Windows 8.1 Pro ( English ) Windows 7 Professional,64-bit,EliteDesk 800 G1 Desktop Mini PCKeyboardMouseWindows 8.1 Pro License MediaPower Adapter,Mouse,Quad-core ( 4 Core ),Intel Intel,i7-4765T i7-4765T,2 GHz 2 GHz,Core i7 Core i7,EliteDesk,EliteDesk 800 G1 Desktop Mini PC,800 G1,Desktop Computer Desktop Computer,No,,,,"Microsoft Security Essentials Security : Device Access Manager HP ProtectTools Security Suite File Sanitizer ( Activated via Wizard ) Disk Sanitizer ( external version ) Secure Erase HP Client Security MultiMedia : Cyberlink Power DVD , BD Cyberlink Power2Go ( Secure Burn ) HP Value Add : HP ePrint Driver HP PageLift HP Support Assistant HP Recovery Disk Creator 3rd Party : Adobe Flash Player Bing Search for Internet Explorer 10 Box PDF Complete , Corporate Edition Skype",4 GB 4 GB,,6.0,,6.9 '' ( 175.3 mm ),7 '' ( 177.8 mm ),,,1.3 '' ( 33 mm ),,,,Yes,,1.30 kg,Yes,IEEE 802.11a/b/g/n,,,,,500 GB,Serial ATA/600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteOne 800 G1 All-in-One Computer - E9L38AW#ABA,16 : 9,Yes,Yes,LED,HP,6 MB,UL CSA FCC Compliance CCC SEPA TAA Compliant ACPI,Intel,Q87 Express,Serial ATA,,,Active Matrix TFT Color LCD,Yes,Gigabit Ethernet,Security Slot,Desktop,Intel,HD 4600,Shared,DDR3 SDRAM,"TCO Certified Edge , CECP , EU WEEE , IT Eco Declaration , Eco-label , ErP/EuP Lot 6 , ENERGY STAR , REACH , RoHS , EU RoHS , WEEE",Yes,Yes,,"110 V AC , 220 V AC",Yes,,3 Year,Hewlett-Packard,E9L38AW # ABA,http : //www.hp.com/ca,16 GB,200 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,Windows 7 Professional,64-bit,EliteOne 800 G1 All-in-One PC ( ENERGY STAR ) Keyboard,,Quad-core ( 4 Core ),Intel,i5-4670S,3.10 GHz,Core i5,EliteOne,EliteOne 800 G1 All-in-One PC ( ENERGY STAR ),800 G1,All-in-One Computer,Yes,Full HD,1920 x 1080,23 '',"HP ProtectTools security software Cyberlink Multimedia Suite Security : Device Access Manager File Sanitizer ( Activated via Wizard ) Microsoft Security Essentials Security Manager Multimedia : Cyberlink Media Suite Cyberlink PhotoDirector Cyberlink Power Director Cyberlink Power DVD , BD Cyberlink Power2Go ( Secure Burn ) Cyberlink YouCam BE Cyberlink YouCam Webcam Sharing Manager HP Value Add : HP ePrint Driver HP PageLift HP Support Assistant HP Recovery Disk Creator 3rd Party : Adobe Flash Player Evernote PDF Complete Skype Microsoft Products : Buy Office",4 GB,500 GB,6.0,,22 '' ( 560 mm ),2 '' ( 50.3 mm ),Serial ATA/600,7200.0,15.3 '' ( 389 mm ),,,,,,,Yes,IEEE 802.11a/b/g/n,,,,,,,,,DVD-Writer,DVD-RAM/Â±R/Â±RW,,,,,,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteDesk 800 G1 Desktop Computer - J1A01AW#ABA,,Yes,Yes,,HP,6 MB,,Intel,Q87 Express,Serial ATA,5 GT/s,,,Yes,Gigabit Ethernet,,Mini PC Mini PC,Intel Intel,HD Graphics 4600,Shared,DDR3 SDRAM,ENERGY STAR,Yes Yes,,No,,Yes,,3 Year,Hewlett-Packard,J1A01AW # ABA,http : //www.hp.com/ca,,65 W,3 GHz,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,,,,1.0,1.0,,,2.0,6.0,Windows 7 Professional Upgradable to Windows 8.1 Pro Windows 7 Professional,64-bit,EliteDesk 800 G1 Desktop Mini PC ( ENERGY STAR ) KeyboardMouse Windows 8.1 Pro Media,Mouse,Quad-core ( 4 Core ),Intel Intel,i5-4590T i5-4590T,2 GHz 2 GHz,Core i5 Core i5,EliteDesk,EliteDesk 800 G1 Desktop Mini PC ( ENERGY STAR ),800 G1,Desktop Computer Desktop Computer,,,,,HP Client SecurityMicrosoft Security Essentials,8 GB 8 GB,,6.0,,6.9 '' ( 175 mm ),7 '' ( 177 mm ),,,1.3 '' ( 34 mm ),,2.0,,Yes,,1.30 kg,,,,,,,500 GB,Serial ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M83 10AL0009CA Desktop Computer,,Yes,Yes,,Lenovo,6 MB,,Intel,Q85 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Mini-tower Mini-tower,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ULE Gold , GREENGUARD , RoHS",Yes Yes,,,,Yes,French,3 Year,Lenovo Group Limited,10AL0009CA,http : //www.lenovo.com/ca/en,32 GB,280 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,2.0,,,,,1.0,1.0,5.0,3.0,4.0,4.0,Windows 7 Professional Upgradable to Windows 8 Pro ( French ) Genuine Windows 7 Professional,64-bit,ThinkCentre M83 10AL0009CA Desktop Computer Keyboard Mouse Windows 8 Pro License Media,Mouse,Quad-core ( 4 Core ),Intel Intel,i5-4570 i5-4570,3.20 GHz 3.20 GHz,Core i5 Core i5,ThinkCentre,ThinkCentre M83 10AL0009CA Desktop Computer,M83,Desktop Computer Desktop Computer,,,,,Rescue and Recovery Password Manager ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ( purchase a product key to activate ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB 4 GB,500 GB,8.0,,6.9 '' ( 175 mm ),17.4 '' ( 442.2 mm ),Serial ATA/600,7200.0,16.3 '' ( 414.5 mm ),,,4.0,Yes,,11.20 kg,No,,Business Black Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10AL0009CA,,No,,No,,,,,,,3.0,1.0,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP Business Desktop ProDesk 400 G1 Desktop Computer - K1L01UT#ABA,,Yes,Yes,,HP,3 MB,ACPI TAA Compliant,Intel,H81 Express,Serial ATA/600,5 GT/s,,,,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD Graphics 4400,Shared,DDR3 SDRAM,,,Yes,Yes,"120 V AC , 230 V AC",Yes,,3 Year,Hewlett-Packard,K1L01UT # ABA,http : //www.hp.com/ca,16 GB,240 W,,DIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,,,,1.0,1.0,4.0,4.0,2.0,2.0,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,ProDesk 400 G1 Small Form Factor Business PC Keyboard Mouse Windows 8.1 Pro License Media,Mouse,Dual-core ( 2 Core ),Intel,i3-4160,3.60 GHz,Core i3,Business Desktop,ProDesk 400 G1 Small Form Factor Business PC,ProDesk 400 G1,Desktop Computer,No,,,,"DTS Sound + Security : HP Client Security : Drive Encryption HP Device Access Manager with Just In Time Authentication HP Password Manager File Sanitizer ( SSDs and Hybrid Drives not supported ) Disk Sanitizer External Edition Microsoft Security Essentials MultiMedia : Cyberlink Power DVD , BD Cyberlink Power2Go ( Secure Burn ) HP Value Add : HP ePrint Driver HP PageLift HP Support Assistant HP Recovery Disk Creator 3rd Party : Adobe Flash Player Box PDF Complete , Corporate Edition Skype",4 GB,500 GB,9.0,,13.3 '' ( 336.8 mm ),15 '' ( 380.5 mm ),Serial ATA/600,7200.0,3.9 '' ( 99.8 mm ),Physical Keyboard,,7.0,Yes,No,5.90 kg,No,,,,,,,,,,DVD-Writer,DVD-RAM/Â±R/Â±RW,,,,,,,,,Yes,,,2.0,3.0,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M83 10AM0009US Desktop Computer,,Yes,Yes,,Lenovo,3 MB,,Intel,Q85 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ULE Gold , GREENGUARD , RoHS",Yes,,,,Yes,,3 Year,Lenovo Group Limited,10AM0009US,http : //www.lenovo.com/ca/en,32 GB,240 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,,,,1.0,1.0,4.0,3.0,4.0,4.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M83 10AM0009US Desktop Computer Keyboard Mouse Windows 8 Pro License Media Floor Stand,Mouse,Dual-core ( 2 Core ),Intel,i3-4130,3.40 GHz,Core i3,ThinkCentre,ThinkCentre M83 10AM0009US Desktop Computer,M83,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB,500 GB,8.0,,13.3 '' ( 338.1 mm ),14.8 '' ( 374.9 mm ),Serial ATA/600,7200.0,4 '' ( 102.1 mm ),,,4.0,Yes,No,7.80 kg,No,,Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10AM0009US,,,,No,,,,,,,2.0,1.0,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10A7000QUS Desktop Computer,,Yes,Yes,,Lenovo,8 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Mini-tower Mini-tower,NVIDIA,Geforce GT 620,Dedicated,,"ENERGY STAR 5.2 , ULE Gold , EPEAT Gold , RoHS , GREENGUARD",Yes Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10A7000QUS,http : //www.lenovo.com/ca/en,32 GB,280 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,2.0,,,,,1.0,1.0,5.0,4.0,4.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro Genuine Windows 7 Professional,64-bit,ThinkCentre M93p 10A7000QUS Desktop Computer Keyboard Mouse Windows 8 Professional License Media,Mouse,Quad-core ( 4 Core ),Intel Intel,i7-4770 i7-4770,3.40 GHz 3.40 GHz,Core i7 Core i7,ThinkCentre,ThinkCentre M93p 10A7000QUS Desktop Computer,M93p,Desktop Computer Desktop Computer,Yes,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,8 GB 8 GB,1 TB,8.0,,6.9 '' ( 175 mm ),17.4 '' ( 442.2 mm ),Serial ATA/600,7200.0,16.3 '' ( 414.5 mm ),,,2.0,Yes,Yes,11.20 kg,No,,Business Black Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10A7000QUS,,No,,No,,,,No,,,3.0,1.0,2.0,Yes,1.0,"0 , 1",PCI Express x16,Up to 1 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M73 10B6000ACA Desktop Computer,,Yes,Yes,,Lenovo,3 MB,,Intel,H81 Express,Serial ATA/600,5 GT/s,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD Graphics,Shared,DDR3 SDRAM,"GREENGUARD , RoHS",Yes,,No,,Yes,French,3 Year,Lenovo Group Limited,10B6000ACA,http : //www.lenovo.com/ca/en,16 GB,240 W,,DIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,,,,1.0,1.0,4.0,3.0,2.0,2.0,Windows 7 Professional Upgradable to Windows 8 Pro ( French ),64-bit,ThinkCentre M73 10B6000ACA Desktop Computer Keyboard Mouse Floor Stand Windows 8 Pro License Media,Mouse,Dual-core ( 2 Core ),Intel,G3220,3 GHz,Pentium,ThinkCentre,ThinkCentre M73 10B6000ACA Desktop Computer,M73,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Power Manager View Management Utility PC Device Stage Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Evernote Microsoft Office preloaded ; purchase a product key to activate Cyberlink Power2Go Cyberlink PowerProducer Nitro Pro,2 GB,500 GB,6.0,,13.2 '' ( 335.3 mm ),15 '' ( 381 mm ),Serial ATA/600,7200.0,3.9 '' ( 99.1 mm ),,,4.0,Yes,No,6.62 kg,No,,Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10B6000ACA,,No,,No,,,,,,,1.0,2.0,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10A90014CA Desktop Computer,,Yes,Yes,,Lenovo,8 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,NVIDIA,Geforce GT 620,,,"ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,Yes,,Yes,French,,Lenovo Group Limited,10A90014CA,http : //www.lenovo.com/ca/en,32 GB,240 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,,,,,1.0,1.0,4.0,4.0,4.0,6.0,Windows 7 Professional ( French ),64-bit,ThinkCentre M93p 10A90014CA Desktop Computer Keyboard Mouse,Mouse,Quad-core ( 4 Core ),Intel,i7-4770,3.40 GHz,Core i7,ThinkCentre,ThinkCentre M93p ( 10A9-0014CA ),M93p,Desktop Computer,Yes,,,,,8 GB,1 TB,8.0,,13.3 '' ( 338.1 mm ),14.8 '' ( 374.9 mm ),Serial ATA/600,7200.0,4 '' ( 102.1 mm ),,,2.0,Yes,,7.80 kg,,,Business Black,No,,,,,,,DVD-Writer,DVD-RAM/Â±R/Â±RW,10A90014CA,,,,,,,,,,,2.0,1.0,2.0,Yes,1.0,"0 , 1",PCI Express x16,Up to 1 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Asus VivoPC VM40B-02 Desktop Computer - VivoPC-VM40B-02,,Yes,Yes,,Asus,2 MB,,Intel,HM70 Express,Serial ATA,5 GT/s,,,,Gigabit Ethernet,Security Slot,Mini PC,Intel,HD Graphics,Shared,DDR3 SDRAM,"ENERGY STAR 5.2 , EPEAT Gold , RoHS",Yes,,No,,Yes,,1 Year,ASUS Computer International,VIVOPC-VM40B-02,http : //www.asus.com,16 GB,65 W,,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,,,,1.0,1.0,,,2.0,2.0,Windows 8.1,64-bit,VIVOPC VM40B-02 Desktop Computer Power Adapter Keyboard Mouse Warranty Card Power Cord User Manual Quick Start Guide,Mouse,Dual-core ( 2 Core ),Intel,1007U,1.50 GHz,Celeron,VivoPC,VIVOPC VM40B-02 Desktop Computer,VM40B,Desktop Computer,,,,No,Anti-Virus Trial Adobe Acrobat Reader ASUS WebStorage Intel Smart Connect Technology Office 2013 Trial Window Live Utilities : Ai Suite 3 ASUS Wi-Fi GO ! EZ Update APRP ( ASUS Product Registration Program ),4 GB,500 GB,6.0,No,7.5 '' ( 190 mm ),7.5 '' ( 190 mm ),Serial ATA/600,7200.0,2.2 '' ( 56.1 mm ),,,4.0,Yes,No,1.20 kg,Yes,IEEE 802.11ac,Silver,,,Yes,,,,,,,VM40B-02,,,No,Yes,Bluetooth 4.0,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
