<page title>,depth,display size,display type,green compliance,height,included devices,included network card,input devices,installed memory,interface connection,laptop type,memory technology,number of cells,processor class,processor speed,solid state drive capacity,url,warranty information,width,battery life,operating system,slots,video chipset,weight,color,hard drive capacity,included drives,maximum memory,aspect ratio,cache size,installed video memory,max resolution,number of hard drives included,number of processor cores,64bit processing,battery energy,brand name,bus speed,dimensions,drive controllers,duallayer media support,graphics memory technology,hard drive rpm,network rj45,normalizedcache size,normalizeddisplay size,normalizedhard drive capacity,normalizedheight,normalizedinstalled memory,normalizedinstalled video memory,normalizedprocessor speed,normalizedweight,number of total memory slots,number of usb 20 ports,product line,screen mode,software included,total number of usb ports,video bus,video integration,video memory,wifi manufacturer,wifi model,number of solid state drives included,parent retsku,direct media interface,headphonemicrophone combo port,hyperthreading,memory card reader,multitouch screen,number of usb 30 ports,processor model,product series,touchpad features,audio line out,frequency band,keyboard backlight,maximum power supply wattage,operating system architecture,product model,tv card,category,class,modem,modem rj11,front camera,keyboard type,operating system platform,solid state drive interface,audio codec,audio line in,near field communication,vpro technology,cd rewrite speed,cd write speed,cdrom read speed,dvdrom read speed,normalizedcd rewrite speed,normalizedcd write speed,normalizeddvdrom read speed,wwan support
"Apple MacBook 13.3"" Notebook - Intel Core 2 Duo 2 GHz (2 GB RAM - 160 GB HDD - DVD-Writer - NVIDIA GeForce 9400M - Mac OS X 10.5 Leopard - 1280 X 800 Display - Bluetooth) Price Comparison at Buy.net",8.9 in,13.3 in,LCD Display w/ Glossy Screen,ENERGY STAR|EPEAT Gold Yes,0.9 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11n|Gigabit Ethernet|Bluetooth 2.1,Track Pad,2 GB,2 x USB 2.0|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,,Intel Core 2 Duo,2 GHz,No,http : //www.apple.com,1 Year,12.8 in,5 Hour,Mac OS X 10.5 Leopard,,NVIDIA GeForce 9400M,4.50 lbs,,160 GB,DVDR/RW,4 GB,16 : 10,3 MB,256 MB,1280 x 800,1,,Yes,45 Wh,Apple,1066 MHz,0.95 '' Height x 12.80 '' Width x 8.94 '' Depth,Serial ATA,Yes,DDR3 SDRAM,5400.0,Yes,3.0,13.3,160000.0,0.00095,2000.0,256.0,2000.0,72.0,2.0,2.0,MacBook,WXGA,Time Machine Quick Look Spaces Spotlight Dashboard Mail iChat Safari Address Book QuickTime iCal DVD Player Photo Booth Front Row Xcode Developer Tools iLife 08 : iTunes i,2.0,PCI Express x16,Card,256 MB Shared,Apple,AirPort Extreme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) 340 G1 14"" LED Notebook - Intel - Core I3 I3-4010U 1.7GHz (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4400 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.7 in,14 in,LED Backlight,,0.9 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad,4 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,4-cell,Intel Core i3,1.70 GHz,,http : //www.hp.com,1 Year,13.7 in,,Windows 7 Professional Upgradable to Windows 8.1 Pro,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,4.41 lbs,,500 GB,DVD-RAM/R/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo X1 Carbon 20A7002WUS 14"" LED In-plane Switching IPS Technology Ultrabook - Intel - Core I7 I7-4600U 2.1GHz - Black (8 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 7 Professional 64-bit - 2560 X 1440 Display - Bluetooth) Price Comparison at Buy.net",8.9 in,14 in,In-plane Switching ( IPS ) Technology LED Backlight,ENERGY STAR 6.0|RoHS,0.7 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11ac|Ethernet|Bluetooth 4.0,TouchPad|Trackpoint|Touch Screen No,8 GB,2 x USB 3.0|HDMI Yes|DisplayPort Yes,Ultrabook,DDR3L SDRAM,8-cell,Intel Core i7,2.10 GHz,256 GB,http : //www.lenovo.com/us/en/,3 Year,13 in,8.70 Hour,Windows 7 Professional Upgradable to Windows 8.1 Pro,Micro SIM Card,Intel HD 4400,2.82 lbs,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook 840 G1 14"" LED Notebook - Intel - Core I5 I5-4300U 1.9GHz (4 GB RAM - 500 GB HDD - Intel HD 4400 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.3 in,14 in,LED Backlight,RoHS|ENERGY STAR|EPEAT Gold|IT Eco Declaration|WEEE|EU WEEE,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n/ac|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,4 GB,4 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,3-cell,Intel Core i5,1.90 GHz,,http : //www.hp.com,3 Year,13.3 in,13.25 Hour,Windows 7 Professional,SIM Card|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,3.48 lbs,,500 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) Chromebook 14-q020nr Turquoise 14"" Notebook (1.4 GHz Intel Celeron 2955U, 2 GB DDR3, 16 GB SSD, Intel HD Graphics, Chrome OS, LED Backlight) Price Comparison at Buy.net",9.4 in,14 in,BrightView LED Backlight,RoHS,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n,ImagePad,2 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes,Notebook,DDR3L SDRAM,4-cell,Intel Celeron,1.40 GHz,16 GB,http : //www.hp.com,,13.6 in,,Chrome OS,Secure Digital ( SD ) Card,Intel HD Graphics,4.07 lbs,Ocean Turquoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Flex 15 15.6"" Touchscreen LED Notebook - Intel - Core I3 I3-4010U 1.7GHz - Gray - Black (4 GB RAM - 500 GB HHD - Intel HD 4400 - Windows 8.1 - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",10.5 in,15.6 in,LED Backlight,ENERGY STAR 5.2|EPEAT Silver,0.9 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Fast Ethernet|Bluetooth 4.0,TouchPad|Touch Screen Yes,4 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,4-cell,Intel Core i3,1.70 GHz,,http : //www.lenovo.com/us/en/,,15 in,5 Hour,Windows 8.1,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ),Intel HD 4400,5.10 lbs,Black|Gray,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony VAIO Duo 13 SVD13213CXB Black 13.3"" Ultrabook (1.6 GHz Intel Core I5-4200U, 4 GB DDR3, 128 GB SSD, Intel HD Graphics 4400, Windows 8, LED Backlight) Price Comparison at Buy.net",8.27 in,13.3 in,LCD Display w/ LED Backlight,EPEAT Silver|RoHS|Energy Star,0.77 in,Keyboard Backlight|Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11a|Bluetooth,Touch Screen|Touchpad|Pen ( Stylus ) |Keyboard,4 GB,USB - Universal Serial Bus 3.0|HDMI|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),Ultra Portable,DDR3,,Intel Core i5,1.6 GHz,128 GB,http : //store.sony.com/webapp/wcs/stores/servlet/ProductDisplay ? catalogId=10551 & storeId=10151 & productId=8198552921666566207,1 year ( s ),13 in,10 hour ( s ),Windows 8,SDXC Card|SDHC Card|SD Card|Memory Stick,Intel HD Graphics 4400,2.93 lbs,Black,,,4 GB,16 : 9,3 MB,,1920 x 1080,,Dual-Core,,,,,,,,,,,3.0,13.3,,19.558,4000.0,,1600.0,46.88,,,,,,,,,,,,1.0,B00D7ZH0IK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook 8470p 14"" LED Notebook - Intel - Core I5 I5-3230M 2.6GHz - Platinum (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4000 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.1 in,14 in,LED Backlight,RoHS|WEEE|IT Eco Declaration|EPEAT Gold|ENERGY STAR,1.3 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0 + EDR,TouchPad|Pointstick,4 GB,2 x USB 2.0|2 x USB 3.0|Firewire Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes|Modem RJ-11 Yes|eSATA/USB Combo Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,6-cell,Intel Core i5,2.60 GHz,,http : //www.hp.com,1 Year,13.3 in,9.25 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,ExpressCard/54|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |MultiMediaCard ( MMC ) |MMCplus,Intel HD 4000,4.95 lbs,Platinum,500 GB,DVD-RAM/R/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T440s 20AR0018US 14"" LED In-plane Switching IPS Technology Ultrabook - Intel - Core I7 I7-4600M 2.9GHz - Graphite Black (8 GB RAM - 256 GB SSD - Intel HD 4600 - Windows 8 Pro 64-bit - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",8.9 in,14 in,In-plane Switching ( IPS ) Technology LED Backlight,EPEAT Gold|ENERGY STAR 5.0|GREENGUARD|RoHS,0.8 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n/ac|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Trackpoint|Touch Screen No,8 GB,3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Ultrabook,DDR3L SDRAM,3-cell,Intel Core i7,2.90 GHz,256 GB,http : //www.lenovo.com/us/en/,3 Year,13 in,8.40 Hour,Windows 8 Pro,MultiMediaCard ( MMC ) |Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4600,3.50 lbs,Graphite Black,,,12 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Flex 15 15.6"" Touchscreen LED Notebook - Intel - Core I7 I7-4500U 1.8GHz - Black (8 GB RAM - 500 GB HHD - Intel HD 4400 - Windows 8 - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",10.5 in,15.6 in,LED Backlight,,0.9 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Ethernet|Bluetooth 4.0,TouchPad|Touch Screen Yes,8 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,4-cell,Intel Core i7,1.80 GHz,,http : //www.lenovo.com/us/en/,,15 in,9 Hour,Windows 8,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ),Intel HD 4400,5.10 lbs,Black,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire V3-571-73638G1TMaii 15.6"" LED Notebook - Intel Core I7 I7-3632QM 2.20 GHz (8 GB RAM - 1 TB HDD - DVD-Writer - Intel HD 4000 - Windows 7 Home Premium 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",10 in,15.6 in,LED Backlight,,1.3 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0 + HS,TouchPad,8 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3 SDRAM,6-cell,Intel Core i7,2.20 GHz,,http : //us.acer.com,,15 in,,Windows 7 Home Premium,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ) |Memory Stick|Memory Stick PRO|xD-Picture Card,Intel HD 4000,5.73 lbs,,1 TB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad S500 15.6"" Touchscreen LED Ultrabook - Intel Core I3 I3-3227U 1.90 GHz - Black (4 GB RAM - 500 GB HDD - Intel HD 4000 - Windows 8) Price Comparison at Buy.net",,15.6 in,LED Backlight,Yes ENERGY STAR|RoHS,,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n,TouchPad|Touch Screen Yes,4 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes,Ultrabook,DDR3 SDRAM,4-cell,Intel Core i3,1.90 GHz,,http : //www.lenovo.com/us/en/,,,5 Hour,Windows 8,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ),Intel HD 4000,5.07 lbs,Black,500 GB,,,,,,,,,Yes,48 Wh,Lenovo,,,,,DDR3 SDRAM,,,,15.6,500000.0,,4000.0,,1900.0,81.12,,2.0,IdeaPad,,,3.0,,,,,,,B00CRXZSXM,5 GT/s,Yes,Yes,Yes,Yes,1.0,i3-3227U,S500,Multi-touch Gesture,,,,,,,,,,,,,,,,,,,,,,,,,,,
