<page title>,average battery life in hours,batteries,brand name,chipset brand,color,computer memory type,graphics coprocessor,hard drive,hard drive interface,hard drive rotational speed,hardware platform,item dimensions l x w x h,item model number,item weight,max screen resolution,number of usb 30 ports,operating system,optical drive type,processor,processor brand,processor count,ram,screen resolution,screen size,series,wireless type,audioout ports,battery type,memory speed,number of usb 20 ports,power source,asin,best sellers rank,buy used and save,customer reviews,date first available,graphics card ram size,heres how,shipping,shipping weight,card description,flash memory size,rear webcam resolution,voltage,manufacturer part number,number of items,product dimensions,size
Amazon.com : MSI GE60 Apache Pro-003 15.6-Inch Laptop : Computers & Accessories,,1 Lithium ion batteries required .,MSI,,Alumium Black,DDR3 SDRAM,NVIDIA Geforce GTX860M,1024 GB,Serial ATA-600,7200 RPM,PC,15.09 x 9.83 x 1.46 inches,GE60 Apache Pro-003 ; 9S7-16GF11-003,5.3 pounds,1920x1080,2.0,Windows 8.1,DVD Super Multi,3.2 GHz Core i7-4700HQ,Intel,4.0,8 GB DDR3L SDRAM,1920x1080,15.6 inches,GE60,802.11bgn,,,,2.0,,B00IMTQ3UW,"# 2,467 in Computers & Accessories ( See top 100 )",See all Used offers .,4.2 out of 5 stars See all reviews 33 reviews 4.2 out of 5 stars,"March 13 , 2014",2000 MB,( restrictions apply ),This item is also available for shipping to select countries outside the U.S .,9.9 pounds ( View shipping rates and policies ),,,,,,,,
"Amazon.com : Dell Inspiron i17RV Black Laptop, Intel Core i3 4010U 1.7GHz, 16GB DDR3 Ram, 17.3in Screen, 1TB HDD, DVD Burner, Windows 8 : Computers & Accessories",,,Dell,,,DDR3 SDRAM,,,,,PC,20.20 x 13.13 x 3.58 inches,I17RV,,,,Windows 8,,,,,,,,Inspiron i17RV,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Sony VAIO E15 Series SVE15124CXW 15.5-Inch Laptop (White) : Laptop Computers : Computers & Accessories,,1 Lithium ion batteries required . ( included ),Sony,Intel,White,DDR3 SDRAM,Intel HD Graphics 4000,750 GB,Serial ATA,5400 RPM,PC,9.90 x 14.65 x 1 inches,SVE15124CXW,5.9 pounds,1366x768,1.0,Windows 8,DVD Super Multi,2.5 GHz Core i3-3110M,intel core I3,2.0,6 GB DDR3,1366 x 768,15.5 inches,VAIO E15 Series Laptop,802.11 a/b/g/n,1.0,Lithium-Ion ( Li-Ion ),1600 MHz,3.0,,,,,,,,,,,integrated graphics,,,,,,,
Amazon.com : Lenovo ThinkPad E540 20C600AAUS 15.6-Inch Laptop (Black) : Computers & Accessories,6.2 hours,1 Lithium ion batteries required . ( included ),Lenovo,,Black,DDR3 SDRAM,Intel HD Graphics 4600,500 GB Serial ATA-300,Serial ATA-300,7200 RPM,PC,1 x 1 x 1 inches,20C600AAUS,1 pounds,1366 x 768 pixels,2.0,Windows 8 Professional,DVD-Writer,2.4 GHz Core i3-4000M,Intel,2.0,4 GB DDR3L SDRAM,1366 x 768,15.6 inches,ThinkPad E540,802.11bgn,,Lithium-Ion ( Li-Ion ),1600 MHz,1.0,,,,,,,,,,,,,,,,,,
Amazon.com : HP Pavilion 15-n290nr 15.6-Inch Laptop (Windows 7) : Computers & Accessories,6.5 hours,1 Lithium ion batteries required . ( included ),HP,,"Black , Silver",DDR3 SDRAM,,750 GB,,5400 RPM,PC,13.60 x 3.10 x 0.89 inches,F5W50UA # ABA,5.1 pounds,1366x768,2.0,Windows 7 Home Premium 64-bit,SuperMulti DVD burner,1.6 GHz Intel Core i5-4200U,Intel Core I5,2.0,6 GB DDR3L SDRAM,1366 x 768,15.6 inches,Pavilion,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),1600 MHz,1.0,,B00I0MKP2I,"# 6,965 in Computers & Accessories ( See top 100 )",,3.6 out of 5 stars See all reviews 11 reviews 3.6 out of 5 stars,"February 3 , 2014",,,This item is also available for shipping to select countries outside the U.S .,7 pounds ( View shipping rates and policies ),,,,,,,,
"Amazon.com : Dell Inspiron 15R i15RV-3767BLK 15.6-Inch Touchscreen Laptop (1.8 GHz Intel Core i3-3217U Processor, 6GB DDR3, 500GB HDD, Windows 8) Black : Laptop Computers : Computers & Accessories",,1 Lithium ion batteries required . ( included ),Dell,,Black,,,500 GB mechanical_hard_drive,,5400 RPM,,19.29 x 13.15 x 3.31 inches,i15RV-3767BLK,7 pounds,1366x768,2.0,,,1.8 GHz Core i3-3217U,Intel Core i3,1.0,6 GB DDR3,,15.6 inches,Inspiron 15,802.11bgn,,,,2.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron i5748 Laptop 17.3-Inch Laptop - Intel Core i3-4030U 1.9GHz Processor, 8GB DDR3, 1TB Hard Drive, DVD Burner, Windows 8.1 : Computers & Accessories",,,Dell,,,,,,,,,20.50 x 13.88 x 3.31 inches,i5748,,,,windows 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Samsung - Laptop R480 / Intel Pentium Processor / 14"" Display / 4GB Memory / 320GB Hard Drive / BLURAY - Red/Black : Laptop Computers : Computers & Accessories",3 hours,,Samsung,Intel,,DDR3 SDRAM,Intel Graphics Media Accelerator 4500MHD,320 GB,,,,,R480,,,,Windows 7 Home Premium 64-bit,,2.2 GHz Core i3-330M,Intel,,4 GB DDR3,1366_x_768,14 inches,R series,802.11abg,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo S400 59359130 14 LED Notebook Intel Core i3-3227U 4GB DDR3 500GB HDD no ODD Windows 8 Grey : Laptop Computers : Computers & Accessories,,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB ddr3,,14 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Acer Chromebook 13 CB5-311-T7NN (13.3-inch HD, NVIDIA Tegra K1, 2GB) : Computers & Accessories",13 hours,1 Lithium ion batteries required . ( included ),Acer,,Moonstone White,,NVIDIA Kepler GPU with 192 NVIDIA CUDA cores,16 GB,,,,12.87 x 8.96 x 0.71 inches,CB5-311-T7NN,3.3 pounds,1366 x 768 pixels,2.0,Chrome,,2.1 GHz Tegra,NVIDIA,,2 GB DDR3L SDRAM,,13.3 inches,CB5-311,802.11 A/C,,,,,,,,,,,,,,,,16.0,,,,,,
"Amazon.com : Dell Inspiron 15r i15R-789MRB 15.6"" Notebook / Intel Core i3-380M (2.53ghz) / 4GB DDR3 RAM / 500GB HDD 5400rpm / DVD±RW / HDMI & Webcam / WIFI-N & Bluetooth : Laptop Computers : Computers & Accessories",,,Dell,Intel,,,HD Graphics,500 GB mechanical_hard_drive,,5400 RPM,PC,,i15R-789MRB,,1336 x 768 pixels,2.0,Microsoft Windows 7,dvd_plus_r,2.53 GHz Intel Core i3,Intel,,4 GB DDR3,1366 x 768,15.6 inches,,802.11bgn,1.0,,,,AC,,,,,,,,,,HD Graphics,,,,,,,
Amazon.com : Goldengulf 10.1 inch Mini Android 4.2 Computer Laptop Notebook Dual Core 4GB WIFI Camera (black) : Computers & Accessories,3 hours,,Goldengulf,,black,DDR3 SDRAM,,8 GB,,,PC,11.02 x 0.98 x 7.48 inches,,1.8 pounds,1024*600,,other,,,,,4 GB,,10 inches,GG5029-2,,,,,,Battery,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron i15RVT Laptop, Intel i3-3217U 1.8 GHz, 8GB Ram, 15.6in Touch-Screen, 750GB HDD, DVD Burner, Windows 8 : Computers & Accessories",,,Dell,,,DDR3 SDRAM,,750 GB mechanical_hard_drive,,,PC,,I15RVT,5.2 pounds,,2.0,Windows 8,,,Intel Core i3,,8 GB,,15.6 inches,Inspiron i15RVT,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP Pavilion 17-e019dx 17-Inch Laptop (2.4GHz Intel i3-4000M Processor, 4 GB RAM, 750GB Hard Drive, Windows 8) : Computers & Accessories",,,HP,,,DDR3 SDRAM,,750 GB mechanical_hard_drive,,,PC,16.50 x 10.50 x 1.29 inches,17-E019DX,6.4 pounds,1600X900,3.0,Windows 8,,,Intel Core i3,,4 GB ddr3,,17.3 inches,17-E019DX,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Sony VAIO E Series SVE15134CXW 15.5-Inch Laptop (2.5 GHz Intel Core i3-3120M Processor, 6GB DDR3, 750GB HDD, Windows 8) White : Laptop Computers : Computers & Accessories",2 hours,1 Lithium ion batteries required . ( included ),Sony,,White,DDR3 SDRAM,Intel® HD Graphics 4000,750 GB,Serial ATA,5400 RPM,PC,9.90 x 14.60 x 1 inches,SVE15134CXW,5.9 pounds,1366x768,1.0,Windows 8,DVD Super Multi,2.5 GHz Intel Core i3,Intel,2.0,6 GB DDR3,1366 x 768,15.5 inches,Sony VAIO E Series,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),1600 MHz,3.0,,,,,,,,,,,,,,,,,,
Amazon.com : ASUS U52F-BBG6 Refurbished Notebook PC : Notebook Computers : Computers & Accessories,,,Asus,,,,,640 GB,,,PC,10.10 x 15.20 x 1.30 inches,U52f-bbg6,13.1 ounces,,,windows_7_home_premium,,Intel Core i3,,,4 GB ddr3,,15.6 inches,U52F-BBG6,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ACER Aspire 17.3"" LED (CineCrystal) Notebook - Intel Core i3 i3-3110M 2.40 GHz 6 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4000 Graphics - Windows 7 Home Premium 64-bit - 1600 x 900 Display - Bluetooth / NX.MG7AA.006 / : Computers & Accessories",,,Acer,,,,,,,,,,NX.MG7AA.006,7.1 pounds,,,microsoft windows 7 home premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ProBook F2Q43UT 13.3"" LED Intel Core i3-4010U 1.70 GHz 4GB RAM 320GB HDD Win 7 Pro 64-bit Notebook : Computer Accessories : Computers & Accessories",,,HP,,,DDR3 SDRAM,,320 GB,Serial ATA,,PC,18 x 13.50 x 3 inches,F2Q43UT # ABA,7 pounds,,,Windows 7 Professional,Brand New with Manufacturer Warranty,1.70 GHz Intel Core i3,Intel,1.0,4 MB DDR3 SDRAM,,13.30 inches,SMART BUY PROBOOK 430 G1 I3-4010U 1.7G 4GB 320GB 13.3IN WL,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo G505 15.6-Inch Laptop (Black) : Laptop Computers : Computers & Accessories,5 hours,1 AAAA batteries required . ( included ),Lenovo,,Black,DDR3 SDRAM,ATI RADEON 8210,320 GB mechanical_hard_drive,,5400 RPM,PC,14.80 x 9.84 x 1.34 inches,59371430,5.7 pounds,1366x768,2.0,Windows 8,DVDRW,1 GHz AMD E Series,AMD,2.0,4 GB DDR3,1366 x 768,15.6 inches,G505,802.11bgn,1.0,,1600 MHz,1.0,,,,See all Used offers .,,,,( restrictions apply ),,,,,,,,,,
"Amazon.com : Acer C720-3871 11.6-Inch Chromebook (Intel Core i3, 2 GB) Granite Gray : Computers & Accessories",8.5 hours,1 Lithium ion batteries required . ( included ),Acer,,Granite Gray,DDR3 SDRAM,Intel HD Graphics 4400,32 GB flash_memory_solid_state,Solid State,,PC,11.34 x 8.03 x 0.75 inches,C720-3871,2.8 pounds,1366x768,1.0,Chrome,,1.7 GHz Core i3-4005U,Intel Core i3,1.0,2 GB DDR3L SDRAM,,11.6 inches,C720,802.11bgn,,,,1.0,,,,,,,,,,,,32,,,,,,
Amazon.com : Lenovo IdeaPad U310 13.3-Inch Touchscreen Ultrabook (Graphite Gray) : Laptop Computers : Computers & Accessories,3 hours,1 Lithium ion batteries required . ( included ),Lenovo,,Graphite Gray,DDR3 SDRAM,Integrated Intel HD Graphics,500 GB flash_memory_solid_state,Solid State,5400 RPM,PC,13.10 x 8.90 x 0.71 inches,59366627,3.7 pounds,1366x768,2.0,Windows 8,No,1.8 GHz Core i3 3227U,intel core I3,1.0,4 GB DDR3,,13.3 inches,IdeaPad,802.11bgn,,,,1.0,,,,,,,,,,,,24,,,,,,
Amazon.com : Lenovo Flex 2 15D 15.6-Inch Touchscreen Laptop (59418242) Black : Computers & Accessories,4 hours,1 Nonstandard Battery batteries required . ( included ),Lenovo,,Black,,,1000 GB mechanical_hard_drive,,5400 RPM,,10.87 x 1.06 x 15.04 inches,59418242,5.5 pounds,1366x768,1.0,Windows 8.1,DVDRW,2 GHz A-Series Quad-Core A8,AMD A8,1.0,8 GB DDR3,,15.6 inches,Lenovo,802.11bgn,,,,2.0,,,,,,,,,,,,,,,,,,
Amazon.com : ASUS U30JC-A1 13.3-Inch Laptop (Silver) : Notebook Computers : Computers & Accessories,9.5 hours,,Asus,NVIDIA,Silver,DDR3 SDRAM,GeForce,320 GB SSD,Raid,5400 RPM,PC,13.12 x 9.52 x 1.20 inches,U30JC-A1,4.8 pounds,1336 x 768 pixels,,Windows 7 Home Premium,DVD Super Multi,2.26 GHz Intel Core i3,Intel,1.0,4 GB DDR3,1366 x 768,13.3 inches,G series,,,lithium_ion,,3.0,,,,,,,512 MB,,,,GeForce 310M,,,,,,,
Amazon.com : Lenovo B590 Windows 7 i3 15.6-Inch Laptop (Black) 59410451 : Computers & Accessories,5 hours,1 Lithium ion batteries required . ( included ),Lenovo,,Black,DDR3 SDRAM,Integrated,500 GB mechanical_hard_drive,,5400 RPM,PC,14.88 x 1.32 x 9.92 inches,59410451,5.5 pounds,1366x768,2.0,Windows 7 Home Premium 64-bit,DVDRW,2.4 GHz Core i3-3110M,Intel Core i3,1.0,4 GB DDR3,1366 x 768,15.6 inches,IdeaPad,802.11bgn,,Lithium Polymer ( LiPo ),1600 MHz,2.0,,B00HEYVANG,"# 6,091 in Computers & Accessories ( See top 100 )",,4.1 out of 5 stars See all reviews 47 reviews 4.1 out of 5 stars,"January 21 , 2014",,,This item is also available for shipping to select countries outside the U.S .,7.2 pounds ( View shipping rates and policies ),,,,,,,,
"Amazon.com : 15 6"" i3 4005U 4GB 750GB Win8 : Computers & Accessories",,,,,,,,750 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo ThinkPad Edge E545 20B2001CUS 15.6"" Laptop (2.9GHz AMD A6-5350M Processor, 4GB RAM, 320GB Hard Drive, DVD-Writer, Windows 7 Home Premium 64-bit) Matte Black : Computers & Accessories",6.2 hours,1 Lithium ion batteries required . ( included ),Lenovo,,Matte Black,DDR3 SDRAM,,320 GB mechanical_hard_drive,Serial ATA-300,,PC,9.70 x 14.80 x 1.40 inches,20B2001CUS,5.2 pounds,1366 x 768,3.0,Windows 7 Home Premium,,2.90 GHz AMD A Series,AMD A6,1.0,4 MB SO-DIMM DDR3,1366 x 768,15.60 inches,Lenovo ThinkPad Edge E545,802.11bgn,1.0,,,1.0,,,,,,,,,,,,,,,,,,
"Amazon.com : ICI 17"" Panel PC Touch Screen Computer Intel® i3/2GB/500GB/Dual LAN/DVD-RW/Win7 32-bit : Laptop Computers : Computers & Accessories",,,Industrial Computers Inc .,,,DDR3 SDRAM,,500 GB,,,PC,,17PPCX10SLV-Q,,,,Windows 7 Professional,,Intel Core i3,,,2 GB,,17 inches,17PPCX10SLV-Q,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : X501A-RH31 15.6"" LED Notebook - Intel Core i3 i3-2350M 2.30 GHz : Laptop Computers : Computers & Accessories",,,Asus,,,SODIMM,,320 GB mechanical_hard_drive,Serial ATA,,PC,16.60 x 3.40 x 11.60 inches,X501A-RH31,7 pounds,1366 x 768,1.0,Windows 8,,2.30 GHz Intel Core i3,Intel Core i3,2.0,4 MB SDRAM DDR3,1366 x 768,15.60 inches,X501A,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron 15R i15RN5110-7223DBK 15.6-Inch Laptop (Intel Core i3-2310M 2.1Ghz, 6GB DDR3 Memory, 640GB Hard drive, Wifi-N, BlueTooth, USB 3.0, Windows 7 Home Premium) Diamond Black : Notebook Computers : Computers & Accessories",,,Inspiron,Intel,Diamond Black,DDR3 SDRAM,Intel® HD Graphics 3000,640 GB mechanical_hard_drive,,5400 RPM,PC,10.31 x 14.80 x 1.25 inches,i15RN5110-7223DBK,5.8 pounds,1366x768,1.0,Windows 7 Home Premium,Dual layer DVD Burner,2.4 GHz Intel Core i3,intel core I3,1.0,4 GB DDR3,,15.6 inches,Inspiron,802.11bgn,,lithium_ion,,,,,,,,,,,,,HD Graphics 3000,,,,,,,
"Amazon.com : MSI GS70 STEALTH PRO-212 Core i7, 16GB, 17.3"" FHD (1920X1080), Super RAID 2, GTX 870M Gaming Notebook : Computers & Accessories",,1 Lithium ion batteries required .,MSI,,Aluminum Gray,,NVIDIA GeForce GTX870M,1000 GB flash_memory_solid_state,Serial ATA-600,7200 RPM,PC,21.65 x 12.75 x 2.64 inches,GS70 Stealth Pro-212,5.9 pounds,1920x1080,4.0,Windows 8.1,,2.5 GHz Intel Core i7,Intel,1.0,16 GB DDR3,,17.3 inches,Notebook,802.11bgn,2.0,,,,,B00JSA1MMI,"# 3,513 in Computers & Accessories ( See top 100 )",See all Used offers .,3.8 out of 5 stars See all reviews 17 reviews 3.8 out of 5 stars,"April 17 , 2014",6000 MB,( restrictions apply ),This item is also available for shipping to select countries outside the U.S .,13.6 pounds ( View shipping rates and policies ),,384,,,,,,
"Amazon.com : DELL Inspiron 17 5000 17-5748 17.3"" LED (TrueLife) Notebook - Intel Core i3 i3-4030U 1.90 GHz - Silver / i5748-2143sLV / : Computers & Accessories",,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,17.3 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP Pavilion 17-e117dx 17.3-Inch Notebook (2.6 GHz Intel Core i3-3130M Processor, 4GB DDR3L, 750GB HDD, Windows 8) : Computers & Accessories",,,HP,,,DDR3 SDRAM,,750 GB,,,,10.50 x 16.50 x 1.30 inches,17-e117dx,6.4 pounds,,,Windows 8,,,,,4 GB SDRAM DDR3,1600 x 900,17.3 inches,17-e117dx,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS Flip 15.6-Inch 2 in 1 Convertible Touchscreen Laptop (Core i5, 1TB HDD, 8GB RAM) : Computers & Accessories",,1 Lithium ion batteries required . ( included ),Asus,,,,Intel UMA,1000 GB,,5400 RPM,,10.20 x 15 x 0.90 inches,TP500LA-AB53T,5 pounds,1920x1080,1.0,Windows 8.1,,1.7 GHz Intel Core i5,Intel Core I5,,8 GB DDR3L SDRAM,,15.6 inches,Flip,802.11bgn,,,,2.0,,,,,,,,,,,,,,,,,,
Amazon.com : Toshiba Satellite L505-GS5037 TruBrite 15.6-Inch Laptop (Black) : Laptop Computers : Computers & Accessories,,,Toshiba,Intel,Black,DDR3 SDRAM,Intel Graphics Media Accelerator,500 GB mechanical_hard_drive,,5400 RPM,,10.20 x 15.10 x 1.55 inches,PSLU6U-00G001,6 pounds,1366x768,,Windows 7 Home Premium,DVD Super Multi DL,2.13 GHz Intel Core i3,intel core I3,,4 GB DDR3-SDRAM,1366 x 768,15.6 inches,Satellite,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),1066 MHz,2.0,,,,,,,1696 MB,,,,,,,,,,,
"Amazon.com : 15.6"" I3 3217u 4gb 500gb Win8 : Computers & Accessories",,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Acer Aspire E1-572-34014G50Mnrr 15.6 LED Notebook Intel Core i3-4010U 1.70 GHz 4GB DDR3 500GB HDD DVD-Writer Intel HD Graphics 4400 Windows 7 Home Premium 64-bit Red : Computers & Accessories,,,Acer,,,,,,,,,15 x 10.10 x 0.50 inches,NX.MHFAA.002,13 pounds,,,microsoft windows 7 home premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : MSI GE70 Apache Pro-012 17.3-Inch Laptop : Computers & Accessories,,1 Lithium ion batteries required .,MSI,,Alumium Black,DDR3 SDRAM,NVIDIA Geforce GTX860M,1024 GB,Serial ATA-600,7200 RPM,PC,16.46 x 10.61 x 1.54 inches,GE70 Apache Pro-012 ; 9S7-175912-012,6 pounds,1920x1080,2.0,Windows 8.1,DVD Super Multi,3.2 GHz Core i7-4700HQ,Intel,4.0,12 GB DDR3L SDRAM,1920 x 1080,17.3 inches,GE70,802.11bgn,1.0,,1600 MHz,2.0,,B00IMTQ5I2,# 505 in Computers & Accessories ( See top 100 ) # 93 in Computers & Accessories > Notebooks,,4.4 out of 5 stars See all reviews 90 reviews 4.4 out of 5 stars,"March 13 , 2014",2000 MB,,This item is also available for shipping to select countries outside the U.S .,11.7 pounds ( View shipping rates and policies ),,,,,,,,
Amazon.com : Dell XPS 12.5-Inch 2 in 1 Convertible Touchscreen Ultrabook (XPSU12-8670CRBFB) : Computers & Accessories,6 hours,1 Lithium ion batteries required . ( included ),Dell,,Carbon Fiber,DDR3 SDRAM,Intel HD Graphics 4400,256 MB flash_memory_solid_state,Solid State,,PC,12.50 x 8.50 x 0.80 inches,XPSU12-8670CRBFB,6.5 pounds,1920x1080,2.0,Windows 8.1,No,1.8 GHz Intel Core i7-4500U,Intel Core I7,1.0,8 GB DDR3L SDRAM,1920 x 1080,12.5 inches,XPS,802.11 A/C,,Lithium-Ion ( Li-Ion ),1600 MHz,,,,,See all Used offers .,,,,( restrictions apply ),,,,256,1 MP,,,,,
"Amazon.com : Lenovo Thinkpad T440p, Intel Core i3-4000M (2.40GHz, 3MB Cache, 1600MHz), 1x4GB DDR3-1600 (+ 1 free slot), 500GB/7200rpm : Computers & Accessories",,6 Lithium ion batteries required . ( included ),Lenovo,,,DDR3 SDRAM,,,,,,39.37 x 39.37 x 39.37 inches,20AN0074UK,4.7 pounds,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ACER Acer TravelMate P255-M-6426 - Core i3 4010U / 1.7 GHz - Windows 7 Pro 64-bit / 8 Pro 64-bit - pre-installed: Windows 7 - 4 GB RAM - 500 GB HDD - DVD-Writer - 15.6"" wide 1366 x 768 / HD - Intel HD Graphics 4400 - gray / NX.V8WAA.001 / : Computers & Accessories",,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : VOSTRO V3500 I3-350M 2.26G 3GB SYST250GB DVDRW WL W7P 1YR NBD : Notebook Computers : Computers & Accessories,,,Dell,,,,,,,,,,v3500,8.6 pounds,,,"Windows 7 Professional , Windows 7",,,,,,,,Vostro 3500,,,,,,,,,,,,,,,,,,,,,,,
