<page title>,category,manufacturer,options,product
"Miniprice.ca - Lenovo ThinkPad T540p 20BF002JUS 15.6"" LED Notebook - Intel Core i5 i5-4300M 2.60 GHz - Black - 4 GB RAM - 256 GB SSD - DVD-Writer - NVIDIA, Intel GeForce GT 730M, HD 4600 - Windows 8 Pro 64-bit - 136 (20BF002JUS)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),"Lenovo ThinkPad T540p 20BF002JUS 15.6 '' LED Notebook - Intel Core i5 i5-4300M 2.60 GHz - Black - 4 GB RAM - 256 GB SSD - DVD-Writer - NVIDIA , Intel GeForce GT 730M , HD 4600 - Windows 8 Pro 64-bit - 136"
"Miniprice.ca - Lenovo ThinkPad L440 20AS002YUS 14"" LED Notebook - Intel Core i5 i5-4330M 2.80 GHz - 4 GB RAM - 128 GB SSD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1366 x 768 Display - Bluetooth (20AS002YUS)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad L440 20AS002YUS 14 '' LED Notebook - Intel Core i5 i5-4330M 2.80 GHz - 4 GB RAM - 128 GB SSD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1366 x 768 Display - Bluetooth
"Miniprice.ca - Lenovo ThinkPad X1 Carbon 20A7003DUS 14"" Touchscreen LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i5 i5-4300U 1.90 GHz - Black - 4 GB RAM - 180 GB SSD - Intel HD 4400 - Windows 8.1 (20A7003DUS)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X1 Carbon 20A7003DUS 14 '' Touchscreen LED ( In-plane Switching ( IPS ) Technology ) Ultrabook - Intel Core i5 i5-4300U 1.90 GHz - Black - 4 GB RAM - 180 GB SSD - Intel HD 4400 - Windows 8.1
"Miniprice.ca - Lenovo ThinkPad T440 20B6008HUS 14"" LED Ultrabook - Intel Core i5 i5-4300U 1.90 GHz - Black - 4 GB RAM - 500 GB HDD - Intel HD Graphics 4400 - Windows 7 Professional 64-bit - 1600 x 900 Display - Blue (20B6008HUS)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad T440 20B6008HUS 14 '' LED Ultrabook - Intel Core i5 i5-4300U 1.90 GHz - Black - 4 GB RAM - 500 GB HDD - Intel HD Graphics 4400 - Windows 7 Professional 64-bit - 1600 x 900 Display - Blue
"Miniprice.ca - Lenovo ThinkPad W540 20BG0021US 15.6"" LED Notebook - Intel Core i7 i7-4800MQ 2.70 GHz - 8 GB RAM - 240 GB SSD - DVD-Writer - NVIDIA, Intel Quadro K2100M, HD Graphics 4600 - Windows 7 Professional 64-b (20BG0021US)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),"Lenovo ThinkPad W540 20BG0021US 15.6 '' LED Notebook - Intel Core i7 i7-4800MQ 2.70 GHz - 8 GB RAM - 240 GB SSD - DVD-Writer - NVIDIA , Intel Quadro K2100M , HD Graphics 4600 - Windows 7 Professional 64-b"
"Miniprice.ca - Lenovo ThinkPad X240 20AM006AUS 12.5"" LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 8 GB RAM - 256 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro 64-bit - 13 (20AM006AUS)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X240 20AM006AUS 12.5 '' LED ( In-plane Switching ( IPS ) Technology ) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 8 GB RAM - 256 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro 64-bit - 13
"Miniprice.ca - Lenovo ThinkPad X240 20AM0063US 12.5"" LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 4 GB RAM - 256 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro 64-bit - 13 (20AM0063US)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X240 20AM0063US 12.5 '' LED ( In-plane Switching ( IPS ) Technology ) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 4 GB RAM - 256 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro 64-bit - 13
"Miniprice.ca - Lenovo ThinkPad X240 20AM0011US 12.5"" Touchscreen LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 4 GB RAM - 128 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro (20AM0011US)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X240 20AM0011US 12.5 '' Touchscreen LED ( In-plane Switching ( IPS ) Technology ) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 4 GB RAM - 128 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro
"Miniprice.ca - Lenovo ThinkPad T540p 20BF005UUS 15.6"" LED Notebook - Intel Core i5 i5-4300M 2.60 GHz - Black - 4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD Graphics 4600 - Windows 7 Professional 64-bit - 1366 x 768 (20BF005UUS)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad T540p 20BF005UUS 15.6 '' LED Notebook - Intel Core i5 i5-4300M 2.60 GHz - Black - 4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD Graphics 4600 - Windows 7 Professional 64-bit - 1366 x 768
"Miniprice.ca - Lenovo ThinkPad X240 20AM0069US 12.5"" Touchscreen LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 4 GB RAM - 256 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro (20AM0069US)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X240 20AM0069US 12.5 '' Touchscreen LED ( In-plane Switching ( IPS ) Technology ) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 4 GB RAM - 256 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro
"Miniprice.ca - Lenovo ThinkPad T420s 417174F 14.0"" LED Notebook - Core i5 i5-2520M 2.5GHz - Black - 1600 x 900 WSXGA Display - 4 GB RAM - 160 GB SSD - DVD-Writer - Intel HD 3000 Graphics Card - Bluetooth - Webcam (417174F)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad T420s 417174F 14.0 '' LED Notebook - Core i5 i5-2520M 2.5GHz - Black - 1600 x 900 WSXGA Display - 4 GB RAM - 160 GB SSD - DVD-Writer - Intel HD 3000 Graphics Card - Bluetooth - Webcam
"Miniprice.ca - Lenovo ThinkPad L440 20AS002JUS 14"" LED Notebook - Intel Core i7 i7-4702MQ 2.20 GHz - 8 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1366 x 768 Display - Bluetoot (20AS002JUS)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad L440 20AS002JUS 14 '' LED Notebook - Intel Core i7 i7-4702MQ 2.20 GHz - 8 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1366 x 768 Display - Bluetoot
"Miniprice.ca - Lenovo ThinkPad Yoga 11e 20D9000GUS Tablet PC - 11.6"" - Wireless LAN - Intel Celeron N2920 1.86 GHz - Black - 4 GB RAM - 500 GB HDD - Windows 8.1 Pro 64-bit - Convertible - 1366 x 768 (LED Backlight) (20D9000GUS)",Computer - Laptop computers - Tablet PC,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad Yoga 11e 20D9000GUS Tablet PC - 11.6 '' - Wireless LAN - Intel Celeron N2920 1.86 GHz - Black - 4 GB RAM - 500 GB HDD - Windows 8.1 Pro 64-bit - Convertible - 1366 x 768 ( LED Backlight )
"Miniprice.ca - Lenovo ThinkPad S1 Yoga 20C0004HUS Ultrabook/Tablet - 12.5"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Core i7 i7-4600U 2.10 GHz - 8 GB RAM - 256 GB SSD - Windows 8 Pro 64-bit - Conv (20C0004HUS)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad S1 Yoga 20C0004HUS Ultrabook/Tablet - 12.5 '' - In-plane Switching ( IPS ) Technology - Wireless LAN - Intel Core i7 i7-4600U 2.10 GHz - 8 GB RAM - 256 GB SSD - Windows 8 Pro 64-bit - Conv
"Miniprice.ca - Lenovo ThinkPad L440 20AS002XUS 14"" LED Notebook - Intel Core i5 i5-4330M 2.80 GHz - 4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1366 x 768 Display - Bluetooth (20AS002XUS)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad L440 20AS002XUS 14 '' LED Notebook - Intel Core i5 i5-4330M 2.80 GHz - 4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1366 x 768 Display - Bluetooth
"Miniprice.ca - Lenovo ThinkPad T540p 20BE007YUS 15.6"" LED Notebook - Intel Core i7 i7-4600M 2.90 GHz - Black - 8 GB RAM - 256 GB SSD - DVD-Writer - NVIDIA, Intel GeForce GT 730M, HD 4600 - Windows 7 Professional 64 (20BE007YUS)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),"Lenovo ThinkPad T540p 20BE007YUS 15.6 '' LED Notebook - Intel Core i7 i7-4600M 2.90 GHz - Black - 8 GB RAM - 256 GB SSD - DVD-Writer - NVIDIA , Intel GeForce GT 730M , HD 4600 - Windows 7 Professional 64"
"Miniprice.ca - Lenovo ThinkPad X1 Carbon 20A8002UUS 14"" LED Ultrabook - Intel Core i5 i5-4300U 1.90 GHz - Black - 4 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 8.1 Pro 64-bit - 1600 x 900 Display - Bluetooth (20A8002UUS)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X1 Carbon 20A8002UUS 14 '' LED Ultrabook - Intel Core i5 i5-4300U 1.90 GHz - Black - 4 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 8.1 Pro 64-bit - 1600 x 900 Display - Bluetooth
"Miniprice.ca - Lenovo ThinkPad T440p 20AW000PUS 14"" LED Notebook - Intel Core i5 i5-4300M 2.60 GHz - Black - 4 GB RAM - 500 GB HDD - NVIDIA, Intel GeForce GT 730M, HD 4600 - Windows 8 Pro 64-bit - 1600 x 900 Display (20AW000PUS)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),"Lenovo ThinkPad T440p 20AW000PUS 14 '' LED Notebook - Intel Core i5 i5-4300M 2.60 GHz - Black - 4 GB RAM - 500 GB HDD - NVIDIA , Intel GeForce GT 730M , HD 4600 - Windows 8 Pro 64-bit - 1600 x 900 Display"
"Miniprice.ca - Lenovo ThinkPad L540 20AU002YUS 15.6"" LED Notebook - Intel Core i7 i7-4600M 2.90 GHz - 8 GB RAM - 500 GB HDD - 16 GB SSD - DVD-Writer - Intel HD Graphics 4600 - Windows 7 Professional 64-bit - 1920 x (20AU002YUS)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad L540 20AU002YUS 15.6 '' LED Notebook - Intel Core i7 i7-4600M 2.90 GHz - 8 GB RAM - 500 GB HDD - 16 GB SSD - DVD-Writer - Intel HD Graphics 4600 - Windows 7 Professional 64-bit - 1920 x
"Miniprice.ca - Lenovo ThinkPad T440p 20AW0009US 14"" LED Notebook - Intel Core i7 i7-4600M 2.90 GHz - Black - 4 GB RAM - 500 GB HDD - NVIDIA, Intel GeForce GT 730M, HD 4600 - Windows 8 Pro 64-bit - 1600 x 900 Display (20AW0009US)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),"Lenovo ThinkPad T440p 20AW0009US 14 '' LED Notebook - Intel Core i7 i7-4600M 2.90 GHz - Black - 4 GB RAM - 500 GB HDD - NVIDIA , Intel GeForce GT 730M , HD 4600 - Windows 8 Pro 64-bit - 1600 x 900 Display"
"Miniprice.ca - Lenovo ThinkPad S1 Yoga 20C0003WUS Ultrabook/Tablet - 12.5"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Core i5 i5-4300U 1.90 GHz - 8 GB RAM - 500 GB HDD - Windows 8 Pro 64-bit - Conv (20C0003WUS)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad S1 Yoga 20C0003WUS Ultrabook/Tablet - 12.5 '' - In-plane Switching ( IPS ) Technology - Wireless LAN - Intel Core i5 i5-4300U 1.90 GHz - 8 GB RAM - 500 GB HDD - Windows 8 Pro 64-bit - Conv
"Miniprice.ca - Lenovo ThinkPad X240 20AL008GUS 12.5"" Touchscreen LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i5 i5-4200U 1.60 GHz - Black - 4 GB RAM - 500 GB HDD - Intel HD 4400 - Windows 8 Pro (20AL008GUS)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X240 20AL008GUS 12.5 '' Touchscreen LED ( In-plane Switching ( IPS ) Technology ) Ultrabook - Intel Core i5 i5-4200U 1.60 GHz - Black - 4 GB RAM - 500 GB HDD - Intel HD 4400 - Windows 8 Pro
"Miniprice.ca - Lenovo ThinkPad X1 Carbon 20A80034US 14"" LED Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - Black - 8 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 8.1 Pro 64-bit - 1600 x 900 Display - Bluetooth (20A80034US)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X1 Carbon 20A80034US 14 '' LED Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - Black - 8 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 8.1 Pro 64-bit - 1600 x 900 Display - Bluetooth
"Miniprice.ca - Lenovo ThinkPad L440 20AS0034US 14"" LED Notebook - Intel Core i7 i7-4600M 2.90 GHz - 8 GB RAM - 256 GB SSD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1600 x 900 Display - Bluetooth (20AS0034US)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad L440 20AS0034US 14 '' LED Notebook - Intel Core i7 i7-4600M 2.90 GHz - 8 GB RAM - 256 GB SSD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1600 x 900 Display - Bluetooth
"Miniprice.ca - Lenovo ThinkPad T540p 20BF0036US 15.6"" LED (In-plane Switching (IPS) Technology) Notebook - Intel Core i7 i7-4600M 2.90 GHz - Black - 4 GB RAM - 256 GB SSD - DVD-Writer - Intel HD 4600 - Windows 8 Pro (20BF0036US)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad T540p 20BF0036US 15.6 '' LED ( In-plane Switching ( IPS ) Technology ) Notebook - Intel Core i7 i7-4600M 2.90 GHz - Black - 4 GB RAM - 256 GB SSD - DVD-Writer - Intel HD 4600 - Windows 8 Pro
"Miniprice.ca - Lenovo ThinkPad Yoga 20C00015US Ultrabook/Tablet - 12.5"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Core i5 i5-4300U 1.90 GHz - 4 GB RAM - 500 GB HDD - Windows 8.1 64-bit - Convertib (20C00015US)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad Yoga 20C00015US Ultrabook/Tablet - 12.5 '' - In-plane Switching ( IPS ) Technology - Wireless LAN - Intel Core i5 i5-4300U 1.90 GHz - 4 GB RAM - 500 GB HDD - Windows 8.1 64-bit - Convertib
"Miniprice.ca - Lenovo ThinkPad Helix 36984SF Ultrabook/Tablet - 11.6"" - Intel - Core i7 i7-3667U 2GHz - 4 GB RAM - 256 GB SSD - Windows 8 Pro 64-bit (French) - Convertible - 1920 x 1080 Multi-touch Screen Display (36984SF)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad Helix 36984SF Ultrabook/Tablet - 11.6 '' - Intel - Core i7 i7-3667U 2GHz - 4 GB RAM - 256 GB SSD - Windows 8 Pro 64-bit ( French ) - Convertible - 1920 x 1080 Multi-touch Screen Display
"Miniprice.ca - Lenovo ThinkPad T440p 20AW0002US 14"" LED Notebook - Intel - Core i5 i5-4300M 2.6GHz - Black - 4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 Graphics - Windows 8 Pro 64-bit - 1600 x 900 Display (20AW0002US)",Computer - Laptop computers - Laptop computers,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad T440p 20AW0002US 14 '' LED Notebook - Intel - Core i5 i5-4300M 2.6GHz - Black - 4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 Graphics - Windows 8 Pro 64-bit - 1600 x 900 Display
"Miniprice.ca - Lenovo ThinkPad Yoga 20C0004AUS Ultrabook/Tablet - 12.5"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Core i5 i5-4300U 1.90 GHz - Black - 8 GB RAM - 500 GB HDD - Windows 8.1 Pro 64-bit (20C0004AUS)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad Yoga 20C0004AUS Ultrabook/Tablet - 12.5 '' - In-plane Switching ( IPS ) Technology - Wireless LAN - Intel Core i5 i5-4300U 1.90 GHz - Black - 8 GB RAM - 500 GB HDD - Windows 8.1 Pro 64-bit
"Miniprice.ca - Lenovo ThinkPad X240 20AM0062US 12.5"" LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 4 GB RAM - 256 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro 64-bit - 13 (20AM0062US)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad X240 20AM0062US 12.5 '' LED ( In-plane Switching ( IPS ) Technology ) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - 4 GB RAM - 256 GB SSD - Intel HD Graphics 4400 - Windows 8 Pro 64-bit - 13
"Miniprice.ca - Lenovo ThinkPad 20AR005AUS 14"" Touchscreen LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i5 i5-4300U 1.90 GHz - Black - 4 GB RAM - 500 GB HDD - 16 GB SSD - Intel HD 4400 Graphics (20AR005AUS)",Computer - Laptop computers - Ultrabooks,Lenovo,Add to your price watch See price history Submit an error on this page Read reviews ( 0 ),Lenovo ThinkPad 20AR005AUS 14 '' Touchscreen LED ( In-plane Switching ( IPS ) Technology ) Ultrabook - Intel Core i5 i5-4300U 1.90 GHz - Black - 4 GB RAM - 500 GB HDD - 16 GB SSD - Intel HD 4400 Graphics
