<page title>,bluetooth,cameras included,condition,cpu,dimensions l x w x h,display,displayports,front camera,headphones jack,memory type,micro sd card reader,operating system,platform,screen size,storage capacity,stylus included,usb 30 ports,weight,audio chipset,battery type,capacity,color,communications description,depth,display type,drive types,gpuvpu,hddssd drives included,hdmi ports,height,integrated webcam,interface type,keyboard type,lan ports,maximum memory supported,maximum resolution,media types,memory slots total free,mouse type,operating systems,optical drive,optional operating systems,processor brand,processor class,processor number,processor speed,processor type,protocols,specification notes,supplemental drive capacity,total memory size,touch screen,usb ports powered included in total,vga ports,width,â,audio description,data transfer rate,dell,firewire ports,lifestyle,limited warranty,memory slots total,port replicatorconnector,usb ports total,audio out jacks,graphics,integrated microphone,lenovo,colors,connection type,dvi video,form factor,hard drive types,hard drives included,interface,lan chipset,lan data transfer rate,lan description,lan interface type,memory configuration,motherboard slots total free,optical drive class,orientations allowed,power,processor interface,ram speed,serial communication ports,speed,startup operating system,hard drive speed,supplemental drive type,video memory,line in jacks,optical drive type,processors onboard,processors supported,wifi description,aspect ratio,back camera,battery run time,display size,memory capacity,micro usb connector,touch screen type,usb 20 ports,microphone jacks,builtin microphone,builtin speaker,power supply type,supplemental media type,webcam features,webcam resolution,wifi chipset,wifi standards supported,memory speed,memory speed mhz,backlit keyboard,hp,channels,audio channels,external bays total free,internal bays total free,compatible raid levels,external 35 drive bays,external 525 drive bays,hard drive interface,internal 35 drive bays,memory slots available,pci express x4 slots total,pci express x8 slots total,processor cache,total storage included,type,battery life,ps2 connectors,modem ports,cpu type,software included,cpu quantity,pci express x16 slots total,pci slots total,storage controller,pci express x1 slots total,memory size
Dell Latitude E6400 Intel Core 2 Duo 4GB Memory 160GB HDD 14.1 Notebook PC Windows 7 Professional 64-bit (Off-Lease) - RB-DELLNB00310018 at TigerDirect.com,,,Off-Lease,,,,,,,DDR2,,,Laptop,14.1 '',,,,4.3 lbs,High Definition Audio,,160GB,,Integrated LAN,9 '',WXGA Display,HDD,,,,2 '',No,RJ-45,,,,1280 x 800,,,Touch Pad,Windows 7 Professional 64-Bit,DVDRW,,Intel,Core 2 Duo,P8400,2.26GHz,Dual-Core,802.11b,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",5-in-1,4GB,No,,,13 '',BluetoothÂ 10/100/1000 Gigabit Ethernet LAN Bluetooth 802.11b/g WLAN Integrated Bluetooth Integrated Wireless LAN 802.11g,Integrated Audio,54 Mbps,,,Business,,2.0,,,,Integrated Graphics,,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,Media Reader,,,,,,,,,,,,,,,,,,,,,,,,PC2-6400,800MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 15 5000 Notebook PC - Intel Core i7-4510U 2.00GHz, 16GB DDR3 Memory, 1TB HDD, Full HD 1920 X 1080 15.6 Touchscreen, Windows 8.1 64-bit - I5547-12500SLV at TigerDirect.com",,,New,,,,,,,DDR3,,,Laptop,15.6 '',,,,5.70 lbs,High Definition Audio,3-Cell Lithium-ion,1TB,Silver,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",10 '',Active Matrix TFT Color LCD,HDD,Intel HD Graphics 4400,,1,0.9 '',Yes,,US English,1,,1920 x 1080,,,Integrated Touchpad,Windows 8.1 64-Bit,None,,Intel,Core i7,i7-4510U,2.00GHz,Dual-Core,,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",4-in-1,16GB,Yes,,,14.9 '',,Integrated Audio,"10/100 Fast Ethernet , Wi-Fi IEEE 802.11 a/b/g/n.ac , Bluetooth 4.0",,,Home & Student,,,,"2 - USB 3.0 , 1 - USB 2.0",1 - Headphone/Microphone Combo Jack,Integrated Graphics,Yes,,,,,,,,,,,,,,,,,,,PC3-12800 1600MHz,,,,5400 RPM,Media Reader,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP ProDesk 400 G1 Desktop PC - Intel Core i3-4330 3.50GHz, 8GB Memory, 1TB HDD, DVDRW, 1GB AMD Radeon HD 8350, Windows 7/8.1 Pro 64-bit - G5R04UT#ABA 3-Year Warranty at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,,,1TB,,,15.82 '',Monitor Not Included,,AMD Radeon HD 8350,,,14.05 '',,,,,,,,,,Windows 7 Professional 64-Bit,,Windows 8.1 Pro 64-Bit,Intel,Core i3,i3-4330,3.50GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,8GB,,,,7.2 '',Windows 8.1 Pro 64-Bit,Integrated Audio,,,,Business,"HPR-102350817 TigerDirect.com Warranty Information 7795 W. Flagler St. Suite 35 Miami , FL . 33144",,,,,Dedicated Graphics,,,Black,USB Mouse USB Keyboard,,Minitower,HDD,1,,,,,,1 x 8GB,,DVD±RW,Vertical,,,PC3-12800 1600MHz,,"7,200RPM",Windows 7 Professional 64-Bit,,,1GB,,,,,,,,,,,,,,,,,,,,,,,,,,HP 36 months parts ; 36 months labor G5R04UT # ABA 888182957585 23.0000 pound ( s ) 24pounds What is Dimensional weight ? Click here for full warranty and support information logos are registered trademarks of HP . All others trademarks and copyrights mentioned herein are the property of their respective owners .,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo H500s Desktop PC - Intel Celeron J1800 2.41GHz, 4GB DDR3 Memory, 500GB HDD, DVDRW, Windows 8.1 64-bit - 57327931 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,High Definition Audio,,500GB,,,15.16 '',Monitor Not Included,,Intel HD Graphics,,,12.01 '',,,,1,,,,,,Windows 8.1 64-Bit,,,Intel,Celeron,J1800,2.41GHz,,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",7-in-1,4GB,,,1,4.13 '',,Integrated Audio,,,,Home & Student,,,,"1 - USB 3.0 , 4 - USB 2.0",Yes,Integrated Graphics,,,Black / Gray,,,Small Form Factor ( SFF ),HDD,1,,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,,DVD±RW,Vertical / Horizontal,,FCBGA1170,PC3-12800 1600MHz,,,,,,,,,,,Wireless LAN 802.11 b/g/n,,,,,,,,,Yes,,,,Media Reader,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Transformer Book T200TA 4GB Memory 64GB SSD 11.6 2-in-One Notebook Windows 8.1 64-bit - T200TA-C1-BL at TigerDirect.com,,,New,,,,,,,DDR3L,,,2-in-One,11.6 '',,,,,,,64GB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",,IPS HD Multi-Touch Screen,SSD,IntelÂ® HD Graphics,1x 64GB,1 - micro,,Yes,"RJ-45 Ethernet Connector , IEEE 802.11 a/b/g/n , Bluetooth 4.0",Standard Size,1 - RJ-45,,1366 x 768,,,Integrated Touchpad,Windows 8.1 64-Bit,None,,Intel,Atom,Z3795,1.59GHZ,Quad-Core,"IEEE 802.11a/b/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,Yes,,,,,Integrated Audio,,,,,,,,"1x USB 3.0 , 1x USB 2.0",1 - Combo Headphone/Microphone Jack,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in Stereo Speakers,,,,,,,,,,,,,,,,,,,,,,,,
"DELL Inspiron One 2020 All-In-One PC - Intel Pentium G2030T 2.60GHz, 4GB Memory, 1TB HDD, DVDRW, 20 Touchscreen, Windows 8.1 64-bit - IO2020T-5002BK at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,20 '',,,,,High Definition Audio,,1TB,,,2.49 '' - 2.58 '',Widescreen HD LED Backlit Multi-Touch Display,,Intel HD Graphics 2000,,,12.72 '',,,Included,1,8GB,1600 x 900,,,Included,Windows 8.1 64-Bit,,,Intel,Pentium,G2030T,2.60GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",8-in-1,4GB,Yes,,,,802.11n Bluetooth 4.0 3 - USB 2.0 802.11g,Integrated Audio,,,,All-In-One,,,,2 - USB 2.0,1 - Headphone/Microphone Jack Combo,Integrated Graphics,,,Black,,,All-In-One,Hard Disk Drive,1,SATA 3.0Gb/s,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,,DVD±RW,Vertical,,,PC3-12800 1600MHz,,"7,200RPM",,,,,,,,,Wireless LAN 802.11 b/g/n,,,,,,,,,,,,,Media Reader,,,Dell Wireless-N 1703 + Bluetooth 4.0,802.11b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer C720-2827 Intel Celeron 2GB Memory 16GB SSD 11.6 Chromebook Google Chrome OS (Refurbished) - NX.SHEAA.011-R at TigerDirect.com,,,Refurbished,,,,,,,DDR3L,,,Chromebook,11.6 '',,,,2.76 lbs,,3-Cell Lithium Polymer,16GB,,"Integrated Wireless LAN , Integrated Bluetooth",8 '',Active Matrix TFT Color LCD,SSD,Intel HD Graphics,1x 16GB,1,0.8 '',Yes,802.11a/b/g/n Wireless Networking,,,,1366 x 768,Secure Digital ( SD ),,Integrated Touchpad,Google Chrome,None,,Intel,Celeron,2955U,1.40GHz,Dual-Core,"IEEE 802.11a/b/g/n , Bluetooth 4.0 + HS","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,2GB,,,,11.3 '',,Integrated Audio,,,,Business,,,,"1 - USB 3.0 , 1 - USB 2.0",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Media Reader,DDR3 SDRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alienware 18.4 Gaming Notebook - Intel Quad-Core i7-4710MQ, 2.50GHz, 8GB DDR3L, 1TB HDD + 80GB SSD, 4GB GeForce GTX 860M, DVDRW, Windows 7 Home Premium, - ALW183006SLV at TigerDirect.com",,,New,,,,1 - Mini-DisplayPort,,,DDR3L,,,,18.4 '',,,,,,,1080GB,Silver,,,WLED FHD,HDD + SSD,NVIDIA Geforce GTX 860M,"1x 1TB HDD , 1x 80GB SSD",1,,,Gigabit LAN,,,32GB,1920 x 1080,,,,Windows 7 Home Premium 64-Bit,DVDRW,Windows 8 64-Bit,Intel,Core i7,4710MQ,2.50GHz,Quad-Core,802.11ac,,,8GB,,,,,Bluetooth 4.0,,,,,Gaming,,,,4,,Dedicated Graphics,,,,,,,,,,,,,,,,,,,,PC3-12800 1600MHz,,,Windows 7 Home Premium 64-Bit,7200 RPM,,Up to 4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire AXC-115-UR20 Desktop Computer - AMD E2-6110 quad-core processor, 1.5GHz, 4GB DDR3, 500GB HDD, Windows 8.1 - 64-bit, Gigabit LAN,  HDMIÂ®, USB 3.0 - DT.SVPAA.001 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,High Definition Audio,,500GB,,,14.55 '',Monitor Not Included,,AMD Radeon R2 Graphics,,1,10.49 '',,,,1,16GB,,Secure Digital ( SD ),2 Slots Total / 1 Free,,Windows 8.1 64-Bit,,,AMD,E Series,E2-6110,1.50GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,4GB,,,1,3.94 '',,Integrated Audio,,,,Home & Student,,,,"6 - USB 2.0 , 2 - USB 3.0",Yes,Integrated Graphics,,,Black,USB Mouse USB Keyboard,,Small Form Factor ( SFF ),HDD,1,SATA,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,1 x 4GB,"1 - PCI Express X1 , 1 - PCI Express X16 Slots",DVD±RW,Vertical,220 Watt,,,,"7,200RPM",,,,,,,,,,,,,,,,,,Yes,,,,Media Reader,,,,,,,,,5.1,,1 - 5.25 '' Bay,1 - 3.5 '' Bay,,,,,,,,,,,,,,,,,,,,,,
"CybertronPC TSVCIA441 Caliber Tower Server - Intel Xeon E3-1220 3.10GHz, 8GB DDR3, 2x 500GB HDD, RAID 1, 2x Gigabit LAN, DVDRW, No OS at TigerDirect.com",,,New,,,,,,,DDR3,,,,,,,,,,,,,,18.31 '',,,,,,16.93 '',,,,2,32GB,,,,,No OS,,,Intel,Xeon,E3-1220,3.10GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,8GB,,,1,7.88 '',IntelÂ® 82579LM 1x USB 2.0 Internal Type A,,,,,,,4.0,,4x USB 2.0,,Integrated,,,,,,,,2 in RAID 1 configuration,,IntelÂ® 82574L,10/100/1000Mbps,Dual Integrated Gigabit LAN,RJ-45,,,,,400 Watt,Socket 1155,,2.0,,,7200RPM,,,,DVDÂ±RW,,,,,,,,,,,,,,,,,,,,,1333MHz PC3-10600,1333MHz,,,,,,,"0 , 1 , 5 , 10",1,4.0,SATA-II,8.0,2.0,1 ; Physically X8,2.0,8MB,1TB,Tower,,,,,,,,,,,
ASUS TP500LA-EB31T Transformer Book Flip Intel Core i3 4030U 1.9GHz 6GB Memory 500GB HDD 15.6 Full HD 1366 x 768 2-In-One Notebook Windows 8.1 64-bit - TP500LA-EB31T at TigerDirect.com,,,New,,,,,,,DDR3L,,,2-in-One,15.6 '',,,,4.62 lbs,MaxxAudio,3-Cell,500GB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",10.1 '',Full HD Display,HDD,IntelÂ® HD Graphics 4400,1x 500GB,1,0.86 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11 b/g/n , Bluetooth",Standard Size,1 - RJ-45,,1366 x 768,Secure Digital ( SD ),,Integrated Touchpad,Windows 8.1 64-Bit,None,,Intel,Core i3,4030U,1.9GHz,Dual-Core,"IEEE 802.11b/g/n , Bluetooth 4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,6GB,Yes,,,14.9 '',,,,,,,,,,"1x USB 3.0 , 2x USB 2.0",,,Yes,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
