<page title>,brand name,color,computer memory type,hard drive,hard drive interface,hardware platform,item dimensions l x w x h,item weight,max screen resolution,operating system,processor,processor brand,processor count,ram,screen size,series,wireless type,item model number,power source,audioout ports,batteries,battery type,flash memory size,graphics coprocessor,memory speed,number of usb 30 ports,optical drive type,screen resolution,asin,best sellers rank,customer reviews,date first available,shipping,shipping weight,average battery life in hours,graphics card ram size,hard drive rotational speed,buy used and save,heres how,voltage,card description,chipset brand,number of usb 20 ports,rear webcam resolution,manufacturer part number,product dimensions,size,number of items
"Amazon.com : MSI GT72 Dominator Pro 010 17.3"" i7 4710HQ 3.4GHz 8GB GTX 880M 32GB RAM Super RAID 3 2048GB SSD + 1TB SSD BDRE Windows 8.1 : Computers & Accessories",MSI,,DDR3 SDRAM,3024 GB,"Solid State , Serial ATA-600",PC,16.85 x 1.88 x 11.57 inches,8.6 pounds,1920 x 1080,Windows 8,Intel Core i7,,,SO-DIMM DDR3,17.3 inches,GT72 Dominator Pro 010,,,,,,,,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,
Amazon.com : Alienware ALW17-8751sLV 17.3-Inch Gaming Laptop : Computers & Accessories,Alienware,"Black , Silver",DDR3 SDRAM,1024 GB flash_memory_solid_state,,,23.03 x 4.76 x 16.22 inches,16 pounds,1920x1080,Windows 7 Home Premium 64-bit,2.5 GHz Intel Core i7,Intel Core I7,,16 GB DDR3L SDRAM,17.3 inches,Alienware,802.11 A/C,ALW17-8751sLV,,1.0,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),80,NVIDIA GeForce GTX 880M,1600 MHz,4.0,DVD Super Multi,1920 x 1080,,,,,,,,4096 MB,5400 RPM,See all Used offers .,( restrictions apply ),14.8 volts,,,,,,,,
Amazon.com : Alienware ALW17 17 i7-4800MQ 2.70GHz 8GB 750GB nVIDIA 4GB 780M FullHD W7 24 Months support : Laptop Computers : Computers & Accessories,Dell,Sliver,DDR3 SDRAM,750 GB mechanical_hard_drive,,PC,17 x 16 x 2 inches,17 pounds,1080P 1920*1080,Windows 7 Home Premium,Intel Core i7,Intel Core I7,,SDRAM DDR3,17 inches,M17X,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba Satellite P50-BBT2G22 15.6"" Full HD (1920x1080) Touchscreen Premium Edition Notebook PC (Intel Core i7-4710HQ Quad Core CPU, 2GB R9 GDDR5 Graphics, Blu-Ray Burner, 16GB DDR3L RAM, Intel Dual Band AC Wireless, 500GB Pro Performance SSD) : Laptop Computers : Computers & Accessories",Toshiba,Brushed Aluminum in Satin Gold,DDR3 SDRAM,480 GB flash_memory_solid_state,Solid State,PC,,,1920 x 1080,Windows 8,Intel Core i7,Intel Core I7,,,15.6 inches,P50T Premium,802.11bgn,P50-BBT2G22,,,,,,,,1.0,,1920 x 1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : TOSHIBA Z30-A-1D6, 13.3"" HD, Ultrabook, Core i7-4600U, 8GB RAM, 256GB SSD, agn, 2Mega Pixel, 1 Year Warranty with Reliab : Computers & Accessories",Toshiba,,DDR3 SDRAM,,,,,2.6 pounds,,,,,2.0,,,,,PT241E-01H06UEN,,,1 Lithium ion batteries required . ( included ),,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : MSI Computer GS60 GHOST GS60 GHOST PRO 3K-046;9S7-16H512-046 15.6-Inch Laptop : Computers & Accessories,MSI,Aluminum Black,DDR3 SDRAM,1024 GB SATA,"Serial ATA , Solid State",PC,15.35 x 0.78 x 10.47 inches,4.2 pounds,2880 x 1620 pixels,Windows 8.1,2.5 GHz Intel Core i7,Intel,4.0,16 GB DDR3L SDRAM,15.6 inches,GS60 GHOST,802.11 A/C,GS60 GHOST PRO 3K-046 ; 9S7-16H512-046,,2.0,1 Lithium ion batteries required .,,128.0,NVIDIA Geforce GTX970M,1600 MHz,3.0,None,2880x1620,,,,,,,,3000 MB,7200 RPM,,,,,,,,,,,
Amazon.com : MSI Computer GT60 DOMINATOR-1065;9S7-16F442-1065 15.6-Inch Laptop : Computers & Accessories,MSI,Aluminum Black,DDR3 SDRAM,1024 GB SATA,Serial ATA-300,PC,15.55 x 2.16 x 10.51 inches,7.7 pounds,1920 x 1080 pixels,Windows 8.1,2.5 GHz Intel Core i7,Intel,4.0,8 GB DDR3L SDRAM,15.6 inches,GT60 DOMINA,Bluetooth,GT60 DOMINATOR-1065 ; 9S7-16F442-1065,,2.0,1 Lithium ion batteries required .,,,NVIDIA GeForce GTX970M,,3.0,DVD SuperMulti,1920x1080,,,,,,,,3000 MB,7200 RPM,,,,NVIDIA Geforce GTX 970M,NVIDIA,1.0,,,,,
"Amazon.com : HP ProBook 430 13.3"" Laptop (1.7 GHz Intel Core i3-4010U Processor, 4 GB RAM, 128 GB Solid State Drive, Windows 7/8 Professional : Laptop Computers : Computers & Accessories",HP,,SODIMM,128 GB flash_memory_solid_state,Serial ATA,PC,18.30 x 3.20 x 13.40 inches,5.6 pounds,,"Windows 7 Professional 64-bit , Windows 8 Pro ( License included )",1.70 GHz Intel Core i3,Intel Core i3,1.0,4 MB DDR3 SDRAM,13.30 inches,F2P80UT,,F2P80UT,,,1 Lithium ion batteries required .,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell XPS 13ULT-7144sLV 13.3-Inch Touchscreen Laptop : Computers & Accessories,Dell,Silver,DDR3 SDRAM,256 GB flash_memory_solid_state,,,15.43 x 11.65 x 5.20 inches,6.4 pounds,1920x1080,Windows 8.1,1.7 GHz Intel Core i7,Intel Core I7,1.0,8 GB DDR3,13.3 inches,XPS,802.11 A/C,XPS13ULT-7144sLV,,,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),256,Intel HD Graphics 4400,1600 MHz,2.0,No,1920 x 1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : MSI GE60 Apache Pro 15.6-Inch Gaming Series Laptop (i7-4700HQ, 2GB GDDR5 GTX 860M, 1920 x 1080 FHD, Multi-Color Backlit Keyboard, 16GB DDR3 RAM, 1TB Performance SSD & 1TB Hybrid Storage) : Computers & Accessories",MSI,Brush Aluminum Black,,,Solid State,PC,,,,Windows 8,,,,,,MSI GE60 Apache Pro,,GE60 Apache Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Alienware 17 17-Inch Full HD Gaming Laptop, 4th Gen Intel Core i7-4710MQ UP to 3.5GHz, 8GB Memory, 256GB SSD + 500GB SATA HDD, 8GB GeForce GTX 880 Graphics, Windows 8.1 : Computers & Accessories",Alienware,Silver Anodized Aluminum,DDR3 SDRAM,,"Serial ATA , Solid State",PC,23.03 x 16.22 x 4.76 inches,16 pounds,,Windows 8,,,,,,Alienware 17,,ALW17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Samsung ATIV Book 9 NP900X3G-S01US 13.3-Inch Laptop (Black) : Computers & Accessories,Samsung,Black,DDR3 SDRAM,256 GB flash_memory_solid_state,,PC,1 x 1 x 1 inches,1 pounds,1920 x 1080 pixels,Windows 7 Professional,1.8 GHz Intel Core i7-4500U,Intel,1.0,8 GB DDR3L SDRAM,13.3 inches,ATIV Book 9,802.11bgn,NP900X3G-S01US,,,1 Lithium ion batteries required . ( included ),Lithium Polymer ( LiPo ),256.0,Intel HD Graphics 4400,1600 MHz,1.0,No optical drive,1920 x 1080,,,,,,,10 hours,,1 RPM,,,,,,1.0,,,,,
"Amazon.com : Latitude E6440 15.6"" LED Core i7 2.1GHz 8GB RAM 500GB SDD DVD-Writer Windows 7 Professional 64-bit : Computers & Accessories",Dell,,,,,,,9.2 pounds,,,,,1.0,,,Dell Latitude E5540 - Core i7 4600U / 2.1 GHz - Windows 7 Pro 64-bit - 8 GB RAM - 500 GB Hybrid Drive - DVD-Writer - 15.6 '' wide 1920 x 1080 / Full HD,,462-3539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Aorus X3 Plus-CF1 14"" i7-4860HQ 16GB 512GB SSD GTX 870M QHD+ 3K Gaming Laptop : Computers & Accessories",Aorus,,DDR3 SDRAM,512 GB,Solid State,PC,12.90 x 10.30 x 0.90 inches,3.9 pounds,,windows 8,2.40 GHz Intel Core i7,Intel,4.0,16 GB,13.90 inches,X3 Plus-CF1,,X3 Plus-CF1,,,,,,NVIDIA Geforce GTX 870M,,,,3200 x 1800,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba Satellite C55-A5300 15.6-Inch Laptop (Intel Celeron Processor 1037U, 4GB RAM, 500GB Hard Drive, Multiformat DVD±RW/CD-RW drive, Windows 8) : Laptop Computers : Computers & Accessories",Toshiba,Satin Black,DDR3 SDRAM,500 GB mechanical_hard_drive,,AMD Athleon,,,,Windows Vista,Intel Celeron,Intel,1.0,0 GB,15.6 inches,Toshiba C55,802.11bgn,HC-OXVQ-D3FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS ROG G75VW-DS72 17.3-Inch Laptop (3.8 GHz Intel Core i7-3840QM Processor, 16GB DDR3, 750GB HDD, 256GB SSD, Windows 7 home premium) : Laptop Computers : Computers & Accessories",Asus,,,750 GB flash_memory_solid_state,,,,20 pounds,,windows_7_home_premium,,Intel Core I7,,16 GB ddr3,17.3 inches,,802.11 a/b/g/n,,,,,,,geforce,,4.0,,1920_x_1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Alienware 17 17-Inch Full HD Gaming Laptop, 4th Gen Intel Core i7-4710MQ UP to 3.5GHz, 32GB Memory, 500GB SATA HDD, 8GB GeForce GTX 880 Graphics, Windows 8.1 : Computers & Accessories",Alienware,Silver Anodized Aluminum,DDR3 SDRAM,,"Serial ATA , Solid State",PC,23.03 x 16.22 x 4.76 inches,16 pounds,,Windows 8,,,,,,Alienware 17,,ALW17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP ENVY - 15t Touch (4th Gen Intel i7-4510U, 4GB NVIDIA GeForce GTX 850M, Full HD 1080p, 16GB RAM, Backlit keyboard, 48WHr Battery, BluRay Writer, AC WLAN Bluetooth) j100 : Computers & Accessories",HP,,DDR3 SDRAM,1 TB,Serial ATA,PC,15.14 x 10.24 x 1.05 inches,5.2 pounds,1920 x 1080,Windows 8,2 GHz Intel Core i7,Intel,4.0,16 GB SO-DIMM DDR3,15.6 inches,Envy - 15t Touch CTO,"Bluetooth , 802.11bgn",Envy - 15t Touch CTO 1080 16G 4G BR,,,,,,4GB NVIDIA GeForce GTX 850M Graphics,,,,1920 x 1080,,,,,,,,,,,,,,NVIDIA,,,,,,
"Amazon.com : Alienware 18 18.4-Inch Gaming Laptop, 4th Gen 2.5 GHz Intel Core i7-4710MQ Processor, 8GB DDR3L, 256GB SSD + 1TB HDD, Blu-ray Burner, Dual AMD Radeon R9 M290X, Windows 8.1 Pro : Computers & Accessories",Alienware,,DDR3 SDRAM,,,PC,24.65 x 5.35 x 16.79 inches,16 pounds,,Windows 8 Pro,,,,,,Alienware 18,,ALW18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : EXTREME GEN5 SIX CORE GAMING PC INTE i7 5820k 3.3Ghz 16Gb DDR4 3TB SSD 500Gb NVIDIA GTX 980 4Gb : Computers & Accessories,Adamant Computers,,DDR3 SDRAM,3 TB,Serial ATA-600,PC,,,,Windows 7 Home Premium,Intel Core i7,Intel,,SDRAM DDR3,,B00O19DV70,802.11bgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Toshiba Satellite P50-ABT3G22 Quad Core Premium Edition Windows 7 PRO Laptop PC with 500GB Pro Performance SSD & 16GB RAM : Computers & Accessories,Toshiba,,DDR3 SDRAM,500 GB,Solid State,PC,,,1920x1080,Windows 7 Professional,2.40 GHz Intel Core i7,Intel,4.0,16 GB,15.60 inches,,,,,,,,,,,,,1920x1080,B00KGVGH1O,"# 37,207 in Computers & Accessories ( See top 100 )",Be the first to review this product,"May 21 , 2014",,,,,,,,,,NVIDIA,,,,,,
Amazon.com : Toshiba Satellite C55-B5287 Core i5-4210U 15.6-Inch Laptop (Windows 7) : Computers & Accessories,Toshiba,black,,500 GB SATA,,,10.20 x 14.96 x 1.05 inches,4.8 pounds,1366x768 pixels,Windows 7 Home Premium 64-bit,1.7 GHz Core i5-4210U,Intel,,4 GB DIMM,15.6 inches,Toshiba Satellite C55-B5287,802.11bgn,PSCLUU-022011,,,1 Lithium ion batteries required . ( included ),,,Mobile Intel HD graphics,,1.0,DVD SuperMulti drive supporting 11 formats,,,,,,,,,,5400 RPM,,,,,,2.0,,,,,
Amazon.com : MSI Computer Corp. GS70 Stealth Pro-210 17.3-Inch Laptop : Computers & Accessories,MSI,Aluminum Gray,,1000 GB SATA,,PC,21.65 x 12.75 x 2.64 inches,5.7 pounds,1920x1080 pixels,Windows 8.1,2.5 GHz Intel Core i7,Intel,1.0,16 GB DDR3L,17.3 inches,Notebook,802.11 A/C,GS70 Stealth Pro-210,,2.0,1 Lithium ion batteries required .,,128,NVIDIA GeForce GTX870M,,4.0,,,B00JSA1P0W,"# 5,429 in Computers & Accessories ( See top 100 )",5.0 out of 5 stars See all reviews 1 review 5.0 out of 5 stars,"April 17 , 2014",This item is also available for shipping to select countries outside the U.S .,13.4 pounds ( View shipping rates and policies ),,6000 MB,7200 RPM,See all Used offers .,( restrictions apply ),,,,,,,,,
Amazon.com : Dell Chromebook 11 11.6-inch : Computers & Accessories,Dell,Black Matte,,0 GB,,,0.46 x 0.28 x 0.04 inches,4.8 pounds,,,0 MHz 8032,,1.0,0 GB,11.6 inches,Chromebook11,802.11bgn,730-8301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Toshiba KIRAbook 13 i7Sm Signature Edition Laptop + Office 365 : Computers & Accessories,Toshiba,,,256 GB,,,12.44 x 8.15 x 0.70 inches,3 pounds,,Windows 8 Pro,Intel Core i7,,,8 GB,13.3 inches,Toshiba KIRAbook 13 i7Sm,,,DC,,,,,,,,,,,,,,,,9 hours,,,,,,,,,,,,,
"Amazon.com : MSI GS60 Ghost Pro 3K 097 15.6"" IPS 3K WQHD+ 2880x1620 512GB Super RAID SSD + 1TB HDD i7 4710MQ 3.5GHz 3GB GTX 870M 16GB RAM Windows 8.1 : Computers & Accessories",MSI,,DDR3 SDRAM,512 GB,"Solid State , Serial ATA-600",PC,16.47 x 11.29 x 0.85 inches,4.4 pounds,2880 x 1620,Windows 8,Intel Core i7,,,SO-DIMM DDR3,15.6 inches,GS60 Ghost Pro 3K,802.11bgn,,,,1 Lithium ion batteries required .,,,,,,,2880x1620,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo ThinkPad Edge E540 20C6008QUS 15.6"" Intel Core i7-4702MQ 2.2 GHz 8GB RAM, 512GB SSD, W7P64 Laptop Computer, 1 Year Warranty : Computers & Accessories",Oemgenuine,Black,DDR3 SDRAM,,Solid State,PC,14.84 x 1.17 x 9.84 inches,5.4 pounds,,Windows 7 Professional,,,,,,ThinkPad Edge E540,,20C6008QUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : MSI GT60 0NE-403US 15.6"" i7 3940XM 3.9GHz NVD GTX 680M 16GB 750GB HDD Bluray Windows 8 : Laptop Computers : Computers & Accessories",,,,750 GB,,,,,,,Intel Core i7,,,16 GB dimm,15.6 inches,,,,,,,,,geforce,,,,1920_x_1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Alienware 17 ALW17-7806sLV 17.3"" LED Notebook - Intel Core i7 i7-4710MQ 2.50 GHz - Silver - 16 GB RAM - 1 TB HDD - 80 GB SSD - DVD-Writer - AMD Radeon R9 M290X - Windows 7 Home Premium 64-bit - 1920 x 1080 Display - Bluetooth - English Keyboard : Computers & Accessories",,,,1 TB,,,,,,,Intel Core i7,,,16 GB,17.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo 3093B36 ThinkPad X201 Tablet 3093 - Convertible - Core i7 640LM / 2.13 GHz - Windows 7 Pro 32-bit - 4 GB RAM - 320 GB HDD - no optical drive - 12.1 inch Outdoor 1280 x 800 - Intel HD Graphics - 3G upgradable - black : Computers & Accessories,,,,320 GB,,,,,,,Intel Core i7,,,4 GB,12.1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP ENVY TouchSmart 17 17t Quad Edition Notebook Laptop PC (i7-4700MQ, 16GB RAM, FULL HD TouchScreen, 2GB NVIDIA GPU, 1TB HYBRID drive, Backlit Keyboard, Bluetooth) : Laptop Computers : Computers & Accessories",HP,,"SDRAM , DDR3 SDRAM",1 TB,,PC,16.38 x 10.80 x 1.21 inches,7 pounds,1920 x 1080,Windows 8,,,,16 GB SO-DIMM DDR3,17.3 inches,Touchsmart Envy 17,"802.11bgn , Bluetooth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo X1 Carbon Thinkpad 14-Inch Ultrabook (20A7002QUS) Black : Computers & Accessories,Lenovo,Black,DDR3 SDRAM,256 MB,Serial ATA-150,PC,8.92 x 13.03 x 0.70 inches,3 pounds,1600x900 pixels,Windows 8.1 64 bit,2.1 GHz Pentium,Intel,1.0,8 GB DDR3,14 inches,Lenovo,802.11 A/C,20A7002QUS,,,1 Lithium ion batteries required . ( included ),Lithium Polymer ( LiPo ),256,,,2.0,None,1600 x 900,B00HV053J0,"# 2,063 in Computers & Accessories ( See top 100 )",2.6 out of 5 stars See all reviews 7 reviews 2.6 out of 5 stars,"February 5 , 2014",This item is also available for shipping to select countries outside the U.S .,5.7 pounds ( View shipping rates and policies ),9 hours,,,,,,,,,8 MP,,,,
"Amazon.com : Alienware 18 18.4"" Overclocked i7 4930MX 4.3GHz NVIDIA SLI 780M 16GB 1600MHz RAM 750GB DVDRW Windows 8 : Laptop Computers : Computers & Accessories",Alienware,,DDR3 SDRAM,750 GB,Serial ATA-600,,17.97 x 2.23 x 12.91 inches,12 pounds,1920 x 1080,Windows 8,Intel Core i7,,,SO-DIMM DDR3,18.4 inches,Alienware 18-HID3,802.11n,Alienware 18-HID3,,,1 Lithium ion batteries required . ( included ),,,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo IdeaPad N20P 11.6-Inch Touchscreen Chromebook (59418460) Silver : Computers & Accessories,Lenovo,Silver,,0 GB,,PC,11.61 x 8.35 x 0.71 inches,2.9 pounds,1366x768 pixels,Chrome OS,2.16 GHz Celeron N2830,Intel,1.0,2 GB DDR3,11.6 inches,Lenovo IdeaPad,802.11 A/C,59418460,,,1 Lithium ion batteries required . ( included ),,16,Integrated,,1.0,None,,,,,,,,8 hours,,,,,,,,1.0,,,,,
"Amazon.com : Lenovo ThinkPad W540 20BG0014US 15.6"" i7-4800MQ 32GB 256GB SSD Quadro K1100M 2GB Full HD Blu-Ray W7P Notebook : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,256 GB flash_memory_solid_state,Solid State,PC,14.83 x 9.77 x 1.16 inches,6 pounds,1920x1080,Windows 7 Professional,2.70 GHz Intel Core i7,Intel,4.0,32 GB,15.60 inches,W540,802.11A,20BG0014US,,1.0,,,,NVIDIA Quadro K1100M,,2.0,BD-ROM,1920x1080,,,,,,,,,,,,,,NVIDIA,2.0,,,,,
Amazon.com : Acer Aspire S7-392-5401 13.3-Inch WQHD Touchscreen Ultrabook (Crystal White) : Computers & Accessories,Acer,Crystal White,,256 GB,,,12.72 x 8.78 x 0.51 inches,2.9 pounds,2560 x 1440 pixels,Windows 8.1,1.7 GHz Core i5-4210U,Intel,,8 GB DDR3L SDRAM,13.3 inches,S7-392,802.11bgn,S7-392-5401,,,1 Lithium ion batteries required . ( included ),,256,Intel HD Graphics 4400,,2.0,,,,,,,,,7.5 hours,128 MB,,,,,,,,,,,,
"Amazon.com : Alienware 18 18.4-Inch Gaming Laptop, 4th Gen Intel Core i7-4700MQ UP to 3.4GHz, 32GB Memory, 750GB HDD, 2GB NVIDIA GTX 765 Graphics, Windows 8 : Computers & Accessories",Alienware,,DDR3 SDRAM,750 GB,,PC,23.03 x 16.22 x 4.76 inches,16 pounds,1920 x 1080 pixels,Windows 8,Intel Core i7,,,6 GB,18.4 inches,Alienware 18,,ALW18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP ENVY 17t QE Notebook PC, 4th Gen Intel i7-4700MQ 2.4 GHz, 17.3"" Full HD Touchscreen, 16GB, 512GB SSD, NVIDIA GT 840M 2GB Graphics, Blu-ray Player, Windows 8.1 : Computers & Accessories",HP,,DDR3 SDRAM,,Serial ATA,PC,10.83 x 16.38 x 1.32 inches,7.6 pounds,,Windows 8,,,,,,Envy 17t,,ENVY 17t qe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
