<page title>,battery,dimensions wxhxd,keyboard,operating system,pointing device,weight,ac adapter,brand,cpu speed,cpu type,dimensions,gpuvpu,graphics card,hard disk,hdmi,lan,memory,memory size,model,resolution,screen,screen size,series,ssd,tech description,usb,video memory,webcam,wlan,aspect ratio,audio,backlight,bluetooth,cache,display,finish,flash media slot,hard drive,native resolution,network,optical drive,ports,power requirements,processor,size,type,wifi,64bit processing,backlight technology,battery chemistry,battery energy,battery information,bluetooth standard,builtin devices,chipset manufacturer,communication,direct media interface,display graphics,display screen type,displayport,duallayer media supported,ethernet technology,graphics,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,hard drive interface,hard drive rpm,headphonemicrophone combo port,hyperthreading,input devices,interfacesports,maximum battery run time,maximum memory,maximum turbo speed,memory card reader,memory standard,memory technology,modem,network communication,network rj45,number of total memory slots,number of usb 30 ports,operating system architecture,optical drive type,optical media supported,pointing device type,processor chipset,processor core,processor model,processor speed,processor type,screen mode,screen resolution,software,speakers,storage,touchpad features,vga,vpro technology,wireless lan manufacturer,wireless lan model,wireless lan standard,audio line out,battery capacity,certifications standards,color,depth,hard drive capacity,hdcp supported,height,height front,height rear,maximum power supply wattage,memory card supported,microphone,number of cells,number of usb 20 ports,processor manufacturer,product family,product line,product model,product name,product series,product type,standard memory,width,wireless lan,part,graphic type,hdd,hdd interface,lcd features,memory speed,number of cores,wide screen support,ethernet,navigation,chipset model,manufacturer,manufacturer part number,multitouch screen,storage size,touchscreen,weight approximate,max memory supported,display type,video port,finger print reader,solid state drive capacity,solid state drive interface,total number of usb ports,brightness,security,color gamut,expansion slots,mobile broadband,viewing angle,docking connector,speaker,battery type,green compliance certificateauthority,green compliant,audio ports,battery life,cpu support,construction,expansion slot type,mini displayport,security features,display screen technology,audio line in,external resolution,gps,nfc,supported resolutions,system bus,brand name,usb ports,keyboard backlight,keyboard localization,software included,communications,general,inputoutput connectors,performance,hdd rpm,wwan supported,backlit keyboard,hhd,tv card,touchpad,upc code
"Best Asus G750JS-DS71 ROG-i7-4700MQ-16GB RAM-1TB+256GB-Win 8.1-17.3""Notebook-Black | TopEndElectronics UK",8-Cell Lithium-Ion Providing up to 3.5 Hours per Charge ( 88Wh ),16.1 x 2.0 x 12.5 '' / 40.9 x 5.1 x 31.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,9.9 lb / 4.49 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Asus G750JM-DS71 ROG-i7-4700MQ 2.4GHz-1TB-12GB RAM-Win 8.1-17.3"" Notebook-Black | TopEndElectronics UK",8-Cell Lithium-Ion Providing up to 3.5 Hours per Charge ( 88Wh ),16.1 x 2.0 x 12.5 '' / 40.9 x 5.1 x 31.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,9.9 lb / 4.49 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Acer Aspire V5-573P-54208G1Taii-i5-4200U-8GB-1 TB HDD-Win 8.1-15.6"" Touchscreen LED Notebook | TopEndElectronics UK",4-cell lithium ion,,,Windows 8.1,,,,Acer,4200U ( 1.60GHz ),Intel Core i5,,HD 4400,,,1 x HDMI,,8GB,,,,,15.6 '',Aspire,,Model Brand Acer Series Aspire General Battery Life 6.50 Hour CPU CPU Type Intel Core i5 CPU Speed 4200U ( 1.60GHz ) Display Screen Size 15.6 '' Display Type Full HD Operating Systems Operating System Windows 8.1 Graphics GPU/VPU HD 4400 Hard Drive HDD 1 TB Communications WLAN IEEE 802.11a/b/g/n Bluetooth Yes Memory Memory 8GB Max Memory Supported 12 GB Optical Drive Optical Drive Type No Ports HDMI 1 x HDMI Supplemental Drive Webcam Yes Power Battery 4-cell lithium ion,,,Yes,IEEE 802.11a/b/g/n,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 TB,,,,,,,,,,,,,,,12 GB,Full HD,,,,,,,,,,,,,,,,,,6.50 Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP ProBook 430 G2 Core i3-4030U-1.90GHz-4GB-320GB HDD-Win 8.1-13.3""LED Notebook-Black | TopEndElectronics UK",,,,,,,,,,,,,,,,,Standard Memory 4 GB Memory Technology DDR3 SDRAM Memory Standard DDR3-1600/PC3-12800 Number of Total Memory Slots 2 Memory Card Reader Yes Memory Card Supported Secure Digital ( SD ) Card Secure Digital High Capacity ( SDHC ) Secure Digital Extended Capacity ( SDXC ),,,,,,,,Processor & Chipset : Processor Manufacturer Intel Processor Type Core i3 Processor Model i3-4030U Processor Speed 1.90 GHz Processor Core Dual-core ( 2 Core ) Cache 3 MB Direct Media Interface 5 GT/s 64-bit Processing Yes Hyper-Threading Yes vPro Technology No Chipset Manufacturer Intel,,,,,0.672916667,,,Yes,3 MB,,,,,,,,,,,,,,Yes,LED,Lithium Ion ( Li-Ion ),44 Wh,Number of Cells 4-cell Battery Chemistry Lithium Ion ( Li-Ion ) Battery Energy 44 Wh,Bluetooth 4.0,Speakers Yes,Intel,Wireless LAN Yes Wireless LAN Manufacturer Broadcom Wireless LAN Standard IEEE 802.11a/b/g/n Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Built-in Devices : Speakers Yes Interfaces/Ports : HDMI Yes Total Number of USB Ports 3 Number of USB 2.0 Ports 1 Number of USB 3.0 Ports 2 VGA Yes Network ( RJ-45 ) Yes Headphone/Microphone Combo Port Yes,5 GT/s,Screen Size 13.3 '',Active Matrix TFT Color LCD,,,Gigabit Ethernet,Screen Size 13.3 '' Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 0.672916667 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Graphics Controller Manufacturer Intel Graphics Controller Model HD 4400 Graphics Memory Technology DDR3 SDRAM Graphics Memory Accessibility Shared Network &,Intel,HD 4400,Shared,DDR3 SDRAM,Serial ATA,5400.0,Yes,Yes,Keyboard Yes Pointing Device Type TouchPad TouchPad Features Multi-touch Gesture,HDMI Yes,,,,Yes,DDR3-1600/PC3-12800,DDR3 SDRAM,,Wireless LAN Yes,Yes,2.0,2.0,64-bit,,,TouchPad,Processor Manufacturer Intel,Dual-core ( 2 Core ),i3-4030U,1.90 GHz,Core i3,HD,1366 x 768,Operating System Windows 8.1 Operating System Architecture 64-bit,,Hard Drive Capacity 320 GB Hard Drive Interface Serial ATA Hard Drive RPM 5400 Display &,Multi-touch Gesture,Yes,No,Broadcom,,IEEE 802.11a/b/g/n,,,,,,,,,,,,Secure Digital ( SD ) Card,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Acer TravelMate TMP255-M-34014G50Mtkk-i3-4010U-4GB-500GB HDD-Win 7-15.6"" LED Notebook-Black | TopEndElectronics UK",4-cell lithium ion,,,Windows 7 Professional 64-bit,,,,Acer,4010U ( 1.7GHz ),Intel Core i3,,Intel HD Graphics 4400,,,1 x HDMI,10/100/1000Mbps,4GB,,,1366 x 768,,15.6 '',,,Model Brand Acer CPU CPU Type Intel Core i3 CPU Speed 4010U ( 1.7GHz ) Display Screen Size 15.6 '' Resolution 1366 x 768 Operating Systems Operating System Windows 7 Professional 64-bit Graphics GPU/VPU Intel HD Graphics 4400 Hard Drive HDD 500GB Communications LAN 10/100/1000Mbps WLAN 802.11b/g/n Wireless LAN Bluetooth Yes Memory Memory 4GB Max Memory Supported 8GB Optical Drive Optical Drive Type DVD Super Multi Ports USB 1 x USB 3.0 2 x USB 2.0 Video Port 1 x VGA HDMI 1 x HDMI Supplemental Drive Webcam Yes Power Battery 4-cell lithium ion,1 x USB 3.0 2 x USB 2.0,,Yes,802.11b/g/n Wireless LAN,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVD Super Multi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,,,,,,,,,,,,,8GB,,1 x VGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP ProBook 655 G1-AMD A8-5550M-2.10GHz-4GB-180GB SSD-Win7 Pro-15.6""LED Notebook-Black | TopEndElectronics UK",,,,,,,,,,,,,,,,,Standard Memory 4 GB Maximum Memory 16 GB Memory Technology DDR3 SDRAM Memory Standard DDR3-1600/PC3-12800 Number of Total Memory Slots 2 Memory Card Reader Yes,,,,,,,,Processor & Chipset : Processor Manufacturer AMD Processor Type A-Series Processor Model A8-5550M Processor Speed 2.10 GHz Maximum Turbo Speed 3.10 GHz Processor Core Quad-core ( 4 Core ) Cache 4 MB 64-bit Processing Yes,,,,,0.672916667,,,Yes,4 MB,,,,,,,,,,,,,,Yes,LED,Lithium Ion ( Li-Ion ),55 Wh,Number of Cells 6-cell Battery Chemistry Lithium Ion ( Li-Ion ) Battery Energy 55 Wh,Bluetooth 4.0,Webcam Yes,,Wireless LAN Yes Wireless LAN Manufacturer Broadcom Wireless LAN Standard IEEE 802.11a/b/g/n Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Built-in Devices : Webcam Yes Microphone Yes Speakers Yes Interfaces/Ports : Total Number of USB Ports 4 Number of USB 3.0 Ports 4 VGA Yes Network ( RJ-45 ) Yes DisplayPort Yes Headphone/Microphone Combo Port Yes,,Screen Size 15.6 '',Active Matrix TFT Color LCD,Yes,Yes,Gigabit Ethernet,Screen Size 15.6 '' Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 0.672916667 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Graphics Controller Manufacturer AMD Graphics Controller Model Radeon HD 8550G Graphics Memory Technology DDR3 SDRAM Graphics Memory Accessibility Shared Network &,AMD,Radeon HD 8550G,Shared,DDR3 SDRAM,,,Yes,,Keyboard Yes Pointing Device Type TouchPad Pointstick TouchPad Features Multi-touch Gesture,Total Number of USB Ports 4,,16 GB,3.10 GHz,Yes,DDR3-1600/PC3-12800,DDR3 SDRAM,,Wireless LAN Yes,Yes,2.0,4.0,64-bit,DVD-Writer,DVD-RAM/±R/±RW,TouchPad,Processor Manufacturer AMD,Quad-core ( 4 Core ),A8-5550M,2.10 GHz,A-Series,HD,1366 x 768,Operating System Windows 7 Professional 64-bit Operating System Architecture 64-bit,Yes,Solid State Drive Capacity 180 GB Solid State Drive Interface Serial ATA Optical Drive Type DVD-Writer Optical Media Supported DVD-RAM/±R/±RW Dual-Layer Media Supported Yes Display &,Multi-touch Gesture,Yes,,Broadcom,,IEEE 802.11a/b/g/n,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serial ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Dell Latitude 3330 730-7504-i3-3217U-4GB-320GB HDD-Win 7-13.3"" LED Notebook | TopEndElectronics UK",6-cell lithium ion,,,Windows 7 Home Premium,,3.54lbs .,,DELL,3217U ( 1.80GHz ),Intel Core i3,13.19 '' x 1.18 '' x 8.80 '',Intel HD Graphics 4000,,,,10/100/1000Mbps,4GB,,,1366 x 768,,13.3 '',Latitude,,Model Brand DELL Series Latitude CPU CPU Type Intel Core i3 CPU Speed 3217U ( 1.80GHz ) Display Screen Size 13.3 '' Resolution 1366 x 768 Operating Systems Operating System Windows 7 Home Premium Graphics GPU/VPU Intel HD Graphics 4000 Hard Drive HDD 320GB Communications LAN 10/100/1000Mbps WLAN 802.11b/g/n Wireless LAN Bluetooth Bluetooth 4.0 Memory Memory 4GB Supplemental Drive Webcam 720p HD Power Battery 6-cell lithium ion Physical Specifications Dimensions 13.19 '' x 1.18 '' x 8.80 '' Weight 3.54lbs .,,,720p HD,802.11b/g/n Wireless LAN,,,,Bluetooth 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo Essential G510s-59406565-i3-4000M 2.4GHz-6GB-1TB HDD-Win 8.1-15.6"" LED Notebook-Black | TopEndElectronics UK",6-cell lithium ion,,,Windows 8.1 Windows 8.1,,5.73 lbs .,,ThinkPad,4000M ( 2.4GHz ),Intel Core i3 Intel Core i3 4000M ( 2.4GHz ),14.8 '' x 9.84 '' x 1.34 '',,Intel HD Graphics 4600,1TB,1 x HDMI,10/100Mbps,,46GB DDR3,G510s ( 59406565 ),1366 x 768,15.6 '',15.6 '',IdeaPad,,Model Brand ThinkPad Series IdeaPad Model G510s ( 59406565 ) Part # 59406565 General Operating System Windows 8.1 CPU Type Intel Core i3 4000M ( 2.4GHz ) Screen 15.6 '' Memory Size 46GB DDR3 Hard Disk 1TB Video Memory Shared memory Optical Drive DVD±R/RW Webcam Yes Graphics Card Intel HD Graphics 4600 CPU CPU Type Intel Core i3 CPU Speed 4000M ( 2.4GHz ) Display Screen Size 15.6 '' Resolution 1366 x 768 Touchscreen Yes Operating Systems Operating System Windows 8.1 Communications LAN 10/100Mbps WLAN 802.11b/g/n Wireless LAN Bluetooth Bluetooth 4.0 Ports USB 2 x USB 3.0 1 x USB 2.0 Video Port 1 x VGA HDMI 1 x HDMI Audio Ports 1 stereo headphones / microphone in combo jack Power Battery Life 5 hours Battery 6-cell lithium ion Physical Specifications Dimensions 14.8 '' x 9.84 '' x 1.34 '' Weight 5.73 lbs .,2 x USB 3.0 1 x USB 2.0,Shared memory,Yes,802.11b/g/n Wireless LAN,,,,Bluetooth 4.0,,,,,,,,DVD±R/RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59406565,,,,,,,,,,,,,,,Yes,,,,1 x VGA,,,,,,,,,,,,,,,,1 stereo headphones / microphone in combo jack,5 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP EliteBook 8470p D8C07UT-i5-3230M-4GB-500GB HDD Win 7-14"" LED Notebook | TopEndElectronics UK",,,Yes,Genuine Windows 7 Professional Upgradable to Genuine Windows 8 Pro,,,,,,,,,,,,,,,,,,14 '',,,"General Information Manufacturer Hewlett-Packard Manufacturer Part Number D8C07UT # ABA Brand Name HP Product Line EliteBook Product Series 8470p Product Model D8C07UT Product Name EliteBook 8470p Notebook PC ( ENERGY STAR ) ( D8C07UT ) Product Type Notebook Processor & Chipset Processor Manufacturer Intel Processor Type Core i5 Processor Model i5-3230M Processor Speed 2.60 GHz Processor Core Dual-core ( 2 Core ) Cache 3 MB Direct Media Interface 5 GT/s 64-bit Processing Yes Hyper-Threading Yes Chipset Manufacturer Intel Chipset Model QM77 Express Memory Standard Memory 4 GB Maximum Memory 16 GB Memory Technology DDR3 SDRAM Memory Standard DDR3-1600/PC3-12800 Number of Total Memory Slots 2 Memory Card Reader Yes Memory Card Supported MMCplus Memory Card Supported MultiMediaCard ( MMC ) Memory Card Supported Secure Digital ( SD ) Card Memory Card Supported Secure Digital Extended Capacity ( SDXC ) Memory Card Supported Secure Digital High Capacity ( SDHC ) Storage Hard Drive Capacity 500 GB Hard Drive Interface Serial ATA/300 Hard Drive RPM 7200 Optical Drive Type DVD-Writer Optical Media Supported DVD-RAM/±R/±RW Dual-Layer Media Supported Yes Display & Graphics Screen Size 14 '' Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 16 : 9 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Graphics Controller Manufacturer Intel Graphics Controller Model HD 4000 Network & Communication Wi-Fi Yes Wi-Fi Manufacturer Broadcom Wi-Fi Standard IEEE 802.11a/b/g/n Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 + EDR Modem Yes Built-in Devices Webcam Yes Microphone Yes Speakers Yes Interfaces/Ports FireWire/i.LINK Yes Total Number of USB Ports 4 Number of USB 2.0 Ports 2 Number of USB 3.0 Ports 2 VGA Yes Network ( RJ-45 ) Yes Modem ( RJ-11 ) Yes Audio Line In Yes Audio Line Out Yes eSATA/USB Combo Yes DisplayPort Yes Software Operating System Genuine Windows 7 Professional Upgradable to Genuine Windows 8 Pro Operating System Architecture 64-bit Software Included HP Connection Manager HP Hotkey Support HP Power Assistant HP ProtectTools for Central Management HP ProtectTools Security Manager HP Recovery Manager HP Support Assistant HP Webcam Software Adobe Flash Player Microsoft Office Starter ( reduced-functionality Word and Excel only , with advertising . No PowerPoint or Outlook . Buy Office 2010 to use the full-featured software ) Corel WinDVD Microsoft Security Essentials PDF Complete Corporate Edition Roxio MyDVD Business 2010 Roxio Secure Burn Skype-ready WinZip Basic Input Devices Keyboard Yes Pointing Device Type Pointstick Pointing Device Type TouchPad TouchPad Features Multi-touch Gesture Battery Information Number of Cells 6-cell Battery Chemistry Lithium Ion ( Li-Ion ) Battery Energy 62 Wh Maximum Battery Run Time 9.25 Hour Power Description Input Voltage 110 V AC Input Voltage 220 V AC Maximum Power Supply Wattage 65 W Physical Characteristics Height 1.3 '' Width 13.3 '' Depth 9.1 '' Weight ( Approximate ) 4.95 lb ,1.36kg",,,Yes,,16 : 9,,,Yes,3 MB,,,,,,,,,,,,,Yes,Yes,LED,Lithium Ion ( Li-Ion ),62 Wh,,Bluetooth 4.0 + EDR,,Intel,,5 GT/s,,Active Matrix TFT Color LCD,Yes,Yes,Gigabit Ethernet,,Intel,HD 4000,,,Serial ATA/300,7200.0,,Yes,,,9.25 Hour,16 GB,,Yes,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,Yes,2.0,2.0,64-bit,DVD-Writer,DVD-RAM/±R/±RW,TouchPad Pointstick,,Dual-core ( 2 Core ),i5-3230M,2.60 GHz,Core i5,HD,1366 x 768,,Yes,,Multi-touch Gesture,Yes,,,,,Yes,,,,9.1 '',500 GB,,1.3 '',,,65 W,Secure Digital ( SD ) Card MMCplus MultiMediaCard ( MMC ) Secure Digital High Capacity ( SDHC ) Secure Digital Extended Capacity ( SDXC ),Yes,6-cell,2.0,Intel,,EliteBook,D8C07UT,EliteBook 8470p Notebook PC ( ENERGY STAR ) ( D8C07UT ),8470p,Notebook,4 GB,13.3 '',,,,,,,,,,,,QM77 Express,Hewlett-Packard,D8C07UT # ABA,,,,"4.95 lb ,1.36kg",,,,,,,4.0,,,,,,,,,,,,,,,,,,,,Yes,,,,,,HP,,,,"HP Connection Manager HP Hotkey Support HP Power Assistant HP ProtectTools for Central Management HP ProtectTools Security Manager HP Recovery Manager HP Support Assistant HP Webcam Software Adobe Flash Player Microsoft Office Starter ( reduced-functionality Word and Excel only , with advertising . No PowerPoint or Outlook . Buy Office 2010 to use the full-featured software ) Corel WinDVD Microsoft Security Essentials PDF Complete Corporate Edition Roxio MyDVD Business 2010 Roxio Secure Burn Skype-ready WinZip Basic",,,,,,,,,,,
"Best Lenovo ThinkPad T440p 20AN006MUS-i5-4300M-4GB-500GB HDD-Win 7-14"" LED Notebook-Black | TopEndElectronics UK",,,,Windows 7 Professional Upgradable to Windows 8 Pro,,,,,,,,,,,,,,,,,,14.00 ``,,,"Battery Information Battery Chemistry Lithium Ion ( Li-Ion ) Maximum Battery Run Time 7.40 Hour Interfaces/Ports Total Number of USB Ports 4 Number of USB 2.0 Ports 2 Number of USB 3.0 Ports 2 DisplayPort Yes Headphone/Microphone Combo Port Yes Display & Graphics Screen Size 14.00 `` Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 16 : 9 Screen Mode Full HD Screen Resolution 1920 x 1080 Backlight Technology LED Graphics Controller Manufacturer Intel Graphics Controller Model HD 4600 Graphics Memory Technology DDR3L SDRAM Graphics Memory Accessibility Shared Storage Storage Size 500 GB Hard Drive Interface Serial ATA/600 Hard Drive RPM 7200 Optical Drive Type DVD-Writer General Information Manufacturer Part Number 20AN006MUS Brand Name Lenovo Product Type Notebook Product Line ThinkPad Product Series T440p Memory Standard Memory 4 GB Maximum Memory 16 GB Memory Technology DDR3L SDRAM Memory Standard DDR3L-1600/PC3-12800 Number of Total Memory Slots 2 Memory Card Reader Yes Network & Communication Wireless LAN Yes Wireless LAN Standard IEEE 802.11ac Ethernet Technology Gigabit Ethernet Bluetooth Standard Bluetooth 4.0 Physical Characteristics Height 1.2 '' Width 13.2 '' Depth 9 '' Weight ( Approximate ) 75.52 oz Built-in Devices Webcam Yes Microphone Yes Finger Print Reader Yes Speakers Yes Processor & Chipset Processor Manufacturer Intel Processor Type Core i5 Processor Model i5-4300M Processor Speed 2.60 GHz Processor Core Dual-core ( 2 Core ) Software Operating System Windows 7 Professional Upgradable to Windows 8 Pro Operating System Architecture 64-bit Input Devices Keyboard Backlight Yes Pointing Device Type Trackpoint , TouchPad TouchPad Features Multi-touch Gesture",,,Yes,,16 : 9,,,,,,,,,,,,,,,,,,,LED,Lithium Ion ( Li-Ion ),,,Bluetooth 4.0,,,,,,Active Matrix TFT Color LCD,Yes,,Gigabit Ethernet,,Intel,HD 4600,Shared,DDR3L SDRAM,Serial ATA/600,7200.0,Yes,,,,7.40 Hour,16 GB,,Yes,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,2.0,2.0,64-bit,DVD-Writer,,"Trackpoint , TouchPad",,Dual-core ( 2 Core ),i5-4300M,2.60 GHz,Core i5,Full HD,1920 x 1080,,Yes,,Multi-touch Gesture,,,,,IEEE 802.11ac,,,,,9 '',,,1.2 '',,,,,Yes,,2.0,Intel,,ThinkPad,,,T440p,Notebook,4 GB,13.2 '',Yes,,,,,,,,,,,,,20AN006MUS,,500 GB,,75.52 oz,,,,Yes,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Lenovo,,Yes,,,,,,,,,,,,,
"Best ASUS P550CA-XH31-Core i3-3217U-4GB-500GB HDD-Win8-15.6"" LED Notebook-Black  | TopEndElectronics UK",4-Cell External Lithium-Ion ( 2600mAh ),15.0 x 1.3 x 9.9 '' / 38.1 x 3.3 x 25.1 cm,"Features : Numeric Keypad , Chiclet Style",Windows 8 Pro ( 64-bit ),"TouchPad with Double-Tap , Multi-Touch Control , Pinch , Tap , Two-Finger Scrolling",5.1 lb / 2.31 kg,,,,,,,Type : Integrated,,,,Type : PC3- 1600MHz DDR3 SDRAM,,,,,,,,Performance Processor 1.8GHz Intel Core i3 3217U Memory,,,Yes,,16 : 09,1x 1/8 '' ( 3.5mm ) Headphone/Microphone Combo Jack,LED,Bluetooth 4.0,,1x HDMI-in,,1x SD,Installed : 500GB 7200rpm,1366 x 768,1x 10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),Tray-Load SuperMulti DVD Burner with Dual Layer Support,1x USB 3.0 ( A ),"AC : 100-240 V AC , 50/60Hz",1.8GHz Intel Core i3 3217U,15.6 '',Widescreen,802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BIOS Booting , HDD User Password Protection , Power-On Password , Kensington Lock Slot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Acer TravelMate TMP255-M-54204G50Mtkk-i5-4200U-4GB-500GB HDD-Win 7-15.6"" LED Notebook-Black | TopEndElectronics UK",,,,Windows 7 Professional,,,,,,,,,,,Yes,,,,,,,15.60 ``,,,Battery Information Battery Chemistry Lithium Ion ( Li-Ion ) Battery Capacity 2500 mAh Maximum Battery Run Time 4 Hour Interfaces/Ports HDMI Yes Total Number of USB Ports 3 Number of USB 2.0 Ports 2 Number of USB 3.0 Ports 1 Display & Graphics Screen Size 15.60 `` Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 16 : 9 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Graphics Controller Manufacturer Intel Graphics Controller Model HD 4400 Storage Storage Size 500 GB Hard Drive RPM 5400 Optical Drive Type DVD-Writer General Information Brand Name Acer Product Model TMP255-M-54204G50Mtkk Product Type Notebook Product Line TravelMate Product Series P255-M Memory Standard Memory 4 GB Number of Total Memory Slots 2 Network & Communication Wireless LAN Yes Wireless LAN Standard IEEE 802.11a/b/g/n Ethernet Technology Gigabit Ethernet Bluetooth Yes Physical Characteristics Height 1 '' Width 15 '' Depth 10.1 '' Weight ( Approximate ) 82.88 oz Built-in Devices Webcam Yes Microphone Yes Speakers Yes Processor & Chipset Processor Manufacturer Intel Processor Type Core i5 Processor Model i5-4200U Processor Speed 1.60 GHz Processor Core Dual-core ( 2 Core ) Software Operating System Windows 7 Professional Operating System Architecture 64-bit Input Devices Pointing Device Type TouchPad TouchPad Features Multi-touch Gesture,,,Yes,,16 : 9,,,Yes,,,,,,,,,,,,,,,,LED,Lithium Ion ( Li-Ion ),,,,,,,,,Active Matrix TFT Color LCD,,,Gigabit Ethernet,,Intel,HD 4400,,,,5400.0,,,,,4 Hour,,,,,,,,,2.0,1.0,64-bit,DVD-Writer,,TouchPad,,Dual-core ( 2 Core ),i5-4200U,1.60 GHz,Core i5,HD,1366 x 768,,Yes,,Multi-touch Gesture,,,,,IEEE 802.11a/b/g/n,,2500 mAh,,,10.1 '',,,1 '',,,,,Yes,,2.0,Intel,,TravelMate,TMP255-M-54204G50Mtkk,,P255-M,Notebook,4 GB,15 '',Yes,,,,,,,,,,,,,,,500 GB,,82.88 oz,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Acer,,,,,,,,,,,,,,,
"Best ASUS X502CA-RB01-Intel Celeron processor 1007U 1.5GHz-4GB RAM-320GB HDD-Win 8-15.6"" LED Notebook-Black | TopEndElectronics UK",2-Cell Lithium-Polymer Providing up to 5.5 Hours per Charge ( 5136mAh ),15.1 x 0.8 x 10.2 '' / 38.4 x 2.0 x 25.9 cm,Type : Standard Notebook Keyboard,Windows 8 ( 64-bit ),TouchPad,4.4 lb / 2.00 kg,,,,,,,Type : Integrated,,,,Type : DDR3 SDRAM,,,,,,,,Performance Processor 1.5GHz Intel Celeron 1007U Dual-Core Cache L3 : 2MB Memory,,,Yes,,16 : 09,Integrated Stereo Speakers,LED,None,L3 : 2MB,1x HDMI,Not Specified By Manufacturer,1x SD,Installed : 320GB 5400rpm,1366 x 768,10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),None,1x USB 3.0 ( A ),,1.5GHz Intel Celeron 1007U Dual-Core,15.6 '',Widescreen,802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
