<page title>,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,memory,networking,operating system,optical drive,processor,product description,product type,security,storage,weight,category,chipset,dimensions wd,hard drive,height,price as reviewed starting price,screen size diagonal,system weight weight with ac adapter,wireless broadband wwan,colour,localisation,manufacturer warranty,mechanical design,microsoft office preloaded,keyboard,camera,hdd,model,os,warranty,wireless,system type,included service,color,cpu,lan,graphic card,hard disk,ram memory,dimensions
Other Laptops & Notebooks - HP Envy 6-1051si | B8F89EA for sale in Johannesburg (ID:137911061),4-cell,37.4 cm x 25.28 cm x 1.98 cm,15.6 '' LED backlight 1366 x 768 / HD,,,AMD Radeon HD 7670M - 2 GB DDR3,4 GB DDR3,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 7 Home Premium 64-bit,No optical drive,Intel Core i5 ( 3rd Gen ) 3317U / 1.7 GHz ( 2.6 GHz ) / 3 MB Cache,HP Envy 6-1051si - 15.6 '' - Core i5 3317U - Windows 7 Home Premium 64-bit - 4 GB RAM - 500 GB HDD,Ultrabook,,500 GB HDD / 5400 rpm,2.15 kg,,,,,,,,,,"Midnight black , metal finish",,1 year warranty,,Includes a pre-loaded image of select Microsoft Office 2010 suites . Purchase an Office 2010 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad T540p 20BE | 20BE007JZA for sale in Johannesburg (ID:151262016),6-cell - up to 7 hours,37.66 cm x 24.81 cm x 3.39 cm,15.6 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4600,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1 Pro 64-bit,DVD-Writer,Intel Core i5 ( 4th Gen ) 4200M / 2.5 GHz ( 3.1 GHz ) / 3 MB Cache,Lenovo ThinkPad T540p 20BE - 15.6 '' - Core i5 4200M - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,2.41 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad Edge E540 | 20C6003KZA for sale in Johannesburg (ID:161481444),6-cell,37.7 cm x 25 cm x 2.96 cm,15.6 '' LED backlight 1366 x 768 / HD,,"ENERGY STAR Qualified , EPEAT Gold",NVIDIA GeForce GT 740M / Intel HD Graphics 4600 - 2 GB,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8 Pro 64-bit,DVD-Writer,Intel Core i7 ( 4th Gen ) 4702MQ / 2.2 GHz ( 3.2 GHz ) / 6 MB Cache,Lenovo ThinkPad E540 20C6 - 15.6 '' - Core i7 4702MQ - Windows 8 Pro 64-bit - 8 GB RAM - 1 TB HDD,Notebook,Fingerprint reader,1 TB HDD / 5400 rpm,2.46 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer Aspire S7 Notebook was listed for R14,999.00 on 23 Oct at 02:46 by Livdigital in Johannesburg (ID:162916060)",,,,,,,,,Windows 8 Single Language Windows 8 Single Language,,,,,,,,,,,,12.2 mm,,,,,,,,,,Yes,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Lenovo ThinkPad Edge E531 | N4IE2ZA was listed for R7,863.01 on 30 Oct at 00:53 by FirstShop in Johannesburg (ID:149120024)",6-cell,37.7 cm x 25 cm x 2.96 cm,15.6 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4000,4 GB DDR3,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8 Pro 64-bit,DVD-Writer,Intel Core i5 ( 3rd Gen ) 3320M / 2.6 GHz ( 3.3 GHz ) / 3 MB Cache,Lenovo ThinkPad Edge E531 6885 - 15.6 '' - Core i5 3320M - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 7200 rpm,2.46 kg,,,,,,,,,,,,1 year warranty,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad Helix N3Z45ZA - I7 - Lenovo for sale in Johannesburg (ID:157342021),3 & 4 CELL,,,,,INTEGRATED,8 GB DDR3,,,No Optical,"Intel ? Core ? i7-3667U Processor ( 4M Cache , 2.00 GHz )",,,,,,,,,,,,,,,,,,,,,Yes,256GB SSD,Lenovo ThinkPad Helix,WIN 8 PRO 64,3 Year Carry-In,Intel 6205S AGN,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad X240 20AM | 20AM001DZA for sale in Johannesburg (ID:137912200),3-cell,30.55 cm x 20.85 cm x 1.99 cm,12.5 '' LED backlight 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,4 GB DDR3L,"Bluetooth 4.0 , 802.11ac , Gigabit Ethernet",Windows 8 Pro 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz ( 3.3 GHz ) / 4 MB Cache,Lenovo ThinkPad X240 20AM - 12.5 '' - Core i7 4600U - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Ultrabook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm + 16 GB SSD cache ( M.2 ),1.42 kg,,,,,,,,,3G/4G upgradable,,English / South Africa,3 years warranty,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad T440 20B7 | 20B7S0CH0E for sale in Johannesburg (ID:158050506),3-cell,33.9 cm x 23.25 cm x 2.1 cm,14 '' LED backlight 1600 x 900 / HD+,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,8 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 7 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4300U / 1.9 GHz ( 2.9 GHz ) / 3 MB Cache,Lenovo ThinkPad T440 20B7 - 14 '' - Core i5 4300U - Windows 7 Pro 64-bit - 8 GB RAM - 180 GB SSD,Ultrabook,Trusted Platform Module ( TPM 1.2 ) Security Chip,180 GB SSD,1.81 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude 3440 - 14"" | CA001L34406EM was listed for R9,502.80 on 23 Oct at 01:04 by FirstShop in Johannesburg (ID:164555202)",4-cell,34.6 cm x 24.5 cm x 25 cm,14 '' WLED 1366 x 768 / HD,,Blue Angel,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 8 Pro 64-bit,DVD-Writer,Intel Core i3 ( 4th Gen ) 4010U / 1.7 GHz / 3 MB Cache,Dell Latitude 3440 - 14 '' - Core i3 4010U - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 5400 rpm,2 kg,,,,,,,,,,,,3 years warranty,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Lenovo Flex 10 - 10.1"" | 59411936 for sale in Johannesburg (ID:161123892)",,27.3 cm x 18.85 cm,10.1 '' LED backlight touchscreen 1366 x 768 / HD,,,Intel HD Graphics,DDR3L,802.11n,,No optical drive,Intel,Lenovo Flex 10 - 10.1 '' - 500 GB HDD,,,500 GB HDD,,,,,,,,,,,,,,300 degree flip design,,,,,,,,,Notebook,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude E5440 - Core | CA025LE54402EDBSAF was listed for R12,682.80 on 24 Oct at 01:06 by FirstShop in Johannesburg (ID:164555197)",6-cell,33.8 cm x 23.5 cm x 2.86 cm,14 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"Bluetooth 4.0 LE , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit,DVD-Writer,Intel Core i5 ( 4th Gen ) 4300U / 1.9 GHz ( 2.9 GHz ) / 3 MB Cache,Dell Latitude E5440 - 14 '' - Core i5 4300U - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB Hybrid Drive,Notebook,Trusted Platform Module ( TPM ) Security Chip,500 GB Hybrid Drive / 5400 rpm + 8 GB SSD cache,2.4 kg,,,,,,,,,3G - no service included,,Afrikaans / South Africa,3 years warranty,,Includes a pre-loaded image of select Microsoft Office 2013 suites . Purchase an Office 2013 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,3 Years Dell ProSupport,,,,,,,
"Other Laptops & Notebooks - Dell Latitude E5540 - 15.6"" | CA006LE55402EDBSAF for sale in Johannesburg (ID:161223861)",9-cell,37.9 cm x 25.05 cm x 2.97 cm,15.6 '' LED backlight 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA GeForce GT 720M - 2 GB,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 7 Pro 64-bit,DVD-Writer,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz ( 3.3 GHz ) / 4 MB Cache,Dell Latitude E5540 - 15.6 '' - Core i7 4600U - Windows 7 Pro 64-bit - 8 GB RAM - 500 GB Hybrid Drive,Notebook,"Trusted Platform Module ( TPM ) Security Chip , fingerprint reader",500 GB Hybrid Drive + 8 GB SSD cache,2.6 kg,,,,,,,,,,,,3 years warranty,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer TravelMate - 15.6"" - Core | NX.V9GEA.001 was listed for R9,598.80 on 25 Oct at 01:03 by FirstShop in Johannesburg (ID:158050523)",4-cell - up to 4 hours,38.16 cm x 25.6 cm x 2.53 cm,15.6 '' LED backlight 1366 x 768 / HD - matt,,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 7 Pro 64-bit,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Acer TravelMate P255-MG-54204G1TMnkk - 15.6 '' - Core i5 4200U - Windows 7 Pro 64-bit - 4 GB RAM - 1 TB HDD,Notebook,,1 TB HDD / 5400 rpm,2.35 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP EliteBook 850 G1 | H5G43EA for sale in Johannesburg (ID:160933073),3-cell - up to 15 hours,37.5 cm x 25.3 cm x 2.142 cm,15.6 '' LED backlight Full HD SVA eDP anti-glare 1920 x 1080 / Full HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,8 GB DDR3,"Bluetooth 4.0 HS , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,HP EliteBook 850 G1 - 15.6 '' - Core i5 4200U - Windows 7 Pro 64-bit / 8 Pro downgrade - 8 GB RAM - 180 GB SSD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",180 GB SSD,1.88 kg,,,,,,,,,4G - no service included,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - TOSHIBA QOSMIO X870-F0086 - Toshiba for sale in Johannesburg (ID:157343874),,,17.3 '' FHD 3D Vision LED,,,nVidia GTX670 3GB,16GB DDR3,,,BluRay,,,,,,3.6kg,,,,,,,,,,,,,,,STD + NUM + Backlit,,1.75TB,X870-F0086,Win 8 SL,3 Years Onsite,WLAN+BT,,,Black + Red,i7-3630QM,10/ 100/ 1000,,,,
Other Laptops & Notebooks - Dell Latitude E5440 - Core | CA018LE54402EDBSAF for sale in Johannesburg (ID:153250682),6-cell,33.8 cm x 23.5 cm x 2.86 cm,14 '' WLED 1600 x 900 / HD+,Yes,ENERGY STAR Qualified,NVIDIA GeForce GT 720M - 2 GB GDDR3,4 GB DDR3L,"Bluetooth 4.0 LE , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit,DVD-Writer,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz ( 3.3 GHz ) / 4 MB Cache,Dell Latitude E5440 - 14 '' - Core i7 4600U - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB Hybrid Drive,Notebook,"Trusted Platform Module ( TPM ) Security Chip , fingerprint reader , SmartCard reader",500 GB Hybrid Drive / 5400 rpm + 8 GB SSD cache,2.4 kg,,,,,,,,,3G - no service included,,"Afrikaans / South Africa , Emerging Market",3 years warranty,,Includes a pre-loaded image of select Microsoft Office 2013 suites . Purchase an Office 2013 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,3 Years Dell ProSupport,,,,,,,
Other Laptops & Notebooks - HP ZBook 17 Mobile | F0V54EA for sale in Johannesburg (ID:158157636),8-cell,41.6 cm x 27.2 cm x 3.4 cm,17.3 '' LED backlight Full HD UWVA anti-glare DreamColor 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA Quadro K4100M - 4 GB GDDR5,8 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti / Blu-ray,Intel Core i7 ( 4th Gen ) 4700MQ / 2.4 GHz ( 3.4 GHz ) / 6 MB Cache,HP ZBook 17 Mobile Workstation - 17.3 '' - Core i7 4700MQ - Windows 7 Pro 64-bit / 8 Pro downgrade - 8 GB RAM - 750 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",750 GB HDD / 7200 rpm,3.46 kg,,,,,,,,,,"Graphite , hematite",,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ZBook 17 Mobile | F0V47EA for sale in Johannesburg (ID:158885465),8-cell,41.6 cm x 27.2 cm x 3.4 cm,17.3 '' LED backlight Full HD WVA anti-glare 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA Quadro K610M - 1 GB GDDR5,4 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i7 ( 4th Gen ) 4700MQ / 2.4 GHz ( 3.4 GHz ) / 6 MB Cache,HP ZBook 17 Mobile Workstation - 17.3 '' - Core i7 4700MQ - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",500 GB HDD / 7200 rpm,3.46 kg,,,,,,,,,,"Graphite , hematite",,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude 3540 - 15.6"" | CA003L35406EM was listed for R11,518.80 on 23 Oct at 01:03 by FirstShop in Johannesburg (ID:162342779)",6-cell,37.6 cm x 25.9 cm x 3.13 cm,15.6 '' LED backlight 1920 x 1080 / Full HD,,ENERGY STAR Qualified,AMD Radeon HD 8850M - 2 GB GDDR5,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 Pro 64-bit,DVD-Writer,Intel Core i5 ( 4th Gen ) 4210U / 1.7 GHz ( 2.7 GHz ) / 3 MB Cache,Dell Latitude 3540 - 15.6 '' - Core i5 4210U - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB Hybrid Drive,Notebook,,500 GB Hybrid Drive ( 8 GB flash ),2.3 kg,,,,,,,,,,Black,,3 years warranty,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP EliteBook 850 G1 | H5G34EA for sale in Johannesburg (ID:161123801),3-cell - up to 13 hours,37.5 cm x 25.3 cm x 2.142 cm,15.6 '' LED backlight Full HD SVA eDP anti-glare 1920 x 1080 / Full HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,HP EliteBook 850 G1 - 15.6 '' - Core i5 4200U - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",500 GB HDD / 7200 rpm,1.88 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IBM, Lenovo - LENOVO THINKPAD ULTRABOOK - T430 | CORE i5 2.6GHz | 8GIG RAM | 320GB HDD | LONGLIFE BATTERY | LAPTOP was listed for R4,995.00 on 21 Oct at 12:16 by TradeRouteAuctions in Johannesburg (ID:164515081)",,,,,,,,,Windows 7Â,,Intel Core i5 ~ 2.6Ghz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEL HD GRAPHICS 1696 MB,320GBÂ,8 GB DDR3 1600 MHzÂ,
"IBM, Lenovo - Lenovo ThinkPad X201 3626 /COREI5/4GIG DDR/320GIG HDD/12.1""LED for sale in Pretoria / Tshwane (ID:164416111)",,,,,,Intel Media Accelerator HD ( integrated ),"4GB , 1066MHz DDR2",,Windows 7 Home Premium ( 64-bit ),,2.53GHz Intel Core i5 M540,,,,,,Ultraportable,Intel HM55,11.6 x 10.1 inches,"320GB 7,200rpm",1.3 inches,"$ 1,464 / $ 1,999",12.1 inches,3.8 / 4.5 pounds,,,,,,,,,,,,,,,,,,,,,,
"IBM, Lenovo - LENOVO THINKPAD ULTRABOOK - T430 | CORE i5 2.6GHz | 12 GIG RAM | 320GB HDD | LAPTOP was sold for R4,320.00 on 23 Oct at 11:16 by TradeRouteAuctions in Johannesburg (ID:162796788)",,,,,,,,,Windows 7,,Intel Core i5 ~ 2.6Ghz - 3320M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEL HD GRAPHICS 1696 MB,320GB,12 GB DDR3 1600 MHz,
"Other Laptops & Notebooks - Acer Aspire V5-561-54204G50Maik - 15.6"" | NX.MK8EA.003 for sale in Johannesburg (ID:158733929)",4-cell,38.16 cm x 25.6 cm x 2.54 cm,15.6 '' LED backlight 1366 x 768 / HD,,,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 Single Language 64-bit,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Acer Aspire V5-561-54204G50Maik - 15.6 '' - Core i5 4200U - Windows 8.1 Single Language 64-bit - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD,2.4 kg,,,,,,,,,,"Grey , black",South Africa,,,,,,,,,,,,,,,,,,,
