<page title>,capacity,depth,dockable,height,ram,run time,speed,system type,technology,type,weight,widescreen,width,cache memory,device type,flash memory,form factor,interface,memory speed,monitor type,power provided,installed size,interface type,spindle speed,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,localization,manufacturer selling program,manufacturer warranty,memory,networking,operating system,optical drive,processor,product description,security,storage,system type,weight,empty slots,features,slots qty,automatic duplexing,interface,max resolution bw,microsoft certification,monthly duty cycle max,print speed,printer type,ram installed max,total media capacity,aspect ratio,backlight life,brightness,color,diagonal size,interfaces,panel type,pixel pitch,power supply,response time,screen coating,viewable size,product type,resolution,storage,touchscreen,channel qty,localization,raid level,video memory,card reader,image enhancement technology,language simulation,max media size,max resolution color,media handling,media size class,media type,power,system requirements,main storage,optical drive,color,case material,battery life,battery type,best buy pc app,bluetoothenabled,bluray player,builtin webcam,cache memory,computer hard drive size,digital media reader or slots,directdisc labeling,display type,drive capacity,energy star certified,epeat qualified,game ports,graphics card,graphics chip,hard drive type,hdmi output,ieee 1394 firewire ports,laptop weight,modem,mpeg,operating system bit version,operating system platform,parallel ports,pcmcia slots,pointing device,processor brand,processor speed,screen size measured diagonally,speakers,svideo outputs,system memory ram,system memory ram expandable to,tv tuner,type of memory ram,usb 20 ports,video memory,wireless networking,bypass feeder capacity,copier type,device type,document feeder capacity,fax resolutions,fax type,max copying resolution,max copying speed,max fax transmission speed,max media capacity,max printing resolution,max printing speed,media size,office machine features,original size,original type,output trays capacity,pc connection,pc connection availability,printing technology,scanning,standard media capacity,hard drive size,keyboard description,network card,other control devices mouse etc,recordable dvd drive,recordable dvd drive speeds,software included,tilt,touchscreen,audio output,cache per processor,camera,card reader,form factor,graphics controller,hard drive,monitor,optical storage,os provided,platform technology,processor main features,processor socket,ram,storage controller,type,2in1,audio,customized convenience,more expansion less expense,solid security,receiver,backlit keyboard,gaming series,included software,optical drive speeds,wireless display,adobe flash compatible,data plan required,digital camera,digital camera pixels,front facing webcam,front facing webcam pixels,gps enabled,gps enabled with,headphone jack,internal storage type,pricematch,sd card slot,storage capacity,wifi built in,installed qty,beautifully slim,everlasting memories,sensational fun,superior productivity,wireless,power,microsoft office preloaded,contrast ratio,pixel per inch,speakers,automatic document feeder,automatic document reduction,automatic redial,available print modes,bit depth,black printer resolution,color printer resolution,copier resolution dpi,copier speed bw,copier speed color,document feed type and capacity,duty cycle,fax transmission speed,fontstypefaces,input paper capacity,media sizes,media types,minimum system requirements,multiple copies,networking capabilities,number of speed dials,output paper capacity,pcfree printing,print quality,print speed bw,print speed color,reduction enlargement,scan method,scanner resolution dpi,scanner type,total ink tankscartridge,twosided printer,type of interface,os provided,additional audiovideo connectors,connectivity,mechanical design,batteries needed,battery included,battery quantity,color category,connection type,cordlesswireless,ergonomic,leftrighthanded design,mac compatible,optical technology,port connection,type of pointing device,sharing files and documents is a snap,get connected in more ways than one,store it all,carrier,processor,aspect ratio,brightness,builtin devices,color support,compliant standards,contrast ratio,display position adjustments,input connectors,native resolution,panel type,pixel pitch,response time,all media,connect,do more,easy fun,memory,vesa support,ink palette supported colors,inkjet technology,printer features,product type,max media size custom,ssd cache,sound emission,hard drive capacity,number of ports,power consumption,bundled with,screen coating,fun shareable services,hd video recording,inspiring mobile freedom in your life,location,processor clock speed,rich multimedia experience,sleek portable design,supported flash memory cards,wireless connectivity,amazing angles with ips,beauty and brains,hp and the environment on your side,jawdropping details,software that simplifies,compatibility,dvid input,dvid with hdcp input,hdmi input,inputs,maximum resolution,product depth with stand,speakers included,vga input,airprint enabled,bundled services,min media size custom,pricing type,designed for,features,hot keys function,antiglare coating,horizontal frequency,monitor type,screen refresh rate,vertical frequency,fax memory,product depth without stand,additional features,5 customizable buttons,bluetrack technology,comfort and durability,tilt wheel,backlight technology,battery capacity,battery chemistry,dimensions w x d x h,display screen type,finger print reader,graphics controller manufacturer,graphics memory accessibility,graphics memory technology,hdmi,height,keyboard,maximum battery run time,maximum power supply wattage,memory card reader,memory card supported,memory technology,microphone,multitouch screen,number of cells,number of usb 30 ports,operating system architecture,optical drive type,pointing device type,processor manufacturer,processor model,processor turbo speed,processor type,screen mode,screen resolution,screen size,solid state drive capacity,standard memory,total number of usb ports,webcam,wireless lan standard,battery indicator,scrolling wheel,drop size,paper feeder,green compliance,number of buttons,total print heads,bays,available expansion slots,gorgeous gaming power,included service,instinctfast response,optimum game control,spectacle of sound,input device,heavy security exceptionally managed,reliability for the long haul,the solution for diverse business demands,preview screen size,ips,portrait andor landscape viewable,at home in your environment,barcodes,featurerich and up to any task,print from a usb flash drive,recommended monthly volume,print on cddvd,wireless broadband wwan,dimensions,display format,hdmi ports qty,lan protocol,pc interface,power device,remote control,targeting,tv tuner,viewing angle,7 capacitive multitouch screen,battery run time,fast processor,frontfacing camera,movies and tv shows,responsive touch screen,slim lightweight portable,supported still image formats,supported text formats,flash memory installed max,speaker system,stand,stand design,read speed,series,incredible beauty vibrant portability,incredible cloud store share and sync,incredible sound incredible sound with sonicmaster,pricing type,killer gaming lan priority online gaming lead the way,outstanding management of power usage,carry less,durable and dependable,productive powerhouse,security you can depend on,the power of touch,display screen technology,ethernet technology,network rj45,number of usb 20 ports,processor core,vga,wireless capability,essential security,were right behind you,environmentally friendly,auto sensing,interface slot type,lan connection,number of lan ports,speed,ips panel provides vivid images on the go,supernote super great app for more than note taking,data compression system,onscreen image controls,zooming capabilities,document management also made easy,everything the small workgroup requires,keyboard design,mouse included,multimedia keys,palm rest,available expansion bays,10point multitouch display,four awesome modes one incredible device,instant resume,multimode keyboard,robust harddrive protection,rocksolid durability,print speed photo,antenna qty,frequency band,usb 30 and network connectivity,print documents and web pages fast,cables included,connectivity technology,movement detection technology,movement resolution,os required,performance,a powerful tablet doesnt have to be complicated,make the most of the real estate,make the most of your downtime,hp support,impressive audio and visual experience,power to perform,put it together,integrated options,sensors,detailoriented display,familyfriendly,low battery,magazines come to life,more productive than ever,security at your fingertips,security devices,ultrathin and lighter,dolby advanced audio v2,intel processor,precision keyboard,ultradurable and milspec tested,vga port,discrete graphics,ambibright,digital uniformity compensation,rapid response,add style and priority by customizing your home screen,meetings made easy no paper or servers necessary,powering entertainment and empowering productivity,seamless multi tasking four different ways,take web meetings to the next level,maximum memory,number of total memory slots,mounting kit,a classic timeless design,precise input,providing a smooth computing experience
"Ematic Genesis Prime 7"" Android 4.1 Tablet Computer, 4GB Storage, 512MB RAM, 1.1GHz Processor, Pink",,,,,,,,,,,,,,,,,,,,,,,,,,0.4 in,7 '' TFT - 800 x 480 - Multi-Touch,,,,,,1 year warranty,,,Android 4.1 ( Jelly Bean ),,,Ematic Genesis Prime - tablet - Android 4.1 ( Jelly Bean ) - 4 GB - 7 '',,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 Megapixel front,,,,,,,,,,,512 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablet,,,,,,,,,,,,,1.1 GHz,,,"microSD , microSDXC",802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7 '' 800 x 480 capacitive multi-touch screen is ideal for watching movies , playing games or browsing the web .",Up to 4.5 hours,The Genesis Prime features a fast 1.1 GHz processor for superior performance while multitasking . Stream music while browsing the Internet or read e-Books while downloading videos .,The front-facing camera allows you to video chat with your friends and family though your Wi-Fi connection .,"Stream movies and TV shows to watch instantly on web , phone or tablet or make them available offline so you can watch from anywhere , even when you 're not connected .","The 7 '' capacitive touch screen provides an extra responsive user experience , including swiping and multi-touch gestures .","The 10 mm slim , lightweight design makes it easy to take anywhere .","BMP , GIF , JPEG","FB2 , EPUB , PDF , TXT , RTF , PDB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKI C610n - printer - color - LED,,,,,,,,,,,,,,,,,,,,,,,,,,17.1 in x 21.5 in x 13.4 in,,,,,,,1 year warranty,,"Print server - Ethernet , Fast Ethernet - integrated",,,PowerPC 533 MHz,OKI C610n - printer - color - LED,,,,57.3 lbs,,,,,"USB , LAN",1200 x 600 dpi,Certified for Windows Vista,75000 pages,Up to 34 ppm - B/W � Up to 36 ppm - color,Workgroup printer - LED - color,256 MB ( 768 MB ),400 sheets,,,,,,,,,,,,,,,,,,,,,,OKI ProQ2400 Multilevel,"PCL 5C , PostScript 3 , PCL 6 , XPS , SIDM , PDF 1.7",Legal ( 216 x 356 mm ),1200 x 600 dpi,"100-sheet multipurpose tray , 300-sheet input tray",Legal,"Envelopes , labels , plain paper",AC 120 V,"Microsoft Windows 2000 , Microsoft Windows XP Home Edition , Microsoft Windows XP Professional , Microsoft Windows Server 2003 , Microsoft Windows 7 , Microsoft Windows XP Professional x64 Edition , Apple MacOS X 10.3.9 , Apple MacOS X 10.6 , Microsoft Windows Vista ( 32-bit versions ) , Microsoft Windows Server 2003 x64 Edition , Microsoft Windows Vista ( 64-bit versions ) , Microsoft Windows Server 2008 , Microsoft Windows Server 2008 x64 Edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optional duplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UPC-A , UPC-B , ZIP",,,5000 pages,,,,,,,,,,,,,,,,,,,,,,( 16 GB ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Veriton VN2010G-UT01L Thin Client - DaVinci DM8148 1 GHz - 1 GB - 0 GB,,4.8 in,,6.9 in,,,,,DDR3 SDRAM Optical,Integrated No HDD,,,1.4 in,,Power adapter,4 GB,,USB,1333 MHz,None .,48 Watt,1 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DeTOS 7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M93p 10A9 - Core i5 4570 3.2 GHz - 4 GB - 500 GB,1 x 500 GB,14.8 in,,4 in,,,,,Optical DDR3 SDRAM,Integrated HDD,17.2 lbs,,13.3 in,,Power supply,,DIMM 240-pin,USB,1600 MHz,None .,240 Watt,6 MB,SATA 6Gb/s,7200 rpm,,,,,,,,,,,,,,,,,,,,,Unbuffered,,,,,,,,,,,,,,Business black,,,,,,,,,,,,,2,English,RAID 0 RAID 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 800 G1 - Core i5 4570S 2.9 GHz - 4 GB - 500 GB,1 x 500 GB,10 in,,2.6 in,,,,,,Integrated HDD,6.8 lbs,,9.9 in,,Power adapter,,,USB,1600 MHz,None .,135 Watt,6 MB,SATA 6Gb/s,7200 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Toughbook 53 - 14 - Core i5 3340M - Windows 7 Pro / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,6750 mAh,11.1 in,Yes,2.2 in,4 GB,Up to 11 hours,1333 MHz,Notebook,DDR3L SDRAM Lithium ion,14,5.8 lbs,Yes,13.4 in ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkStation D30 4354 - Xeon E5-2609V2 2.5 GHz - 4 GB - 1 TB,,23.7 in,,19.1 in,,,,,Optical,Plug-in card Integrated Workstation SSHD,60.6 lbs,,8.3 in,,Power supply,,DIMM 240-pin Tower,USB,1333 MHz,None .,1120 Watt,10 MB,PCIe x16 SATA 6Gb/s,7200 rpm,,,,,,,,,,,,,,,,,,,,,Scroll,,,,,,,,,,,,,,Raven black,,,,,,,,,,,,,,English,,1 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Compaq Pro 4300 - Core i3 3220 3.3 GHz - 4 GB - 128 GB,1 x 128 GB,14.9 in,,3.9 in,,,,,,Integrated SSD,16.8 lbs,,13.3 in,,Power supply,,DIMM 240-pin,,1600 MHz,None .,240 Watt,3 MB,SATA 6Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 800 G1 - Core i5 4570S 2.9 GHz - 4 GB - 128 GB,1 x 128 GB,10 in,,2.6 in,,,,,,SSD Integrated,6.8 lbs,,9.9 in,,Power adapter,,,,,None .,135 Watt,6 MB,SATA 6Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad T440s 20AQ - 14 - Core i7 4600U - Windows 7 Pro 64-bit - 8 GB RAM - 180 GB SSD,23.5 Wh,8.9 in,Yes,0.8 in,,,,Ultrabook,DDR3 SDRAM,14 - IPS,3.5 lbs,Yes,13 in ``,,,,,SATA 6 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Anti-glare,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad W540 15.6"" LED Notebook Computer, Intel Core i7-4700MQ 2.4GHz, 8GB RAM, 500GB HDD, Quadro K1100M/HD Graphics 4600, Windows 7 Pro (Upg to Win 8 Pro)",,,,,,,,,,,,,,,,,,,,,,,,,9-cell - up to 11.1 hours,14.8 in x 9.8 in x 1.2 in,15.6 '' LED backlight 1920 x 1080 / Full HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",NVIDIA Quadro K1100M / Intel HD Graphics 4600 - 2 GB,English,TopSeller,3 years warranty,8 GB DDR3L,"Bluetooth 4.0 , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro 64-bit downgrade - pre-installed : Windows 7,DVD-Writer,Intel Core i7 ( 4th Gen ) 4700MQ / 2.4 GHz ( 3.4 GHz ) / 6 MB Cache,Lenovo ThinkPad W540 20BG - 15.6 '' - Core i7 4700MQ - Windows 7 Pro 64-bit / 8 Pro 64-bit downgrade - 8 GB RAM - 500 GB HDD,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,Notebook,6 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graphite black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Veriton X4630G-i7477X - Core i7 4770 3.4 GHz - 8 GB - 1 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® HD Graphics 4600,,,,,,Windows 8 Pro,,Intel® 4th Generation Core™ i7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,8MB,,No,No,,1TB,Yes,No,,,Intel,SATA ( 7200 rpm ),No,,,,,64-bit,Windows,,,,Intel®,3.4GHz ( with Turbo Boost up to 3.9GHz ),,None,,8GB,32GB,,DDR3 SDRAM,"4 USB 3.0 ( 2 front , 2 rear ) ; 4 USB 2.0 ( 2 front , 2 rear )",Shared,None,,,,,,,,,,,,,,,,,,,,,,,1TB,USB,Built-in Gigabit Ethernet LAN ( RJ-45 connector ),Optical mouse,"Yes , double-layer DVD±RW/CD-RW",Drive speeds not specified,Bing Bar ; Windows Live Essentials and more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 215 G1 - 11.6 - A series A4-1250 - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 4 GB RAM - 320 GB HDD,36 Wh,8.5 in,,0.9 in,,Up to 8 hours,1333 MHz,Notebook,DDR3 SDRAM,11.6,3.3 lbs,Yes,11.4 in ``,,,,,Serial ATA-300,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion 15-n204nr - 15.6 - A series A6-5200 - Windows 8.1 64-bit - 8 GB RAM - 750 GB HDD,41 Wh,10.2 in,,0.9 in,,,,Notebook,DDR3L SDRAM,15.6,5.1 lbs,Yes,15.2 in ``,,,,,Serial ATA-300,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,HD BrightView,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remarketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
