2in1,<page title>,hard drive capacity,laptop battery life,laptop display type,laptop hard drive capacity gb,laptop hard drive speed,laptop hard drive type,laptop memory ram gb,laptop network card,laptop operating system,laptop optical drive,laptop processor speed,laptop processor type,laptop refurbished,laptop screen size inches,laptop style,laptop use,laptop warranty,laptop weight,processor speed up to ghz,processor type,ram capacity,screen size,touch screen enabled,video graphics memory,bluetooth compatibility,cpu cache,laptop audio,laptop battery type,laptop color,laptop dimensions l x w x h,laptop memory type,laptop other ports,laptop usb slots,laptop webcam,laptop weight filter,media card reader,laptop memory expandable,laptop video graphics,color family,laptop processor type details,wireless connectivity,hard drive type,bluetooth compatibility details,laptop color details,laptop extra features,windows select pc,all in one desktop,desktop audio,desktop cpu cache,desktop dimensions l x w x h,desktop hard drive size gb,desktop includes monitor,desktop media card reader,desktop network card,desktop operating system,desktop optical drive,desktop other ports,desktop power,desktop processor,desktop refurbished,desktop usb ports,desktop use,desktop warranty,desktop weight,e desktop memory expandable,form factor,ram desktop memory gb,sp desktop hard drive speed,speed desktop processor speed,t desktop hard drive type,t desktop memory type,desktop special feature,desktop video graphics,all in one desktop details,desktop includes monitor details,desktop lan data transfer rate,desktop processor details,desktop refurbished details,desktop use details,desktop video memory,touch screen enabled details,desktop operating system details,desktop weight details,desktop hard drive size details
No,"Refurbished Lenovo ThinkPad T410 14.1"", 160GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Home | Staples®",Under 320GB,Up to 6 Hours,WXGA LCD,160.0,SATA,5400 RPM,4.0,802.11 b/g/n,Windows 7,DVD-CDRW,2.5Ghz,Intel i5,Yes,14.1,Laptop/Notebook,Business,18 Month parts and labor,1 to 2 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,Intel GMA 4500MHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished Lenovo T400 ThinkPad 14"", 160GB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",Under 320GB,,,7200.0,160,SATA,4.0,,Windows 7 Professional,DVDRW,,Intel Other,Yes,14,Laptop/Notebook,Business,1 Year,4.1 to 5 lbs,2 to 2.9 GHz,Intel,4GB,13 '' to 14.9 '',No,,,,Integrated HD,,,9.28 '' x 13.2 '' x 1.36 '',DDR3,,,,4.85lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell E6420, 320GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Pro | Staples®",320GB,,,,,,,,,,2.5GHz,Intel i5,,,,Business,,4.1 to 5 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',,,,,,,,,,,,Integrated HD Webcam,,,,,,Intel Core i5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Toshiba L55D-B5364, A8 Processor, 8GB RAM, 1TB hard drive, Windows 8.1, 15.6"" Laptop | Staples®",,up to 4 hours,diagonal widescreen TruBrite® TFT display,1024.0,5400RPM,SATA,8.0,802.11b/g/n,Windows 8.1,,2.4GHz,AMD A8,No,15.6,Laptop/Notebook,Everyday,1 Year,,,,,,No,,No,,Microphone input/headphone output ( combination ),4cell/45Wh Lithium Ion battery pack,Silver,14.96 x 10.2 ” x 0.93 ”,DDR3L,"1 x HDMI , 1 x RGB","1 x USB 3.0 , ( with sleep and charge ) , 1 x USB 3.0 , 1 x USB 2.0",HD webcam and microphone,4.85 lbs .,Integrated,N/A,AMD Radeon™ R5 Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished HP DC5700, 160GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 Home Premium | Staples®",Under 320GB,,,,,,,,,,,,,,,,,,1 to 1.9 GHz,Intel,2GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,,,,160,No,,,Windows 7,,,,Intel Other,Yes,,Everyday,,,,Desktop,2GB - 3GB,,,,,,,,,,,,,,,,,
,"Lenovo Flex Dual-Mode 15.6"" Touch Screen Laptop | Staples®",500GB,,,,,,,,,,,,,,,,,,,Intel i5,8GB,15 '' to 16.9 '',Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished Dell Latitude D630 14.1"", 80GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 | Staples®",Under 320GB,Up to 5.5 Hours,LCD,80.0,SATA,5400 RPM,2.0,Wireless : 802.11a/b/g/n,Windows 7,DVD-CDRW,1.8Ghz,,Yes,14.1,Laptop/Notebook,Business,1 Year,4.1 to 5 lbs,1 to 1.9 GHz,Intel,2GB,13 '' to 14.9 '',No,,,,HD Integrated,,,9.3 '' ( L ) x 13.2 '' ( W ) x 1.2 '' ( H ),DDR2 RAM,,,,4.3 lbs,,,,,Intel Core 2 Duo,802.11/a/b/g/n,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished HP EliteBook 8440p 14.1"", 250GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Pro | Staples®",Under 320GB,Up to 5.5 Hours,LCD,250.0,,5400 RPM,4.0,Wireless : 802.11a/b/g/n,Windows 7 Professional,DVD-CDRW,2.5Ghz,Intel i5,Yes,14.1,Laptop/Notebook,Business,18 month parts and labor,4.1 to 5 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,,,,HD Integrated,,,9.3 '' ( L ) x 13.2 '' ( W ) x 1.2 '' ( H ),DDR3 RAM,,,,4.3 lbs,,,,,,802.11/a/b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acer® Veriton X2631 Desktop Computer, Intel® Quad-Core i5-4440 3.1 GHz | Staples®",,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,No,High Definition Audio,6MB,14 1/2 '' x 4 '' x 10 1/2 '',500,No,No,Gigabit Ethernet,Windows 7 Professional,DVD-RAM/+or -R/+or -RW DVD-Writer,"DVI , Network ( RJ-45 ) , Audio Line In , Audio Line Out , VGA , Modem ( RJ-11 )",220 W,Intel i5,No,"4 x USB 2.0 , 2 x USB 3.0",Business,1 Year Limited,,16GB,,4,7200 RPM,3.1 GHz,Serial ATA/300 HDD,DDR3 SDRAM,Input Devices : Keyboard and Mouse,Intel HD 4600 Graphics,,,,,,,,,,,
No,"Refurbished Toshiba C55-a5281 15.6'' Laptop, 6GB Memory, 750GB Hard Drive, Intel Pentium Processor 2020M, Windows 8 | Staples®",,Up to 4.15 hours,HD TruBrite LED Backlit display,750.0,"5400rpm , Serial ATA",,6.0,,Windows 8,DVD SuperMulti Drive,,Intel Other,Yes,15.6,Laptop/Notebook,Everyday,90 Days,,,,,,No,,No,,Integrated,"Li-Ion ( 48Wh , 6-Call )",Black,,DDR3,"HDMI , RGB","1-USB ( 3.0 ) , 2-USB ( 2.0 )",HD webcam with microphone,5.3,No Memory Card Reader,,Mobile Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished Dell Latitude D630 14.1"", 80GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 | Staples®",Under 320GB,Up to 5.5 Hours,LCD,80.0,SATA,5400 RPM,2.0,Wireless : 802.11a/b/g/n,Windows 7,DVD-CDRW,1.8Ghz,,Yes,14.1,Laptop/Notebook,Business,1 Year,4.1 to 5 lbs,1 to 1.9 GHz,Intel,2GB,13 '' to 14.9 '',No,,,,HD Integrated,,,9.3 '' ( L ) x 13.2 '' ( W ) x 1.2 '' ( H ),DDR2 RAM,,,,4.3 lbs,,,,,Intel Core 2 Duo,802.11/a/b/g/n,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HP Off-Lease, Refurbished 8440P 14"", 250GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Pro | Staples®",Under 320GB,Up to 6 hours,LED-backlit HD+ anti-glare,,7200RPM,SATA,4.0,Integrated Intel Gigabit Network Connection ; 56k Modem ; 802.11 Wireless,Windows 7 Professional,DVD-CDRW,2.4GHz,Intel i5,Yes,14,Laptop/Notebook,Business,1 year limited,,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,512 MB,Yes,3MB L3,Integrated HD audio,6 cell lithium ion,Silver,13.2 '' x 9.3 '' x 1.23 '',DDR3 SODIMM,"1 x 1394a port , 1 x stereo microphone in , 1 x sterep headphone/line out , 1 x power connector , 1 x display port , 1 x VGA connector , 1 x docking connector , 1 x secondary battery connector",3 USB 2.0,N/A,4.7 lbs .,Integrated Smart Card Reader,8GB,intel integrated graphics,Gray/Silver,Intel Core i5,802.11/a,,,Mercury Silver,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished HP 8540W 15.5"", 320GB Hard Drive, 4GB Memory, Intel Core i7, Win 7 Pro | Staples®",320GB,,,5400.0,320,SATA,4.0,,Windows 7 Professional,DVDRW,,Intel i7,Yes,15.5,Laptop/Notebook,Business,1 Year,,2 to 2.9 GHz,Intel i7,4GB,15 '' to 16.9 '',No,,,,Integrated HD Audio,6 Cell Lithium Ion,,9.9 '' x 14.7 '' x 1.3 '',DDR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Dell® Latitude 12.5"" Touchscreen LED Ultrabook, Intel i5-4300U 1.9 GHz | Staples®",,,,256.0,,,8.0,,Windows 7 Professional,,,Intel i5,No,12.5,Ultrabook,Business,,,,,,,Yes,,Yes,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell 960, 1.5TB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",1.5TB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated,6MB L2,17.3 '' L x 7.3 '' W x 16.3 '' H,1.5TB,No,,,Windows 7 Professional,DVDRW,"2 Line-in ( Stereo/Microphone ) , 2 Line-out ( Headphone/Speaker ) , 8 USB 2.0 ports ( 2 front , 6 rear ) , 1 VGA port , 1 parallel port , 1 serial port",235 Watts,Intel Other,Yes,,Business,1 Year,26 lbs,8GB,Desktop,4,7200RPM,3.16 Ghz,SATA,DDR2,,Integrated,No,No,10/100/1000 Mbps,Intel Core 2 Duo,Yes,Everyday,Integrated,No,,,
,"HP 350 G1 - 15.6"" - Core i3 4005U - Windows 7 Pro 64-bit/Windows 8.1 Pro downgrade - 4 GB RAM - 500 GB HDD | Staples®",500GB,,,,7200 rpm,Serial ATA/300,,,Windows 7,,,,No,15.6,Laptop/Notebook,Business,,5.1 to 6 lbs,1 to 1.9 GHz,Intel i3,4GB,15 '' to 16.9 '',No,,Yes,,,,Black,,DDR3,,,,,Yes,,HD 4400,Black,,,Spindle,,,,Windows 7 Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,HP Pavilion 15.6-Inch Laptop (15-p066us) | Staples®,750GB,up to 5 hours,HD BrightView WLED-backlit display,750.0,5400RPM,HDD,6.0,10/100 BASE-T Ethernet LAN,Windows 8.1,SuperMulti DVD burner,1.9GHz,Intel i3,No,15.6,Laptop/Notebook,Everyday,1 Year,5.1 to 6 lbs,1 to 1.9 GHz,Intel i3,6GB,15 '' to 16.9 '',No,Intel® HD graphics 4400,No,3M,BeatsAudio™ dual speakers,4-cell 41WHr 2.8Ah lithium-ion battery,Silver,15.14 '' x 10.24 '' x 0.94 '',DDR3L,"1 HDMI , 1 RJ-45 , 1 Headphone/Microphone combo jack","2 x USB 3.0 , 1 x USB 2.0",Integrated,5.02 lbs .,Multi-format digital media card reader for Secure Digital cards,N/A,N/A,Gray/Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished HP Elitebook 6930p 14.1"", 160GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 Home | Staples®",Under 320GB,Up to 5.5 Hours,LCD,,SATA,5400 RPM,2.0,Wireless : 802.11a/b/g/n,Windows 7,DVD-CDRW,2.2Ghz,,Yes,14.1,Laptop/Notebook,Business,1 Year,,2 to 2.9 GHz,Intel,2GB,13 '' to 14.9 '',No,,,,HD Integrated,,,9.6 '' ( L ) x 13 '' ( W ) x 1.2 '' ( H ),DDR2 RAM,,,,4.3 lbs,,,,,Intel Core 2 Duo,802.11/a/b/g/n,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dell Inspiron I14RMT-7500SLV 14"" Touch Screen Laptop | Staples®",1TB,Varies depending on conditions,14 '' HD ( 1366x768 ) Touch Display with Webcam,1000.0,5400RPM,SATA,8.0,Wireless-N,Windows 8,DVD+/-RW Drive,"1.6GHz , up to 2.6GHz",Intel i5,No,14,Laptop/Notebook,Everyday,1 year parts/labor,Over 6 lbs,1 to 1.9 GHz,Intel i5,8GB,13 '' to 14.9 '',Yes,Integrated Intel HD Graphics,Yes,3M Cache,Waves MaxxAudio,6-Cell Lithium Ion Battery ( 65 WHr ),Silver,1.1 '' D x 13.62 '' W x 13.62 '' H,DDR3,"HDMI 1.4a , RJ-45 10/100 , ( 1 ) Security slot","( 2 ) USB 3.0 , ( 1 ) USB 2.0",Yes,5.18 lbs .,8-in-1,"Up to 8GB ( DDR3 , 1600MHz , 2 DIMM )",,Gray/Silver,4th gen Intel Core™ i5-4200U processor,,,,Moon Silver Touch,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Toshiba 15.6-Inch Laptop (C55-B5350) | Staples®,,Up to 4 hrs,diagonal widescreen TruBrite® TFT display at 1366 x 768 native resolution,750.0,5400RPM,SATA,6.0,10/100 Ethernet,Windows 7 Professional,DVD SuperMulti drive supporting 11 formats,1.70GHz,Intel i3,No,15.6,Laptop/Notebook,Everyday,1 Year,,,,,,No,Intel® HD graphics with shared graphics memory,No,3M,Microphone input/headphone out port,4 cell/45Wh Lithium ion battery,Black,14.96 ” x 10.2 ” x 1.05 ”,DDR3L,"1 x RGB , 1 x HDMI , Microphone input/headphone out port , RJ-45 LAN port","2 x USB 2.0 ports , 1 x USB 3.0",HD webcam with microphone,4.85 lbs .,Integrated,N/A,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HP ENVY x2 11.6"" Convertible Touch Screen Laptop | Staples®",Under 320GB,,,,,,,,,,,,,,,,,,,Intel,2GB,10.1 '' to 12.9 '',Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell E5420, 250GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Pro | Staples®",Under 320GB,,,,,,,,,,2.5GHz,Intel i5,,,,Business,,,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',,,,,,,,,,,,,,,,,,Intel Core i5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished HP 8440P 14"", 250GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Home | Staples®",Under 320GB,Up to 6 hours,LED-backlit HD+ anti-glare,250.0,7200RPM,SATA,4.0,Integrated Intel Gigabit Network Connection ; 56k Modem ; 802.11 Wireless,Windows 7,Combo Drive,2.4GHz,Intel i5,Yes,14,Laptop/Notebook,Everyday,1 year limited,,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,512 MB,Yes,3MB L3,Integrated HD audio,6 cell lithium ion,Silver,13.2 '' x 9.3 '' x 1.23 '',DDR3 SODIMM,"1 1394a port , 1 stereo microphone in , 1 sterep headphone/line out , 1 power connector , 1 display port , 1 VGA connector , 1 docking connector , 1 secondary battery connector",3 x USB 2.0,2 MP webcam,4.7 lbs .,Integrated Smart Card Reader,8GB,NVIDIA NVS 3100M graphics,Gray/Silver,Intel Core i5,,,,Mercury Silver,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
