<page title>,deal first added on,ean13,last updated,manufactured in,manufacturer,product name,product number mpn,retail price,upc,processor manufacturer,processor type,hard drive size,num of processors,processor speed,ram,ram type,computer hardware,ean14,operating system,weight,dimensions,modem,cddvd drive,floppy disk drive,hard drive,keyboard mouse,memory,processor,battery,camera,card reader,color,display,graphics,input output,storage,wireless,monitor resolution
HP Pavilion 17-e118dx Laptop on sale for $384.22,26-August-2014,0888182971017,01-November-2014,,Hewlett-Packard,"HP Pavilion 17-e118dx Laptop with 4GB RAM , 750GB HD , Windows 8.1",17-e118dx,$ 549.99,888182971017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Mini NB505-N508 10.1"" Netbook on sale for $591.99",17-January-2011,0883974683024,05-October-2014,,Toshiba,"Toshiba Mini NB505-N508 10.1 '' Netbook with Atom N455 ( Blue Backpanel , NB505-N508 )",NB505-N508BL,$ 299.99,883974683024.0,Intel,Intel Atom,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite L75D-A7283 17.3"" on sale for $449.99",4-August-2013,0022265507339,01-November-2014,,Toshiba,"Toshiba Satellite L75D-A7283 17.3 '' Notebook with AMD Quad-Core A4-5000M 1.5GHz , 6GB RAM , 750GB HD",,,22265507339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire 5742-6838 15.6"" Notebook on sale for $838.43",19-August-2011,0884483957781,01-November-2014,,Acer,"Acer Aspire 5742-6838 15.6 '' Notebook with Core i5-460M , 4GB RAM , 640GB HD , Win 7 Home Premium",LX.R4F02.373,$ 609.00,884483957781.0,Intel,unknown,0 Gb,1.0,0 Mhz,0 Mb,unknown,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad S400 14"" Notebook PC on sale for $475.49",14-February-2014,0887942693343,01-November-2014,,Lenovo,"Lenovo IdeaPad S400 14 '' Notebook PC with i3-3217U , 4GB RAM , 500GB HD ( 59387104 )",59387104,$ 610.99,887942693343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite C855D-S5320 15.6"" on sale for $249.00",3-April-2013,0022265259924,01-November-2014,,Toshiba,Toshiba Satellite C855D-S5320 15.6 '' Notebook ( Satin Black Trax ),PSCBQU-00E007,$ 389.99,22265259924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer C720 Chromebook on sale for $159.81,7-August-2014,0887899402517,01-November-2014,,Acer,"Acer C720 Chromebook ( 11.6 '' , 2GB RAM , 32GB SSD Hard Drive )",C720-2420,$ 249.99,887899402517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air MD224LL/A 11.6"" on sale for $867.48",1-October-2012,0885909523498,01-November-2014,,Apple,Apple MacBook Air MD224LL/A 11.6 '' Notebook ( released Summer 2012 ),MD224LL/A,$ 1099.00,885909523498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Satellite C55-B5299 15.6"" LED Notebook on sale for $193.19",27-August-2014,0022265805107,01-November-2014,,Toshiba,"Satellite C55-B5299 15.6 '' LED Notebook with Celeron N2830 2.16 GHz , 2GB RAM , 500GB HD , Windows 8.1 Bing",PSCMLU-02801M,$ 281.99,22265805107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony mylo Personal Communicator COM-1 on sale for $399.00,24-August-2006,0027242692688,01-November-2014,,Sony,Sony mylo Personal Communicator COM-1 2.4 '' LCD ( Black ),COM1BLACK,$ 623.99,27242692688.0,,,,,,,,Notebook Computer,27242692688.0,No Operating System,7 lbs .,,,,,,,,,,,,,,,,,,
"Asus X55C 15.6"" Notebook on sale for $558.48",4-August-2013,0886227430208,01-November-2014,,Asus,"Asus X55C 15.6 '' Notebook with Core i3 , 4GB RAM , 500GB HD , Windows 8 ( X55C-DS31 )",X55C-DS31,$ 449.00,886227430208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro MD103LL/A 15.4"" on sale for $1079.99",11-December-2012,0885909531677,01-November-2014,,Apple,Apple MacBook Pro MD103LL/A 15.4 '' Notebook ( June 2012 ),MD103LL/A,$ 1799.00,885909531677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Transformer Book T100TA-C1-GR 10.1"" on sale for $274.26",24-November-2013,0886227605965,05-October-2014,Made in China,Asus,ASUS Transformer Book T100TA-C1-GR 10.1 '' Convertible 2-in-1 Touchscreen Laptop,T100TA-C1-GR,$ 399.00,886227605965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron i15-2255bk Notebook on sale for $428.98,21-October-2013,0884116104629,01-November-2014,,Dell,"Dell Inspiron i15-2255bk Notebook with Core i3 , 500GB HD , 4GB Ram , Windows 8",,,884116104629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire AOD270-1375 10.1"" Netbook",23-November-2012,0886541396105,01-November-2014,,Acer,"Acer Aspire AOD270-1375 10.1 '' Netbook ( Intel Atom N2600 , 1GB DDR3 SDRAM , 320GB HD , Windows 7 )",AOD270-1375 ; LU .,$ 362.87,230494861898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13.3"" Laptop on sale for $1025.95",18-June-2014,0885909943210,05-October-2014,Made in Germany,Apple,"Apple MacBook Air 13.3 '' Laptop with 256GB SSD ( 2014 Version , MD761LL/B )",MD761LL/B,$ 1199.00,885909943210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 15R 15.6"" HD Touchscreen on sale for $449.99",16-June-2014,0884116136897,01-November-2014,,Dell,"Dell Inspiron 15R 15.6 '' HD Touchscreen Laptop with Core i5 1.6GHz , 500GB HDD , 6GB RAM , Windows 8.1 ( I15RM-5128SLV )",Inspiron 15R 15,,884116136897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X550LA-DH71 15.6"" Laptop on sale for $569.00",27-March-2014,0886227583539,01-November-2014,,Asus,"Asus X550LA-DH71 15.6 '' Laptop with Core i7 , 8GB RAM , 1TB HD , Windows 8",X550LA-DH71,$ 769.00,886227583539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer C720-2827 11.6"" Chromebook 2GB 16GB on sale for $149.94",18-September-2014,0887899479786,05-October-2014,,Acer,Acer C720-2827 11.6 '' Chromebook 2GB 16GB Notebook,,$ 229.00,887899479786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron i15N-2548BK 15"" Notebook on sale for $507.99",23-November-2012,0884116082576,01-November-2014,,Dell,Dell Inspiron i15N-2548BK 15 '' Notebook,i15N-2548BK,$ 549.99,884116082576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coby Kyros MID7015 7"" Android Internet on sale for $95.31",17-December-2010,0716829701508,01-November-2014,,Coby,Coby Kyros MID7015 7 '' Android Internet Tablet ( 4GB ),MID7015,$ 179.99,716829701508.0,unknown,unknown,0 Gb,1.0,0 Mhz,0 Mb,unknown,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire E5-571-588M 15.6"" Laptop on sale for $390.99",7-August-2014,,01-November-2014,,Acer,"Acer Aspire E5-571-588M 15.6 '' Laptop with Core i5-4210U 1.7GHz , 4GB RAM , 500GB HDD , Windows 8.1",E5-571-588M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X201E-DH01 11.6"" Mini Notebook on sale for $199.00",31-July-2013,0886227340675,01-November-2014,,Asus,"Asus X201E-DH01 11.6 '' Mini Notebook with Celeron 1.1GHz , 4GB RAM , 320GB HD , Ubuntu OS",X201E-DH01,$ 329.00,886227391868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus G750JW-DB71 G-Series 17.3"" Notebook on sale for $1099.00",27-March-2014,0886227497119,01-November-2014,,Asus,"Asus G750JW-DB71 G-Series 17.3 '' Notebook with Core i7 , 12GB RAM , 1TB HD , Windows 8",G750JW-DB71,$ 1399.00,726670285386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP ProBook 4530s 15.6"" Notebook on sale for $367.00",3-October-2012,0886112637811,01-November-2014,,Hewlett-Packard,"HP ProBook 4530s 15.6 '' Notebook ( 2.3GHz Intel Core i3-2350M , 4 GB RAM , 500 GB , Windows 7 Home Premium 64-bit )",A7K05UT # ABA,$ 603.95,886112637811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 15 15.6"" Laptop on sale for $279.44",5-April-2014,0884116136125,01-November-2014,,Dell,"Dell Inspiron 15 15.6 '' Laptop with 4GB RAM , 320GB HD , Windows 8 ( i15RV-1909BLK )",i15RV-1909BLK,$ 349.99,884116136125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppleCare Protection Plan for MacBook on sale for $279.59,2-December-2006,0885909141746,01-November-2014,,Apple,AppleCare Protection Plan for MacBook Pro/Powerbook MA515LL/A 3 Years,MA515LL/A,$ 349.00,885909141746.0,,,,,,,,,885909141746.0,"Mac OS XMacintosh , MacintoshMac OS X",1 lbs .,5.4 x 5.3 x 1.1 in .,,,,,,,,,,,,,,,,,
"HP Pavilion g6-2210us 15.6"" Laptop on sale for $469.99",11-December-2012,0683728160913,01-November-2014,,Hewlett-Packard,HP Pavilion g6-2210us 15.6 '' Laptop ( Black ),g6-2210us,$ 509.99,887111367815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus VivoBook Q200E-BSI3T08 11.6"" on sale for $339.98",30-August-2013,0886227392254,01-November-2014,,Asus,"Asus VivoBook Q200E-BSI3T08 11.6 '' Touchscreen Notebook with Core i3 , 4GB RAM , 500GB HD , Windows 8",,$ 799.99,886227392254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkPad X200 Tablet Laptop Computer on sale for $1609.00,12-November-2008,,01-November-2014,,Lenovo,ThinkPad X200 Tablet Laptop Computer with integrated graphics,X200_TABLET,$ 1894.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus N550JV-DB72T 15.6"" Touchscreen on sale for $699.00",27-March-2014,0886227503797,01-November-2014,,Asus,"Asus N550JV-DB72T 15.6 '' Touchscreen Notebook with Core i7 , 8GB RAM , 1TB HD , Windows 8",N550JV-DB72T,$ 1099.00,886227503797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite L755-S5271 15.6"" LED on sale for $649.99",26-July-2011,0883974833924,01-November-2014,,Toshiba,"Toshiba Satellite L755-S5271 15.6 '' LED Notebook with Core i3 , 4GB RAM , 640GB HD",PSK1WU-06W004,$ 629.99,883974833924.0,Intel,Intel Core i3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Satellite Pro Battery on sale for $50.87,29-November-2006,0842740010358,01-November-2014,,e-Replacements,Toshiba Satellite Pro Battery,,$ 179.92,842740010358.0,,,,,,,,,842740010358.0,,4 lbs .,,,,,,,,,,,,,,,,,,
Apple iPad on sale for $456.49,26-April-2010,0885909194322 0651219201100,01-November-2014,,Apple,"Apple iPad ( 16GB , Wi-Fi Version , # MB292LL/A )",MB292LL/A,$ 499.00,651219201100.0,"Transmeta , N/A",,16 Gb,1.0,,256 Mb,DIMM,,,,,,None,,,,,,,,,,,,,,,,
"Asus VivoBook S550CA-DS51T 15.6"" Notebook on sale for $885.90",4-August-2013,0886227425129,01-November-2014,,Asus,"Asus VivoBook S550CA-DS51T 15.6 '' Notebook with Core i5 , 6GB RAM , 500GB HD and 24GB SSD Cache , Windows 8",ASUS VivoBook S,$ 749.00,886227425129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air MD223LL/A 11.6"" Laptop on sale for $679.00",11-December-2012,0885909523481,01-November-2014,Made in Germany,Apple,"Apple MacBook Air MD223LL/A 11.6 '' Laptop with Core i5 , 64GB SSD ( June 2012 )",MD223LL/A,$ 999.00,885909523481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire AS5750Z-4835 15.6"" Notebook on sale for $627.67",12-June-2012,0886541505798,05-October-2014,,Acer,Acer Aspire AS5750Z-4835 15.6 '' Notebook,AS5750Z-4835,$ 429.99,886541505798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13.3"" Laptop on sale for $799.99",18-June-2014,0885909942763,05-October-2014,Made in Germany,Apple,"Apple MacBook Air 13.3 '' Laptop with 128 GB SSD ( 2014 Version , MD760LL/B )",MD760LL/B,$ 999.00,885909942763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro 13"" 2.3GHz Notebook on sale for $714.99",28-March-2011,0885909436705,01-November-2014,,Apple,"Apple MacBook Pro 13 '' 2.3GHz Notebook ( 2011 , MC700LL/A )",MC700LL/A,$ 1199.00,885909436705.0,Intel,Intel Core i5,320 Gb,2.0,2.3 GHz,4 Gb,SODIMM,,,,,,,,,,,,,,,,,,,,,,
"Sony VAIO VGN-TX650P/B 11.1"" Notebook PC on sale for $906.99",11-December-2005,0027242686137,01-November-2014,,Sony,"Sony VAIO VGN-TX650P/B 11.1 '' Notebook PC ( Intel Pentium M Processor 753 , 512 MB RAM , 60 GB Hard Drive , DVD+R Dbl Layer/DVD+/-RW Drive )",VGN-TX650P/B,$ 2310.00,27242686137.0,Intel,Intel Pentium M,60 Gb,1.0,,,DDR2 SDRAM,,,,6 lbs .,7.7 x 10.7 x 1.12 in .,Fax / modem / cellular modem,"Offering the latest in DVD writing technology , the multi-format DVD/CD drive is compatible with both DVD+ and DVD- disc formats as well as dual-layer DVD+R discs , which can store up to 8.5 GB of data . For both standard , single-layer DVD-RW and DVD+RW discs , it has a 8x write/4x rewrite speed , while double-layer DVD+R discs have a 2.4x write speed . For CDs , it has a 24x write/10x rewrite speed . It also has a separate DVD-ROM drive with 8x DVD read speed and 24x CD read speed .",None,"The 60 GB hard drive ( 4200 RPM ) is becoming the average size for notebook PCs , providing enough capacity for storing documents , digital media files , and productivity software .",This notebook has an 82-key keyboard with 1.7mm stroke and 17mm pitch and an electrostatic touchpad .,"The VGN-TX650P/B has two memory slots and comes loaded with 512 MB of DDR SDRAM ( PC3200 , 400 MHz DDR RAM ; 1 x 512 MB ) , and it can be expanded to a maximum of 1.5 GB .","The Intel Pentium M Processor Ultra Low Voltage 753 ( 1.20 GHz , 2MB L2 cache , 400 MHz FSB ) delivers outstanding mobile performance and low-power enhancements for sleeker , lighter notebook designs . The 1.2 GHz clock speed can be misleading -- for most tasks , this processor will be faster than a 1.6 GHz Pentium 4-M . It sits at the top of the spectrum for this processor class ( as of October 2005 ) .",,,,,,,,,,
"HP 15-f009wm 15.6"" Notebook PC on sale for $229.22",7-August-2014,0888793178164,01-November-2014,,Hewlett-Packard,"HP 15-f009wm 15.6 '' Notebook PC with 4GB RAM , 500GB Hard Drive , Webcam , Windows 8.1 ( J2V78UA )",15-f009wm,$ 399.99,888793178164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X750JA-DB71 17.3"" Notebook on sale for $778.99",27-March-2014,0886227545308,01-November-2014,,Asus,"Asus X750JA-DB71 17.3 '' Notebook with Core i7 , 8GB RAM , 1TB HD , Windows 8",X750JA-DB71,$ 829.00,886227545308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro MD102LL/A 13.3"" on sale for $801.99",1-October-2012,0885909583355,05-October-2014,,Apple,"Apple MacBook Pro MD102LL/A 13.3 '' Notebook with Core i7 , 750GB HD ( released Summer 2012 )",MD102LL/A,$ 1499.00,411378263568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X502 15.6"" Notebook on sale for $249.22",21-November-2013,0886227518654,01-November-2014,,Asus,"Asus X502 15.6 '' Notebook with Intel Celeron , 4GB RAM , 320GB HD , Windows 8 ( X502CA-BCL0901D )",X502CA-BCL0901D,$ 399.99,886227518654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite L755D-S5162 15.6"" on sale for $694.86",27-June-2012,0883974994847,01-November-2014,,Toshiba,Toshiba Satellite L755D-S5162 15.6 '' Notebook,PSK32U-06800N,$ 599.99,883974994847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony VAIO VGN-CR320E/P 14.1"" Laptop on sale for $1256.99",5-March-2008,0027242733244,01-November-2014,,Sony,"Sony VAIO VGN-CR320E/P 14.1 '' Laptop ( Intel Core 2 Duo T7250 Processor , 2 GB RAM , 250 GB Hard Drive , Vista Premium ) Pink",VGN-CR320E/P,$ 1349.09,27242733244.0,Intel,Intel Core Duo,,2.0,,,DDR2 SDRAM,,27242733244.0,,8 lbs .,9.8 x 13.2 x 1.67 in .,Fax / modem,,None,"The extra-large 250 GB Serial ATA hard drive ( 5400 RPM ) provides more than enough capacity for storing a large audio and video library , as well as extra space required for video editing . This SATA hard drive also quickens the pace with a higher speed transfer of data -- akin to FireWire and USB 2.0 .","This notebook has a standard 82-key keyboard ( 2mm stroke and 19.05mm pitch ) and electro-static two-button touchpad . Playback controls include play/pause , stop , forward , rewind , AV mode , mute , volume +/- , capture , and display off .","The 2 GB of installed RAM ( 2 x 1024 MB DDR2 ) will satisfy many users , but this notebook 's two DIMM slots have a maximum 4 GB RAM capacity -- perfect for high-end video editing and 3-D gaming . It also offers a top-of-class 667 MHz speed . To receive the faster data transfer benefits of the dual-channel DDR2 RAM , any RAM additions require memory modules of same capacity and clockspeed .","Smart Memory Access : Improves system performance by hiding memory latency , thus optimizing the use of available computer data bandwidth to provide data to the processor when and where it is needed . Advanced Digital Media Boost : Effectively doubles the execution speed for instructions used widely in multimedia and graphics applications . Dynamic Power Coordination : Coordinates Enhanced Intel SpeedStep Technology and idle power-management state ( C-states ) transitions independently per core to help save power . Deeper Sleep with Dynamic Cache Sizing : Saves power by flushing cache data to system memory during periods of inactivity to lower CPU voltage .",,,,,,,,,,
Lenovo IdeaPad Yoga 2 Pro Ultrabook on sale for $907.00,3-November-2013,0887942615840,01-November-2014,,Lenovo,"Lenovo IdeaPad Yoga 2 Pro Ultrabook Convertible 13.3 '' Touch-Screen Laptop with Core i7 , 8GB RAM",,,887942615840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 15 i15RV-6190BLK 15.6"" on sale for $422.48",4-August-2013,0884116108368,01-November-2014,,Dell,"Dell Inspiron 15 i15RV-6190BLK 15.6 '' Notebook with Pentium 1.8GHz , 4GB RAM , 500GB HD , Windows 8",i15RV-6190BLK,$ 431.99,884116108368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viewsonic G-Tablet 10"" Tablet on sale for $149.99",17-December-2010,0737839166620,01-November-2014,,Viewsonic,Viewsonic G-Tablet 10 '' Tablet with Android OS 2.2 ( 16GB ),Gtablet,$ 499.99,737839166620.0,,,16 Gb,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite C855D-S5339 15.6"" on sale for $319.99",23-November-2012,0022265306765,01-November-2014,Made in China,Toshiba,"Toshiba Satellite C855D-S5339 15.6 '' Laptop with 320GB HD , 2GB RAM , Windows 8",PSCBQU-006005,$ 356.99,22265306765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite P755-S5274 15.6"" LED on sale for $899.99",7-October-2011,0883974834372,01-November-2014,,Toshiba,Toshiba Satellite P755-S5274 15.6 '' LED Notebook,PSAY1U-01R005,$ 733.99,883974834372.0,Intel,Intel Core i5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus Taichi 21-DH51 11.6"" Convertible on sale for $499.00",4-August-2013,0886227316878,01-November-2014,,Asus,"Asus Taichi 21-DH51 11.6 '' Convertible Touch Ultrabook with Core i5 , 128GB SSD",Taichi21-DH51,$ 1299.00,886227316878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X53E-RS31 15.6"" Notebook on sale for $1021.48",3-July-2012,0886227046805,01-November-2014,,Asus,"Asus X53E-RS31 15.6 '' Notebook with Core i3 2.30GHz , 4GB RAM , 500GB HDD , Windows 7 Home Premium 64-Bit ( Upgradable to Windows 8 Pro )",,$ 617.35,886227046805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion Sleekbook 14-b010us 14"" on sale for $455.49",31-July-2013,0887111396747,01-November-2014,,Hewlett-Packard,"HP Pavilion Sleekbook 14-b010us 14 '' Notebook with Core i3 1.5GHz , 4GB RAM , 500GB HD , Windows 8",14-b010us,$ 589.99,887111396747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer C710 Chromebook 11.6"" Notebook on sale for $147.29",17-April-2014,0887899159305,01-November-2014,,Acer,"Acer C710 Chromebook 11.6 '' Notebook with 2GB RAM , 16GB Memory ( C710-2856 )",C710-2856,$ 228.00,887899159305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite C55D-A5240NR 15.6"" on sale for $219.99",4-August-2013,0022265521946,01-November-2014,,Toshiba,"Toshiba Satellite C55D-A5240NR 15.6 '' Notebook with AMD E1 1.4GHz , 4GB RAM , 500GB HD , Windows 8",PSCHWU-00H00G,$ 434.99,22265521946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air MC505LL/A 11"" 64GB on sale for $1104.88",28-March-2011,0885909422586,01-November-2014,Made in Germany,Apple,Apple MacBook Air MC505LL/A 11 '' 64GB Notebook,MC505LL/A,$ 999.00,885909422586.0,Intel,Intel Core 2 Duo,64 Gb,2.0,1.83 GHz,2 Gb,DDR2 SDRAM,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air MD711LL/A 11.6"" on sale for $785.95",25-June-2013,0885909630400,01-November-2014,Made in Germany,Apple,Apple MacBook Air MD711LL/A 11.6 '' Notebook ( 2013 Version ),MD711LL/A,$ 999.00,885909630400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 15 i15RV-10000 15.6"" Laptop on sale for $567.37",22-April-2013,0884116108382,01-November-2014,,Dell,Dell Inspiron 15 i15RV-10000 15.6 '' Laptop ( Matte Black ),i15RV-10000BLK,$ 599.99,884116108382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Yoga 2 13"" MultiTouch on sale for $899.99",8-August-2014,0888228814513,01-November-2014,,Lenovo,"Lenovo Yoga 2 13 '' MultiTouch with Core i5 , 500GB HD , 4GB RAM , WIndows 8.1 ( Black , 59402636 )",,,888228814513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS N61JQ-X1 16"" Intel Core i7 on sale for $1708.49",9-March-2010,0884840565635,01-November-2014,,Asus,ASUS N61JQ-X1 16 '' Intel Core i7 Entertainment Notebook,N61JQ-X1,$ 999.00,884840565635.0,Intel,Intel Core i7,,,2.8 GHz,,,,,,,,,,,,,,,,,,,,,,,,
"Asus Vivobook V551LB-DB71T 15.6"" on sale for $714.99",24-March-2014,0886227507290,01-November-2014,,Asus,"Asus Vivobook V551LB-DB71T 15.6 '' Touchscreen Laptop with Core i7 , 8GB RAM , 1TB HD , Windows 8",V551LB-DB71T,$ 999.00,886227507290.0,,,,,,,,,,: Windows 8 ( 64 bit ),: 5.3 lbs,: 15.0 '' x 10.2 '' x 0.8 '' ~ 0.9 '' ( W x D x H ),,,,,,: 8GB DDR3,: Intel® Core™ i7-4500U Processor ( 2.7GHz ),: Up to 5 hours life1,: HD Camera,: SD card reader,: Silver,: 15.6 '' LED backlit HD ( 1366x768 ) capacitive touch panel,: NVIDIA® GeForce® GT 740M with 2GB DDR3 VRAM,1 x Audio jack combo 1 x HDMI port 1 x RJ45 1 x USB 2.0 port 2 x USB 3.0 port,: 1TB ( 5400 RPM ) 32GB ASUS WebStorage2,: 802.11 b/g/n ; Bluetooth 4.0,
Lenovo IdeaPad Y550 HD Entertainment on sale for $779.00,18-August-2009,0026010003756,01-November-2014,,Lenovo,Lenovo IdeaPad Y550 HD Entertainment Notebook ( 418644U ),,$ 799.00,26010003756.0,Intel,Intel Core 2 Duo,320 Gb,1.0,2 GHz,4 Gb,DDR3 SDRAM,,,,,,,,,,,,,,,,,,,,,,
