Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
27,27,2001-02-24,25-108,ATL,@,DEN,L (-3),1,37:00,2,6,.333,0,1,.000,2,2,1.000,0,3,3,10,2,0,1,4,6,9.9,+3
28,28,2001-02-26,25-110,ATL,@,UTA,L (-17),1,26:00,3,8,.375,0,0,,0,2,.000,1,5,6,2,0,0,2,1,6,2.0,-21
29,29,2001-02-28,25-112,ATL,,TOR,L (-7),1,41:00,9,15,.600,0,1,.000,2,2,1.000,0,3,3,8,2,0,3,2,20,17.8,-1
30,30,2001-03-02,25-114,ATL,,CHH,L (-6),1,22:00,1,5,.200,0,0,,0,0,,1,0,1,6,0,0,0,4,2,2.2,-9
31,31,2001-03-03,25-115,ATL,@,SAS,L (-29),1,33:00,6,11,.545,0,0,,0,0,,0,2,2,6,5,0,1,2,12,14.7,-22
32,32,2001-03-05,25-117,ATL,,UTA,L (-7),1,40:00,4,9,.444,0,0,,6,6,1.000,0,3,3,6,1,0,3,1,14,12.0,-5
33,33,2001-03-07,25-119,ATL,,HOU,L (-6),1,29:00,3,10,.300,0,0,,0,0,,1,3,4,7,3,0,1,5,6,6.7,-6
34,34,2001-03-09,25-121,ATL,@,PHI,L (-5),1,29:00,0,4,.000,0,0,,0,0,,0,5,5,8,2,0,0,3,0,5.1,-14
35,35,2001-03-10,25-122,ATL,,CHI,W (+3),1,34:00,3,5,.600,0,0,,0,0,,0,5,5,5,2,0,3,0,6,7.7,+12
36,36,2001-03-13,25-125,ATL,,VAN,W (+10),1,34:00,4,5,.800,0,0,,2,2,1.000,1,2,3,7,3,0,1,5,10,14.3,+10
37,37,2001-03-16,25-128,ATL,@,IND,L (-6),1,7:00,0,1,.000,0,0,,0,0,,0,2,2,1,3,0,0,1,0,3.2,+1
38,38,2001-03-17,25-129,ATL,,DET,L (-16),1,37:00,2,7,.286,0,0,,0,0,,0,2,2,2,1,0,2,4,4,-0.7,-6
39,39,2001-03-19,25-131,ATL,,LAL,W (+2),1,35:00,4,8,.500,0,0,,0,0,,1,1,2,8,5,0,1,4,8,13.0,0
40,40,2001-03-22,25-134,ATL,,SAS,L (-14),1,21:00,0,4,.000,0,0,,0,0,,1,2,3,2,1,0,0,1,0,0.5,-10
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2001-03-23,25-135,ATL,@,TOR,L (-26),1,28:00,3,5,.600,0,0,,0,0,,0,1,1,5,0,0,3,1,6,4.1,-25
42,42,2001-03-25,25-137,ATL,@,MIL,L (-7),1,27:00,5,11,.455,0,0,,0,0,,0,1,1,7,1,0,3,3,10,6.3,-4
43,43,2001-03-27,25-139,ATL,,BOS,L (-3),1,7:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,-2
44,44,2001-03-29,25-141,ATL,,IND,W (+11),1,27:00,1,3,.333,0,0,,0,0,,0,3,3,9,2,0,1,5,2,6.5,+17
45,45,2001-03-31,25-143,ATL,,DEN,W (+11),1,18:00,0,2,.000,0,0,,0,0,,1,2,3,4,1,0,2,3,0,0.5,-3
46,46,2001-04-05,25-148,ATL,@,DAL,L (-14),1,27:00,6,11,.545,0,1,.000,0,0,,0,2,2,3,2,0,5,2,12,5.6,-15
47,47,2001-04-07,25-150,ATL,@,HOU,L (-13),1,22:00,2,7,.286,0,0,,0,0,,0,4,4,7,2,0,0,1,4,7.6,-4
48,48,2001-04-09,25-152,ATL,@,DET,L (-12),1,34:00,2,6,.333,0,0,,2,2,1.000,0,4,4,7,2,0,4,3,6,5.5,-8
49,49,2001-04-11,25-154,ATL,,CLE,W (+5),1,29:00,2,5,.400,0,0,,0,0,,0,1,1,12,1,0,2,4,4,7.4,-4
50,50,2001-04-13,25-156,ATL,@,NYK,L (-36),1,30:00,2,7,.286,0,0,,1,1,1.000,1,1,2,4,4,0,5,3,5,2.5,-29
51,51,2001-04-14,25-157,ATL,,DET,L (-5),1,45:00,5,11,.455,0,0,,5,6,.833,1,2,3,11,7,0,2,5,15,20.9,0
52,52,2001-04-16,25-159,ATL,@,CHH,L (-23),1,22:00,3,8,.375,0,0,,2,2,1.000,0,2,2,4,1,0,0,2,8,7.2,-25
53,53,2001-04-17,25-160,ATL,,WAS,W (+3),1,23:00,3,6,.500,0,0,,0,0,,2,2,4,13,3,0,1,4,6,14.5,+21
