<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,builtin devices,certifications standards,colour,colour support,contrast ratio,depth,display orientation,displayport,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,hdmi,headphone,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,number of speakers,operating power consumption,package contents,panel technology,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,speakers,standard refresh rate,standby power consumption,usb,usb standard,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,depth with stand,height with stand,input voltage,screen surface,width with stand,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,horizontal frequency,maximum adjustable height,offmode power consumption,product series,webcam,swivel angle,tilt angle,weight with stand approximate,energy consumption per year,energy efficiency class,mount type,full product specifications,postconsumerwaste,3d type,recycled,recycled content,network rj45,packaged quantity,thunderbolt,component video,composite video,superb performance,versatile connections,full datasheet accessories features,mfr code,product,product code,stock,additional information,svideo
"221B3LPCB/02, 2541424, Philips, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Philips,250 cd/mÂ²,USB Hub Speaker,CEBSMIFCC Class BGOSTSEMKOTUV/GSTUV ErgoUL/cUL,Black,16.7 Million Colours,"1,000:1",59 mm,,,Yes,SmartTouch SmartImage PowerSensor Security Lock,EPEAT Gold TCO Certified Displays 5.1 RoHS ENERGY STAR 5.0,Yes,Yes,,Yes,323 mm,176Â°,,Philips Electronics,221B3LPCB/02,1920 x 1080,1.0,2.0,17.80 W,,,Mac PC,Brilliance,221B3LPCB,"LCD Monitor, LED Backlight with PowerSensor",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,60 Hz,100 mW,Yes,USB 2.0,170Â°,Yes,100 x 100,Yes,3.40 kg,507 mm,227 mm,480 mm,220 V AC 110 V AC,,507 mm,,,,,,,B,,,,5.30 kg,,,,,,,,,,,,,,,,,,,,,,
"HS241HPB, V320109, Hannspree, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Hanns.G,250 cd/mÂ²,Speaker,FCC UL/CUL CE CB 3C GS,Black,16.7 Million Colours,"80,000,000:1",220 mm,,,Yes,Eco Mode Security Lock,TCO Certified Displays 6.0 ENERGY STAR China Energy Label (CEL),Yes,Yes,Yes,,399 mm,178Â°,3 Year,"Hannspree, Inc",HS241HPB,1920 x 1080,1.0,2.0,,HS241HPB Widescreen LCD Monitor Power Cable (1.5M) VGA Cable (1.5M) Audio Cable (1.5M) User Manual(CD) Quick Start Guide(Paper),In-plane Switching (IPS) Technology,PC,,HS241HPB,HS241HPB Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",Yes,60 Hz,,,,178Â°,Yes,100 x 100,Yes,4.50 kg,561 mm,,,230 V AC 120 V AC,Anti-glare,,,,,,,,HS,,,-5Â°to15Â°,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"UM.HV6EE.013, 8654J44, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,300 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",,,,Yes,,TCO Certified Displays 6.0 EPEAT Gold,Yes,Yes,,,,178Â°,3 Year,"Acer, Inc",UM.HV6EE.013,1920 x 1080,1.0,,28.50 W,V276HL Widescreen LCD MonitorPower Cord1 x VGA Cable,Vertical Alignment (VA),,,V276HL,V276HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"68.6 cm (27"")",,60 Hz,450 mW,,,178Â°,Yes,100 x 100,Yes,,,,,220 V AC 110 V AC,Anti-glare,,,,,,No,350 mW,V,,No,-5Â°to25Â°,,,,,,,,,,,,,,,,,,,,,,,
"25UM65-P, 3003553, LG Electronics, LCD Monitor, Itenergy Ltd",,,,21:9,LED,LG,,Speaker,,Black,,,,,Yes,Yes,Mobile High-Definition Link (MHL),,,,Yes,,,,,LG Electronics,25UM65-P,2560 x 1080,1.0,2.0,,,In-plane Switching (IPS) Technology,,,25UM65-P,25UM65-P Widescreen LCD Monitor,LCD Monitor,5 ms,UW-UXGA,"63.5 cm (25"")",Yes,,,Yes,USB 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"247E4LHAB/00, 2689199, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,250 cd/mÂ²,Speaker,BSMICCCCE MarkFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL/cUL,Glossy Black,16.7 Million Colours,"10,000:1",39 mm,,,,SmartImage Touch Controls Security Lock,EPEAT Silver ENERGY STAR 6.0 TCO Certified Displays 6.0 WEEE RoHS,Yes,,Yes,Yes,348 mm,178Â°,,Philips Electronics,247E4LHAB/00,1920 x 1080,1.0,2.0,17.20 W,,,Mac PC,E-line,247E4LHAB,LCD Monitor With SmartImage Lite,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",Yes,60 Hz,500 mW,,,170Â°,,,Yes,3.16 kg,557 mm,193 mm,434 mm,220 V AC 110 V AC,,557 mm,,,,,,300 mW,,,,,3.44 kg,,,,,,,,,,,,,,,,,,,,,,
"210-ABRO, 0912943, Dell, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Dell,300 cd/mÂ²,USB Hub,,Black,16.7 Million Colours,"2,000,000:1",46 mm,,Yes,Yes,,RoHS CECP TCO Certified Displays ENERGY STAR 6.0 EPEAT Gold China Energy Label (CEL),Yes,,,,380 mm,,3 Year,"Dell, Inc",210-ABRO,1920 x 1080,1.0,,43 W,27 Monitor - P2714H VGA Cable DisplayPort Cable DVI-D Cable USB Cable,,,,P2714H,27 Monitor - P2714H,LCD Monitor,8 ms,Full HD,"68.6 cm (27"")",,,,Yes,,,Yes,,Yes,4.56 kg,641.4 mm,203.96 mm,538.99 mm,,,641.35 mm,"Built to comply with the latest environmental and
regulatory standards and protected by a Premium Panel Guarantee and
Advanced Exchange Service.","Fully adjustable stand and a comprehensive set of analog and
digital connectivity ports and cables.","Full HD 1920 x 1080 resolution with an ultra-wide
178Â°/178Â° viewing angle.",,,,,,,,,,,,Click to view,25%,,,,,,,,,,,,,,,,,
"UM.CV6EE.013, 2716783, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,5:4,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",52 mm,,,Yes,,TCO Certified Displays 6.0 EPEAT Gold,Yes,Yes,,,337 mm,170Â°,3 Year,"Acer, Inc",UM.CV6EE.013,1280 x 1024,1.0,,15.80 W,V196LWidescreen LCD MonitorPower Cord1 x VGA Cable,Twisted Nematic Film (TN Film),,,V196L,V196L LCD Monitor,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,75 Hz,450 mW,,,160Â°,Yes,100 x 100,Yes,2.70 kg,406.4 mm,207 mm,408 mm,110 V AC 220 V AC,Anti-glare,406.40 mm,,,,,No,350 mW,V,,No,-5Â°to25Â°,3.10 kg,,,,,,,,,,,,,,,,,,,,,,
"E2480HS-B1, IIYNOT004, Iiyama, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,iiyama,300 cd/mÂ²,Speaker,CETUV-GSCU,Black,16.7 Million Colours,"1,000:1",213.5 mm,,,Yes,Security Lock,ENERGY STAR TCO Displays 5.0,Yes,Yes,Yes,,401 mm,170Â°,3 Year,"iiyama North America, Inc",E2480HS-B1,1920 x 1080,1.0,2.0,22 W,ProLite E2480HSPower CableVGA Cable (D-Sub)DVI CableAudio CableCable HolderStand FootFootQuick Start GuideSafety Guide,,PC Mac,ProLite,E2480HS,ProLite E2480HS,LCD Monitor,2 ms,Full HD,"61 cm (24"")",Yes,75 Hz,1 W,,,160Â°,Yes,100 x 100,Yes,4.30 kg,571.5 mm,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,Desk Mountable Wall Mountable,,,,,,,,,,,,,,,,,,,
"P2252HS-B1, 2792861, Iiyama, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,iiyama,225 cd/mÂ²,Speaker,,,16.77 Million Colors,"1,000:1",,,,Yes,,ENERGY STAR,Yes,Yes,Yes,Yes,,170Â°,,"iiyama North America, Inc",P2252HS-B1,1920 x 1080,1.0,2.0,18 W,,,,ProLite,P2252HS-B1,ProLite P2252HS-B1 Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,75 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,,,195 mm,382.50 mm,220 V AC 110 V AC,,516.50 mm,,,,,,,,,,,4.50 kg,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"LS22C150NS/EN, 886J914, Samsung, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Samsung,200 cd/mÂ²,,,Shiny Black,16.7 Million Colours,700:1,53 mm,,No,No,MagicTune MagicBright3 Off Timer Magic Upscale Eco Saving Eco Mode,ENERGY STAR 6.0,Yes,,,,311 mm,90Â°,3 Year,Samsung,LS22C150NS/EN,1920 x 1080,1.0,,18 W,S22C150N Widescreen LCD Monitor D-sub cable Quick Setup Guide,,Mac PC,,S22C150N,S22C150N Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",No,,300 mW,No,,65Â°,,,Yes,2.70 kg,512 mm,197 mm,385 mm,220 V AC 110 V AC,,512 mm,,,,,,300 mW,,,,,3.10 kg,,,,,,No,,,,,,,,,,,,,,,,
"60B0HAT1UK, 2895265, Lenovo, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Lenovo,250 cd/mÂ²,,China Energy standard Tier 1 VOC test TUV Ergo DDC/CI ISO 9241-307,Raven Black,16.7 Million Colours,"1,000:1",167.2 mm,,,Yes,Security Lock,EU RoHS Turkey RoHS China RoHS EPEAT Silver TCO Certified Displays 6.0 ENERGY STAR 6.0 Ukraine RoHS RoHS,Yes,,,,399 mm,90Â°,3 Year,Lenovo Group Limited,60B0HAT1UK,1920 x 1080,1.0,,21 W,,Twisted Nematic Film (TN Film),PC,ThinkVision,E2323,ThinkVision E2323 Wide 23-Inch FHD WLED Backlit LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,75 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,3.55 kg,548.5 mm,,,220 V AC 110 V AC,,,,,,,,500 mW,,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"UM.VG6EE.B01, 8653C88, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,,,,,,"100,000,000:1",,,,Yes,,,,,Yes,,,,,"Acer, Inc",UM.VG6EE.B01,1920 x 1080,1.0,,22.01 W,,Twisted Nematic Film (TN Film),,,G236HLBBID,G236HLBBID Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,450 mW,,,,No,,,,,,,,,,,,,,No,400 mW,,,No,-5Â°to15Â°,,30 kWh,A,,,,,,,,,,,,,,,,,,,,
"9H.L7CLA.TBU, BENNOT056, BenQ, LCD Monitor, Itenergy Ltd",Yes,No,,16:9,LED,BenQ,250 cd/mÂ²,Speaker,,Glossy Black,16.7 Million Colours,"1,000:1",179.1 mm,,,Yes,Eco Mode Security Lock Senseye 3,ENERGY STAR 5.0 TCO Displays 5.0,Yes,Yes,Yes,,436.5 mm,170Â°,,BenQ Corporation,9H.L7CLA.TBU,1920 x 1080,1.0,2.0,42 W,,,PC,,GL2450HM,GL2450HM Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"61 cm (24"")",Yes,,300 mW,,,160Â°,Yes,100 x 100,Yes,4.10 kg,579.4 mm,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"19B4LCB5/00, 2905225, Philips, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,5:4,LED,Philips,250 cd/mÂ²,Speaker,BSMI CE Mark cETLus FCC Class B GOST SEMKO TUV Ergo TUV/GS,Textured Black,16.7 Million Colours,"1,000:1",61 mm,Landscape/Portrait,,Yes,Security Lock TrueVision Eco Mode Sync on Green Cable Management SmartPower SmartErgoBase SmartControl SmartImage,ENERGY STAR 6.0 RoHS TCO Certified Displays 6.0 EPEAT Gold WEEE,Yes,Yes,,Yes,346 mm,170Â°,,Philips Electronics,19B4LCB5/00,1280 x 1024,1.0,2.0,14 W,,,PC Mac,Brilliance,19B4LCB5,"Brilliance LCD Monitor, LED Backlight with SmartImage",LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",Yes,60 Hz,100 mW,,,160Â°,Yes,100 x 100,Yes,2.71 kg,404 mm,227 mm,404 mm,110 V AC 220 V AC,,506 mm,,,,,,100 mW,B,,,,4.61 kg,,,,,,,Yes,25%,,,,,,,,,,,,,,
"861-10383, 0912945, Dell, LCD Monitor, Itenergy Ltd",,,,16:10,LED,Dell,250 cd/mÂ²,USB Hub,,Silver,16.78 Million Colors,"2,000,000:1",59.8 mm,,Yes,Yes,,TCO Certified Displays China Energy Label (CEL) ENERGY STAR EPEAT Gold,Yes,,,,332.7 mm,,3 Year,"Dell, Inc",861-10383,1680 x 1050,1.0,,45 W,"Professional P2213 56cm (22"") Monitor with LED Stand Power cable DVI cable USB cable VGA cable Drivers and documentation media Quick setup guide Safety information",,,Professional,P2213,"Professional P2213 56cm (22"") Monitor with LED",LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",,,,Yes,,,Yes,,Yes,3.43 kg,510.4 mm,183.30 mm,497.40 mm,,,510.40 mm,,,,,,,,,,,,,,,Click to view,25%,,,,,,,,,,,,,,,,,
"60A1MAT2UK, 2746619, Lenovo, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Lenovo,250 cd/mÂ²,,,,16.7 Million Colours,"1,000:1",,,,,,,,,,,,,,Lenovo Group Limited,60A1MAT2UK,1920 x 1080,1.0,,,,,,ThinkVision,LT2223p,ThinkVision LT2223p 21.5-Inch FHD LED Backlit LCD Monitor,LCD Monitor,,Full HD,"54.6 cm (21.5"")",,,,,,160Â°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.BV6EE.005, ACEV176LBMD, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,5:4,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",55 mm,,,Yes,,EPEAT Gold TCO Certified Displays 6.0,Yes,Yes,,,308.7 mm,170Â°,3 Year,"Acer, Inc",UM.BV6EE.005,1280 x 1024,1.0,,13 W,V176L LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,,V176L,V176L LCD Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",Yes,75 Hz,450 mW,,,160Â°,Yes,100 x 100,Yes,2.20 kg,369 mm,191 mm,394.50 mm,220 V AC 110 V AC,Anti-glare,369 mm,,,,,No,350 mW,V,,No,-5Â°to25Â°,2.60 kg,,,,,,,,,,,,,,,,,,,,,,
"UM.WW3EE.001, 2975740, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,200 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",52 mm,,,Yes,,MPR II,Yes,Yes,No,,304.5 mm,90Â°,2 Year,"Acer, Inc",UM.WW3EE.001,1920 x 1080,1.0,,18.10 W,K222HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,,K222HQL,K222HQL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",No,60 Hz,450 mW,,,65Â°,,,Yes,2.70 kg,508 mm,207 mm,390.50 mm,110 V AC 220 V AC,Anti-glare,508 mm,,,,,,350 mW,K,,No,-5Â°to25Â°,3.10 kg,29 kWh,A,,,,,,,,,,,,,,,,,,,,
"246V5LHAB/00, 2716391, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,250 cd/mÂ²,Speaker,GOSTPSBSASOBSMICE MarkuETLusFCC Class BSEMKOTUV/ISO9241-307,Glossy Black,16.7 Million Colours,"1,000:1",63 mm,,,,Sync on Green SmartContrast Security Lock,TCO Certified Displays WEEE EPEAT Silver ENERGY STAR 6.0 RoHS,Yes,,Yes,Yes,354 mm,170Â°,3 Year,Philips Electronics,246V5LHAB/00,1920 x 1080,1.0,2.0,21.75 W,,,PC Mac,,246V5LHAB,LCD Monitor with SmartControl Lite,LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,60 Hz,300 mW,,,160Â°,Yes,100 x 100,Yes,4.22 kg,565 mm,238 mm,435 mm,110 V AC 220 V AC,,565 mm,,,,,,500 mW,V,,,,4.65 kg,,,,,,,,,,,,,,,,,,,,,,
"R20MBEU, S601JD7, Lenovo, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,Lenovo,300 cd/mÂ²,USB Hub,ISO 9241-307FCC Class BULE GoldCEBSMIGOSTNEMKONOMSABSSASOIEC 60950CCCPSBIRAMJEITAcTUVus,Black,16 Million Colours,"1,000:1",257.3 mm,,Yes,Yes,Security Lock,TCO Certified Displays 5.2 RoHS WEEE MPR II EPEAT Gold TCO Certified Edge Displays 1.1 ENERGY STAR 5.1,Yes,Yes,,,394.8 mm,178Â°,3 Year,Lenovo Group Limited,R20MBEU,1920 x 1200,1.0,,40 W,,In-plane Switching (IPS) Technology,PC,ThinkVision,LT2452p,ThinkVision LT2452p Widescreen LCD Monitor,LCD Monitor,7 ms,WUXGA,"61 cm (24"")",,75 Hz,500 mW,Yes,USB 2.0,178Â°,Yes,100 x 100,Yes,6.67 kg,559.6 mm,,,110 V AC 220 V AC,Anti-reflective Anti-glare,,,,,,,,,,,,,,,Wall Mountable Desk Mountable,,,,Yes,Plastic,,,,,,,,,,,,,,
