<page title>,aspect ratio,backlight technology,brightness,cables included,colour,colour support,compliant standards,contrast ratio,description technical detail,diagonal size,dimensions weight details,dimensions wxdxh,display position adjustments,display type,energy star qualified,features,flat panel mount interface,horizontal viewing angle,interfaces,localisation,manufacturer,manufacturer part,native resolution,panel type,power consumption operational,power consumption sleep,power consumption stand by,response time,tilt angle,vertical viewing angle,voltage required,weight,device type,environmental standards,height adjustment,horizontal refresh rate,humidity range operating,image colour disclaimer,input connectors,manufacturer warranty,max operating temperature,min operating temperature,pixel per inch,pixel pitch,product description,service support,service support details,vertical refresh rate,viewable size,backlight life,builtin devices,controls adjustments,included software,power supply,rotation angle,screen coating,swivel angle,colour temperature,included accessories,os required,output power channel,type,active screen area,backlight type,brightness maximum,brightness typical,contrast ratio typical,displayable colors,net with stand,net without stand,orientation,panel technology,pixels per inch,refresh rate,response timegray to gray,viewable image size,viewing angle,connector type,depth,diagonal size cm,dimensions,display format,enclosure colour,energy star version,hdmi ports qty,height,image aspect ratio,image contrast ratio,input video formats,lcd backlight technology,lcd display technology,output power total,pc interface,product type,remote control,resolution,speaker system,speakers,supported computer resolutions,supported pictures formats,targeting,technology,tv tuner,usb port,video interface,viewing angle vertical,width,compatible with windows 7,epeat compliant,movement detection technology,energy class,colour depth,dimensions w x h x d,dot pitch,horizontal frequency,native maximum resolution,power consumption,vertical frequency,viewable area,viewing angle leftright updown,power consumption stand by sleep,analogue video signal,display positions adjustments,dot pitch pixel pitch,form factor,image brightness,image max hview angle,image max vview angle,max sync rate v x h,osd languages,signal input,video bandwidth,microsoft certification,mounting kit,mtbf,expansion slots,external speakers amplifier power total,max hsync rate,max vsync rate,nominal voltage,power,sound output mode,stand,analogue video input signals,hdcp compatible,power device,series,max resolution,certified for windows vista,video wall components qty,connectivity,lan protocol,combined with,colour temperature control,motion enhancement technology,brightness wtouchscreen,supported windows 7 features,depth shipping,height shipping,weight shipping,width shipping
"NEC-60003681-NEC MultiSync E243WMI-BK - 23.8"" - LED-Backlit LCD Monitor",Widescreen - 16:9 Widescreen - 16:9,WLED,250 cd/m2 250 cd/m2,1 x VGA cable ¦ 1 x DVI cable ¦ 1 x audio cable,Black Black,16.7 million colours 16.7 million colours,"DDC-2B, VESA DPMS, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0 DDC-2B, VESA DPMS, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0",1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),"NEC MultiSync E243WMI-BK - 23.8"" - LED-Backlit LCD Monitor
The 23.8"" NEC MultiSync E243WMi is an LED-backlit desktop monitor ideal for corporate environments. Designed to enhance work performance, this widescreen model features AH-IPS panel technology with wide viewing angles (178Â° horizontal/vertical) and full ergonomic adjustability. The LED backlighting of the E243WMi allows for a slimmer profile, lighter weight and increased power savings compared to previous generation models. This 16:9, Full HD display also features a comprehensive input panel, including DisplayPort, DVI-D and VGA connecting users to the latest peripherals and future-proofs the investment. Integrated multimedia speakers enhance the user's experience.","23.8""",Without stand - width: 55.78 cm - depth: 5.85 cm - height: 33.14 cm - weight: 4.3 kg ¦ With stand - width: 55.78 cm - depth: 21.39 cm - height: 37.96 cm - weight: 6.3 kg,55.78 cm x 21.39 cm x 37.96 cm - with stand 55.78 cm x 21.39 cm x 37.96 cm - with stand,"Height, pivot (rotation), swivel, tilt Height, pivot (rotation), swivel, tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"Cable organizer Ambient light sensor, XtraView, AccuColor Control Systems, Rapid Response, No Touch Auto Adjust, Ambix, Intelligent Power Manager (IPM), HDCP, Eco-Mode, Dynamic Visual Mode, OSD lock, Touch-sensitive OSD, Carbon Footprint Meter, NaViSet Administrator 2",100 x 100 mm,178,DisplayPort ¦ DVI-D ¦ VGA ( HD-15 ) ¦ Headphones ¦ Audio line-in,,NEC,60003681,FullHD 1920 x 1080 FullHD 1920 x 1080,IPS IPS,19 Watt,,0.4 Watt,6 ms 6 ms,,178,,6.3 kg 6.3 kg,"LED-backlit LCD monitor - 23.8""",ENERGY STAR Qualified,110 mm,31.5 - 81.1 kHz,20 - 80%,,"DVI-D, VGA, DisplayPort",3 years warranty,35 °C,5 °C,93 ppi,0.28 mm 0.28 mm,"NEC MultiSync E243WMI-BK - LED monitor - 23.8""",3 years warranty,Limited warranty - parts and labour - 3 years ¦ Limited warranty - backlight - 3 years,56 - 76 Hz,"23.8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G236HLHbid 23 HDMI DVI IPS UM.VG6EE.H01 ACER,Widescreen - 16:9 Widescreen,LED backlight,250 cd/m2,1 x VGA cable,Black,16.7 million colours,MPR II,100000000:1 (dynamic),"Acer S235HLBbmii 23 IPS LED VGA HDMI TFT with Speakers
Everyday Series monitors give you the beauty you appreciate and the value you need. They showcase captivating widescreen visuals as well as eco-conscious features, making them perfect for enjoying marvelous multimedia at home or in your office, studio or study.","23""",Without stand - width: 54.85 cm - depth: 3.36 cm - height: 33.36 cm Without stand - width: 54.85 cm - depth: 3.36 cm - height: 33.36 cm weight:,54.8 cm x 16.8 cm x 38.4 cm - with stand,,LED-backlit LCD monitor / TFT active matrix,Yes,,,178,VGA Â¦ DVI Â¦ HDMI,,ACER,UM.VG6EE.H01,FullHD 1920 x 1080 at 60 Hz 1920 x 1080,IPS,,,,5 ms,,178,AC 120/230 V,,,,,,,,,,,,,,,2 years warranty,,,,,,,,Internal External,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy the E554, NEC E554 Display Solutions, NEC Displays MultiSync E554 (55 inch) Edge LED Backlit LCD Display here at odsi.co.uk",,,350 cd/m2,VGA cable,Black,,"FCC Class B certified, CSA, UL, C-Tick, cUL, VESA DPMS, VESA FDMI, PSB, RoHS",,"NEC LCD E554 55 Inch Professional Grade Display Monitor
NEC LCD E554 Display 55 Inch TV Monitor is ideal for commercial, education, business, and for digital signage applications.
Product Overview
The NEC LCD E554 TV 55 Inch Display Monitor widely recognized as a commercial rank through a smart panel and easy to use controls, the NEC E Series offers all you required for appealing digital signage. This high quality well design LCD panel offering more than just the essentials, and included features that will attract viewers with its eye catching presentation. The NEC LCD E554 Display 55 Inch Screen goes over and ahead of what you have come to be familiar with as a conventional display format though an LED Edge-Lit backlighting basis that supplies to a reduced depth and lighter weight. All these advantages make this fourth version of E Series monitors simple to carry and install.The high quality intends and presentation is usual of digital signage screen in order to draw, connect and inform viewers.Through super slim, sleek bezel and full HD panel are aims of magnetism poised to offer smart content.
Key Features
Commercial Grade High Quality LCD Panel (55 Inch)
LED Backlighting Technology Decrease Power Consumption
RS-232C Synchronize Multiple Displays
Compact Packaging helps reduce waste and shipping cost
Expanded Association through digital loop through
Built in NTSC/ATCS Tuner (Analogue and Digital)
Carbon Footprint Meter Capability (Environment Friendly)
Built In Low Profile 10W Speakers With Quality Sound
Included with DisplayNote NEC Edition
Resolution (native) 1920x1080","55"" 55""",,124.1 cm x 6.5 cm x 73.5 cm - without stand,,,Yes,,400 x 400 mm,,,,NEC,E554,,,122 Watt 122 Watt,,0.5 Watt,6.5 ms,,,,20 kg 20 kg,,ENERGY STAR Qualified,,,10 - 80%,,,3 years warranty,40 °C,0 °C,,,"NEC MultiSync E554 - 55"" LED-backlit LCD flat panel display",3 years warranty,Limited warranty - 3 years ¦ Limited warranty - backlight - 3 years,,,,,,,,,,,,,,,Remote control,,,,,,,,,,,,,,,176 degrees,1 x VGA input ( 15 PIN HD D-Sub (HD-15) ) ¦ 3 x HDMI ( 19 pin HDMI Type A ) ¦ 1 x digital audio output (optical) ( TOS Link ) ¦ 1 x serial ( 9 PIN D-Sub ) ¦ 1 x USB ( 4 PIN USB Type A ) ¦ 1 x composite video / component video input ( RCA phono x 3 ) ¦ 1 x audio input ( mini-phone stereo 3.5 mm ) ¦ 1 x audio input ( RCA phono x 2 ),6.5 cm,140 cm 140 cm,Without stand,1080p (FullHD) 1080p (FullHD),Black,6.0,3 port(s) 3 port(s),73.5 cm,16:9 16:9,4000:1,"1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i 1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i",LED backlight - edge-lit LED backlight - edge-lit,S-PVA,20 Watt,VGA (HD-15) VGA (HD-15),LED-backlit LCD flat panel display LED-backlit LCD flat panel display,Remote control,1920 x 1080 1920 x 1080,2 speakers 2 speakers,2 x main channel speaker - built-in - 10 Watt,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 720, 720 x 400, 1920 x 1080, 1280 x 800",JPG,Commercial usage Commercial usage,S-PVA,No tuner No tuner,"Yes , 1 port(s) Yes , 1 port(s)","Component, composite, HDMI Component, composite, HDMI",176 degrees,124.1 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Widescreen - 16:9,WLED,250 cd/m2,1 x VGA cable Â¦ 1 x audio cable,Black,,"FCC Class B certified, UL, C-Tick, BSMI, cUL, CB, ICES-003 Class B, CCC, PSB, RoHS, WEEE, REACH, UkrSEPRO, ERP, CEL FCC Class B certified, UL, C-Tick, BSMI, ISO 9001, cUL, NEMKO, TUV S, ISO 14001, CB, ICES-003 Class B, CCC, PSB, RoHS, WEEE, GOST-R, REACH, TCO Displays 5.1, E-Standby, UkrSEPRO, KC, TUV Nord, ERP, CEL level 1",1000:1 / 10000000:1 (dynamic),"Viewsonic 24"" (23.6 Vis) LED backlight widescreen monitor
The ViewSonic VA2445m-LED is a 24"" (23.6 Vis) widescreen monitor with an LED backlight and glossy, thin-bezel design ideal for use in the home or at the office. With Full HD 1920 x 1080 resolution and a 10,000,000:1 dynamic contrast ratio, the VA2445m-LED delivers stunning brightness and contrast, while a quick 5 ms response time ensures crisp pictures and smooth playback. VGA and DVI inputs provide flexible and convenient connectivity. This beautiful display has a 10,000,000:1 MEGA dynamic contrast ratio, DVI inputs, 5 ms response time, and a VESA mountable glossy finish design. With energy-saving eco-mode, the VA2445m-LED is a great long-term investment.","24""",With stand - width: 57.14 cm - depth: 21.12 cm - height: 40.09 cm - weight: 4.1 kg Â¦ Without stand - width: 57.14 cm - depth: 5.04 cm - height: 35.09 cm - weight: 3.72 kg With stand - width: 57.15 cm - depth: 21.08 cm - height: 40.13 cm - weight: 4.1 kg Â¦ Without stand - width: 57.14 cm - depth: 4.83 cm - height: 37.59 cm - weight: 3.7 kg,57.15 cm x 21.08 cm x 40.13 cm - with stand 57.14 cm x 21.12 cm x 40.09 cm - with stand,Tilt,LED-backlit LCD monitor / TFT active matrix,Yes,"Eco-Mode, Mega Dynamic Contrast Ratio Security lock slot (cable lock sold separately)",100 x 100 mm,170,DVI-D Â¦ VGA Â¦ Audio line-in,,Viewsonic,VA2445M-LED,FullHD 1920 x 1080,,22 Watt 26 Watt,,,5 ms,-5/+20,160,AC 120/230 V ( 50/60 Hz ),4.1 kg,,,,24 - 82 kHz,10 - 90% (non-condensing),,,,40 Â°C,0 Â°C,,,,3 years warranty 2 years warranty,Limited warranty - parts and labour - 3 years Â¦ Limited warranty - backlight - 3 years Limited warranty - 2 years,50 - 75 Hz,"23.6""","30,000 hours",,,ViewSonic Wizard,Internal,,"Anti-glare, 3H Hard Coating",,,,,2 Watt,Speakers - stereo - integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEC 60003594 MultiSync X462UNV - 46"" LED-Backlit LCD Flat Panel Display",,,450 cd/m2,DVI cable,Black,,"FCC Class B certified, CSA, UL, TUV GS, VCCI, C-Tick, cUL, VESA DPMS, VESA FDMI, PSB, RoHS",,The MultiSync X462UNV completes NEC's line of videowall products and offers outstanding videowall features at an attractive price.,"46"" 46""",,102.4 cm x 11.81 cm x 57.86 cm - without stand,,,,"Ambient light sensor (ALS), screen saver, fanless cooling system, NaViSet, Scheduler Function (with RTC), TileMatrix (10 x 10), Mercury Free, Open Pluggable Specification slot Ambient light sensor (ALS), screen saver, fanless cooling system, NaViSet, Scheduler Function (with RTC), TileMatrix (10 x 10), Mercury Free, Open Pluggable Specification slot",300 x 300 mm,,,,NEC,60003594,,,260 Watt 260 Watt,,0.5 Watt,8 ms,,,,24.3 kg 24.3 kg,,,,,20 - 80%,,,3 years warranty,40 °C,0 °C,,,"NEC MultiSync X462UNV - 46"" LED-backlit LCD flat panel display",3 years warranty,Limited warranty - 3 years ¦ Limited warranty - backlight - 3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178 degrees,1 x network ( RJ-45 ) - rear ¦ 1 x remote control input ( mini-phone 3.5mm ) - rear ¦ 1 x remote control output ( mini-phone 3.5mm ) - rear ¦ 1 x serial input ( 9 PIN D-Sub ) - rear ¦ 1 x serial output ( 9 PIN D-Sub ) - rear ¦ 1 x DisplayPort input ( 20 pin DisplayPort ) - rear ¦ 1 x DisplayPort output ( 20 pin DisplayPort ) - rear ¦ 1 x DVI-D input ( 24 PIN Digital DVI ) - rear ¦ 1 x DVI-D output ( 24 PIN Digital DVI ) - rear ¦ 1 x HDMI ( 19 pin HDMI Type A ) - rear ¦ 1 x VGA input ( 15 PIN HD D-Sub (HD-15) ) - rear ¦ 1 x component video / RGB input ( BNC x 5 ) - rear ¦ 1 x composite video input ( BNC ) - rear ¦ 1 x composite video output ( BNC ) - rear ¦ 1 x S-Video input ( 4 PIN mini-DIN ) - rear ¦ 1 x audio output ( mini-phone stereo 3.5 mm ) - rear ¦ 2 x audio input ( mini-phone stereo 3.5 mm ) - rear ¦ 1 x audio input ( RCA phono x 2 ) - rear ¦ 2 x speakers output ( terminal block (clamp) ) - rear,11.81 cm,116.8 cm 116.8 cm,Without stand,1080p (FullHD) 1080p (FullHD),Black,,1 port(s) 1 port(s),57.86 cm,16:9 16:9,3500:1,,WLED backlight WLED backlight,S-PVA,,"DVI, VGA (HD-15), DisplayPort DVI, VGA (HD-15), DisplayPort",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,,1920 x 1080 1920 x 1080,,,,,Commercial usage Commercial use Commercial usage,S-PVA,No tuner No tuner,,"Component, composite, HDMI, S-Video Component, composite, HDMI, S-Video",178 degrees,102.4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optional,,,,X Series,,,100 100,,,,,,,,,,,
TD2220-2 22 DVI MULTI TOUCH TD2220-2 Viewsonic,Widescreen,WLED,200 cd/m2,,Black,,"FCC Class B certified, UL, C-Tick, BSMI, cUL, ICES-003, SASO, CB, CCC, PSB, RoHS, WEEE, GOST-R, E-Standby, UkrSEPRO, TCO Displays 5.2, KC, ERP",1000:1 / 20000000:1 (dynamic),"ViewSonic 22"" 1920x1080 5ms Analogue DVI USB LED Monitor
The 22"" ViewSonic TD2220 is a multi-touch Full HD LED backlit monitor with 1920 x 1080 resolution, DVI & VGA inputs and VESA mountable design. It has 20,000,000:1 MEGA dynamic contrast ratio for sharp crisp images and Eco-mode for up to 40% energy savings come standard in the 22"" offering. The TD2220 is a one-stop solution for your multi-touch monitor needs.","22""",With stand - width: 51.1 cm - depth: 24 cm - height: 63.5 cm - weight: 4.92 kg Â¦ Without stand - width: 51.1 cm - depth: 6.6 cm - height: 31 cm - weight: 3.96 kg,51.1 cm x 24 cm x 63.5 cm - with stand,Tilt,LED-backlit LCD monitor / TFT active matrix,Yes,"OptiSync, sRGB colour management, Eco-Mode, Mega Dynamic Contrast Ratio, HID Compliant Security lock slot (cable lock sold separately)",100 x 100 mm,170,DVI-D ( HDCP ) Â¦ VGA Â¦ USB upstream ( Type B ) Â¦ 2 x USB downstream ( Type A ),,Viewsonic,TD2220-2,FullHD 1920 x 1080 1920 x 1080,,43 Watt,,,5 ms,-5/+20,160,AC 120/230 V ( 50/60 Hz ),4.92 kg,,,,24 - 83 kHz,,,,,40 Â°C,0 Â°C,,,,,,50 - 76 Hz,"21.5""","40,000 hours",USB Hub,"Brightness, contrast, H/V position, sharpness, colour balance, input select, colour temperature, H-size, aspect control",,Internal,,"Anti-glare, 8H Hard Coating 7H Hard Coating",,,,Microsoft Windows 7,,Touch-screen - Multi-Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M 17 M170 TOUCHSCREEN CAP USB 11-91378-225 Microtouch,,,270 cd/m2,,Black,16.2 million colours 16.2 million colors 16.2 million colours,"FCC Class B certified, UL, C-Tick, cUL, VESA DPMS, CB, CCC, RoHS FCC Class B certified, CE, UL, C-Tick, cUL, VESA DPMS, CB, CCC, RoHS",800:1,"3M MicroTouch M1700SS Touchscreen Display
The 3M MicroTouch Display M1700SS (17""), a purpose-built, surface capacitive touch display, provides a cost-competitive touch alternative to 5-wire resistive display solutions.
The display offers a stable base, highly durable touch screen, brilliant optics and a hidden cable management system, all in an elegant and simple-to-use design. This display easily integrates into numerous point-of-sale, PC, and thin client systems making it ideal for applications requiring long life and 24/7 uptime.","17"" 17""",,40.5 cm x 24.7 cm x 41.3 cm,,LCD display / TFT active matrix LCD monitor / TFT active matrix,,,100 x 100 mm 100 x 100 mm,+80 / -80,VGA Â¦ USB Â¦ DVI-D 1 x VGA - 15 pin HD D-Sub (HD-15) Â¦ 1 x USB Â¦ 1 x DVI-D - 24 pin digital DVI,,Microtouch,11-91378-225,1280 x 1024 at 60 Hz,,40 Watt,,,9 ms 9 ms,,+80 / -80,,8.6 kg,,,,,0 - 80%,,,,40 Â°C,0 Â°C,,0.264 mm,,3 years warranty,Limited warranty - 3 years,,,"40,000 hours 40,000 hour(s)",,"Brightness, contrast, H/V position, colour balance, phase, clock",,External,,,,,,,,Touch-screen Touch-screen,,,,,,,,,,,,,,,,,24.7 cm,,,,Black,,,41.3 cm,,800:1,,,,,,,,,,,,,,,,,,,40.5 cm,,,Capacitive Capacitive,,,,,,,,,,,,RGB,,0.264 mm,External,270 cd/m2,+80 / -80,+80 / -80,,,"DVI-D, VGA",,,,,,,,,,,,,,,,,1280 x 1024 / 60 Hz,,,,,,,,,,,,,
"NEC-60003683-NEC MultiSync EA244UHD - 24"" - LED-backlit LCD Monitor",Widescreen - 16:9 Widescreen - 16:9 Widescreen,WLED,350 cd/m2 350 cd/m2,1 x audio cable ¦ 1 x DisplayPort cable,Black Black,1.07 billion colours 1.07 billion colours,"FCC Class B certified, MPR II, CSA, UL, TUV GS, DDC-2Bi, MPR III, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0, EAC FCC Class B certified, MPR II, CSA, UL, TUV GS, DDC-2Bi, MPR III, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0, EAC",1000:1 1000:1,"NEC MultiSync EA244UHD - 24"" - LED-backlit LCD Monitor
The EA244UHD is a high performance display with the latest 4K UHD (3840 x 2160) super resolution. Offering the very DisplayPort connectivity, as well as a range of DVI and HDMI inputs, this monitor can be used in many mission critical applications, where decision making based on highly detailed, accurate and reliable image quality is demanded. Outstanding ergonomic comfort makes it very user-friendly and further enhances professional productivity.","24""",,55.82 cm x 21.8 cm x 38.67 cm 55.82 cm x 21.8 cm x 38.67 cm - with stand x x,"Height, pivot (rotation), swivel, tilt Height, pivot (rotation), swivel, tilt Height, swivel, tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"Ambient light sensor, Rapid Response, ErgoDesign, cable management cover, Eco-Mode, ControlSync, Mobile High-Definition Link (MHL), Carbon Footprint Meter, Carbon Savings Meter, Human Sensor, NaViSet Administrator 2",100 x 100 mm,178,3 x USB 3.0 downstream ( Type A ) ¦ USB 3.0 upstream ( Type B ) ¦ Headphones ¦ 2 x DisplayPort ¦ 2 x DVI-D ¦ 2 x HDMI,,NEC,60003683,3840 x 2160 4K 3840 x 2160,IPS IPS,79 Watt,,0.32 Watt,5 ms 5 ms,-5/+30,178,AC 120/230 V ( 50/60 Hz ),7 kg 7 kg,"LED-backlit LCD monitor - 24"" LED-backlit LCD monitor",ENERGY STAR Qualified,130 mm,31.5 - 134 kHz,20 - 80%,,"2xHDMI, 2xDVI-D, 2xDisplayPort",3 years warranty,35 °C,5 °C,,0.14 mm 0.14 mm,"NEC MultiSync LED monitor NEC MultiSync EA244UHD - LED monitor - 24""",3 years warranty,Limited warranty - 3 years ¦ Limited warranty - backlight - 3 years,30 - 75 Hz,"23.8""",,USB Hub USB Hub,"Volume, brightness, contrast, colour temperature",Drivers & Utilities,Internal,90.0,,340,,,,1 Watt,Speakers - stereo - integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,,,,,,,,,,"""Compatible with Windows 7"" software and devices carry Microsoft’s assurance that these products have passed tests for compatibility and reliability with 32-bit and 64-bit Windows 7.",,,,,,,,,,,,,,,,,,,,,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T232HLAbmjjz IPS LED Touch DVI UM.VT2EE.A01 ACER,Widescreen - 16:9 Widescreen,LED backlight,300 cd/m2,1 x HDMI cable Â¦ 1 x VGA cable Â¦ 1 x USB cable,Black,16.7 million colours,MPR II,100000000:1 (dynamic),"Acer T232HLAbmjjz (23 inch Touchscreen) Full HD LED IPS Display
The innovative 23"" touch display is made for users who appreciate state of the art technology and innovative design. Thanks to the edgy design the working angle of the monitor can be adjusted from 5ÃÂ° to 60ÃÂ° to ensure comfort. Areas close to the edges are easy to touch thanks to ZeroFrame design and front glass. In addition to the digital connectivity options you can also connect and power your mobile devices via the USB 3.0 hub. T232HL reproduces consistent and natural colors from all viewing angles, thanks to E-IPS panel technology. Rapid response times ensure the smoothest reproduction of even the fastest videos and a fast, accurate and natural touch experience.","23""",With stand - width: 57.37 cm - depth: 5 cm - height: 45.5 cm - weight: 5.7 kg,57.37 cm x 3.8 cm x 42.01 cm - without stand,Tilt,LED-backlit LCD monitor / TFT active matrix,Yes,"HDCP, eColor Management, Acer Adaptive Contrast Management (ACM), Mobile High-Definition Link (MHL), 10-point multi-touch",Yes,178,VGA Â¦ 2 x MHL / HDMI ( HDCP ) Â¦ USB 3.0 upstream Â¦ 3 x USB 3.0 downstream VGA Â¦ DVI Â¦ USB 3.0 upstream Â¦ 3 x USB 3.0 downstream Â¦ 2 x HDMI ( HDCP ),"United Kingdom, Europe, EMEA",ACER,UM.VT2EE.A01,FullHD 1920 x 1080 at 60 Hz 1920 x 1080,E-IPS,20.9 Watt,480 mW,490 mW,5 ms,60,178,AC 120/230 V,5.16 kg,,,,,,,,,,,,,,2 years warranty,,,,,USB 3.0 hub,,,External,,,,,,,1.5 Watt,Multi-Touch Speakers - stereo - integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Multi-Touch Display M2467PW 98-0003-3786-9 Microtouch,Widescreen - 16:9,LED backlight,250 cd/m2,1 x VGA cable Â¦ 1 x USB cable,Black,16.7 million colours,"FCC Class B certified, TUV, C-Tick, RoHS",5000:1,"3M Multi-Touch Display M2467PW
The 24-inch 3M multi-touch display M2467PW takes interactive display technology by combining uncompromising multi-touch performance, brilliant high-definition graphics, wide viewing angles and elegant product design into a fully-integrated, easy-to-use, Plug-and-Play multi-touch desktop device.
The 3M multi-touch display M2467PW incorporates 3M Projected Capacitive Technology and offers full multi-touch capabilities with less than 6 millisecond response time for 20 simultaneous touches. This means fast, accurate touch response over the entire touch surface.","24""",,57.6 cm x 25 cm x 43.2 cm,Tilt,LED-backlit LCD monitor / TFT active matrix,,,"100 x 100 mm, 100 x 200 mm",178,HDMI Â¦ VGA Â¦ DisplayPort Â¦ USB Â¦ Audio line-in,,Microtouch,98-0003-3786-9,FullHD 1920 x 1080,P-MVA,44.5 Watt,,,16 ms,90,178,AC 120/230 V,6.6 kg,,,,,,,,,40 Â°C,0 Â°C,,0.277 mm,,1 year warranty,Limited warranty - touch screen - 1 year,,"24""",,,,,External,,,,,,"Apple MacOS, Linux, Microsoft Windows Vista / XP / 7",3 Watt,Speakers - stereo - integrated Touch-screen - Multi-Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Compatible with Windows 7"" software and devices carry Microsoftâ€™s assurance that these products have passed tests for compatibility and reliability with 32-bit and 64-bit Windows 7.",,Projected capacitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217 cd/m2,Windows Touch,,,,
