<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,color,contrast ratio,depth,depth with stand,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,height,height with stand,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,number of screens,operating power consumption,package contents,pccanadacom,product line,product model,product name,product type,response time,screen mode,screen size,screen surface,speakers,standby power consumption,vertical viewing angle,vga,weight approximate,width,width with stand,color supported,country of origin,displayport,hdmi,mount type,number of speakers,panel technology,platform supported,product series,tilt angle,vesa mount compatible,vesa mount standard,adjustable display height,adjustable display pivot,offmode power consumption,standard refresh rate,weight with stand approximate,certifications standards,display orientation,maximum adjustable height,swivel angle,usb,usb standard,webcam,headphone,full product specifications,recycled,recycled content,svideo
UM.RB6AA.001 - Acer B296cl Widescreen Lcd Monitor - PC-Canada.com,Yes,21:9,LED,Acer,300 cd/mÂ²,USB Hub,Black,"100,000,000:1",,,Yes,,"EPEAT Gold, TCO Certified Displays 6.0, ENERGY STAR",Yes,,,,178Â°,"110 V AC, 220 V AC",,"Acer, Inc",UM.RB6AA.001,http://www.acer.ca,2560 x 1080,1.0,,B296CL LCD Monitor1 x DVI Cable1 x Displayport Cable1 x HDMI Cable1 x USB 3.0 CablePower Cord,does not accept phone orders.,,B296CL,B296CL Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"29""",Anti-glare,Yes,,178Â°,,,,,16.7 Million Colors,,Yes,Yes,,,In-plane Switching (IPS) Technology,,B,,,,Yes,Yes,,60 Hz,,,,,,Yes,USB 3.0,,,,,,
UM.XG6AA.002 - Acer G196hql Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Acer,200 cd/mÂ²,,Black,"100,000,000:1","1.3"" (33.5 mm)","6.7"" (169.2 mm)",,,MPR II,Yes,,"10.9"" (277.3 mm)","12.9"" (327.5 mm)",90Â°,"110 V AC, 220 V AC",,"Acer, Inc",UM.XG6AA.002,http://www.acer.ca,1366 x 768,1.0,15 W,G196HQL Widescreen LCD Monitor1 x VGA CablePower Cord,does not accept phone orders.,,G196HQL,G196HQL Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA,"18.5""",Anti-glare,,450 mW,65Â°,Yes,1.70 kg,"17.6"" (446.4 mm)","17.6"" (446.4 mm)",16.7 Million Colors,,,,,,,,G,,,,No,No,400 mW,60 Hz,2.23 kg,,,,,,,,,,,,
VW2430H - Benq Vw2430h Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,BenQ,250 cd/mÂ²,,White,"3,000:1","7.5"" (190.5 mm)",,Yes,"Security Lock, Senseye 3, Eco Mode",TCO Certified Displays 6.0,Yes,Yes,"16.8"" (426.7 mm)",,178Â°,"110 V AC, 220 V AC",3 Year,BenQ Corporation,VW2430H,http://www.benq.ca,1920 x 1080,1.0,40 W,,does not accept phone orders.,,VW2430H,VW2430H Widescreen LCD Monitor,LCD Monitor,4 ms,Full HD,"24""",,No,300 mW,178Â°,Yes,4.50 kg,"22.3"" (566.4 mm)",,16.7 Million Colors,,,Yes,Wall Mountable,,,"PC, Mac",VW,,Yes,100 x 100,No,,,,,,,,,,,,Yes,,,,
MX241W-BK - Eizo Radiforce Mx241w Widescreen Lcd Monitor - PC-Canada.com,Yes,16:10,,Eizo,320 cd/mÂ²,USB Hub,"Black, Gray","1,000:1",,,Yes,,"RoHS, TCO '03, ENERGY STAR",Yes,,,,178Â°,"110 V AC, 220 V AC",,Eizo Nanao Tech,MX241W-BK,http://www.eizo.com,1920 x 1200,1.0,,,does not accept phone orders.,RadiForce,MX241W,Radiforce MX241W Widescreen LCD Monitor,LCD Monitor,13 ms,WUXGA,"24.1""",,,900 mW,178Â°,,7.10 kg,,,16.7 Million Colors (24-bit),,Yes,,Wall Mountable,,,,,,Yes,100 x 100,,,,61 Hz,10.70 kg,,,,,Yes,,,,,,,
VS228H-P - Asus Vs228h-p Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,250 cd/mÂ²,,Black,"50,000,000:1",,"7.9"" (200 mm)",,,"WEEE, ENERGY STAR, RoHS",Yes,Yes,,"15.2"" (385.5 mm)",170Â°,,3 Year,ASUS Computer International,VS228H-P,http://www.asus.com,1920 x 1080,1.0,25 W,VS228H-P Widescreen LCD MonitorDVI CableVGA CablePower CordQuick Start GuideWarranty Card,does not accept phone orders.,,VS228H-P,VS228H-P Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"21.5""",,,500 mW,160Â°,Yes,3.10 kg,,"20.2"" (514.1 mm)",16.7 Million Colors,,,Yes,Wall Mountable,,,PC,VS,,Yes,100 x 100,,,500 mW,75 Hz,,UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBEKJ-MOSSWHQL,,,,,,,Yes,,,,
PB298Q - Asus Pb298q Widescreen Lcd Monitor - PC-Canada.com,Yes,21:9,LED,Asus,300 cd/mÂ²,Speaker,Black,"80,000,000:1",,"8.6"" (218 mm)",Yes,"Splendid Video Intelligence Technology, Security Lock","ENERGY STAR 6.0, EPEAT Gold, ErP, RoHS, TCO Certified Displays 6.0, WEEE",Yes,Yes,,"14.8"" (376 mm)",178Â°,"110 V AC, 220 V AC",3 Year,ASUS Computer International,PB298Q,http://www.asus.com,2560 x 1080,1.0,31.70 W,PB298Q Widescreen LCD Monitor Cable Clamp Dual-link DVI cable Audio cable Power cord DisplayPort cable Quick start guide HDMI cable Warranty Card,does not accept phone orders.,,PB298Q,PB298Q Widescreen LCD Monitor,LCD Monitor,5 ms,UW-UXGA,"29""",,Yes,500 mW,178Â°,,8.50 kg,,"27.6"" (700 mm)",16.7 Million Colors,,Yes,Yes,,2.0,Advanced High Performance In-plane Switching (AH-IPS) Technology,PC,,,Yes,100 x 100,Yes,Yes,500 mW,76 Hz,,BSMI CB CCC CE C-Tick CU FCC PSE UL/cUL VCCI WHQL,,,,,,,Yes,,,,
MB168B - Asus Mb168b Portable Usb-powered Monitor - PC-Canada.com,,16:9,LED,Asus,200 cd/mÂ²,,"Black, Silver",500:1,"0.3"" (8 mm)",,,Ambient Light Sensor,"WEEE, RoHS",Yes,,"9.3"" (236 mm)",,90Â°,,3 Year,ASUS Computer International,MB168B,http://www.asus.com,1366 x 768,1.0,5 W,MB168B Portable USB-powered Monitor ASUS Smart Case USB 3.0 Cable Quick Start Guide Support CD,does not accept phone orders.,,MB168B,MB168B Portable USB-powered Monitor,LCD Monitor,11 ms,HD,"15.6""",Anti-glare,,0 mW,65Â°,,800 g,"14.9"" (379 mm)",,,,,,,,Twisted Nematic Film (TN Film),PC,,,,,,,0 mW,,,BSMI CB CCC CE C-Tick CU FCC PSE UL/cUL VCCI,Landscape/Portrait,,,Yes,USB 3.0,,,,,,
GW2760HS - Benq Gw2760hs Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,BenQ,300 cd/mÂ²,Speaker,Glossy Black,"20,000,000:1","7.5"" (191 mm)",,Yes,"Eco Mode, Senseye 3, Flicker-free, Security Lock","ENERGY STAR 6.0, TCO Certified Displays 6.0",Yes,Yes,"18.6"" (472 mm)",,178Â°,"120 V AC, 230 V AC",,BenQ Corporation,GW2760HS,http://www.benq.ca,1920 x 1080,1.0,27 W,,does not accept phone orders.,,GW2760HS,GW2760HS Widescreen LCD Monitor,LCD Monitor,4 ms,Full HD,"27""",,Yes,,178Â°,Yes,4.50 kg,"24.5"" (623 mm)",,16.7 Million Colors,,,Yes,Wall Mountable,2.0,Vertical Alignment (VA),PC,GW,-5Â°to15Â°,Yes,100 x 100,,,,,,,,,,,,,Yes,Click to view,,,
G2460PQU - Aoc Professional G2460pqu Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,AOC,350 cd/mÂ²,"Speaker, USB Hub",Black,"80,000,000:1","9.6"" (243.5 mm)",,Yes,"Eco Mode, Security Lock, i-Menu, e-Saver","ENERGY STAR 5.0, TCO Certified Displays, EPEAT Gold, RoHS, EuP, TÃV",Yes,Yes,"15.5"" (393.6 mm)",,170Â°,"110 V AC, 220 V AC",3 Year,AOC,G2460PQU,http://us.aoc.com,1920 x 1080,1.0,33 W,"Professional G2460PQU Widescreen LCD Monitor Foot stand Power Cord VGA Cable Audio cable DVI cable USB cable Media (Drivers, AOC Software, User's Manual, Warranty)",does not accept phone orders.,Professional,G2460PQU,Professional G2460PQU Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"24""",,Yes,500 mW,160Â°,Yes,6.29 kg,"22.3"" (565.4 mm)",,16.7 Million Colors,,Yes,Yes,Wall Mountable,2.0,,PC,,-4Â°Up to22Â°,Yes,100 x 100,Yes,Yes,500 mW,120 Hz,,CE FCC GOST ISO 9241-307 TÃV-Bauart TÃV-GS,,,,Yes,,,Yes,,,,
"e2260Swda - Aoc Led Monitor - E2260swda Professional 54.7cm (21.5"") - PC-Canada.com",Yes,16:9,LED,AOC,250 cd/mÂ²,Speaker,Black,"1,000:1","7.3"" (185 mm)",,Yes,Security Lock,ENERGY STAR,Yes,Yes,"14.7"" (373 mm)",,170Â°,,1 Year,AOC,E2260SWDA,http://us.aoc.com,1920 x 1080,1.0,,,does not accept phone orders.,Professional,e2260Swda,"LED Monitor - e2260Swda Professional 54.7cm (21.5"")",LCD Monitor,5 ms,Full HD,"21.5""",,Yes,,160Â°,Yes,,"20.1"" (511 mm)",,16.7 Million Colors,,No,No,Wall Mountable,,,PC,,,Yes,100 x 100,No,No,,,,,,,,,,,,,,,
27MP35HQ-B - Lg 27mp35hq-b Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,LG,,,Black,"50,000,000:1",,,,,,,Yes,,,,,,LG Electronics,27MP35HQ-B,http://www.lg.com/ca,1920 x 1080,1.0,,,does not accept phone orders.,,27MP35HQ-B,27MP35HQ-B Widescreen LCD Monitor,LCD Monitor,5 ms,,"27""",,,,,Yes,4.80 kg,,,,,,Yes,,,In-plane Switching (IPS) Technology,,,,Yes,,,,,,,,,,,,,,,,,,
C3Z97AA#ABA - Hp Pavilion 25xi Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,,"Iridium Silver, Jack Black","1,000:1","7.6"" (192 mm)",,Yes,"Noise Reduction, BrightView Technology, Security Lock","ErP, China Energy Label (CEL), CECP",Yes,Yes,"16.9"" (429 mm)",,178Â°,,,Hewlett-Packard,C3Z97AA#ABA,http://www.hp.com/ca,1920 x 1080,1.0,30 W,,does not accept phone orders.,Pavilion,25xi,Pavilion 25xi Widescreen LCD Monitor,LCD Monitor,7 ms,Full HD,"25""",,,500 mW,178Â°,Yes,4.40 kg,"22.8"" (578 mm)",,,,,Yes,,,In-plane Switching (IPS) Technology,PC,,,,,,,,76 Hz,,CB CE FCC ES 5.2 CSA C-UL C-ETL UL ETL-NRTL ICES S-Mark VCC CCC BSMI Bauart ISO9241-307 GOST 25861 HRN N N0.201 GOST R 50377-1992 EEI Certificate IS 1121 SASO SABS IEC 60950-1 NOM-019-SCFI-1998 KC Mark KCC Mark PSB mark ISC mark C-Tick,,,,,,,,,,,
VH238H - Asus Vh238h Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,250 cd/mÂ²,Speaker,Black,"50,000,000:1",,"8.7"" (220 mm)",Yes,,"ENERGY STAR, WEEE, RoHS",Yes,Yes,,"16.3"" (415.2 mm)",170Â°,,3 Year,ASUS Computer International,VH238H,http://www.asus.com,1920 x 1080,1.0,25 W,VH238H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card,does not accept phone orders.,,VH238H,VH238H Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"23""",,Yes,500 mW,160Â°,Yes,4.30 kg,,"21.7"" (550.2 mm)",16.7 Million Colors,,,Yes,Wall Mountable,2.0,,PC,VH,,Yes,100 x 100,,,500 mW,75 Hz,,UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS,,,,,,,Yes,,,,
UM.WV6AA.A02 - Acer V226hql Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Acer,250 cd/mÂ²,,Black,"100,000,000:1","8.1"" (206.8 mm)",,Yes,,"TCO '06, ENERGY STAR",Yes,Yes,"15.4"" (390.4 mm)",,178Â°,"110 V AC, 220 V AC",,"Acer, Inc",UM.WV6AA.A02,http://www.acer.ca,1920 x 1080,1.0,19.50 W,V226HQL Widescreen LCD MonitorPower Cord1 x DVI Cable1 x VGA Cable,does not accept phone orders.,,V226HQL,V226HQL Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"21.5""",Anti-glare,Yes,350 mW,178Â°,Yes,3.24 kg,"20"" (508 mm)",,16.7 Million Colors,,,,,,Vertical Alignment (VA),,V,,,,No,No,250 mW,60 Hz,3.66 kg,,,,,,,,,,,,
UM.HS1AA.D01 - Acer S271hl Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Acer,300 cd/mÂ²,,Black,"100,000,000:1",,,Yes,,"MPR II, ENERGY STAR",Yes,,,,178Â°,"220 V AC, 110 V AC",,"Acer, Inc",UM.HS1AA.D01,http://www.acer.ca,1920 x 1080,1.0,,S271HL Widescreen LCD MonitorPower Cord1 x VGA Cable1 x DVI Cable1 x HDMI Cable,does not accept phone orders.,,S271HL,S271HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"27""",Anti-glare,,,178Â°,Yes,,,,16.7 Million Colors,,,Yes,,,,,S,,,,No,No,,60 Hz,,,,,,,,,,,,,
C9E49A8#ABA - Hp Prodisplay P221 21.5-inch Led Backlit Monitor - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,,Black,"1,000:1","1.9"" (47.5 mm)","6.3"" (160 mm)",Yes,Security Lock,"ENERGY STAR, EPEAT Gold, TCO Certified Displays",Yes,Yes,"12.4"" (315 mm)","14.9"" (379 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,C9E49A8#ABA,http://www.hp.com/ca,1920 x 1080,1.0,28 W,ProDisplay P221 21.5-inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted DocumentationCD,does not accept phone orders.,Essential,P221,ProDisplay P221 21.5-inch LED Backlit Monitor,LCD Monitor,5 ms,Full HD,"21.5""",Anti-glare,No,500 mW,160Â°,Yes,3.99 kg,"20.4"" (517.9 mm)","20.4"" (517.9 mm)",,,,,,,,,,,Yes,100 x 100,,,,,,,,,,,,,,,,,
22M45D-B - Lg 22m45d-b Widescreen Lcd Monitor - PC-Canada.com,,16:9,LED,LG,250 cd/mÂ²,,Black,"5,000,000:1","2.4"" (60 mm)","7.4"" (188 mm)",Yes,"Reading Mode, Cable Management, Flicker-free, Dual-screen Display, Super Energy Saving",,,Yes,"12.4"" (316 mm)","16.5"" (418 mm)",170Â°,,,LG Electronics,22M45D-B,http://www.lg.com/ca,1920 x 1080,1.0,21 W,,does not accept phone orders.,,22M45D-B,22M45D-B Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"21.5""",,,300 mW,160Â°,Yes,2.20 kg,"20"" (509 mm)","20"" (509 mm)",16.7 Million Colors,,,,Wall Mountable,,Twisted Nematic Film (TN Film),,M45,,Yes,,,,,,2.60 kg,,,,,,,,,,,,
PA248Q - Asus Proart Pa248q Widescreen Lcd Monitor - PC-Canada.com,Yes,16:10,LED,Asus,300 cd/mÂ²,USB Hub,Black,"80,000,000:1","9.3"" (235 mm)",,Yes,"Splendid Video Intelligence Technology, Picture in Picture, Security Lock","TCO Certified Displays 5.2, ENERGY STAR, ErP, J-Moss (Japanese RoHS), RoHS",Yes,Yes,"16.4"" (416.3 mm)",,178Â°,"110 V AC, 220 V AC",3 Year,ASUS Computer International,PA248Q,http://www.asus.com,1920 x 1200,1.0,75 W,ProArt PA248Q Widescreen LCD MonitorCable TieDVI CableVGA CablePower CordDisplayPort CableUSB 3.0 CableQuick Start GuideSupport CDWarranty CardColor Pre-calibration Report,does not accept phone orders.,ProArt,PA248Q,ProArt PA248Q Widescreen LCD Monitor,LCD Monitor,6 ms,WUXGA,"24""",,,1 W,178Â°,Yes,,"21.9"" (557.3 mm)",,16.7 Million Colors,,Yes,Yes,Wall Mountable,,In-plane Switching (IPS) Technology,"PC, Mac",PA,,Yes,100 x 100,Yes,Yes,,76 Hz,,UL/cULCBCEFCCCCCTUV-GSTUV-ERGOISO9241-307BSMIGost-RC-TickVCCIPSBNOMWHQL,,,,Yes,USB 3.0,,Yes,,,,
"AS172-BK - Nec Display 17"" Value Desktop Monitor With Led Backlighting - PC-Canada.com",Yes,5:4,LED,NEC Display,250 cd/mÂ²,,Black,"1,000:1","2.7"" (68.6 mm)","8.1"" (205.7 mm)",Yes,"Intelligent Power Manager (IPM) System, Sync on Green, AccuColor, Display Power Management Signaling (DPMS), Eco Mode, Carbon Footprint Meter","ENERGY STAR 6.0, EPEAT Silver, TCO Certified Displays 6.0, RoHS",Yes,Yes,"12.2"" (309.9 mm)","14.7"" (373.4 mm)",170Â°,,3 Year,NEC Display Solutions,AS172-BK,http://www.necdisplay.com,1280 x 1024,1.0,11 W,"17"" Value Desktop Monitor with LED Backlighting Setup Sheet User Manual Power Cord 15-pin D-sub cable",does not accept phone orders.,AccuSync,AS172-BK,"17"" Value Desktop Monitor with LED Backlighting",LCD Monitor,5 ms,SXGA,"17""",,,150 mW,170Â°,Yes,2.90 kg,"14.7"" (373.4 mm)","14.7"" (373.4 mm)",,,,,Desk Mountable,,Twisted Nematic Film (TN Film),,,,Yes,100 x 100,,,,76 Hz,3.30 kg,ISO 9241-307 Class I,,,,,,,,,,,
