<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour support,contrast ratio,depth with stand,features,firewireilink,green compliance certificateauthority,green compliant,height,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum resolution,network rj45,number of screens,operating power consumption,package contents,panel technology,platform supported,product name,product type,response time,screen mode,screen size,speakers,standby power consumption,system requirements,thunderbolt,usb,usb standard,vertical viewing angle,vesa mount compatible,webcam,weight approximate,width,adjustable display height,adjustable display pivot,depth,dvi,height with stand,mount type,product model,screen surface,standard refresh rate,vesa mount standard,vga,weight with stand approximate,certifications standards,colour,displayport,hdcp supported,hdmi,headphone,product line,maximum adjustable height,offmode power consumption,product series,swivel angle,tilt angle,number of speakers,recycled,recycled content,width with stand,sdi,sdi standard,svideo,postconsumerwaste,energy consumption per year,energy efficiency class,composite video,display orientation,country of origin,component video,horizontal frequency,packaged quantity,additional information,3d type,package type
"T28LNUK, S602KC4, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd",Yes,,LED,Lenovo,250 cd/m²,Microphone USB Hub Speaker,,"1,000:1",,Security Lock,,ENERGY STAR 6.0 EPEAT Gold TCO Certified Edge Displays 1.1 ULE Gold,Yes,387.2 mm,,,3 Year,Lenovo Group Limited,T28LNUK,1920 x 1080,,1.0,,,Enhanced In-plane Switching (E-IPS) Technology,PC,"LT2323z Wide 23"" E-IPS Flat Panel Monitor",LCD Monitor,,,"58.4 cm (23"")",Yes,,,,Yes,USB 3.0,,,Yes,6.16 kg,545.3 mm,,Yes,56.4 mm,,,,LT2323z,,,,Yes,,TUV,Raven Black,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
"LS19D300NY/EN, 3087722, Samsung, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,Samsung,200 cd/m²,,16.7 Million Colours,600:1,177 mm,Off Timer Eco Saving,,,,273.1 mm,,220 V AC 110 V AC,,Samsung,LS19D300NY/EN,1366 x 768,,1.0,13 W,,Twisted Nematic Film (TN Film),Mac PC,S19D300NY Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",No,300 mW,,,No,,,Yes,,1.75 kg,444.9 mm,,,53.1 mm,No,347.50 mm,Wall Mountable,S19D300NY,,,75 x 75,Yes,2 kg,,High Glossy Black,No,,No,No,,,,300,,,,,,444.90 mm,,,,,,,,,,,,,,,
"855-BBBC, DELE1715S, Dell, LCD Monitor, Kingsfield Computer Products Ltd",Yes,5:4,LED,Dell,250 cd/m²,,16.7 Million Colours,"1,000:1",165.50 mm,Security Lock PowerNap,,ENERGY STAR EPEAT Gold TCO Certified Displays China Energy Label (CEL),Yes,306.9 mm,178°,220 V AC 110 V AC,3 Year,"Dell, Inc",855-BBBC,1280 x 1024,,1.0,15 W,17 Monitor - E175S Stand Power Cables VESA Screw Cover VGA Cable Drivers and Documentation Media Quick Setup Guide Product Information Guide,Twisted Nematic Film (TN Film),,17 Monitor - E175S,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",,500 mW,,,,,178°,Yes,,2.08 kg,374.5 mm,,,46.5 mm,,389.50 mm,Wall Mountable,P1914S,Anti-glare,60 Hz,100 x 100,Yes,,,,Yes,,,,,,,,,,,,,374.50 mm,,,,,,,,,,,,,,,
"60AAHAT1UK, S604LP3, Lenovo, Monitors (other), Kingsfield Computer Products Ltd",Yes,,LED,Lenovo,250 cd/m²,,16.7 Million Colours,"1,000:1",,,,TCO Certified Displays 6.0 China Energy Label (CEL) ENERGY STAR 6.0 EPEAT Gold ULE Gold China RoHS RoHS TÜV TCO Certified Edge Displays 1.1,Yes,378.2 mm,,,3 Year,Lenovo Group Limited,60AAHAT1UK,1280 x 1024,,1.0,,,In-plane Switching (IPS) Technology,PC,LT1913p 19-inch Square IPS LED Backlit LCD Monitor (UK Power Cord ),LCD Monitor,7 ms,SXGA,"48.3 cm (19"")",,,,,,,178°,,,4.55 kg,411 mm,Yes,Yes,222 mm,Yes,,,LT1913p,,,,Yes,,TUV Green Mark ISO 9241-307,Black,,Yes,,,ThinkVision,110 mm,,,-45°,-5°to-30°,,Yes,85% Plastic,,,,,,,,,,,,,,,,
"I2360PHU, 2669333, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,AOC,250 cd/m²,USB Hub,16.7 Million Colours,"1,000:1",,Ambient Light Sensor Eco Mode,,TCO Displays 5.0 EPEAT Silver ErP/EuP ENERGY STAR 5.0 EPEAT Gold RoHS,Yes,,170°,220 V AC 110 V AC,3 Year,AOC,I2360PHU,1980 x 1080,,1.0,,"i2360Phu 58.5cm (23"") LED MonitorPower CableD-Sub CableDVI-D CableAudio CableDriver CDWarranty Card",In-plane Switching (IPS) Technology,,"i2360Phu 58.5cm (23"") LED Monitor",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",Yes,500 mW,,,Yes,USB 2.0,160°,Yes,,,,Yes,Yes,,Yes,,Wall Mountable,i2360Phu,,60 Hz,100 x 100,Yes,,CEcCSAusFCCGOSTTÜV-BauartTÜV-GSISO 9241-307,Black,No,Yes,Yes,Yes,Professional,,500 mW,,,,,,,,,,,,,,,,,,,,,,
"17S4LSB/00, 2905226, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,5:4,LED,Philips,250 cd/m²,,16.7 Million Colours,"1,000:1",194 mm,SmartContrast SmartControl TrueVision SmartPower SmartImage Eco Mode Security Lock Sync on Green,,TCO Certified Displays 6.0 EPEAT Gold WEEE RoHS ENERGY STAR 6.0,Yes,319 mm,170°,220 V AC 110 V AC,,Philips Electronics,17S4LSB/00,1280 x 1024,,1.0,11.90 W,,,PC Mac,"LCD Monitor, LED Backlight with SmartImage",LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",No,200 mW,,,,,160°,Yes,,3.14 kg,367 mm,No,,65 mm,Yes,393 mm,,17S4LSB,,60 Hz,100 x 100,Yes,3.54 kg,BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS,Textured Black,,Yes,,,,,200 mW,S,,-5°to20°,,Yes,Plastic,367 mm,,,,30%,,,,,,,,,,,
"E2411PU-BN, 4064349, LG Electronics, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,LG,250 cd/m²,USB Hub Speaker,16.7 Million Colours,"5,000,000:1",271 mm,,,ENERGY STAR TCO Displays 5.0,Yes,,170°,220 V AC 110 V AC,,LG Electronics,E2411PU-BN,1920 x 1080,,1.0,30 W,,,,E2411PU-BN Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,300 mW,,,Yes,,160°,,,3.67 kg,,Yes,Yes,,Yes,432.60 mm,,E2411PU-BN,Anti-glare,,,Yes,5.09 kg,TÜV-GS,Matte Black,,Yes,,,,,300 mW,E11,,,2.0,,,569.10 mm,,,,,,,,,,,,,,,
"60002794, 3967199, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",Yes,4:3,,NEC Display,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",,Security Lock Cable Management,,TCO Displays 5.0 EPEAT Gold MPR III MPR II ENERGY STAR 5.0 ErP,Yes,358.5 mm,160°,220 V AC 110 V AC,3 Year,NEC Display Solutions,60002794,1280 x 1024,,1.0,19 W,MultiSync LCD175M LCD Monitor Power cable Audio cable CD-ROM List of commercial agencies User Manual VGA-VGA Cable,,PC,MultiSync LCD175M LCD Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",Yes,,,,,,160°,Yes,,5.20 kg,368 mm,Yes,,230 mm,Yes,,,LCD175M,,60 Hz,100 x 100,Yes,,CE TÜV Ergonomics TÜV GS FCC Class B PCT / Gost UL / C-UL CSA ISO 9241-307 ISO 13406-2,Silver White,,,,Yes,MultiSync,,,,,,2.0,,,,,,,,,,,,,,,,,,
"UM.VH6EE.005, 8654D39, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,250 cd/m²,Speaker,16.7 Million Colours,"100,000,000:1",,,,MPR II ENERGY STAR,Yes,403.9 mm,178°,,2 Year,"Acer, Inc",UM.VH6EE.005,1920 x 1080,,1.0,26 W,H236HL Widescreen LCD Monitor1 x VGA CablePower Cord,In-plane Switching (IPS) Technology,,H236HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",Yes,450 mW,,,,,178°,No,,2.90 kg,530.9 mm,No,No,172.7 mm,Yes,,,H236HL,,60 Hz,,Yes,3.60 kg,,Black,,,Yes,,,No,400 mW,H,No,-5°to15°,2.0,,,,,,,,34 kWh,A,,,,,,,,,
"FWD-S42H1, 1625962, Sony, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,,Sony,700 cd/m²,Speaker,1.06 Billion Colors,"1,000:1",,,,,,577.9 mm,178°,,,Sony Corporation,FWD-S42H1,1920 x 1080,,1.0,,,,,FWD-S42H1 Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"106.7 cm (42"")",Yes,,,,,,178°,,,29.94 kg,984.3 mm,,,124.5 mm,Yes,,Arm-mountable Wall Mountable,FWD-S42H1,,,,Yes,,,,,Yes,,,,,,FWD,,,2.0,,,,,,Yes,,,,Yes,,,,,,,,
"M2870VQ, 3058976, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,AOC,300 cd/m²,,16.7 Million Colours,"50,000,000:1",,Screen+ Security Lock i-Menu e-Saver Eco Mode,,EPEAT Silver ENERGY STAR 6.0 EuP RoHS TCO Certified Displays 6.0,Yes,241.9 mm,178°,110 V AC 220 V AC,3 Year,AOC,M2870VQ,1920 x 1080,,1.0,27.70 W,"m2870Vq 71.1cm (28"") LED Monitor Power cable D-Sub cable HDMI cable Audio cable Product CD-ROM Warranty Card on CD-ROM",MVA technology,,"m2870Vq 71.1cm (28"") LED Monitor",LCD Monitor,5 ms,Full HD,"71.1 cm (28"")",Yes,500 mW,,,,,178°,Yes,,5.30 kg,665.1 mm,No,No,451.8 mm,Yes,,Wall Mountable,m2870Vq,,60 Hz,100 x 100,Yes,,CE GOST ISO 9241-307 TÜV-GS,,Yes,Yes,Yes,,Value,,500 mW,,,-5°to25°,,,,,,,,,,,,,,,,,,,
"VX248H, 3169953, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Asus,250 cd/m²,,16.7 Million Colours,"80,000,000:1",210.10 mm,QuickFit Trace Free Technology Splendid Video Intelligence Technology Security Lock VividPixel Technology GamePlus,,ENERGY STAR 6.0 WEEE China Energy Label (CEL) ErP RoHS,Yes,,170°,230 V AC 120 V AC,3 Year,ASUS Computer International,VX248H,1920 x 1080,,1.0,,VX248H Widescreen LCD Monitor VGA Cable Audio Cable Power Cord Power Adapter Quick Start Guide HDMI-to-DVI Cable HDMI Cable Warranty Card,,PC,VX248H Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"61 cm (24"")",Yes,,,,,,160°,,,3.20 kg,,,,,Yes,338 mm,,VX248H,,76 Hz,,Yes,,BSMI CB CCC CE C-Tick CU FCC UL/cUL VCCI WHQL,Black,,Yes,Yes,Yes,,,,VX,,-5°to20°,2.0,,,535.40 mm,,,,,,,,,,,,,,,
"221B3LPCS/02, 2540936, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",227 mm,PowerSensor Security Lock SmartImage SmartTouch,,EPEAT Gold TCO Certified Displays 5.1 ENERGY STAR 5.0 RoHS,Yes,323 mm,176°,220 V AC 110 V AC,,Philips Electronics,221B3LPCS/02,1980 x 1080,,1.0,17.80 W,,,Mac PC,Brilliance LCD Monitor LED Backlight with PowerSensor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,100 mW,,,Yes,USB 2.0,170°,Yes,,3.40 kg,507 mm,Yes,Yes,59 mm,Yes,480 mm,,221B3LPCS,,60 Hz,100 x 100,Yes,5.30 kg,BSMICE MarkFCC Class BGOSTSEMKOTUV/GSTUV ErgoUL/cUL,Silver,,Yes,,Yes,Brilliance,,,B,,,2.0,,,507 mm,,,,,,,,,,,,,,,
"60002930, NECTFT231, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,,NEC Display,270 cd/m²,USB Hub,16.7 Million Colours,"1,000:1",,Picture in Picture,,ENERGY STAR MPR III MPR II RoHS TCO Displays 5.0,Yes,338 mm,178°,110 V AC 220 V AC,3 Year,NEC Display Solutions,60002930,1920 x 1080,,1.0,46 W,SpectraView 231 Widescreen LCD MonitorPower CordSignal Cable DisplayPortCD-ROM Sales Office ListUser ManualCD-ROM (Software SpectraView Profiler and Manual)VGA-VGA CableDVI-D - DVI-D Cable,In-plane Switching (IPS) Technology,,SpectraView 231 Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"58.4 cm (23"")",,1 W,,,Yes,,178°,Yes,,10.20 kg,543.6 mm,Yes,Yes,227.6 mm,Yes,,,231,,60 Hz,100 x 100,Yes,,CETÜV ErgonomicsTÜV GS C-tickGEEA / Energy LabelFCC Class BPCT/GostUL/C-ULCSA CCCISO 9241-307 (Pixel Failure Class I)PCBC/B-markPSB,Black,Yes,,,,SpectraView,,,,,,,,,,,,,,,,,Landscape/Portrait,,,,,,,
"B2780HSU-B1, 2541168, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,iiyama,300 cd/m²,Speaker USB Hub,16.7 Million Colours,"1,000:1",,Security Lock,,ENERGY STAR TCO Displays 5.0,Yes,548 mm,170°,220 V AC 110 V AC,3 Year,"iiyama North America, Inc",B2780HSU-B1,1920 x 1080,,1.0,37 W,Power CableVGA Cable (D-Sub)DVI CableAudio CableUSB CableStand2 x ScrewsQuick Start GuideSafety Guide,,Mac PC,ProLite B2780HSU,LCD Monitor,2 ms,Full HD,"68.6 cm (27"")",Yes,1 W,,,Yes,,160°,Yes,,8 kg,642 mm,Yes,Yes,250 mm,Yes,,Desk Mountable Wall Mountable,B2780HSU,,75 Hz,100 x 100,Yes,,CETUV-Bauart,Black,,Yes,Yes,Yes,ProLite,,,,,,2.0,,,,,,,,,,,Landscape/Portrait,,,,,,,
"9H.LAWLA.TPE, BENQGW2320, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,BenQ,250 cd/m²,,16.7 Million Colours,"1,000:1",,Senseye 3 Security Lock Eco Mode,,TCO Certified Displays 6.0 ENERGY STAR 6.0,Yes,,178°,,,BenQ Corporation,9H.LAWLA.TPE,1920 x 1080,,1.0,22 W,,In-plane Switching (IPS) Technology,PC,GW2320 Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,300 mW,,,,,178°,,,4.40 kg,,,,,Yes,,,GW2320,,,,Yes,,,Black,,,,,,,,GW,,,,,,,,,,,,,,,,,,,,,
"K9307907, 2655424, Barco, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,Barco,450 cd/m²,,,"1,400:1",,Picture and Picture (PAP) Cable Management Picture in Picture Splash Proof,,RoHS 2 WEEE REACH,Yes,411 mm,178°,220 V AC 110 V AC,3 Year,Barco,K9307907,1920 x 1080,,1.0,120 W,26-inch Full HD Surgical Display User Manual Mains Cables External Power Supply,In-plane Switching (IPS-Pro) Technology,,26-inch Full HD Surgical Display,LCD Monitor,,Full HD,"66 cm (26"")",,,,,,,178°,Yes,,9.50 kg,633 mm,,,90 mm,Yes,,,MDSC-2226,Anti-reflective,,100 x 100,Yes,,IEC60601 3rd Edition CE C-UL-US DEMKO IEC60601-1 UL60601-1 CAN/CSA C22.2 No. 60601-1-08 EMC Medical IEC60601-1-2 EN55011 /CISPR 11 FCC CFR47 part 15 & 18/Class B IP21 IPX5,White,Yes,,Yes,,,,,,,,,,,,Yes,3G-SDI,Yes,,,,Yes,,,,,,,,
"D7P94A4#ABU, 2934906, HP, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,HP,350 cd/m²,USB Hub Speaker,16.7 Million Colours,"5,000,000:1",266.40 mm,Cable Management Security Lock,,CECP EPA REACH WEEE EPEAT Gold RoHS ENERGY STAR TCO Certified Edge IT Eco Declaration China Energy Label (CEL) TCO Certified Displays 6.0,Yes,449.8 mm,178°,110 V AC 220 V AC,3 Year,Hewlett-Packard,D7P94A4#ABU,2560 x 1600,,1.0,125 W,Z30i 30-inch IPS Display AC Power Cord USB Cable DisplayPort Cable DVI-D Cable Documentation CD HP Display Assistant Software,Advanced High Performance In-plane Switching (AH-IPS) Technology,PC,Z30i 30-inch IPS Display,LCD Monitor,8 ms,WQXGA,"76.2 cm (30"")",Yes,500 mW,,,Yes,USB 3.0,178°,Yes,,,690.3 mm,Yes,Yes,66.3 mm,Yes,601 mm,Desk Mountable Wall Mountable Arm-mountable,Z30i,Anti-glare,60 Hz,100 x 100,Yes,9.96 kg,CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC HSMI,Black,Yes,Yes,Yes,,Business,120 mm,,Z,45°,-5°to20°,,Yes,Plastic,690.30 mm,,,,17.2%,,,,,China,,,,,,
"UM.WK3EE.005, PBVISEO223DXBD, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Packard Bell,200 cd/m²,,16.7 Million Colours,"100,000,000:1",207 mm,,,MPR II EPEAT Gold,Yes,304.5 mm,90°,110 V AC 220 V AC,,"Acer, Inc",UM.WK3EE.005,1920 x 1080,,1.0,18.10 W,Viseo223DX Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,Viseo223DX Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,450 mW,,,,,65°,Yes,,2.70 kg,508 mm,No,No,52 mm,Yes,390.50 mm,,Viseo223DX,Anti-glare,60 Hz,100 x 100,Yes,3.10 kg,,Black,,Yes,,,Viseo,No,350 mW,,No,-5°to25°,,,,508 mm,,,,,,,,,,,,,,,
