<page title>,compliant standards,display position adjustments,display size,dot pitch,energy star qualified,image brightness,returns policy,warranty labor,warranty parts,color,compatibility notes,contents,product type,target use,actual weight,physical dimensions,warranty details,diagonal size,speakers included,weight,brightness nitscdm2,color support,connector,connector type,contrast ratio,display technology,display type,internal resolution max,portsconnectors,power notes,response timerate,viewing angle hv degrees,attributes,form factor,image aspect ratio,image size max,image size min,native resolution,projector type,resolution modes,screen distance min,energy star version,brightness lumens,lamp type,digital video standard,refurbished type,system requirements,horizontal frequency khz,vertical frequency hz,os notes
"Buy Asus 22"" VW22AT-CSM Widescreen TFT LCD Monitor, Black Monitors - LCD VW22AT-CSM today at PC Connection",GOST-R J-MOSS FCC WEEE TCO Displays 5.2 TUV Ergo CB TUV GS RoHS CCC BSMI WHQL C-Tick CUL VCCI,Tilt,22 in,0.282 mm,Yes,250 cd/m2,,Call for Warranty,Call for Warranty,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Planar 19"" PLL1920M LED-LCD Monitor, Black Monitors - LED-LCD 997-5956-00 today at PC Connection",CULus,Tilt,19 in,0.294 mm,,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,"Monitor, power cable, VGA cable, BNC-to-RCA adapter, documentation",,,10.08 lb(s),"14.15""h x 16.01""w x 2.77""d",Customer First 2-Day Advance Replacement Warranty for three full years,,,,,16.7 million colors,Power HDDB15 BNC,Power Composite video VGA,1000:1,LCD LED-backlit,Standard,1280 x 1024,"(1) HDDB15 VGA
(2) BNC composite video (in, out)
(1) RCA L/R audio
(1) Power in","Supply: 100-240VAC
Consumption: 45W (typ.); 1W (standby)",5 ms,170/160,Tilt,,,,,,,,,,,,,,,,,
Buy Siig Articulating Quad Monitor Desk Mount  for Flat Panels 13 Stands & Mounts - AV CE-MT0S12-S1 today at PC Connection,RoHS,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"Articulating/full-motion desktop mount for four monitors from 13” to 27” & up to 22 pounds each.
Gets monitors out of the way & frees up valuable desk workspace.
Supports tilt angles of +/-45o, 180o swivel, 360o rotation for easy adjustment of viewing angle.
Four dual-section mounting arm that extend up to 17” & allows height adjustment up to 28” for proper monitor positioning.
Supports portrait or landscape monitor orientations.
Installs quickly & easily on to any desk or table.
Heavy-duty “C”-clamp is compatible with all table and desk surfaces from ½” to 4” in thickness.
Integrated cable management keeps cables neat, organized & out of the way.
Compatible with VESA mounting 75x75mm and 100x100mm patterns.
Includes installation guide and mounting hardware kit.","Mount, documentation",Desk mount,Flat panel display,19.10 lb(s),"32.5""h x 35.5""w x 4.4""d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Chief Manufacturing FUSION 3 x 3 Micro-Adjustable Large Bolt Stands & Mounts - AV LBM3X3U today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,"3 x 3 screen arrangement for 42 - 46"" screens. Larger displays possible with FCAX brackets, use MountFinder to confirm compatibility.
Easily align displays with independent height, plumb and lateral shift adjustment.
Bolt-down solution allows for a permanent solution.
Integrated cable management for a clean installation.
Mounting Pattern Compatibility (Universal Versions): any width x 100 mm - 400 mm
Max weight capacity of 100 pounds per screen.","mount, documentation",Mounting kit,Flat panel display,,"90.9""h x 108.9""w x 9.4""d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Peerless Precision Gear Projector Mount for Projectors up to 50 Stands & Mounts - AV PRGS-UNV-W today at PC Connection,CULus,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,"50 pounds Weight load capacity.
Patent pending precision gear provides accurate projector image alignment.
Two adjustment knobs control projector image alignment.
Horizontal wrench access slots make flush mounting installations fast & easy.
Pre-assembled design reduces installation time.
Quick release mechanism to easily service projector.
Cable management allows cables to be routed through projector mount out of sight.
Security hardware included for theft prevention.
Tilt- ± 20°, Roll ± 10°, Swivel 360°.
Contact Peerless for model specific adapter plate, or universal clamp style adapter plates.","Mount, documentation",Projector ceiling mount,Projector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Asus 27"" VG278HE 3D Full HD LED-LCD Monitor, Black Monitors - LED-LCD VG278HE today at PC Connection",CCC VCCI PSB BSMI CB CUL WEEE J-MOSS WHQL C-Tick RoHS GOST-R FCC,Tilt Swivel Height,27 in,0.311 mm,Yes,300 cd/m2,,Call for Warranty,Call for Warranty,Black,,,,,,,,,,,300 cd/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Acer 22"" H226 IPS LED Full HD Monitor, Black Monitors - LED-LCD UM.WH6AA.002 today at PC Connection",,Tilt,21.5 in,,,250 cd/m2,,3 Years,3 Years,Black,"Vivid:
You'll enjoy tasks and entertainment more with fine details and smooth movement, thanks to high resolutions, fast response times and superior contrast ratios. Games are more exciting and films truly cinematic when visuals are vibrant. Plus, the widescreen aspect ratio frames movies and HDTV content perfectly.
Easy:
Set your display as you see fit with Acer eColor Management. A host of ports, including HDMI, DVI, DisplayPort and VGA, let you connect other devices -- like your notebook or HDTV -- to expand your perspective to a bigger screen. The great sights are complemented by nice sound in models that include internal speakers.
Green:
Safe for you and your world, Everyday Series monitors are RoHS compliant, use mercury-free white LED backlighting and meet ENERGY STAR 5.0 requirements. Acer EcoDisplay technologies deliver up to 68% power savings, further conserving energy and costs. Acer packaging is made of recyclable materials, too.
Glossy screen finish.","Monitor, VGA cable, DVI cable, HDMI cable, documentation",,,5.60 lb(s),"15.2""h x 19.6""w x 6.8""d",limited,,,,250 nit(s),,DVI HDMI Power HDDB15,DVI Power HDMI VGA,"100,000,000:1",LCD LED-backlit,Glossy Widescreen,1920 x 1080,"(1) DVI
(1) HDMI
(1) HDDB15 VGA
(1) Power in",,5 ms,178/178,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
Buy 3M Privacy Filter for 13.3-inch Widscreen Notebook Glare Filters & Privacy Screens PF13.3W today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,Black,Not intended for the MacBook Pro unibody laptop.,"Privacy filter, documentation",Display privacy filter,,,"7.1""h x 11.3""w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Ergotron Neo-Flex Dual LCD Lift Stand, Black Stands & Mounts - AV 33-330-085 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Maximum outside width of display is 22"". This is typically the horizontal dimension of a 22""-inch diagonal screen-size monitor.
Weight Capacity: 14–34lbs. total.
Note: Monitors must be equal in weight or +/-1 pound.
Mounting Standards: VESA FDMI MIS-D, 100/75, C (hole pattern: 100 x 100mm and 75 x 75mm).
Install displays at 3.5° or 8.5° upward angle for optimized viewing conditions.
Monitors are installed with 8° inward off-set angle, creating a 16° viewing parabola for better sight lines.","Stand, crossbar, sliding monitor bracket, VESA mounting kit, cable ties, documentation",Monitor stand Display stand,Dual flat panel,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Peerless Paramount 21-34in Ceiling Mount for LCD 15-37in, black Stands & Mounts - AV PC932C today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"VESA 75, 100, 200x100, and 200x200 compatible
+15/-5 degrees of adjustable tilt to achieve the ideal screen viewing position
Continuous tilt with optional lock in 5 degree increments for easy adjustment and perfect viewing angle
Comes in adjustable height ranges of 10”–14”, 14”–22” and 20”–34” for the optimal viewing height
360 degree swivel provides limitless screen placement opportunities
Internal cable management allows cables to be routed through extension column for a clean, clutter-free installation
Mounts to wood joist or concrete
Supports up to 80 pound LCD flat panel screen","Mount, hardware, documentation",Ceiling mount,LCD,6.00 lb(s),"20.24""-34.02""h x 6.5""w x 6.5""d",Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Peerless LCD Ceiling Mount for 13-29in LCDs, Silver, 18-30 Drop, Stands & Mounts - AV LCC-18CS today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,Silver,"For 13 to 29-inch LCDs, weighing up to 40 pounds","Mount, documentation",Ceiling mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Peerless Articulating Arm Wall Mount for Flat Panels 10-22in, Stands & Mounts - AV pa730 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"Extends 14.46” from the wall
Retracts to 1.23” to save space
Integrated cable management keeps cables and cords out of the way
Pre-tensioned tilt mechanism offers up to ±35 degrees of one-touch tilt angle adjustment
±5 degrees of roll to level screen horizontally
Up to 180 degrees of swivel
VESA 75 and 100 compliant
UL listed
Max Weight 25 pounds","Mount, hardware, documentation",Wall mount arm,Flat panel display,3.30 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy AOC 19.5"" E2050SWD LED-LCD Monitor, Black Monitors - LED-LCD E2050SWD today at PC Connection",DDC-2B RoHS EPEAT Silver EPA 5.1 TUV S cCSAus DDC/CI FCC,,20 in,0.276 mm,Yes,200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Glossy black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy StarTech.com 8-Port Cat 5 VGA Video Splitter Distribution Video Extenders & Splitters ST128UTPE today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,"Monitor receivers are sold separately (See STUTPRXL)
Monitors can be up to 920 Ft (300m) away
Simultaneously displays the same image on 8 monitors
Supports a maximum resolution of 1024 x 768 @ 60 Hz refresh rate","Video splitter, documentation",Extender,,8.70 oz,"1.2""h x 7.9""w x 3.3""d",,,,,,,,,,,,,"(1) High Density 15 pin F
(1) High Density 15 pin M
(8) RJ45 F",,,,,,,,,,,,,,,,,,,,,
