3d compatibility,<page title>,aspect ratio,builtin camera,builtin speakers,cable lock slot,cables included,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvi port,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan connection,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,led indicators,linux operating systems supported,manual,on screen display osd,onoff switch,operating relative humidity range,operating temperature range tt,pivot,pivot angle,plug and play,power consumption max,power consumption standby,power consumption typical,power led,quick start guide,response time,standby led,storage relative humidity range,storage temperature range tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,weight,weight with stand,width,width with stand,windows operating systems supported,wireless lan connection,colour,dimensions w x d x h with stand,display srgb,display viewable area hxv,mean time between failures mtbf,package dimensions wxdxh,pixel pitch,power consumption active,power consumption off,relative humidity,backlight type,digital horizontal frequency,digital vertical frequency,displayports quantity,hdmi ports quantity,vesa mounting interfaces compatibility,wall mountable,audio output,bluetooth,builtin subwoofer,card reader integrated,epeat compliance,full hd,hdmi,headphone out,placement supported,video dot rate,viewable size horizontal,viewable size vertical,dcin jack,display diagonal metric,feet colour,handheld remote control,ac power in,number of loudspeakers,package weight,viewable size diagonal,power consumption powersave,swivel angle,ethernet lan,headphone outputs,wifi,anschlüsse,auflösung empfohlen,bildformat,blickwinkel horizontal,blickwinkel vertikal,displaygröße,eigenschaften,farbe herstellerspezifisch,gewicht netto,helligkeitleuchtstärke,kontrastverhältnis,lcd paneltechnologie bzw tm,netzteil,prüfzeichenzertifikatezulassungen,reaktionszeit,signalart,vesa bohrung,camera included,connection to pc,dvii ports quantity,horizontal scan range,power consumption,rms rated power,safety,vertical scan range,display type,number of colours,builtin microphone,compatible memory cards,microphone in,farbe allgemein,mac operating systems supported,ac adapter included,headphone connectivity,number of osd languages,on screen display osd languages,operating temperature tt,annual energy consumption,audio input,electromagnetic compatibility,packaging depth,packaging height,packaging width,mobile highdefinition link mhl,nonoperating altitude,operating altitude,operating relative humidity hh,storage temperature tt,strahlungsnorm,display surface,pc audio in,separate hv sync,syncongreen sog,maximum resolution,number of products included,screen saving functions,volume control,composite sync,power consumption average,usb 30 ports quantity,common interface ci,common interface plus ci,usb powered,glossy display,rotating,led backlight,pictureinpicture,quantity,user guide on cdrom,compatible with vesawall mounting system,effective viewing area,picture enhancement,compliance industry standards,hdready,power cord included,storage relative humidity hh,dimensions w x d x h,composite video in,svideo in,swivel,megapixel,product type,io ports,power requirements,bezel width side,bezel width top,swivel webcam,power consumption economy mode,bezel width bottom,svideo inputs quantity
N,23ET63V - LG FLATRON Monitor 23ET63V LED 58CM 23IN - Xpcpro.com,16:9,,,,"USB, VGA","ULcUL, FCC-B, CE","Black, White",5000000:1,,53 mm,53 mm,IPS,250 cd/m²,"23 """,16.77 M,1920 x 1080 pixels,,,,,,,,Y,338 mm,N,338 mm,,100 - 240 V,,,,,,,,,,Y,,0.3 W,25 W,,,5 ms,,,,1920 x 1080 HD 1080,,,,,,15 - 58 °,,1,1,178 °,178 °,,4400 g,555 mm,,,,,,,,,,0.2652 x 0.2652 mm,,,,,,,,1,75 x 75 mm,Y,,,,,,,,,,,,,,,,,,,5700 g,,0.3 W,,,,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,,,56 - 75 Hz,LED,16.7 M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,E960SRDA - AOC Professional e960Srda LED monitor - Xpcpro.com,5:4,N,Y,Kensington,,"CE, cTUVus, EuP, FCC, ISO 9241-307, GOST, RoHS, TCO 5.0, TÜV-GS",Black,20000000:1,1000:1,210 mm,,LED,250 cd/m²,"19 """,16.77 M,1280 x 1024 pixels,,,1,Unspecified,Y,,,N,405.1 mm,N,,,90 - 240 V,,,,Y,Y,,,N,,Y,,0.5 W,22 W,,,5 ms,,,,1280 x 1024 SXGA,,,N,N,Y,-5 - 15 °,N,,1,170 °,160 °,2850 g,4200 g,409.2 mm,,,,,,,,,,0.294 x 0.294 mm,,0.5 W,,,30 - 80 kHz,50 - 76 Hz,,,100 x 100 mm,Y,,N,,N,Silver,,,,,140 MHz,376 mm,301 mm,,48.3 cm,,,Y,1,,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XB2483HSU-B1 - Iiyama XB2483HSU-B1 60CM 24IN LED - Xpcpro.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.920 x 1.080,Wide 15:9/16:9/16:10,170 °,160 °,"61 cm 24""",,,"3,4 kg",250 cd/qm,1000 :1,TN,,,2 ms,digital/analog,100 x 100 mm,,,,,,,,,,,,,,schwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MC914ZM/B - Apple Thunderbolt Display LED monitor - Xpcpro.com,16:9,Y,Y,Kensington,AC,,,,1000:1,207 mm,,LED,375 cd/m²,"27 """,16.77 M,2560 x 1440 pixels,IPS,,,Unspecified,,Y,Full HD,,491 mm,,,50/60 Hz,100 - 240 V,,,Y,,,20 - 80 %,10 - 35 °C,,,,250 W,,,,,12 ms,,,-20 - 47 °C,2560 x 1440,,,,N,,,N,3,,178 °,178 °,10800 g,,650 mm,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 W,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,S26361-K1497-V140 - Fujitsu B24W-7 LED LED monitor - Xpcpro.com,16:10,N,Y,Kensington,"AC, Audio 3.5mm, DVI, USB, VGA","CE, GS, EAC, C-Tick, EAC, FCC, VCCI, KC, TÜV-S, BSMI, CCC, SASO, cUL, TCO",Grey,20000000:1,1000:1,64 mm,204 mm,LED,300 cd/m²,"24 """,16.77 M,1920 x 1200 pixels,WVA,Y,1,,Y,,,Y,366 mm,Y,384 mm,50/60 Hz,100 - 240 V,,,Y,Y,Y,,,,,,25 W,,16.7 W,,Y,5 ms,,,,"1280 x 768, 1280 x 800, 1400 x 900, 1024 x 768 XGA, 1600 x 1200 UXGA, 1680 x 1050 WSXGA, 1920 x 1080 HD 1080, 1920 x 1200 WUXGA, 640 x 480 VGA, 800 x 600 SVGA",,0 - 90 °,Y,N,Y,-5 - 35 °,N,2,1,178 °,178 °,4200 g,6900 g,559 mm,559 mm,,,,,,,70000 h,,0.270 x 0.270 mm,,0.1 W,,,30 - 82 kHz,48 - 76 Hz,,,100 x 100 mm,Y,,,,,Gold,,,,,,518 mm,324 mm,Y,61 cm,Silver,,Y,2,8400 g,,0.18 W,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3 W,,,,,,,,,,Y,3.5 mm,19.0,"ARA, CHI SIMPL, CHI TR, CZE, DAN, DEU, DUT, ENG, ESP, FIN, FRE, ITA, JPN, NOR, POL, POR, RUS, SWE, TUR",5 - 35 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LS19C45KBR/EN - Samsung  SM S19C450BR LED 19IN - Xpcpro.com,5:4,N,N,,,,Black,1000:1,,210 mm,210 mm,LED,250 cd/m²,"19 """,16.77 M,1280 x 1024 pixels,TNFilm,,1,Unspecified,Y,,N,,369 mm,,469 mm,,,,,Y,,,10 - 80 %,10 - 40 °C,Y,-1 - 95 °,,,0.1 W,19 W,,Y,5 ms,,,,1280 x 1024 SXGA,,,Y,N,Y,-3 - 25 °,N,,1,170 °,160 °,2.95 g,4.45 g,407 mm,407 mm,,,,,,,,,,,,,,,,,,100 x 100 mm,Y,,,,,Gold,,,,,,,,,,,,,,,,,-45 - 45 °,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"LS22C45KMWV/EN - Samsung SyncMaster S22C450MW,  - Xpcpro.com",16:10,N,Y,,,"TCO, UL, CSA, TUV, GB, IEC",Black,1000:1,,55.5 mm,210 mm,LED,250 cd/m²,"22 """,16.77 M,1680 x 1050 pixels,TNFilm,,1,,Y,,N,N,329.8 mm,Y,453.5 mm,50/60 Hz,100 - 240 V,"Power, Y",,,,,10 - 80 %,10 - 40 °C,Y,-1 - 95 °,,,0.1 W,24 W,,,5 ms,,,,1680 x 1050 WSXGA,,,Y,N,Y,-3 - 25 °,N,,1,170 °,160 °,3500 g,5000 g,502.4 mm,502.4 mm,,,,,,,,,0.282 x 0.282 mm,,,,,,,,,100 x 100 mm,Y,Y,,,,Gold,,,,,,,,,,,,,2 pcs,6400 g,,,-45 - 45 °,,,,,,,,,,,,,,,,,,,,,,,,,,2 W,,,,,,,,,,,,,,,,Y,"FCC, ACE, KCC, CCC, GB",416 mm,188 mm,578 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,244E5QHAD/00 - Philips E-line 244E5QHAD  LED - Xpcpro.com,16:9,N,Y,Kensington,,"RoHS, BSMI, CE, cETLus, FCC Class B, GOST, SASO, SEMKO, TCO 6.0, TUV/ISO9241-307, WEEE","Black, Cherry",20000000:1,1000:1,45 mm,213 mm,LED,250 cd/m²,"23.8 """,16.77 M,1920 x 1080 pixels,IPS,N,,,Y,,Full HD,Y,338 mm,N,428 mm,50/60 Hz,100 - 240 V,,,,Y,,,,N,,Y,,0.5 W,18.6 W,,,5 ms,,,,1920 x 1080 HD 1080,,,,N,Y,-5 - 20 °,N,,1,178 °,178 °,3440 g,3800 g,557 mm,557 mm,Y,,,,Y,,30000 h,,0.2745 x 0.2745 mm,,0.3 W,,W-LED,,,,2,100 x 100 mm,Y,,,,,Silver,,,,,,,,,60.5 cm,,,,2,5340 g,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,10 W,,56 - 75 Hz,,,,,,,Y,,,,"CHI SIMPL, CHI TR, CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",0 - 40 °C,,Y,,99 mm,478 mm,599 mm,Y,0 - 12192 m,0 - 3658 m,20 - 80 %,-20 - 60 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"G2460PQU - AOC g2460Pqu LED monitor 24"", 1920 x - Xpcpro.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DVI-D, DisplayPort, HDMI mit HDCP, D-Sub 15 pol.",1.920 x 1.080,Wide 15:9/16:9/16:10,170 °,160 °,"61 cm 24""","schwenkbar, neigbar, Speaker, höhenverstellbar",,"6,54 kg",350 cd/qm,1000 :1,,,"Energy Star, FCC, GOST, EPEAT Gold, ISO 9241-307, TÜV-GS, CE",1 ms,digital/analog,100 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCO 5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,224E5QDAB/00 - Philips 224E5QDAB LED monitor  - Xpcpro.com,16:9,N,Y,Kensington,AC,,Black,20000000:1,1000:1,47 mm,213 mm,LCD,250 cd/m²,"21.5 """,16.77 M,1920 x 1080 pixels,LCD,Y,1,Unspecified,Y,,Full HD,Y,306 mm,,394 mm,50/60 Hz,100 - 240 V,"Operation, Stand-by",,,Y,,,,Y,,Y,,0.5 W,17.46 W,,,5 ms,,,,1920 x 1080 HD 1080,1080p,,,N,Y,-5 - 20 °,N,,1,178 °,178 °,2820 g,3140 g,500 mm,500 mm,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8",,,,,,30000 h,,0.248 x 0.248 mm,,0.5 W,20 - 80 %,W-LED,,,,1,100 x 100 mm,Y,Y,,,,Silver,,,,,,,,,54.6 cm,,,,2,5010 g,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,10 W,,56 - 75 Hz,,,,,,,"Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion, Mac OS X 10.8 Mountain Lion, Mac OS X 10.9 Mavericks",,,22.0,"CHI SIMPL, CHI TR, CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",0 - 40 °C,,Y,,106 mm,466 mm,562 mm,Y,0 - 12192 m,0 - 3658 m,,-20 - 60 °C,,Gloss,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"60003334 - NEC E223W BLACK 55,9CM 22"" (60003334) - Xpcpro.com",16:10,N,N,Kensington,"AC, DVI, VGA",TCO 5.2,Black,25000:1,1000:1,218 mm,,LED,250 cd/m²,"55.87 cm 22 """,16.77 M,1680 x 1050 pixels,TNFilm,,1,Unspecified,Y,N,N,Y,384 mm,Y,,50/60 Hz,100 - 240 V,Y,Y,Y,Y,Y,20 - 80 %,5 - 35 °C,Y,0 - 90 °,Y,25 W,0.4 W,,Y,Y,5 ms,Y,,,"1280 x 960, 1366 x 768, 1024 x 768 XGA, 1280 x 1024 SXGA, 1280 x 720 HD 720, 1280 x 768 WXGA, 1360 x 768 WXGA, 1400 x 1050 SXGA, 1440 x 900 WXGA, 1600 x 1200 UXGA, 1680 x 1050 WSXGA, 640 x 480 VGA, 800 x 600 SVGA",,,Y,N,Y,-5 - 30 °,N,,1,170 °,160 °,5600 g,,503.5 mm,,Y,N,,,Y,,,,0.282 x 0.282 mm,,,,W-LED,,,1.0,,100 x 100 mm,Y,,N,,,Silver,,,,,,,,,,,,Y,,,,12 W,-170 - 170 °,,,,,,,,,,,,,,,,,,,,,,,,31.5 - 82.3 kHz,,,,56 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
