3d compatibility,<page title>,ac power in,aspect ratio,audio input,backlight type,bluetooth,builtin camera,builtin speakers,builtin subwoofer,cable lock slot,cables included,card reader integrated,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan,hd type,hdcp,hdmi ports quantity,height,height adjustment,horizontal scan range,input frequency,input voltage,manual,number of loudspeakers,number of osd languages,on screen display osd,on screen display osd languages,operating relative humidity hh,operating temperature tt,pivot,pivot angle,pixel pitch,plug and play,power consumption standby,power consumption typical,power led,quick start guide,response time,separate hv sync,storage relative humidity hh,storage temperature tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,width,compatible memory cards,ethernet lan rj45 ports,full hd,headphone outputs,led backlight,microphone in,package weight,packaging depth,packaging height,packaging width,product type,rms rated power,touch sensitive screen,usb 20 ports quantity,wifi,depth with stand,dimensions w x d x h with stand,display diagonal metric,display srgb,dvi port,effective viewing area,epeat compliance,headphone out,height with stand,mac operating systems supported,mean time between failures mtbf,mobile highdefinition link mhl,nonoperating altitude,onoff switch,operating altitude,package dimensions wxdxh,pc audio in,power consumption active,power consumption max,power consumption off,syncongreen sog,weight with stand,width with stand,windows operating systems supported,digital horizontal frequency,digital vertical frequency,displayports quantity,feet colour,user guide on cdrom,viewable size diagonal,power consumption powersave,standby led,display type,display viewable area hxv,power supply type,touch screen type,touchscreen technology,compliance industry standards,led indicators,quantity,relative humidity,ac adapter included,dcin jack,usb 30 ports quantity,active display area w x h,component video ypbprycbcr in,composite video in,rohs compliance,vga dsub input ports,power consumption average,display surface,compatibility,maximum screen size compatibility,minimum screen size compatibility,number of displays supported,audio output,rotating,usb version,power cord included,dimensions wxdxh,hdmi,headphone connectivity,number of products included,color gamut,omnitapps multitouch compatibility,pictureinpicture,bezel width bottom,bezel width side,bezel width top,power requirements,camera included,linux operating systems supported,ethernet lan data rates,electromagnetic compatibility,megapixel,safety,screen format adjustments,maximum resolution,placement supported,screen saving functions,height adjustment range,maximum weight capacity,pan range,rotation,glass thickness,number of colours,rs232 ports,voltage tolerance,child lock,swivel angle,mini displayport quantity,audio system,usb required,depth max,height max,mounting interface,screen size compatibility,handheld remote control,speakers,swivel webcam,input current,volume control,builtin microphone,current rating,picture enhancement,recyclable material,hdready,connection to pc,video dot rate,native resolution,composite sync,compatible operating systems,security features,viewing angle,glossy display,common interface ci,common interface plus ci,number of simultaneous touchpoints windows 7,usb powered,maximum analog resolution,cable length,interface type,annual energy consumption
No,Elo TouchSystems 1928L - MBE,,5:4,,,,,Yes Yes,,,,,,Beige Beige,,1300:1,,,267 cd/mÂ²,"48.26 cm (19"")",,1280 x 1024 pixels,,1.0,,,,,,,,,,,12V,,2 2,,Yes Yes,,20 - 80%,0 - 40 Â°C,,,,Yes Yes,,48W,,,20 ms,Yes,10 - 90%,-20 - 60 Â°C,,,,,,,,,,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,6.1 kg,,,,No,,,,11800g 11800g,,,,,4W 4W,,1.0,,,429 x 212 x 390 mm,,,,,,,,,50000h 50000h,,,,,540 x 315 x 510 mm 540 x 315 x 510 mm,,,,,,8 kg,,,31.5 - 80 kHz,56.3 - 75 Hz,,,,,,,LCD,376 x 301 mm,AC AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 pc(s) 1 pc(s),,,,,,,,,,,,,,,,Horizontal,,,,,,,16.7M,2.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"LG MONITOR, LED 24, LG 24M35H-B - MBE",Yes,16:9,,,No,,,,,,,"EPA, FCC-B, CE, UL(cUL), TUV-Type",Black Black,5000000:1,1000:1,9.8 cm,LED,200 cd/mÂ²,"59.94 cm (23.6"")",16.77M,1920 x 1080 pixels,TN,,Unspecified,,No,Full HD,Yes,1.0,31.4 cm,,,50/60 Hz,100 - 240V,,,,Yes Yes,,,,,,0.2715 x 0.2715 mm,Yes Yes,0.3W,19W,Yes Yes,,5 ms,,,,1920 x 1080 (HD 1080),1080p,,,No,Yes,-3 - 20Â°,,,Yes,1.0,,,170Â°,160Â°,Yes,2.7 kg,55.6 cm,,,,1.0,,,,,,,,,,,No,21.5 cm,,60 cm,,,,Gold,,43.8 cm,,,,,Yes Yes,,,,,,0.3W,,3 kg,55.6 cm,,,,,,,,,Yes Yes,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Acer Essential 196LBMD - MBE,,,,,,No No No,Yes Yes Yes,,,,,,Black Black,100000000:1,,,LED,250 cd/mÂ²,"48.26 cm (19"")",,1280 x 1024 pixels,IPS,,Unspecified,,,,Yes,,,,,,,,,,,,,,,,,,,,,,5 ms,,,,1280 x 1024 (SXGA),,,,No,,,No No,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,48 cm,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newstar LCD/TFT desk mount - MBE,,,,,,,,,,,,,Grey Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - 180Â°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCD/TFT TVs,,"25.4 cm (10"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,10 kg,,360Â°,,,,,,,,,,60 cm,31 cm,"VESA 75 x 75mm, 100 x 100mm VESA 75 x 75mm, 100 x 100mm","60.96 cm (24"")",,,,,,,,,,,,,,,,,,,,,,,,,,
,Elo TouchSystems 1517L Rev B - MBE,,4:3,,,,,,,,,,,Black Black,,700:1,,,225 cd/mÂ²,"38.1 cm (15"")",,1024 x 768 pixels,,,,,,,,,,,31.5 - 60 kHz,50/60 Hz,100 - 240V,,,8,,"CHI (SIMPL), CHI (TR), DEU, ENG, ESP, FRE, ITA, JPN",20 - 80%,0 - 40 Â°C,,,,,,12W,,,16 ms,,10 - 90%,20 - 60 Â°C,"720 x 400, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA) 720 x 400, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA)",,,,,,,,56 - 75 Hz,75 x 75 mm,1.0,,,160Â°,140Â°,,,,,,,,Yes,,7.3 kg 7.3 kg,23.1 cm,48.5 cm,48.7 cm,,,,1.0,,,358 x 197 x 319 mm,,,,,,,,,50000h 50000h,,,,,,,,,,,4.3 kg,,,,,,,,,,,LCD,228 x 304 mm,AC/DC AC/DC,Tabletop Tabletop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3 cm 4.3 cm,16.2M,1.0,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,AOC E2470SWHE LED display - MBE,,16:9,,,,No No No,No No No,,Kensington Kensington,"HDMI, VGA HDMI, VGA",,,Black Black,20000000:1,1000:1,7.82 cm,LED,250 cd/mÂ²,"59.94 cm (23.6"")",16.77M,1920 x 1080 pixels,LCD,,Unspecified,Yes,,Full HD,No,2.0,39.69 cm,No,,50/60 Hz,110 - 240V,,,,Yes Yes,,,,,,0.276 x 0.276 mm,,0.5W,26W,,,5 ms,,,,,,,,No,,,No No,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,3.58 kg,55.14 cm,,,,,,,,,,,,,,,,,,59.9 cm,,No,,Gold,,,,,,,,,,,,,0.5W,,,,,,,,Black Black,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No No,,,,,,,,,,,,,,,,,,,,,,,,,
,Benq BL902TM - MBE,,5:4,,,,No No No,,,Kensington Kensington,,,TCO5.0,Black Black,12000000:1,1000:1,22.26 cm,,250 cd/mÂ²,"48.26 cm (19"")",,1280 x 1024 pixels,,,,,,,Yes,,41.92 cm,,,,,,,,,,,,,,0.294 x 0.294 mm,,,25.8W,,,5 ms,,,,,,-45 - 45Â°,,,,-5 - 20Â°,No No,,100 x 100 mm,1.0,,,170Â°,160Â°,,5.1 kg,43.235 cm,,,,1.0,,,,,,,,2W 2W 2W,,,,41.92 cm,,,,,,,,5.605 cm,,,,,,,,,,,,,7.6 kg,36.125 cm,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 - 240 VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo ThinkVision LT1423p - MBE,,16:9,,W-LED,,,,,,,,RoHS RoHS,Black Black,3500000:1,500:1,1.27 cm,IPS,200 cd/mÂ²,"33.78 cm (13.3"")",,1600 x 900 pixels,,,,Yes Yes,,,,,22.544 cm,,,,,,,,,,10 - 80%,0 - 40 Â°C,,,0.184 x 0.184 mm,,1.5W,6W,,,35 ms,,,,"1600 x 900, 1280 x 720 (HD 720) 1600 x 900, 1280 x 720 (HD 720)",720p 720p,,,,,,,,,,,,150Â°,150Â°,,850g,34.796 cm,,,No,,,,2.22 kg 2.22 kg,,,,,,,,,,,33.02 cm,,,,,,,,,,,,,409 x 66 x 281 mm 409 x 66 x 281 mm,,,,,,,,,,,,,,33.782 cm,,,LED,165.24 x 293.76 mm,,Tabletop Tabletop,Capacitive,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iiyama ProLite T2735MSC-B1 - MBE,,16:9,,,,,,,,,,,Black Black,5000000:1,3000:1,5 cm,,260 cd/mÂ²,"68.58 cm (27"")",,1920 x 1080 pixels,,1.0,,,,,,1.0,41.9 cm,,24 - 80 kHz,50/60 Hz,100 - 240V,,,,,,,,,,0.311 x 0.311 mm,,,36W,,,5 ms,Yes,,,,,,,,,15 - 70Â° 15 - 70Â°,,55 - 75 Hz,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,8.3 kg,67.25 cm,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCD,597.6 x 336.15 mm,,,Capacitive,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7M,,,,,,,,,,,,,2 x 2W 2 x 2W,,,,,,,,,,,,,,,,,,,,,,,,
No,AOC E2370SN 23 WIDE LED MONITOR - MBE,Yes,16:9,,W-LED,,No No No,No No No,,Kensington Kensington,"AC, VGA AC, VGA",,"CE, CU, RoHS, TÃœV-GS",Black Black,20000000:1,600:1,,LCD,200 cd/mÂ²,"58.42 cm (23"")",16.77M,1920 x 1080 pixels,TN,,Unspecified,Yes,,Full HD,No,,,No,30 - 83 kHz,50/60 Hz,100 - 240V,,,,,,,,,,0.265 x 0.265 mm,Yes Yes,0.5W,19.8W,,,5 ms,,,,1920 x 1080 (HD 1080),1080p,,,No,Yes,-5 - 25Â°,No No,50 - 76 Hz,100 x 100 mm,1.0,50.918 cm,28.642 cm,,,Yes,,,,,,,,,5.2 kg 5.2 kg,11.7 cm 11.7 cm,43.5 cm 43.5 cm,60.7 cm 60.7 cm,,,,,,22.1 cm,,58.4 cm,,No,,Silver,,39.33 cm,,,,,Yes Yes,,,,,,0.5W,,3.5 kg,54.67 cm,,,,,,Yes Yes Yes,,,,,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEC MultiSync V652 - MBE,,16:9,,,,,Yes,,,"AC, DVI",,CE; TÃœV GS; C-tick; FCC B; UL/C-UL or CSA; PSB; VCCI;RoHS,Black,,4000:1,8.83 cm,,320 cd/mÂ²,"165.1 cm (65"")",,1920 x 1080 pixels,,2.0,,Yes,Yes,Full HD,Yes,1.0,90.92 cm,,,,,Yes,,,,,20 - 80%,0 - 40 Â°C,,,,,1W,185W,,Yes,8 ms,,10 - 90%,-20 - 60 Â°C,"720 x 400, 720 x 576, 1280 x 960, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 768 (WXGA), 1280 x 800 (WXGA), 1400 x 1050 (SXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)","1080i, 1080p, 480p, 576p, 720p",,,,,,No,,400 x 400 mm,,,,178Â°,178Â°,Yes,52 kg,142.85 cm,,1.0,,,,,,,,,,20W,No,,,,,163.9 cm,,Yes,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,LED,,,,,,,,,,,,1428.5 x 803.5 mm,1.0,1.0,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,100 Mbit/s,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
No,Benq VW2245Z - MBE,,16:9,,,,No No No,No No No,,Kensington Kensington,,,,Black Black,2000000:1,3000:1,50.6 cm,LED,250 cd/mÂ²,"54.61 cm (21.5"")",16.77M,1920 x 1080 pixels,LCD,,Unspecified,,,Full HD,Yes,,17.85 cm,No,,,,,,,,,,,,,0.248 x 0.248 mm,,,0.5W,,,25 ms,,,,1920 x 1080 (HD 1080),,,,No,,,No No,,,1.0,,,178Â°,178Â°,Yes,2.7 kg,38.22 cm,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,0.5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iiyama ProLite T1931SAW-B1 - MBE,,5:4,,,,,,,,,,,Black Black,,900:1,,TN+Film,230 cd/mÂ²,"48.26 cm (19"")",,1280 x 1024 pixels,,,,,,,,,,,31.5 - 80 kHz,50/60 Hz,100 - 240V,,,,,,,,,,0.294 x 0.294 mm,Yes Yes,,20W,,,5 ms,Yes,,,,,,,,,-5 - 90Â° -5 - 90Â°,,56 - 75 Hz,100 x 100 mm,,,,170Â°,160Â°,Yes,6.6 kg,,,,,,,,,,,,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,301 x 376 mm,AC AC,Tabletop Tabletop,Surface acoustic wave,,,,,,,,,,,,,,,,,,,,,,,432 x 218 x 390 mm 432 x 218 x 390 mm,,,,,No No,,,,,,,,,,,,,,,,,,,,,16.7M,,,,,,,,,,,,,2 x 1 W 2 x 1 W,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VK248H - MBE,,16:9,,,,Yes Yes Yes,Yes Yes Yes,,Kensington Kensington,"AC, DVI, VGA AC, DVI, VGA",,"UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, J-MOSS, PSE, RoHS, WEEE",Black Black,50000000:1,1000:1,6.15 cm,LED,250 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1080 pixels,,1.0,,Yes,,Full HD,,1.0,35.88 cm,,30 - 83 kHz,,,Yes Yes,2 2 2,,,,,,,,0.2768 x 0.2768 mm,,,42W,Yes Yes,Yes Yes,2 ms,,,,1920 x 1080 (HD 1080),,,,No,,20 - -5Â°,No No,50 - 76 Hz,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,5 kg,56.84 cm,,,,1.0,,,7.4 kg 7.4 kg,16.1 cm 16.1 cm,47.3 cm 47.3 cm,64.1 cm 64.1 cm,,4W 4W 4W,,,,,,61 cm,,Yes,,,,,,,,,,,,Yes,,,0.5W,,,,,30 - 83 kHz,50 - 76 Hz,,,,,0.5W,Yes Yes,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,Yes Yes,3.5 mm,,,,,,,,,,,,,1 MP 1 MP 1 MP,,,,,,,,,,,,,,,,,,,,,,,,,No No No,,,,,,,,,,,,,,,,,,,,,,,
No,Benq GL2460HM - MBE,,16:9,,,,No No No,Yes Yes Yes,,Kensington Kensington,,,,Black Black,12000000:1,1000:1,5.4 cm,LED,250 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1080 pixels,TN+Film,,Unspecified,Yes,,Full HD,Yes,1.0,56.5 cm,No,,,90 - 264V,,2 2 2,17 17,Yes Yes,,,,,,,,,23W,,,2 ms,,,,,,,,No,,,No No,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,4.3 kg,33.3 cm,,,,,,,5.8 kg 5.8 kg,12.3 cm 12.3 cm,64.9 cm 64.9 cm,41.7 cm 41.7 cm,,1W 1W 1W,,,,19.4 cm,,,,Yes,,,Yes,56.5 cm,,,,,,,,Yes,,,,,,43.4 cm,,,,,Black Black,,,0.3W,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Benq GL2450H - MBE,,16:9,Yes,,,No No No,No No No,,Kensington Kensington,,,"Flicker-free, TCO",Black Black,12000000:1,1000:1,6.3 cm,LED,250 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1080 pixels,TN,,,Yes,,Full HD,Yes,1.0,35.1 cm,No,,,90 - 264V,,,,,,,,No,,0.276 x 0.276 mm,,,42W,,,2 ms,,,,1920 x 1080 (HD 1080),1080p,,No,,Yes,-5 - 15Â°,No No,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,4.7g,57.9 cm,,,,,,,,13.3 cm 13.3 cm,42 cm 42 cm,65 cm 65 cm,,,,,,,,,,No,,,,,,60000h 60000h,,,No No,,,,,,0.3W,,,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 8.1, Windows 8.1 Enterprise, Windows 8.1 Enterprise x64, Windows 8.1 Pro, Windows 8.1 Pro x64, Windows 8.1 x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 8.1, Windows 8.1 Enterprise, Windows 8.1 Enterprise x64, Windows 8.1 Pro, Windows 8.1 Pro x64, Windows 8.1 x64",30 - 83 kHz,50 - 76 Hz,,,,,0.3W,,,,,,,,,,,,,,,,,,,23W,Gloss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,DELL S Series S2440L - MBE,,16:9,,,,No No No,No No No,,Yes Yes,VGA VGA,,,Black Black,8000000:1,5000:1,19.08 cm,LED,250 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1080 pixels,,,Unspecified,Yes,,Full HD,No,1.0,41.79 cm,No,,47-63 Hz,100 - 240V,,,,,,,,,,0.277 x 0.277 mm,,0.5W,18W,,Yes Yes,6 ms,,,,1920 x 1080 (HD 1080),,,,No,Yes,,No No,,No,1.0,53.136 cm,29.889 cm,178Â°,178Â°,No,3.6 kg,56.74 cm,,,,,,,5.91 kg 5.91 kg,,,,PC monitor,,,,,,,60.97 cm,,No,,Silver,,,,,,,,,,,,,,,4.95 kg,,,,,,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2A,,,,,,,,,,,,,,,,,,,,,,
No,Lenovo ThinkVision LT1952P - MBE,Yes,16:10,,W-LED,,,,,Kensington Kensington,,,,Black Black,10000000:1,1000:1,17.129 cm,LED,250 cd/mÂ²,"48.26 cm (19"")",16.77M,1440 x 900 pixels,TN+Film,1.0,,Yes,,No,,,39.77 cm,,,,,,,,Yes Yes,,10 - 80%,0 - 40 Â°C,No,,0.2835 x 0.2835 mm,,0.5W,13W,,,5 ms,,5 - 95%,-20 - 60 Â°C,"640 x 350, 720 x 400, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1280 x 768 (WXGA), 1366 Ñ… 768, 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",,,,,,,,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,4.3 kg,44.09 cm,,,,,,,,,,,,,,,,,,482.6 cm,,,,,,,,,,,,0 - 2438m,,,,,0.5W,No,,,"Windows 7 Ultimate, Windows Vista Ultimate, Windows XP Professional Windows 7 Ultimate, Windows Vista Ultimate, Windows XP Professional",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.9 x 171.29 x 397.7 mm,,,,,,,,1.555 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Iiyama ProLite E2278HSD-B LED display - MBE,,16:9,,,,No No No,Yes Yes Yes,,Kensington Kensington,,,,Black Black,5000000:1,1000:1,17.75 cm,LCD,250 cd/mÂ²,"54.61 cm (21.5"")",16.77M,1920 x 1080 pixels,TN+Film,1.0,,Yes,,Full HD,Yes,,36.95 cm,,30 - 80 kHz,50/60 Hz,100 - 240V,,2 2 2,,,,,,,,0.248 x 0.248 mm,,,20W,,,5 ms,Yes,,,1920 x 1080 (HD 1080),1080p,,,No,,-5 - 23Â°,No No,55 - 75 Hz,100 x 100 mm,1.0,47.66 cm,26.81 cm,170Â°,160Â°,Yes,2.8 kg,51.45 cm,,,,,,,,,,,,1W 1W 1W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS MX279H LED display - MBE,,16:9,,,,No No No,Yes Yes Yes,,Kensington Kensington,"AC, Audio (3.5mm), VGA AC, Audio (3.5mm), VGA",,"BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSE, RoHS, UL/cUL, VCCI, WEEE","Black, Silver Black, Silver",80000000:1,1000:1,22.52 cm,LED,250 cd/mÂ²,"68.58 cm (27"")",16.77M,1920 x 1080 pixels,IPS,,Unspecified,Yes,,Full HD,Yes,2.0,44.13 cm,No,,50/60 Hz,100 - 240V,,2 2 2,,,,,,,,0.311 x 0.311 mm,,,37W,Yes Yes,Yes Yes,5 ms,,,,1920 x 1080 (HD 1080),,,,No,,20 - -5Â°,No No,,No,1.0,,,178Â°,178Â°,No,5.2 kg,62.26 cm,,,,,,,8 kg 8 kg,11.4 cm 11.4 cm,53.7 cm 53.7 cm,70 cm 70 cm,,6W 6W 6W,,,,,,68.6 cm,Yes,No,,,,,,,,,Yes Yes,,,Yes,,,0.5W,,,,"Windows 7 Home Premium, Windows 8 Windows 7 Home Premium, Windows 8",30 - 80 kHz,56 - 76 Hz,,,,,0.5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bang & Olufsen ICEpower Bang & Olufsen ICEpower Bang & Olufsen ICEpower,,,,,,,,,,Digital Digital,,,,,,,,,,,,,,,,,,,,,
No,Acer Professional 226WLymdr - MBE,,16:10,,,,No No No,Yes Yes Yes,,,,,TCO 6.0,Grey Grey,100000000:1,,22.12 cm,LED,250 cd/mÂ²,"55.88 cm (22"")",16.77M,1680 x 1050 pixels,,,Unspecified,,,HD-ready,Yes,,50.57 cm,Yes,,,110 - 220V,,2 2 2,,,,,,,,,,17.2W,24.2W,,,5 ms,,,,1680 x 1050 (WSXGA+),,,,No,,,No No,,,1.0,,,170Â°,160Â°,,3.09 kg,53.42 cm,,,,,,,,,,,,,,,,,,55.9 cm,,,,Gold,,,,,,,,,,,,,,,5.75 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,DELL UltraSharp UZ2715H - MBE,,16:9,,,,Yes Yes Yes,Yes Yes Yes,,Yes Yes,"AC, DisplayPort, HDMI, USB AC, DisplayPort, HDMI, USB",,,Black Black,Mega Contrast,1000:1,4.62 cm,LED,300 cd/mÂ²,"68.58 cm (27"")",16.77M,1920 x 1080 pixels,IPS,,Unspecified,Yes,,Full HD,No,2.0,41.82 cm,No,,50/60 Hz,96 - 264V,Yes Yes,,,,,10 - 80%,0 - 40 Â°C,,,0.311 x 0.311 mm,,1.2W,18W,,Yes Yes,8 ms,,5 - 90%,-20 - 60 Â°C,"1600 x 900, 1920 x 1080 (HD 1080)","1080p, 720p",,,No,Yes,,No No,,100 x 100 mm,1.0,59.79 cm,33.63 cm,178Â°,178Â°,Yes,4.69 kg,65.88 cm,,,,1.0,,,9.32 kg 9.32 kg,,,,,10W 10W 10W,,,,19.6 cm,,68.58 cm,,No,,Gold,,46.77 cm,,,Yes,1 - 12192m,,1 - 5000m,,,,60W,,,,65.88 cm,,,,1.0,Silver Silver,,,,,,,,,,,,,,Yes Yes,,3.0,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,2 MP 2 MP 2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes Yes Yes,1.5A,,,,,,,,,,,,,,,,,,,
,Elo TouchSystems 1517L Rev B - MBE,,4:3,,,,,,,,,,,White White,,700:1,,,200 cd/mÂ²,"38.1 cm (15"")",,1024 x 768 pixels,,,,,,,,,,,31.5 - 60 kHz,50/60 Hz,100 - 240V,,,8,,"CHI (SIMPL), CHI (TR), DEU, ENG, ESP, FRE, ITA, JPN",20 - 80%,0 - 40 Â°C,,,,,,12W,,,16 ms,,10 - 90%,20 - 60 Â°C,"720 x 400, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA) 720 x 400, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA)",,,,,,,,56 - 75 Hz,75 x 75 mm,1.0,,,160Â°,140Â°,,,,,,,,Yes,,7.3 kg 7.3 kg,23.1 cm,48.5 cm,48.7 cm,,,,1.0,,,358 x 197 x 319 mm,,,,,,,,,50000h 50000h,,,,,,,,,,,4.3 kg,,,,,,,,,,,LCD,228 x 304 mm,AC/DC AC/DC,Tabletop Tabletop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3 cm 4.3 cm,16.2M,1.0,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
