<page title>,ac power in,altezza,altezza con supporto,altezza imballo,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,consumi,consumi modalità spento,consumi modalità standby,dimensioni schermo,dot pitch,formato,fotocamera integrata,guida rapida,hdcp,inclinazione,inclinazione regolabile,indicatore led alimentazione,interruttore integrato,intervallo di scansione verticale,larghezza,larghezza con supporto,larghezza imballo,led standby,luminosità schermo,manuale dellutente,modalità video supportate,montabile a parete,peso,peso incluso imballo,peso prodotto con supporto,plug play,porta dvi,profondità,profondità con supporto,profondità imballo,quantità porte vga dsub,range di scansione orizzontale,rapporto di contrasto,rapporto di contrasto dinamico,risoluzione,risoluzioni grafiche supportate,sintonizzatore tv integrato,sistema operativo windows supportato,tecnologia display,tempo di risposta,thin client installato,thin client thin client installato no,tipologia display,tipologia hd,voltaggio di ingresso,angolo di rotazione,certificazione energy star,conformità epeat,girevole,pivot angle,quantità displayports,quantità porte dvid,quantità porte usb 20,regolazione altezza,rotazione,source datasheet,thin client thin client installato n,altoparlante cuffia spinotto di uscita,area di visualizzazione effettiva,consumi modalità risparmio energetico,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,ingresso audio per pc,intervallo di temperatura,intervallo temperatura di funzionamento,lingue osd,mtbf,numero di altoparlanti,on screen display osd,potenza in uscita rms,schermo srgb,sync hv separato,syncongreen sog,umidità relativa,dimensioni schermo cm,mobile highdefinition link mhl,altre caratteristiche source datasheet,bluetooth,collegamento ethernet lan,colore del piede,dimensione visibile orizzontale,dimensione visibile verticale,guida utente su cdrom,indicatori led,lettore di schede integrato,quantità porte hdmi,range di umidità di funzionamento,wifi,cavo alimentazione incluso,dimensione visibile diagonale,thin client,tipologia di retroilluminazione,connessione wlan,dot rate video,microfono spinotto dingresso,tipi schede di memoria,alimentazione,angolo visuale,dimensioni imballo lxpxa,dimensioni lxpxa,conforme agli standard,consumi modalità attivo,consumo energetico max,ingresso audio,materiale riciclabile,connessione cuffia,quantità porte usb 30,subwoofer incorporato,uscita audio,performance,design colore del prodotto nero,altitudine di funzionamento,altitudine di nonfunzionamento,lunghezza cavo,numero di lingue osd,umidità,microfono incorporato,display surface,sistema operativo linux supportato,compatibilità sistema operativo mac,condizioni ambientali,dimensioni lxpxa con base,compatibilità elettromagnetica,sicurezza,certificati di sicurezza certificazione energy star si,numero di prodotti inclusi,quantità,hdmi,contenuto dellimballo cavi inclusi ac vga,adattatore acdc,pictureinpicture,funzione risparmio,miglioramento dellimmagine,posizionamento supportato,risoluzione massima,certificati di sicurezza,dcin jack,altre caratteristiche quantità 1 source datasheet,megapixel,interfaccia comune,cable lock slot type,capacità totale hard disk,famiglia processore,full hd,intel antitheft technology,intel hyperthreading technology,intel identity protection technology,intel my wifi technology,intel rapid start technology,intel small business advantage sba,intel smart connect technology,intel smart response technology,intel turbo boost technology,intel visual technologies,intel vpro technology,intel wireless display technology,megapixel totali,mouse incluso,numero di core del processore,processore,quantità porte ethernet lan rj45,ram installata,retroilluminazione a led,sistema operativo incluso,supporto di memoria,tecnologia touch,tipo di ram,touch screen,velocità processore,controllo del volume,consumo energia modalità economica,convenienza,dimensioni altoparlante centrale l x a x p,ingresso segnale,materiali della confezione riciclabili,peso contenzione inclusa,peso schermo con supporto,prodotto senza piedistallo kg,regulatory approvals,risoluzione consigliata,segnale ingresso sincronizz video,smartcontrast,specificazioni ambientali,supporto lingue,networking connessione wlan n collegamento ethernet lan n,tipo di prodotto,common interface plus ci,webcam girevole,altre caratteristiche,colore,connessioni audio,mhl specification,smartresponse
Benq Benq GL955A 9H.L94LA.T8E Planet Computer.it,,,,,,90 °,50 °,,,,,,16.77 M,,N,,,,46.9 cm,0.3 x 0.3 mm,16:9,,,N,,,,,,,,,,200 cd/m²,,,,,,,,,,,,,,600:1,12000000:1,1366 x 768 Pixels,1366 х 768,,,TN+Film,5 ms,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 240B4LPYCB 240B4LPYCB 00 Planet Computer.it,Si,388 mm,543 mm,487 mm,Si,170 °,160 °,Kensington,,"PowerSensor, RoHS",Non specificato,Nero,16.77 M,100 x 100 mm,,20.1 W,,0.2 W,61 cm,0.270 x 0.270 mm,16:10,,,,,Si,,Si,56 - 76 Hz,555 mm,555 mm,615 mm,,250 cd/m²,,,Si,3.97 kg,8.56 kg,5.83 kg,Si,Si,65 mm,227 mm,180 mm,1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1200 Pixels,,,,LCD/TFT,5 ms,,,LED,,100 - 240 V,,Si,Oro,Si,,1.0,1.0,,Si 110 mm,Si,.,,1,,13.4 W,50/60 Hz,,,Si,,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30.000 h,2.0,Si,3 W,Si,Si,Si,,,,,,,Nero,518.4 mm,324 mm,,"Operation, Stand-by",,,20 - 80 %,,,,,W-LED,,,,,,,,,,,,,25 %,3.5 mm,,,,MTBF 30.000 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 220V4LSB 220V4LSB 00 Planet Computer.it,,348 mm,416 mm,,N,160 °,160 °,Kensington,,"RoHS, Lead-free, Mercury Free",Non specificato,Nero,16.77 M,100 x 100 mm,,16.52 W,0.5 W,0.5 W,55.9 cm,0.282 x 0.282 mm,16:10,N,,,,Si,,Si,56 - 75 Hz,512 mm,512 mm,,,250 cd/m²,,,Si,3.32 kg,,3.66 kg,,Si,48 mm,213 mm,,1.0,30 - 83 kHz,1000:1,10000000:1,1680 x 1050 Pixels,,N,,LCD/TFT,5 ms,N,,LED,,100 - 240 V,,Si,Argento,,,,1.0,,,,.,,,,,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR",30.000 h,,,,Si,Si,Si,20 - 80 %,,,"Thin Client
Thin client installato N",,,,473.76 mm,296.1 mm,,"Operation, Stand-by",,,,,,,,W-LED,,,,,,,,,,,,,,,,,,,"Condizioni ambientali
Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Samsung S22D300NY LS22D300NY EN Planet Computer.it,,"31,0642 cm","38,5064 cm","37,6936 cm",,,,,,,,,,,,,,,,,,,,,,,,,,"51,1556 cm","51,1556 cm","57,277 cm",,,,,,"2,594 kg","3,941 kg","2,844 kg",,,"5,3086 cm","17,6784 cm","11,4808 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP LE1711 EM886AA ABB Planet Computer.it,Si,316 mm,386 mm,,N,160 °,160 °,Kensington,"AC, VGA",TCO,,,,100 x 100 mm,N,23 W,,,43.2 cm,0.264 x 0.264 mm,5:4,N,,N,-2 - 25 °,Si,Si,,50 - 76 Hz,377 mm,377 mm,,,250 cd/m²,,,Si,3.4 kg,5.1 kg,3.9 kg,Si,,57 mm,206 mm,,1.0,24 - 83 kHz,1000:1,,1280 x 1024 Pixels,"720 x 400, 1280 x 960, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 800 (WXGA), 640 x 480 (VGA), 800 x 600 (SVGA)",N,,TN+Film,5 ms,N,,LCD,N,100 - 240 V,,Si,Argento,,,,,,N,,,,,,2 W,50/60 Hz,,,,-20 - 60 °C,5 - 35 °C,"CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA",,,Si,,,,,,,,,,,,,,,,,,20 - 80 %,,,,Thin client installato N,,,,,,,,448 x 472 x 121 mm,,,,"25,5 W",,,,,,,,,0 - 5000 m,0 - 12192 m,1.9 m,7.0,5 - 90 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP EliteDisplay S231d F3J72AT ABB Planet Computer.it,,"32,9 cm","46,99 cm",,No,178°,178°,Si,,,Non specificato,Nero,"16,77M",100 x 100 mm,,38W,,"2,2W","58,4 cm","0,265 x 0,265 mm",16:9,Si,,Si,-5 - 30°,Si,,,50 - 60 Hz,"54,4 cm","54,4 cm",,,250 cd/m²,,,Si,"6,12 kg",,,,No,"5,1 cm","24,24 cm",,1.0,24 - 80 kHz,1000:1,5000000:1,1920 x 1080 Pixels,,No,,IPS,7 ms,No,,LCD,Full HD,100 - 240V,0 - 360°,Si,,Si,,1.0,,2.0,Si 15 cm,,,,1,,,50/60 Hz,,,,,,,,,,,,,,,,,"Thin Client
Thin client installato No",,,,"50,9 cm","28,64 cm",,,,,,,,,,,,,,,,,,,,,,Si,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Lenovo ThinkVision LT2013p 60A0MAT1IT Planet Computer.it,,336.5 mm,,,N,160 °,170 °,N,"USB, VGA",,B,Nero,16.77 M,100 x 100 mm,N,17 W,0.5 W,1 W,"495.3 mm (19.5 "")",0.27 x 0.27 mm,16:9,N,Si,N,5 - 30 °,Si,,,,467 mm,,,,250 cd/m²,,,Si,4.4 kg,,,,N,,200 mm,,1.0,,1000:1,10000000:1,1600 x 900 Pixels,"640 x 350, 720 x 400, 832 x 624, 1600 x 900, 1024 x 768 (XGA), 1360 x 768 (WXGA), 1366 х 768, 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",N,,LCD,5 ms,N,,LED,,,45 - 45 °,Si,Oro,Si,90 - 90 °,1.0,,4.0,N,Si,.,,,,,,,,,,0 - 40 °C,,,,Si,,,,,,,,,N,,,433 mm,239.76 mm,,,N,1.0,10 - 80 %,,Si,,,,N,,,,,,,,,,,,,,,,,,"Dimensioni e peso
Larghezza 467 mm
Altezza 336.5 mm
Peso 4.4 kg
Profondità (con supporto) 200 mm
Bezel width (side) 16.8 mm",,,,8.0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Samsung U28D590D LU28D590DS EN Planet Computer.it,,41 cm,"48,63 cm","45,2 cm",,170°,160°,,"DisplayPort, HDMI",,Non specificato,Nero,,,,32W,,"0,3W","70,8 cm",,,,,,,,Si,Si,,"66,09 cm","66,09 cm","79,4 cm",Si,370 cd/m²,Si,,,"5,05 kg","7,4 kg","5,65 kg",Si,No,"6,47 cm","16,94 cm","10,9 cm",,,1000:1,Contrasto Mega,3840 x 2160 Pixels,3840 x 2160,,,TN,1 ms,No,,LED,4K Ultra HD,100 - 240V,,,,,,1.0,,,No,,,,Si,,,50/60 Hz,,,,,,,,,,,,,,,,,"Thin Client
Thin client installato No",No,No,,,,,Si,,2.0,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP EliteDisplay E231 C9V75AT ABB Planet Computer.it,Si,329 mm,469.9 mm,,N,170 °,160 °,,AC,"CE, CB, KC, KCC, NOM, PSB, ICE, TUV-S, CCC, CEL 1, CECP, SEPA, TCO Edge, EPA, ISC, VCCI ,FCC, BSMI",Non specificato,Nero,16.77 M,Si,N,33 W,,0.5 W,58.42 cm,,16:9,N,Si,Si,-5 - 30 °,Si,Si,,50 - 76 Hz,544 mm,544 mm,,Si,250 cd/m²,Si,1080p,Si,3.9 kg,8.34 kg,6.1 kg,Si,Si,51 mm,242.4 mm,,1.0,24 - 94 kHz,1000:1,5000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,Si,TN+Film,5 ms,N,,LED,Full HD,95 - 265 V,0 - 360 °,Si,Oro,Si,0 - 90 °,1.0,1.0,3.0,Si 150 mm,Si,.,"Altre caratteristiche
Source data-sheet .",,,,50/60 Hz,,,,-20 - 60 °C,5 - 35 °C,,,,Si,,,,,,,,,,N,,,,,Si,,,,,,,,,N,,,,,,,,,,36 W,,,,,,,,"Condizioni ambientali
Intervallo temperatura di funzionamento 5 - 35 °C
Intervallo di temperatura -20 - 60 °C",,,,,,,Matt,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 203V5LSB26 203V5LSB26 10 Planet Computer.it,Si,285 mm,345 mm,350 mm,N,90 °,50 °,Kensington,,"RoHS, BSMI, CE, FCC B, GOST, SEMKO, TUV/ISO9241-307, cETLus, WEEE",Non specificato,Nero,16.77 M,100 x 100 mm,N,14.52 W,0.5 W,0.5 W,49.5 cm,0.26 x 0.26 mm,16:9,N,,N,-3 - 10 °,N,Si,Si,,465 mm,465 mm,503 mm,Si,200 cd/m²,,,Si,2.03 kg,3.23 kg,2.33 kg,,N,48 mm,170 mm,109 mm,1.0,,600:1,10000000:1,1600 x 900 Pixels,1600 x 900,N,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8",,5 ms,N,,LED,HD-ready,100 - 240 V,,Si,Argento,N,,,,,N,N,.,"Dimensioni e peso
Profondità (con supporto) 170 mm
Altezza (con supporto) 345 mm
Larghezza (con supporto) 465 mm
Larghezza imballo 503 mm
Altezza imballo 350 mm
Profondità imballo 109 mm
Peso prodotto con supporto 2.33 kg
Profondità 48 mm
Larghezza 465 mm
Altezza 285 mm
Peso incluso imballo 3.23 kg
Peso 2.03 kg",,433.9 x 236.3 mm,,50/60 Hz,30 - 83 kHz,56 - 75 Hz,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR",30000 h,,Si,,Si,Si,Si,,,,,N,N,,433.9 mm,236.3 mm,,Si,,,20 - 80 %,,,495 mm,,RGB-LED,N,,,,,90 °,503 x 109 x 350 mm,,,,,,,,,,,,,,,,21.0,,,,,Si,"Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %",465 x 170 x 345 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Acer K K192HQL UM.XW3EE.001 Planet Computer.it,Si,"26,7 cm","35,2 cm",,No,90°,65°,,"AC, VGA",,Non specificato,Nero,"16,77M",,No,"11,9W","0,35W","0,45W","46,99 cm (18.5"")",,16:9,No,,Si,-5 - 25°,Si,Si,,,"44,1 cm","44,1 cm",,Si,200 cd/m²,,,,"2,32 kg",,"2,6 kg",Si,No,5 cm,"19,2 cm",,1.0,,,100000000:1,1366 x 768 Pixels,1366 х 768,No,,TN+Film,5 ms,No,,LCD,,110 - 220V,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,47 cm,,"Thin Client
Thin client installato No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Contenuto dell'imballo
Cavi inclusi AC, VGA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Samsung S22C450DF LS22C45UFS EN Planet Computer.it,Si,"30,19 cm","49,035 cm","37,5 cm",No,170°,160°,No,"USB, VGA",TCO,Non specificato,Nero,"16,77M",100 x 100 mm,No,24W,,"0,3W","54,6 cm","0,24825 x 0,24825 mm",16:9,No,Si,,-3 - 25°,Si,,,,"50,43 cm","50,43 cm","57,7 cm",,250 cd/m²,Si,,Si,"3,24 kg","6,21 kg","4,84 kg",,Si,"5,545 cm",21 cm,"18,5 cm",1.0,,10000:1,Contrasto Mega,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,,TN,5 ms,,,LED,Full HD,100 - 240V,-45 - 45°,Si,Oro,Si,-1 - 90°,,,3.0,Si 13 cm,Si,,,,,14W,50/60 Hz,,,,,0 - 40 °C,,,,,,,,,,,,,,,,"47,664 cm","26,811 cm",,,No,1.0,10 - 80%,,,"54,6 cm",,,,,,,,,,,,,,,,,,,,,"Contenuto dell'imballo
Cavi inclusi USB, VGA
Manuale dell'utente Si
Guida rapida Si",,,,,,,Matt,,,,,"FCC, CE, VCCI, KCC, C-Tick, CCC","UL, TÜV, KC, CCC, PSB, GOST, SIQ, PCBC, NOM, IRAM, SASO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Acer H H226HQLbmid UM.WH6EE.001 Planet Computer.it,Si,,,,Si,,,,AC,,Non specificato,Nero,,,N,,,,"546.1 mm (21.5 "")",,16:9,N,Si,,,,Si,Si,,,,,Si,250 cd/m²,Si,1080p,,,,,Si,Si,,,,1.0,,,100000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,Si,IPS,5 ms,N,,LED,Full HD,100 - 240 V,,Si,,,,,1.0,,,,.,"Performance
Sistema operativo Windows supportato Si
Sistema operativo Linux supportato Si",,,,50/60 Hz,,,,,,,,,,,,,,,,,,N,N,,,,,Si,,1.0,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,"Networking
Collegamento ethernet LAN N
Bluetooth N
Connessione WLAN N",1 pezzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg Electronics LG 24MB35DM-B monitor piatto per PC 24MB35DM-B.AEU Planet Computer.it,,"34,2 cm","43,2 cm",14 cm,Si,178°,178°,Si,Audio (3.5mm),"FCC-B, CE, EPA (6.0), ISO13406-2 (ISO 9241-307)",Non specificato,Nero,"16,77M",100 x 100 mm,,25W,"0,3W","0,3W","60,45 cm (23.8"")","0,275 x 0,275 mm",16:9,,,Si,-5 - 20°,Si,Si,Si,56 - 75 Hz,"56,8 cm","56,8 cm",64 cm,Si,250 cd/m²,,1080p,Si,"3,696 kg","5,488 kg","3,991 kg",Si,Si,"6,3 cm","27,2 cm","41,4 cm",1.0,30 - 83 kHz,1000:1,5000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,IPS,5 ms,No,,LED,Full HD,100 - 240V,,,Oro,,,,11.0,,,,,,Si,,,50/60 Hz,30 - 83 kHz,56 - 75 Hz,Si,,,,,2.0,,2W,,,,,,,,No,No,,,,,Si,,,,No,,,Thin client installato No,,,,,,,,,,,,,,,,,,,,"Contenuto dell'imballo
Cavi inclusi Audio (3.5mm)",,,,,,,Matt,,,,,,TCO (6.0)/UL(cUL)/TUV-GS/TUV-ERGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 273V5LHAB 273V5LHAB 00 Planet Computer.it,Si,398 mm,471 mm,482 mm,Si,170 °,160 °,Kensington,,"RoHS, Lead-free, Mercury Free",Non specificato,Nero,16.77 M,100 x 100 mm,,19.65 W,0.3 W,0.5 W,68.6 cm,0.311 x 0.311 mm,16:9,,,,,Si,,Si,56 - 75 Hz,646 mm,646 mm,698 mm,,300 cd/m²,,,Si,4 kg,6.17 kg,4.53 kg,Si,Si,57 mm,240 mm,139 mm,1.0,30 - 83 kHz,1000:1,10000000:1,1920 x 1080 Pixels,,,,LCD/TFT,5 ms,,,LED,Full HD,100 - 240 V,,Si,Argento,,,,1.0,,,,.,,1,,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",30.000 h,2.0,Si,4 W,Si,Si,Si,,,,,,,,597.88 mm,336.31 mm,,"Operation, Stand-by",,1.0,20 - 80 %,,,,,W-LED,,,,,,,,,"BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, cETLus, WEEE",,,,,,,,,MTBF 30.000 h,"Altre caratteristiche
Quantità 1
Source data-sheet .",,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 278G4DHSD 278G4DHSD 00 Planet Computer.it,Si,"37,6 cm","47,1 cm","52,7 cm",,178°,178°,Kensington,AC,"BSMI, CE Mark, FCC B, GOST, SEMKO, TCO, TUV/ISO9241-307, UL/cUL, WEEE",Non specificato,Nero,"16,77M",,Si,"25,94W",,"0,5W","68,6 cm","0,311 x 0,311 mm",16:9,No,Si,,-5 - 20°,Si,Si,Si,50 - 75 Hz,"62,3 cm","62,3 cm","68,5 cm",Si,250 cd/m²,Si,,,5 kg,"9,25 kg","5,44 kg",Si,No,"4,4 cm","19,7 cm","14,2 cm",1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,Si,IPS,14 ms,No,,LED,Full HD,100 - 240V,,Si,Argento,,,,,,,,,,,,,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,,30000h,,Si,,Si,Si,Si,,,,,No,No,,"59,79 cm","33,63 cm",,Si,,3.0,20 - 80%,,,,,W-LED,No,,,,,,,,,,,,,,4.0,,Si,,,0 - 3658m,,,,,,Lucida,,,,,,RoHS,,1 pezzi,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Samsung S24D300HL LS24D300HL EN Planet Computer.it,,"3,41884 cm","4,1706 cm","4,07924 cm",,,,,,,,,,,,,,,,,,,,,,,,,,"5,6896 cm","5,6896 cm","6,35 cm",,,,,,"3,193 kg","4,789 kg","3,542 kg",,,"5,3848 mm","1,9685 cm","1,10998 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq Benq BL3200PT 9H.LC3LB.QBE Planet Computer.it,,"43,688 cm","64,016 cm",,Si,178°,178°,,,TCO 6.0,Non specificato,Nero,1070M,100 x 100 mm,,97W,,"0,5W","81,28 cm (32"")","0,276 x 0,276 mm",16:9,No,,Si,-5 - 20°,Si,,Si,50 - 76 Hz,"74,028 cm","74,028 cm",,,300 cd/m²,,,Si,13000g,,16000g,,Si,"23,248 cm","23,248 cm",,1.0,30 - 83 kHz,3000:1,20000000:1,2560 x 1440 Pixels,,,Si,,4 ms,No,,LCD,Full HD,,-45 - 45°,,,Si,0 - 90°,1.0,,3.0,Si 15 cm,Si,,,,,,,,,,,,,,2.0,Si,10W,Si,,,,,No,,No,No,Argento,"70,84 cm","39,85 cm",,Si,No,1.0,,No,,,Thin client installato No,,,,,,,,,,,,,Si,,,2.0,No,Si,,,,,,17.0,,No,Lucida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips Ultra Narrow Bezel 274E5QDAB 00 Planet Computer.it,,"37,5 cm",47 cm,"54,6 cm",Si,178°,178°,Kensington,AC,,Non specificato,Nero,"16,77M",100 x 100 mm,No,"22,15W","0,5W","0,5W","68,6 cm","0,311 x 0,311 mm",16:9,No,,Si,-5 - 20°,Si,,,56 - 75 Hz,"62,2 cm","62,2 cm","66,7 cm",,250 cd/m²,,1080p,Si,"4,88 kg","7,14 kg","5,1 kg",Si,Si,"4,6 cm","23,7 cm","10,6 cm",1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,,,5 ms,No,,LCD,Full HD,100 - 240V,,Si,Argento,,,,1.0,,,Si,,,1,,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",30000h,2.0,Si,12W,,,,20 - 80%,,Si,,,,,,,,"Operation, Stand-by",,1.0,,,,,Thin client installato No,W-LED,,,,,,,,,,,,Si,,,,,Si,,,0 - 3658m,0 - 12192m,,22.0,,,Lucida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Acer K K202HQL UM.IW3EE.001 Planet Computer.it,Si,"27,62 cm","36,23 cm",,No,90°,65°,,"AC, VGA",,Non specificato,Nero,"16,77M",,No,"13,5W","0,35W","0,45W","49,53 cm (19.5"")",,16:9,No,,,,,,,,"46,34 cm","46,34 cm",,,200 cd/m²,,,,"2,21 kg",,"2,7 kg",,No,5 cm,"19,1 cm",,1.0,,,100000000:1,1600 x 900 Pixels,1600 x 900,No,,TN+Film,5 ms,No,,LED,,110 - 220V,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,"49,5 cm",,"Thin Client
Thin client installato No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ergonomia
Regolazione altezza No
Rotazione No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq Benq XL2411Z 9H.L9SLB.RBE Planet Computer.it,Si,431 mm,,,,170 °,160 °,Kensington,"AC, DVI, VGA",,,Nero,,100 x 100 mm,Si,36 W,0.5 W,,"609.6 mm (24 "")",0.276 x 0.276 mm,16:9,N,Si,Si,-5 - 20 °,Si,,Si,,570 mm,,,,350 cd/m²,,,Si,6 kg,8.5 kg,,Si,Si,222 mm,,,1.0,,1000:1,12000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,,LCD,1 ms,N,,LED,Full HD,95 - 265 V,-45 - 45 °,,,Si,0 - 90 °,,1.0,,130 mm Si,Si,,,1,,0.5 W,,,,,,,,,,Si,,,,,,,,,,,,531 mm,298 mm,,,,2.0,,,,,Thin client installato N,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
