<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,colour,colour support,contrast ratio,dvi,green compliance certificateauthority,green compliant,hdcp supported,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum adjustable height,maximum resolution,number of screens,offmode power consumption,operating power consumption,package contents,panel technology,product model,product name,product series,product type,response time,screen mode,screen size,standard refresh rate,standby power consumption,swivel angle,tilt angle,vertical viewing angle,vesa mount compatible,vga,certifications standards,depth,depth with stand,features,height,height with stand,mount type,platform supported,recycled,recycled content,vesa mount standard,weight approximate,weight with stand approximate,width,width with stand,builtin devices,displayport,product line,screen surface,usb,usb standard,speakers,webcam,hdmi,component video,composite video,svideo,display orientation,energy consumption per year,energy efficiency class,full product specifications,number of speakers,postconsumerwaste,headphone,3d type,packaged quantity,network rj45,horizontal frequency,sdi,sdi standard,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,country of origin,additional information,superb performance,versatile connections,system requirements,thunderbolt
"60002932, 3967386, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,NEC Display,250 cd/m²,Light Grey Silver,16.7 Million Colours,"1,000:1",Yes,TCO Displays 5.0 RoHS ENERGY STAR EPEAT Silver,Yes,Yes,176°,220 V AC 110 V AC,3 Year,NEC Display Solutions,60002932,,1920 x 1080,1.0,,28 W,,,E231W,MultiSync E231W Widescreen LCD Monitor,E,LCD Monitor,5 ms,,"58.4 cm (23"")",50 Hz,340 mW,,,176°,Yes,Yes,,71.1 mm,213.40 mm,,330.2 mm,492.80 mm,,PC,,,100 x 100,4.20 kg,6.20 kg,551.2 mm,551.20 mm,,,MultiSync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"861-BBBG, 0912934, Dell, LCD Monitor, IML Direct Italy",,,,16:9,LED,Dell,250 cd/m²,Black,16.7 Million Colours,"2,000,000:1",Yes,EPEAT Gold ENERGY STAR China Energy Label (CEL) CECP RoHS TCO Certified Displays,Yes,,,,3 Year,"Dell, Inc",861-BBBG,,1920 x 1080,1.0,,26 W,P2214H Widescreen LCD Monitor Stand Cable management cover Drivers & Utilities Dell Display Manager 1 x DisplayPort cable 1 x USB cable 1 x VGA cable,,P2214H,P2214H Widescreen LCD Monitor,,LCD Monitor,8 ms,Full HD,"55.9 cm (22"")",,,,,,Yes,Yes,,46.3 mm,180 mm,,304.4 mm,354.20 mm,,,,,,3.26 kg,,512.7 mm,512.70 mm,USB Hub,Yes,,,Yes,,,,,,,,,,,Click to view,,25%,,,,,,,,,,,,,,,,
"UM.WV6EE.B04, 8655C12, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,200 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,MPR II ENERGY STAR,Yes,Yes,90°,110 V AC 220 V AC,3 Year,"Acer, Inc",UM.WV6EE.B04,No,1920 x 1080,1.0,350 mW,18.10 W,V226HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),V226HQL,V226HQL Widescreen LCD Monitor,V,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",60 Hz,450 mW,No,-5°to25°,65°,Yes,Yes,,206.8 mm,,,390.4 mm,,,,,,100 x 100,3.24 kg,3.66 kg,508 mm,,,,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"241B4LPYCS/00, Philips, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Philips,250 cd/m²,Silver Black,16.7 Million Colours,"1,000:1",Yes,RoHS ENERGY STAR 5.0 EPEAT Gold TCO Certified Edge TCO Certified Displays 5.2 WEEE,Yes,Yes,170°,110 V AC 220 V AC,2 Year,Philips Electronics,241B4LPYCS/00,,1920 x 1080,1.0,,21.44 W,,,241B4LPYCS,Brilliance 241B4LPYCS Widescreen LCD Monitor,B,LCD Monitor,5 ms,Full HD,"61 cm (24"")",60 Hz,100 mW,,,160°,Yes,Yes,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,55 mm,227 mm,SmartImage PowerSensor SmartErgoBase Security Lock,352 mm,403 mm,,PC Mac,,,100 x 100,4.30 kg,6.30 kg,565 mm,565 mm,USB Hub Speaker,Yes,Brilliance,,Yes,USB 2.0,Yes,,,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"274E5QDAB/00, 2974036, Philips, LCD Monitor, IML Direct Italy",Yes,,Yes,16:9,LED,Philips,250 cd/m²,Glossy Black Cherry,16.77 Million Colors,"20,000,000:1",Yes,EPEAT Silver WEEE ENERGY STAR 6.0 TCO Certified Displays 6.0 RoHS,Yes,Yes,178°,110 V AC 220 V AC,,Philips Electronics,274E5QDAB/00,,1920 x 1080,1.0,300 mW,22.15 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,274E5QDAB,LCD Monitor with SmartImage Lite,,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",60 Hz,500 mW,,-5°to20°,178°,Yes,Yes,BSMI CE Mark FCC Class B GOST SASO SEMKO TUV/ISO9241-307,46 mm,237 mm,Ultra Slim SmartImage Lite Security Lock Mobile High-Definition Link (MHL) Sync on Green TrueVision,375 mm,470 mm,Wall Mountable,PC Mac,,,100 x 100,4.88 kg,5.10 kg,622 mm,622 mm,Speaker,,Ultra Narrow Bezel,Glossy,,,Yes,No,Yes,,,,Landscape/Portrait,,,,2.0,,Yes,No,,,,,,,,,,,,,,
"ET.VG6HE.B01, 8652S94, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,200 cd/m²,Black,,"100,000,000:1",Yes,,,,,,,"Acer, Inc",ET.VG6HE.B01,No,1920 x 1080,1.0,400 mW,26 W,,Twisted Nematic Film (TN Film),G236HLBbd,G236HLBbd Widescreen LCD Monitor,G,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",60 Hz,450 mW,No,-5°to15°,,No,Yes,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LS24A350HS/EN, 2158916, Samsung, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Samsung,250 cd/m²,Rose Black,16.7 Million Colours,"1,000:1",,,,Yes,170°,,,Samsung,LS24A350HS/EN,,1920 x 1080,1.0,,27 W,,,S24A350H,S24A350H Widescreen LCD Monitor,350,LCD Monitor,2 ms,Full HD,"61 cm (24"")",,300 mW,,,160°,,Yes,,59.2 mm,239.20 mm,,359.1 mm,438.70 mm,,Mac PC,,,,3.90 kg,,578.6 mm,578.60 mm,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"60003323, 3967786, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,NEC Display,250 cd/m²,White,1.07 Billion Colors,"1,000:1",Yes,TCO Certified Displays 5.2 ENERGY STAR 5.0 RoHS,Yes,Yes,178°,,,NEC Display Solutions,60003323,,1920 x 1080,1.0,,29 W,,In-plane Switching (IPS) Technology,P232W,"23"" Widescreen Professional Graphics Desktop Monitor",P,LCD Monitor,8 ms,Full HD,"58.4 cm (23"")",85 Hz,300 mW,,,178°,Yes,Yes,,73.7 mm,228.60 mm,Carbon Footprint Meter CableComp+ TileMatrix Support TileComp Digital Uniformity Compensation Ambient Light Sensor,322.6 mm,528.32 mm,,PC,,,100 x 100,,9.20 kg,543.6 mm,543.56 mm,USB Hub,Yes,MultiSync,,Yes,,,,Yes,,,,Landscape/Portrait,,,,,,,,,,,,,,,,,,,,,
"273V5LHSB/00, 2785805, Philips, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Philips,300 cd/m²,Black,16.7 Million Colours,"10,000,000:1",,TCO Certified Displays RoHS WEEE EPEAT Silver ENERGY STAR 6.0,Yes,Yes,170°,220 V AC 110 V AC,,Philips Electronics,273V5LHSB/00,,1920 x 1080,1.0,300 mW,23.14 W,,,273V5LHSB,LCD Monitor with SmartControl Lite,V,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",60 Hz,500 mW,,,160°,Yes,Yes,BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 cETLus,57 mm,240 mm,Sync on Green SmartContrast Security Lock,398 mm,471 mm,,Mac PC,,,100 x 100,4 kg,4.53 kg,646 mm,646 mm,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"LS27C45UDS/EN, Samsung, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,,Samsung,300 cd/m²,Matte Black,16.7 Million Colours,"1,000:1",Yes,EPEAT Gold TCO Certified Displays ENERGY STAR,Yes,,170°,110 V AC 220 V AC,3 Year,Samsung,LS27C45UDS/EN,,1920 x 1080,1.0,,30 W,S27C450D Widescreen LCD MonitorD-sub CableUSB CablePower CordQuick Installation GuideInstallation CDElectronic Manual,,S27C450D,S27C450D Widescreen LCD Monitor,450,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",,300 mW,,,160°,Yes,Yes,"UL: UL 60950 1CSA: CSA C22.2 No.. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1EMC:FCC: FCC Part 15, Subpart B Class ACE: EN55022, EN55024VCCI: V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC: GB 9254-2008, GB 17625.1-2003",56.7 mm,224 mm,Eco Saving MagicAngle MagicRotation Off Timer MagicTune MagicBright 3,378.1 mm,532.80 mm,Wall Mountable,PC,Yes,Plastic,100 x 100,4.55 kg,6.20 kg,639 mm,639 mm,USB Hub,Yes,,,Yes,USB 2.0,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
"E970SWN, 2779102, AOC, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,AOC,200 cd/m²,Black,16.7 Million Colours,700:1,,China RoHS CECP TCO Displays 5.0 China Energy Label (CEL) EPEAT Silver ENERGY STAR 6.0,Yes,,90°,110 V AC 220 V AC,3 Year,AOC,E970SWN,,1366 x 768,1.0,,15 W,,,E970SWN,E970SWN Widescreen LCD Monitor,,LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",60 Hz,500 mW,,,65°,Yes,Yes,FCC CCC CB/CE C-Tick BSMI ISO9241-307 cTUVus,,156 mm,Eco Mode,,336.80 mm,Wall Mountable,PC,,,100 x 100,2.15 kg,,,437.40 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"859-BBDD, 0912936, Dell, LCD Monitor, IML Direct Italy",,,,16:9,LED,Dell,300 cd/m²,Black,16.8 Million Colors,"8,000,000:1",,ENERGY STAR 6.0 RoHS EPEAT Gold TCO Certified Displays,Yes,,,,,"Dell, Inc",859-BBDD,,1920 x 1080,1.0,,60 W,UltraSharp 22 Multimedia Monitor - UZ2315H Stand Drivers & Utilities Dell Display Manager 1 x HDMI cable 1 x Mini DisplayPort-DisplayPort cable 1 x SuperSpeed USB cable,,UZ2315H,UltraSharp 22 Multimedia Monitor - UZ2315H,,LCD Monitor,8 ms,Full HD,"58.4 cm (23"")",,,,,,Yes,Yes,,44.7 mm,180.09 mm,,360.9 mm,501.90 mm,,,,,,3.50 kg,,563.9 mm,563.88 mm,Speaker Microphone USB Hub,Yes,UltraSharp,,Yes,,Yes,Yes,Yes,,,,,,,Click to view,,25%,,,,,,,,,,,,,,,,
"UM.WV6EE.A05, 8654M77, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",,EPEAT Gold TCO '06 ENERGY STAR,Yes,,178°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.WV6EE.A05,No,1920 x 1080,1.0,250 mW,19.50 W,V226HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Vertical Alignment (VA),V226HQL,V226HQL Widescreen LCD Monitor,V,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",60 Hz,350 mW,No,-5°to25°,178°,Yes,Yes,,206.8 mm,,,390.4 mm,,,,,,100 x 100,3.24 kg,3.66 kg,508 mm,,,,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"F0W81AT#ABU, 3014237, HP, LCD Monitor, IML Direct Italy",Yes,,Yes,16:10,LED,HP,250 cd/m²,Silver,,"5,000,000:1",Yes,REACH TCO Certified Edge ENERGY STAR WEEE EPEAT Gold,Yes,Yes,178°,110 V AC 220 V AC,3 Year,Hewlett-Packard,F0W81AT#ABU,,1920 x 1200,1.0,,40 W,"Business E241i Widescreen LCD Monitor VGA Cable DVI Cable USB Cable DisplayPort Cable AC Power Cable Printed Documentation and CD (Includes User Guide, Warranty and Drivers) HP Display Assistant Software",In-plane Switching (IPS) Technology,E241i,Business E241i Widescreen LCD Monitor,,LCD Monitor,8 ms,WUXGA,"61 cm (24"")",,500 mW,180°,-5°to30°,178°,,Yes,,55 mm,,Security Lock,362.6 mm,,,,,,,,6.58 kg,556 mm,,USB Hub,Yes,Business,Anti-glare,Yes,USB 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.WG7EE.A01, 3112698, Acer, LCD Monitor, IML Direct Italy",Yes,No,,16:9,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,MPR II ENERGY STAR ECO,Yes,,178°,230 V AC 120 V AC,2 Year,"Acer, Inc",UM.WG7EE.A01,,1920 x 1080,1.0,450 mW,24 W,LED Monitor G227HQL 1 x VGA cable Power cord,In-plane Switching (IPS) Technology,G227HQLA,LED Monitor G227HQL,,LCD Monitor,6 ms,Full HD,"54.6 cm (21.5"")",60 Hz,490 mW,,-5°to15°,178°,,Yes,,35.4 mm,185.70 mm,CrystalBrite,303.8 mm,384.10 mm,,,,,,,,499.4 mm,499.40 mm,,,,Anti-glare,,,,,Yes,,,,,29 kWh,A,,,,,,,,,,,,,,,,,,,
"LS24C45KBL/EN, Samsung, LCD Monitor, IML Direct Italy",Yes,Yes,,16:9,LED,Samsung,250 cd/m²,Matte Black,16.7 Million Colours,"1,000:1",Yes,TCO ENERGY STAR EPEAT Gold,Yes,,170°,110 V AC 220 V AC,,Samsung,LS24C45KBL/EN,,1920 x 1080,1.0,,30 W,,,S24C450BL,S24C450BL Widscreen LCD Monitor,SC450,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,100 mW,,,160°,Yes,Yes,,55.5 mm,224 mm,MagicRotation MagicTune Off Timer MagicAngle MagicBright3 Eco Saving,330.5 mm,482.35 mm,Wall Mountable,PC,,,100 x 100,3.75 kg,5.40 kg,554.6 mm,554.60 mm,,No,,,,,No,,No,,,,Portrait,,,,,,,,,,,,,,,,,,,,,
"ET.BB3RE.D03, 8655F69, Acer, LCD Monitor, IML Direct Italy",Yes,Yes,No,,,Acer,250 cd/m²,Dark Grey,16.2 Million Colours,"20,000:1",Yes,TCO Displays 5.0 TCO '05 TCO '03,Yes,,176°,,3 Year,"Acer, Inc",ET.BB3RE.D03,80 mm,1280 x 1024,1.0,,13.90 W,B173DOymdh LCD MonitorPower CableVGA CableDVI CableSpeaker Cable,Twisted Nematic Film (TN Film),B173DOymdh,B173DOymdh LCD Monitor,,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",75 Hz,580 mW,45°,-5°to20°,176°,Yes,Yes,,198.5 mm,,,422.7 mm,,Wall Mountable,,,,100 x 100,4.90 kg,,369.7 mm,,Speaker,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.LAALB.RBE, 3000455, BenQ, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,BenQ,350 cd/m²,Glossy Black Black,1.07 Billion Colors,"1,000:1",Yes,ENERGY STAR EPEAT Gold TCO Certified Displays 6.0,Yes,Yes,178°,,,BenQ Corporation,9H.LAALB.RBE,150 mm,2560 x 1440,1.0,,35 W,,In-plane Switching (IPS) Technology,BL2710PT,BL2710PT Widescreen LCD Monitor,,LCD Monitor,4 ms,WQHD,"68.6 cm (27"")",76 Hz,,45°,-5°to20°,178°,Yes,Yes,,,72 mm,Security Lock M-book Mode Advanced Motion Accelerator (AMA) Light Sensor Flicker-free Senseye 3 CAD/CAM Mode Reading Mode,,380 mm,Wall Mountable,PC,,,100 x 100,8.20 kg,,,639 mm,USB Hub,,,,Yes,USB 3.0,Yes,,Yes,,,,Landscape/Portrait,,,,2.0,,Yes,,,,,,,,,,,,,,,
