<page title>,aspect ratio,audio,backlight,brightness,click image to enlarge,colours,contrast ratio,displayports,dvid ports,dynamic contrast ratio,ean,gross weight,hdmi ports,headphone jacks,height adjustment,horizontal viewing angle,input connector,input power source,keywords,line in jacks,manufacturer,model number,normal power consumption,package contents,package height,package length,package type,package width,pivot,pixel pitch,product code,product group,product height,product height without stand,product length,product length without stand,product name,product width,product width without stand,recommend resolution,response time,royal mail compliance,screen size,screen type,speakers,special features,standby power consumption,swivel lr,tilt angle,unit colour front,unit colour rear,unit colour stand,usb 20 downstream ports,usb 20 upstream ports,usb 30 downstream ports,usb 30 upstream ports,vertical viewing angle,vga ports,wall mount,warranty direct with manufacturer,web address,compliance,max resolution,net weight,screen features,upc,horizontal frequency range,vertical frequency range,view angle,energy star,viewable display area,unit colour,web camera,product weight,product weight without stand,audio outputs,operation environment,displayports out
"Dell P1911 19"" Wide TN CCFL Black Monitor (1440x900/5ms/VGA/DVI/USB) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:10,,CCFL,250 cd/mÂ²,"Â£66.64
Â£79.96 inc VAT
141 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,1.0,"50, 000, 000:1",5397063039432.0,6.89Kg,,,100mm,160Â°,,Power Lead,"Monitor, 19, TN, CCFL, 16:10, 1440 x 900, 5ms, Tilt, Swivel, Pivot, Height Adjustment, VGA, DVI-D, USB, VESA",,DELL,P1911,18W,"Monitor, Manual, Support Disk, Power lead",20.5cm,51cm,Retail,35.5cm,90Â°,0.284mm,NEX-111143,Monitors,314.68mm - 436.3mm,,171.90mm,,"Dell P1911 19"" Wide TN CCFL Black Monitor (1440x900/5ms/VGA/DVI/USB)",442.87mm,,1440 x 900,5ms,Not Compliant,"19""",TN,,"Energy efficient features, Easy connectivity, Excellent viewing comfort, PowerNap and Dynamic Dimming, 25% post consumer recycled materials",0.5W,-45Â°/45Â°,-4Â°/21Â°,Black,Black,Black and Silver,4.0,1.0,,,160Â°,1.0,VESA,3 Years,www.dell.com,"TCO 5.0, EPEAT Gold",1400 x 900,,,884116063308.0,,,,5.0,,,,5.46Kg,3.59Kg,,,
"AOC m2870Vq 28"" Widescreen MVA LED Black Multimedia Monitor (1920 x 1080/5ms/VGA/DVI/HDMI/DP) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,300 cd/mÂ²,"Â£158.54
Â£190.25 inc VAT
0 Available
Due: 25/12/14",16.7 Million,1000:1,1.0,1.0,"50, 000, 000:1",4038986184373.0,6.90Kg,1.0,,,178Â°,,Power Lead,"Monitors, MVA, LED, 28"", 16:9, 5ms, HDMI, DisplayPort, Speakers, 1920x1080, Tilt, Audio, Eco, e-Saver, i-Menu, Kensington, screen+, VESA",,AOC,M2870VQ,27.7W,"Monitor, Manual, UK Power lead, Support Disk, VGA lead, HDMI lead, Audio lead",13.5cm,74cm,Retail,48cm,,0.311mm,NEX-110149,Monitors,451.8mm,,241.9mm,,"AOC m2870Vq 28"" Widescreen MVA LED Black Multimedia Monitor (1920 x 1080/5ms/VGA/DVI/HDMI/DP)",665.1mm,,1920 x 1080,5ms,Not Compliant,"28""",MVA,Integrated,"Eco Mode, e-Saver, i-Menu, Kensington Security Lock, screen+",0.5W,,-5Â°/25Â°,Black,Black,Black,,,,,178Â°,1.0,VESA 100mm x 100mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CE, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÃV-GS",,5.30Kg,Full HD,,30KHz - 83KHz,50Hz - 76Hz,,6.0,597.89mm x 336.31mm,,,,,1.0,,
"Dell U2713HM 27"" Wide LED Black Monitor (2560x1440/8ms/DVI/VGA/DP/HDMI/USB) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,350 cd/mÂ²,"Â£397.73
Â£477.27 inc VAT
149 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,1.0,1.0,"2, 000, 000:1",5397063171279.0,10.7Kg,1.0,,Yes,178Â°,,Power Lead,"Monitors, LCD, LED, LED Backlight, 27"", 2560 x 1440, 8ms, DVI-D, DP, DisplayPort, HDMI, VGA, USB 3.0",,DELL,U2713HM,42W,"Monitor with stand, Power cable, DVI cable, VGA cable, USB cable, Cable Tie, Color Calibrated Factory Report, Quick setup guide, Safety information",25cm,73.5cm,Retail,47cm,Yes,0.23mm,NEX-107606,Monitors,424.3mm - 538.9mm,378.2mm,200.3mm,65.6mm,"Dell U2713HM 27"" Wide LED Black Monitor (2560x1440/8ms/DVI/VGA/DP/HDMI/USB)",639.3mm,639.3mm,2560 x 1440,8ms,Not Compliant,"27""",LCD,,"Ultimate viewing lives on a grand stage., Maximize comfort and convenience., An environmentally conscious design.",0.5W,Yes,Yes,Black,Black,Black and Silver,,,4.0,1.0,178Â°,1.0,VESA,3 Years,www.dell.com,"EPEAT Gold, TCO Certified Displays",2560 x 1440,,,884116100386.0,,,,Yes,596.7mm x 335.7mm,,,,5.6Kg,1.0,"Temperature: 0Â° - 40Â°C, Humidity: 10% - 80%",
"Dell U2412M 24"" Wide IPS Black Monitor (1920x1200/8ms/DVI/DP/VGA/USB) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:10,,LED,300 cd/mÂ²,"Â£198.06
Â£237.67 inc VAT
28 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,1.0,1.0,"2, 000, 000:1",5397063039203.0,8.09Kg,,,Yes,178Â°,,Power Lead,"Monitors, LCD, LED, LED Backlight, 24"", IPS, 16:10, Widescreen, 1920x1200, 8ms, DVI-D, DP, VGA, USB",,DELL,U2412M BLACK,38W,"Monitor with stand, Power cable, DVI cable, USB cable, VGA Cable, Drivers and Documentation media, Quick Setup Guide, Safety Information",23.5cm,65cm,Retail,43cm,Yes,0.270mm,NEX-107608,Monitors,513.5mm,361.6mm,180.3mm,64.9mm,"Dell U2412M 24"" Wide IPS Black Monitor (1920x1200/8ms/DVI/DP/VGA/USB)",556mm,556mm,1920 x 1200,8ms,Not Compliant,"24""",IPS,,"Clearly outstanding, Contrasting view, Colorful character, Premium Panel Guarantee",,Yes,Yes,Black,Black,Black and Silver,4.0,1.0,,,178Â°,1.0,VESA,3 Years,www.dell.com,"EPEAT Gold, TCO Certified Displays",1920 x 1200,,Anti-glare with hard coat 3H,,,,,5.1,,,,,,,"Temperature: 0Â° - 40Â°C, Humidity: 10% - 80%",
"ASUS VS24AHL 24.1"" Widescreen IPS LED Black Monitor (1920x1200/5ms/VGA/DVI-D/HDMI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:10,,LED,300 cd/mÂ²,"Â£226.60
Â£271.92 inc VAT
0 Available
Due: 10/10/14",16.7 Million,1000:1,,1.0,"80, 000, 000:1",4716659521129.0,7.80Kg,1.0,1.0,Yes,178Â°,,Power Lead,"Monitors, LCD, LED, 24.1"", 1920 x 1200, 16:10, 5ms, HDMI, VESA, Wall Mounting, 100x100mm, Kensington lock, Tilt, Swivel, Pivot, Height Adjustment, Slim",,ASUS,VS24AHL,30W,"Monitor, DVI lead, VGA lead, UK Power lead, Quick setup guide",18cm,68cm,Retail,43.7cm,90Â°,0.270mm,NEX-109019,Monitors,534.5mm,,224.8mm,,"ASUS VS24AHL 24.1"" Widescreen IPS LED Black Monitor (1920x1200/5ms/VGA/DVI-D/HDMI)",561.6mm,,1920 x 1200,5ms (GTG),Not Compliant,"24.1""",IPS,,"True-to-life Pictures Powered by LED, 178Â°Ultra Wide Viewing Angle, Versatile position for personal visual comfort, QuickFit Virtual Scale, Aspect Control function, Splendid Video Intelligence Technology",0.5W,+160Â°/-160Â°,-5Â°/20Â°,Black,Black,Black,,,,,178Â°,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"BSMI, CB, CE, C-Tick, EPEAT (Gold) by region, ErP, FCC, J-MOSS, PSE, RoHS, TCO6.0, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)",1920 x 1200,6.10Kg,,886227521128.0,30KHz - 83kHz,50Hz - 61Hz,,5.0,,,,,,,,
"BENQ EW2740L 27"" Wide VA LED Glossy Black Multimedia Monitor (1920x1080/4ms/DVI-D/2 x HDMI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,300 cd/mÂ²,"Â£169.15
Â£202.98 inc VAT
302 Available
Available for next day delivery if ordered before 5pm",16.7 Million,3000:1,,,"20, 000, 000:1",4718755046872.0,5.80Kg,2.0,,,178Â°,,Power Lead,"Monitors, MHL, 27"", 16:9, 1920 x 1080, 4ms, HDMI, Flicker-free, Senseye, AMA, HDCP",,BENQ,EW2740L,,"Monitor, Quick Start Guide, UK Power Lead, Support Disk",14cm,70cm,Retail,43cm,,0.311mm,NEX-109551,Monitors,450.57mm,,191.32mm,,"BENQ EW2740L 27"" Wide VA LED Glossy Black Multimedia Monitor (1920x1080/4ms/DVI-D/2 x HDMI)",622.58mm,,1920 x 1080,4ms (GTG),Not Compliant,"27""",VA,Integrated,"Go Big With Your Smartphone, Transform mobile entertainment with MHL connection, Cinema Mode fine-tunes video contents to perfection, Upscale Every Viewing Experience with Super Resolution, Distraction-free Viewing with Smart Focus",,,-5Â°/20Â°,Glossy Black,Glossy Black,Glossy Black,,,,,178Â°,1.0,,2 years on-site SWAP,www.benq.co.uk,,1920 x 1080,4.20Kg,Full HD,,,,,,,,,,,,,
"BENQ VL2040AZ 19.5"" Wide TN LED Glossy Black Monitor (1366x768/5ms/VGA) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,200 cd/mÂ²,,16.7 Million,600:1,,,"12, 000, 000:1",4718755047091.0,3.50Kg,,,,90Â°,,Power Lead,"Monitors, 19.5"", 16:9, LED, TN, Blue Light, Flicker-free, Senseye, K Locker",,BENQ,VL2040AZ,17W,"Monitor, Manual, VGA lead",10.7cm,51.4cm,Retail,34.5cm,,0.270mm,NEX-110446,Monitors,353mm,273mm,179mm,40mm,"BENQ VL2040AZ 19.5"" Wide TN LED Glossy Black Monitor (1366x768/5ms/VGA)",464mm,464mm,1600 x 900,5ms,Not Compliant,"19.5""",TN,,"The Ultra-Slim Minimalist Design, Flicker-free Backlight for Visual Pleasure, Reading Mode for an Optimized Reading Experience, Low Blue Light Mode, Senseye Visual Solution to Your Everyday Viewing Needs",0.5W,,-5Â°/15Â°,Glossy Black,Black,Glossy Black,,,,,65Â°,1.0,,2 years on-site SWAP,www.benq.co.uk,,1600 x 900,2.30Kg,,,,,,,433.92mm x 236.34mm,,,,,,,
"ASUS VX229H 21.5"" Widescreen AH-IPS LED Black Multimedia Monitor (1920x1080/5ms/2xHDMI/VGA) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 1W,LED,250 cd/mÂ²,"Â£124.72
Â£149.66 inc VAT
33 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,,"80, 000, 000:1",4716659530954.0,4.92Kg,2.0,,,178Â°,,Power Adapter,"Monitors, AH-IPS, LED, 21.5"", 16:9, 1920x1080, 5ms, HDMI, Full HD, Ultra-slim",,ASUS,VX229H,26W,"Monitor, VGA cable, Audio cable, UK Power cord, Power adapter, Quick start guide",12cm,56cm,Retail,48cm,,0.248mm,NEX-108754,Monitors,371.3mm,,210.1mm,,"ASUS VX229H 21.5"" Widescreen AH-IPS LED Black Multimedia Monitor (1920x1080/5ms/2xHDMI/VGA)",499.8mm,,1920 x 1080,5ms (GTG),Not Compliant,"21.5""",AH-IPS,Integrated,"Full HD AH-IPS LED display with 178Â° wide-view angle, Extensive connectivity includes dual HDMI and D-sub, Built-in stereo speakers for multimedia enjoyment, Ultra-slim, ergonomic design with sturdy sundial-inspired stand",0.5W,,-5Â°/20Â°,Black,Black,Black,,,,,178Â°,1.0,,3 Years On Site,www.asus.com,"BSMI, CB, CCC, CE, CEL level 1, C-Tick, CU, ErP, FCC, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)",1920 x 1080,3.07Kg,Full HD,886227530953.0,30kHz - 80kHz,56Hz - 76Hz,,5.0,,,,,,,,
"AOC e2460Phu 24"" Widescreen LED Black Multimedia Monitor (1920 x 1080/5ms/VGA/DVI/HDMI/USB) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,250 cd/mÂ²,"Â£130.73
Â£156.87 inc VAT
37 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,1.0,"20, 000, 000:1",4038986141680.0,8.30Kg,1.0,,130mm,170Â°,,Power Lead,"Monitors, 24"", TN, LED, 16:9, 1920x1080, 2ms, HDMI, Speakers, 5:4, Pivot, Height Adjustment, Swivel, DCB, Eco, e-Saver, i-Care, i-Menu, Kensington, screen+",,AOC,E2460PHU,19.61W,"Monitor, Manual, Support Disk, UK Power lead, VGA lead, DVI-D lead, Audio cable, USB lead",19cm,69cm,Retail,41cm,90Â°,0.276mm,NEX-110150,Monitors,393.6mm,,244.58mm,,"AOC e2460Phu 24"" Widescreen LED Black Multimedia Monitor (1920 x 1080/5ms/VGA/DVI/HDMI/USB)",565.4mm,,1920 x 1080,2ms (GTG),Not Compliant,"24""",TN,Integrated,"5:4 switch, 90Â° Pivot, 130 mm Height Adjustment, 178Â° Swivel, DCB, Eco Mode, e-Saver, Headphone out, i-Care, i-Menu, Kensington Security Lock, screen+",0.3W,178Â°,-5Â°/20Â°,Black,Black,Black,4.0,1.0,,,160Â°,1.0,VESA 100mm x 100mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CE, EPEAT Gold, EuP, FCC, GOST, ISO 9241-307, NRTL, RoHS, TCO 5.0, TÃV-GS",,6.54Kg,Full HD,,30KHz - 83KHz,55Hz - 75Hz,,5.0,531.36mm x 298.89mm,,,,,1.0,,
"AOC U2868Pqu 28"" Widescreen TN LED Black Multimedia Monitor (3840x2160/1ms/VGA/DVI-D/HDMI/DP-60Hz) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 3W,LED,300 cd/mÂ²,"Â£379.90
Â£455.88 inc VAT
36 Available
Available for next day delivery if ordered before 5pm",,1000:1,1.0,1.0,"80, 000, 000:1",4038986184380.0,10.68Kg,1.0,,130mm,170Â°,,Power Lead,"Monitors, TN, LED, 16:9, 28"", TN, LED, 3840x2160, Swivel, Pivot, Height, HDMI, DisplayPort, USB 3.0, Speakers, VESA, 4K",,AOC,U2868PQU,,"Monitor, UK Power lead, Manual",21cm,76cm,Retail,48cm,Yes,,NEX-110147,Monitors,560mm,395.8mm,245mm,50mm,"AOC U2868Pqu 28"" Widescreen TN LED Black Multimedia Monitor (3840x2160/1ms/VGA/DVI-D/HDMI/DP-60Hz)",658.9mm,658.9mm,3840 x 2160,1ms (GTG),Not Compliant,"28""",TN,Integrated,"3840x2160 (Only over DisplayPort at 60Hz), Designed for gamers, Staggering resolution, 4K Resolutions",,Yes,Yes,Black,Black,Black,2.0,1.0,2.0,1.0,160Â°,1.0,VESA 100mm x 100mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,,3840 x 2160,,4K,,,,,,,,,,,,,
"ASUS PB238Q 23"" Widescreen IPS Black Multimedia Monitor (1920x1080/6ms/VGA/HDMI/DVI/DisplayPort/USB) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 2W,LED,250 cd/mÂ²,"Â£180.96
Â£217.15 inc VAT
3 Available
Available for next day delivery if ordered before 5pm",16.7 Million,,1.0,1.0,"80, 000, 000:1",4716659192497.0,9.1Kg,1.0,,100mm,178Â°,,Power Lead,"Monitors, IPS, LED, LED Backlight, 23"", 16:9, 6ms, HDMI, Height adjustment, Speakers, USB, VESA Wall Mounting, VESA, Wall Mount, Widescreen",,ASUS,PB238Q,,"Monitor, 1 x DVI lead, 1 x VGA lead, 1 x Audio lead, 1 x UK Power cord, 1 x USB lead, Quick start guide",26cm,67cm,Retail,38.5cm,90Â°,0.2652mm,NEX-106821,Monitors,414mm,323.7mm,201mm,57.6mm,"ASUS PB238Q 23"" Widescreen IPS Black Multimedia Monitor (1920x1080/6ms/VGA/HDMI/DVI/DisplayPort/USB)",548.8mm,548.8mm,1920 x 1080,6ms (GTG),Not Compliant,"23""",IPS,Integrated,"True-to-life Pictures Powered by LED, 80, 000, 000:1 ASUS Smart Contrast Ratio, Full HD with HDMI, 178Â° Wide Viewing Angle, Extensive Connectivity and Built-in Stereo Speaker for Multimedia Enjoyment, QuickFit Virtual Scale",0.5W,+60/-60,-5Â°/20Â°,Black,Black,Black,4.0,1.0,,,178Â°,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, J-MOSS, PSE, RoHS, WEEE, Windows 7 WHQL",1920 x 1080,6.2Kg,,886227192496.0,24KHz - 83KHz,50Hz - 75Hz,,Yes,,,,,,,,
"BENQ BL2410PT 24"" Wide VA LED Black Multimedia Monitor (1920x1080/4ms/VGA/DVI-D/DP) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 1W,LED,250 cd/mÂ²,"Â£146.81
Â£176.17 inc VAT
36 Available
Available for next day delivery if ordered before 5pm",16.7 Million,5000:1,1.0,1.0,,4718755040498.0,8.1Kg,,1.0,150mm,178Â°,,Power Lead,"Monitors, LED, LED Backlight, VA, USB, 24"", 4ms, 16:9, Height adjustment, Speakers, Pivot, Tilt, VESA, VESA Wall Mounting, Widescreen",1.0,BENQ,BL2410PT,23W,"Monitor, Users Manual CD, UK Power Lead",19.5cm,64cm,Retail,51cm,90Â°,0.276mm,NEX-107339,Monitors,504mm,339mm,259mm,66mm,"BENQ BL2410PT 24"" Wide VA LED Black Multimedia Monitor (1920x1080/4ms/VGA/DVI-D/DP)",565mm,565mm,1920 x 1080,4ms (GTG),Not Compliant,"24""",VA,Integrated,"A Healthy Recipe for Business Success, Reading Mode for an Optimized Reading Experience, Ultra-Flexible Height Adjustment System (HAS), Automatic Eye-Protect Sensor, Eco Sensor",0.2W,-45Â°/45Â°,-5Â°/20Â°,Black,Black,Black,2.0,1.0,,,178Â°,1.0,VESA 100mm x 100mm,2 years on-site SWAP,www.benq.co.uk,TCO 6.0,1920 x 1080,6.7Kg,Full HD,,,,,,,,,,,,,
"ASUS VE228HR 21.5"" Widescreen LED Black Multimedia Monitor (1920x1080/5ms/VGA/HDMI/DVI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 1W,LED,250 cd/mÂ²,"Â£105.64
Â£126.76 inc VAT
60 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,1.0,"80, 000, 000:1",4716659192381.0,5.5Kg,1.0,1.0,,170Â°,,Power Lead,"Monitors, 21.5"", Widescreen, 5ms, 16:9, HDMI, LCD, LED, LED Backlight, Speakers, VESA",1.0,ASUS,VE228HR,35W,"Monitor, DVI lead, VGA lead, Audio lead, UK Power cord, Quick start guide",15cm,57cm,Retail,47cm,,0.248mm,NEX-106822,Monitors,385mm,305.51mm,201mm,56.9mm,"ASUS VE228HR 21.5"" Widescreen LED Black Multimedia Monitor (1920x1080/5ms/VGA/HDMI/DVI)",512.84mm,512.84mm,1920 x 1080,5ms,Not Compliant,"21.5""",LCD,Integrated,"True-to-life Pictures Powered by LED, Advanced Video Technologies for Exceptional Visuals, Splendid Video Intelligence Technology",1W,,-5Â°/20Â°,Black,Black,Black,,,,,160Â°,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, WEEE, Windows Vista and Windows 7 WHQL",1920 x 1080,3.5Kg,,886227192380.0,30KHz - 83KHz,50Hz - 76Hz,,5.0,,,,,,,,
"ASUS VS229HV 21.5"" Widescreen IPS LED Black Monitor (1920x1080/5ms/HDMI/VGA/DVI-D) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,250 cd/mÂ²,"Â£110.75
Â£132.90 inc VAT
6 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,1.0,"80, 000, 000:1",4716659556749.0,5.60Kg,1.0,,,178Â°,,Power Lead,"Monitors, LED, IPS, 21.5"", 16:9, 5ms, HDMI, VESA, Wall Mounting, Slim, Full HD, HDMI, QuickFit",,ASUS,VS229HV,21.5W,"Monitor, DVI lead, VGA lead, UK Power lead, Quick start guide",13cm,56.6cm,Retail,44.3cm,,0.248mm,NEX-109298,Monitors,385.5mm,,200mm,,"ASUS VS229HV 21.5"" Widescreen IPS LED Black Monitor (1920x1080/5ms/HDMI/VGA/DVI-D)",514.1mm,,1920 x 1080,5ms (GTG),Not Compliant,"21.5""",IPS,,"Superior Image Quality Meets Classic Design, True-to-life Pictures Powered by LED, Full HD with HDMI, 178Â°Ultra Wide Viewing Angle, Aspect Control function, QuickFit Virtual Scale, Splendid Video Intelligence Technology",0.5W,,-5Â°/20Â°,Black,Black,Black,,,,,178Â°,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"BSMI, CB, CCC, CE, CEL level 1, C-Tick, ErP, FCC, Gost-R, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)",1920 x 1080,3.50Kg,Full HD,886227556748.0,30Hz - 83Hz,50Hz - 75Hz,,6.0,,,,,,,,
"AOC e2270Swn 21.5"" Widescreen LED Black Monitor (1920x1080/5ms/VGA) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,200 cd/mÂ²,"Â£71.69
Â£86.03 inc VAT
0 Available
Due: 30/11/50",16.7 Million,600:1,,,"20, 000, 000:1",4038986123891.0,3.60Kg,,,,90Â°,,Power Lead,"Monitors, LCD, TN, LED, 21.5"", 16:9, 1920x1080, VGA, Eco, e-Saver, i-Menu, screen+, Kensington",,AOC,E2270SWN,18W,"Monitor, UK Power lead, VGA lead, Support Disk",10.5cm,56cm,Retail,39cm,,0.248mm,NEX-110000,Monitors,311.1mm,,48mm,,"AOC e2270Swn 21.5"" Widescreen LED Black Monitor (1920x1080/5ms/VGA)",503.4mm,,1920 x 1080,5ms,Not Compliant,"21.5""",TN,,"Eco Mode, e-Saver, i-Menu, Screen+, Kensington Security Lock, VESA 100 mm",0.5W,,-3Â°/10Â°,Black,Black,Black,,,,,65Â°,1.0,VESA 100mm x 100mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CE, EPEAT Silver, EuP, FCC, GOST, ISO 9241-307, NRTL, RoHS, TÃV-GS",,,,,30KHz - 83KHz,50Hz - 75Hz,,6.0,476.6mm x 268.1mm,,,,,,,
"AOC e2250Swdak 21.5"" Widescreen LED Glossy Black Multimedia Monitor (1920x1080/5ms/VGA/DVI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,250 cd/mÂ²,"Â£78.72
Â£94.46 inc VAT
499 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,1.0,"20, 000, 000:1",4038986122023.0,4.06Kg,,,,170Â°,,Power Lead,"Monitors, LED, LCD, LED Backlight, 21.5"", 16:9, 5ms, Energy Star, VESA, VESA Wall Mounting, Widescreen, Speakers",1.0,AOC,E2250SWDAK,19W,"Monitor, UK Power Lead, VGA Lead, Audio Lead, DVI Lead, Support Disk",11cm,57cm,Retail,40cm,,0.248mm,NEX-106670,Monitors,379.95mm,,190mm,,"AOC e2250Swdak 21.5"" Widescreen LED Glossy Black Multimedia Monitor (1920x1080/5ms/VGA/DVI)",511.18mm,,1920 x 1080,5ms,Not Compliant,"21.5""",LCD,Integrated,"5:4 switch, DCB, Eco Mode, e-Saver, i-Menu, Kensington Security Lock, Low-Power, Off Timer, screen+, VESA 75 mm",2W,,-5Â°/15Â°,Glossy Black,Glossy Black,Glossy Black,,,,,160Â°,1.0,VESA 75mm x 75mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CB, CE, FCC, GOST, ISO 9241-307, RoHS, TÃV-GS, Ukraine Safety, Win7, EuP",1920 x 1080,3.28Kg,,,30KHz - 83KHz,50Hz - 76Hz,,5.0,477.5mm x 268.5mm,,,,,,,
"ASUS PA279Q 27"" Widescreen AH-IPS Black Multimedia Monitor (2560x1440/6ms/HDMI/DVI/DP/USB) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 3W,LED,350 cd/mÂ²,"Â£656.81
Â£788.17 inc VAT
5 Available
Available for next day delivery if ordered before 5pm",1073.7M (10bit),1000:1,1.0,1.0,"100, 000, 000:1",4716659456407.0,14.0Kg,1.0,1.0,Yes,178Â°,Card Reader,Power Lead,"Monitors, 27"", Wide, AH-IPS, 2560x1440, 6ms, Speakers, Pre-calibrated, Adobe, IPS, Picture-in-Picture, Picture-by-Picture, PIP, PBP, Daisy-chain, DisplayPort, HDMI, Dual-link",1.0,ASUS,PA279Q,49W,"Monitor, Dual-link DVI lead, Mini-DisplayPort-to-DisplayPort lead, Audio lead, UK Power cord, DisplayPort lead, USB 3.0 lead, Quick start guide, HDMI lead, Support CD, Colour pre-calibration report, Monitor hood",30cm,75.6cm,Retail,45.6cm,Yes,0.233mm,NEX-109308,Monitors,559.84mm,379.68mm,240mm,69.5mm,"ASUS PA279Q 27"" Widescreen AH-IPS Black Multimedia Monitor (2560x1440/6ms/HDMI/DVI/DP/USB)",640.78mm,640.78mm,2560 x 1440,6ms (GTG),Not Compliant,"27""",AH-IPS,Integrated,"Colour consistency for photographer and retouching with 99% Adobe RGB colour space, 10-bit colour for smoother gradations, Pre-calibrated right out-of-the box, Picture-in-Picture and Picture-by-Picture",0.5W,Yes,-5Â°/20Â°,Black,Black,Black,,,6.0,1.0,178Â°,,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"BSMI, CB, CCC, CE, CEL level 2, C-Tick, CU, EPEAT (Gold) by region, ErP, FCC, J-MOSS, Mac Compliance, PSE, RoHS, TCO6.0, TUV-Ergo, TUV-GS, UkrSEPRO, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)",2560 x 1440,10.0Kg,,886227456406.0,29KHz - 113KHz,49Hz - 86Hz,,6.0,,,,,,,,1.0
