3d compatibility,<page title>,aspect ratio,backlight type,bluetooth,builtin camera,builtin speakers,cable lock slot,certification,colour of product,compliance industry standards,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display srgb,display technology,energy efficiency class,energy star certified,epeat compliance,hd type,height,height adjustment,height with stand,horizontal scan range,input frequency,input voltage,led indicators,mac operating systems supported,mean time between failures mtbf,nonoperating altitude,number of loudspeakers,on screen display osd,on screen display osd languages,onoff switch,operating altitude,operating relative humidity hh,operating temperature tt,package weight,packaging depth,packaging height,packaging width,pivot,pivot angle,pixel pitch,plug and play,power consumption powersave,power consumption standby,power consumption typical,response time,rms rated power,separate hv sync,source datasheet,storage temperature tt,supported graphics resolutions,swivel angle range,swivelling,syncongreen sog,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,usb 30 ports quantity,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,wifi,windows operating systems supported,dvid ports quantity,hdcp,relative humidity,ac power in,dvii ports quantity,headphone out,manual,standby led,storage relative humidity hh,audio input,hdmi,hdmi ports quantity,supported video modes,builtin subwoofer,cables included,card reader integrated,digital horizontal frequency,digital vertical frequency,displayports quantity,placement supported,power consumption max,power led,video dot rate,viewable size diagonal,pc audio in,power consumption off,quick start guide,number of osd languages,component video ypbprycbcr in,svideo inputs quantity,headphone connectivity,microphone in,package dimensions wxdxh,rs232 ports,dvi port,ethernet lan,pictureinpicture,dimensions w x d x h with stand,dimensions wxdxh,handheld remote control,composite sync,composite video in,power requirements,common interface ci,safety,display surface,screen format adjustments,power cord included,quantity,audio output,linux operating systems supported,dcin jack,display viewable area hxv,number of products included,screen saving functions,bezel width side,builtin microphone,feet colour,mobile highdefinition link mhl,maximum resolution,volume control,effective viewing area,compatible memory cards,analog signal format system,common interface plus ci,product type,picture enhancement,ac adapter included
No,LG 22EA63V - MrHighTech Shop,16:9,,No,No No,No No,,,Black Black,,5000000:1,,74 mm,178 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,,IPS,Unspecified,,,,307 mm,,380 mm,,,,,,,,,,,,,,,3.92 kg,125 mm,375 mm,568 mm,,,,Yes Yes,,0.3 W,26 W,5 ms,,,. .,,,,,,,,,No,,,,,,,,178 °,178 °,,2.5 kg,2.7 kg,500 mm,500 mm,No,,,Yes,,,,,,,,,,,,No No,,,,,,,,,,,,0.3 W,,,,,,,,,Yes,No,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,LG DM2352D-PZ LED display - MrHighTech Shop,16:9,,,No No No,Yes Yes Yes,,"UL, CUL, SEMKO, FCC-B, CE, TUV-Type GS, TUV-Type, ISO 13406-2, TCO-03, TCO-99, NEMKO, SWOP",Black Black,,5000000:1,1000:1,62.9 mm,182.8 mm,LED,250 cd/m²,"584.2 mm (23 "")",58.42 cm,16.77 M,1920 x 1080 pixels,,TN+Film,C,Yes,,Full HD,334.6 mm,,406.2 mm,30 - 83 kHz,,,Yes Yes,,,,2 2 2,Yes Yes,,,,,,,,,,,,0.27 x 0.27 mm,,,1 W,33 W,5 ms,10 W 10 W 10 W,Yes,. .,,1920 x 1080 (HD 1080),,,,,,-5 - 10 °,No No,1.0,,56 - 75 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.4 kg,3.9 kg,544.1 mm,544.1 mm,,,1.0,No,,Yes,,,Yes Yes,,,,Yes Yes,2.0,,,AC AC,,,,,,,,,,,,,31 31,,,,,,,,,,544.1 x 182.8 x 406.2 mm,544.1 x 62.9 x 334.6 mm,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,NEC EA193Mi-BK - MrHighTech Shop,5:4,,,No No No,No No No,No No,"RoHS, TCO 6.0",Black Black,,Ultra Contrast,1000:1,65 mm,213.9 mm,LCD,250 cd/m²,"482.6 mm (19 "")",48.2 cm,16.77 M,1280 x 1024 pixels,,,,Yes,Silver,HD-ready,338 mm,Yes,386.4 mm,,,,,,,0 - 12.1 m,,Yes Yes,,Yes Yes,0 - 2000 m,20 - 80 %,5 - 35 °C,,,,,Yes,,0.29 x 0.29 mm,Yes Yes,0.35 W,,,6 ms,,Yes,. .,-10 - 60 °C,1280 x 1024 (SXGA),,Yes,,No,Yes,,No No,,,,100 x 100 mm,1.0,,,178 °,178 °,Yes,4 kg,6 kg,408 mm,408 mm,,,1.0,Yes,,,,1,Yes Yes,Yes Yes,10 - 85 %,,,,,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,31.5 - 81.1 kHz,56 - 75 Hz,1.0,,18 W,Yes Yes,,,,,,,,,3.5 mm,,,,Yes,,,,,,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS VE247H - MrHighTech Shop,16:9,,,No No,,Kensington Kensington,"Energy Star 5.0, CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, RoHS, WEEE, Windows Vista & Windows 7 WHQL",Black Black,,,,201 mm,,,300 cd/m²,"599.4 mm (23.6 "")",,,1920 x 1080 pixels,,,,,,,409.7 mm,,,,,,,,,,,,,,,,,7.1 kg,,,,,,0.272 x 0.272 mm,,,1 W,35 W,2 ms,2 W 2 W,,. .,,,,,,,,-5 - 20 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,,4.4 kg,,569.4 mm,,,,1.0,Yes,,,,1,,Yes Yes,,,Yes Yes,1.0,,,,,30 - 83 kHz,50 - 76 Hz,,,,,,599 mm,,,,,,,3.5 mm,,638 x 480 x 175 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL E2210 - MrHighTech Shop,16:10,,,No No,No No,,,Black Black,,,1000:1,163.9 mm,,,250 cd/m²,"558.8 mm (22 "")",,,1680 x 1050 pixels,,,,Yes,,,406.7 mm,,,,,,,,,,,,,,,10 - 80 %,32 - 104 °F,7.03 kg (15.5 lbs),,,,,,0.282 x 0.282 mm,,,,28 W,5 ms,,,. .,-20 - 60 °C,,,,,,,,No,,,,,1.0,,,170 °,160 °,,4.4 kg (9.7 lbs) 4.4 kg (9.7 lbs) 4.4 kg,,511.2 mm,,,,1.0,,,,,,Yes Yes,Yes Yes,,,,,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,"100 - 240 V, AC",,,,,,,,,,,,,,,,,,,,,,,,,
,LG 27EA63V - MrHighTech Shop,16:9,,,No No,,,,Black Black,,10000000:1,,50 mm,193 mm,LCD,250 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,,IPS,Unspecified,,,Full HD,372 mm,,450 mm,,,100 - 240 V,,,,,,,,,,,,6.76 kg,455 mm,142 mm,706 mm,,,0.3114 x 0.3114 mm,Yes Yes,0.3 W,0.3 W,34 W,5 ms,,,. .,,1920 x 1080 (HD 1080),,,,,Yes,-5 - 20 °,,,,,100 x 100 mm,,,,178 °,178 °,Yes,4.3 kg,4.6 kg,623 mm,623 mm,,,1.0,Yes,,,,1,,,,,,1.0,,,,,,,,,,,,,,0.3 W,,,,,,,,,Yes,,,,,,,,,Yes,"UL(cUL), TUV-GS, FCC-B, CE, EPA",,,,,,,,,,,,,,,,,,,,,,,
No,Benq BL2405HT - MrHighTech Shop,16:9,,,No No No,No No No,,,Black Black,,12000000:1,1000:1,213 mm,,,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,,Unspecified,,,Full HD,350 mm,Yes,,,,,,,,,,No No,,,,,,,,,,,,,,,0.3 W,42 W,5 ms,,,,,,,Yes,,,Yes,,No No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,5.1 kg,,579 mm,,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64",,Yes,,,,1,,,,,,1.0,,,,,,,,,,,,,,,,17 17,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,AOC e2251Fwu - MrHighTech Shop,16:9,,,No No No,,,"cTUVus, FCC, TUV/S, RoHS, EPA 5.0, EPEAT",Black Black,,,1000:1,389.1 mm,,LCD,150 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,,,,Full HD,193.7 mm,,,,50/60 Hz,110 - 220 V,,,,,,,,,,,,,,,,,,0.248 x 0.248 mm,Yes Yes,,,10 W,5 ms,,,. .,,1920 x 1080 (HD 1080),,,,No,,,No No,1.0,,,,,476.6 mm,268.1 mm,170 °,160 °,,2.65 kg,,512.5 mm,,,,,No,,,,,,Yes Yes,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,No,,,,,,,,,,,Gloss,,,,,,,,,,,,,,,,,,,,,,
Yes,ASUS VG278HR - MrHighTech Shop,16:9,,,No No,Yes Yes,Kensington Kensington,"BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, UL/cUL, VCCI, WEEE",Black Black,,50000000:1,,,249.7 mm,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,Yes,,Unspecified,Yes,,Full HD,,Yes,437.8 mm,24 - 83 kHz,,,,,,,2 2,Yes Yes,,Yes Yes,,,,12.1 kg,176 mm,560 mm,732 mm,No,,0.311 x 0.311 mm,,,1 W,65 W,2 ms,6 W 6 W,,. .,,1920 x 1080 (HD 1080),,Yes,,No,Yes,-5 - 15 °,No,,,55 - 85 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,,8.3 kg,,643 mm,,Yes Yes,1.0,Yes,,Yes,,1,,Yes Yes,,,,1.0,,No No,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,28 - 160 kHz,50 - 144 Hz,,,,Yes Yes,,,Yes,0.6 W,Yes Yes,,,,3.5 mm,,,,,,No No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wortmann AG TERRA LED 2450W - MrHighTech Shop,16:9,,,No No,Yes Yes,,"CE, EN 60950",Black Black,,15000000:1,,190 mm,,,250 cd/m²,"609.6 mm (24 "")",,,1920 x 1080 pixels,,,,,,Full HD,393 mm,,,30 - 80 kHz,,,,,,,,,"DEU, ENG, ESP, FRE, ITA, RUS DEU, ENG, ESP, FRE, ITA, RUS",,,,,,,,,,,0.277 x 0.277 mm,Yes Yes,,1 W,20 W,5 ms,,,,,,,,,,,5 - 20 °,No,,,55 - 75 Hz,,1.0,,,170 °,160 °,,3.6 kg,,578 mm,,,,1.0,Yes,,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 - 240 V, 50 - 60 Hz",,,,"4:3, 16:9 4:3, 16:9",,,,,,,,,,,,,,,,,,,,,
No,iiyama ProLite E2083HSD-B1 LED display - MrHighTech Shop,16:9,CCFL,No,No No,Yes Yes,Kensington Kensington,"TCO, CE, TUV-GS, VCCI-B, GOST-R",Black Black,,5000000:1,1000:1,203 mm,,LED,250 cd/m²,"495.3 mm (19.5 "")",49.53 cm,16.77 M,1600 x 900 pixels,,TN+Film,Unspecified,Yes,,HD-ready,360 mm,No,,30 - 80 kHz,50/60 Hz,100 - 240 V,,,,,2 2,Yes Yes,"CHI (SIMPL), CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL CHI (SIMPL), CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL",Yes Yes,,,,,,,,No,,0.271 x 0.27 mm,,,0.5 W,15 W,5 ms,4 W 4 W,Yes,. .,,1600 x 900,,No,,No,Yes,-5 - 20 °,No,,,55 - 75 Hz,100 x 100 mm,1.0,236.3 mm,433.9 mm,170 °,160 °,Yes,2.7 kg,,469.5 mm,,No,"Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64 Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64",1.0,Yes,,Yes,,,,,,,,,,No No,"Audio (3.5mm), DVI, VGA Audio (3.5mm), DVI, VGA",,30 - 80 kHz,55 - 75 Hz,,,,,,495 mm,,,Yes Yes,10 10,,,,,,,Yes,No,,,,,,,,,,,,Yes Yes,1 1,,,,,,,,,,,,,,,,,,,
,Lenovo ThinkVision LT2252P - MrHighTech Shop,,W-LED,,,,,,Black Black,,,1000:1,241.1 mm,,LED,250 cd/m²,"558.8 mm (22 "")",,16.77 M,1680 x 1650 pixels,,LCD,Unspecified,Yes,Gold,No,367.1 mm,Yes,,,,,,,,,,Yes Yes,,,,,0 - 40 °C,,,,,Yes,,0.282 x 0.282 mm,,,,20 W,,,,. .,10 - 80 °C,1680 x 1050 (WSXGA+),-45 - 45 °,Yes,,,Yes,0 - 30 °,,,,,,1.0,,,,160 °,,5.14 kg,,506 mm,,,,1.0,,,Yes,,,,,,,,,,,,,,,1.0,,,Yes Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
