<page title>,aspect ratio,backlight technology,brand,brightness,category,color depth,connectors,contrast ratio,depth,diagonal size,display type,dot pitch,dynamic contrast ratio,ean,energy star compliant,features,hdmi ports,height,lowest recommended price,panel technology,power consumption operational,power consumption stand by,product name,product rating,resolution,response time,speakers power,swivel,synchronization range horizontal,upc,user controls,user reviews,viewing angle,weight,width,3d compatibility,color temperature,mtbf,synchronization range vertical,cables included,tv tuner,color gamut,security lock slot,number of speakers,usb ports,stand,touchscreen
"Compare prices for ViewSonic VG2428Wm monitor, ViewSonic VG 2428Wm reviews - ShopMania",16:9,LED,ViewSonic,300,Monitors Monitors,16.7,DVI / VGA,1000:1,,24 inch (more than 74%),LCD,0 mm,100000:1 (more than 56%),"0766907468519, 0001686791503",Yes,,,,,TN,45 W,1 W,ViewSonic VG2428Wm ViewSonic VG2428Wm,0 out of 5 0 out of 5,1920x1080 (more than 61%),5 ms,,,82.0,"766907468519, 001686791503",,Write a review Write a review,170/160,,,,5000K / 6500K / 7500K / 9300K,,75.0,,,,,,,,
"Compare prices for ViewSonic VA2037A-LED monitor, ViewSonic VA 2037A LED reviews - ShopMania",,LED,ViewSonic,250,Monitors Monitors,,,,,,LED,0 mm,,0766907678031,Yes,,,,,,18 W (less than 95%),,ViewSonic VA2037A-LED ViewSonic VA2037A-LED,0 out of 5 0 out of 5,1600x900,,,,,766907678031,,Write a review Write a review,170/160,6.39 lb,,,,,,,,,,,,,
"Compare prices for Dell UP3214Q monitor, Dell UP 3214Q reviews - ShopMania",16:9,LED,Dell,350 (more than 85%),Monitors,16.7,DVI / DisplayPort / HDMI / Mini DisplayPort / USB / VGA,1000:1,"51,5",31.5 inch (more than 91%),LED,0 mm,2000000:1 (more than 60%),"5397063347933, 0884116126522",Yes,UltraSharp,1.0,"444,6","$1,899.99 - Microsoft Store Show all prices »",IPS,100 W,1.2 W,Dell UP3214Q,0 out of 5,3840x2160 (more than 99%),8 ms,,Yes,,884116126522,Contrast,Write a review,176/176,10.05 lb,"749,9",,,,,,Yes,,Yes,,5.0,Yes,
"Compare prices for Dell U2414H monitor, Dell U 2414H reviews - ShopMania",16:9,LED,Dell,250,Monitors,16.7,Audio / DVI / DisplayPort / HDMI / MHL / Mini DisplayPort / USB / VGA / 3.5mm Jack,1000:1,46 mm,23.8 inch (more than 73%),LED,0 mm,2000000:1 (more than 60%),5397063348053,Yes,HDCP / UltraSharp,2.0,32.10 cm,$289.99 - Dell Small Business Show all prices »,IPS,16 W (less than 98%),0.5 W (less than 78%),Dell U2414H,0 out of 5,1920x1080 (more than 61%),8 ms,,Yes,83.0,,Tilt,Write a review,178/178,7.94 lb,53.90 cm,,,,,Power Cable,Yes,,,,,Yes,
"Compare prices for BenQ GL2760H monitor, BenQ GL 2760H reviews - ShopMania",16:9,LED,BenQ,300,Monitors Monitors,16.7,DVI / HDMI / VGA / 3.5mm Jack,1000:1,132 mm,27 inch (more than 84%),LED,0 mm,12000000:1 (more than 81%),4718755051982,Yes,,1.0,71.50 cm,,TN,21 W (less than 89%),,BenQ GL2760H BenQ GL2760H,0 out of 5 0 out of 5,1920x1080 (more than 61%),,,Yes,,,Contrast,Write a review Write a review,170/160,11.90 lb,49 cm,,,,,,,72%,,,,,
"Compare prices for BenQ RL2460HT monitor, BenQ RL 2460HT reviews - ShopMania",16:9,LED,BenQ,250,Monitors,16.7,DVI / HDMI / VGA,1000:1,,24 inch (more than 74%),LED,0 mm,1000:1,,Yes,,,,$346.61 - Shoplet.com Show all prices »,,,,BenQ RL2460HT,0 out of 5,1920x1080 (more than 61%),1 ms (less than 99%),,,,,Contrast,Write a review,170/160,,,,,,,,,72%,,,,Yes,
"Compare prices for BenQ GL2460HM monitor, BenQ GL 2460HM reviews - ShopMania",16:9,LED,BenQ,250,Monitors Monitors,16.7,Audio / DVI / HDMI / VGA / 3.5mm Jack,1000:1,194 mm,24 inch (more than 74%),LED,0 mm,12000000:1 (more than 81%),"0840046028220, 4718755045295",Yes,Eco-Mode / HDCP,1.0,33.30 cm,,TN,23 W (less than 84%),0.3 W (less than 90%),BenQ GL2460HM BenQ GL2460HM,0 out of 5 0 out of 5,1920x1080 (more than 61%),2 ms (less than 89%),1 W,Yes,83.0,840046028220,Brightness / Contrast,Write a review Write a review,170/160,8.82 lb,43.40 cm,,,,,,Yes,72%,,2.0,,Yes,Yes
"Compare prices for BenQ RL2455HM monitor, BenQ RL 2455HM reviews - ShopMania",16:9,LED,BenQ,250,Monitors,16.7,Audio / DVI / HDMI / VGA / 3.5mm Jack,1000:1,189 mm,24 inch (more than 74%),LED,0 mm,12000000:1 (more than 81%),"4718755045813, 0840046028398",Yes,,2.0,35 cm,$219 - Shoplet.com Show all prices »,,27 W (less than 75%),0.5 W (less than 78%),BenQ RL2455HM,0 out of 5,1920x1080 (more than 61%),5 ms,2 W,Yes,,840046028398,Brightness / Contrast / Resize,Write a review,170/160,9.04 lb,57.90 cm,,,,,,,72%,,,,Yes,
"Compare prices for BenQ XL2720Z monitor, BenQ XL 2720Z reviews - ShopMania",16:9,LED,BenQ,300,Monitors,16.7,DVI / DisplayPort / HDMI / USB / VGA / 3.5mm Jack,1000:1,273 mm,27 inch (more than 84%),LED,0 mm,12000000:1 (more than 81%),4718755052767,Yes,,2.0,54.80 cm,$664.35 - Shoplet.com Show all prices »,TN,27 W (less than 75%),,BenQ XL2720Z,0 out of 5,1920x1080 (more than 61%),1 ms (less than 99%),,Yes,,,Brightness / Contrast,Write a review,170/160,16.53 lb,64.20 cm,Yes,,,,,Yes,72%,,,,Yes,
"Compare prices for BenQ XL2420Z monitor, BenQ XL 2420Z reviews - ShopMania",16:9,LED,BenQ,350 (more than 85%),Monitors,16.7,DVI / DisplayPort / HDMI / USB / VGA / 3.5mm Jack,1000:1,26.90 cm,24 inch (more than 74%),LED,0 mm,12000000:1 (more than 81%),"4718755051562, 0840046030254",Yes,,2.0,48.50 cm,$289.99 - Buydig.com Show all prices »,TN,24 W (less than 82%),0.5 W (less than 78%),BenQ XL2420Z,0 out of 5,1920x1080 (more than 61%),1 ms (less than 99%),,Yes,,840046030254,Brightness / Contrast / Sharpness,Write a review,170/160,13.45 lb,64.20 cm,Yes,,,144.0,,,72%,,,,Yes,
"Compare prices for Dell S2740L monitor, Dell S 2740L reviews - ShopMania",16:9,LED,Dell,270,Monitors,16.7,DVI / HDMI / USB / VGA,1000:1,216 mm,27 inch (more than 84%),LED,0 mm,8000000:1 (more than 74%),"5397063171354, 0884116091653",Yes,HDCP,1.0,38.03 cm,$279.99 - Dell Small Business Show all prices »,IPS,21 W (less than 89%),0.5 W (less than 78%),Dell S2740L,0 out of 5,1920x1080 (more than 61%),7 ms,,Yes,,884116091653,Contrast / Tilt,Write a review,178/178,11.02 lb,64.19 cm,,,,,USB,Yes,84%,Yes,,2.0,,
"Compare prices for Asus MX299Q monitor, Asus MX 299Q reviews - ShopMania",21:9,LED,Asus,300,Monitors,16.7,Audio / DVI / DisplayPort / HDMI / MHL / 3.5mm Jack,1000:1,215 mm,29 inch (more than 90%),LED,0 mm,80000000:1 (more than 97%),"0886227479627, 4716659472506",Yes,Asus Smart Contrast Ratio / HDCP / Skin-Tone Selection / Trace Free Technology,1.0,39.10 cm,$479 - ABT Show all prices »,AH-IPS,31 W (less than 66%),0.5 W (less than 78%),Asus MX299Q,0 out of 5,2560x1080 (more than 98%),5 ms,6 W,,83.0,886227479627,Brightness / Color Temperature / Contrast / Gamma Correction / Resize / Tilt,Write a review,178/178,12.13 lb,70 cm,,,,61.0,Audio Cable / DVI / MHL,Yes,,,,,,
"Compare prices for Asus VS208N monitor, Asus VS 208N reviews - ShopMania",16:9,LED,Asus,250,Monitors Monitors,16.7,DVI / HDMI / VGA,1000:1,,20 inch,LED,0 mm,50000000:1 (more than 94%),"0610839363766, 4719543367872",Yes,Asus Smart Contrast Ratio / Asus Splendid / HDCP / Skin-Tone Selection,,,,IPS,14 W (less than 99%),0.5 W (less than 78%),Asus VS208N Asus VS208N,0 out of 5 0 out of 5,1600x900,5 ms,,,80.0,610839363766,Brightness / Contrast / Tilt,Write a review Write a review,170/160,,,,,,75.0,,,,,,,,
"Compare prices for Asus VG248QE monitor, Asus VG 248QE reviews - ShopMania",16:9,LED,Asus,350 (more than 85%),Monitors Monitors,16.7,Audio / DVI / DisplayPort / HDMI / VGA / 3.5mm Jack,1000:1,57 mm,24 inch (more than 74%),LCD,0 mm,80000000:1 (more than 97%),"0886227350940, 4716659325178, 0115970724358",Yes,Asus Smart Contrast Ratio / HDCP / Skin-Tone Selection / Trace Free Technology,1.0,34 cm,,TN,45 W,0.5 W (less than 78%),Asus VG248QE Asus VG248QE,0 out of 5 0 out of 5,1920x1080 (more than 61%),1 ms (less than 99%),2 W,Yes,140.0,"886227350940, 115970724358",Brightness / Color Temperature / Contrast / Resize / Tilt,Write a review Write a review,170/160,11.02 lb,56.90 cm,Yes,,,144.0,Audio Cable,Yes,,,,,Yes,
"Compare prices for ViewSonic VG2732m-LED monitor, ViewSonic VG 2732m LED reviews - ShopMania",16:9,LED,ViewSonic,300,Monitors Monitors,16.7,DVI / DisplayPort / VGA,1200:1 (more than 78%),241 mm,27 inch (more than 84%),LED,0 mm,20000000:1 (more than 85%),0766907555714,Yes,,,43.40 cm,,TN,55 W,,ViewSonic VG2732m-LED ViewSonic VG2732m-LED,0 out of 5 0 out of 5,1920x1080 (more than 61%),3 ms (less than 88%),2 W,Yes,82.0,766907555714,Sharpness,Write a review Write a review,170/160,14.55 lb,64.20 cm,,5000K / 6500K / 7500K / 9300K,,75.0,DVI,,,,2.0,,,
"Compare prices for BenQ BL2400PU monitor, BenQ BL 2400PU reviews - ShopMania",16:9,LED,BenQ,250,Monitors Monitors,,DVI / VGA,3000:1 (more than 88%),,24 inch (more than 74%),LCD,0 mm,,0840046022112,Yes,HDCP,,,,,42 W,0.2 W (less than 97%),BenQ BL2400PU BenQ BL2400PU,0 out of 5 0 out of 5,1920x1080 (more than 61%),8 ms,,,,840046022112,Brightness / Contrast / Tilt,Write a review Write a review,178/178,,,,,,,,,,,,,,
"Compare prices for Dell P2815Q monitor, Dell P 2815Q reviews - ShopMania",16:9,LED,Dell,300,Monitors,,DVI / DisplayPort / HDMI / MHL / Mini DisplayPort / USB,1000:1,204.1 mm,28 inch (more than 90%),LED,0 mm,,"0884116142515, 5397063348169",Yes,,1.0,"381,7",$411.99 - Dell Small Business Show all prices »,,75 W,0.5 W (less than 78%),Dell P2815Q,0 out of 5,3840x2160 (more than 99%),5 ms,,Yes,114.0,884116142515,Brightness / Contrast / Sharpness / Tilt,Write a review,170/160,11.44 lb,"661,3",,,,,,Yes,,Yes,,4.0,Yes,
"Compare prices for ViewSonic VG2239M-LED monitor, ViewSonic VG 2239M LED reviews - ShopMania",,W-LED,ViewSonic,250,Monitors Monitors,,DVI / DisplayPort / VGA,1000:1,239.6 mm,22 inch (more than 50%),LED,,20000000:1 (more than 85%),0766907640717,Yes,,,41.80 cm,,,22 W (less than 86%),,ViewSonic VG2239M-LED ViewSonic VG2239M-LED,0 out of 5 0 out of 5,1920x1080 (more than 61%),,2 W,Yes,82.0,766907640717,Sharpness,Write a review Write a review,,10.36 lb,51.24 cm,,5000K / 6500K / 7500K / 9300K,,,USB,Yes,,,,,,
"Compare prices for Asus VS198D monitor, Asus VS 198D reviews - ShopMania",16:10,LED,Asus,250,Monitors Monitors,16.7,VGA,1000:1,,19 inch,LED,0 mm,50000000:1 (more than 94%),"0610839379088, 4719543380819",Yes,Asus Smart Contrast Ratio / Asus Splendid / HD Ready / Skin-Tone Selection,,,,,25 W (less than 78%),0.5 W (less than 78%),Asus VS198D Asus VS198D,0 out of 5 0 out of 5,1440x900,5 ms,,,83.0,610839379088,Brightness / Contrast / Tilt,Write a review Write a review,170/160,5.95 lb,,,,,75.0,,,,,,,,
"Compare prices for ViewSonic VG2439m-LED monitor, ViewSonic VG 2439m LED reviews - ShopMania",,LED,ViewSonic,300,Monitors Monitors,,DVI / VGA,1000:1,,24 inch (more than 74%),LED,,20000000:1 (more than 85%),0766907642117,Yes,,,,,IPS,24 W (less than 82%),,ViewSonic VG2439m-LED ViewSonic VG2439m-LED,0 out of 5 0 out of 5,1920x1080 (more than 61%),5 ms,3 W,Yes,82.0,766907642117,,Write a review Write a review,,11.46 lb,,,,,,,Yes,,,,,,
"Compare prices for BenQ BL2710PT monitor, BenQ BL 2710PT reviews - ShopMania",16:9,LED,BenQ,350 (more than 85%),Monitors Monitors,16.7,DVI / DisplayPort / HDMI / USB / VGA,1000:1,259 mm,27 inch (more than 84%),,0 mm,20000000:1 (more than 85%),4718755045929,,,1.0,52.50 cm,,IPS,42 W,,BenQ BL2710PT BenQ BL2710PT,0 out of 5 0 out of 5,2560x1440 (more than 99%),4 ms (less than 87%),6 W,Yes,,,Brightness / Contrast,Write a review Write a review,178/178,18.08 lb,63.90 cm,,,,,,,100%,,,,,
"Compare prices for Asus VE278H monitor, Asus VE 278H reviews - ShopMania",16:9,LED,Asus,300,Monitors Monitors,,Audio / HDMI / VGA / 3.5mm Jack,1200:1 (more than 78%),220 mm,27 inch (more than 84%),LCD,0 mm,50000000:1 (more than 94%),"0886227253838, 4716659160137, 0886227160136",Yes,Asus Smart Contrast Ratio,2.0,"385,6",,,45 W,0.5 W (less than 78%),Asus VE278H Asus VE278H,0 out of 5 0 out of 5,1920x1080 (more than 61%),2 ms (less than 89%),6 W,,83.0,"886227253838, 886227160136",Contrast,Write a review Write a review,170/160,13.23 lb,64.30 cm,,,,,Audio Cable,,,,,,,
"Compare prices for Dell UZ2715H monitor, Dell UZ 2715H reviews - ShopMania",16:9,LED,Dell,300,Monitors Monitors,16.7,DisplayPort / HDMI / MHL / USB / VGA,1000:1,,27 inch (more than 84%),,0 mm,,,Yes,UltraSharp,2.0,,,IPS,,,Dell UZ2715H Dell UZ2715H,0 out of 5 0 out of 5,1920x1080 (more than 61%),8 ms,10 W,,,,Contrast / Tilt,Write a review Write a review,178/178,,,,,,,,,,Yes,,,,
"Compare prices for Asus VW199TP monitor, Asus VW 199TP reviews - ShopMania",16:10,LED,Asus,,Monitors Monitors,16.7,DVI / VGA,,,19 inch,LED,0 mm,10000000:1 (more than 76%),0610839350759,Yes,Asus Smart Contrast Ratio / Asus Splendid / HDCP / Skin-Tone Selection,,,,,27 W (less than 75%),0.1 W (less than 98%),Asus VW199TP Asus VW199TP,0 out of 5 0 out of 5,1440x900,5 ms,1 W,,80.0,610839350759,Brightness / Contrast / Tilt,Write a review Write a review,170/160,,,,,,75.0,,,,,2.0,,,
"Compare prices for Asus VK278Q monitor, Asus VK 278Q reviews - ShopMania",16:9,LED,Asus,300,Monitors,16.7,Audio / DVI / DisplayPort / HDMI / USB / VGA / 3.5mm Jack,1000:1,220 mm,27 inch (more than 84%),LED,0 mm,10000000:1 (more than 76%),"0610839327058, 4719543327005, 0610839327003",Yes,Asus Smart Contrast Ratio / Asus Splendid / HD Ready / HDCP / Picture in picture / Skin-Tone Selection / Trace Free Technology,1.0,46 cm,$343.81 - Alluremart.com Show all prices »,TN,45 W,2 W,Asus VK278Q,0 out of 5,1920x1080 (more than 61%),2 ms (less than 89%),3 W,,92.0,"610839327058, 610839327003",Brightness / Color Temperature / Contrast / Tilt,Write a review,170/160,13.23 lb,64.30 cm,,,,85.0,Audio Cable / USB / VGA,Yes,,,2.0,,,
"Compare prices for Asus MB168B monitor, Asus MB 168B reviews - ShopMania",,LED,Asus,200,Monitors Monitors,,USB,,8 mm,15.6 inch,LCD,0 mm,,4716659483632,Yes,,,23.60 cm,,,,,Asus MB168B Asus MB168B,0 out of 5 0 out of 5,1920x1080 (more than 61%),11 ms,,,,,Brightness / Contrast,Write a review Write a review,,,37.90 cm,,,,,,,,,,,Yes,
"Compare prices for ViewSonic VX2770Smh-LED monitor, ViewSonic VX 2770Smh LED reviews - ShopMania",,LED,ViewSonic,250,Monitors Monitors,,,,,27 inch (more than 84%),,,,0766907659719,Yes,,,,,IPS,,,ViewSonic VX2770Smh-LED ViewSonic VX2770Smh-LED,0 out of 5 0 out of 5,1920x1080 (more than 61%),7 ms,,,,766907659719,,Write a review Write a review,,,,,,,,,,,,,,,
"Compare prices for Asus MX279H monitor, Asus MX 279H reviews - ShopMania",16:9,LED,Asus,250,Monitors,16.7,Audio / DVI / HDMI / VGA / 3.5mm Jack,1000:1,225 mm,27 inch (more than 84%),LED,0 mm,80000000:1 (more than 97%),"0151903522752, 4716659265795, 0886227265824, 0886227265794",Yes,Asus Smart Contrast Ratio / HDCP / Skin-Tone Selection / Trace Free Technology,1.0,44.10 cm,$299 - ABT Show all prices »,AH-IPS,37 W (less than 52%),0.5 W (less than 78%),Asus MX279H,0 out of 5,1920x1080 (more than 61%),5 ms,3 W,,80.0,"151903522752, 886227265824, 886227265794",Brightness / Color Temperature / Contrast / Resize / Tilt,Write a review,178/178,11.02 lb,62.30 cm,,,,,Audio Cable / DVI / VGA,Yes,,,,,,
"Compare prices for ViewSonic VX2270Smh-LED monitor, ViewSonic VX 2270Smh LED reviews - ShopMania",16:9,LED,ViewSonic,250,Monitors Monitors,,DVI / HDMI / VGA,,,21.5 inch,LED,0 mm,30000000:1 (more than 94%),0766907679212,Yes,,1.0,,,IPS,26 W (less than 76%),,ViewSonic VX2270Smh-LED ViewSonic VX2270Smh-LED,0 out of 5 0 out of 5,1920x1080 (more than 61%),7 ms,,,,766907679212,Resize,Write a review Write a review,178/178,7.94 lb,,,,,,,,,,,,,
"Compare prices for Asus PB238Q monitor, Asus PB 238Q reviews - ShopMania",16:9,LED,Asus,250,Monitors,,DisplayPort / HDMI,1000:1,5.80 cm,"23"" (more than 66%)",LED,0.265,80000000:1 (more than 98%),"4716659192497, 0886227211982",Yes,,1.0,32.40 cm,$211.99 - Sears.com Show all prices »,,50 W,0.5 W (less than 78%),Asus PB238Q,0 out of 5,1920x1080 (more than 64%),6 ms,2 W,,,886227211982,,Write a review,178/178,11.02 lb,54.90 cm,,,,,,,,,,5.0,,
"Compare prices for BenQ GW2765HT monitor, BenQ GW 2765HT reviews - ShopMania",,,,,Monitors,,,,,,,,,,,,,,,,,,BenQ GW2765HT,0 out of 5,,,,,,,,Write a review,,,,,,,,,,,,,,,
"Compare prices for Asus VS197D monitor, Asus VS 197D reviews - ShopMania",16:9,LED,Asus,250,Monitors Monitors,16.7,VGA,1000:1,185 mm,19 inch,LED,0 mm,50000000:1 (more than 94%),"5711045505058, 4719543380901, 0610839379095, 0886227339709, 4716659339700",Yes,Asus Smart Contrast Ratio / Asus Splendid / HDCP / Skin-Tone Selection / Trace Free Technology,,34.60 cm,,TN,25 W (less than 78%),0.5 W (less than 78%),Asus VS197D Asus VS197D,0 out of 5 0 out of 5,1366x768,5 ms,,,80.0,"610839379095, 886227339709",Brightness / Color Temperature / Contrast / Tilt,Write a review Write a review,170/160,4.41 lb,44.70 cm,,,,75.0,VGA,Yes,,Yes,,,Yes,
"Compare prices for Asus VB198T monitor, Asus VB 198T reviews - ShopMania",4:3,LED,Asus,250,Monitors Monitors,16.7,DVI / VGA,,,19 inch,LED,0 mm,50000000:1 (more than 94%),4716659003021,Yes,Asus Smart Contrast Ratio / Asus Splendid / HDCP / Skin-Tone Selection,,,,TN,27 W (less than 75%),0.3 W (less than 90%),Asus VB198T Asus VB198T,0 out of 5 0 out of 5,1280x1024,5 ms,1 W,Yes,80.0,,Brightness / Contrast / Tilt,Write a review Write a review,170/160,7.05 lb,,,,,76.0,,,,,2.0,,,
"Compare prices for Asus VE198T monitor, Asus VE 198T reviews - ShopMania",16:10,LED,Asus,250,Monitors Monitors,16.7,DVI / HDMI / VGA,,,19 inch,LED,0 mm,10000000:1 (more than 76%),4719543329146,Yes,Asus Smart Contrast Ratio / Asus Splendid / HDCP / Skin-Tone Selection,,,,TN,25 W (less than 78%),1 W,Asus VE198T Asus VE198T,0 out of 5 0 out of 5,1440x900,5 ms,1 W,,80.0,,Brightness / Contrast / Tilt,Write a review Write a review,170/160,,,,,,75.0,,,,,2.0,,,
"Compare prices for Asus VE247H monitor, Asus VE 247H reviews - ShopMania",16:9,LED,Asus,300,Monitors Monitors,16.7,DVI / HDMI / VGA,,201 mm,"24"" (more than 76%)",LED,0.272,10000000:1 (more than 78%),"4719543331521, 0610839331574",Yes,Asus Smart Contrast Ratio / Asus Splendid / HD Ready / HDCP / Skin-Tone Selection / Trace Free Technology,1.0,41 cm,,TN,35 W (less than 57%),1 W,Asus VE247H Asus VE247H,0 out of 5 0 out of 5,1920x1080 (more than 64%),2 ms (less than 89%),2 W,,83.0,610839331574,Brightness / Contrast / Tilt,Write a review Write a review,170/160,8.82 lb,56.90 cm,,,,76.0,Audio Cable,,,,2.0,,,
"Compare prices for Asus VS247H monitor, Asus VS 247H reviews - ShopMania",16:9,LED,Asus,250,Monitors,16.7,DVI / HDMI / VGA / 3.5mm Jack,1000:1,200 cm,24 inch (more than 74%),LED,0 mm,50000000:1 (more than 94%),"0610839380862, 4719543366257, 0320127534142, 4716659370420",Yes,Asus Smart Contrast Ratio / Asus Splendid / HD Ready / HDCP / Skin-Tone Selection,1.0,0 cm,$168 - ABT Show all prices »,TN,27 W (less than 75%),0.5 W (less than 78%),Asus VS247H,0 out of 5,1920x1080 (more than 61%),2 ms (less than 89%),,Yes,80.0,"610839380862, 320127534142",Brightness / Color Temperature / Contrast / Tilt,Write a review,170/160,9.70 lb,561.80 cm,,,,75.0,DVI / VGA,,,,,,,
