<page title>,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour,contrast ratio,depth,depth with stand,displayport,dvi,full product specifications,green compliance certificateauthority,green compliant,height,height with stand,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,operating power consumption,package contents,product line,product model,product name,product type,response time,screen mode,screen size,usb,vga,weight approximate,width,width with stand,adjustable display angle,features,hdmi,horizontal viewing angle,mount type,number of speakers,platform supported,product series,speakers,vertical viewing angle,vesa mount compatible,weight with stand approximate,adjustable display height,adjustable display pivot,colour support,hdcp supported,headphone,input voltage,maximum adjustable height,offmode power consumption,panel technology,standard refresh rate,standby power consumption,swivel angle,tilt angle,vesa mount standard,screen surface,certifications standards,component video,composite video,webcam,firewireilink,network rj45,thunderbolt,svideo,energy consumption per year,energy efficiency class,usb standard,recycled,recycled content,horizontal frequency,system requirements,sdi,sdi standard,display orientation,3d type,additional information,postconsumerwaste,packaged quantity,product code,3d technology,country of origin,package type
"UM.FB6EE.002, 3051254, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,250 cd/m²,,White,"100,000,000:1",52 mm,221.20 mm,,Yes,,TCO Certified Displays 6.0 EPEAT Gold,Yes,335.9 mm,535.50 mm,3 Year,"Acer, Inc",UM.FB6EE.002,1920 x 1080,1,20.90 W,B246HL Widescreen LCD MonitorPower Cord1 x VGA Cable1 x DVI Cable,,B246HL,B246HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",,Yes,3.44 kg,567 mm,567 mm,Yes,,,170°,,,,B,Yes,160°,Yes,6.09 kg,Yes,Yes,16.7 Million Colours,Yes,,220 V AC 110 V AC,150 mm,350 mW,Twisted Nematic Film (TN Film),60 Hz,450 mW,60°,-5°to35°,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"E2752VQ, 2421239, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,300 cd/m²,USB Hub,Black,"2,000,000:1",,,Yes,Yes,,J-Moss (Japanese RoHS) ENERGY STAR,Yes,,,3 Year,AOC,E2752VQ,1920 x 1080,1,50 W,,,e2752Vq,27 - Inch LED Monitor,LCD Monitor,2 ms,Full HD,"68.6 cm (27"")",Yes,Yes,,,,,Off Timer Ultra Slim,Yes,170°,Wall Mountable,2.0,,52,Yes,160°,Yes,,,,16.7 Million Colours,Yes,,220 V AC 110 V AC,,1 W,,60 Hz,,,,100 x 100,,cCSAUsFCCCECCCTUV-BauratTUV-GSGOSTBSMIVCCIKCE-standby,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"60003329, NECX552S, NEC Display Solutions, LCD Monitor, JR Linton",16:9,Edge LED,NEC Display,700 cd/m²,Speaker,Black,"4,000:1",46.1 mm,,Yes,Yes,,RoHS ENERGY STAR 5.2,Yes,725.3 mm,,3 Year,NEC Display Solutions,60003329,1920 x 1080,1,305 W,"LCD 55"" Public DisplayDVI-D CablePower CableSlot Cover for STv2Remote Control",MultiSync,X552S,"LCD 55"" Public Display",LCD Monitor,8 ms,Full HD,"139.7 cm (55"")",,Yes,24.50 kg,1254.5 mm,,,Picture in Picture Screen Saver TileMatrix (10x10) HeatControl Sensor Digital Daisy Chain Ambient Light Sensor Eco Mode,Yes,178°,Wall Mountable,2.0,PC,,Yes,178°,Yes,,,,,Yes,,,,,Super Patterned Vertical Alignment (S-PVA) Technology,60 Hz,1 W,,,300 x 300,,CETUV GSC-tickFCC Class BUL/C-ULCSAPSBVCCI,,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,,
"C3Z94AA#ABU, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,,Iridium Silver Jack Black,"1,000:1",171 mm,,,Yes,,ErP ENERGY STAR 5.2 CECP,Yes,404 mm,,1 Year,Hewlett-Packard,C3Z94AA#ABU,1920 x 1080,1,30 W,"Pavilion 23xi 58.4 cm (23"") Diagonal IPS LED Backlit MonitorA/C Power CablePower AdapterVGA CableDVI-D CableDocumentation CDSetup PosterCable Management ClipHDMI Cable",Pavilion,23xi,"Pavilion 23xi 58.4 cm (23"") Diagonal IPS LED Backlit Monitor",LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",,Yes,3.50 kg,535 mm,,Yes,Security Lock,Yes,178°,,,,,,178°,,,,,,Yes,,,,,In-plane Switching (IPS) Technology,60 Hz,500 mW,,,,Anti-glare,CBCEFCC markingCSA/C-UL/C-ETL MarkUL/CSA-NTRL/ETL-NRTL MarkICESCCCBauartISO9241-307GOST 25861HRN N N0.201GOST R50377-1992GOST 25861EEI certificateIS 1121SASOSABS IEC 60950-1NOM-019-SCFI-1998KC MarkKCC MarkPSB markISC markC-Tick,,,,,,,,,,,Yes,Plastic,,,,,,,,,,,,,
"236V4LSB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Glossy Black,"1,000:1",48 mm,219 mm,,Yes,,RoHS WEEE EPEAT Silver TCO Certified Displays ENERGY STAR 5.0,Yes,339 mm,417 mm,,Philips Electronics,236V4LSB/00,1920 x 1080,1,24.82 W,,,236V4LSB,236V4LSB Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,2.82 kg,549 mm,549 mm,Yes,Security Lock,,170°,,,Mac PC,V,,160°,Yes,3.06 kg,,,16.7 Million Colours,Yes,,110 V AC 220 V AC,,500 mW,,60 Hz,500 mW,,,100 x 100,,BSMICE MarkingCEFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL / cUL,,,,,,,,,,,,,,,,,,,,,,,,,
"VX2209, B921663, ViewSonic, LCD Monitor, JR Linton",16:9,LED,Viewsonic,250 cd/m²,,,"20,000,000:1",33.6 mm,215 mm,,Yes,,WEEE RoHS,Yes,297.8 mm,355.80 mm,2 Year,Viewsonic Corporation,VX2209,1920 x 1080,1,24 W,"VX2209 22"" Full HD LED Display Power Adaptor VGA Cable User Manual",,VX2209,"VX2209 22"" Full HD LED Display",LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",,Yes,2.46 kg,501.1 mm,501.10 mm,Yes,Eco Mode,,170°,,,Mac PC,VX,,160°,Yes,3.07 kg,,,16.7 Million Colours,,,230 V AC 120 V AC,,,,75 Hz,,,-3°to20°,75 x 75,Anti-glare,CE CU EAC,,,,,,,,,,,,,,,,,,,,,,,,,
"24M35H-B, 3003550, LG Electronics, LCD Monitor, JR Linton",16:9,LED,LG,200 cd/m²,,Black,"5,000,000:1",98 mm,215 mm,,,,TÜV ENERGY STAR 6.0,Yes,314 mm,438 mm,,LG Electronics,24M35H-B,1920 x 1080,1,19 W,,,24M35H-B,24M35H-B Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,Yes,2.70 kg,556 mm,556 mm,Yes,Super Energy Saving Security Lock Intelligent Auto Flicker-free Dual Web Reading Mode Dual Monitor Support Cable Management,Yes,,,,PC,,,,Yes,3 kg,,,,Yes,,,,300 mW,Twisted Nematic Film (TN Film),75 Hz,300 mW,,3°to20°,100 x 100,Anti-glare,UL (cUL) FCC-B CE,,,,,,,,,,,,,,,,,,,,,,,,,
"VX238H, 2598781, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:9,LED,Asus,250 cd/m²,Speaker,Black,"80,000,000:1",,210 mm,,Yes,,,,,402.70 mm,,ASUS Computer International,VX238H,1920 x 1080,1,,,,VX238H,VX238H Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"58.4 cm (23"")",,Yes,2.60 kg,,548.20 mm,Yes,Ultra Slim Trace Free Technology Security Lock QuickFit Splendid Video Intelligence Technology,Yes,170°,,2.0,Mac PC,,Yes,160°,,,,,16.7 Million Colours,Yes,,,,,,,,,-5°to20°,,,,,,,,,,,,,,,,80 kHz,,,,,,,,,,,,
"T45HNUK, S602QX2, Lenovo, LCD Monitor, JR Linton",16:10,,Lenovo,250 cd/m²,,Business Black,"1,000:1",50.5 mm,,,Yes,,MPR II ULE Gold RoHS TCO Certified Displays 6.0 TCO Certified Edge Displays 1.1 China Energy Label (CEL) ENERGY STAR 6.0 EPEAT Gold,Yes,354.1 mm,,,Lenovo Group Limited,T45HNUK,1440 x 900,1,20 W,,ThinkVision,LT1953,ThinkVision LT1953 19.0-Inch Wide LCD Monitor,LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",,Yes,3 kg,443.2 mm,,Yes,Security Lock,,170°,,,PC,,,160°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,500 mW,,75 Hz,500 mW,,,100 x 100,,TUVISO 9241-307Safety:ULIEC950 CB ReportNEMKOTUV-GSCCCBSMINOMICCPGostSISIRTUV-S/UL-Ar/IRAM-SISCAAA-SJEITASABS-LoAKCE-StandbyEMI:FCC BICCEVCCIBSMICCCSABS-CoCAAA-RSO,,,,,,,,,,,,,,,,,,,,,,,,,
"EV2416WFS3-BK, EIZOEV2416WFSBK, Eizo Nanao, LCD Monitor, JR Linton",16:10,LED,Eizo,250 cd/m²,Speaker USB Hub,Black,"1,000:1",,,Yes,Yes,,TÜV ENERGY STAR TCO Certified Displays 6.0,Yes,324 mm,,5 Year,Eizo Nanao Tech,EV2416WFS3-BK,1920 x 1200,1,49 W,,,EV2416WFS3,EV2416WFS3 Widescreen LCD Monitor,LCD Monitor,5 ms,WUXGA,"61 cm (24"")",Yes,Yes,6.10 kg,518 mm,,Yes,EcoView Optimizer Auto EcoView EcoView Sense EcoView Index,,170°,,,,EV,Yes,160°,Yes,,Yes,Yes,16.7 Million Colours,Yes,Yes,,130 mm,0 mW,Twisted Nematic Film (TN Film),61 Hz,300 mW,172°,-5°to35°,100 x 100,,CE TÜV GS ISO 9241-307 Class 1,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"S1921XSH-GY, EIZOS1921XSHGY, Eizo Nanao, LCD Monitor, JR Linton",5:4,,Eizo,250 cd/m²,Speaker,Light Grey,"1,000:1",61 mm,205 mm,,Yes,,TCO Displays 5.0,Yes,334 mm,506 mm,5 Year,Eizo Nanao Tech,S1921XSH-GY,1280 x 1024,1,40 W,FlexScan S1921XSH LCD MonitorManualNetwork CableAudio CableSignal Cable (D-Sub D-Sub and DVI-D DVI-D)ICC Color Profile,,S1921XSH,FlexScan S1921XSH LCD Monitor,LCD Monitor,20 ms,SXGA,"48.3 cm (19"")",,Yes,4.90 kg,405 mm,405 mm,Yes,,,178°,,,,,Yes,178°,Yes,7.20 kg,,,16.7 Million Colours,,,,,990 mW,,75 Hz,,,,100 x 100,,CETÜV GSTÜV Ergonomics ApprovedISO 13406-2,,,,,,,,,,,,,,,,,,,,,,,,,
"60002794, 3967199, NEC Display Solutions, LCD Monitor, JR Linton",4:3,,NEC Display,250 cd/m²,Speaker,Silver White,"1,000:1",230 mm,,,Yes,,MPR III MPR II ENERGY STAR 5.0 ErP TCO Displays 5.0 EPEAT Gold,Yes,358.5 mm,,3 Year,NEC Display Solutions,60002794,1280 x 1024,1,19 W,MultiSync LCD175M LCD Monitor Power cable Audio cable CD-ROM List of commercial agencies User Manual VGA-VGA Cable,MultiSync,LCD175M,MultiSync LCD175M LCD Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",,Yes,5.20 kg,368 mm,,Yes,Cable Management Security Lock,,160°,,2.0,PC,,Yes,160°,Yes,,Yes,,16.7 Million Colours,,Yes,110 V AC 220 V AC,,,,60 Hz,,,,100 x 100,,CE TÜV Ergonomics TÜV GS FCC Class B PCT / Gost UL / C-UL CSA ISO 9241-307 ISO 13406-2,,,,,,,,,,,,,,,,,,,,,,,,,
"27EA83-D.AEK, 4065780, LG Electronics, LCD Monitor, JR Linton",16:9,,LG,350 cd/m²,USB Hub,,"5,000,000:1",38 mm,459 mm,Yes,Yes,,TCO Certified Displays 5.1 TCO Certified Displays 6.0 ENERGY STAR 5.0,Yes,381 mm,459 mm,2 Year,LG Electronics,27EA83-D.AEK,2560 x 1440,1,65 W,27EA83-D Widescreen LCD Monitor Power Cord DVI-D Cable DisplayPort Cable,,27EA83-D,27EA83-D Widescreen LCD Monitor,LCD Monitor,6 ms,WQHD,"68.6 cm (27"")",Yes,,5.50 kg,643 mm,643 mm,Yes,Dual Link-up Picture in Picture Picture by Picture Split Screen,Yes,178°,,2.0,PC,EA83,,178°,Yes,7.30 kg,Yes,Yes,1.07 Billion Colors,Yes,Yes,110 V AC 220 V AC,110 mm,500 mW,In-plane Switching (IPS) Technology,75 Hz,,,-5°to15°,100 x 100,Anti-glare,UL(cUL) FCC-B CE,,,,,,,,,,,,,,,,,,,,,,,,,
"VG2239M-LED, B921309, ViewSonic, LCD Monitor, JR Linton",,LED,Viewsonic,,Speaker,,,,,Yes,Yes,,,,,,,Viewsonic Corporation,VG2239m-LED,1920 x 1080,1,,,,VG2239m-LED,VG2239m-LED Widescreen LCD Monitor,LCD Monitor,,Full HD,"55.9 cm (22"")",,Yes,,,,Yes,,,,,,,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VN289Q, 3023740, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:9,LED,Asus,300 cd/m²,Speaker,Black,"80,000,000:1",63.7 mm,210 mm,Yes,Yes,,,,380.7 mm,450.70 mm,,ASUS Computer International,VN289Q,1920 x 1080,1,35 W,,,VN289Q,VN289Q Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"71.1 cm (28"")",,Yes,5.20 kg,660.2 mm,660.20 mm,Yes,Eye-Care Mobile High-Definition Link (MHL) Game Mode Security Lock Picture in Picture Picture by Picture Flicker-free Trace Free Technology QuickFit Reading Mode VividPixel Technology Splendid Video Intelligence Technology,Yes,178°,Wall Mountable,2.0,PC,VN,Yes,178°,Yes,,,,16.7 Million Colours,Yes,Yes,,,500 mW,Vertical Alignment (VA),,500 mW,,-5°to20°,100 x 100,,,,,,,,,,,,,,,80 kHz,,,,,,,,,,,,
"223V5LHSB/00, PHI-223V5LHSB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Black,"1,000:1",50 mm,213 mm,,No,,TCO Certified Displays WEEE RoHS EPEAT Silver ENERGY STAR 6.0,Yes,316 mm,376 mm,,Philips Electronics,223V5LHSB/00,1920 x 1080,1,15.85 W,,V-line,223V5LHSB,LCD Monitor with SmartControl Lite,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,2.35 kg,503 mm,503 mm,Yes,Security Lock Sync on Green SmartContrast SmartControl,Yes,170°,Wall Mountable,,Mac PC,,No,160°,Yes,2.61 kg,No,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,,500 mW,,60 Hz,500 mW,,,100 x 100,,BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 cETLus,,,No,,No,,,,,,,,,"Operating Systems:
Windows 7 Home Basic Windows 7 Home Basic x64 Windows 7 Home Premium Windows 7 Home Premium x64 Windows 7 Professional Windows 7 Professional x64 Windows 7 Starter Windows 7 Starter x64 Windows 7 Ultimate Windows 7 Ultimate x64 Windows 8 Windows 8 Enterprise Windows 8 Enterprise x64 Windows 8 Pro Windows 8 Pro x64 Windows 8 x64",,,,,,,,,,,
"UM.WG6EE.H05, ACEG226HQLHBID, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,250 cd/m²,,Black,"100,000,000:1",36 mm,168 mm,,Yes,,MPR II,Yes,311 mm,365 mm,2 Year,"Acer, Inc",UM.WG6EE.H05,1920 x 1080,1,20.50 W,G226HQL Widescreen LCD Monitor1 x VGA CablePower Cord,,G226HQL,G226HQL Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",,Yes,2.60 kg,511 mm,511 mm,Yes,,Yes,178°,,,,G,,178°,No,2.90 kg,No,No,16.7 Million Colours,,,220 V AC 110 V AC,No,300 mW,Vertical Alignment (VA),60 Hz,340 mW,No,-5°to15°,,Anti-glare,,,,,,,,,32 kWh,B,,,,,,,,,,,,,,,,
"196V3LSB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Black,"1,000:1",44 mm,204 mm,,Yes,,ENERGY STAR EPEAT Silver RoHS WEEE,Yes,284 mm,358 mm,2 Year,Philips Electronics,196V3LSB/00,1366 x 768,1,14.15 W,,,196V3LSB,196V3LSB Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,Yes,2.09 kg,463 mm,463 mm,Yes,,,170°,,,Mac PC,V,,160°,,2.39 kg,,,16.7 Million Colours,Yes,,220 V AC 110 V AC,,500 mW,,60 Hz,500 mW,,,,,BSMICE MarkFCC Class BGOSTPSBSASOSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,,,,,,,,,,,,,,,,
