1920 x 1200 graphic mode,<page title>,aspect ratio,backlight,barcode,brightness,case colour,certifications,contrast ratio,digital in,dimensions,displayport in,environmental,hd support,hdmi ports,headphone ports,height adjustable,in the box,pixel pitch,plug and play,power consumption,power supply,resolution native,response time,scan frequency,screen dimensions,screen type,security locking mechanics,speakers,swivel,tilt forwardbackward,usb ports,user controls,vga in,view angle,voltagefrequency,wall mount,warranty,antiglare antistatic,audio features,audio line in ports,audio line out ports,digital out,language selection,model name,pixel clock speed,product type,resolution maximum,rj45 ports,scan frequency horizontal,scan frequency vertical,serial ports,synch input,display type,1920 x 1080 graphic mode,monitor,power adaptor type,remote control,svideo in,video component in,video composite in,power management features,product family,video component out,video composite out,description,audio capabilities,network interface,pivot,scart ports,backlight technology,brand name,builtin devices,colour,dvi,hdmi,horizontal viewing angle,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,maximum response time,number of screens,product model,product name,screen mode,screen size,vertical viewing angle,vga,audiovisual port,lifetime,system requirements,webcam,ac power,bnc port,1024 x 768 graphic mode,1280 x 768 graphic mode,640 x 350 graphic mode,640 x 480 graphic mode,720 x 400 text graphic mode,800 x 600 graphic mode,factory presets,user programmable modes,video bandwidth,operating systems supported,power adaptor output voltage,1680 x 1050 graphic mode,dc power,microphone in port,adjustable display angle,colour support,depth,green compliance,green compliance certificateauthority,hdcp support,height,input voltage,marketing information,operating power consumption,package contents,platform support,standby power consumption,vesa mount compatible,vesa mount standard,weight approximate,width,mount type,offmode power consumption,product series,svideo,1440 x 900 graphic mode,1280 x 1024 graphic mode,1400 x 900 graphic mode,1152 x 864 mac graphic mode
,Cleverboxes - UM.CV6EE.005 | Acer V6 Series V196WLbmd (19 inch) LED Monitor 100M:1 250cd/m2 5ms DVI/VGA,,LED,4712196624651,250cd/m2,Black,"TCO 6.0, Windows 8 Compliant","100,000,000:1 (Dynamic)",1 x DVI,,,,,,,,,,,,,1440 x 900 Pixels,5ms,,19in,Widescreen TN (Twisted Nematic) + Film,,Yes,,,,,1 x 15-pin D-sub,,,"Yes , Supported - 100mm x 100mm",3 Years Bring-In,,,,,,,V196WLbmd,,Display,,,,,,,,,,,,,,,,V6 Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cleverboxes - AG Neovo SX-17P 43 cm (17"") LCD Monitor - 3 ms - 1280 x 1024 - 16.7 Million Colours - 250 cd/m² - 1000:1 - Speakers - DVI - VGA - WEEE, REACH, RoHS",,,,250 cd/m²,,,1000:1,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,LCD Monitor,,,,,,,,,,,,,,,,,,,,,,,,,AG Neovo,Speaker,,Yes,,170°,AG Neovo Technology Corporation,SX-17P,www.agneovo.com,1280 x 1024,3 ms,1.0,SX-17P,SX-17P LCD Monitor,SXGA,"43 cm (17"")",160°,Yes,,,,,,,,,,,,,,,,,,,,,,16.7 Million Colours,175 mm,Yes,REACH RoHS WEEE,,398 mm,110 V AC 220 V AC,"Custom designed for security environments, the AG Neovo SX-17P is a versatile yet powerful surveillance display solution. Smart Omni Viewer with PIP/PAP, freeze and rotate enables superior surveillance flexibility. Slim design, looping BNC connectors, VESA compatibility and power DC-out mean effortless system integration. Plus with an EcoSmart sensor that minimizes power consumption and a durable metal frame with built-in NeoV Optical Glass that protects against scratches and other incidental damage, the SX-17P is truly the display of choice for today's and tomorrow's security environments.",31.99 W,SX-17P LCD Monitor Power Cord Power Adapter 15-Pin DSub Cable Wire Hook CD-ROM (User Manual and Drivers),,990 mW,Yes,100 x 100,6.70 kg,409 mm,Wall Mountable,,,Yes,,,,
,Cleverboxes - LS22C300HS/EN | Samsung SyncMaster S22C300HS (21.5 inch) LED Monitor 1000:1 250cd/m2 1920x1080 5ms HDMI,16:9,,8806085417038,250cd/m2,,,"1,000:1 (Static)",,51.0cm (W) x 19.50cm (D) x 39.80cm (H) - Weight 2.90kg,,,Yes,1 x HDMI,,,,,,,External Adaptor,1920 x 1080 Pixels 1080p,5ms,,21.5in,LED 16.7 Million Colour,,,,,,,1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),,,,,,,,,,S22C300HS,,Display,,,,,,,,,,,,,,,,SyncMaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - UM.VB6EE.005 | Acer B Series B236HLymdpr (23 inch) Full HD LED Backlit Monitor 100M:1 250cd/m2 1920x1080 6ms DVI/VGA (Dark Grey),16:9,LED,,250cd/m2,Dark Grey,,"100,000,000:1 (Dynamic)",1 x DVI,,,,Yes,,,,B236HL Widescreen LCD Monitor • 1 x VGA Cable • 1 x DisplayPort Cable • 1 x DVI Cable • Power Cord,,,21.9W (Max),,1920 x 1080 Pixels 1080p,6ms,,23in,IPS Colour TFT LCD 16.7 Million Colour,,Yes,,,,,1 x 15-pin D-sub,178° (Horizontal - Max) x 178° (Vertical - Max),110 to 220VAC,,,,,,,,,B236HLymdpr,,Display,1920 x 1080 Pixels 1080p,,,,,,,60Hz,,,,,,,,B Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - B7M13AT#ABU | HP W1972a (18.5 inch) LED Backlit LCD Monitor 600:1 200cd/m2 5ms 1366x768 DVI-D (Black),16:9,LED,,200cd/m2,Black,"ENERGY STAR qualified, EPEAT Silver","600:1 (Static) , 3,000,000:1 (Dynamic)",1 x DVI-D,44.61cm (W) x 4.75cm (D) x 28.15cm (H) - Weight 2.7kg,,Operating Temperature 5 to 35°C - Humidity 20 to 80%,,,,,HP W1972a 47cm (18.5 inch) LED Backlit LCD Monitor • VGA cable • Audio cable • AC Power cable,0.3mm,Yes,24W (Max),,1366 x 768 Pixels WXGA,5ms,,18.5in,Widescreen,Security Lock Ready,,,-5 to +19°,,On-screen controls,1 x 15-pin D-Sub,90° (Horizontal - Max) x 50° (Vertical - Max),100 to 240VAC / 50 to 60Hz,,1-year limited warranty including 1 year of parts and labour. Certain restrictions and exclusions apply.,Anti-glare,,,,,Yes,W1972a,,Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 9H.LARLB.Q8E | BenQ BL702A (17 inch) LCD Monitor 1000:1 250cd/m2 5ms 1280 x 1024 D-Sub (Black),5:4,,4718755048968,250cd/m2,Black,TCO 6.0,"1,000:1 (Static) , 12,000,000:1 (Dynamic)",,36.9cm (W) x 5.8cm (D) x 32.2cm (H) - Weight 2.5kg,,,,,,,,0.264mm,,17W (Max) /,Built-in,,5ms,,17in,,Kensington Lock,,,-5 to +20°,,,,170° (Horizontal - Max) x 160° (Vertical - Max),,"Yes , VESA 100 x 100mm",,,,,,,OSD Language: 17 languages,BL702A,,Monitor,1280 x 1024 Pixels,,,,,,,,,,,,,,,,,,"Every Monitor produces a strain of blue spectrum light that is one of the critical causes of eye damage, eye strain, headaches and sleeping disorders. BenQ's unique Low Blue Light technology is designed to deal with the everyday problem of blue light exposure and allows a healthier time spent in front of your computer. Switch to one of the four preset Low Blue Light Modes from OSD hot key (Multimedia - 30% reduction, Web-surfing - 50% reduction, Office - 60% reduction, Reading - 70% reduction), and reward your eyes without having to lose the visual enjoyment. Experience the truest colours of the world with the BenQ Senseye Human Vision Technology. With the help of its six proprietary calibration techniques, Senseye 3 delivers only the best viewing quality in each of its six pre-set viewing modes -Standard, Movie, Game, Photo, sRGB, and ECO - with the ECO Mode especially design to save power and money. The BL702A comes with an ultra-high dynamic contrast ratio of 12M:1 to add colour depth and definition to darkened and complex visuals, so that everything you see - from the brightest white to the darkest black - is perfectly rendered to deliver the most incredible picture performance. The BL702A have passed Windows 8 certification and is fully compatible with Windows 8 colour systems. Plug in the BL702A to your computer, and Windows 8 will recognize it instantly, making setup and connection effortless.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - LS24C45KBL/EN | Samsung Series 4 S24C450BL (23.6 inch) LED Business Monitor 1000:1 250cd/m2 1920x1080 5ms DVI,16:9,LED,,250cd/m2,Matt Black,,"1,000:1 (Static)",1 x DVI,55.46cm (W) x 22.4cm (D) x 35.235cm (H) - Weight 5.4kg,,Operating Temperature 10 to 40°C - Humidity 10 to 80%,Yes,,,,Samsung Series 4 S24C450BL (23.6 inch) LED Business Monitor • D-sub Cable • 1.5m Power Cable Length • E-manual • Install CD • Quick Setup Guide,0.2715 x 0.2715mm,,30W (Max) / 0.1W (Standby),,1920 x 1080 Pixels 1080p,5ms,,23.6in Display Area - 52.128 x 29.322cm,TN (Twisted nematic) 16.7 Million Colour,,,-45 to +45°,-3 to 25°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , Supported - 100mm x 100mm",3 Year,,,,,,,S24C450BL,,Display,,,,,,,,,,Internal,,,,,,Series 4,,,"Easy to mount and install, it is convenient, safe, compatible, and the perfect partner to your monitor. You will always have a great viewing angle and it also makes the most of your space with its slim design. Mega Dynamic Contrast Ratio delivers new levels of colour and picture quality to your viewing experience with images that are real-to-life. A breathtaking Mega DCR contrast ratio shows blacks at their absolute darkest and pristine whites and other colours at their brightest. You will notice the crystal clear picture clarity. It is like explosions of colours that make other screens seem dull in comparison. Enjoy your multimedia content with the professionalism it deserves.",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VX238T | Asus VX238T (23 inch) LED Monitor 80000000:1 250cd/m2 1920 x 1080 5ms VGA DVI (Black),16:9,,4716659265733,250cd/m2,Black,"Energy Star • BSMI • CB • CCC • CE • China Energy Label Level 1 • C-Tick • ErP • FCC • Gost-R • RoHS • UL/cUL • VCCI • WEEE • WHQL (Windows 8, Windows 7, Windows Vista)",,,54.82cm (W) x 21cm (D) x 40.27cm (H) - Weight 2.6kg,,,,,,,Asus VX238T (23 inch) LED Monitor • DVI cable • VGA cable • Audio cable • Power cord • Power adaptor • Quick start guide • Warranty Card,0.2652mm,,,,1920 x 1080 Pixels,5ms,,23in,Widescreen 16.7 million Colour,Kensington Lock,2 x 1.5W,,+20° to -5°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,,,,,1 x 3.5mm Mini-Jack,,,,VX238T,,Display,,,30KHz to 80KHz (Digital) 30KHz to 80KHz (Analogue),56Hz to 76Hz (Digital) 56Hz to 76Hz (Analogue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 858-10274 | Dell E-Series E2014H (20 inch) LED Backlit LCD Monitor 1000:1 250cd/m2 1600x900 5ms DVI-D/VGA,16:9,LED,,250cd/m2,,,"1,000:1 (Static)",1 x DVI-D (with HDCP),47.39cm (W) x 16.55cm (D) x 35.88cm (H) - Weight 2.41kg,,Operating Temperature 0 to 40°C - Humidity 10 to 80%,,,,,Monitor • Stand Riser • Stand Base • VESA Screw Cover • Power Cable • VGA Cable • DVI Cable • Drivers and documentation media • Quick setup guide • Product information guide,0.27mm,,14W (Max) / 0.5W (Standby),,1600 x 900 Pixels,5ms,,20in Viewable screen size - 19.5in Display Area - 43.2 x 23.98cm,Widescreen TN (Twisted Nematic) 16.7 Million Colour,,,,,,,1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,Anti-Glare • Hard Coating 3H,,,,,,E2014H,,Monitor,,,,,,,,,,,,,,,,E-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - U-23 | AG Neovo U-19 23 inch Multimedia LED Display and Built in Speakers,,,,250cd/m2,Black Bezel,"CB, FCC, CE, TCO 5.2, Energy Star, RoHS, WEEE, REACH","1,000,000:1 (Dynamic)",1 x DVI-D,51.2cm (W) x 17.4cm (D) x 40.3cm (H) - Weight 5.8kg,,Operating Temperature 0 to 40°C - Humidity 20 to 90%,,1 x HDMI,,,AG Neovo U-23 Multimedia LED Display • Quick Guide • CD ROM (user manual and drivers) • Audio Cable • Power Cord • 15-Pin D-Sub Cable,0.266mm,"VESA DDC 2B, DDC/CI",,,1920 x 1080 Pixels,3ms,30 to 83KHz (Horizontal) x 56 to 75Hz (Vertical),23in Viewable screen size - 23in,,,,,,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,,,,,1 x 3.5mm Stereo Audio line in,1 x 3.5mm Stereo Audio line out,,,,,,,,,,,,LED Monitor,,,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cleverboxes - Sony GXD-L65H1 165 cm (65"") LCD Monitor - 8 ms - 1920 x 1080 - 1.06 Billion Colors - 700 cd/m² - 2500:1 - DVI - HDMI - VGA - Silver (3 day lead)",,,,700 cd/m²,,,2500:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCD Monitor,,,,,,,,,,,,,,,,,,,,,,,,,Sony,,Silver,Yes,Yes,178°,Sony Corporation,GXD-L65H1,www.sony.co.uk,1920 x 1080,8 ms,1.0,GXD-L65H1,GXD-L65H1 LCD Monitor,HD 1080,"165 cm (65"")",178°,Yes,,,,,,,,,,,,,,,,,,,,,,1.06 Billion Colors,183 mm,,,Yes,931 mm,,"The GXD-L65H1 LCD public display has been designed to create an impact. With a 65"" screen size and full HD resolution, this public display is able to convey your message vibrantly in semi-outdoor environments. Robustly built, it is both dust-proof, splash-proof and has an impact resistant tempered glass front panel. In addition, the GXD-L65H1 public display has been designed for reliability. This display incorporates an innovative 'Intelligent Backlight Control System' which ensures the screen will continue working even if one or more of the backlight lamps fails.",,,,,,,94 kg,1557 mm,Wall Mountable Arm-mountable,,,Yes,,,,
,Cleverboxes - 226V4LAB/00 | Philips Asus 226V4LAB/00 (21.5 inch) LCD Monitor 1000:1 250 cd/m2 1920 x 1080 5ms VGA DVI (Black),16:9,,,250cd/m2,Black,BSMI • CE Mark • FCC Class B • GOST • PSB • SASO • SEMKO • TCO certified • TUV/ISO9241-307 • UL/cUL • WEEE,"1,000:1 (Static) , 10,000,000:1 (Dynamic)",1 x DVI-D,51.4cm (W) x 4.8cm (D) x 32cm (H) - Weight 3kg,,Operating Temperature 0 to 40°C - Humidity 20 to 80%,,,,,Asus 226V4LAB/00 (21.5 inch) LCD Monitor,0.248 x 0.248mm,DDC/CI • Mac OS X • sRGB • Windows 7 • Windows XP,0.5W (Standby) / 0.5W (Saving),,1920 x 1080 Pixels,5ms,,,TFT LCD 16.7 Million Colour,Kensington Lock,2 x 2W,,-5 to 20°,,Auto/Down • Brightness/Back • Menu/OK • Power On/Off • Volume/Up,1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , Supported - 100mm x 100mm",,,,,,,,226V4LAB/00,,Display,,,30KHz to 83KHz (Digital),56Hz to 75Hz (Digital),,"Separate sync, Sync on green",LCD Monitor,,,,,,,,,,,,"The Full HD screen has the widescreen resolution of 1920 x 1080p. This is the highest resolution of HD sources for the best possible picture quality. It is fully future-proof as it supports 1080p signals from all sources, including the most recent sources such as Bluray and advanced HD game consoles. The signal processing is extensively upgraded to support this much higher signal quality and resolution. It produces brilliant flicker-free progressive scan pictures with superb brightness and colours. Philips monitors with LED backlighting are free of Mercury content, one of the most toxic natural substances, which affects humans and animals. This allows for an eco-friendly display throughout its life-cycle, from manufacturing to disposal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - ET185a | Edge10 ET185a 18.5 inch Education Toughened Glass Widescreen LED Monitor 10000:1 300cd/m2 1366x768 2ms DVI (Black),,LED,4712302921223,300cd/m2,Black,,"10,000:1 (Static)",1 x DVI,44.6cm (W) x 16cm (D) x 36.7cm (H) - Weight 4.6kg,,Operating Temperature 5 to 40°C - Humidity 20 to 90%,,,,,,0.285mm,DDC1/2B,,,1366 x 768 Pixels WXGA,2ms,,18.5in Display Area - 41.0 x 25.7cm,Active Matrix TFT 16.7 Million Colour,Kensington Lock,2 x 2W,,,,,1 x 15-pin D-sub,160° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",3 year,,,,,,,,,,,,30KHz to 80KHz,60Hz to 75Hz,,Separate sync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Microsoft Windows 95, 98, 98SE, Me , NT4, 2000, XP, Mac OS, Linux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - E2278HD-GB1 | Iiyama ProLite E2278HD (21.5 inch) LED Backlit LCD Monitor 1000:1 250cd/m2 (1920 x1080) 5ms VGA/DVI (Black),16:9,LED,4948570112012,250cd/m2,Black,"CE, TUV-Bauart, VCCI-B, CU","1,000:1 (Static) , 5,000,000:1 (Dynamic)",1 x DVI-D (with HDCP),51.45cm (W) x 17.75cm (D) x 36.95cm (H) - Weight 2.8kg,,,Yes,,,,"Iiyama ProLite E2278HD Monitor, Power Cable, D-Sub Cable, DVI-D Cable, Stand-base, Quick start guide, Safety guide",0.248 x 0.248mm,,20W (Max) / 0.5W (Saving),Internal,1920 x 1080 Pixels 1080p,5ms,,21.5in Display Area - 47.6 x 26.8cm,TFT LCD TN LED-backlit 16.7 million Colour,Kensington Lock,,,5/23°,,"Auto adjust, luminance (brightness, contrast), geometry (H. position, V. position, clock, phase), colour, OSD (H. position, V. position, timeout), language, recall, miscellaneous (sharpness, DDC/CI, display information, ACR, display mode, opening logo), input select and 6 front controls (Power, Menu/ Select, +/ Brightness, -/ ECO, Exit, Auto)",1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",Two years on-site (plus 1 free year extra - registration required).,,,,,,"10 languages (EN, FR, DE, IT, PL, ES, NL, JP, Chinese, RU)",,,,,,30KHz to 80KHz,55Hz to 75Hz,,Separate sync,LCD Display,,,,,,,,"VESA DPMS, Energy Star",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Microsoft Windows 95, 98, Me, 2000, XP, Vista, 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VG2433-LED | Viewsonic VG2433-LED (24 inch) LED Television 1000:1 300cd/m2 1920 x 1080 5ms,,,0766907715514,300cd/m2,Black,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI,56.6cm (W) x 20.4cm (D) x 38.2cm (H) - Weight 3.22kg,,Operating Temperature 0 to 40°C - Humidity 10 to 90%,,,,,Power Cable • D-Sub • Quick Start Guide • ViewSonic CD Wizard,,,22W (Max) / 15W (Standby),,1920 x 1080 Pixels,5ms,,24in,,,,360°,-5 to 25°,,,,,100 to 240VAC / 50 to 60Hz,VESA 100 x 100mm,,Anti-glare 3H,,,,,,VG2433-LED,,Monitor,,,24KHz to 82KHz (Digital),50Hz to 75Hz (Digital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VK207S | Asus VK207S (19.5 inch) Widescreen LCD Monitor 80000000:1 250cd/m2 1600 x 900 5ms VGA (Black),,,4716659343585,25cd/m2,Black,BSMI • CB • CCC • CE • C-Tick • EPEAT (Gold) by region • ErP • FCC • Gost-R • RoHS • TCO5.0 • UL/cUL • VCCI • WEEE • WHQL,,,46.8cm (W) x 18.5cm (D) x 35.55cm (H) - Weight 2.64kg,,,,,,,Asus VK207S (19.5 inch) Widescreen LCD Monitor • VGA cable • Audio cable • Power cord • USB cable • Quick start guide • Support CD • Warranty Card,0.270mm,,,,1600 x 900 Pixels,5ms,,20in,Widescreen 16.7 Million Colour,Kensington Lock,2 x 1.0W,,+20° to -5°,1 x USB (Upstream),,1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 75mm x 75mm",3-year system warranty • 3-year panel warranty,,,1 x 3.5mm Mini-Jack,,,,VK207S,,Display,,,30KHz to 80KHz (Analogue),55Hz to 75Hz (Analogue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated Webcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - CDP6530 | Viewsonic CDP6530 (65 inch) Full HD LCD Commercial Display 5000:1 500cd/m2 1920 x 1080 8ms 16:9 (Black),16:9,,,500cd/m2,Black,"FCC, ICES003, UL, cUL, CE, CB, ENERGY STAR, RoHS","5,000:1 (Static)",1 x DVI-D,150.0cm (W) x 13.6cm (D) x 90.0cm (H) - Weight 70.0kg,,Operating Temperature 0 to 40°C - Humidity 20 to 90%,,1 x HDMI,,,LCD display • Power cable • Remote control with batteries • User Guide CD,,,,,,8ms,,65in,TFT Active Matrix Wide Colour,,2 x 12W,,,,Remote control with batteries,1,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes ,","Three-year limited warranty on parts, labor and backlight",Anti-Glare • Hard Coating 3H,,1 x Audio Line In,1 x Audio Out,,,CDP6530,,Display,1920 x 1080 Pixels,,,,1 x In • 1 x Out,,,,,,,1 x S-Video,1 x Component,,,,1 x Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 04W3331 | Lenovo (14.0 inch) LCD Replacement Screen with HD+ LED Backlight and WXGA++ Display for ThinkPad T430s Notebooks,16:9,,,,,,,,,,,,,,,,,,,,1600 x 900 Pixels,,,14.0in,TFT LCD HD+ LED backlight,,,,,,,,,,,,,,,,,,,,Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VW22ATL | Asus VW22ATL (22 inch) LED Monitor 50000000:1 250cd/m2 1680 x 1050 5ms VGA DVI (Black),,,4716659092063,250cd/m2,Black,"Energy Star • BSMI • CB • CCC • CE • C-Tick • ErP • FCC • Gost-R • J-MOSS • RoHS • TCO5.2 • TUV-Ergo • TUV-GS • UL/cUL • VCCI • WEEE • WHQL (Windows 8, Windows 7)","50,000,000:1 (Dynamic)",1 x DVI-D,,,,,,,Yes,Asus VW22ATL (22 inch) LED Monitor,0.282mm,,,,1680 x 1050 Pixels,5ms,,22in,LED 16.7 million Colour,Kensington Lock,2 x 1.0W,,+20° to -5°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA 100 x 100mm",3-year system warranty • 3-year panel warranty,,,1 x 3.5mm Mini-Jack,,,,VW22ATL,,Display,,,31KHz to 83KHz (Digital) 31KHz to 83KHz (Analogue),56Hz to 76Hz (Digital) 56Hz to 76Hz (Analogue),,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - HE247DPB | HannsG HE247DPB (23.6 inch) LED Backlight LCD Monitor 1000:1 250cd/m2 1920 x 1080 5ms VGA DVI (Black),16:9,White LED,4716329057651,250cd/m2,Black,FCC • UL/CUL • CE • CB • GOST • 3C • China energy level 1 • BSMI • EnergyStar 5.0,"1,000:1 (Static)",1 x DVI-D,56.1cm (W) x 22cm (D) x 39.9cm (H) - Weight 4.5kg,,Operating Temperature 5 to 35°C - Humidity 20 to 85%,,,,,HannsG HE247DPB (23.6 inch) LED Backlight LCD Monitor • Power Cable(1.5m) • VGA Cable(1.5m) • Audio Cable(1.5m) • User Manual(CD) • Quick Start Guide(Paper),0.2715 x 0.2715mm,,28W (Max) /,,1920 x 1080 Pixels,5ms,,23.6in (Diagonal),LED Backlight 16.7 Million Colour,Kensington Lock,2 x 1.5W Integrated,,-5 to +15°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA 100 x 100mm",,,,1 x PC audio input,,,,HE247DPB,,Monitor,,,24KHz to 83KHz (Digital),55Hz to 75Hz (Digital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 210-ABSR | Dell Professional P2714T (27 inch) Full HD LED Monitor 270cd/m2 1920x1080 HDMI/DisplayPort/MHL Black (UK),,,5397063348022,270cd/m2,Black,,,,,1 x DisplayPort,,Yes,1 x HDMI,,,,,,,,1920 x 1080 Pixels Full HD,,,27in (Diagonal),Touchscreen,,,,,1 x USB 2.0,,1 x 15-pin D-sub,178° (Horizontal - Max) x 178° (Vertical - Max),,,,,,,,,,P2714T,,Monitor,,,,,,,,60Hz,,,,,,,,Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 29EA93 | LG Electronics LG 29EA93 (29 inch) Ultra Wide IPS Monitor 1000:1 300cd/m2 2560x1080 5ms HDMI/DisplayPort/Dual Link DVI-D,21:9,,8806084100238,300cd/m2,,,"1,000:1 (Static) , 5,000,000:1 (Dynamic)",1 x DVI-D (Dual link),69.97cm (W) x 20.85cm (D) x 38.7cm (H) - Weight 5.65kg,1 x DisplayPort,,,2 x HDMI,1 x Headphone Port,,LG 29EA93 (29 inch) Ultra Wide IPS Monitor • Power cord • DVI-D cable • Guarantee • MHL cable • Disk utility • USB cable,0.264 x 0.264mm,,,,2560 x 1080 Pixels,5ms,,29in,IPS,,,,-5 to +20°,1 x USB 3.0 Hub (1 x Upstream • 3 x Downstream),,,178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , VESA Compliant - 100mm x 100mm",,,,1 x Audio Line In,,,,29EA93,,Display,,,30KHz to 83KHz (Digital),56Hz to 75Hz (Digital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
