<page title>,brand,category,ean,feature,group,hardwareplatform,label,manufacturer,model,mpn,operatingsystem,order,part number,publisher,quantity,studio,title,total items,trait,upc,color,aspectratio,itempart number,languages,size,sku,supplement,warranty,elements,legaldisclaimer,reviews,department,products,format,highlight,included,binding,catalognumberlist,eanlist,isautographed,ismemorabilia,itemdimensions,listprice,numberofitems,packagedimensions,packagequantity,partnumber,platform,productgroup,producttypename,upclist,addition,ingredients,plus,characteristic,releasedate,additional,benefits,manufacturerpartswarrantydescription,extra,reports,properties,attributes,item,benefit,special,addon,featured,extras,product,quality,listed
Professional P2213 22 Led Lcd Monitor 16:10 5 Ms - Yikus.com,: Dell,: MONITOR,: 0168141496844,": Dimensions & Weight Details: Without Stand – Width: 20.1 In – Depth: 2.4 In – Height: 13.1 In – Weight: 7.6 Lbs| EPEAT Compliant: EPEAT Gold| ENERGY STAR Qualified: Yes| Service & Support: 3 Years War : Compatible With Windows 7: Compatible With Windows 7 Software And Devices Carry Microsoft’s Assurance That These Products Have Passed Tests For Compatibility And Reliability With 32-bit And 64-bit Win : Display Type: LED-backlit LCD Monitor / TFT Active Matrix| Diagonal Size: 22| Viewable Size: 22| Panel Type: TN| Aspect Ratio: Widescreen – 16:10| Native Resolution: 1680 X 1050 At 60 Hz| Pixel Pitch: : Screen Coating: Anti-glare, 3H Hard Coating| Backlight Technology: LED Backlight| Features: 83% Color Gamut, HDCP, PowerNap, Dynamic Dimming, Stand Lock| Dimensions (WxDxH): 20.1 In X 2.4 In X 13.1 In",: PC Accessory,,: Dell Computers,: Dell Computers,,: P2213,,: Electronics,: P2213,: Dell Computers,: 1,: Dell Computers,: Professional P2213 22″ LED LCD Monitor – 16:10 – 5 Ms,: 1,,: 163120564712,,,,,,: BF60502,,,,": No International Shipments, Only US",,,": Display Type: LED-backlit LCD monitor / TFT active matrix| Diagonal Size: 22| Vi : Dimensions & Weight Details: Without stand – width: 20.1 in – depth: 2.4 in – he : Screen Coating: Anti-glare, 3H Hard Coating| Backlight Technology: LED backlight : Compatible with Windows 7: Compatible with Windows 7 software and devices carry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell U3014 Ultrasharp 30 Inch Premiercolor Monitor - Yikus.com,: Dell,: MONITOR,: 0887042341434,: Dynamic Contrast 2 Million:1 : 2560 X 1600 At 60Hz Resolution (Max) : A3/A4 Version Monitor : Energy Star EPEAT Gold TCO Certified Displays,: Personal Computer,,: Dell Computer,: Dell Computer,: YW27W,: U3014,,: Personal Computers,: U3014,: Dell Computer,: 1,: Dell Computer,: Dell U3014 UltraSharp 30-Inch PremierColor Monitor,: 1,,: 884116112105,: Black,: 1.78:1,,,,,,,,": ****Since Items Are Brand New And We Report The Enduser Customer To Company, In Most Cases, We Are Not Able To Accept Returns Unless A Technical Issue Occurs. In That Rare Case The Company Deducts Onl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Professional P170s 468 9272 17 Inch Screen Lcd Monitor  - Yikus.com,: Dell,: MONITOR,: 0884116062905,": 5 Ms (typical) Fast Response Time Helps Prevent Ghosting In Fast Motion Video : Offers 250 Cd/m2 (typical) Brightness For Outstanding And Clear Image Display : Designed For Maximum Comfort And Collaborative Adjustability Viewing Features Such As Height-adjustable, Panel Swivel, Tilt As Well As Pivot : Provides Horizontal Viewing Angle Of 170° And Vertical Viewing Angle Of 160° : Equipped With 4 Easy Access USB 2.0 Ports For Convenient Plug-in Of USB Devices Straight From Your Monitor",: Personal Computer,,: Dell Computers,: Dell Computers,: 468-9272,: 468-9272,,: Personal Computers,: 468-9272,: Dell Computers,: 1,: Dell Computers,: Dell Professional P170S 468-9272 17-Inch Screen LCD Monitor,: 1,,: 884116062905,: Black,: Unknown,,,,,,,,,,,,,,: Equipped with 4 easy access USB 2.0 ports for convenient plug-in of USB devices : Offers 250 cd/m2 (typical) brightness for outstanding and clear image display : 5 ms (typical) fast response time helps prevent ghosting in fast motion video : Provides horizontal viewing angle of 170° and vertical viewing angle of 160°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Touch T260hd 25 5 Inch Monitor Economical - Yikus.com,: Samsung,,: 0729507803807,": 25.5IN WIDE LCD HDTV 1000:1 contrast ratio : Touch ?f Color design, HDTV Full HD 1080p : It features ?n embedded DTV tune : ATSC/QAM tuner w/remote, Dolby Digital surround sound, 2xHDMI",,: Pc,: Samsung,: Samsung,: T260HD,: T260HD,: Windows,,,: Samsung,,: Samsung,: Samsung Touch Of Color T260HD 25.5-Inch LCD HDTV Monitor,,,: 729507803807,: Black,,,:,,: DHT260HD,,,,,,,,: CD,,,: Electronics,:,:,: 0,: 0,:,:,: 1,:,: 1,: T260HD,: Windows,: Personal Computer,: MONITOR,:,,,,,,,,,,,,,,,,,,,,,
Asus Ve258q 25 Inch Full Hd Led Lit Lcd Monitor Integrated  - Yikus.com,: Asus,: MONITOR,: 0071030535930,": LED Backlight With 50,000,000:1 ASCR And 2ms Response Time : Full HD 1920×1080 With HDMI : ASUS SPLENDID Video Intelligence Technology : ASUS Two Way Free Shipping For All Display RMAs In The US And Canada! : Allows For Simultaneous Multiple Display Setups Via AMD’s Eyefinity Technology. : DisplayPort, HDMI, DVI, VGA, And Built-in Speakers Allow For Simultaneous Connections To More Devices.",: Personal Computer,,: ASUS Computer International Direct,: ASUS Computer International Direct,: VE258Q,: VE258Q,,: Personal Computers,: VE258Q,: ASUS Computer International Direct,: 1,: ASUS Computer International Direct,: Asus VE258Q 25-Inch Full-HD LED-Lit LCD Monitor With Integrated Speakers,: 1,": Full HD 1920×1080 with HDMI : LED Backlight with 50,000,000:1 ASCR and 2ms Response Time : DisplayPort, HDMI, DVI, VGA, and Built-in Speakers allow for simultaneous connec : Allows for simultaneous multiple display setups via AMD’s Eyefinity technology.",: 071030535930,: Black,,,,,,,: 3,,": ****Since Items Are Brand New And We Report The Enduser Customer To Company, In Most Cases, We Are Not Able To Accept Returns Unless A Technical Issue Occurs. In That Rare Case The Company Deducts Onl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc 2757 Ips 27 Led Ultra Slim Bezel Pc Monitor 1920x1080  - Yikus.com,: AOC,: MONITOR,: 0887810001591,": Shipping From Korea, South. * Delivery Time Is 4~5 Working Days *Expedited Shipping By FedEX Or EMS *Exclude Shipping Country American Samoa, Marshall Islands, Virgin Islands (U.S.), Andorra, Guernsey : E-Saver Feature For Low Power Consumption : Multiple I/O Ports (2 HDMI) : Ultra-thin LED IPS Monitor (10.6mm Thin) : In Korea, We Use 220 Voltage And Type C Plug. Some Products Has A Adapter And In That Case, They Support Free Voltage And Type C Plug.",: PC Accessory,,: AOC,: AOC,: AOC 2757 IPS,: AOC 2757 IPS,,: Electronics,: AOC 2757 IPS,: AOC,: 1,: AOC,": AOC 2757 IPS 27″ LED Ultra Slim Bezel PC Monitor, 1920×1080, HDMIx2, D-Sub, Perfect Pixel",,,: 887810001591,: Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus Ve248h 24 Inch Full Hd Led Monitor Integrated Speakers  - Yikus.com,: Asus,: MONITOR,: 0610839331871,": ASUS Splendid Technology Optimizes Video And Image Quality By Enhancing Color, Brightness, Contrast, And Sharpness With 5 Preset Modes : Advanced Connectivity Options With HDMI, D-Sub And DVII With HDCP Support : 10,000,000:1 ASUS Smart Contrast Ratio To Deliver Crisp And Defined Images For Darker Blacks And Brighter Whites : 2ms Response Time For Fluid Video Playback : 24″ Widescreen 1920×1080 Full HD LED Panel",: Personal Computer,,: ASUS Computer International Direct,: ASUS Computer International Direct,: VE248H,: VE248H,: N/A,: Personal Computers,: VE248H,: ASUS Computer International Direct,: 1,: ASUS Computer International Direct,: ASUS VE248H 24-Inch Full-HD LED Monitor With Integrated Speakers,: 1,,: 610839331871,: Black,: 16:9,,,,,,: 2 Year,,": ****Since Items Are Brand New And We Report The Enduser Customer To Company, In Most Cases, We Are Not Able To Accept Returns Unless A Technical Issue Occurs. In That Rare Case The Company Deducts Onl",,,,: CD-ROM,,,,,,,,,,,,,,,,,,": 24″ Widescreen 1920×1080 Full HD LED panel : 10,000,000:1 ASUS Smart Contrast Ratio to deliver crisp and defined images for d : Advanced connectivity options with HDMI, D-Sub and DVII with HDCP support : 2ms response time for fluid video playback",,,,,,,,,,,,,,,,,,,,
Samsung S22b310b 22in Led Monitor - Yikus.com,,: MONITOR,: 0729507818504,": Energy Star Qualified; Guarantees Low Power Consumption : 5ms Response Time; Lets You View Fast-moving Scenes With Minimal Distortion : VGA And DVI Inputs; Offers Easy Connections To Your PC : Mega Infinity Dynamic Contrast Ratio; Ensures Beautiful Depth And Sharpness : Samsung S22B310B 22 Inches Class LED Display Provides 1920 X 1080, 1000:1 Native, An Excellent Viewing Experience",: PC Accessory,,: Samsung,: Samsung,: S22B310B,,,: Electronics,,: Samsung,: 1,: Samsung,: Samsung S22B310B 22in LED Monitor,,,: 729507818504,: Gloss Black,,,,,,,,,: This Item Is Sold As Is.,,,,,,,,,,,,,,,,,,,,,,,": 5ms response time; lets you view fast-moving scenes with minimal distortion : Mega Infinity Dynamic Contrast Ratio; ensures beautiful depth and sharpness : Samsung S22B310B 22 inches Class LED display provides 1920 x 1080, 1000:1 Native : VGA and DVI inputs; offers easy connections to your PC",,,,,,,,,,,,,,,,,,,
Acer B276hul Ymiidprz 27 Inch Ips 2560 X 1440 Widescreen Display  - Yikus.com,: Acer,: MONITOR,: 0132018263372,": The Ultra-thin 27″ LED Display Comes Encased In An Stylish Bezel Matched With A Sturdy Black Base. The Flexible Height Adjusted And Rotation Stand Can Tilt And Swivel For The Optimal View And Includes : Signal Inputs: 1 X DVI-D, 2 X HDMI, 1 X Display Port & 1 X Display Port Out : The DVI-D Input With High-bandwidth Digital Content Protection (HDCP) Allows For Viewing Of Digital Movies And Copy-protected Media. : Rapid 6ms Response Time Ensures Smooth Movement During Videos And 350 Nit Brightness Ensures Optimal Viewing Under Most Common Lighting Conditions.",: Personal Computer,: Consumer Electronics,: Acer,: Acer,: B276HUL Ymiidprz,: UM.HB6AA.002,,: Personal Computers,: UM.HB6AA.002,: Acer,: 1,: Acer,: Acer B276HUL Ymiidprz 27-Inch IPS (2560 X 1440) Widescreen Display With ErgoStand,: 1,,: 132018263372,: Grey,: 1.78:1,,:,,,,,,": ****Since Items Are Brand New And We Report The Enduser Customer To Company, In Most Cases, We Are Not Able To Accept Returns Unless A Technical Issue Occurs. In That Rare Case The Company Deducts Onl",,,,,,,,,,,,,,,,,,,,,,,,": The DVI-D input with High-bandwidth Digital Content Protection (HDCP) allows for : Rapid 6ms response time ensures smooth movement during videos and 350 nit bright : Signal Inputs: 1 x DVI-D, 2 X HDMI, 1 x Display Port & 1 x Display Port Out : The ultra-thin 27″ LED display comes encased in an stylish bezel matched with a",,,,,,,,,,,,,,,,,,
30in Lcd 2560x1600 1000:1 Dvi Usb Multisync Spectraview Ii - Yikus.com,: Nec Computers,: MONITOR,: 0805736037555,": Wide Connectivity Includes DisplayPort And DVI-D Inputs As Well As A USB Hub : XtraView+ Technology Provides The Widest Viewing Angles With Minimal Off-angle Color Shift : SpectraViewII Color Calibration Solution, Which Includes Software And Colorimeter, Helps The Display Achieve Accurate, Consistent And Repeatable Color Performance : Supports Internal Programmable 14-bit 3D Lookup Tables (LUTs) For Calibration : Superior Screen Performance (1000:1 Contrast Ratio, 2560 X 1600 Native Resolution, 350 Cd/m2 Brightness)",: Personal Computer,: Pc,: Nec Computers,: Nec Computers,: PA301W-BK-SV,: PA301W-BK-SV,: N/A,: Personal Computers,: PA301W-BK-SV,: Nec Computers,: 1,: Nec Computers,: 30IN LCD 2560X1600 1000:1 Dvi USB Multisync With Spectraview II,: 1,,: 805736037555,: Black,: 16:10,,:,,: 10506495Techdata40852,,: 4 Years,,,,: Monitor / Display / Projector,,: CD-ROM,,,,,,,,,,,,,,: Windows,,,,,,,": SpectraViewII Color Calibration Solution, which includes software and colorimete : XtraView+ technology provides the widest viewing angles with minimal off-angle c : Superior screen performance (1000:1 contrast ratio, 2560 x 1600 native resolutio : Supports internal programmable 14-bit 3D lookup tables (LUTs) for calibration",: 2011-12-05,,,,,,,,,,,,,,,,
Asus 144hz 24in Ws Lcd 1920x1080 Vg248qe Hdmi Dvi D Blk 1ms  - Yikus.com,: Asus,: MONITOR,: 0992300191215,: Display Panel Size: Wide Screen 24.0″(61.0cm) 16:9 Color Saturation : 72%(NTSC) Panel Backlight / Type : WLED/ TN True Resolution : 1920×1080 Full HD 1080P : Yes Pixel Pitch : 0.2768mm Brightness(Max),: PC Accessory,,: Asus,: Asus,,,,: Personal Computers,,: Asus,: 1,: Asus,: ASUS 144Hz 24IN WS LCD 1920X1080 VG248QE HDMI DVI-D BLK 1MS SPKR,,,: 992300191215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung 205bw Wide Format Analog/digital Lcd Monitor - Yikus.com,: Samsung,: MONITOR,: 0729507709000,: 20 A-si TFT/TN LCD Monitor : 300 Cdm2 Brightness : 700 – 1 Contrast Ratio : Pixel Pitch 258 Mm : 6ms Response Time,: PC Accessory,: PC,: Samsung,: Samsung,: 205BW,: 205BW,,: Electronics,: 205BW,: Samsung,: 1,: Samsung,: Samsung 205BW Wide Format Analog/Digital LCD Monitor,,,: 729507709000,: Black,,,,,,,: 3 Years Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg E2442v 24 Inch Widescreen 1080p Led Lcd Monitor Hdmi Input  - Yikus.com,: LG,: MONITOR,: 0719192190283,": Ultra Slim Design: You’ll Love The Stunning Picture While It’s On And Marvel At Its Appearance When It’s Off. It?s A Sleek, Elegant Design That Will Appeal To Even The Most Refined Sense Of Style. : Dimensions: •With Stand: 16.46 X 22.32 X 7.13-inches (H X W X D) •Without Stand: 13.5 X 22.32 X 2.17-inches (H X W X D) : Make Installation Of Any Enabled Device A Snap. Get Deeper Colors And Take Advantage Of A Full HD 1080p Experience. HDMI Connectivity Lets You Prepare Yourself For Tomorrow’s Technology Today. : Full HD 1080p Gives It Superior Picture Quality Over Standard Resolution. You?ll See Details And Colors Like Never Before. : LED Technology Provides Even Greater Control Of Brightness And Delivers Better Contrast, Amazing Clarity And Color Detail, As Well As Greater Energy Efficiency Compared To Conventional LCD Monitors.",: Personal Computer,,: LG Electronics,: LG Electronics,: E2442V,: E2442V-BN,,: Personal Computers,: E2442V-BN,: LG Electronics,: 1,: LG Electronics,: LG E2442V 24-Inch Widescreen 1080p LED LCD Monitor With HDMI Input,: 1,,: 719192190283,: Black,: 16:9,,:,: 24-Inch,,,: 1 Year Parts & Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,: LED technology provides even greater control of brightness and delivers better c : Make installation of any enabled device a snap. Get deeper colors and take advan : Full HD 1080p gives it superior picture quality over standard resolution. You?ll : Ultra slim design: You’ll love the stunning picture while it’s on and marvel at,,,,,,,,,,,,,,,
