<page title>,brand name,contrast ratio,diagonal screen size,dimensions,ecolabel,hd compatible,horizontal viewable angle,integrated speakers,item,manufacturer,manufacturer,maximum resolution,model name,monitor brightness,monitor color,native resolution,pixel pitch,signal input type,tv tuner,typical response time,viewable image size,wall mountable,warranty length,aspect ratio,backlight technology,brightness,depth,display orientation,height,input voltage,number of screens,platform supported,product line,product name,product type,screen size,vesa mount compatible,vesa mount standard,vga,weight,width,postconsumer recycled content,screen type,total recycled content,touchscreen type,builtin devices,color,color supported,depth with stand,dvi,height with stand,mount type,response time,screen mode,speakers,standard refresh rate,vertical viewing angle,viewing angle,weight with stand approximate,width with stand,features,offmode power consumption,operating power consumption,standby power consumption,touchscreen,usb,adjustable display angle,adjustable display height,adjustable display pivot,assembly required,country of origin,displayport,product series,quantity,recycled,certifications standards,hdcp supported,hdmi,multitouch screen,number of speakers,headphone jack,screen surface,panel technology,usb standard,webcam,antiglare,network rj45,compatibility,be comfortable,customizable color,full hd resolution,stay versatile,superb performance,ultrawide viewing angle,versatile connections,work with ease stay entertained for hours,component video,composite video,svideo,tilt angle
HP Business E221c 215 LED LCD Monitor 169 7 ms by Office Depot,HP,"1,000:1",,,TCO Certified Edge; ENERGY STAR; EPEAT Gold; REACH,,,,779537,Hewlett-Packard,RT4327,1920 x 1080,E221c,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"0.8""",,"4.8""",220 V AC; 110 V AC,1.0,PC,Business,EliteDisplay E221c 21.5-inch Webcam LED Backlit Monitor (ENERGY STAR),LCD Monitor,"21.5""",,,Yes,,"7.9""",,,,,Webcam; Speaker; Microphone; USB Hub,Black,,"3.68""",Yes,"7.13""",,7 ms,Full HD,Yes,,178°,178°,11.90 lb,"7.89""",Security Lock,,42 W,400 mW,,Yes,Yes,Yes,Yes,,,Yes,Advantage,,,,Yes,,,,,Anti-glare,In-plane Switching (IPS) Technology,USB 2.0,No,,,,,,,,,,,,,,,
Samsung S22C450D 215 LED LCD Monitor 169 5 ms by Office Depot,Samsung,"1,000:1",,,ENERGY STAR; TCO Certified Displays,,,,894854,Samsung,QV9020,1920 x 1080,S22C450D,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,,1.0,,,S22C450D Widescreen LCD Monitor,LCD Monitor,"21.5""",Yes,100 x 100,Yes,,,0%,,0%,,,Black,,,Yes,,Wall Mountable,5 ms,Full HD,,,160°,170°,,,Eco Saving; MagicAngle; MagicBright 3; Off Timer,,,,,,Yes,Yes,Yes,No,Mexico,Yes,,1.0,No,,,,,,,,,,,,,,,,,,,,,,,,,
Planar PLL2210MW 22 LED LCD Monitor 169 5 ms by Office Depot,Planar,"1,000:1",,,RoHS,,,,589999,"Planar Systems, Inc",KF3867,1920 x 1080,PLL2210MW,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.9""",,"12.6""",110 V AC; 220 V AC,1.0,PC; Mac,,PLL2210MW Widescreen LCD Monitor,LCD Monitor,"22""",Yes,100 x 100,Yes,7 lb,"19.9""",,,,,Speaker,White,16.7 Million Colors,"7""",Yes,"15.35""",,5 ms,Full HD,Yes,75 Hz,160°,170°,,"19.94""",,,25 W,500 mW,,,Yes,,,,,,,,,cTUVus; CE; FCC-B,Yes,,,,Yes,Anti-glare,,,,,,,,,,,,,,,,,,
HP Pavilion 27xi 27 LED LCD Monitor 169 7 ms by Office Depot,HP,"10,000,000:1",,,,,,,414964,Hewlett-Packard,3440917,1920 x 1080,27xi,,,,,,,,,,,16:9,LED,250 Nit,"6.7""",,"15.9""",,1.0,,Pavilion,Pavilion 27xi IPS LED Backlit Monitor,LCD Monitor,"27""",,,Yes,11.60 lb,"20.9""",,,,,,,,,Yes,,,7 ms,Full HD,,60 Hz,178°,178°,,,Security Lock,,35 W,500 mW,,,,,,,,,,,,,Yes,Yes,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Viewsonic VG2439m TAA 24 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",,,TCO; ENERGY STAR; EPEAT Gold; WEEE; RoHS,,,,794063,Viewsonic Corporation,3318245,1920 x 1080,VG2439m-TAA,,,,,,,,,,3-year limited,16:9,LED,300 Nit,"2.3""",Portrait,"13.1""",110 V AC; 220 V AC,1.0,PC; Mac,,"24"" (23.6"" Viewable) Ergonomic LED Monitor Wide Screen with DisplayPort Input",LCD Monitor,"24""",Yes,100 x 100,Yes,8.16 lb,"22.1""",,,,,USB Hub; Speaker,Black,,"9.40""",Yes,"17.10""",Wall Mountable,5 ms,Full HD,Yes,60 Hz,160°,170°,11.46 lb,"22.10""",Eco Mode; Auto-off,,24 W,,,Yes,Yes,Yes,Yes,,Mexico,Yes,VG39m-TAA,,,TAA; UL/cUL; FCC-B; NOM; CE; CB,Yes,,,2.0,Yes,Anti-glare,,,,,,,,,,,,,,,,,,
Acer V196WL 19 LED LCD Monitor 1610 5 ms by Office Depot,Acer,"100,000,000:1",,,TCO '06; EPEAT Gold,,,,383185,"Acer, Inc",RA7828,1440 x 900,V196WL,,,,,,,,,,,16:10,LED,250 Nit,"7.5""",,"14.9""",110 V AC; 220 V AC,1.0,,,V196WL Widescreen LCD Monitor,LCD Monitor,"19""",,,Yes,5.95 lb,"17.3""",,,,,,Black,16.7 Million Colors,,,,,5 ms,WXGA+,Yes,60 Hz,160°,170°,6.83 lb,,,350 mW,13 W,450 mW,,,Yes,No,No,,,,V,,,,,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Lenovo ThinkVision LT2452p 24 LED LCD Monitor 1610 7 ms by Office Depot,Lenovo,"1,000:1",,,ENERGY STAR 5.1; TCO Certified Edge Displays 1.1; EPEAT Gold; ULE Gold; EuP; REACH; China RoHS; Turkey RoHS; EU RoHS; EU WEEE; TCO Certified Displays 6.0; Eco Mark (Japan); MPR II; CECP; China Energy Label (CEL),,,,692479,Lenovo Group Limited,RG1961,1920 x 1200,LT2452p,,,,,,,,,,3-year limited,16:10,LED,300 Nit,"15.5""",,"10.1""",110 V AC; 220 V AC,1.0,PC,ThinkVision,ThinkVision LT2452p 24-inch Wide LCD Monitor,LCD Monitor,"24""",Yes,100 x 100,Yes,14.70 lb,"22""",,,85% Plastic,,,Business Black,16.7 Million Colors,,Yes,,,7 ms,WUXGA,,60 Hz,178°,178°,,,Security Lock; Cable Management,500 mW,40 W,500 mW,,,Yes,Yes,Yes,,,Yes,,,Yes,Safety:; cTUVus; IEC60950 CB Report; NEMKO; KVALITET; CE; NOM; SASO; GOST; PSB BSMI; JEITA; TUV-S; SABS; KC EMI:; FCC B; VCCI; KC; BSMI; CCC; KVALITET Ergonomic:; TUV-GS; ISO 9241-307; e-Standby,,,,,,,,,,,,,,,,,,,,,,,,
NEC Display AccuSync AS193I BK 19 LED LCD Monitor 54 14 ms by Office Depot,NEC Display,"1,000:1",,,ENERGY STAR 6.0; TCO Certified Displays 6.0; EPEAT Silver; RoHS,,,,477532,NEC Display Solutions,RB9664,1280 x 1024,AS193I-BK,,,,,,,,,,3-year limited,5:4,LED,250 Nit,"2.7""",,"13.4""",,1.0,,AccuSync,"19"" Value LED-Backlit Desktop Monitor w/ IPS Panel",LCD Monitor,"19""",Yes,100 x 100,Yes,7.50 lb,"16.2""",,,,,,Black,16.7 Million Colors,"8.07""",Yes,"15.87""",Desk Mountable,14 ms,SXGA,,76 Hz,178°,178°,8.60 lb,"16.24""",Eco Mode; Intelligent Power Manager (IPM) System; Carbon Footprint Meter; Cable Management; AccuColor,,18 W,150 mW,,,Yes,,,,,,,,,ISO 9241-307 Class I,Yes,,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
AOC E2460SD 24 LED LCD Monitor 5 ms by Office Depot,AOC,"20,000,000:1",,,ENERGY STAR,,,,177535,AOC,RG0398,1920 x 1080,E2460SD,,,,,,,,,,1-year limited,,LED,250 Nit,,,,,1.0,PC,,E2460SD 24 Inch LED Monitor,LCD Monitor,"24""",Yes,100 x 100,Yes,9.79 lb,,,,,,,Black,16.7 Million Colors,"8.63""",Yes,"15.87""",Wall Mountable,5 ms,Full HD,No,,160°,170°,,"22.26""",Eco Mode; Off Timer,,18 W,500 mW,,,Yes,,,,,,60,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkVision LT2323p 23 LED LCD Monitor 169 5 ms by Office Depot,Lenovo,"1,000:1",,,WEEE; RoHS; China RoHS; REACH; EuP; TCO Certified Edge Displays 1.1; EPEAT Gold; IT Eco Declaration; CECP; MPR II; ENERGY STAR 6.0,,,,479153,Lenovo Group Limited,PF7291,1920 x 1080,LT2323p,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2.1""",,"14.7""",,1.0,PC,ThinkVision,LT2323p Wide 23inch WLED Flat Panel Monitor,LCD Monitor,"23""",Yes,100 x 100,Yes,12.65 lb,"21.5""",,,,,USB Hub,Raven Black,16.7 Million Colors,,Yes,,,5 ms,Full HD,,,160°,170°,,,,500 mW,38 W,500 mW,,Yes,Yes,Yes,Yes,,,Yes,,1.0,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,,
Viewsonic VA2246m LED 22 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",,,ENERGY STAR 5.0; RoHS; REACH; TCO Displays 5.0; ErP; China Energy Label (CEL); WEEE,,,,590472,Viewsonic Corporation,RR4273,1920 x 1080,VA2246m-LED,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.9""",,"12.5""",110 V AC; 220 V AC,1.0,Mac; PC,,VA2246m-LED Widescreen LCD Monitor,LCD Monitor,"22""",Yes,100 x 100,Yes,6.90 lb,"20.1""",,,,,Speaker,,,"1.90""",Yes,"14.40""",Wall Mountable,5 ms,Full HD,Yes,75 Hz,160°,170°,7.70 lb,"20.10""",,,34 W,,,No,Yes,,,,,,,,,CE; CB; SVHC list; UL; cUL; FCC-B / ICES-003B; TUV-S; Nemko ERGO; GOSTR+ Hygienic; UkrSEPRO; CCC; BSMI; PSB; C-tick; KC; e-Standby,Yes,,,,No,Anti-glare,,,,,,,,,,,,,,,,,,
Viewsonic VP2765 LED Widescreen LCD Monitor by Office Depot,Viewsonic,"20,000,000:1",,,WEEE; RoHS; ENERGY STAR; TCO '05; EPEAT Silver,,,,538573,Viewsonic Corporation,S8140397,1920 x 1080,VP2765-LED,,,,,,,,,,3-year limited,16:9,LED,300 Nit,"2.6""",,"15.4""",110 V AC; 220 V AC,1.0,PC; Mac,,VP2765-LED Widescreen LCD Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,11.80 lb,"25.3""",,,,,USB Hub,Black,,"15.30""",Yes,"18.30""",,5 ms,Full HD,,75 Hz,178°,178°,18.60 lb,"25.30""",,,55 W,,,Yes,Yes,,,,,Yes,,,,UL; cUL; FCC-B (ICES); CB; CE; ICES-003B; TUV/GS; TUV; TUV-S; NOM; Gost-R; HYGIENIC (20 copies); CECP; CCC; BSMI; PSB; C-tick; SASO; ErP,Yes,,,,,Anti-glare,,USB 2.0,,,,,,,,,,,,,,,,
Viewsonic VX2770Smh LED 27 LED LCD Monitor 7 ms by Office Depot,Viewsonic,"1,000:1",,,ENERGY STAR; ErP; EPEAT Silver; WEEE; RoHS,,,,695846,Viewsonic Corporation,PU9483,1920 x 1080,VX2770Smh-LED,,,,,,,,,,3-year limited,,LED,250 Nit,"7.6""",,"18.1""",110 V AC; 220 V AC,1.0,PC; Mac,,"VX2770Smh-LED Widescreen With Full HD 1080p 27"" Frameless LED Display",LCD Monitor,"27""",,,Yes,11 lb,"24.5""",,,,,,,,,Yes,,,7 ms,Full HD,,76 Hz,178°,178°,,,Security Lock; Touch Controls,,30 W,,,,Yes,,,,,,,,,CE; CB; BSMI; SASO; C-tick; e-Standby; KC; UL/cUL; FCC-B; ICES003; NOM; Gost-R/Hygienic; UkrSEPRO; CCC; ISO 9001; ISO 14001; TUV,Yes,Yes,,,,Anti-glare,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Acer S241HL 24 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,MPR II; ENERGY STAR,,,,190469,"Acer, Inc",RG5336,1920 x 1080,S241HL,,,,,,,,,,,16:9,LED,250 Nit,"6.5""",,"15.8""",110 V AC; 220 V AC,1.0,,,S241HL Widescreen LCD Monitor,LCD Monitor,"24""",,,Yes,7.61 lb,"22.2""",,,,,,Black,16.7 Million Colors,,Yes,,,5 ms,Full HD,Yes,60 Hz,160°,170°,8.44 lb,,,450 mW,19.80 W,460 mW,,,Yes,No,No,,,,S,,,,Yes,Yes,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Acer B236HL 23 LED LCD Monitor 169 6 ms by Office Depot,Acer,"100,000,000:1",,,EPEAT Gold; TCO Certified Displays 6.0,,,,465679,"Acer, Inc",RW9408,1920 x 1080,B236HL,,,,,,,,,,,16:9,LED,250 Nit,"2""",,"12.8""",110 V AC; 220 V AC,1.0,,,B236HL Widescreen LCD Monitor,LCD Monitor,"23""",,,Yes,7.72 lb,"21.4""",,,,,,Dark Gray,16.7 Million Colors,"8.70""",Yes,"20.87""",,6 ms,Full HD,Yes,60 Hz,178°,178°,13.67 lb,"21.42""",,350 mW,21.90 W,450 mW,,,Yes,Yes,Yes,,,,B,,,,Yes,,,,,Anti-glare,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Asus VK248H CSM 24 LED LCD Monitor 169 2 ms by Office Depot,Asus,"2,000:1",,,RoHS; WEEE,,,,616106,ASUS Computer International,PC8692,1920 x 1080,VK248H-CSM,,,,,,,,,,3-year limited,16:9,LED,300 Nit,"9.1""",,"16.6""",,1.0,,,VK248H-CSM Widescreen LCD Monitor,LCD Monitor,"24""",Yes,100 x 100,Yes,12.13 lb,"22.4""",,,,,Webcam; Speaker,Glossy Piano Black,16.7 Million Colors,,Yes,,Wall Mountable,2 ms,Full HD,Yes,75 Hz,160°,170°,,,Trace Free Technology; Splendid Video Intelligence Technology; Security Lock,,60 W,2 W,,Yes,Yes,,,,,,VK,,,UL/cUL; CB; CE; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; WHQL,Yes,Yes,,2.0,Yes,,,,,,,,,,,,,,,,,,,
Lenovo ThinkVision LT2223z 215 LED LCD Monitor 169 5 ms by Office Depot,Lenovo,"1,000:1",,,ENERGY STAR 6.0; Taiwan Green Mark; EPEAT Gold; TCO Certified Displays 6.0; TCO Certified Edge Displays 1.1; ULE Gold; RoHS; China Energy Label (CEL); MPR II; EPA,,,,196508,Lenovo Group Limited,RG1793,1920 x 1080,LT2223z,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2.2""",,"14.9""",110 V AC; 220 V AC,1.0,PC,ThinkVision,ThinkVision LT2223z 21.5-inch FHD LED Backlit LCD VoIP Monitor,LCD Monitor,"21.5""",Yes,100 x 100,Yes,7.80 lb,"20.2""",,,,,Microphone; Speaker; USB Hub,Business Black,16.7 Million Colors,"8.60""",,"13.80""",,5 ms,Full HD,Yes,,,160°,12 lb,"20.20""",VoIP Controls,500 mW,28 W,500 mW,,Yes,Yes,Yes,Yes,,,Yes,,,,"TUV GS; VCCI; BSMI; GOST; GS; IEC950; NEMKO; NOM, SABS; SASO; TUV S; VESA DPMS; CCC; IC; PSB; ISO 9241-307; JEITA; cTUVus; e-Standby; KC; KVALITET; DDC-2B/CI; INSM",,Yes,,2.0,,,,USB 3.0,Yes,,,,,,,,,,,,,,,
Samsung S22B150N 215 Widescreen LED Backlit Monitor Black by Office Depot,Samsung,600:1,21.5 inches,"20.2"" x 15.2"" x 7.8""",ENERGY STAR,no,90 degrees,no,213817,Samsung,S22B150N,1920 x 1080,S22B150N,200 cd/m2,Black,1920 x 1080,,VGA 15-pin D-sub,No,5 ms (gray-to-gray),21.5 inches,no,1-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,LED TN,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,
Viewsonic VG2732m LED 27 LED LCD Monitor 3 ms by Office Depot,Viewsonic,"1,200:1",,,WEEE; RoHS; TCO '05; EPEAT Silver; ENERGY STAR,,,,538537,Viewsonic Corporation,S8140396,1920 x 1080,VG2732m-LED,,,,,,,,,,3-year limited,,LED,300 Nit,"2.6""",,"15.4""",110 V AC; 220 V AC,1.0,PC; Mac,,VG2732m-LED Widescreen LCD Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,11.50 lb,"25.3""",,,,,USB Hub; Speaker,Black,16.7 Million Colors,"9.49""",Yes,"17.09""",Wall Mountable,3 ms,Full HD,Yes,75 Hz,160°,170°,14.50 lb,"25.28""",,,55 W,,,Yes,Yes,,,,,Yes,,,,CB; UL/cUL; FCC-B; IRAM; NOM; BSMI; PSB; C-tick; CCC; CEL; CECP,Yes,,,,,Anti-glare,,USB 2.0,,,,,,,,,,,,,,,,
Viewsonic VG932m LED 19 LED LCD Monitor 43 5 ms by Office Depot,Viewsonic,"1,000:1",,,WEEE; RoHS; ENERGY STAR; TCO Certified Displays 6.0; EPEAT Silver; CECP; China Energy Label (CEL),,,,695918,Viewsonic Corporation,QN8765,1280 x 1024,VG932m-LED,,,,,,,,,,3-year limited,4:3,LED,250 Nit,"2.5""",,"14""",110 V AC; 220 V AC,1.0,PC; Mac,,VG932m-LED LCD Monitor,LCD Monitor,"19""",Yes,100 x 100,Yes,7.05 lb,"16.2""",,,,,Speaker,,,"9.10""",Yes,"18.80""",,5 ms,SXGA,Yes,75 Hz,160°,170°,9.26 lb,"16.20""",Eco Mode; Security Lock,,18 W,,,,Yes,Yes,,,,,,,,CE; CB; UL; cUL; FCC-B / ICES-003B; C-tick; BSMI; Gost-R; Hygenic; PSB; CCC; CEL; CEPC,,,,2.0,,Anti-glare,,,,,,,,,,,,,,,,,,
Asus VS228H P 215 LED LCD Monitor 169 5 ms by Office Depot,Asus,"50,000,000:1",,,WEEE; ENERGY STAR; RoHS,,,,866263,ASUS Computer International,KW3626,1920 x 1080,VS228H-P,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,,1.0,PC,,VS228H-P Widescreen LCD Monitor,LCD Monitor,"21.5""",Yes,100 x 100,Yes,6.83 lb,,,,,,,Black,16.7 Million Colors,"7.87""",,"15.18""",Wall Mountable,5 ms,Full HD,,75 Hz,160°,170°,,"20.24""",,500 mW,25 W,500 mW,,,Yes,,,,,,VS,,,UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; EK; J-MOSS; WHQL,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
