<page title>,ac power in,altezza,altezza con supporto,altoparlante cuffia spinotto di uscita,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,certificazione energy star,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,connessione cuffia,consumi,consumi modalità spento,consumi modalità standby,dimensione visibile diagonale,dimensione visibile orizzontale,dimensione visibile verticale,dimensioni schermo,dot pitch,dot rate video,formato,fotocamera integrata,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,girevole,hdcp,inclinazione,inclinazione regolabile,interruttore integrato,larghezza,larghezza con supporto,lettore di schede integrato,luminosità schermo,mobile highdefinition link mhl,modalità video supportate,montabile a parete,numero di altoparlanti,peso,peso incluso imballo,plug play,porta dvi,potenza in uscita rms,profondità,profondità con supporto,quantità porte hdmi,quantità porte usb 20,quantità porte usb 30,quantità porte vga dsub,rapporto di contrasto,rapporto di contrasto dinamico,regolazione altezza,risoluzione,risoluzioni grafiche supportate,rotazione,sintonizzatore tv integrato,source datasheet,subwoofer incorporato,tecnologia display,tempo di risposta,thin client installato,tipologia di retroilluminazione,tipologia display,tipologia hd,uscita audio,voltaggio di ingresso,bluetooth,collegamento ethernet lan,connessione wlan,dcin jack,full hd,microfono incorporato,microfono spinotto dingresso,retroilluminazione a led,tipi schede di memoria,conformità epeat,on screen display osd,quantità porte dvid,altezza imballo,angolo di rotazione,area di visualizzazione effettiva,compatibilità elettromagnetica,guida rapida,indicatore led alimentazione,ingresso audio,intervallo temperatura di funzionamento,larghezza imballo,led standby,manuale dellutente,peso prodotto con supporto,pivot angle,profondità imballo,range di umidità di funzionamento,intervallo di scansione verticale,numero di lingue osd,range di scansione orizzontale,display surface,quantità displayports,colore piedi,guida utente su cdrom,sicurezza,colori display,dimensioni lxpxa con base,tipo di display,tipologia touch screen,alimentazione,altoparlanti,angolo di inclinazione,angolo di visione orizzontale,angolo di visione verticale,caratteristiche,certificato energy star,colore,connettori di ingresso,consumo energetico in standby,descrizione prodotto,dettagli dimensioni e peso,dimensioni lxpxh,interfacce,interfaccia di montaggio schermo piatto,luminosità,lunghezza diagonale,pixel pitch,potenza assorbita in esercizio,potenza di uscita canale,rapporto daspetto,regolazione posizione display,risoluzione nativa,standard ambientali,standard di conformità,supporto colore,tecnologia retroilluminazione,tipo,tipo di dispositivo,tipo di schermo,tipo schermo,indicatori led,mtbf,compatibilità sistema operativo mac,ingresso audio per pc,schermo srgb,sistema operativo windows supportato,lingue osd,controllo del volume,funzione risparmio,lunghezza cavo,numero di prodotti inclusi,pictureinpicture,posizionamento supportato,intervallo di temperatura,consumo energetico annuo,protezione per i bambini,consumo energetico max,quantità porte thunderbolt,composite sync,sync hv separato,syncongreen sog,dimensioni lxpxa,number of simultaneous touchpoints windows 7,tipo alimentazione,cavo alimentazione incluso,quantità,consumi modalità risparmio energetico,hdmi,risoluzione massima,regolazioni formato schermo,tecnologia touchscreen,comandi regolazioni,copertura schermo,tensione richiesta,velocità refresh orizzontale,velocità refresh verticale,adattatore acdc,caratteristiche sicurezza,porta rs232,tipo di prodotto,umidità,sistema operativo linux supportato,telecomando,interfaccia comune,conforme agli standard,megapixel,dimensioni imballo lxpxa,webcam girevole,common interface plus ci,porta usb
AOC LED 22 e2260Pq MONITOR LED,Si,,"40,83 cm",,Si,170°,160°,Kensington,"AC, Audio (3.5mm), DVI, VGA","CE, CU, Energy Star 6.0, EPEAT Silver, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Si,Non specificato,Bianco,"16,77M",100 x 100 mm,No,,19W,"0,5W","0,5W",,"47,664 cm","26,811 cm","55,88 cm (22"") 55,9 cm","0,282 x 0,282 mm",,16:10,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,Si,Si,-5 - 22°,Si,Si,"50,78 cm","50,78 cm",,250 cd/m²,,,Si,,,"7,22 kg",Si,Si,2W,,"24,46 cm",,,,1.0,1000:1,50000000:1,13 cm,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),Si,,,,TN,2 ms,No,W-LED,LED,,,100 - 240V,No,No,No,,,,,,,Argento,Si,1.0,"17,7 cm",,,,,Si,,,"65,2 cm",Si,,"5,65 kg",,"41,3 cm",,,,,,1.0,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,70000h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 29 29UM65-W IPS MONITOR LED,,"32,82 cm","41,82 cm",1,Si,178°,178°,,,"TCO6.0, UL(cUL), FCC-B, CE, CB, CCC, BSMI, KC, EPA, ROHS, REACH",,Non specificato,Bianco,"16,77M",100 x 100 mm,No,,30W,"0,5W","0,5W",,,,"73,66 cm (29"")","0,0876 x 0,2628 mm",,21:9,No,,,,,Si,5 - 20°,Si,,"70,25 cm","70,25 cm",,300 cd/m²,,,Si,,"5,2 kg",,Si,Si,14W,"6,38 cm","18,1 cm",1.0,,,,1000:1,5000000:1,,2560 x 1080 Pixels,"2560 x 1080, 1920 x 1080 (HD 1080)",,No,,,IPS,14 ms,No,,LED,Full HD,,100 - 240V,,,,Si,,,,,,,Si,1.0,,,,,,,,,,,Si,"6,2 kg",,,,56 - 75 Hz,,30 - 83 kHz,,,Bianco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HannsG LED 19 HX194DPB 5:4 MONITOR LED,,"40,7 cm",,,Si,170°,160°,Kensington,"AC, VGA",,,Non specificato,Nero,"16,77M",100 x 100 mm,No,,,"0,5W","0,5W",,,,"48,3 cm 48,26 cm (19"")","0,294 x 0,294 mm",,5:4,No,50/60 Hz,,,,Si,0 - 20°,Si,Si,"40,7 cm",,,250 cd/m²,,,Si,2.0,3 kg,"4,1 kg",,Si,2W,"17,8 cm",,,,,1.0,1000:1,80000000:1,,1280 x 1024 Pixels,1280 x 1024 (SXGA),,No,,,,5 ms,No,,LED,No,,100 - 240V,,,,,,,,,,,Si,1.0,"47,2 cm",,,,Si,Si,Si,0 - 40 °C,46 cm,Si,Si,,,"11,8 cm",20 - 85%,56 - 75 Hz,12.0,30 - 82 kHz,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,"DEU, DUT, ENG, ESP, FRE, ITA, KOR, POR, RUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HannsG 23.6 HE247DPB MONITOR LED,Si,399 mm,,,Si,170 °,160 °,Kensington,,"FCC, UL/CUL, CE, CB, GOST, 3C, BSMI",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,28 W,0.5 W,0.5 W,,,,"599.4 mm (23.6 "") 60 cm",0.2715 x 0.2715 mm,,16:9,N,50/60 Hz,24 - 83 kHz,55 - 75 Hz,N,Si,-5 - 15 °,Si,Si,561 mm,,,250 cd/m²,,,Si,2.0,4.5 kg,5.4 kg,Si,,3 W,220 mm,,,,,1.0,1000:1,40000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,N,,N,,5 ms,N,,LED,Full HD,,100 - 240 V,N,N,N,,,,N,,,,Si,1.0,465 mm,,,,Si,Si,,5 - 35 °C,614 mm,Si,Si,,,109 mm,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,"DEU, DUT, ENG, ESP, FRE, HEB, ITA, KOR, POL, RUS, SCR, TUR",Digitale,Si,1.5 m,1 pezzi,N,Orizzontale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS MONITOR LED 24 ASUS VS248H,Si,,412.3 mm,1,N,170 °,160 °,Kensington,"AC, DVI, VGA","CEL, UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS",Si,,Nero,16.77 M,100 x 100 mm,N,3.5 mm,32 W,0.5 W,0.5 W,,,,"61 cm 609.6 mm (24 "")",0.2768 x 0.2768 mm,,16:9,N,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,Si,20 - -5 °,,,,573.2 mm,,250 cd/m²,,"1080i, 1080p",Si,,,6.4 kg,,Si,,,205.5 mm,1.0,,,1.0,,50000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,2 ms,N,,LED,Full HD,,100 - 240 V,,N,,,,,,,,,,1.0,475 mm,,,,Si,Si,,5 - 35 °C,645 mm,,Si,4.1 kg,,140 mm,20 - 80 %,50 - 76 Hz,,30 - 83 kHz,,,,,"RoHS, WEEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER LED 24 B243HLDOwmdr Wide MONITOR LED,Si,,393 mm,,Si,170 °,160 °,,,"CE, GS, ISO 9241-307, TCO 5.0",Si,,Grigio,16.77 M,100 x 100 mm,N,,17.5 W,,0.55 W,,,,"609.6 mm (24 "") 61 cm",0.276 x 0.276 mm,,16:9,N,50/60 Hz,,,,Si,-5 - 15 °,,,,567 mm,,250 cd/m²,,,Si,2.0,7.6 kg,9.8 kg,,,2 W,,235 mm,,,,1.0,1000:1,100000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,N,.,,TN+Film,5 ms,N,,LCD,Full HD,,100 - 240 V,,,,,,,,,,,Si,,422 mm,-35 - 35 °,531 x 299 mm,,Si,Si,,0 - 40 °C,458 mm,Si,Si,,0 - 90 °,245 mm,20 - 80 %,55 - 75 Hz,8.0,30 - 80 kHz,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,30000 h,,,,,"DEU, DUT, ENG, ESP, FIN, FRE, ITA, RUS",,,,,,,-20 - 60 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung 24 S24D300H LED MONITOR LED,,"34,21 cm","41,72 cm",,No,170°,160°,No,VGA,Windows 8.1,Si,A,Nero,"16,77M",No,No,,18W,,"0,3W",,,,"60,96 cm (24"")",,,16:9,No,50/60 Hz,,,,,-1 - 20°,Si,,"56,9 cm","56,9 cm",,250 cd/m²,,,No,,"2,8 kg","4,4 kg",,No,,"5,39 cm","19,7 cm",1.0,,,1.0,1000:1,Contrasto Mega,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,TN,2 ms,No,,LED,Full HD,,100 - 240V,No,No,No,,,,,,,,,,"40,8 cm",,,,Si,,No,,"63,5 cm",,Si,"3,15 kg",,"11,1 cm",,,,,Lucida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,,,,,,,34 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC 24 e2460Sh MONITOR LED,,"41,16 cm",,,Si,170°,160°,Kensington,,"CE, TÜV-GS, CU, TCO 6.0, ISO 9241-307",Si,Non specificato,Nero,,100 x 100 mm,,,22W,"0,3W","0,5W",,,,"60,96 cm (24"") 61 cm","0,276 x 0,276 mm",,16:9,No,50/60 Hz,,,No,Si,-5 - 20°,Si,,"56,54 cm",,,250 cd/m²,,,Si,,"4,27 kg","5,56 kg",,Si,,"21,93 cm",,1.0,,,1.0,1000:1,20000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,No,,,,1 ms,,,,Full HD,,100 - 240V,,,,Si,,,,,,Oro,Si,1.0,,,,,,,,,,,,,,,,50 - 76 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS LED 24.1 PB248Q IPS 6ms.VGA.DVI.USB MONITOR LED,,362.8 mm,416.3 mm,1,,178 °,178 °,Kensington,,"Energy Star®, BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, PSB, RoHS, TCO6.0, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7), NOM",Si,,Nero,16.77 M,100 x 100 mm,,,65 W,,0.5 W,,,,"612.1 mm (24.1 "")",,,16:10,N,50/60 Hz,,,,Si,,,,557.2 mm,557.2 mm,,300 cd/m²,,,Si,,6.6 kg,,,Si,,62 mm,235 mm,1.0,,4.0,1.0,,80000000:1,Si,1920 x 1200 Pixels,,,N,.,,IPS,6 ms,,,,Full HD,,100 - 240 V,,,,,,,,,,,,1.0,439 mm,,,,,,,,681 mm,,,,,292 mm,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Thunderbolt display 27 MONITOR LED,,"49,1 cm",,,Si,178°,178°,Kensington,AC,,,Non specificato,,"16,77M",,No,,,,,,,,"68,58 cm (27"")",,,16:9,Si,50/60 Hz,,,,,,,,65 cm,,,375 cd/m²,,,Si,,10800g,,,,49W,"20,7 cm",,,3.0,,,1000:1,,,2560 x 1440 Pixels,2560 x 1440,,No,,,IPS,12 ms,No,,LED,Full HD,,100 - 240V,,Si,,,,Si,,,,,,,,,,,,,,10 - 35 °C,,,Si,,,,20 - 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,-20 - 47 °C,,,250W,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
