<page title>,brightness,colour,compliant standards,device type,dimensions wxdxh,product description,weight,aspect ratio,colour support,contrast ratio,display position adjustments,environmental standards,input connectors,manufacturer warranty,native resolution,panel type,pixel pitch,response time,builtin devices,localisation,screen coating,speakers,microsoft certification,height rack units,kvm switch,designed for,manufacturer selling program,bundled with,3d capable,energy class,energy consumption per year,diagonal size,diagonal size cm,display format,features,hdcp compatible,hdmi ports qty,image aspect ratio,lcd backlight technology,pc interface,power,power consumption operational,product type,remote control,resolution,speaker system,targeting,technology,tv tuner,video interface,video wall components qty,character resolution,digital tv tuner,usb port
OHC24 Shop : Monitor > Monitor search help > EIZO ColorEdge - CG247 21532,350 cd/m2,Black,"FCC Class B certified, TUV GS, C-Tick, ICES-003 Class B, TUV Ergo, RoHS, ISO 9241-307, WEEE, GOST-R, cTUVus, VCCI Class B","LED-backlit LCD monitor - 24.1""",57.5 cm x 24.55 cm x 41.7 cm,"EIZO ColorEdge CG247 - LED monitor - 24.1""",9.1 kg,Widescreen - 16:10,1.07 billion colours,1000:1,"Height, pivot (rotation), swivel, tilt",,"HDMI, DVI-D, DisplayPort",5 years warranty,1920 x 1200,IPS,0.27 mm,7.7 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > ASUS - VE248H 90LMC3101Q01041C-,250 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, PSB, FCC, RoHS, WEEE, GOST-R, J-MOSS, EuP Ready","LED-backlit LCD monitor - 24""",56.9 cm x 20.1 cm x 41 cm,"ASUS VE248H - LED monitor - 24""",4.4 kg,Widescreen - 16:9,16.7 million colours,10000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",3 years warranty,FullHD 1920 x 1080,,0.277 mm,2 ms,Stereo speakers,,,Integrated,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > NEC 60002932,250 cd/m2,Black,"FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2Bi, MPR III, PCT, CCC, TUV Ergo, TCO Displays 5.0, ISO 9241-307, GEEA, ErP Ready","LED-backlit LCD monitor - 23""",55 cm x 21.4 cm x 38.1 cm - with stand,"NEC MultiSync E231W - LED monitor - 23""",6.2 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 25000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",,"DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1080 at 60 Hz,TN,0.265 mm,5 ms,,,,,Certified for Windows Vista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > BenQ BL2410PT 61CM 24IN ANA/DIG FULL HD 20MIO:1 9H.L9JLB.RBE,250 cd/m2,Matte black,"TUV GS, EN 60950, TUV Ergo, ISO 9241-307, TCO Displays 6.0","LED-backlit LCD monitor - 24""",56.5 cm x 25.8 cm x 40.7 cm,"BenQ BL2410PT - LED monitor - 24""",6.7 kg,Widescreen - 16:9,16.7 million colours,3000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080,VA,0.276 mm,4 ms (grey-to-grey),Stereo speakers,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > ASUS - VS24AH 90LM00A0-B01370,300 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, FCC, RoHS, WEEE, PSE Mark, J-MOSS, ERP, TCO Displays 6.0","LED-backlit LCD monitor - 24.1""",56.16 cm x 20.55 cm x 44.09 cm - with stand,"ASUS VS24AH - LED monitor - 24.1""",4.6 kg,Widescreen - 16:10,16.7 million colours,80000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",3 years warranty,1920 x 1200,IPS,0.27 mm,5 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC E243WMI LED60.96CM 24IN ANA/DI 61 cm (24"")/ 1.920 x 60003682",250 cd/m2,White,"DDC-2B, VESA DPMS, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0","LED-backlit LCD monitor - 23.8""",55.78 cm x 21.39 cm x 37.96 cm - with stand,"NEC MultiSync E243WMI-WH - LED monitor - 23.8""",6.3 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 25000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080,IPS,0.28 mm,6 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Avocent 1U 17IN LCDCONSOLE USB TP SWIS KB ECS17KMM16-203,250 cd/m2,,"UL, VCCI, C-Tick, BSMI, GOST, ICES-003, CB, CCC, EMC, MIC, FCC, ULC, RoHS, KCC, WEEE","KVM console - 17""",44.5 cm x 65.1 cm x 4.4 cm,"Avocent LCD Console and KVM over IP Switch Integrated Tray - KVM console - 17""",14.5 kg,,16.7 million colours,1000:1,,,VGA,2 years warranty,1280 x 1024 at 60 Hz,,,,"Keyboard, touchpad , 16 port KVM switch",Switzerland,,,,1U,USB - 8 ports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 240S4LPMB/00 24"" LED 16:10 Powersensor",250 cd/m2,"Black, textured black","Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 6.0","LED-backlit LCD monitor - 24""",55.5 cm x 22.7 cm x 54.3 cm - with stand,"Philips S-line 240S4LPMB - LED monitor - 24""",5.83 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",,FullHD 1920 x 1200 at 60 Hz,,0.27 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo - 1515L Projected Capacitive E779029,225 cd/m2,Dark grey,"MPR II, UL, VCCI, C-Tick, BSMI, cUL, DEMKO, SEMKO, CCC, IC, FCC, RoHS, ICES, S Mark, KC","LCD monitor - 15""",35 cm x 17.5 cm x 31 cm - with stand,"Elo 1515L Projected Capacitive - LCD monitor - 15""",4.8 kg,4:3,16.7 million colours,500:1,,,VGA,3 years warranty,1024 x 768 at 75 Hz,,,11.7 ms,Touch-screen,Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Fujitsu - P24W-7 LED S26361-K1498-V140,300 cd/m2,Marble grey,"FCC Class B certified, TUV GS, VCCI, cUL, EN 60950, SASO, TUV S, RoHS, ISO 9241-307, WEEE, TCO '06, Directive 2004/108/EEC, EAC","LED-backlit LCD monitor - 24""",55.9 cm x 20.4 cm x 38.4 cm - with stand,"Fujitsu P24W-7 LED - LED monitor - 24""",7.1 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"2xHDMI, DVI-D, VGA, DisplayPort",,1920 x 1200,,0.27 mm,5 ms (grey-to-grey),"Stereo speakers, USB 3.0 hub",,"Anti-glare, 3H Hard Coating",Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Fujitsu Technology Solutions Display S26361-K1428-V140,300 cd/m2,Marble grey,"FCC Class B certified, TUV GS, VCCI, cUL, EN 60950, SASO, VESA FPMPMI, DDC/CI, RoHS, ISO 9241-307, WEEE, TCO Displays 5.2","LED-backlit LCD monitor - 24""",55.9 cm x 19.7 cm x 39.5 cm - with stand,"Fujitsu P Line P24W-6 LED - LED monitor - 24""",6.7 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1200,IPS,0.27 mm,5 ms,"Stereo speakers, USB Hub",,"Anti-glare, 3H Hard Coating",Integrated,Compatible with Windows 7,,,ESPRIMO P910,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1940L IntelliTouch Plus E855244,225 cd/m2,"Black, steel","UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE","LED-backlit LCD monitor - 19""",44.7 cm x 3.9 cm x 26.88 cm,"Elo Open-Frame Touchmonitors 1940L IntelliTouch Plus - LED monitor - 19""",3.4 kg,Widescreen - 16:9,16.7 million colours,1000:1,,,"DVI-D, VGA",3 years warranty,HD 1366 x 768 at 60 Hz,,,5 ms,Touch-screen,Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1937L IntelliTouch E896339,225 cd/m2,"Black, steel","UL, VCCI, C-Tick, BSMI, cUL, NOM, CCC, IC, FCC, RoHS, KCC","LCD monitor - 19""",41.5 cm x 5.1 cm x 34.3 cm,"Elo Open-Frame Touchmonitors 1937L IntelliTouch - LCD monitor - 19""",5.2 kg,5:4,16.7 million colours,800:1,,,VGA,3 years warranty,1280 x 1024 at 75 Hz,,,5 ms,Touch-screen,Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC E2260PWDA 54 > 7CM 21 > 5IN WLED 54.6 cm (21 > 5"")/",250 cd/m2,,"TUV GS, DDC-1, DDC-2B, FCC, DDC/CI, RoHS, TCO Displays 5.0, ISO 9241-307","LED-backlit LCD monitor - 21.5""",51.1 cm x 24.45 cm x 39.47 cm,"AOC Professional e2260Pwda - LED monitor - 21.5""",,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,,0.248 mm,5 ms,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > NEC 60002936,250 cd/m2,Black,"FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, MPR III, PCT, VESA EDID, CCC, TUV Ergo, DDC/CI, TCO Displays 5.0, ISO 9241-307, GEEA, ErP Ready","LED-backlit LCD monitor - 23""",54 cm x 21.5 cm x 40.1 cm - with stand,"NEC MultiSync EX231W - LED monitor - 23""",4.1 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 25000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","DVI-I, DisplayPort",3 years warranty,FullHD 1920 x 1080 at 60 Hz,TN,0.265 mm,5 ms,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC I2473PWY 60.5CM 23.8IN IPS 60.5 cm (23.8"")/ 1.920 x",250 cd/m2,"Black, silver","Plug and Play, CB, CCC, FCC, WEEE, cTUVus, CECP, TCO Displays 6.0, EPA 6.0, CEL Grade 1, China RoHS","LED-backlit LCD monitor - 23.8""",54.71 cm x 18.26 cm x 40.86 cm,"AOC I2473PWY - LED monitor - 23.8""",4.12 kg,Widescreen,16.7 million colours,,Tilt,,"HDMI, VGA",3 years warranty,FullHD 1920 x 1080 at 60 Hz,AH-IPS,0.2745 mm,5 ms (grey-to-grey); 5 ms (black-to-white),,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Lenovo ThinkVision LT2013s 60ABAAT1 19.5"" WLED 16:9 60ABAAT1CH",200 cd/m2,Business black,"FCC Class B certified, CSA, BSMI, GOST, IEC950, NEMKO, NOM, SABS, SASO, VESA FPMPMI, VESA EDID, CB, CCC, PSB, IRAM, RoHS, ISO 9241-307, JEITA, KC, Kvalitet, KUCAS, DDC-2B/CI, BELLIS, INSM","LCD monitor - 19.5""",46.7 cm x 16.07 cm x 34.24 cm,"Lenovo ThinkVision LT2013s - LCD monitor - 19.5""",2.5 kg,Widescreen - 16:9,,600:1,Tilt,"ENERGY STAR Qualified , EPEAT Gold",,3 years warranty,1600 x 900,TN,0.281 mm,5 ms,,"Liechtenstein, Switzerland",,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC EA193MI LED 48.2CM 19IN ANA/DI 48.3 cm (19"")/ 1.280 60003586",250 cd/m2,Black,"FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, ERP, TCO Displays 6.0","LED-backlit LCD monitor - 19""",40.8 cm x 21.39 cm x 38.64 cm - with stand,"NEC MultiSync EA193Mi - LED monitor - 19""",6 kg,5:4,16.7 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI, VGA, DisplayPort",3 years warranty,1280 x 1024 at 60 Hz,IPS,0.294 mm,6 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - TF1932MC-B1 TF1932MC-1,225 cd/m2,Black,"TUV, DDC-2B, VESA DPMS, CB, IP54, TUV Bauart","LED-backlit LCD monitor - 19"" - Multi-Touch",43.3 cm x 5.85 cm x 36.05 cm,"Iiyama ProLite TF1932MC-B1 - LED monitor - 19""",5.8 kg,5:4,16.7 million colours,1000:1,,ENERGY STAR Qualified,"DVI-D, VGA",,1280 x 1024,TN,0.294 mm,5 ms,Touch-screen,,7H Hard Coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > APC - LCD Console AP5719,,Black,"UL, VCCI, C-Tick, GOST, EN 60950, EN55022, NOM, VDE, IEC 60950, EN55024, CCC, RoHS, KCC, FCC Part 15 A, REACH","KVM console - 19""",48.2 cm x 66.5 cm x 4.4 cm,"APC LCD Console - KVM console - 19""",17.4 kg,,,,,,VGA,2 years warranty,1280 x 1024,,0.26 mm,,"Keyboard, touchpad",,,,,1U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions ET1517L-8CWB-0-WH-ZB-G DESKTOP E342516,250 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS","LED-backlit LCD monitor - 15""",35.8 cm x 19.7 cm x 31.9 cm - with stand,"Elo 1517L iTouch Zero-Bezel - LED monitor - 15""",4.3 kg,4:3,16.2 million colours,700:1,,,VGA,3 years warranty,1024 x 768 at 75 Hz,,,16 ms,Touch-screen,Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Epson A61B134EAG,700 cd/m2,,"FCC Class A certified, VCCI",Customer display,,Epson DMD210 - customer display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1529L AccuTouch E619005,280 cd/m2,Dark grey,"FCC Class A certified, UL, TUV GS, VCCI, C-Tick, cUL, VESA DPMS, DDC/CI, RoHS","LCD monitor - 15""",35.5 cm x 26.5 cm x 28.6 cm,"Elo Desktop Touchmonitors 1529L AccuTouch - LCD monitor - 15""",6.6 kg,4:3,16.2 million colours,400:1,,,"DVI-D, VGA",3 years warranty,1024 x 768 at 75 Hz,,,8 ms,"Touch-screen , stereo speakers",,Anti-glare,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Samsung Monitor 22"" S.master S22C450FS LS22C45UFS/EN",250 cd/m2,Matte black,"CSA, UL, TUV, VCCI, C-Tick, GOST, EN55022, NEMKO, NOM, PCBC, SASO, SIQ, CCC, AS/NZS 3548, IEC 60950-1, EN 60950-1, KCC, FCC Part 15 B Class A, KC, GB 9254-2008, GB 4943-2001 PSB, NOM-019-SCFI-1993 IRAM, GB 17625.1-2003 EMC, CSA C22.2 No. 60601-1, KN22, KN24, K60950-1","LED-backlit LCD monitor - 21.5""",50.43 cm x 21 cm x 36 cm - with stand,"Samsung S22C450F - LED monitor - 21.5""",4.84 kg,Widescreen - 16:9,16.7 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA",3 years warranty,1920 x 1080,TN,0.24825 mm,5 ms (grey-to-grey),USB Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 2401LM E263686,270 cd/m2,White,"FCC Class B certified, UL, VCCI, C-Tick, BSMI, GOST, cUL, EN55022, EN55024, CCC, EMC, RoHS, EN 60950-1, WEEE, EN 60601-1, KC, IPX1, IEC 60601-1","LED-backlit LCD monitor - colour - 24""",60.6 cm x 6.1 cm x 37.3 cm,"Elo Desktop Touchmonitors 2401LM - LED monitor - colour - 24""",8.8 kg,Widescreen - 16:9,16.7 million colours,3000:1,,,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,,,,Touch-screen,Worldwide,Anti-glare,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Iiyama B1780SD-W1 43CM 17IN LED 43.2 cm (17"")/ 1.280 x",250 cd/m2,White,"VESA DPMS, GOST-R, TUV Bauart, TCO Displays 6.0, VCCI Class B","LED-backlit LCD monitor - 17""",37 cm x 23 cm x 39.95 cm,"Iiyama ProLite B1780SD-1 - LED monitor - 17""",4.4 kg,5:4,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",,1280 x 1024,TN,0.264 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Epson A61B133EAG,690 cd/m2,,"FCC Class A certified, CSA, UL, TUV, EN 60950, VCCI-I",Customer display,16.5 cm x 11 cm x 13.5 cm,Epson DMD110BA - customer display,0.7 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - E2481HS-1 E2481HS-B1,250 cd/m2,Black,"TUV GS, DDC-2B, VESA DPMS, TCO Displays 5.0, TCO Displays 5.1, TCO Displays 5.2","LED-backlit LCD monitor - 24""",54.35 cm x 21.35 cm x 40.2 cm - with stand,"Iiyama ProLite E2481HS-1 - LED monitor - 24""",3.8 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,FullHD 1920 x 1080,TN,0.2715 mm,2 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - TF1934MC-B1X,225 cd/m2,Black,"DDC-2B, VESA DPMS, CB, TUV Bauart, IP65","LED-backlit LCD monitor - 19"" - Multi-Touch",41.6 cm x 4.65 cm x 34.45 cm,"Iiyama ProLite TF1934MC-B1X - LED monitor - 19""",4.5 kg,5:4,16.7 million colours,1000:1,,,"DVI-D, VGA",,1280 x 1024,TN,0.294 mm,5 ms,Touch-screen,,7H Hard Coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
