<page title>,aspect ratio,builtin speakers,contrast ratio,display colors,dvi,hdmi,ips,led,manufacturer,part,recommended resolution,refresh rate,screen size,viewing angle,widescreen,brightness,response time,vga,displayport,model,component,dvid duallink,svideo,minidisplay port
"ViewSonic VA2342-LED 23.0"" Monitor (VA2342-LED) - PCPartPicker Canada",16:9,No,"10,000,000:1",,1.0,,No,Yes,ViewSonic,VA2342-LED,1920 x 1080,,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"LG IPS235P-BN 60Hz 23.0"" Monitor (IPS235P-BN) - PCPartPicker Canada",16:9,No,"5,000,000:1",16700000.0,1.0,1.0,Yes,Yes,LG,IPS235P-BN,1920 x 1080,60Hz,"23""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"LG E2210P-BN 22.0"" Monitor (E2210P-BN) - PCPartPicker Canada",16:10,No,DFC 5000000:1 (1000:1),16700000.0,1.0,,No,Yes,LG,E2210P-BN,1680 x 1050,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Samsung S22A460B-1 21.5"" Monitor (S22A460B-1) - PCPartPicker Canada",16:9,No,1000:1,,1.0,,No,Yes,Samsung,S22A460B-1,1920 x 1080,,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Samsung S27A850D 27.0"" Monitor (S27A850D) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,2.0,,No,Yes,Samsung,S27A850D,2560 x 1440,,"27""",178° H x 178° V,Yes,300 cd/m²,5 ms,,1.0,,,,,
"Dell U2412M 60Hz 24.0"" Monitor (M2GCR) - PCPartPicker Canada",16:10,No,1000:1 / 2000000:1 (dynamic),16700000.0,,,Yes,Yes,Dell,"M2GCR
(or) U2412M
(or) 469-1137",1920 x 1200,60Hz,"24""",178° H x 178° V,Yes,300 cd/m²,8 ms,1.0,1.0,U2412M,,1.0,,
"Planar PXL2451MW 60Hz 23.6"" Monitor (997-6575-00) - PCPartPicker Canada",16:9,Yes,1000:1,16700000.0,1.0,1.0,No,Yes,Planar,997-6575-00,1920 x 1080,60Hz,"23.6""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,PXL2451MW,,,,
"Acer S241HL bmid 60Hz 24.0"" Monitor (UM.FS1AA.001) - PCPartPicker Canada",16:9,Yes,"ACM 100,000,000:1 (1,000:1)",16700000.0,1.0,1.0,No,Yes,Acer,UM.FS1AA.001,1920 x 1080,60Hz,"24""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,S241HL bmid,,,,
"Acer G195WAb 19.0"" Monitor (ET.CG5WP.A01) - PCPartPicker Canada",16:10,No,"ACM 50,000:1 (1,000:1)",16700000.0,,,No,No,Acer,ET.CG5WP.A01,1440 x 900,,"19""",160° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,G195WAb,,,,
"Acer V226HQLAbd 60Hz 21.5"" Monitor (UM.WV6AA.A01) - PCPartPicker Canada",16:9,No,"ACM 100,000,000:1 (3000:1)",16700000.0,1.0,,No,Yes,Acer,UM.WV6AA.A01,1920 x 1080,60Hz,"21.5""",,Yes,250 cd/m²,8 ms,1.0,,V226HQLAbd,,,,
"Samsung LS24A650SS/ZA 60Hz 24.0"" Monitor (LS24A650SS/ZA) - PCPartPicker Canada",16:9,Yes,3000:1,16700000.0,,,No,Yes,Samsung,LS24A650SS/ZA,1920 x 1080,60Hz,"24""",,Yes,250 cd/m²,8 ms,1.0,,,,,,
"Acer UM.WV6AA.A02 (V226HQL Abmd) 60Hz 21.5"" Monitor (UM.WV6AA.A02) - PCPartPicker Canada",16:9,Yes,"100,000,000:1",16700000.0,1.0,,No,Yes,Acer,UM.WV6AA.A02,1920 x 1080,60Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,8 ms,1.0,,UM.WV6AA.A02 (V226HQL Abmd),,,,
"Acer V226HQLAbmdp 60Hz 21.5"" Monitor (UM.WV6AA.A03) - PCPartPicker Canada",16:9,No,"100,000,000:1",16700000.0,1.0,,No,Yes,Acer,UM.WV6AA.A03,1920 x 1080,60Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,8 ms,1.0,1.0,V226HQLAbmdp,,,,
"HP Z22i 60Hz 21.5"" Monitor (D7Q14A4#ABA) - PCPartPicker Canada",16:9,Yes,1000:1,,,,Yes,Yes,HP,D7Q14A4#ABA,1920 x 1080,60Hz,"21.5""",,Yes,250 cd/m²,8 ms,1.0,1.0,Z22i,,1.0,,
"Planar PXL2240MW 22.0"" Monitor (997-7144-00) - PCPartPicker Canada",16:9,Yes,1000:1,16700000.0,1.0,1.0,No,No,Planar,997-7144-00,1920 x 1080,,"22""",170° H x 160° V,Yes,220 cd/m²,5 ms,1.0,,PXL2240MW,,,,
"Philips 220B4LPCB 60Hz 22.0"" Monitor (220B4LPCB) - PCPartPicker Canada",16:10,Yes,1000:1,16700000.0,1.0,,No,Yes,Philips,220B4LPCB,1680 x 1050,60Hz,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"HP ZR2740w 60Hz 27.0"" Monitor (XW476A8#ABA) - PCPartPicker Canada",16:9,No,1000:1,1070000000.0,1.0,,Yes,Yes,HP,XW476A8#ABA,2560 x 1440,60Hz,"27""",178° H x 178° V,Yes,380 cd/m²,14 ms,,1.0,ZR2740w,,,,
"Planar PL1920M 19.0"" Monitor (997-5956-00) - PCPartPicker Canada",5:4,Yes,1000:1,16700000.0,,,No,No,Planar,997-5956-00,1280 x 1024,,"19""",170° H x 160° V,No,300 cd/m²,5 ms,1.0,,PL1920M,1.0,,1.0,
"Dell P2012H 60Hz 20.0"" Monitor (469-1624) - PCPartPicker Canada",16:9,No,"DC 2,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Dell,"469-1624
(or) P2012H",1600 x 900,60Hz,"20""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,P2012H,,,,
"Eizo CG245W-BK 24.1"" Monitor (CG245W-BK) - PCPartPicker Canada",16:10,No,850:1,,2.0,,No,No,Eizo,CG245W-BK,1920 x 1200,,"24.1""",178° H x 178° V,Yes,270 cd/m²,5 ms,,1.0,,,,,
"NEC E222W-BK 22.0"" Monitor (E222W-BK) - PCPartPicker Canada",16:10,No,1000:1,,1.0,,No,No,NEC,E222W-BK,1680 x 1050,,"22""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"HP E231i 60Hz 23.0"" Monitor (F9Z10A8#ABA) - PCPartPicker Canada",16:9,Yes,"4,000,000:1",,1.0,,Yes,Yes,HP,F9Z10A8#ABA,1920 x 1080,60Hz,"23""",178° H x 178° V,Yes,250 cd/m²,8 ms,1.0,1.0,E231i,,,,
"Acer B326HUL ymiidphz 60Hz 32.0"" Monitor (UM.JB6AA.001) - PCPartPicker Canada",16:9,Yes,"ACM 100,000,000:1 (3000:1)",1070000000.0,1.0,2.0,No,No,Acer,UM.JB6AA.001,2560 x 1440,60Hz,"32""",178° H x 178° V,Yes,300 cd/m²,6 ms,,1.0,B326HUL ymiidphz,,,,
"BenQ XL2720Z 144Hz 27.0"" Monitor (XL2720Z) - PCPartPicker Canada",16:9,No,1000:1,,1.0,2.0,No,Yes,BenQ,XL2720Z,1920 x 1080,144Hz,"27""",170° H x 160° V,Yes,300 cd/m²,1 ms,1.0,1.0,,,,,
"Acer UM.HS1AA.D01 60Hz 27.0"" Monitor (UM.HS1AA.D01) - PCPartPicker Canada",16:9,No,"100,000,000:1",16700000.0,1.0,1.0,No,Yes,Acer,UM.HS1AA.D01,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,300 cd/m²,6 ms,1.0,,,,,,
"Samsung S20B300B 60Hz 20.0"" Monitor (S20B300B) - PCPartPicker Canada",16:9,No,DCR Mega 8 (1000:1),16700000.0,1.0,,No,Yes,Samsung,S20B300B,1600 x 900,60Hz,"20""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"HP Smartbuy V241 60Hz 23.6"" Monitor (E5Z68A8#ABA) - PCPartPicker Canada",16:9,No,"DRC 3,000,000:1(1000:1)",16700000.0,1.0,,No,Yes,HP,E5Z68A8#ABA,1920 x 1080,60Hz,"23.6""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,Smartbuy V241,,,,
"Lenovo ThinkVision L197 19.0"" Monitor (4434HE1) - PCPartPicker Canada",16:10,No,1000:1,16700000.0,1.0,,No,No,Lenovo,4434HE1,1440 x 900,,"19""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,ThinkVision L197,,,,
"NEC V321-2 32.0"" Monitor (V321-2) - PCPartPicker Canada",16:9,No,3000:1,,1.0,1.0,No,No,NEC,V321-2,1366 x 768,,"32""",178° H x 178° V,Yes,450 cd/m²,8 ms,2.0,,,,,1.0,
"Acer S236HLtmjj 60Hz 23.0"" Monitor (UM.VS6AA.001) - PCPartPicker Canada",16:9,Yes,"ACM 100,000,000:1 (1,000:1)",16700000.0,,2.0,Yes,Yes,Acer,UM.VS6AA.001,1920 x 1080,60Hz,"23""",178° H x 178° V,Yes,250 cd/m²,6 ms,1.0,,S236HLtmjj,,,,
"Planar PL1900 19.0"" Monitor (997-3095-00) - PCPartPicker Canada",5:4,No,700:1,16200000.0,,,No,No,Planar,997-3095-00,1280 x 1024,,"19""",150° H x 140° V,No,300 cd/m²,5 ms,1.0,,PL1900,,,,
"Acer G246HYL bmjj 60Hz 23.8"" Monitor (UM.QG6AA.001) - PCPartPicker Canada",16:9,Yes,"ACM 100,000,000:1 (1000:1)",16700000.0,1.0,1.0,Yes,Yes,Acer,UM.QG6AA.001,1920 x 1080,60Hz,"23.8""",178° H x 178° V,Yes,250 cd/m²,6 ms,1.0,,G246HYL bmjj,,,,
"ViewSonic VA705-LED 17.0"" Monitor (VA705-LED) - PCPartPicker Canada",5:4,No,"DC 10,000,000:1 (1000:1)",,,,No,Yes,ViewSonic,VA705-LED,1280 x 1024,,"17""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,,,,,,
"Samsung S24C350HL 23.6"" Monitor (S24C350HL) - PCPartPicker Canada",16:9,No,Mega Infiniti DCR (1000:1),16700000.0,,1.0,No,Yes,Samsung,S24C350HL,1920 x 1080,,"23.6""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Eizo MX270W-BK 61Hz 27.0"" Monitor (MX270W-BK) - PCPartPicker Canada",16:9,Yes,1000:1,1070000000.0,1.0,,No,No,Eizo,MX270W-BK,2560 x 1440,61Hz,"27""",,Yes,300 cd/m²,12 ms,,1.0,,,,,
"DoubleSight DS-2200WA-C 21.5"" Monitor (DS-2200WA-C) - PCPartPicker Canada",16:9,Yes,1000:1,16700000.0,2.0,,No,Yes,DoubleSight,DS-2200WA-C,1920 x 1080,,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,,,,,,,
"NEC EX231WP-BK 23.0"" Monitor (EX231wp-bk) - PCPartPicker Canada",16:9,No,3000:1,16700000.0,1.0,,No,Yes,NEC,EX231wp-bk,1920 x 1080,,"23""",178° H x 178° V,Yes,250 cd/m²,25 ms,,1.0,EX231WP-BK,,,,
"HP E3F38A8#ABA 60Hz 23.0"" Monitor (E3F38A8#ABA) - PCPartPicker Canada",16:9,Yes,1000:1,,,,No,Yes,HP,E3F38A8#ABA,1920 x 1080,60Hz,"23""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"NEC V322-PC 60Hz 32.0"" Monitor (V322-PC) - PCPartPicker Canada",16:9,No,3000:1,16700000.0,1.0,1.0,No,Yes,NEC,V322-PC,1366 x 768,60Hz,"32""",178° H x 178° V,Yes,340 cd/m²,8 ms,1.0,1.0,,,,,
"ViewSonic VG2239M-TAA 22.0"" Monitor (VG2239M-TAA) - PCPartPicker Canada",16:9,Yes,"DC 20,000,000:1 (1000:1)",,1.0,,No,Yes,ViewSonic,VG2239M-TAA,1920 x 1080,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"Eizo S1923H-BK 60Hz 19.0"" Monitor (S1923H-BK) - PCPartPicker Canada",5:4,No,"1,000:1",,1.0,,No,No,Eizo,S1923H-BK,1280 x 1024,60Hz,"19""",178° H x 178° V,No,250 cd/m²,13 ms,1.0,,,,,,
"ViewSonic VG2228wm-LED 22.0"" Monitor (VG2228wm-LED) - PCPartPicker Canada",16:9,Yes,"1000:1 static (typ); 10,000,000:1 dynamic",,1.0,,No,Yes,ViewSonic,VG2228wm-LED,1920 x 1080,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"3M C2234SW 22.0"" Monitor (98-0003-3598-8) - PCPartPicker Canada",16:10,No,1000:1,16700000.0,1.0,,No,No,3M,98-0003-3598-8,1680 x 1050,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,C2234SW,,,,
"NEC PA242W-BK 60Hz 24.0"" Monitor (PA242W-BK) - PCPartPicker Canada",16:10,No,1000:1,,1.0,1.0,Yes,Yes,NEC,PA242W-BK,1920 x 1200,60Hz,"24""",178° H x 178° V,Yes,340 cd/m²,8 ms,1.0,1.0,,,,,
"LG M2901SCBN 29.0"" Monitor (M2901SCBN) - PCPartPicker Canada",683:240,No,1200:1,16000000.0,,1.0,Yes,No,LG,M2901SCBN,1366 x 480,,"29""",178° H x 178° V,Yes,420 cd/m²,8 ms,2.0,,,,,,
"Acer V243HL DJbmd 60Hz 24.0"" Monitor (ET.FV3HP.D04) - PCPartPicker Canada",16:9,Yes,"ACM 100,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Acer,ET.FV3HP.D04,1920 x 1080,60Hz,"24""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,V243HL DJbmd,,,,
"Eizo CG246-BK 60Hz 24.0"" Monitor (CG246-BK) - PCPartPicker Canada",16:10,No,1000:1,,1.0,1.0,Yes,Yes,Eizo,CG246-BK,1920 x 1200,60Hz,"24""",178° H x 178° V,Yes,300 cd/m²,8 ms,1.0,1.0,,,,,
"NEC EA191M-BK 19.0"" Monitor (EA191M-BK) - PCPartPicker Canada",5:4,Yes,1500:1,,1.0,,No,No,NEC,EA191M-BK,1280 x 1024,,"19""",176° H x 176° V,No,250 cd/m²,25 ms,1.0,,,,,,
"Samsung NC241-T 23.6"" Monitor (NC241-T) - PCPartPicker Canada",16:9,No,,16700000.0,,,No,No,Samsung,NC241-T,1920 x 1080,,"23.6""",,Yes,300 cd/m²,5 ms,,,,,,,
"AOC i2769Vm 60Hz 27.0"" Monitor (i2769Vm) - PCPartPicker Canada",16:9,Yes,50.000.000:1 DCR (1000:1),16700000.0,,2.0,Yes,Yes,AOC,i2769Vm,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"ViewSonic VA2249S 60Hz 21.5"" Monitor (VA2249S) - PCPartPicker Canada",16:9,No,"20,000,000:1",16700000.0,1.0,,Yes,Yes,ViewSonic,VA2249S,1920 x 1080,60Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"NEC PA301W-BK 29.8"" Monitor (PA301W-BK) - PCPartPicker Canada",16:10,No,1000:1,1070000000.0,2.0,,Yes,No,NEC,PA301W-BK,2560 x 1600,,"29.8""",178° H x 178° V,Yes,350 cd/m²,7 ms,,2.0,,,,,
"Asus VX248H 60Hz 24.0"" Monitor (VX248H) - PCPartPicker Canada",16:9,No,"80,000,000:1",16700000.0,1.0,2.0,No,Yes,Asus,VX248H,1920 x 1080,60Hz,"24""",170° H x 160° V,Yes,250 cd/m²,1 ms,1.0,,,,,,
"LG 23CAV42K-BL 23.0"" Monitor (23CAV42K-BL) - PCPartPicker Canada",16:9,Yes,"5,000,000:1",,1.0,,Yes,Yes,LG,23CAV42K-BL,1920 x 1080,,"23""",178° H x 178° V,Yes,250 cd/m²,14 ms,1.0,,,,,,
"HP C9V73A8#ABA 20.0"" Monitor (C9V73A8#ABA) - PCPartPicker Canada",16:9,Yes,1000:1,,,,No,Yes,HP,C9V73A8#ABA,1600 x 900,,"20""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"NEC P241W-BK-SV 85Hz 24.0"" Monitor (P241W-BK-SV) - PCPartPicker Canada",16:10,No,1000:1,16700000.0,2.0,,Yes,No,NEC,P241W-BK-SV,1920 x 1200,85Hz,"24""",178° H x 178° V,Yes,360 cd/m²,8 ms,1.0,1.0,,,,,
"Samsung ED32C 32.0"" Monitor (ED32C) - PCPartPicker Canada",16:9,No,4000:1,16700000.0,1.0,1.0,No,Yes,Samsung,ED32C,1366 x 768,,"32""",178° H x 178° V,Yes,330 cd/m²,8 ms,1.0,,,,,,
"Samsung S27C450D 27.0"" Monitor (S27C450D) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,Samsung,S27C450D,1920 x 1080,,"27""",170° H x 160° V,Yes,300 cd/m²,5 ms,1.0,,,,,,
"Acer B273Hbmidhz 27.0"" Monitor (ET.HB3HP.002) - PCPartPicker Canada",16:9,Yes,ACM 80000:1(1000:1),16700000.0,1.0,1.0,No,No,Acer,ET.HB3HP.002,1920 x 1080,,"27""",160° H x 160° V,Yes,300 cd/m²,5 ms,1.0,,B273Hbmidhz,,,,
"NEC AS193i-BK 60Hz 19.0"" Monitor (AS193i-BK) - PCPartPicker Canada",5:4,No,1000:1,,1.0,,Yes,Yes,NEC,AS193i-BK,1280 x 1024,60Hz,"19""",178° H x 178° V,No,250 cd/m²,14 ms,1.0,,,,,,
"LG 22MB35D-B 60Hz 22.0"" Monitor (22MB35D-B) - PCPartPicker Canada",16:9,No,"DFC 5,000,000:1 (1000:1)",,1.0,,No,Yes,LG,22MB35D-B,1920 x 1080,60Hz,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Asus VS229H-P 21.5"" Monitor (VS229H-P) - PCPartPicker Canada",16:9,No,ASCR 50000000:1,16700000.0,1.0,1.0,Yes,Yes,Asus,VS229H-P,1920 x 1080,,"21.5""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Eizo CG275W-BK 27.0"" Monitor (CG275W-BK) - PCPartPicker Canada",16:9,No,850:1,1070000000.0,1.0,,Yes,No,Eizo,CG275W-BK,2560 x 1440,,"27""",178° H x 178° V,Yes,270 cd/m²,6 ms,,1.0,,,,,1.0
"Samsung S24C450BW 24.0"" Monitor (S24C450BW) - PCPartPicker Canada",16:10,No,1000:1,16700000.0,1.0,,No,Yes,Samsung,S24C450BW,1920 x 1200,,"24""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Asus VH238H 23.0"" Monitor (VH238H) - PCPartPicker Canada",16:9,Yes,"ASCR 50,000,000:1",16700000.0,1.0,1.0,No,Yes,Asus,VH238H,1920 x 1080,,"23""",170° H x 160° V,Yes,250 cd/m²,2 ms,1.0,,,,,,
"LG 27EC33V-B 60Hz 27.0"" Monitor (27EC33V-B) - PCPartPicker Canada",16:9,No,"5,000,000:1",,1.0,1.0,Yes,Yes,LG,27EC33V-B,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,200 cd/m²,5 ms,1.0,,,,,,
"Dell E2715H 60Hz 27.0"" Monitor (E2715H) - PCPartPicker Canada",16:9,No,"1,000:1",16700000.0,1.0,,Yes,Yes,Dell,E2715H,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,300 cd/m²,8 ms,1.0,1.0,,,,,
"HP C9V75A8#ABA 60Hz 23.0"" Monitor (C9V75A8#ABA) - PCPartPicker Canada",16:9,Yes,1000:1,16700000.0,,,No,Yes,HP,C9V75A8#ABA,1920 x 1080,60Hz,"23""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Samsung T27B350ND 27.0"" Monitor (T27B350ND) - PCPartPicker Canada",16:9,Yes,1000:1,,,2.0,No,Yes,Samsung,T27B350ND,1920 x 1080,,"27""",170° H x 160° V,Yes,300 cd/m²,5 ms,1.0,,,,,,
"HP LA1951g 19.0"" Monitor (EM890AA#ABA) - PCPartPicker Canada",5:4,No,1000:1,,1.0,,No,No,HP,EM890AA#ABA,1280 x 1024,,"19""",160° H x 160° V,No,250 cd/m²,5 ms,1.0,,LA1951g,,,,
"Samsung S24C650BW 60Hz 24.0"" Monitor (S24C650BW) - PCPartPicker Canada",16:10,No,1000:1,,1.0,,No,Yes,Samsung,S24C650BW,1920 x 1200,60Hz,"24""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Dell S2440L 60Hz 24.0"" Monitor (S2440L) - PCPartPicker Canada",16:9,No,"DC 8,000,000:1 (5000:1)",16700000.0,,1.0,No,Yes,Dell,S2440L,1920 x 1080,60Hz,"24""",178° H x 178° V,Yes,250 cd/m²,6 ms,1.0,,,,,,
"NEC LCD2190UXp-BK 21.3"" Monitor (LCD2190UXp-BK) - PCPartPicker Canada",4:3,No,1000:1,16700000.0,1.0,,No,No,NEC,LCD2190UXp-BK,1600 x 1200,,"21.3""",178° H x 178° V,No,300 cd/m²,16 ms,1.0,,,,,,
"ViewSonic VA2246M-LED 60Hz 22.0"" Monitor (VA2246M-LED) - PCPartPicker Canada",16:9,Yes,"10,000,000:1",,1.0,,No,Yes,ViewSonic,VA2246M-LED,1920 x 1080,60Hz,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"NEC V322 60Hz 32.0"" Monitor (V322) - PCPartPicker Canada",16:9,No,3000:1,16700000.0,1.0,1.0,No,No,NEC,V322,1366 x 768,60Hz,"32""",178° H x 178° V,Yes,340 cd/m²,8 ms,1.0,1.0,,,,1.0,
"Dell P2214H 60Hz 21.5"" Monitor (P2214H) - PCPartPicker Canada",16:9,No,1000:1,16770000.0,1.0,,Yes,Yes,Dell,P2214H,1920 x 1080,60Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,8 ms,1.0,1.0,,,,,
"HP Z24i 60Hz 24.0"" Monitor (D7P53A4#ABA) - PCPartPicker Canada",16:10,Yes,1000:1,,,,Yes,Yes,HP,D7P53A4#ABA,1920 x 1200,60Hz,"24""",178° H x 178° V,Yes,300 cd/m²,8 ms,1.0,1.0,Z24i,,1.0,,
"Samsung LE32C 60Hz 32.0"" Monitor (LE32C) - PCPartPicker Canada",16:9,No,3000:1,,1.0,2.0,No,Yes,Samsung,LE32C,1366 x 768,60Hz,"32""",178° H x 178° V,Yes,350 cd/m²,8 ms,1.0,,,,,,
"Acer B193LAJObmdh 75Hz 19.0"" Monitor (UM.CB3AA.A02) - PCPartPicker Canada",5:4,Yes,"ACM 100,000,000:1 (1,000:1)",16700000.0,1.0,,No,Yes,Acer,UM.CB3AA.A02,1280 x 1024,75Hz,"19""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,,B193LAJObmdh,,,,
"HP 23xi 60Hz 23.0"" Monitor (23xi) - PCPartPicker Canada",16:9,Yes,"10,000,000:1",,1.0,1.0,Yes,Yes,HP,23xi,1920 x 1080,60Hz,"23""",178° H x 178° V,Yes,250 cd/m²,7 ms,1.0,,,,,,
"Hannspree HT231DPBU 23.0"" Monitor (HT231DPBU) - PCPartPicker Canada",16:9,Yes,80000000:1,16700000.0,1.0,,No,No,Hannspree,HT231DPBU,1920 x 1080,,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Dell U2913WM 60Hz 29.0"" Monitor (U2913WM) - PCPartPicker Canada",21:9,No,"DC 2,000,000:1 (1000:1)",16700000.0,1.0,1.0,Yes,Yes,Dell,U2913WM,2560 x 1080,60Hz,"29""",178° H x 178° V,Yes,300 cd/m²,8 ms,1.0,2.0,,,,,
"Asus PA248Q 24.1"" Monitor (PA248Q) - PCPartPicker Canada",16:10,No,"ASCR 80,000,000:1",16700000.0,1.0,1.0,Yes,Yes,Asus,PA248Q,1920 x 1200,,"24.1""",178° H x 178° V,Yes,300 cd/m²,6 ms,1.0,1.0,,,,,
