<page title>,ac power in,aspect ratio,audio input,builtin camera,builtin speakers,cables included,certification,colour of product,contrast ratio dynamic,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display technology,dvi port,energy efficiency class,energy star certified,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,manual,pivot,pixel pitch,plug and play,power consumption standby,power consumption typical,power cord included,power led,response time,standby led,supported graphics resolutions,supported video modes,thin client installed,tilt angle,tv tuner integrated,vesa mounting interfaces compatibility,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,3d compatibility,cable lock slot,contrast ratio typical,headphone out,microphone in,package weight,rs232 ports,source datasheet,displayports quantity,dvid ports quantity,hdmi ports quantity,tilt adjustment,ac adapter included,audio output,dcin jack,mac operating systems supported,on screen display osd,packaging depth,packaging height,packaging width,quick start guide,windows operating systems supported,power consumption max,power consumption off,power consumption powersave,digital horizontal frequency,digital vertical frequency,bluetooth,epeat compliance,ethernet lan,horizontal scan range,onoff switch,quantity,screen format adjustments,swivelling,vertical scan range,wifi,hdmi,led indicators,linux operating systems supported,mean time between failures mtbf,number of products included,operating relative humidity hh,operating temperature tt,placement supported,storage relative humidity hh,storage temperature tt,viewable size horizontal,viewable size vertical,svideo inputs quantity,video dot rate,on screen display osd languages,power requirements,builtin subwoofer,headphone connectivity,number of loudspeakers,number of osd languages,pivot angle,rms rated power,separate hv sync,swivel angle range,usb 20 ports quantity,dvii ports quantity,viewable size diagonal,safety,backlight type,compliance industry standards,display srgb,feet colour,nonoperating altitude,operating altitude,pictureinpicture,usb 30 ports quantity,display viewable area hxv,pc audio in,syncongreen sog,dimensions w x d x h with stand,effective viewing area,package dimensions wxdxh,picture enhancement,volume control,maximum resolution,screen saving functions,display surface,composite video in,product type,bezel width side,analog signal format system,dimensions wxdxh,builtin microphone,card reader integrated,compatible memory cards,composite sync,mobile highdefinition link mhl,relative humidity,common interface ci,component video ypbprycbcr in,handheld remote control,common interface plus ci
ASUS VS197DE - MediaShopUK,Yes,16:9,,No No,No No,,"BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL",Black Black,50000000:1,,185 mm,LED,200 cd/m²,"469.9 mm (18.5 "")",47 cm,16.77 M,1366 x 768 pixels,,,Unspecified,Yes,,No,,No,346 mm,,,,,0.3 x 0.3 mm,,,17 W,,,5 ms,,1366 x 768,,No,-5 - 20 °,No,75 x 75 mm,1.0,90 °,50 °,Yes,,2.6 kg,,447 mm,No,Kensington Kensington,,,,3.9 kg,,. .,,,,Yes,,,,,Yes Yes,114 mm,421 mm,495 mm,,,,0.5 W,0.5 W,,,,,,30 - 80 kHz,,,,,55 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iiyama ProLite B2780HSU-2 - MediaShopUK,,16:9,,No No No,Yes Yes Yes,"AC, Audio (3.5mm), DVI, USB, VGA AC, Audio (3.5mm), DVI, USB, VGA",,Black Black,5000000:1,250 mm,,LCD,300 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,TN+Film,,Unspecified,,Full HD,Yes,438 mm,Yes,,50/60 Hz,100 - 240 V,Yes Yes,Yes,0.3113 x 0.3113 mm,,1 W,37 W,,,1 ms,,"1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)",,,-4 - 22 °,,100 x 100 mm,1.0,170 °,160 °,Yes,8 kg,,642 mm,,No,Kensington Kensington,1000:1,1,,,,. .,,1.0,1.0,Yes,,,,,Yes Yes,,,,Yes Yes,,,,,24 - 80 kHz,56 - 75 Hz,No,Silver,No,,,,,Yes,,No,,,,,,,,,,,336.2 mm,597.6 mm,,,,,No No No,3.5 mm,2 2 2,9 9,0 - 90 °,4 W 4 W 4 W,Yes,-170 - 170 °,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eizo FlexScan  21.3 inch LCD - MediaShopUK,,,,,,,,Black,,,,,300 cd/m²,"541 mm (21.3 "")",,,1600 x 1200 pixels,,,,,,,,,,,,,,,Yes,,,,,8 ms,,,,,,,,1.0,178 °,178 °,,,,,,,,900:1,,,,,,,,,,,,,,,,,,,,,,,,59 - 61 Hz,,,,,,,,,49 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,540 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VE247T - MediaShopUK,,16:9,,No No No,Yes Yes Yes,AC AC,"CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS",Black Black,1000:1,201 mm,,LED,300 cd/m²,"599.4 mm (23.6 "")",59.9 cm,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,Full HD,No,409.7 mm,,,,,Yes Yes,,0.272 x 0.272 mm,,,,,Yes Yes,2 ms,Yes Yes,1920 x 1080 (HD 1080),1080p,No,-5 - 20 °,No No,100 x 100 mm,1.0,170 °,160 °,Yes,4.4 kg,,569.4 mm,,No,Kensington Kensington,,,,7.1 kg 7.1 kg,,,,1.0,,,,,,,,175 mm 175 mm,480 mm 480 mm,638 mm 638 mm,Yes Yes,,35 W,,1 W,30 - 83 kHz,50 - 76 Hz,,,,30 - 83 kHz,Yes Yes,,,,50 - 76 Hz,,,,,,,,,,,,,,,,,,,,2 2 2,,,2 W 2 W 2 W,,,,,,"RoHS, WEEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wortmann AG Terra LED 1910W - MediaShopUK,Yes,"4:3, 16:9",Yes,No No,Yes Yes,"Audio (3.5mm), VGA Audio (3.5mm), VGA","CE, EN 60950",Black Black,5000000:1,48.5 mm,178 mm,LCD,250 cd/m²,"469.9 mm (18.5 "")",47 cm,16.77 M,1366 x 768 pixels,TN+Film,No,Unspecified,,,No,291 mm,No,357 mm,50/60 Hz,100 - 240 V,Yes Yes,,0.3 x 0.3 mm,Yes Yes,0.5 W,15 W,Yes Yes,Yes Yes,5 ms,Yes Yes,1366 x 768,,,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,,2.6 kg,450 mm,450 mm,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 82 kHz,Yes Yes,,,,55 - 75 Hz,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Edge-lit LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips C221S3UCW - MediaShopUK,,16:9,,,,,RoHS,White White,,59 mm,201 mm,LED,150 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,LCD/TFT,,Unspecified,,Full HD,No,323 mm,Yes,402 mm,50/60 Hz,100 - 120 V,,,0.248 x 0.248 mm,Yes Yes,0.3 W,10.3 W,,,5 ms,,,,,,,100 x 100 mm,,160 °,150 °,Yes,3.44 kg,3.85 kg,507 mm,507 mm,,Kensington Kensington,1000:1,,,5.13 kg,,. .,,,,Yes,,,,,Yes Yes,131 mm,461 mm,565 mm,,,,,,,,,Silver,,,Yes Yes,,,Yes,,,,Operation Operation,,30.000 h 30.000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,476.6 mm,268.1 mm,,,"CHI (SIMPL), ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), ENG, ESP, FRE, ITA, POR, RUS",,,,,,,,,,1.0,,,,W-LED,"EMC: CE Mark, IEC/EN60601-1-2 Safety: CE Mark, IEC/EN60601-1 Ergonomic/Others: JIS Z2801, WEEE",Yes,White White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELL P Series 2714H - MediaShopUK,,,,No No,No No,"AC, DisplayPort, USB, VGA AC, DisplayPort, USB, VGA","CECP, RoHS, TCO","Black, Silver Black, Silver",2000000:1,46.1 mm,204 mm,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,IPS,Yes,Unspecified,Yes,Full HD,Yes,379.9 mm,Yes,539 mm,50/60 Hz,100 - 240 V,,Yes,0.3114 x 0.3114 mm,,0.3 W,43 W,,,8 ms,,1920 x 1080 (HD 1080),,No,,No,100 x 100 mm,1.0,178 °,178 °,Yes,4.56 kg,,641.4 mm,641.4 mm,No,Yes Yes,1000:1,,,9.85 kg,,. .,1.0,1.0,,Yes,,,,,,,,,Yes Yes,,22 W,,,,,,Gold,,,,,,Yes,,,,,,,,10 - 80 %,0 - 40 °C,,5 - 90 %,-20 - 60 °C,597.9 mm,336.3 mm,,,,,,,,,,,,,4.0,,,,,,,,0 - 12192 m,0 - 5000 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG Neovo X-15W White - MediaShopUK,,,,No No,No No,,"UL/CUL,TUV/Baurt, CB, GOST-R, FCC, CE, BSMI, WEEE, RoHS, Vista/Basic",White White,,155 mm,,,320 cd/m²,"381 mm (15 "")",,,1024 x 768 pixels,,,,Yes,,,359 mm,,,,,,,0.297 x 0.297 mm,Yes Yes,2 W,36 W,,,4 ms,,,,,0 - 20 °,No,100 x 100 mm,1.0,140 °,125 °,,4.8 kg,,380 mm,,,Kensington Kensington,,,,7 kg,,,,1.0,,,,,,,,217 mm,445 mm,477 mm,,,,1 W,,,,,,,30 - 60 kHz,,,,,56 - 75 Hz,,,,,50000 h 50000 h,,10 - 90 %,0 - 40 °C,,5 - 95 %,-20 - 60 °C,,,,,,"100-240V, 50/60Hz",,,,,,,,,,,381 mm,,,"DCC 2B, DCC/CI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 22EA63V - MediaShopUK,,16:9,,No No,No No,,,Black Black,5000000:1,74 mm,178 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,IPS,Yes,Unspecified,,,Yes,307 mm,,380 mm,,,,,,Yes Yes,0.3 W,26 W,,,5 ms,,,,,,No,,,178 °,178 °,,2.5 kg,2.7 kg,500 mm,500 mm,No,,,,,3.92 kg,,. .,,,,,,,,,,125 mm,375 mm,568 mm,,,,0.3 W,,,,No,,No,,,,,,,No,,,,,,,,,,,,,,,,,No No,,,,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELL UltraSharp U2913WM LED display - MediaShopUK,,21:9,,No No,No No,"AC, DisplayPort, DVI, USB AC, DisplayPort, DVI, USB",,"Black, Silver Black, Silver",2000000:1,61.2 mm,194.2 mm,LED,300 cd/m²,"730.2 mm (28.75 "")",73.02 cm,16.77 M,2560 x 1080 pixels,IPS,Yes,Unspecified,Yes,Full HD,Yes,317 mm,Yes,487 mm,50/60 Hz,100 - 240 V,,,0.09 x 0.26 mm,,0.5 W,3 W,,,8 ms,,2560 x 1080,,No,,No,Yes,1.0,178 °,178 °,Yes,5.76 kg,,699.8 mm,699.8 mm,No,Yes Yes,1000:1,,,11.35 kg,,. .,2.0,1.0,1.0,Yes,,Yes,,,Yes Yes,,,,Yes Yes,,90 W,,,,,,Gold,,,,,,Yes,,,,,,,,10 - 80 %,0 - 40 °C,,5 - 90 %,-20 - 60 °C,672.77 mm,283.82 mm,,,,,,,,,,,,,,,,,,,Yes,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
iiyama ProLite E1706S-1 - MediaShopUK,,5:4,Yes,No No,,,"CE, TÜV-GS, VCCI-B, TCO '03",Black Black,20000:1,190 mm,,,250 cd/m²,"431.8 mm (17 "")",,,1280 x 1024 pixels,,,,Yes,,Yes,382.5 mm,,,,,Yes Yes,,0.264 x 0.264 mm,Yes Yes,1 W,20 W,,,2 ms,,,,,-5 - 20 °,No,100 x 100 mm,1.0,170 °,155 °,,3.6 kg,,371.5 mm,,,Kensington Kensington,800:1,,,,,. .,,1.0,,,,,,Yes Yes,,,,,,,,,,,,,,,24 - 80 kHz,,,,,55 - 75 Hz,,,,,,,10 - 80 %,5 - 35 °C,,5 - 85 %,-20 - 60 °C,,,,,,"AC 100 - 240 V, 50/60 Hz",,3.5 mm,,,,2 W 2 W,Yes,,,,430 mm,,,DDC 2B,,,,,,,270.3 x 337.9 mm 270.3 x 337.9 mm,,,,,,,,,,,,,,,,,,,,,,,,,
AG Neovo DR-17P - MediaShopUK,Yes,5:4,,No No,Yes Yes,"AC, S-Video, VGA AC, S-Video, VGA","CB, FCC, CE, WEEE, RoHS, REACH",White White,,175 mm,,LCD,250 cd/m²,"431.8 mm (17 "")",43.2 cm,16.77 M,1280 x 1024 pixels,,,Unspecified,,No,,398 mm,,,50/60 Hz,100 - 240 V,,,0.264 x 0.264 mm,,0.5 W,20 W,,Yes Yes,3 ms,Yes Yes,1280 x 1024 (SXGA),,No,0 - 20 °,No,"75 x 75, 100 x 100 mm",1.0,170 °,160 °,Yes,5.8 kg,6.6 kg,409 mm,,No,,1000:1,,,7.9 kg,,,,1.0,,Yes,Yes Yes,,,,,228 mm,497 mm,486 mm,Yes Yes,,,0.5 W,,24 - 82 kHz,50 - 85 Hz,,,,,,,,,,,,,,,,10 - 90 %,0 - 40 °C,,5 - 95 %,-20 - 60 °C,,,1.0,,,,,,2 2,,,3 W 3 W,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
iiyama ProLite E2483HS-B1 LED display - MediaShopUK,Yes,16:9,,No No No,Yes Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","VESA DPMS,",Black Black,5000000:1,203 mm,,LED,250 cd/m²,"609.6 mm (24 "")",60.96 cm,16.77 M,1920 x 1080 pixels,TN+Film,Yes,Unspecified,Yes,Full HD,Yes,412 mm,No,,50/60 Hz,100 - 240 V,,,0.277 x 0.277 mm,Yes Yes,0.5 W,24 W,,,2 ms,,1920 x 1080 (HD 1080),1080p,No,-5 - 22 °,No No,100 x 100 mm,1.0,170 °,160 °,Yes,3.4 kg,,565.5 mm,,No,Kensington Kensington,1000:1,1,,,,. .,,1.0,1.0,,,,,Yes Yes,Yes Yes,,,,Yes Yes,"Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64 Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64",,,,30 - 80 kHz,55 - 75 Hz,No,,No,,Yes Yes,,,,,No,,,,,,,,,,,,,,,"CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,No No No,3.5 mm,2 2 2,10 10,,4 W 4 W 4 W,Yes,,,,,"TCO, CE, TUV-GS, VCCI-B, PSE, CU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
