addr,city,class,name,phone,type
239 w broadway between walker and white sts,new york,49.0,montrachet,212 2192777,french
55 e 54th st,new york,50.0,oceana,212759 5941,seafood
100 e 63rd st,new york,51.0,park avenue cafe,212644 1900,american
182 w 58th st,new york,52.0,petrossian,212245 2214,french
35 w 64th st,new york,53.0,picholine,212724 8585,mediterranean
95 ave a at 6th st,new york,54.0,pisces,212260 6660,seafood
30 rockefeller plaza,new york,55.0,rainbow room,212632 5000,or_212632_5100_american
1 water st at the east river,brooklyn,56.0,river cafe,718522 5200,american
240 central park s,new york,57.0,san domenico,212265 5959,italian
156 2nd ave at 10th st,new york,58.0,second avenue deli,212677 0606,delicatessen
11 e 53rd st,new york,59.0,seryna,212980 9393,asian
43 w 65th st,new york,60.0,shun lee west,212371 8844,asian
1110 3rd ave at 65th st,new york,61.0,sign of the dove,212861 8080,american
201 e 49th st,new york,62.0,smith wollensky,212753 1530,american
in central park at 67th st,new york,63.0,tavern on the green,212873 3200,american
747 9th ave between 50th and 51st sts,new york,64.0,uncle nick s,212315 1726,mediterranean
21 e 16th st,new york,65.0,union square cafe,212243 4020,american
152 w 44th st,new york,66.0,virgil s,212 9219494,american
3200 las vegas blvd s,las vegas,67.0,chin s,702733 8899,asian
3799 las vegas blvd s,las vegas,68.0,coyote cafe,702891 7349,southwestern
3000 w paradise rd,las vegas,69.0,le montrachet,702732 5111,continental
3570 las vegas blvd s,las vegas,70.0,palace court,702731 7547,continental
200 e fremont st,las vegas,71.0,second street grille,702385 3232,seafood
2880 las vegas blvd s,las vegas,72.0,steak house,702734 0410,steak_houses
2245 e flamingo rd,las vegas,73.0,tillerman,702731 4036,seafood
2355 peachtree rd peachtree battle shopping center,atlanta,74.0,abruzzi,404261 8186,italian
3125 piedmont rd near peachtree rd,atlanta,75.0,bacchanalia,404365 0410,international
3130 piedmont road,atlanta,76.0,bone s,404237 2663,american
3393 peachtree rd lenox square mall near neiman marcus,atlanta,77.0,brasserie le coze,404266 1440,french
3073 piedmont road,atlanta,78.0,buckhead diner,404262 3336,american
1529 piedmont ave,atlanta,79.0,ciboulette,404874 7600,french
1 margaret mitchell sq,atlanta,80.0,delectables,404681 2909,american
2290 peachtree rd peachtree square shopping center,atlanta,81.0,georgia grille,404352 3517,american
490 e paces ferry rd,atlanta,82.0,hedgerose heights inn,404233 7673,international
595 piedmont ave rio shopping mall,atlanta,83.0,heera of india,404876 4408,asian
1397 n highland ave,atlanta,84.0,indigo coastal grill,404876 0676,caribbean
2637 peachtree rd peachtree house condominium,atlanta,85.0,la grotta,404231 1368,italian
224 ponce de leon ave,atlanta,86.0,mary mac s tea room,404876 1800,southern
255 courtland st at harris st,atlanta,87.0,nikolai s roof,404221 6362,continental
1232 w paces ferry rd,atlanta,88.0,pano s and paul s,404261 3662,international
3434 peachtree rd,atlanta,89.0,cafe ritzcarlton buckhead,404237 2700,ext_6108_international
3434 peachtree rd,atlanta,90.0,dining room ritzcarlton buckhead,404237 2700,international
181 peachtree st,atlanta,91.0,restaurant ritzcarlton atlanta,404659 0400,continental
b peachtree rd,atlanta,92.0,toulouse,404351 9533,french
41 14th st,atlanta,93.0,veni vidi vici,404875 8424,italian
126 clement st,san francisco,94.0,alain rondelli,415387 0408,french
252 california st,san francisco,95.0,aqua,415956 9662,seafood
1 mission st,san francisco,96.0,boulevard,415543 6084,american
7 claude la,san francisco,97.0,cafe claude,415392 3505,french
340 stockton st,san francisco,98.0,campton place,415955 5555,american
804 northpoint,san francisco,99.0,chez michel,415775 7036,french
777 sutter st,san francisco,100.0,fleur de lys,415673 7779,french
570 4th st,san francisco,101.0,fringale,415543 0573,french
22 hawthorne st,san francisco,102.0,hawthorne lane,415777 9779,american
5937 geary blvd,san francisco,103.0,khan toke thai house,415668 6654,asian
2316 polk st,san francisco,104.0,la folie,415776 5577,french
816 folsom st,san francisco,105.0,lulu,415495 5775,mediterranean
648 bush st,san francisco,106.0,masa s,415989 7154,french
1737 post st,san francisco,107.0,mifune japan center kintetsu building,415922 0337,asian
3201 fillmore st,san francisco,108.0,plumpjack cafe,415563 4755,mediterranean
545 post st,san francisco,109.0,postrio,415776 7825,american
600 stockton st,san francisco,110.0,ritzcarlton restaurant and dining room,415296 7465,american
532 columbus ave,san francisco,111.0,rose pistola,415399 0499,italian
23 e 22nd st,new york,191.0,bolo,212228 2200,mediterranean
251 e 53rd st,new york,267.0,il nido,212753 8450,italian
145 w 53rd st,new york,334.0,remi,212581 4242,italian
2930 beverly glen circle,los angeles,112.0,adriano s ristorante,310475 9807,italian
9570 wilshire blvd,beverly hills,113.0,barney greengrass,310777 5877,american
26025 pacific coast hwy,malibu,114.0,beaurivage,310456 5733,french
176 n canon dr,los angeles,115.0,bistro garden,310550 3900,californian
4th st,los angeles,116.0,border grill,310451 1655,mexican
3rd st promenade,santa monica,117.0,broadway deli,310451 0616,american
346 s la brea ave,los angeles,118.0,ca brea,213938 2863,italian
4100 cahuenga blvd,los angeles,119.0,ca del sol,818985 4669,italian
700 w fifth st,los angeles,120.0,cafe pinot,213239 6500,californian
207 s beverly dr,los angeles,121.0,california pizza kitchen,310275 1101,californian
419 n fairfax ave,los angeles,122.0,canter s,213651 2030,american
3rd st,los angeles,123.0,cava,213658 8898,mediterranean
656 n virgil ave,los angeles,124.0,cha cha cha,213664 7723,caribbean
310 n larchmont blvd,los angeles,125.0,chan dara,213467 1052,asian
168 w colorado blvd,los angeles,126.0,clearwater cafe,818356 0959,health_food
9500 wilshire blvd,los angeles,127.0,dining room,310275 5200,californian
10250 santa monica blvd,los angeles,128.0,dive,310788,dive_american
2628 wilshire blvd,santa monica,129.0,drago,310828 1585,italian
730 n la cienega blvd,los angeles,130.0,drai s,310358 8585,french
930 hilgard ave,los angeles,131.0,dynasty room,310208 8765,continental
8800 melrose ave,los angeles,132.0,eclipse,310724 5959,californian
134 n la cienega,los angeles,133.0,ed debevic s,310659 1952,american
1121 s western ave,los angeles,134.0,el cholo,213734 2773,mexican
2424 main st,santa monica,135.0,gilliland s,310392 3901,american
4 fish 17300 pacific coast hwy at sunset blvd,pacific palisades,136.0,gladstone s,310454 3474,american
8600 beverly blvd,los angeles,137.0,hard rock cafe,310276 7605,american
2020 ave of the stars,los angeles,138.0,harry s bar american grill,310277 2333,italian
301 n beverly dr,los angeles,139.0,il fornaio cucina italiana,310550 8330,italian
10668 w pico blvd,los angeles,140.0,jack sprat s grill,310837 6662,health_food
439 n beverly drive,los angeles,141.0,jackson s farm,310273 5578,californian
201 moreno dr,los angeles,142.0,jimmy s,310552 2394,continental
9255 sunset blvd,los angeles,143.0,joss,310276 1886,asian
8783 beverly blvd,los angeles,144.0,le colonial,310289 0660,asian
8720 sunset blvd,los angeles,145.0,le dome,310659 6919,french
4500 los feliz blvd,los angeles,146.0,louise s trattoria,213667 0777,italian
679 n spring st,los angeles,147.0,mon kee seafood restaurant,213628 6717,asian
8764 melrose ave,los angeles,148.0,morton s,310276 5205,american
414 n beverly dr,los angeles,149.0,nate n al s,310274 0101,american
601 s figueroa st,los angeles,150.0,nicola,213485 0927,american
1401 ocean ave,santa monica,151.0,ocean avenue,310394 5669,american
11705 national blvd,los angeles,152.0,orleans,310479 4187,cajun
6th st,los angeles,153.0,pacific dining car,213483 6000,american
10001 riverside dr,toluca lake,154.0,paty s,818761 9126,american
1448 n gower st,los angeles,155.0,pinot hollywood,213461 8800,californian
14928 ventura blvd,sherman oaks,156.0,posto,818784 4400,italian
362 n camden dr,los angeles,157.0,prego,310277 7346,italian
252 n beverly dr,los angeles,158.0,rj s the rib joint,310274 7427,american
3rd st promenade,santa monica,159.0,remi,310393 6545,italian
111 s san pedro st,los angeles,160.0,restaurant horikawa,213680 9355,asian
1514 n gower st,los angeles,161.0,roscoe s house of chicken n waffles,213466 9329,american
3110 main st,los angeles,162.0,schatzi on main,310399 4800,continental
3rd st,los angeles,163.0,sofi,213651 0346,mediterranean
8020 beverly blvd,los angeles,164.0,swingers,213653 5858,american
7371 melrose ave,los angeles,165.0,tavola calda,213658 6340,italian
430 n camden dr,los angeles,166.0,the mandarin,310859 0926,asian
7313 melrose ave,los angeles,167.0,tommy tang s,213937 5733,asian
3835 cross creek rd,los angeles,168.0,tra di noi,310456 0169,italian
9876 wilshire blvd,los angeles,169.0,trader vic s,310276 6345,asian
1930 north hillhurst ave,los feliz,170.0,vida,213660 4446,american
60 n venice blvd,los angeles,171.0,west beach cafe,310823 5396,american
20 mott st between bowery and pell st,new york,172.0,20 mott,212964 0380,asian
9 jones st,new york,173.0,9 jones street,212989 1220,american
700 5th ave at 55th st,new york,174.0,adrienne,212903 3918,french
322 e 14 st between 1st and 2nd aves,new york,175.0,agrotikon,212473 2602,mediterranean
937 broadway at 22nd st,new york,176.0,aja,212473 8388,american
304 e 48th st,new york,177.0,alamo,212 7590590,mexican
311 w 17th st,new york,178.0,alley s end,212627 8899,american
1 united nations plaza at 44th st,new york,179.0,ambassador grill,212702 5014,american
2 park ave at 32nd st,new york,180.0,american place,212684 2122,american
222 e 58th st between 2nd and 3rd aves,new york,181.0,anche vivolo,212308 0112,italian
206 206 e 60th st,new york,182.0,arizona,212838 0440,american
106 w houston st off thompson st,new york,183.0,arturo s,212677 3820,italian
200250 vesey st world financial center,new york,184.0,au mandarin,212385 0313,asian
1022 3rd ave between 60th and 61st sts,new york,185.0,bar anise,212355 1112,mediterranean
321 w 46th st,new york,186.0,barbetta,212246 9171,italian
123 w 52nd st,new york,187.0,ben benson s,212581 8888,american
228 8th ave between 21st and 22nd sts,new york,188.0,big cup,212206 0059,coffee_bar
948 1st ave between 52nd and 53rd sts,new york,189.0,billy s,212753 1870,american
13 1st ave near 1st st,new york,190.0,boca chica,212473 0108,latin_american
1393a 2nd ave between 72nd and 73rd sts,new york,192.0,boonthai,212249 8484,asian
420 e 59th st off 1st ave,new york,193.0,bouterin,212758 0323,french
225 varick st at clarkston st,new york,194.0,brothers barbq,212727 2775,american
240 e 58th st,new york,195.0,bruno,212688 4190,italian
25 w 40th st between 5th and 6th aves,new york,196.0,bryant park grill roof restaurant and bp cafe,212840 6500,american
103 waverly pl near washington sq,new york,197.0,c3,212254 1200,american
111 e 22nd st between park ave s and lexington ave,new york,198.0,ct,212995 8500,french
1486 2nd ave between 77th and 78th sts,new york,199.0,cafe bianco,212988 2655,coffee_bar
160 central park s,new york,200.0,cafe botanica,212484 5120,french
69 w 71st st,new york,201.0,cafe la fortuna,212724 5846,coffee_bar
200 w 70th st,new york,202.0,cafe luxembourg,212873 7411,french
2 e 61st st,new york,203.0,cafe pierre,212940 8185,french
200 park ave between 45th st and vanderbilt ave,new york,204.0,cafe centro,212818 1222,french
246 w 4th st at charles st,new york,205.0,cafe fes,212924 7653,mediterranean
81 macdougal st between houston and bleeker sts,new york,206.0,caffe dante,212982 5275,coffee_bar
46 greenwich ave,new york,207.0,caffe dell artista,212645 4431,coffee_bar
169 sullivan st between houston and bleecker sts,new york,208.0,caffe lure,212473 2642,french
119 macdougal st between 3rd and bleecker sts,new york,209.0,caffe reggio,212475 9557,coffee_bar
385 broome st at mulberry,new york,210.0,caffe roma,212226 8413,coffee_bar
32 jones st at bleecker st,new york,211.0,caffe vivaldi,212691 7538,coffee_bar
7 w 20th st,new york,212.0,caffe bondi ristorante,212691 8136,italian
451 washington st near watts st,new york,213.0,capsouto freres,212966 4900,french
860 2nd ave at 46th st,new york,214.0,captain s table,212697 9538,seafood
150 wooster st between houston and prince sts,new york,215.0,casa la femme,212505 0005,middle_eastern
45 mercer st between broome and grand sts,new york,216.0,cendrillon asian grill marimba bar,212343 9012,asian
72 macdougal st between w houston and bleecker sts,new york,217.0,chez jacqueline,212505 0727,french
160 e 48th st,new york,218.0,chiam,212371 2323,asian
60 w 53rd st,new york,219.0,china grill,212333 7788,american
120 w 51st st,new york,220.0,cite,212956 7100,french
23 e 74th st,new york,221.0,coco pazzo,212794 0205,italian
53rd sts,new york,222.0,columbus bakery,212421 0334,coffee_bar
1013 3rd ave between 60th and 61st sts,new york,223.0,corrado cafe,212753 5100,coffee_bar
522 9th ave at 39th st,new york,224.0,cupcake cafe,212465 1530,coffee_bar
164 mulberry st between grand and broome sts,new york,225.0,da nico,212343 1212,italian
121 prince st,new york,226.0,dean deluca,212254 8776,coffee_bar
341 w broadway near grand st,new york,227.0,diva,212941 9024,italian
181 w 10th st,new york,228.0,dix et sept,212645 8023,french
633 3rd ave at 40th st,new york,229.0,docks,212 9868080,seafood
157 duane st between w broadway and hudson st,new york,230.0,duane park cafe,212732 5555,american
219 w broadway between franklin and white sts,new york,231.0,el teddy s,212941 7070,mexican
1325 5th ave at 111th st,new york,232.0,em ily s,212996 1212,american
6 e 32nd st,new york,233.0,em pire korea,212725 1333,asian
2150 broadway between 75th and 76th sts,new york,234.0,ernie s,212496 1588,american
1288 1st ave at 69th st,new york,235.0,evergreen cafe,212744 3266,asian
39 desbrosses st near west st,new york,236.0,f ille ponte ristorante,212226 4621,italian
340 w broadway at grand st,new york,237.0,felix,212431 0021,french
29 e 65th st,new york,238.0,ferrier,212772 9000,french
57 e 57th st,new york,239.0,fifty seven fifty seven,212758 5757,american
635 9th ave between 44th and 45th sts,new york,240.0,film center cafe,212 2622525,american
1900 broadway between 63rd and 64th sts,new york,241.0,fiorello s roman cafe,212595 5330,italian
522 columbus ave between 85th and 86th sts,new york,242.0,firehouse,212595 3139,american
87 1st ave between 5th and 6th sts,new york,243.0,first,212674 3823,american
73 w 71st st,new york,244.0,fishin eddie,212874 3474,seafood
348 e 62nd st,new york,245.0,fleur de jour,212355 2020,coffee_bar
21 west 17th st between 5th and 6th aves,new york,246.0,flowers,212691 8888,american
6 w 24th st,new york,247.0,follonico,212691 6359,italian
54 pearl st at broad st,new york,248.0,fraunces tavern,212269 0144,american
458 6th ave at 11th st,new york,249.0,french roast,212533 2233,french
2340 broadway at 85th st,new york,250.0,french roast cafe,212799 1533,coffee_bar
402 w 43rd st off 9th ave,new york,251.0,frico bar,212564 7272,italian
467 columbus ave between 82nd and 83rd sts,new york,252.0,fujiyama mama,212769 1144,asian
685 amsterdam ave at 93rd st,new york,253.0,gabriela s,212961 0574,mexican
228 w 52nd st,new york,254.0,gallagher s,212245 5336,american
15 fulton st,new york,255.0,gianni s,212608 7300,seafood
208 e 58th st between 2nd and 3rd aves,new york,256.0,girafe,212752 3054,italian
33 93 2nd ave between 5th and 6th sts,new york,257.0,global,212477 8427,american
18 e broadway at catherine st,new york,258.0,golden unicorn,212 9410911,asian
228 thompson st between w 3rd and bleecker sts,new york,259.0,grand ticino,212777 5922,italian
151 w 54th st in the rihga royal hotel,new york,260.0,halcyon,212468 8888,american
221 w 57th st,new york,261.0,hard rock cafe,212489 6565,american
1340 1st ave at 72nd st,new york,262.0,hilife restaurant and lounge,212249 3600,american
20 cornelia st between bleecker and w 4th st,new york,263.0,home,212243 9579,american
4 world financial center,new york,264.0,hudson river club,212786 1500,american
122 e 27th st between lexington and park aves,new york,265.0,i trulli,212481 7372,italian
125 mulberry st between canal and hester sts,new york,266.0,il cortile,212226 6060,italian
492 broome st near w broadway,new york,268.0,inca grill,212966 3371,latin_american
430 lafayette st between 4th st and astor pl,new york,269.0,indochine,212505 5111,asian
82 e 3rd st between 1st and 2nd aves,new york,270.0,internet cafe,212 6140747,coffee_bar
13 w 46th st,new york,271.0,ipanema,212730 5848,latin_american
68 w 58th st,new york,272.0,jean lafitte,212751 2323,french
15 w 44th st,new york,273.0,jewel of india,212869 5544,asian
219 e 44th st between 2nd and 3rd aves,new york,274.0,jimmy sung s,212682 5678,asian
326 w 46th st,new york,275.0,joe allen,212581 6464,american
152 w 52nd st,new york,276.0,judson grill,212582 5252,american
227 e 67th st,new york,277.0,l absinthe,212794 4950,french
1191 1st ave between 64th and 65th sts,new york,278.0,l auberge,212288 8791,middle_eastern
310 w 4th st between w 12th and bank sts,new york,279.0,l auberge du midi,212242 4705,french
432 lafayette st near astor pl,new york,280.0,l udo,212388 0978,french
4 w 49th st,new york,281.0,la reserve,212247 2993,french
168 1st ave between 10th and 11th sts,new york,282.0,lanza restaurant,212674 7014,italian
361 w 46th st,new york,283.0,lattanzi ristorante,212315 0980,italian
211 w broadway at franklin st,new york,284.0,layla,212431 0700,middle_eastern
106 e 57th st,new york,285.0,le chantilly,212751 2931,french
149 e 57th st,new york,286.0,le colonial,212 7520808,asian
50 macdougal st between houston and prince sts,new york,287.0,le gamin,212254 4678,coffee_bar
25 cleveland pl near spring st,new york,288.0,le jardin,212343 9599,french
168 w 18th st,new york,289.0,le madri,212727 8022,italian
150 w 46th st,new york,290.0,le marais,212869 0900,american
405 e 52nd st,new york,291.0,le perigord,212755 6244,french
507 columbus ave between 84th and 85th sts,new york,292.0,le select,212875 1993,american
411 park ave s between 28th and 29th sts,new york,293.0,les halles,212679 4111,french
51 w 64th st,new york,294.0,lincoln tavern,212721 8271,american
30 west 22nd st between 5th and 6th ave,new york,295.0,lola,212675 6700,american
59 grand st between wooster st and w broadway,new york,296.0,lucky strike,212941 0479,or_212941_0772_american
2182 broadway between 77th and 78th sts,new york,297.0,mad fish,212787 0202,seafood
446 columbus ave between 81st and 82nd sts,new york,298.0,main street,212873 5025,american
800 9th ave at 53rd st,new york,299.0,mangia e bevi,212956 3976,italian
1161 1st ave between 63rd and 64th sts,new york,300.0,manhattan cafe,212888 6556,american
325 e 14th st between 1st and 2nd aves,new york,301.0,manila garden,212777 6314,asian
342 e 46th st between 1st and 2nd aves,new york,302.0,marichu,212370 1866,french
15 e 12th st between 5th ave and university pl,new york,303.0,marquet patisserie,212229 9313,coffee_bar
160 mercer st between houston and prince sts,new york,304.0,match,212906 9173,american
1030 3rd ave at 61st st,new york,305.0,matthew s,212838 4343,american
46 e 29th st,new york,306.0,mavalli palace,212679 5535,asian
120 w 23rd st,new york,307.0,milan cafe and coffee bar,212807 1801,coffee_bar
60 e 54th st,new york,308.0,monkey bar,212838 2600,american
1134 1st ave between 62nd and 63rd sts,new york,309.0,montien,212421 4433,asian
551 5th ave at 45th st,new york,310.0,morton s,212972 3315,american
104 w 57th st near 6th ave,new york,311.0,motown cafe,212581 8030,american
32 w 32nd st,new york,312.0,new york kom tang soot bul house,212 9478482,asian
28 12 bowery at bayard st,new york,313.0,new york noodletown,212349 0923,asian
2 w 19th st,new york,314.0,newsbar,212255 3996,coffee_bar
145 w broadway at thomas st,new york,315.0,odeon,212233 0507,american
322 w 46th st,new york,316.0,orso,212489 7212,italian
142 w 44th st,new york,317.0,osteria al droge,212944 3643,italian
68 e 56th st,new york,318.0,otabe,212223 7575,asian
138 lafayette st between canal and howard sts,new york,319.0,pacifica,212941 4168,asian
151 w 51st st,new york,320.0,palio,212245 4850,italian
1065 1st ave at 58th st,new york,321.0,pamir,212644 9258,middle_eastern
24 e 81st st,new york,322.0,parioli romanissimo,212288 2391,italian
250 park ave s at 20th st,new york,323.0,patria,212777 6211,latin_american
301 park ave between 49th and 50th sts,new york,324.0,peacock alley,212872 4895,french
205 e 45th st,new york,325.0,pen pencil,212682 8660,american
109 spring st between greene and mercer sts,new york,326.0,penang soho,212274 8883,asian
1423 2nd ave between 74th and 75th sts,new york,327.0,persepolis,212535 1100,middle_eastern
140 w 57th st,new york,328.0,planet hollywood,212333 7827,american
371 w 46th st off 9th ave,new york,329.0,pomaire,212 9563055,latin_american
551 amsterdam ave between 86th and 87th sts,new york,330.0,popover cafe,212595 8555,american
28 e 63rd st,new york,331.0,post house,212935 2888,american
100 w 82nd st,new york,332.0,rain,212501 0776,asian
439 e 75th st,new york,333.0,red tulip,212734 4893,eastern_european
37a union sq w between 16th and 17th sts,new york,335.0,republic,212627 7172,asian
126 e 7th st between 1st ave and ave a,new york,336.0,roettelle a g,212674 4140,continental
1063 1st ave at 58th st,new york,337.0,rosa mexicano,212753 7407,mexican
148 w 51st st,new york,338.0,ruth s chris,212245 9600,american
133 mulberry st between hester and grand sts,new york,339.0,spqr,212925 3120,italian
55 irving pl,new york,340.0,sal anthony s,212982 9030,italian
157 chrystie st at delancey st,new york,341.0,sammy s roumanian steak house,212673 0330,east_european
18 e 54th st,new york,342.0,san pietro,212753 9015,italian
1000 madison ave between 77th and 78th sts,new york,343.0,sant ambroeus,212570 2211,coffee_bar
423 amsterdam ave between 80th and 81st sts,new york,344.0,sarabeth s kitchen,212496 6280,american
19 w 49th st,new york,345.0,sea grill,212332 7610,seafood
3 225 e 60th st,new york,346.0,serendipity,212838 3531,american
643 park ave at 66th st,new york,347.0,seventh regiment mess and bar,212744 4107,american
58 w 65th st,new york,348.0,sfuzzi,212873 3700,american
57 w 48th st,new york,349.0,shaan,212 9778400,asian
1022 madison ave near 79th st,new york,350.0,sofia fabulous pizza,212734 2676,italian
62 spring st at lafayette st,new york,351.0,spring street natural restaurant bar,212966 0290,american
834 7th ave between 53rd and 54th sts,new york,352.0,stage deli,212245 7850,delicatessen
428 amsterdam ave between 80th and 81st sts,new york,353.0,stingray,212501 7515,seafood
76 mott st at canal st,new york,354.0,sweet n tart cafe,212334 8088,asian
143 mercer st at prince st,new york,355.0,t salon,212925 3700,coffee_bar
65 w 55th st,new york,356.0,tang pavillion,212956 6888,asian
950 8th ave at 56th st,new york,357.0,tapika,212 3973737,american
103 1st ave between 6th and 7th sts,new york,358.0,teresa s,212228 0604,east_european
400 w 119th st between amsterdam and morningside aves,new york,359.0,terrace,212666 9490,continental
350 9th ave at 49th st,new york,360.0,the coffee pot,212265 3566,coffee_bar
2420 broadway at 89th st,new york,361.0,the savannah club,212496 1066,american
900 7th ave between 56th and 57th sts,new york,362.0,trattoria dell arte,212245 9800,italian
345 e 83rd st,new york,363.0,triangolo,212472 4488,italian
375 greenwich st near franklin st,new york,364.0,tribeca grill,212941 3900,american
154 e 79th st between lexington and 3rd aves,new york,365.0,trois jean,212988 4858,coffee_bar
34 e 51st st,new york,366.0,tse yang,212688 5447,asian
386 3rd ave between 27th and 28th sts,new york,367.0,turkish kitchen,212679 1810,middle_eastern
222 w 79th st,new york,368.0,two two two,212799 0400,american
342 e 11th st near 1st ave,new york,369.0,veniero s pasticceria,212674 7264,coffee_bar
54 irving pl at 17th st,new york,370.0,verbena,212260 5454,american
52 236 w 52nd st,new york,371.0,victor s cafe,212586 7714,latin_american
70 w 68th st,new york,372.0,vince eddie s,212721 0068,american
200 e 54th st,new york,373.0,vong,212486 9592,american
500 e 30th st,new york,374.0,water club,212683 3333,american
63rd street steakhouse 44 w 63rd st,new york,375.0,west,212246 6363,american
174 1st ave between 10th and 11th sts,new york,376.0,xunta,212614 0620,mediterranean
34 union sq e at 16th st,new york,377.0,zen palate,212614 9291,and_212614_9345_asian
90 prince st between broadway and mercer st,new york,378.0,zoe,212966 6722,american
163 ponce de leon ave,atlanta,379.0,abbey,404876 8532,international
783 martin luther king jr dr,atlanta,380.0,aleck s barbecue heaven,404525 2062,barbecue
3195 roswell rd,atlanta,381.0,annie s thai castle,404264 9546,asian
3109 piedmont rd just south of peachtree rd,atlanta,382.0,anthonys,404262 7379,american
265 pharr rd,atlanta,383.0,atlanta fish market,404262 3165,american
260 e paces ferry road,atlanta,384.0,beesley s of buckhead,404264 1334,continental
3500 peachtree rd phipps plaza,atlanta,385.0,bertolini s,404233 2333,italian
1100 peachtree st,atlanta,386.0,bistango,404724 0901,mediterranean
7050 jimmy carter blvd norcross,atlanta,387.0,cafe renaissance,770441 0291,american
1186 n highland ave,atlanta,388.0,camille s,404872 7203,italian
3300 peachtree rd grand hyatt,atlanta,389.0,cassis,404365 8100,mediterranean
50 hurt plaza,atlanta,390.0,city grill,404524 2489,international
40 buckhead crossing mall on the sidney marcus blvd,atlanta,391.0,coco loco,404364 0212,caribbean
1879 cheshire bridge rd,atlanta,392.0,colonnade restaurant,404874 5642,southern
3380 peachtree rd,atlanta,393.0,dante s down the hatch buckhead,404266 1600,continental
underground underground mall underground atlanta,atlanta,394.0,dante s down the hatch,404577 1800,continental
1811 piedmont ave near cheshire bridge rd,atlanta,395.0,fat matt s rib shack,404607 1622,barbecue
923 peachtree st at 8th st,atlanta,396.0,french quarter food shop,404875 2489,southern
6359 jimmy carter blvd at buford hwy norcross,atlanta,397.0,holt bros barbq,770242 3984,barbecue
4320 powers ferry rd,atlanta,398.0,horseradish grill,404255 7277,southern
192 peachtree center ave at international blvd,atlanta,399.0,hsu s gourmet,404659 2788,asian
2285 peachtree rd peachtree battle condominium,atlanta,400.0,imperial fez,404351 0870,mediterranean
3300 peachtree rd grand hyatt,atlanta,401.0,kamogawa,404841 0314,asian
