authors,title,venue,year
h leslie r jain d birdsall h yaghmai,efficient search of multidimensional btrees,vldb,1995.0
i cruz a khokhar b liu a sistla o wolfson c yu,research activities in database management and information retrieval at the university of illinois at chicago,sigmod record,2002.0
j orenstein d kamber,accessing a relational database through an objectoriented database interface,vldb,1995.0
,interviewing during a tight job market,,2002.0
b lindsay,db2 common server technology progress directions,vldb,1995.0
n wiegand,investigating xquery for querying across database object types,sigmod record,2002.0
d konopnicki o shmueli,w3qs a query system for the worldwide web,vldb,1995.0
r orlandic j lukaszuk c swietlik,the design of a retrieval technique for highdimensional data on tertiary storage,sigmod record,2002.0
j wiener j naughton,oodb bulk loading revisited the partitionedlist approach,vldb,1995.0
,chairs message,,2002.0
h korth,the double life of the transaction abstraction fundamental principle and evolving system concept,vldb,1995.0
r fagin,combining fuzzy information an overview,sigmod record,2002.0
a reuter s ceri j gray b salzberg g weikum,databases and workflow management what is it all about panel,vldb,1995.0
b goyal j haritsa s seshadri v srinivasan,index concurrency control in firm realtime database systems,vldb,1995.0
a laender b ribeironeto a silva j teixeira,a brief survey of web data extraction tools,sigmod record,2002.0
a bestavros s braoudakis,valuecognizant speculative concurrency control,vldb,1995.0
f goethals,data warehousing and business intelligence for ecommerce book review,sigmod record,2002.0
f galiano n marn,data mining concepts and techniques book review,sigmod record,2002.0
k wu p yu j chung j teng,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,vldb,1995.0
k mogi m kitsuregawa,hot block clustering for disk arrays with dynamic striping,vldb,1995.0
k aberer,book review column,sigmod record,2002.0
r snodgrass,tods perceptions and misconceptions,sigmod record,2002.0
d jonscher k dittrich,an approach for building secure database federations,vldb,1994.0
y yao j gehrke,the cougar approach to innetwork query processing in sensor networks,sigmod record,2002.0
h jagadish d lieuwen r rastogi a silberschatz s sudarshan,dal a high performance main memory storage manager,vldb,1994.0
,introduction to constraint databases book review,,2002.0
c galindolegaria a pellenkoft m kersten,fast randomized joinorder selection why use transformations,vldb,1994.0
,foundations of statistical natural language processing book review,,2002.0
j wiener j naughton,bulk loading into an oodb a performance study,vldb,1994.0
r ng j han,efficient and effective clustering methods for spatial data mining,vldb,1994.0
f neven,automata theory for xml researchers,sigmod record,2002.0
m winslett k chang a doan j han c zhai y zhou,database research at the university of illinois at urbanachampaign,sigmod record,2002.0
e brown j callan w croft,fast incremental indexing for fulltext information retrieval,vldb,1994.0
,chairs message,,2002.0
a fu d cheung,a transaction replication scheme for a replicated database with node autonomy,vldb,1994.0
,treasurers message,,2002.0
m ouzzani m atroun n belkhodja,a topdown approach for two level serializability,vldb,1994.0
j frohn g lausen h uphoff,access to objects by path expressions and rules,vldb,1994.0
,report on the mobile search workshop at www 2002,,2002.0
r gting,graphdb modeling and querying graphs in databases,vldb,1994.0
,report on the web dynamics workshop at www 2002,,2002.0
,report on the 24th european colloquium on information retrieval research,,2002.0
a gutirrez p pucheral h steffen j thvenin,database graph views a practical model to manage persistent graphs,vldb,1994.0
a kemper d kossmann,dualbuffering strategies in object bases,vldb,1994.0
j melton j michels v josifovski k kulkarni p schwarz,sqlmed a status report,sigmod record,2002.0
m winslett,hector garciamolina speaks out,,2002.0
t johnson d shasha,2q a low overhead high performance buffer management replacement algorithm,vldb,1994.0
m barja n paton a fernandes m williams a dinn,an effective deductive objectoriented database through language integration,vldb,1994.0
s lightstone g lohman d zilio,toward autonomic computing with db2 universal database,sigmod record,2002.0
,reminiscences on influential papers,,2002.0
e baralis j widom,an algebraic approach to rule analysis in expert database systems,vldb,1994.0
,report on the semantic web workshop at www 2002,,2002.0
r agrawal r srikant,fast algorithms for mining association rules in large databases,vldb,1994.0
,ontologies a silver bullet for knowledge management and electronic commerce book review,,2002.0
e haber y ioannidis m livny,opossum desktop schema management through customizable visualization,vldb,1995.0
c goble d roure,the grid an application of the semantic web,sigmod record,2002.0
r agrawal g psaila e wimmers m zat,querying shapes of histories,vldb,1995.0
,interview with david maier,,2002.0
g evangelidis d lomet b salzberg,the hbptree a modified hbtree supporting concurrency recovery and node consolidation,vldb,1995.0
,small worlds the dynamics of networks between order and randomness book review,,2002.0
c kalus p dadam,flexible relations operational support of variant relational structures,vldb,1995.0
s sarawagi,query processing in tertiary memory databases,vldb,1995.0
t finin a joshi,agents turst and information access on the semantic web,sigmod record,2002.0
y sure s staab r studer,methodology for development and employment of ontology based knowledge management applications,sigmod record,2002.0
s brin,near neighbor search in large metric spaces,vldb,1995.0
r ramakrishnan h garciamolina g rossbach a silberschatz g wiederhold j zijlstra,scientific journals extinction or explosion panel,vldb,1995.0
h jagadish,acmsigmod digital review,sigmod record,2000.0
d buttler m coleman t critchlow r fileto w han l liu c pu d rocco l xiong,querying multiple bioinformatics data sources can semantic web research help,sigmod record,2002.0
k anyanwu a sheth,the p operator discovering and ranking associations on the semantic web,sigmod record,2002.0
a sistla c yu c liu k liu,similarity based retrieval of pictures using indices on spatial relationships,vldb,1995.0
m halkidi y batistakis m vazirgiannis,clustering validity checking methods part ii,sigmod record,2002.0
a meier,providing database migration tools a practicioners approach,vldb,1995.0
l liu,editors notes,sigmod record,2002.0
l seligman n belkin e neuhold m stonebraker g wiederhold,metrics for accessing heterogeneous data is there any hope panel,vldb,1995.0
d vaskevitch,very large databases how large how different,vldb,1995.0
k aberer,book review column,sigmod record,2002.0
s huang i kwan c li,a study on the management of semantic transaction for efficient data retrieval,sigmod record,2002.0
e simon a dittrich,promises and realities of active database systems,vldb,1995.0
j catozzi s rabinovici,os support for vldbs unix enhancements for the teradata data base,vldb,1995.0
,reminiscences on influential papers,,2002.0
m grohe,parameterized complexity for the database theorist,sigmod record,2002.0
g fecteau,managing a db2 parallel edition database,vldb,1995.0
m roantree a smeaton,research in information managment at dublin city university,sigmod record,2002.0
g hallmark,the oracle warehouse,vldb,1995.0
h spintzik,informixonline xps a dynamically scalable rdbms for open parallel platforms,vldb,1995.0
,report on the edbt02 panel on scientific data integration,,2002.0
e amiel m bellosta e dujardin e simon,supporting exceptions to schema consistency to ease schema evolution in oodbms,vldb,1994.0
w han d buttler c pu,wrapping web data into xml,sigmod record,2001.0
d suciu,on database theory and xml,sigmod record,2001.0
c collet t coupaye t svensen,naos efficient and modular reactive capabilities in an objectoriented database system,vldb,1994.0
p fankhauser,xquery formal semantics state and challenges,sigmod record,2001.0
k brown m mehta m carey m livny,towards automated performance tuning for complex workloads,vldb,1994.0
a schmidt f waas m kersten d florescu m carey i manolescu r busse,why and how to benchmark xml databases,sigmod record,2001.0
a levy i mumick y sagiv,query optimization by predicate movearound,vldb,1994.0
d lomet,the evolution of effective btree page organization and techniques a personal account,sigmod record,2001.0
w hasan r motwani,optimization algorithms for exploiting the parallelismcommunication tradeoff in pipelined parallelism,vldb,1994.0
a tanaka p valduriez,the ecobase project database and web technologies for environmental information systems,sigmod record,2001.0
m mohania n sarda,some issues in design of distributed deductive databases,vldb,1994.0
w li c clifton,semantic integration in heterogeneous databases using neural networks,vldb,1994.0
s chien v tsotras c zaniolo,xml document versioning,sigmod record,2001.0
n idris w gray r churchhouse,providing dynamic security control in a federated database,vldb,1994.0
b ludscher r marciano r moore,preservation of digital data with selfvalidating selfinstantiating knowledgebased archives,sigmod record,2001.0
,semantic web workshop models architectures and management,,2001.0
f ferrandina t meyer r zicari,implementing lazy database updates for an object database system,vldb,1994.0
m teisseire p poncelet r cicchetti,towards eventdriven modelling for database design,vldb,1994.0
,reminiscences on influential papers,,2001.0
,jeffrey d ullman speaks out on the future of higher education startups database theory and more,,2001.0
v setzer a zisman,new concurrency control algorithms for accessing and compacting btrees,vldb,1994.0
n gehani h jagadish w roome,odefs a file system interface to an objectoriented database,vldb,1994.0
,report on the 2001 sigmod and pods awards,,2001.0
p buneman w fan j simon s weinstein,constraints for semistructured data and xml,sigmod record,2001.0
c kilger g moerkotte,indexing multiple sets,vldb,1994.0
,editors notes,,2001.0
b sreenath s seshadri,the hcctree an efficient index structure for object oriented databases,vldb,1994.0
e hoel h samet,performance of dataparallel spatial operations,vldb,1994.0
a eisenberg j melton,sqlxml and the sqlx informal group of companies,sigmod record,2001.0
c biancheri j pazzaglia g paddeu,eiha deploying web and wap services using xml technology,sigmod record,2001.0
t brinkhoff h kriegel,the impact of global clustering on spatial database systems,vldb,1994.0
m shah s madden m franklin j hellerstein,java support for dataintensive systems experiences building the telegraph dataflow system,sigmod record,2001.0
a muntz c ramiller,a requirementbased approach to data modeling and reengineering,vldb,1994.0
j melton a eisenberg,sql multimedia and application packages sqlmm,sigmod record,2001.0
h steenhagen p apers h blanken r by,from nestedloop to join queries in oodb,vldb,1994.0
d gunopulos n koudas,dimacs summer school tutorial on new frontiers in data mining,sigmod record,2001.0
s chakravarthy v krishnaprasad e anwar s kim,composite events for active databases semantics contexts and detection,vldb,1994.0
,report on the 8th international workshop on knowledge representation meets databases krdb,,2001.0
b zden a biliris r rastogi a silberschatz,a lowcost storage server for movie on demand databases,vldb,1994.0
l liu,editors notes,sigmod record,2001.0
t chiueh,contentbased image indexing,vldb,1994.0
d dewitt n kabra j luo j patel j yu,clientserver paradise,vldb,1994.0
a sheth j miller k kochut i arpinar,research in multiorganizational processes and semantic information brokering at the lsdis lab,sigmod record,2001.0
u etintemel,on the academic interview circuit an endtoend discussion,sigmod record,2001.0
s sripada b wthrich,cumulative updates,vldb,1994.0
a shatdal c kant j naughton,cache conscious algorithms for relational query processing,vldb,1994.0
a labrinidis,introduction to the career forum column,sigmod record,2001.0
a levy a silberschatz d srivastava m zemankova,challenges for global information systems,vldb,1994.0
s babu j widom,continuous queries over data streams,sigmod record,2001.0
n huyn,data analysis and mining in the life sciences,sigmod record,2001.0
n goodman s rozen l stein,building a laboratory information system around a cbased objectoriented dbms,vldb,1994.0
m cochinwala j bradley,a multidatabase system for tracking and retrieval of financial data,vldb,1994.0
j shanmugasundaram e shekita j kiernan r krishnamurthy s viglas j naughton i tatarinov,a general techniques for querying xml documents using a relational database system,sigmod record,2001.0
p bernstein u dayal,an overview of repository technology,vldb,1994.0
k aberer,advanced xml data processing guest editors introduction,sigmod record,2001.0
b iyer d wilhite,data compression support in databases,vldb,1994.0
r snodgrass,accessibility of the database literature,sigmod record,2001.0
,treasurers message,,2001.0
s anand d bell j hughes,an empirical performance study of the ingres search accelerator for a large property management database system,vldb,1994.0
,chairs message,,2001.0
a rosenthal l seligman,data integration in the large the challenge of reuse,vldb,1994.0
a labrinidis a mendelzon,careerenhancing services at sigmod online,sigmod record,2001.0
m lesk,experiments on access to digital libraries how can images and text be used together,vldb,1994.0
p bernstein,pc database systems present and future,vldb,1994.0
l liu,editors notes,sigmod record,2001.0
s stolfo w lee p chan w fan e eskin,data miningbased intrusion detectors an overview of the columbia ids project,sigmod record,2001.0
b babcock c olston,distributed topk monitoring,sigmod conference,2003.0
a das j gehrke m riedewald,approximate join processing over data streams,sigmod conference,2003.0
d barbar j couto s jajodia n wu,adam a testbed for exploring the use of data mining in intrusion detection,sigmod record,2001.0
j cabrera l lewis r mehra,detection and classification of intrusions and faults using sequences of system calls,sigmod record,2001.0
w wang h jiang h lu j yu,containment join size estimation models and methods,sigmod conference,2003.0
b martin r cattell,relating distributed objects,vldb,1994.0
k aberer,book review column,sigmod record,2001.0
t yan j annevelink,integrating a structuredtext retrieval system with an objectoriented database system,vldb,1994.0
l cardelli,describing semistructured data,sigmod record,2001.0
,chairs message,,2001.0
s spaccapietra,user interfaces who cares,vldb,1994.0
,special issue on data mining for intrusion detection and threat analysis guest editors introduction,,2001.0
m zemankova y ioannidis,scientific databases state of the art and future directions,vldb,1994.0
w lee w fan,mining system audit data opportunities and challenges,sigmod record,2001.0
r fagin r kumar d sivakumar,efficient similarity search and classification via rank aggregation,sigmod conference,2003.0
y saygin v verykios c clifton,using unknowns to prevent discovery of association rules,sigmod record,2001.0
a arasu h garciamolina,extracting structured data from web pages,sigmod conference,2003.0
s chaudhuri p ganesan s sarawagi,factorizing complex predicates in queries to exploit indexes,sigmod conference,2003.0
o vel a anderson m corney g mohay,mining email content for author identification forensics,sigmod record,2001.0
,transactional information systems book review,,2001.0
i ilyas j rao g lohman d gao e lin,estimating compilation time of a query optimizer,sigmod conference,2003.0
a deligiannakis n roussopoulos,extended wavelets for multiple measures,sigmod conference,2003.0
,information warfare and security book review,,2001.0
,treasurers message,,2000.0
,gio wiederhold speaks out on moving into academia in midcareer how to be an effective consultant why you should be a program manager as a funding agency the need for ontology algebra and simulations and more,,2001.0
b babcock s babu m datar r motwani,chain operator scheduling for memory minimization in data stream systems,sigmod conference,2003.0
g lohman c galindolegaria m franklin l seligman,sigmod 2001 industry sessions,sigmod record,2001.0
m benedikt c chan w fan j freire r rastogi,capturing both types and constraints in data integration,sigmod conference,2003.0
,reminiscences on influential papers,,2001.0
t milo s abiteboul b amann o benjelloun f ngoc,exchanging intensional xml data,sigmod conference,2003.0
o tsatalos m solomon y ioannidis,the gmap a versatile tool for physical data independence,vldb,1994.0
f tian d dewitt j chen c zhang,the design and performance evaluation of alternative xml storage strategies,sigmod record,2002.0
,guest editors introduction,,2002.0
s chaudhuri k shim,including groupby in query optimization,vldb,1994.0
f matthes j schmidt,persistent threads,vldb,1994.0
r sommer t gulledge d bailey,the ntier hub technology,sigmod record,2002.0
i cingil,supporting global user profiles through trusted authorities,sigmod record,2002.0
d davison g graefe,memorycontention responsive hash joins,vldb,1994.0
c quix m schoop m jeusfeld,business data management for b2b electronic commerce,sigmod record,2002.0
m mediano m casanova m dreux,vtrees a storage method for long vector data,vldb,1994.0
t gaasterland j lobo,qualified answers that reflect user needs and preferences,vldb,1994.0
z cui d jones p obrien,semantic b2b integration issues in ontologybased applications,sigmod record,2002.0
w litwin m neimat d schneider,rp a family of order preserving scalable distributed data structures,vldb,1994.0
c bussler,the role of b2b engines in b2b integration architectures,sigmod record,2002.0
m ball m ma l raschid z zhao,supply chain infrastructures system integration and information sharing,sigmod record,2002.0
s chawathe m chen p yu,on index selection schemes for nested object hierarchies,vldb,1994.0
,interview with avi silberschatz,,2002.0
a sistla c yu r haddad,reasoning about spatial relationships in picture retrieval systems,vldb,1994.0
,what will be book review,,2002.0
h lu b ooi k tan,on spatially partitioned temporal join,vldb,1994.0
r hjelsvold r midtstraum,modelling and querying video data,vldb,1994.0
m stonebraker,too much middleware,sigmod record,2002.0
a pirotte e zimnyi d massart t yakusheva,materialization a powerful and ubiquitous abstraction pattern,vldb,1994.0
d suciu,the xml typechecking problem,sigmod record,2002.0
,report on the 18th british national conference on databases bncod,,2002.0
r ng j yang,maximizing buffer and disk utilizations for news ondemand,vldb,1994.0
,reminiscences on influential papers,,2002.0
a poulovassilis c small,investigation of algebraic query optimisation techniques for database programming languages,vldb,1994.0
z xie j han,join index hierarchies for supporting efficient navigations in objectoriented databases,vldb,1994.0
n elderini,letter to sigmod record editor,,2002.0
i kamel c faloutsos,hilbert rtree an improved rtree using fractals,vldb,1994.0
r snodgrass,why i like working in academia,sigmod record,2002.0
p vassiliadis t sellis,a survey of logical models for olap databases,sigmod record,1999.0
l lakshmanan j pei y zhao,qctrees an efficient summary structure for semantic olap,sigmod conference,2003.0
k jacob d shasha,fintime a financial time series benchmark,sigmod record,1999.0
a witkowski s bellamkonda t bozkaya g dorman n folkert a gupta l sheng s subramanian,spreadsheets in rdbms for olap,sigmod conference,2003.0
l guo f shao c botev j shanmugasundaram,xrank ranked keyword search over xml documents,sigmod conference,2003.0
t kempster c stirling p thanisch,diluting acid,sigmod record,1999.0
s alkhalifa c yu h jagadish,querying structured text in an xml database,sigmod conference,2003.0
s gatziu m jeusfeld m staudt y vassiliou,design and management of data warehouses report on the dmdw99 workshop,sigmod record,1999.0
h wang s park w fan p yu,vist a dynamic index method for querying xml data by tree structures,sigmod conference,2003.0
m franklin,editors notes,sigmod record,1999.0
r sion m atallah s prabhakar,rights protection for relational data,sigmod conference,2003.0
a eisenberg j melton,sql standardization the next steps,sigmod record,2000.0
,reminiscences on influential papers,,2000.0
r agrawal a evfimievski r srikant,information sharing across private databases,sigmod conference,2003.0
g dong j su,incremental maintenance of recursive views using relational calculussql,sigmod record,2000.0
s schleimer d wilkerson a aiken,winnowing local algorithms for document fingerprinting,sigmod conference,2003.0
t johnson t dasu,data quality and data cleaning an overview,sigmod conference,2003.0
s ceri l kalinichenko m kitsuregawa h lu z zsoyoglu r snodgrass v vianu,sigmod sister societies,sigmod record,2000.0
a gupta b ludscher m martone,birnm a semantic mediator for solving realworld neuroscience problems,sigmod conference,2003.0
r agrawal p haas j kiernan,a system for watermarking relational databases,sigmod conference,2003.0
,chairs message,,2000.0
a paepcke h garciamolina g rodrguezmul j cho,beyond document similarity understanding valuebased search and browsing technologies,sigmod record,2000.0
d abadi d carney u etintemel m cherniack c convey c erwin e galvez m hatoun a maskey a rasin a singer m stonebraker n tatbul y xing r yan s zdonik,aurora a data stream management system,sigmod conference,2003.0
j ullman,improving the efficiency of databasesystem teaching,sigmod conference,2003.0
a bonifati s ceri,comparative analysis of five xml query languages,sigmod record,2000.0
h liefke d suciu,an extensible compressor for xml data,sigmod record,2000.0
,proceedings of the 2003 acm sigmod international conference on management of data san diego california usa june 912 2003,,2003.0
c vassilakis,an optimisation scheme for coalescevalid time selection operator sequences,sigmod record,2000.0
n mamoulis,efficient processing of joins on setvalued attributes,sigmod conference,2003.0
e pourabbas m rafanelli,hierarchies and relative operators in the olap environment,sigmod record,2000.0
a jagatheesan a rajasekar,data grid management systems,sigmod conference,2003.0
r cheng d kalashnikov s prabhakar,evaluating probabilistic queries over imprecise data,sigmod conference,2003.0
j roddick l aljadir l bertossi m dumas f estrella h gregersen k hornsby j lufter f mandreoli t mnnist e mayol l wedemeijer,evolution and change in data management issues and directions,sigmod record,2000.0
c olston j jiang j widom,adaptive filters for continuous queries over distributed data streams,sigmod conference,2003.0
a labrinidis n roussopoulos,generating dynamic content at databasebacked web servers cgibin vs modperl,sigmod record,2000.0
t palpanas,knowledge discovery in data warehouses,sigmod record,2000.0
s abiteboul a bonifati g cobena i manolescu t milo,dynamic xml documents with distribution and replication,sigmod conference,2003.0
m franklin,editors notes,sigmod record,2000.0
b babcock s chaudhuri g das,dynamic sample selection for approximate query processing,sigmod conference,2003.0
j shen a ngu j shepherd d huynh q sheng,cmvf a novel dimension reduction scheme for efficient indexing in a large image database,sigmod conference,2003.0
t westmann d kossmann s helmer g moerkotte,the implementation and performance of compressed databases,sigmod record,2000.0
c bornhvd m altinel s krishnamurthy c mohan h pirahesh b reinwald,dbcache middletier database caching for highly scalable ebusiness architectures,sigmod conference,2003.0
t vetterli a vaduva m staudt,metadata standards for data warehousing open information model vs common warehouse metamodel,sigmod record,2000.0
d dehaan d toman m consens m zsu,a comprehensive xquery to sql translation using dynamic interval encoding,sigmod conference,2003.0
e clementini p felice,spatial operators,sigmod record,2000.0
,reminiscences on influential papers,,2000.0
c cranor t johnson o spatscheck v shkapenyuk,gigascope a stream database for network applications,sigmod conference,2003.0
g bierman,formal semantics and analysis of object queries,sigmod conference,2003.0
,report on second international workshop on advanced issues of ecommerce and webbased information systems,,2000.0
s arpinar a dogac,provision of market services for eco compliant electronic market places,sigmod record,2000.0
c sun d agrawal a abbadi,hardware acceleration for spatial selections and joins,sigmod conference,2003.0
f reiss t kanungo,a characterization of the sensitivity of query optimization to storage access cost parameters,sigmod conference,2003.0
,workshop on performance and architecture of web servers paws2000 held in conjection with sigmetrics2000,,2000.0
d lomet m tuttle,a theory of redo recovery,sigmod conference,2003.0
,report in isdo 00 the caise00 workshop on infrastructures for dynamic businesstobusiness service outsourcinga,,2000.0
,sigmod digital symposium collection disc editors message,,2000.0
a deshpande s nath p gibbons s seshan,cacheandquery for wide area sensor databases,sigmod conference,2003.0
c li p bohannon h korth p narayan,composing xsl transformations with xml publishing views,sigmod conference,2003.0
,sigmod2000 program chairs message,,2000.0
d papadias y tao g fu b seeger,an optimal and progressive algorithm for skyline queries,sigmod conference,2003.0
,information directors message,,2000.0
,sigmod anthology editors message,,2000.0
b cui b ooi j su k tan,contorting high dimensional data for efficient main memory processing,sigmod conference,2003.0
,chairs message,,2000.0
m stonebraker,visionary a next generation visualization system for databases,sigmod conference,2003.0
d lee w chu,comparative analysis of six xml schema languages,sigmod record,2000.0
p raghavan,extracting and exploiting structure in text search,sigmod conference,2003.0
p seshadri,building notification services with microsoft sqlserver,sigmod conference,2003.0
,vice chairs message,,2000.0
n shivakumar,google in a box building the google search appliance,sigmod conference,2003.0
h zeller,nonstop sqlmx publishsubscribe continuous data streams in transaction processing,sigmod conference,2003.0
m franklin,editors notes,sigmod record,2000.0
g colliat,data management challenges in crm,sigmod conference,2003.0
m pss c floyd,new tpc benchmarks for decision support and web commerce,sigmod record,2000.0
k goto y kambayashi,integration of electronic tickets and personal guide system for public transport using mobile terminals,sigmod conference,2003.0
j bussche,constraint databases a tutorial introduction,sigmod record,2000.0
s padmanabhan b bhattacharjee t malkemus l cranston m huras,multidimensional clustering a new data layout scheme in db2,sigmod conference,2003.0
y theodoridis m nascimento,generating spatiotemporal datasets on the www,sigmod record,2000.0
a halevy,theory of answering queries using views,sigmod record,2000.0
h kriegel s brecheisen p krger m pfeifle m schubert,using sets of feature vectors for similarity search on voxelized cad objects,sigmod conference,2003.0
a rashid p sawyer,object database evolution using separation of concerns,sigmod record,2000.0
c aggarwal,a framework for change diagnosis of data streams,sigmod conference,2003.0
s chaudhuri r kaushik j naughton,on relational support for xml publishing beyond sorting and tagging,sigmod conference,2003.0
a jhingran,moving up the food chain supporting ecommerce applications on databases,sigmod record,2000.0
,reminiscences on influential papers,,2000.0
d kim c chung,qcluster relevance feedback using adaptive clustering for contentbased image retrieval,sigmod conference,2003.0
v krishnamurthy,oracle xml db repository,sigmod conference,2003.0
,vldb workshop on technologies in eservices tes,,2000.0
,sigmod program review,,2000.0
a pruscino,oracle rac architecture and performance,sigmod conference,2003.0
a bosworth,the future of web services i,sigmod conference,2003.0
b pssas w jr m carvalho r resende,using quantitative information for efficient association rule generation,sigmod record,2000.0
f cabrera,the future of web services ii,sigmod conference,2003.0
,research and practice in federated information systems report of the efis 2000 international workshop,,2000.0
s ganguly m garofalakis r rastogi,processing set expressions over continuous update streams,sigmod conference,2003.0
m franklin,editors notes,sigmod record,2000.0
j yuen e chan k lam h leung,cache invalidation scheme for mobile computing systems with realtime data,sigmod record,2000.0
s chaudhuri k ganjam v ganti r motwani,robust and efficient fuzzy match for online data cleaning,sigmod conference,2003.0
a kementsietsidis m arenas r miller,mapping data in peertopeer systems semantics and algorithmic issues,sigmod conference,2003.0
p bernstein a halevy r pottinger,a vision of management of complex models,sigmod record,2000.0
e stolte c praun g alonso t gross,scientific data repositories designing for a moving target,sigmod conference,2003.0
,chairs message,,2000.0
a gupta d suciu,stream processing of xpath queries with predicates,sigmod conference,2003.0
,xml and information retrieval a sigir 2000 workshop,,2001.0
,report on the fourth international conference on flexible query answering systems,,2001.0
f peng s chawathe,xpath queries on streaming data,sigmod conference,2003.0
j zhang m zhu d papadias y tao d lee,locationbased spatial queries,sigmod conference,2003.0
j melton j michels v josifovski k kulkarni p schwarz k zeidenstein,sql and management of external data,sigmod record,2001.0
r miller m hernndez l haas l yan c ho r fagin l popa,the clio project managing heterogeneity,sigmod record,2001.0
s madden m franklin j hellerstein w hong,the design of an acquisitional query processor for sensor networks,sigmod conference,2003.0
j min m park c chung,xpress a queriable compression for xml data,sigmod conference,2003.0
e bertino a elmagarmid m hacid,quality of service in multimedia digital libraries,sigmod record,2001.0
c qun a lim k ong,dkindex an adaptive structural summary for graphstructured data,sigmod conference,2003.0
l feng m jeusfeld j hoppenbrouwers,towards knowledgebased digital libraries,sigmod record,2001.0
c dyreson,temporal coalescing with now granularity and incomplete information,sigmod conference,2003.0
,reminiscences on influential papers,,2001.0
,report on xewa00 the xml enabled widearea searches for bioinformatics workshop,,2001.0
y zhu d shasha,warping indexes with envelope transforms for query by humming,sigmod conference,2003.0
,chairs message,,2001.0
s melnik e rahm p bernstein,rondo a programming platform for generic model management,sigmod conference,2003.0
j kang j naughton,on schema matching with opaque column names and data values,sigmod conference,2003.0
c aggarwal,redesigning distance functions and distancebased applications for high dimensional data,sigmod record,2001.0
b he k chang,statistical schema matching across web query interfaces,sigmod conference,2003.0
j lawder p king,querying multidimensional data indexed using the hilbert spacefilling curve,sigmod record,2001.0
s cohen y matias,spectral bloom filters,sigmod conference,2003.0
c pu k schwan j walpole,infosphere project system support for information flow applications,sigmod record,2001.0
p bernstein m brodie s ceri d dewitt m franklin h garciamolina j gray g held j hellerstein h jagadish m lesk d maier j naughton h pirahesh m stonebraker j ullman,the asilomar report on database research,sigmod record,1998.0
