author_1,author_2,author_3,author_4,title,venue,year
michael christoffel,sebastian pulkowski,bethina schmitt,peter c lockemann,electronic market the roadmap for university libraries and members to survive in the information jungle,acm sigmod record,1998.0
josep domingoferrer,jordi herrerajoancomart237,,,an anonymous electronic commerce scheme with an offline authority and untrusted agents,acm sigmod record,1998.0
e forte,f haenni,k warkentyne,e duval,semantic and pedagogic interoperability mechanisms in the ariadne educational repository,acm sigmod record,1999.0
d scott mackay,,,,semantic integration of environmental models for application to global information systems and decisionmaking,acm sigmod record,1999.0
a m ouksel,a sheth,,,semantic interoperability in global information systems,acm sigmod record,1999.0
andrew eisenberg,jim melton,,,sqlj part now known as sqlolb objectlanguage bindings,acm sigmod record,1998.0
katia sycara,matthias klusch,seth widoff,jianguo lu,dynamic service matchmaking among agents in open information environments,acm sigmod record,1999.0
m p papazoglou,j hoppenbrouwers,,,contextualizing the information space in federated digital libraries,acm sigmod record,1999.0
arun hampapur,,,,semantic video indexing approach and issues,acm sigmod record,1999.0
ken smith,leo obrst,,,unpacking the semantics of source and usage to perform semantic reconciliation in largescale information systems,acm sigmod record,1999.0
mario a nascimento,claudia bauzer medeiros,,,report on the 13th brazilian symposium on database systems sbbd98,acm sigmod record,1999.0
avigdor gal,,,,semantic interoperability in information services experiencing with coopware,acm sigmod record,1999.0
jerry fowler,brad perry,marian nodine,bruce bargmeyer,agentbased semantic interoperability in infosleuth,acm sigmod record,1999.0
s bergamaschi,s castano,m vincini,,semantic integration of semistructured and structured data sources,acm sigmod record,1999.0
robert s epstein,,,,keynote address,international conference on management of data,1995.0
larry j ellison,,,,keynote address,international conference on management of data,1995.0
zahir tari,john stokes,stefano spaccapietra,,object normal forms and dependency constraints for objectoriented schemata,acm transactions on database systems tods,1997.0
veda c storey,roger h l chiang,debabrata dey,robert c goldstein,database design with common sense business reasoning and learning,acm transactions on database systems tods,1997.0
justin zobel,alistair moffat,kotagiri ramamohanarao,,inverted files versus signature files for text indexing,acm transactions on database systems tods,1998.0
sharad mehrotra,rajeev rastogi,henry f korth,abraham silberschatz,ensuring consistency in multidatabases by preserving twolevel serializability,acm transactions on database systems tods,1998.0
a prasad sistla,ouri wolfson,yelena yesha,robert sloan,towards a theory of cost management for digital libraries and electronic commerce,acm transactions on database systems tods,1998.0
david konopnicki,oded shmueli,,,information gathering in the worldwide web the w3ql query language and the w3qs system,acm transactions on database systems tods,1998.0
jing chen,limsoon wong,louxin zhang,,a protein patent query system powered by kleisli,international conference on management of data,1998.0
shaul dar,gadi entin,shai geva,eran palmon,dtls dataspot database exploration as easy as browsing the web,international conference on management of data,1998.0
xiangning liu,abdelsalam helal,weimin du,,multiview access protocols for largescale replication,acm transactions on database systems tods,1998.0
joseph m hellerstein,,,,optimization techniques for queries with expensive methods,acm transactions on database systems tods,1998.0
osmar r za239ane,jiawei han,zenian li,sonny h chee,multimediaminer a system prototype for multimedia data mining,international conference on management of data,1998.0
jang ho park,yong sik kwon,ki hong kim,sang ho lee,xmas an extensible mainmemory storage system for highperformance applications,international conference on management of data,1998.0
stefano ceri,piero fraternali,stefano paraboschi,,the idea web lab,international conference on management of data,1998.0
motomichi toyama,,,,supersql an extended sql for database publishing and presentation,international conference on management of data,1998.0
ron avnur,joseph m hellerstein,bruce lo,chris olston,control continuous output and navigation technology with refinement online,international conference on management of data,1998.0
marcel kornacker,mehul shah,joseph m hellerstein,,amdb an access method debugging tool,international conference on management of data,1998.0
zo233 lacroix,arnaud sahuguet,raman chandrasekar,,useroriented smartcache for the web what you seek is what you get,international conference on management of data,1998.0
p baumann,a dehmel,p furtado,r ritsch,the multidimensional database system rasdaman,international conference on management of data,1998.0
bartek kiepuszewski,ralf muhlberger,maria e orlowska,,flowback providing backward recovery for workflow management systems,international conference on management of data,1998.0
william w cohen,,,,providing databaselike access to the web using queries based on textual similarity,international conference on management of data,1998.0
jos233 luis ambite,naveen ashish,greg barish,craig a knoblock,ariadne a system for constructing mediators for internet sources,international conference on management of data,1998.0
chen li,ramana yerneni,vasilis vassalos,hector garciamolina,capability based mediation in tsimmis,international conference on management of data,1998.0
g mecca,p atzeni,a masci,g sindoni,the araneus webbased management system,international conference on management of data,1998.0
ling liu,calton pu,wei tang,david buttler,cq a personalized update monitoring toolkit,international conference on management of data,1998.0
chris olston,allison woodruff,alexander aiken,michael chu,datasplash,international conference on management of data,1998.0
surajit chaudhuri,vivek narasayya,,,microsoft index turning wizard for sql server 70,international conference on management of data,1998.0
edwin r lassettre,,,,olympic records for data at the 1998 nagano games,international conference on management of data,1998.0
eric a brewer,,,,delivering high availability for inktomi search engines,international conference on management of data,1998.0
sherri kennamer,,,,microsoftcom a highscale data management and transaction processing solution,international conference on management of data,1998.0
bin li,dennis shasha,,,free parallel data mining,international conference on management of data,1998.0
james chong,,,,real business processing meets the web,international conference on management of data,1998.0
john nauman,ray suorsa,,,developing a high traffi readonly web site,international conference on management of data,1998.0
daniel s whelan,,,,filenet integrated document management database usage and issues,international conference on management of data,1998.0
kamar aulakh,,,,about quark digital media system,international conference on management of data,1998.0
tirthankar lahiri,ashok joshi,amit jasuja,sumanta chatterjee,5 000 users on an oracle8 universal server database,international conference on management of data,1998.0
richard anderson,gopalan arun,richard frank,,oracle rdbs record caching model,international conference on management of data,1998.0
kiansing ng,huan liu,hweebong kwah,,a data mining application customer retention at the port of singapore authority psa,international conference on management of data,1998.0
arvola chan,,,,transactional publishsubscribe the proactive multicast of database changes abstract,international conference on management of data,1998.0
satish ramakrishnan,vibha dayal,,,the pointcast network abstract,international conference on management of data,1998.0
michael franklin,stan zdonik,,,data in your face push technology in perspective,international conference on management of data,1998.0
peter spiro,,,,ubiquitou selftunin scalable servers,international conference on management of data,1998.0
c gregory doherty,,,,database systems management and oracle8,international conference on management of data,1998.0
chris eaton,,,,managing large systems with db2 udb,international conference on management of data,1998.0
berthold reinwald,hamid pirahesh,,,sql open heterogeneous data access,international conference on management of data,1998.0
seth white,rick cattell,shel finkelstein,,enterprise java platform data access,international conference on management of data,1998.0
jos233 a blakeley,michael j pizzo,,,microsoft universal data access platform,international conference on management of data,1998.0
gray clossman,phil shaw,mark hapner,johannes klein,java and relational databases tutorial sqlj,international conference on management of data,1998.0
stefan berchtold,daniel a keim,,,highdimensional index structures database support for next decades applications tutorial,international conference on management of data,1998.0
nabil r adam,yelena yesha,,,electronic commerce tutorial,international conference on management of data,1998.0
alfons kemper,donald kossmann,florian matthes,,sap r3 tutorial a database application system,international conference on management of data,1998.0
michael stonebraker,,,,are we working on the right problems panel,international conference on management of data,1998.0
john mylopoulos,,,,next generation database systems wont work without semantics panel,international conference on management of data,1998.0
per197ke larson,goetz graefe,,,memory management during run generation in external sorting,international conference on management of data,1998.0
todd anderson,yuri breitbart,henry f korth,avishai wool,replicatio consistenc and practicality are these mutually exclusive,international conference on management of data,1998.0
yossi matias,jeffrey scott vitter,min wang,,waveletbased histograms for selectivity estimation,international conference on management of data,1998.0
david lomet,gerhard weikum,,,efficient transparent application recovery in clientserver information systems,international conference on management of data,1998.0
gurmeet singh manku,sridhar rajagopalan,bruce g lindsay,,approximate medians and other quantiles in one pass and with limited memory,international conference on management of data,1998.0
surajit chaudhuri,rajeev motwani,vivek narasayya,,random sampling for histogram construction how much is enough,international conference on management of data,1998.0
s adali,p bonatti,m l sapino,v s subrahmanian,a multisimilarity algebra,international conference on management of data,1998.0
mary fern225ndez,daniela florescu,jaewoo kang,alon levy,catching the boat with strudel experiences with a website management system,international conference on management of data,1998.0
michael jaedicke,bernhard mitschang,,,on parallel processing of aggregate and scalar functions in objectrelational dbms,international conference on management of data,1998.0
michael godfrey,tobias mayr,praveen seshadri,thorsten von eicken,secure and portable database extensibility,international conference on management of data,1998.0
surajit chaudhuri,rajeev motwani,vivek narasayya,,on random sampling over joins,international conference on management of data,1999.0
gurmeet singh manku,sridhar rajagopalan,bruce g lindsay,,random sampling techniques for space efficient online computation of order statistics of large datasets,international conference on management of data,1999.0
peter j haas,joseph m hellerstein,,,ripple joins for online aggregation,international conference on management of data,1999.0
swarup acharya,phillip b gibbons,viswanath poosala,sridhar ramaswamy,join synopses for approximate query answering,international conference on management of data,1999.0
daniela florescu,alon levy,ioana manolescu,dan suciu,query optimization in the presence of limited access patterns,international conference on management of data,1999.0
zachary g ives,daniela florescu,marc friedman,alon levy,an adaptive query execution system for data integration,international conference on management of data,1999.0
chenchuan k chang,h233ctor garc237amolina,,,mind your vocabulary query mapping across heterogeneous information sources,international conference on management of data,1999.0
arunprasad p marathe,kenneth salem,,,query processing techniques for arrays,international conference on management of data,1999.0
johannes gehrke,venkatesh ganti,raghu ramakrishnan,weiyin loh,boatoptimistic decision tree construction,international conference on management of data,1999.0
laks v s lakshmanan,raymond ng,jiawei han,alex pang,optimization of constrained frequent set queries with 2variable constraints,international conference on management of data,1999.0
jeffrey scott vitter,min wang,,,approximate computation of multidimensional aggregates of sparse data using wavelets,international conference on management of data,1999.0
ashraf aboulnaga,surajit chaudhuri,,,selftuning histograms building histograms without looking at data,international conference on management of data,1999.0
cheeyong chan,yannis e ioannidis,,,an efficient bitmap encoding scheme for selection queries,international conference on management of data,1999.0
juhong lee,deokhwan kim,chinwan chung,,multidimensional selectivity estimation using compressed histogram information,international conference on management of data,1999.0
bj246rn blohsfeld,dieter korus,bernhard seeger,,a comparison of selectivity estimators for range queries on metric attributes,international conference on management of data,1999.0
mingchuan wu,,,,query optimization for selections using bitmaps,international conference on management of data,1999.0
charu c aggarwal,joel l wolf,philip s yu,cecilia procopiuc,fast algorithms for projected clustering,international conference on management of data,1999.0
david lomet,mark tuttle,,,logical logging to extend recovery to new domains,international conference on management of data,1999.0
jayavel shanmugasundaram,arvind nithrakashyap,rajendran sivasankaran,krithi ramamritham,efficient concurrency control for broadcast environments,international conference on management of data,1999.0
yuri breitbart,raghavan komondoor,rajeev rastogi,s seshadri,update propagation protocols for replicated databates,international conference on management of data,1999.0
hasan m jamil,,,,belief reasoning in mls deductive databases,international conference on management of data,1999.0
s adali,m l sapino,v s subrahmanian,,a multimedia presentation algebra,international conference on management of data,1999.0
h v jagadish,laks v s lakshmanan,tova milo,divesh srivastava,querying network directories,international conference on management of data,1999.0
christian hidber,,,,online association rule mining,international conference on management of data,1999.0
s castano,v de antonellis,m g fugini,b pernici,conceptual schema analysis techniques and applications,acm transactions on database systems tods,1998.0
elisa bertino,claudio bettini,elena ferrari,pierangela samarati,an access control model supporting periodicity constraints and temporal reasoning,acm transactions on database systems tods,1998.0
a formica,h d groger,m missikoff,,an efficient method for checking objectoriented database schema correctness,acm transactions on database systems tods,1998.0
nikos mamoulis,dimitris papadias,,,integration of spatial join algorithms for processing multiple inputs,international conference on management of data,1999.0
swarup acharya,viswanath poosala,sridhar ramaswamy,,selectivity estimation in spatial databases,international conference on management of data,1999.0
kaushik chakrabarti,sharad mehrotra,,,efficient concurrency control in multidimensional access methods,international conference on management of data,1999.0
h v jagadish,laks v s lakshmanan,divesh srivastava,,snakes and sandwiches optimal clustering strategies for a data warehouse,international conference on management of data,1999.0
mihael ankerst,markus m breunig,hanspeter kriegel,j246rg sander,optics ordering points to identify the clustering structure,international conference on management of data,1999.0
kimberly keeton,david a patterson,joseph m hellerstein,,a case for intelligent disks idisks,acm sigmod record,1998.0
g kappel,w retschitzegger,,,the trigs active objectoriented database system an overview,acm sigmod record,1998.0
richard snodgrass,,,,reminiscences on influential papers,acm sigmod record,1998.0
david lomet,,,,btree page size when caching is considered,acm sigmod record,1998.0
david lomet,roger barga,surajit chaudhuri,paul larson,the microsoft database research group,acm sigmod record,1998.0
shihfu chang,luis gravano,gail e kaiser,kenneth a ross,database research at columbia university,acm sigmod record,1998.0
daniela florescu,alon levy,alberto mendelzon,,database techniques for the worldwide web a survey,acm sigmod record,1998.0
andrew eisenberg,jim melton,,,standards in practice,acm sigmod record,1998.0
peter z revesz,,,,safe query languages for constraint databases,acm transactions on database systems tods,1998.0
curtis e dyreson,richard thomas snodgrass,,,supporting validtime indeterminacy,acm transactions on database systems tods,1998.0
m tork roth,m arya,l haas,m carey,the garlic project,international conference on management of data,1996.0
a biliris,t a funkhouser,w oconnell,e panagos,bess storage support for interactive visualization systems,international conference on management of data,1996.0
timothy griffin,bharat kumar,,,algebraic change propagation for semijoin and outerjoin queries,acm sigmod record,1998.0
king lum cheung,ada waichee fu,,,enhanced nearest neighbour search on the rtree,acm sigmod record,1998.0
alex borgida,vinay k chaudhri,martin staudt,,report on the 5th international workshop on knowledge representation meets databases krdb98,acm sigmod record,1998.0
alexei p stolboushkin,michael a taitslin,,,safe stratified datalog with integer order does not have syntax,acm transactions on database systems tods,1998.0
jaiwei han,youngjian fu,wei wang,jenny chiang,dbminer interactive mining of multiplelevel knowledge in relational databases,international conference on management of data,1996.0
s choo,w oconnell,g linerman,h chen,prospector a contentbased multimedia server for massively parallel architectures,international conference on management of data,1996.0
mark lefler,mark stokrp,craig wong,,dbsim a simulation tool for predicting database performance,international conference on management of data,1996.0
dallan quass,jennifer widom,roy goldman,kevin haas,lore a lightweight object repository for semistructured data,international conference on management of data,1996.0
patrick c k hung,helen p yeung,kamalakar karlapalem,,capbasedams a capabilitybased and eventdriven activity management system,international conference on management of data,1996.0
e a rundensteiner,h a kuno,yg ra,v crestanataube,the multiview project objectoriented view technology and applications,international conference on management of data,1996.0
asuman dogac,ugur halici,ebru kilic,gokhan ozhan,metu interoperable database system,international conference on management of data,1996.0
takeshi fukuda,yasuhiko morimoto,shinichi morishita,takeshi tokuyama,sonar system for optimized numeric association rules,international conference on management of data,1996.0
pillip a bernstein,,,,repository system engineering,international conference on management of data,1996.0
daniel a keim,,,,databases and visualization,international conference on management of data,1996.0
markos zaharioudakis,michael j carey,michael j franklin,,adaptiv finegrained sharing in a clientserver oodbms a callbackbased approach,acm transactions on database systems tods,1997.0
phil fernandez,donovan schneider,,,the ins and outs and everything in between of data warehousing,international conference on management of data,1996.0
peter piatko,roman yangarber,daoi lin,dennis shasha,thinksheet a tool for tailoring complex documents,international conference on management of data,1996.0
klemens b246hm,karl aberer,,,hyperstormadministering structured documents using objectoriented database technology,international conference on management of data,1996.0
c mohan,,,,state of the art in workflow management research and products,international conference on management of data,1996.0
jiawei han,,,,data mining techniques,international conference on management of data,1996.0
sihem ameryahia,sungran cho,laks v s lakshmanan,divesh srivastava,minimization of tree pattern queries,international conference on management of data,2001.0
ling ling yan,ren233e j miller,laura m haas,ronald fagin,datadriven understanding and refinement of schema mappings,international conference on management of data,2001.0
assaf schuster,ran wolff,,,communicationefficient distributed mining of association rules,international conference on management of data,2001.0
lise getoor,benjamin taskar,daphne koller,,selectivity estimation using probabilistic models,international conference on management of data,2001.0
yileh wu,divyakant agrawal,amr el abbadi,,applying the golden rule of sampling for query estimation,international conference on management of data,2001.0
benjamin nguyen,serge abiteboul,gr233gory cobena,miha237 preda,monitoring xml data on the web,international conference on management of data,2001.0
chun zhang,jeffrey naughton,david dewitt,qiong luo,on supporting containment queries in relational database management systems,international conference on management of data,2001.0
igor tatarinov,zachary g ives,alon y halevy,daniel s weld,updating xml,international conference on management of data,2001.0
denise draper,alon y halevy,daniel s weld,,the nimble integration engine,international conference on management of data,2001.0
zohreh nazeri,eric bloedorn,paul ostwald,,experiences in mining aviation safety data,international conference on management of data,2001.0
thomas maguire,,,,catalog management in websphere commerce suite,international conference on management of data,2001.0
michael stonebraker,joseph m hellerstein,,,content integration for ebusiness,international conference on management of data,2001.0
julio c navas,michael wynblatt,,,the network is the database data management for highly distributed systems,international conference on management of data,2001.0
k sel231uk candan,wensyan li,qiong luo,wangpin hsiung,enabling dynamic content caching for databasedriven web sites,international conference on management of data,2001.0
felipe cari241o,jr,pekka kostamaa,art kaufmann,storhouse metanoia new applications for databas storage data warehousing,international conference on management of data,2001.0
anhai doan,pedro domingos,alon y halevy,,reconciling schemas of disparate data sources a machinelearning approach,international conference on management of data,2001.0
l shou,c h chionh,z huang,y ruan,review a realtime virtual walkthrough system,international conference on management of data,2001.0
arnaud sahuguet,,,,kweelt more than just yet another framework to query xml,international conference on management of data,2001.0
pavan deolasee,amol katkar,ankur panchbudhe,krithi ramamritham,dissemination of dynamic data,international conference on management of data,2001.0
werner kie946ling,stefan holland,stefan fischer,thorsten ehm,cosima your smar speaking esalesperson,international conference on management of data,2001.0
