film_id,categoria_id
360,1
432,4
693,2
407,6
893,14
648,16
618,7
932,5
800,11
927,1
105,1
193,2
492,13
430,2
97,1
387,10
340,13
370,3
497,6
748,1
664,1
734,6
894,16
822,8
130,1
475,11
491,3
844,15
219,6
543,16
585,7
87,16
809,15
603,8
799,11
235,14
703,2
709,7
662,7
597,10
457,6
325,2
121,2
107,7
858,5
42,15
330,2
993,3
595,9
321,13
854,11
309,8
592,12
114,14
286,16
891,4
320,13
666,7
988,16
199,6
884,12
865,2
736,8
580,13
332,5
297,4
