negozio_id,capo_personale_id,indirizzo_id,indirizzo,indirizzo2,distretto,città_id,codice_postale,telefono
2,2,110,1867 San Juan Bautista Tuxtepec Avenue,,Ivanovo,225,78311.0,547003310357.0
1,1,413,692 Amroha Drive,,Northern,230,35575.0,359478883004.0
1,1,578,1405 Hagonoy Avenue,,Slaskie,133,86587.0,867287719310.0
2,2,266,862 Xintai Lane,,Cagayan Valley,548,30065.0,265153400632.0
2,2,442,1245 Ibirité Way,,La Romana,290,40926.0,331888642162.0
1,1,308,687 Alessandria Parkway,,Sanaa,455,57587.0,407218522294.0
2,2,477,1786 Salinas Place,,Nam Ha,359,66546.0,206060652238.0
2,2,287,1405 Chisinau Place,,Ponce,411,8160.0,62781725285.0
1,1,142,1587 Sullana Lane,,Inner Mongolia,207,85769.0,468060467018.0
2,2,454,956 Nam Dinh Manor,,Kerman,481,21872.0,474047727727.0
2,2,527,1993 0 Loop,,Liaoning,588,41214.0,25865528181.0
2,2,135,1752 São Leopoldo Parkway,,Taka-Karpatia,345,14014.0,252265130067.0
2,2,437,1766 Almirante Brown Street,,KwaZulu-Natal,364,63104.0,617567598243.0
2,2,432,259 Ipoh Drive,,São Paulo,189,64964.0,419009857119.0
2,2,290,1336 Benin City Drive,,Shiga,386,46044.0,341242939532.0
1,1,370,1565 Tangail Manor,,Okinawa,377,45750.0,634445428822.0
2,2,83,586 Tete Way,,Kanagawa,256,1079.0,18581624103.0
1,1,152,1952 Pune Lane,,Saint-Denis,442,92150.0,354615066969.0
2,2,213,43 Dadu Avenue,,Rajasthan,74,4855.0,95666951770.0
2,2,310,913 Coacalco de Berriozábal Loop,,Texas,33,42141.0,262088367001.0
1,1,211,850 Salala Loop,,Kitaa,371,10800.0,403404780639.0
1,1,526,617 Klerksdorp Place,,Khanh Hoa,366,94707.0,574973479129.0
2,2,242,1964 Gijón Manor,,Karnataka,473,14408.0,918119601885.0
2,2,142,1587 Sullana Lane,,Inner Mongolia,207,85769.0,468060467018.0
1,1,149,999 Sanaa Loop,,Gauteng,491,3439.0,918032330119.0
2,2,164,1623 Bahía Blanca Manor,,Moskova,310,81511.0,149981248346.0
1,1,56,939 Probolinggo Loop,,Galicia,1,4166.0,680428310138.0
1,1,147,374 Bat Yam Boulevard,,Kilis,266,97700.0,923261616249.0
1,1,452,207 Cuernavaca Loop,,Tatarstan,352,52671.0,782900030287.0
2,2,229,1014 Loja Manor,,Tamil Nadu,22,66851.0,460795526514.0
2,2,396,767 Pyongyang Drive,,Osaka,229,83536.0,667736124769.0
1,1,409,1266 Laredo Parkway,,Saitama,380,7664.0,1483365694.0
1,1,259,1338 Zalantun Lane,,Minas Gerais,413,45403.0,840522972766.0
1,1,28,96 Tafuna Way,,Córdoba,128,99865.0,934730187245.0
2,2,13,613 Korolev Drive,,Masqat,329,45844.0,380657522649.0
2,2,263,532 Toulon Street,,Santiago,460,69517.0,46871694740.0
1,1,98,152 Kitwe Parkway,,Caraga,82,53182.0,835433605312.0
1,1,71,1586 Guarujá Place,,Hunan,579,5135.0,947233365992.0
1,1,163,1440 Compton Place,,North Austria,307,81037.0,931059836497.0
1,1,427,1557 Cape Coral Parkway,,Hubei,293,46875.0,368284120423.0
1,1,231,430 Alessandria Loop,,Saarland,439,47446.0,669828224459.0
2,2,57,17 Kabul Boulevard,,Chiba,355,38594.0,697760867968.0
2,2,23,1417 Lancaster Avenue,,Northern Cape,267,72192.0,272572357893.0
2,2,21,270 Toulon Boulevard,,Kalmykia,156,81766.0,407752414682.0
1,1,281,1944 Bamenda Way,,Michigan,573,24645.0,75975221996.0
1,1,464,76 Kermanshah Manor,,Esfahan,423,23343.0,762361821578.0
2,2,464,76 Kermanshah Manor,,Esfahan,423,23343.0,762361821578.0
1,1,542,193 Bhusawal Place,,Kang-won,539,9750.0,745267607502.0
2,2,71,1586 Guarujá Place,,Hunan,579,5135.0,947233365992.0
1,1,252,1309 Weifang Street,,Florida,520,57338.0,435785045362.0
1,1,64,81 Hodeida Way,,Rajasthan,231,55561.0,250767749542.0
1,1,4,1411 Lillydale Drive,,QLD,576,,6172235589.0
1,1,21,270 Toulon Boulevard,,Kalmykia,156,81766.0,407752414682.0
1,1,393,717 Changzhou Lane,,Southern Tagalog,104,21615.0,426255288071.0
1,1,212,624 Oshawa Boulevard,,West Bengali,51,89959.0,49677664184.0
2,2,389,500 Lincoln Parkway,,Ji´angsu,210,95509.0,550306965159.0
1,1,48,1998 Halifax Drive,,Lipetsk,308,76022.0,177727722820.0
2,2,162,369 Papeete Way,,North Carolina,187,66639.0,170117068815.0
1,1,344,1909 Benguela Lane,,Henan,581,19913.0,624138001031.0
1,1,430,355 Vitória de Santo Antão Way,,Oaxaca,452,81758.0,548003849552.0
1,1,547,379 Lublin Parkway,,Toscana,309,74568.0,921960450089.0
2,2,40,334 Munger (Monghyr) Lane,,Markazi,31,38145.0,481183273622.0
1,1,7,692 Joliet Street,,Attika,38,83579.0,448477190408.0
2,2,172,475 Atšinsk Way,,Gansu,240,59571.0,201705577290.0
1,1,171,1540 Wroclaw Drive,,Maharashtra,107,62686.0,182363341674.0
1,1,230,201 Effon-Alaiye Way,,Asunción,37,64344.0,684192903087.0
2,2,480,421 Yaoundé Street,,Sumy,385,11363.0,726875628268.0
2,2,41,1440 Fukuyama Loop,,Henan,362,47929.0,912257250465.0
2,2,18,770 Bydgoszcz Avenue,,California,120,16266.0,517338314235.0
1,1,271,1587 Loja Manor,,Salzburg,447,5410.0,621625204422.0
2,2,163,1440 Compton Place,,North Austria,307,81037.0,931059836497.0
2,2,79,1551 Rampur Lane,,Changhwa,108,72394.0,251164340471.0
1,1,255,1966 Tonghae Street,,Anhalt Sachsen,198,36481.0,567359279425.0
2,2,329,867 Benin City Avenue,,Henan,591,78543.0,168884817145.0
2,2,54,115 Hidalgo Parkway,,Khartum,379,80168.0,307703950263.0
1,1,357,1641 Changhwa Place,,Nord-Ouest,52,37636.0,256546485220.0
1,1,189,927 Barcelona Street,,Chaharmahal va Bakht,467,65121.0,951486492670.0
2,2,327,1427 A Coruña (La Coruña) Place,,Buenos Aires,45,85799.0,972574862516.0
2,2,342,124 al-Manama Way,,Hiroshima,382,52368.0,647899404952.0
2,2,296,1936 Cumaná Avenue,,Virginia,433,61195.0,976798660411.0
2,2,408,990 Etawah Loop,,Tamil Nadu,564,79940.0,206169448769.0
1,1,154,781 Shimonoseki Drive,,Michoacn de Ocampo,202,95444.0,632316273199.0
1,1,511,1152 al-Qatif Lane,,Kalimantan Barat,412,44816.0,131370665218.0
2,2,146,483 Ljubertsy Parkway,,Scotland,149,60562.0,581174211853.0
2,2,555,1764 Jalib al-Shuyukh Parkway,,Galicia,459,77642.0,84794532510.0
2,2,463,935 Aden Boulevard,,Central Java,532,64709.0,335052544020.0
2,2,323,1769 Iwaki Lane,,Kujawsko-Pomorskie,97,25787.0,556100547674.0
2,2,469,1872 Toulon Loop,,OHiggins,428,7939.0,928809465153.0
2,2,503,1416 San Juan Bautista Tuxtepec Avenue,,Zufar,444,50592.0,144206758053.0
1,1,591,773 Dallas Manor,,Buenos Aires,424,12664.0,914466027044.0
2,2,482,808 Naçala-Porto Parkway,,England,500,41060.0,553452430707.0
2,2,220,1201 Qomsheh Manor,,Gois,28,21464.0,873492228462.0
2,2,113,682 Junan Way,,North West,273,30418.0,622255216127.0
1,1,221,866 Shivapuri Manor,,Uttar Pradesh,448,22474.0,778502731092.0
1,1,605,1325 Fukuyama Street,,Heilongjiang,537,27107.0,288241215394.0
1,1,105,733 Mandaluyong Place,,Asir,2,77459.0,196568435814.0
2,2,506,414 Mandaluyong Street,,Lubelskie,314,16370.0,52709222667.0
2,2,283,457 Tongliao Loop,,Bursa,222,56254.0,880756161823.0
1,1,114,804 Elista Drive,,Hubei,159,61069.0,379804592943.0
1,1,345,68 Ponce Parkway,,Hanoi,201,85926.0,870635127812.0
2,2,368,1658 Jastrzebie-Zdrój Loop,,Central,372,96584.0,568367775448.0
2,2,336,430 Kumbakonam Drive,,Santa Fé,457,28814.0,105470691550.0
2,2,258,752 Ondo Loop,,Miyazaki,338,32474.0,134673576619.0
2,2,549,454 Qinhuangdao Drive,,Tadla-Azilal,68,25866.0,786270036240.0
2,2,428,1727 Matamoros Place,,Sawhaj,465,78813.0,129673677866.0
2,2,338,431 Székesfehérvár Avenue,,Baki,48,57828.0,119501405123.0
2,2,571,1746 Faaa Way,,Huánuco,214,32515.0,863080561151.0
2,2,600,1837 Kaduna Parkway,,Inner Mongolia,241,82580.0,640843562301.0
2,2,357,1641 Changhwa Place,,Nord-Ouest,52,37636.0,256546485220.0
1,1,52,909 Garland Manor,,Tatarstan,367,69367.0,705800322606.0
2,2,504,1 Valle de Santiago Avenue,,Apulia,93,86208.0,465897838272.0
1,1,270,682 Halisahar Place,,Severn Morava,378,20536.0,475553436330.0
2,2,356,1378 Beira Loop,,Krasnojarsk,597,40792.0,840957664136.0
2,2,5,1913 Hanoi Way,,Nagasaki,463,35200.0,28303384290.0
2,2,121,1967 Sincelejo Place,,Gujarat,176,73644.0,577812616052.0
2,2,364,1623 Kingstown Drive,,Buenos Aires,20,91299.0,296394569728.0
1,1,574,502 Mandi Bahauddin Parkway,,Anzotegui,55,15992.0,618156722572.0
1,1,453,319 Springs Loop,,Baijeri,160,99552.0,72524459905.0
2,2,474,1469 Plock Lane,,Galicia,388,95835.0,622884741180.0
2,2,383,686 Donostia-San Sebastián Lane,,Guangdong,471,97390.0,71857599858.0
1,1,74,1124 Buenaventura Drive,,Mekka,13,6856.0,407733804223.0
1,1,363,604 Bern Place,,Jharkhand,429,5373.0,620719383725.0
1,1,391,1793 Meixian Place,,Hmelnytskyi,258,33535.0,619966287415.0
1,1,552,390 Wroclaw Way,,Hainan,462,5753.0,357593328658.0
2,2,592,1923 Stara Zagora Lane,,Nantou,546,95179.0,182178609211.0
1,1,22,320 Brest Avenue,,Kaduna,252,43331.0,747791594069.0
2,2,199,1792 Valle de la Pascua Place,,Nordrhein-Westfalen,477,15540.0,419419591240.0
1,1,522,1768 Udine Loop,,Battambang,60,32347.0,448876499197.0
2,2,350,1628 Nagareyama Lane,,Central,453,60079.0,20064292617.0
2,2,363,604 Bern Place,,Jharkhand,429,5373.0,620719383725.0
1,1,483,632 Usolje-Sibirskoje Parkway,,Ha Darom,36,73085.0,667648979883.0
2,2,444,231 Kaliningrad Place,,Lombardia,70,57833.0,575081026569.0
1,1,156,1963 Moscow Place,,Assam,354,64863.0,761379480249.0
1,1,462,1485 Bratislava Place,,Illinois,435,83183.0,924663855568.0
2,2,438,596 Huixquilucan Place,,Nampula,351,65892.0,342709348083.0
1,1,436,287 Cuautla Boulevard,,Chuquisaca,501,72736.0,82619513349.0
1,1,604,1331 Usak Boulevard,,Vaud,296,61960.0,145308717464.0
2,2,353,381 Kabul Way,,Taipei,209,87272.0,55477302294.0
1,1,195,1077 San Felipe de Puerto Plata Place,,Rostov-na-Donu,369,65387.0,812824036424.0
2,2,160,1367 Yantai Manor,,Ondo & Ekiti,381,21294.0,889538496300.0
2,2,245,1103 Bilbays Parkway,,Hubei,578,87660.0,279979529227.0
2,2,177,1010 Klerksdorp Way,,Steiermark,186,6802.0,493008546874.0
1,1,84,1888 Kabul Drive,,Oyo & Osun,217,20936.0,701457319790.0
1,1,220,1201 Qomsheh Manor,,Gois,28,21464.0,873492228462.0
2,2,235,954 Kimchon Place,,West Bengali,559,42420.0,541327526474.0
1,1,408,990 Etawah Loop,,Tamil Nadu,564,79940.0,206169448769.0
1,1,456,814 Simferopol Loop,,Sinaloa,154,48745.0,524567129902.0
1,1,531,1986 Sivas Place,,Friuli-Venezia Giuli,551,95775.0,182059202712.0
2,2,467,1621 Tongliao Avenue,,Irkutsk,558,22173.0,209342540247.0
2,2,390,102 Chapra Drive,,Ibaragi,521,14073.0,776031833752.0
1,1,146,483 Ljubertsy Parkway,,Scotland,149,60562.0,581174211853.0
1,1,493,184 Mandaluyong Street,,Baja California Sur,288,94239.0,488425406814.0
1,1,45,42 Brindisi Place,,Yerevan,586,16744.0,42384721397.0
1,1,128,848 Tafuna Manor,,Kütahya,281,45142.0,614935229095.0
1,1,341,1920 Weifang Avenue,,Uttar Pradesh,427,15643.0,869507847714.0
2,2,406,454 Patiala Lane,,Fukushima,276,13496.0,794553031307.0
2,2,151,1337 Lincoln Parkway,,Saitama,555,99457.0,597815221267.0
1,1,375,1049 Matamoros Parkway,,Karnataka,191,69640.0,960505250340.0
1,1,19,419 Iligan Lane,,Madhya Pradesh,76,72878.0,990911107354.0
1,1,218,226 Brest Manor,,California,508,2299.0,785881412500.0
1,1,501,1060 Tandil Lane,,Shandong,432,72349.0,211256301880.0
2,2,499,1954 Kowloon and New Kowloon Way,,Chimborazo,434,63667.0,898559280434.0
1,1,376,1061 Ede Avenue,,Southern Tagalog,98,57810.0,333390595558.0
1,1,143,1029 Dzerzinsk Manor,,Ynlin,542,57519.0,33173584456.0
2,2,377,154 Oshawa Manor,,East Java,415,72771.0,440365973660.0
1,1,465,734 Tanshui Avenue,,Caquet,170,70664.0,366776723320.0
2,2,32,1425 Shikarpur Manor,,Bihar,346,65599.0,678220867005.0
2,2,305,41 El Alto Parkway,,Maharashtra,398,56883.0,51917807050.0
1,1,590,247 Jining Parkway,,Banjul,54,53446.0,170115379190.0
1,1,583,1489 Kakamigahara Lane,,Taipei,526,98883.0,29341849811.0
1,1,176,29 Pyongyang Loop,,Batman,58,47753.0,734780743462.0
1,1,29,934 San Felipe de Puerto Plata Street,,Sind,472,99780.0,196495945706.0
1,1,356,1378 Beira Loop,,Krasnojarsk,597,40792.0,840957664136.0
2,2,489,1297 Alvorada Parkway,,Ningxia,587,11839.0,508348602835.0
1,1,57,17 Kabul Boulevard,,Chiba,355,38594.0,697760867968.0
2,2,347,1293 Nam Dinh Way,,Roraima,84,71583.0,697656479977.0
2,2,175,316 Uruapan Street,,Perak,223,58194.0,275788967899.0
2,2,362,482 Kowloon and New Kowloon Manor,,Bratislava,90,97056.0,738968474939.0
2,2,388,368 Huánuco Boulevard,,Namibe,360,17165.0,106439158941.0
1,1,91,1740 Portoviejo Avenue,,Sucre,480,29932.0,198123170793.0
2,2,206,642 Nador Drive,,Maharashtra,77,3924.0,369050085652.0
2,2,331,1016 Iwakuni Street,,St George,269,49833.0,961370847344.0
1,1,80,602 Paarl Street,,Pavlodar,402,98889.0,896314772871.0
2,2,306,1883 Maikop Lane,,Kaliningrad,254,68469.0,96110042435.0
1,1,499,1954 Kowloon and New Kowloon Way,,Chimborazo,434,63667.0,898559280434.0
2,2,602,1101 Bucuresti Boulevard,,West Greece,401,97661.0,199514580428.0
2,2,124,241 Mosul Lane,,Risaralda,147,76157.0,765345144779.0
1,1,509,786 Matsue Way,,Illinois,245,37469.0,111177206479.0
2,2,252,1309 Weifang Street,,Florida,520,57338.0,435785045362.0
2,2,37,127 Purnea (Purnia) Manor,,Piemonte,17,79388.0,911872220378.0
2,2,324,1145 Vilnius Manor,,Mxico,451,73170.0,674805712553.0
2,2,457,535 Ahmadnagar Manor,,Abu Dhabi,3,41136.0,985109775584.0
2,2,36,176 Mandaluyong Place,,Uttar Pradesh,239,65213.0,627705991774.0
2,2,449,1289 Belém Boulevard,,Tartumaa,530,88306.0,237368926031.0
2,2,334,1816 Bydgoszcz Loop,,Dhaka,234,64308.0,965273813662.0
2,2,564,505 Madiun Boulevard,,Dolnoslaskie,577,97271.0,970638808606.0
2,2,192,1166 Changhwa Street,,Caraga,62,58852.0,650752094490.0
2,2,399,331 Bydgoszcz Parkway,,Asturia,181,966.0,537374465982.0
1,1,321,651 Pathankot Loop,,Maharashtra,336,59811.0,139378397418.0
2,2,343,1443 Mardan Street,,Western Cape,392,31483.0,231383037471.0
1,1,382,220 Hidalgo Drive,,Kermanshah,265,45298.0,342720754566.0
1,1,180,757 Rustenburg Avenue,,Skikda,483,89668.0,506134035434.0
2,2,274,920 Kumbakonam Loop,,California,446,75090.0,685010736240.0
2,2,237,1736 Cavite Place,,Qina,216,98775.0,431770603551.0
1,1,584,1819 Alessandria Loop,,Campeche,103,53829.0,377633994405.0
2,2,418,126 Acuña Parkway,,West Bengali,71,58888.0,480039662421.0
2,2,542,193 Bhusawal Place,,Kang-won,539,9750.0,745267607502.0
1,1,36,176 Mandaluyong Place,,Uttar Pradesh,239,65213.0,627705991774.0
1,1,194,605 Rio Claro Parkway,,Tabora,513,49348.0,352469351088.0
1,1,406,454 Patiala Lane,,Fukushima,276,13496.0,794553031307.0
2,2,311,715 São Bernardo do Campo Lane,,Kedah,507,84804.0,181179321332.0
1,1,517,548 Uruapan Street,,Ontario,312,35653.0,879347453467.0
1,1,407,1346 Mysore Drive,,Bretagne,92,61507.0,516647474029.0
1,1,72,57 Arlington Manor,,Madhya Pradesh,475,48960.0,990214419142.0
1,1,419,397 Sunnyvale Avenue,,Guanajuato,19,55566.0,680851640676.0
1,1,514,1747 Rustenburg Place,,Bihar,110,51369.0,442673923363.0
2,2,587,760 Miyakonojo Drive,,Guerrero,246,64682.0,294449058179.0
1,1,155,1560 Jelets Boulevard,,Shandong,291,77777.0,189446090264.0
2,2,426,1661 Abha Drive,,Tamil Nadu,416,14400.0,270456873752.0
2,2,540,949 Allende Lane,,Uttar Pradesh,24,67521.0,122981120653.0
2,2,7,692 Joliet Street,,Attika,38,83579.0,448477190408.0
2,2,558,904 Clarksville Drive,,Zhejiang,193,52234.0,955349440539.0
1,1,347,1293 Nam Dinh Way,,Roraima,84,71583.0,697656479977.0
1,1,13,613 Korolev Drive,,Masqat,329,45844.0,380657522649.0
2,2,219,1229 Valencia Parkway,,Haskovo,498,99124.0,352679173732.0
2,2,430,355 Vitória de Santo Antão Way,,Oaxaca,452,81758.0,548003849552.0
1,1,209,1679 Antofagasta Street,,Alto Paran,122,86599.0,905903574913.0
1,1,247,1483 Pathankot Street,,Tucumn,454,37288.0,686015532180.0
2,2,400,1152 Citrus Heights Manor,,al-Qadarif,15,5239.0,765957414528.0
1,1,596,1759 Niznekamsk Avenue,,al-Manama,14,39414.0,864392582257.0
2,2,223,1244 Allappuzha (Alleppey) Place,,Buenos Aires,567,20657.0,991802825778.0
2,2,520,1778 Gijón Manor,,Hubei,594,35156.0,288910576761.0
2,2,391,1793 Meixian Place,,Hmelnytskyi,258,33535.0,619966287415.0
2,2,559,1917 Kumbakonam Parkway,,Vojvodina,368,11892.0,698182547686.0
2,2,282,556 Baybay Manor,,Oyo & Osun,374,55802.0,363982224739.0
1,1,429,1269 Botosani Manor,,Guangdong,468,47394.0,736517327853.0
2,2,556,346 Cam Ranh Avenue,,Zhejiang,599,39976.0,978430786151.0
2,2,320,1542 Lubumbashi Boulevard,,Tel Aviv,57,62472.0,508800331065.0
2,2,315,543 Bergamo Avenue,,Minas Gerais,215,59686.0,103602195112.0
1,1,6,1121 Loja Avenue,,California,449,17886.0,838635286649.0
1,1,278,144 South Hill Loop,,Guanajuato,445,2012.0,45387294817.0
2,2,502,1515 Korla Way,,England,589,57197.0,959467760895.0
1,1,374,433 Florencia Street,,Chihuahua,250,91330.0,561729882725.0
2,2,382,220 Hidalgo Drive,,Kermanshah,265,45298.0,342720754566.0
1,1,213,43 Dadu Avenue,,Rajasthan,74,4855.0,95666951770.0
1,1,423,437 Chungho Drive,,Puerto Plata,450,59489.0,491271355190.0
2,2,578,1405 Hagonoy Avenue,,Slaskie,133,86587.0,867287719310.0
1,1,54,115 Hidalgo Parkway,,Khartum,379,80168.0,307703950263.0
2,2,3,23 Workhaven Lane,,Alberta,300,,14033335568.0
2,2,543,43 Vilnius Manor,,Colorado,42,79814.0,484500282381.0
2,2,221,866 Shivapuri Manor,,Uttar Pradesh,448,22474.0,778502731092.0
1,1,177,1010 Klerksdorp Way,,Steiermark,186,6802.0,493008546874.0
2,2,365,1009 Zanzibar Lane,,Arecibo,32,64875.0,102396298916.0
1,1,325,1892 Nabereznyje Tšelny Lane,,Tutuila,516,28396.0,478229987054.0
1,1,175,316 Uruapan Street,,Perak,223,58194.0,275788967899.0
2,2,114,804 Elista Drive,,Hubei,159,61069.0,379804592943.0
1,1,521,568 Dhule (Dhulia) Loop,,Coquimbo,127,92568.0,602101369463.0
1,1,109,454 Nakhon Sawan Boulevard,,Funafuti,173,76383.0,963887147572.0
2,2,476,270 Tambaram Parkway,,Gauteng,244,9668.0,248446668735.0
1,1,585,1208 Tama Loop,,Ninawa,344,73605.0,954786054144.0
2,2,169,154 Tallahassee Loop,,Xinxiang,199,62250.0,935508855935.0
2,2,316,746 Joliet Lane,,Kursk,286,94878.0,688485191923.0
2,2,284,600 Bradford Street,,East Azerbaidzan,514,96204.0,117592274996.0
1,1,217,1001 Miyakonojo Lane,,Taizz,518,67924.0,584316724815.0
2,2,249,300 Junan Street,,Kyonggi,553,81314.0,890289150158.0
2,2,513,758 Korolev Parkway,,Andhra Pradesh,568,75474.0,441628280920.0
1,1,569,1342 Abha Boulevard,,Bukarest,95,10714.0,997453607116.0
2,2,566,1229 Varanasi (Benares) Manor,,Buenos Aires,43,40195.0,817740355461.0
1,1,533,556 Asunción Way,,Mogiljov,339,35364.0,338244023543.0
2,2,211,850 Salala Loop,,Kitaa,371,10800.0,403404780639.0
1,1,468,1844 Usak Avenue,,Nova Scotia,196,84461.0,164414772677.0
1,1,386,1368 Maracaíbo Boulevard,,,493,32716.0,934352415130.0
2,2,373,1922 Miraj Way,,Esfahan,356,13203.0,320471479776.0
2,2,355,469 Nakhon Sawan Street,,Tuvassia,531,58866.0,689199636560.0
2,2,127,117 Boa Vista Way,,Uttar Pradesh,566,6804.0,677976133614.0
2,2,302,922 Vila Velha Loop,,Maharashtra,9,4085.0,510737228015.0
1,1,348,785 Vaduz Street,,Baja California,335,36170.0,895616862749.0
1,1,151,1337 Lincoln Parkway,,Saitama,555,99457.0,597815221267.0
2,2,107,1177 Jelets Way,,Kwara & Kogi,220,3305.0,484292626944.0
1,1,304,1635 Kuwana Boulevard,,Hiroshima,205,52137.0,710603868323.0
1,1,587,760 Miyakonojo Drive,,Guerrero,246,64682.0,294449058179.0
