release_id,uri,type,height,width,uri150
221785,http://api.discogs.com/image/R-221785-1203244095.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-221785-1203244095.jpeg
221785,http://api.discogs.com/image/R-221785-1203244124.jpeg,secondary,600,599,http://api.discogs.com/image/R-150-221785-1203244124.jpeg
221785,http://api.discogs.com/image/R-221785-1203244147.jpeg,secondary,600,599,http://api.discogs.com/image/R-150-221785-1203244147.jpeg
221785,http://api.discogs.com/image/R-221785-1203244167.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-221785-1203244167.jpeg
221785,http://api.discogs.com/image/R-221785-1203244187.jpeg,secondary,466,600,http://api.discogs.com/image/R-150-221785-1203244187.jpeg
251804,http://api.discogs.com/image/R-251804-1347663016-4664.jpeg,primary,600,600,http://api.discogs.com/image/R-150-251804-1347663016-4664.jpeg
251804,http://api.discogs.com/image/R-251804-1347663030-3902.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-251804-1347663030-3902.jpeg
283148,http://api.discogs.com/image/R-283148-1351176581-1814.jpeg,primary,600,600,http://api.discogs.com/image/R-150-283148-1351176581-1814.jpeg
294280,http://api.discogs.com/image/R-294280-1332590857.jpeg,primary,600,600,http://api.discogs.com/image/R-150-294280-1332590857.jpeg
294280,http://api.discogs.com/image/R-294280-1190472192.jpeg,secondary,248,288,http://api.discogs.com/image/R-150-294280-1190472192.jpeg
306390,http://api.discogs.com/image/R-306390-1196887599.jpeg,primary,566,600,http://api.discogs.com/image/R-150-306390-1196887599.jpeg
306390,http://api.discogs.com/image/R-306390-1196887646.jpeg,secondary,569,600,http://api.discogs.com/image/R-150-306390-1196887646.jpeg
306390,http://api.discogs.com/image/R-306390-1196887616.jpeg,secondary,280,600,http://api.discogs.com/image/R-150-306390-1196887616.jpeg
306390,http://api.discogs.com/image/R-306390-1196887976.jpeg,secondary,564,600,http://api.discogs.com/image/R-150-306390-1196887976.jpeg
306390,http://api.discogs.com/image/R-306390-1093719415.jpg,secondary,311,330,http://api.discogs.com/image/R-150-306390-1093719415.jpg
317610,http://api.discogs.com/image/R-317610-1145643931.jpeg,primary,350,350,http://api.discogs.com/image/R-150-317610-1145643931.jpeg
317610,http://api.discogs.com/image/R-317610-1103308486.jpg,secondary,300,300,http://api.discogs.com/image/R-150-317610-1103308486.jpg
317610,http://api.discogs.com/image/R-317610-1103308510.jpg,secondary,300,300,http://api.discogs.com/image/R-150-317610-1103308510.jpg
348966,http://api.discogs.com/image/R-348966-1110925435.jpg,secondary,193,189,http://api.discogs.com/image/R-150-348966-1110925435.jpg
353424,http://api.discogs.com/image/R-353424-1229510430.jpeg,primary,300,300,http://api.discogs.com/image/R-150-353424-1229510430.jpeg
391985,http://api.discogs.com/image/R-391985-1107233683.jpg,secondary,200,200,http://api.discogs.com/image/R-150-391985-1107233683.jpg
414262,http://api.discogs.com/image/R-414262-1184602567.jpeg,secondary,528,600,http://api.discogs.com/image/R-150-414262-1184602567.jpeg
414262,http://api.discogs.com/image/R-414262-1184602581.jpeg,secondary,500,600,http://api.discogs.com/image/R-150-414262-1184602581.jpeg
414262,http://api.discogs.com/image/R-414262-1184602592.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-414262-1184602592.jpeg
416393,http://api.discogs.com/image/R-416393-1269696753.jpeg,primary,600,594,http://api.discogs.com/image/R-150-416393-1269696753.jpeg
416393,http://api.discogs.com/image/R-416393-1269696765.jpeg,secondary,600,594,http://api.discogs.com/image/R-150-416393-1269696765.jpeg
435278,http://api.discogs.com/image/R-435278-1299274384.jpeg,primary,594,600,http://api.discogs.com/image/R-150-435278-1299274384.jpeg
438284,http://api.discogs.com/image/R-438284-1113468408.jpg,secondary,285,285,http://api.discogs.com/image/R-150-438284-1113468408.jpg
438284,http://api.discogs.com/image/R-438284-1113468416.jpg,secondary,288,290,http://api.discogs.com/image/R-150-438284-1113468416.jpg
468517,http://api.discogs.com/image/R-468517-1168289828.jpeg,primary,604,600,http://api.discogs.com/image/R-150-468517-1168289828.jpeg
468517,http://api.discogs.com/image/R-468517-1212773716.jpeg,secondary,466,600,http://api.discogs.com/image/R-150-468517-1212773716.jpeg
468517,http://api.discogs.com/image/R-468517-1212773737.jpeg,secondary,604,600,http://api.discogs.com/image/R-150-468517-1212773737.jpeg
476826,http://api.discogs.com/image/R-476826-1125730632.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-476826-1125730632.jpeg
525651,http://api.discogs.com/image/R-525651-1139777368.jpeg,secondary,317,499,http://api.discogs.com/image/R-150-525651-1139777368.jpeg
529327,http://api.discogs.com/image/R-529327-1291627475.jpeg,primary,522,600,http://api.discogs.com/image/R-150-529327-1291627475.jpeg
529327,http://api.discogs.com/image/R-529327-1260383186.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-529327-1260383186.jpeg
529327,http://api.discogs.com/image/R-529327-1291627129.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-529327-1291627129.jpeg
529327,http://api.discogs.com/image/R-529327-1291626287.jpeg,secondary,210,600,http://api.discogs.com/image/R-150-529327-1291626287.jpeg
529327,http://api.discogs.com/image/R-529327-1291626781.jpeg,secondary,221,600,http://api.discogs.com/image/R-150-529327-1291626781.jpeg
529327,http://api.discogs.com/image/R-529327-1291626583.jpeg,secondary,356,600,http://api.discogs.com/image/R-150-529327-1291626583.jpeg
529327,http://api.discogs.com/image/R-529327-1291626913.jpeg,secondary,214,600,http://api.discogs.com/image/R-150-529327-1291626913.jpeg
529327,http://api.discogs.com/image/R-529327-1310645691.jpeg,secondary,848,600,http://api.discogs.com/image/R-150-529327-1310645691.jpeg
529927,http://api.discogs.com/image/R-529927-1128382887.jpeg,secondary,601,600,http://api.discogs.com/image/R-150-529927-1128382887.jpeg
529927,http://api.discogs.com/image/R-529927-1196006992.jpeg,secondary,608,600,http://api.discogs.com/image/R-150-529927-1196006992.jpeg
529927,http://api.discogs.com/image/R-529927-1196007003.jpeg,secondary,599,600,http://api.discogs.com/image/R-150-529927-1196007003.jpeg
529927,http://api.discogs.com/image/R-529927-1196007016.jpeg,secondary,602,600,http://api.discogs.com/image/R-150-529927-1196007016.jpeg
547563,http://api.discogs.com/image/R-547563-1277019209.jpeg,primary,600,600,http://api.discogs.com/image/R-150-547563-1277019209.jpeg
547563,http://api.discogs.com/image/R-547563-1235565201.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-547563-1235565201.jpeg
547563,http://api.discogs.com/image/R-547563-1235565215.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-547563-1235565215.jpeg
620973,http://api.discogs.com/image/R-620973-1181987422.jpeg,secondary,200,200,http://api.discogs.com/image/R-150-620973-1181987422.jpeg
646458,http://api.discogs.com/image/R-646458-1142869514.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-646458-1142869514.jpeg
672085,http://api.discogs.com/image/R-672085-1161084616.jpeg,secondary,606,600,http://api.discogs.com/image/R-150-672085-1161084616.jpeg
672085,http://api.discogs.com/image/R-672085-1161084663.jpeg,secondary,606,600,http://api.discogs.com/image/R-150-672085-1161084663.jpeg
695499,http://api.discogs.com/image/R-695499-1148720649.jpeg,secondary,565,600,http://api.discogs.com/image/R-150-695499-1148720649.jpeg
695499,http://api.discogs.com/image/R-695499-1148720675.jpeg,secondary,600,598,http://api.discogs.com/image/R-150-695499-1148720675.jpeg
695499,http://api.discogs.com/image/R-695499-1149023072.jpeg,secondary,592,600,http://api.discogs.com/image/R-150-695499-1149023072.jpeg
698248,http://api.discogs.com/image/R-698248-1297879068.jpeg,primary,497,500,http://api.discogs.com/image/R-150-698248-1297879068.jpeg
698248,http://api.discogs.com/image/R-698248-1297879199.jpeg,secondary,552,555,http://api.discogs.com/image/R-150-698248-1297879199.jpeg
698248,http://api.discogs.com/image/R-698248-1297879433.jpeg,secondary,217,560,http://api.discogs.com/image/R-150-698248-1297879433.jpeg
698248,http://api.discogs.com/image/R-698248-1297879451.jpeg,secondary,266,560,http://api.discogs.com/image/R-150-698248-1297879451.jpeg
729335,http://api.discogs.com/image/R-729335-1338047674-6521.jpeg,primary,608,600,http://api.discogs.com/image/R-150-729335-1338047674-6521.jpeg
729335,http://api.discogs.com/image/R-729335-1335112088.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-729335-1335112088.jpeg
729335,http://api.discogs.com/image/R-729335-1321476384.jpeg,secondary,600,591,http://api.discogs.com/image/R-150-729335-1321476384.jpeg
729335,http://api.discogs.com/image/R-729335-1321476374.jpeg,secondary,600,594,http://api.discogs.com/image/R-150-729335-1321476374.jpeg
729971,http://api.discogs.com/image/R-729971-1219661727.jpeg,primary,600,600,http://api.discogs.com/image/R-150-729971-1219661727.jpeg
734566,http://api.discogs.com/image/R-734566-1166620780.jpeg,secondary,483,479,http://api.discogs.com/image/R-150-734566-1166620780.jpeg
734566,http://api.discogs.com/image/R-734566-1166620795.jpeg,secondary,485,480,http://api.discogs.com/image/R-150-734566-1166620795.jpeg
734566,http://api.discogs.com/image/R-734566-1166620809.jpeg,secondary,479,490,http://api.discogs.com/image/R-150-734566-1166620809.jpeg
775137,http://api.discogs.com/image/R-775137-1161080818.jpeg,primary,562,565,http://api.discogs.com/image/R-150-775137-1161080818.jpeg
776867,http://api.discogs.com/image/R-776867-1157657852.jpeg,primary,600,600,http://api.discogs.com/image/R-150-776867-1157657852.jpeg
776867,http://api.discogs.com/image/R-776867-1157657868.jpeg,secondary,462,600,http://api.discogs.com/image/R-150-776867-1157657868.jpeg
787457,http://api.discogs.com/image/R-787457-1286381888.jpeg,primary,600,600,http://api.discogs.com/image/R-150-787457-1286381888.jpeg
804216,http://api.discogs.com/image/R-804216-1160476299.jpeg,secondary,598,600,http://api.discogs.com/image/R-150-804216-1160476299.jpeg
804216,http://api.discogs.com/image/R-804216-1171456959.jpeg,secondary,600,598,http://api.discogs.com/image/R-150-804216-1171456959.jpeg
827356,http://api.discogs.com/image/R-827356-1162855878.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-827356-1162855878.jpeg
