release_id,id,role,anv,tracks,join_,name
804216,200776,Cello,Charlie McCracken,,,Charles McCracken
804216,636022,Flute,,,,Robert Didomenica
804216,669736,Oboe,Havoy Shulman,,,Harry Shulman
804216,252607,Percussion,Danny Richmond,,,Dannie Richmond
804216,274261,Percussion,,,,George Scott (3)
804216,453857,Percussion,,,,Sticks Evans
804216,274979,Piano,,,,Roland Hanna
804216,418348,Saxophone,William Barron,,,Bill Barron
804216,260718,Saxophone,,,,Danny Bank
804216,145272,Saxophone,,,,Eric Dolphy
804216,257008,Saxophone,Jo Farrell,,,Joe Farrell
804216,453850,Saxophone,John La Porta,,,John Laporta
804216,167055,Saxophone,,,,Yusef Lateef
804216,282467,Trombone,,,,Charles Greenlee
804216,274978,Trombone,,,,Eddie Bert
804216,253066,Trombone,,,,Jimmy Knepper
804216,372549,Trombone,,,,Slide Hampton
804216,217242,Trumpet,,,,Clark Terry
804216,453854,Trumpet,,,,Hobart Dotson
804216,230694,Trumpet,,,,Marcus Belgrave
804216,43786,Trumpet,,,,Richard Williams
804216,256582,Trumpet,,,,Ted Curson
804216,252606,Tuba,,,,Don Butterfield
827356,662202,Remix,,,,Coke Mafia
