id,name,realname,data_quality,profile
99630,Christian Urich,John-Christian Urich,Correct,
105902,Ralph Tresvant,,Correct,
124165,Baffo Banfi,Giuseppe Banfi,Needs Vote,
125878,Blackman (4),,Correct,
132121,Michael Bivins,,Correct,
132122,Ronnie DeVoe,Ronald DeVoe,Needs Vote,
142724,Larry James,Larry E. James,Needs Vote,.
143799,Louis Logic,Louis Dorley,Correct,". Former member of [a=Demigodz, The]."
145257,Duke Ellington,Edward Kennedy Ellington,Needs Vote,.
145272,Eric Dolphy,Eric Allan Dolphy,Correct,""
147064,Troy Sands,Troy Sands,Correct,Dj/Remixer
147065,Glenn Cattanach,,Correct,
147066,Ron Hester,,Correct,
147096,Stephen L. Freeman,,Correct,
148330,Kura,Eduardo Lopez,Correct,
156665,Vertigo (7),,Correct,
158576,Miles Tackett,,Correct,
163549,Alek Száhala,Aleksi Sahala,Correct,Finnish Hard Dance / Freeform Producer.
166728,Silva D,Nihal De Silva,Correct,
167055,Yusef Lateef,William Emanuel Huddleston,Correct,""
181208,Leon Thomas,Amos Leon Thomas Jr.,Needs Vote,""
182289,Chad Hugo,Charles Edward Hugo,Correct,"Born: 1974, Virginia Beach, Virginia"
183701,Send Breaks (^X^C),Toby Houser,Correct,
183917,Panta Rhei,,Correct,
187941,J.J. Brown,,Correct,
191242,Diplo,Thomas Wesley Pentz,Needs Vote,""
363549,Paul Beaver,Paul Beaver,Correct,
192632,Rise (2),Jean Myrthil,Needs Vote,From the Park Slope section of Brooklyn. Former member of The Demigodz.
192789,Metro (4),Keith Lawson,Needs Vote,
194667,"Farley ""Jackmaster"" Funk",Farley Keith Williams,Correct,"By the late '80s, he had lost his DJ residency. His recorded output during the '90s was relatively small, preferring to concentrate on performing on the global DJ circuit."
200627,Steve Torch,Steve Torch,Correct,
200776,Charles McCracken,,Correct,American cellist
200785,Will Lee,William Franklin Lee IV,Correct,).
200815,Charles Mingus,Charles Mingus Jr.,Correct,"American jazz musician, composer, bandleader and civil rights activist, born 22 April 1922 in Nogales, Arizona, USA and died 5 January 1979 in Cuernavaca, Mexico of Lou Gehrig's disease."
203532,Roberta Carter Harrison,Roberta Carter Harrison,Correct,
209284,Rob Walker,,Correct,
209415,Jean-Michel Jarre,Jean-Michel André Jarre,Needs Vote,"Jean-Michel Jarre (August 24, 1948, Lyon, France) is a French composer of electronic music. Son of [a=Maurice Jarre], a composer of film music, who has written the scores to such films as Lawrence Of Arabia and Dr. Zhivago, among many others. He is well-known for staging spectacular outdoor concerts of his music, which feature laser displays and fireworks, and three of which appeared in the Guinness Book of Records for their large audiences. One of his albums, Musique pour supermarchés had a print run on only a single copy, which was auctioned to raise money for French artists. In 1986 he worked with NASA; astronaut Ronald McNair was to play the saxophone part of Jarre's piece Rendez-Vous VI while in orbit on board the Space Shuttle Challenger. It was to have been the first piece of music recorded in space, for the album Rendez-Vous. After the Challenger disaster of January 28, 1986, the piece was recorded with a different saxophonist, retitled Ron's piece and the album dedicated to the seven Challenger astronauts. He is a UNESCO Goodwill Ambassador."
210166,Sandra Melody,Sandra Wright,Needs Vote,"Singer from London, UK."
210518,Zeena Parkins,,Needs Vote,""
213079,Open Mic,Mike LaRose,Needs Vote,The owner of design company Open Mic Graphics.
214761,Michel Lapp,Michael Anthony Lapp Algernon,Correct,""
214762,Javier Moreno,,Correct,DJ and producer from Spain.
217242,Clark Terry,,Correct,"American trumpet player, composer and bandleader, born  October 14th, 1920 in St. Louis, USA."
217823,Pantera Os Danadinhos,,Correct,
225001,Psychospores,,Correct,
225533,Noah Mintz,,Correct,""
227461,Michael Shrieve,Michael Shrieve,Correct,"Born: July 6, 1949, in San Francisco."
227462,Kevin Shrieve,,Correct,
229071,Vybz Kartel,Adidja Azim Palmer,Correct,""
230694,Marcus Belgrave,Marcus Belgrave,Needs Vote,""
232669,Jabberjaw (2),,Needs Vote,
234922,Spin 4th,,Correct,
235050,One Two,,Correct,
244688,Majik Most,,Correct,"MC from Tampa, Florida."
245099,Mac Quayle,,Correct,
247725,Warren Cann,Warren Reginald Cann,Correct,Drummer/percussionist. Most well known as member of the rock group Ultravox.
247726,Billy Currie,William Lee Currie,Needs Vote,""
252197,Stephen Perkins,Stephen Andrew Perkins,Correct,"Born: September 13, 1967 in Los Angeles, CA, U.S.A."
252606,Don Butterfield,Don Butterfield,Correct,"classical tuba player, born January 4, 1923 in Centralia, Washington, died November 27, 2006 in Clifton, New Jersey, USA."
252607,Dannie Richmond,Dannie Richmond,Correct,"d. March 15, 1988"
253066,Jimmy Knepper,James M. Knepper,Correct,"American Jazz trombonist, born 22 November 1927 in Los Angeles, California, USA, died 14 June 2003 in Triadelphia, West Virginia, USA."
253339,Sammy Figueroa,,Needs Vote,Percussionist.
255243,Eddy Schreyer,Eddy Schreyer,Correct,"Owner and chief engineer of [l=Oasis Mastering], Studio City, California, USA."
255280,Hiram Bullock,,Needs Vote,In 2007 he was diagnosed with throat cancer.
256582,Ted Curson,Theodore Curson,Needs Vote,"Jazz trumpeter, born June 3, 1935 in Philadelphia, PA and died on November 4, 2012 in New Jersey. He played with Charles Mingus, Red Garland, Cecil Taylor, Max Roach and others."
257008,Joe Farrell,Joseph Carl Firrantello,Correct,"Died on 06.01.1986 in Los Angeles, California"
258968,Darryl Jenifer,,Correct,"American bassist, born 22 October 1960 in Washington D.C., USA."
260056,Mark Linett,Mark Linett,Correct,"as a second engineer. In the 80s he worked at Warner Bros. Amigo Studios, until they got closed in 1984."
260577,The Dung,,Correct,
260718,Danny Bank,Daniel Bernard Bank,Correct,"Died : June 05, 2010 in Queens, New York City, New York."
274221,Paul Samwell-Smith,,Correct,
274261,George Scott (3),,Correct,
274978,Eddie Bert,Edward Joseph Bertolatus.,Needs Vote,""
274979,Roland Hanna,Sir Roland Hanna,Correct,"d. November 13, 2002 - Hackensack, New Jersey"
282378,Gary Kemp,Gary James Kemp,Correct,"Guitarist from Spandau Ballet, born October 18th 1959."
282467,Charles Greenlee,,Needs Vote,"He became a Muslim in the '40s and changed his name to Harneefan Majeed, although he later abandoned both the name and religion. He is rarely credited by this name but it is often combined into his real name."
283844,Rod McKuen,Rodney Marvin McKuen,Correct,"American singer/songwriter, composer, musician and poet, born on April 29, 1933 in Oakland, California."
286775,Stephen Hill,,Correct,
300468,Stuart Hawkes,Stuart Hawkes,Correct,"Can often be found in runout grooves as just ""Stu."""
300765,Paul Wertico,Paul Wertico,Needs Vote,"Born January 5th, 1953 in Chicago, Illinois, USA"
303769,Doug Henderson,Douglas Henderson,Needs Vote,"Douglas Henderson has over 20 years experience as recording and mastering engineer, starting with a classical recording certificate from the Aspen Music Institute, then working in live sound reinforcement, and as house engineer at Harold Dessau in New York City. He spent several years freelancing as 1st Engineer in various A-rooms such as Hit Factory, Chung King, Green Street, Magic Shop and RPM in Manhattan and now has his own mixing/mastering studio micro-moose, in Brooklyn, New York. He has worked with dozens of major acts while focussing primarily on cutting edge independent and experimental groups. He has technical knowledge in the field of electronic circuit troubleshooting, and experience in restoration, repair and modification of tube amps and vintage recording gear."
339644,Sara Parkins,,Needs Vote,Violinist.
342896,Eric Avery,Eric Adam Avery,Needs Vote,""
343332,Murphy's Law (2),,Correct,American hardcore band from New York City formed in 1982.
361222,JKriv,Jason Kriveloff,Correct,DJ and producer from New York (US).
366110,Margaret Parkins,,Needs Vote,Cellist.
372549,Slide Hampton,Locksley Wellington Hampton,Correct,""
381904,Sarah Thornblade,,Needs Vote,""
391275,Anita Kerr,Anita Jean Grilli,Needs Vote,""
392598,Stephan Galfas,,Correct,
400928,Gary Miller (4),,Correct,"American guitarist, born 15 September 1958, in Washington, D.C., USA."
402480,Brian Torff,Brian Q. Torff.,Needs Vote,""
406206,Scott Wolfe,,Correct,
413568,Bernie Krause,Bernard L. Krause,Correct,web site.
413977,Alistair Tennant,Lorne Alistair Tennant,Needs Vote,""
418348,Bill Barron,William Barron Jr..,Needs Vote,""
449216,Bob Russell,Sidney Keith Russell,Correct,", performer of synthesizer covers versions."
449771,Union (4),,Correct,
449772,Laurence Hobgood,Laurence Hobgood,Correct,"American progressive and contemporary jazz pianist, born on December 23, 1949, in Salisbury, NC."
452309,Jordana LeSesne,Jordana LeSesne,Correct,Bass DJ/Producer.
453850,John Laporta,John Daniel LaPorta.,Needs Vote,""
453854,Hobart Dotson,,Needs Vote,""
453857,Sticks Evans,Samie Evans,Needs Vote,"Died : April 11, 1994 in New York City."
495093,Sebastian Ahrenberg,Sebastian Ahrenberg,Correct,
497537,Yves Delaunay,Yves Delaunay,Correct,
499327,Jani Niiranen,Jani Niiranen,Needs Vote,
501732,Bobby Scott Cohen,,Needs Vote,Engineer.
503033,Michael Petrie,Michael Petrie,Needs Vote,
527635,Chris Cross,Christopher Thomas Allen,Correct,""
533594,Michael Weisser,,Needs Vote,
548194,Mowgli (4),,Correct,
556114,Flavio Racca,,Needs Vote,
556115,Max Fortuna,,Correct,
556116,Marco Perani,Marco Perani,Needs Vote,Italian producer.
556117,Mad Max (7),,Correct,
567948,Tony Swain,,Correct,R manager for Universal Records.
579426,Alcholic Cindy,,Correct,
587337,Joanna Hood,,Needs Vote,
605772,Eleanor Farjeon,,Correct,"English author, 13 February 1881 – 5 June 1965."
611256,Laura Von Bruening,,Correct,
636022,Robert DiDomenica,,Correct,Flute player.
646964,Peter Roulinavage III,,Needs Vote,Engineer.
662202,Coke Mafia,Javier Hidalgo,Correct,Producer from Murcia (SPAIN)
668289,Patrick Von Wiegandt,,Correct,
669736,Harry Shulman,,Correct,"American classical oboist and music teacher, native of Rochester, N.Y. (1916-1971). Apart from his classical work (he was principal oboist of the NBC Symphony in New York), he also cooperated with jazz bassist Charles Mingus."
727416,Ethan White,,Needs Vote,"Producer from live house act, Tortured Soul, easyTracks, and dunnEASY"
755969,Jacquie Fex,,Correct,
791326,Daniel Sánchez Soliva,Daniel Sánchez Soliva,Correct,From Spain.
845581,Jagger-Richards,,Correct,", most commonly used for joint writing credits."
954530,Kaiser (5),Miguel Sánchez,Needs Vote,
1030263,Mark Taylor,,Correct,
1069010,Peter Saville (2),Peter Saville,Correct,"Peter Saville (1955, Manchester, England) is an English graphic designer best known for the design of record sleeves for Factory Records artists, most notably for Joy Division and New Order."
1237340,Nihal De Silva,,Needs Major Changes,
1243132,Mear One,Kalen Ockerman,Needs Vote,"b. 1971, Santa Cruz, CA
Contemporary American artist based in Los Angeles."
1543343,Farley Keith Williams,,Correct,
1572374,Paul D. Hudson,,Correct,""
1845716,Deborah Feingold,,Correct,"'s [r=285074] (ECM 1168) represent valuable visual documentation, enabling the viewer to closely observe and reconstruct the process creating a landmark in minimalist music."
1894513,Janaia Donaldson,,Correct,Graphic designer and illustrator.
1979733,Morrison O'Donnell Limited,,Needs Major Changes,
2041696,Propeller (5),,Needs Vote,Visual artist
2109369,Design,,Needs Major Changes,
2247686,Robert John (4),,Correct,Photographer.
2250041,Karyn Cantor,,Needs Major Changes,
2270784,Mats Victorson,,Needs Major Changes,
2278832,Richard McCaffrey,,Needs Major Changes,
2278833,Michael Plass,,Needs Major Changes,
2278834,Barbara Falconer,,Needs Major Changes,
2278835,Maureen Stone,,Needs Major Changes,
2286149,Claus Hansmann,,Needs Major Changes,
2286150,Herve Morvan,,Needs Major Changes,
2652252,"Eclipse Quartet, The",,Needs Major Changes,
