master_id,title,description,src,embed,duration
69474,Demigodz-Captivate/Deactivate (Instrumental),Demigodz-Captivate/Deactivate (Instrumental),http://www.youtube.com/watch?v=Z2fTfBdn9y8,t,196
69474,Demigodz - Off The Chrome,Demigodz - Off The Chrome,http://www.youtube.com/watch?v=ird5CuHIONU,t,296
69474,The Demigodz Off the Chrome,The Demigodz Off the Chrome,http://www.youtube.com/watch?v=ASPTnlMd1ts,t,307
71388,Yazoo   Situation The Agressive Attitude Mix,Yazoo   Situation The Agressive Attitude Mix,http://www.youtube.com/watch?v=z5PJC-N6V6k,t,422
71388,Yazoo-Don't Go (Original Song),Yazoo-Don't Go (Original Song),http://www.youtube.com/watch?v=um8nnmPwsHo,t,190
71388,Yaz - Situation [AUDIO ONLY],Yaz - Situation [AUDIO ONLY],http://www.youtube.com/watch?v=LVQnFzZUITM,t,347
71388,Yazoo   Situation Space Dub,Yazoo   Situation Space Dub,http://www.youtube.com/watch?v=o0Deq38BgJ0,t,295
71388,Yazoo - Don't Go,Yazoo - Don't Go,http://www.youtube.com/watch?v=bW6h6AM5mzM,t,177
71388,Yazoo Situation (12 Version),Yazoo Situation (12 Version),http://www.youtube.com/watch?v=DIAY_TQ6ylk,t,437
71388,Yazoo Situation original 7 vinyl,Yazoo Situation original 7 vinyl,http://www.youtube.com/watch?v=ZJ4oehQJEK8,t,147
71388,YAZOO - SITUATION - DEADLINE MIX,YAZOO - SITUATION - DEADLINE MIX,http://www.youtube.com/watch?v=w1vD3z6tuyw,t,414
71388,Yazoo - Situation special dub remix (AUDIO),Yazoo - Situation special dub remix (AUDIO),http://www.youtube.com/watch?v=beVShIL6qeQ,t,542
71388,"Yaz(oo) - Situation (U.S. Mix) (with Laugh) (Live, Terminal 5, NYC, July 17, 2008)","Yaz(oo) - Situation (U.S. Mix) (with Laugh) (Live, Terminal 5, NYC, July 17, 2008)",http://www.youtube.com/watch?v=usXEoWWiQIs,t,345
153588,Braided Hair music video from 1 Giant Leap,Braided Hair music video from 1 Giant Leap,http://www.youtube.com/watch?v=AIgYBx2HxP0,t,237
7548,Bug Kann and The Plastic Jam - Made In Two Minutes,Bug Kann and The Plastic Jam - Made In Two Minutes,http://www.youtube.com/watch?v=jHc_w1QElc4,t,303
7548,Bug Khan And The Plastic Jam - Made In Two Minutes,Bug Khan And The Plastic Jam - Made In Two Minutes,http://www.youtube.com/watch?v=g2faBdJiO-s,t,353
7548,The Plastic Jam - Made In 2 Minutes (Origin Unknown Mix),The Plastic Jam - Made In 2 Minutes (Origin Unknown Mix),http://www.youtube.com/watch?v=rdhIGrkHm2Q,t,368
7548,Made In 2 Minutes (Prodigy Exclusive VIP Mix) .wmv,Made In 2 Minutes (Prodigy Exclusive VIP Mix) .wmv,http://www.youtube.com/watch?v=KFslA2z047A,t,315
7548,The Plastic Jam - Made In Two Minutes (Sonz Of A Loop-De-Loop Remix),The Plastic Jam - Made In Two Minutes (Sonz Of A Loop-De-Loop Remix),http://www.youtube.com/watch?v=j_MWJKzZaXg,t,344
7548,The Plastic Jam - Made In Two Minutes (Rave Mix),The Plastic Jam - Made In Two Minutes (Rave Mix),http://www.youtube.com/watch?v=HalsFfqrnaU,t,373
7548,The Plastic Jam - Made In Two Minutes (DR S Gachet Rmx),The Plastic Jam - Made In Two Minutes (DR S Gachet Rmx),http://www.youtube.com/watch?v=dcn1hjnHi9k,t,371
7548,THE PLASTIC JAM - MADE IN TWO MINUTES - (Phat Productions Remix),THE PLASTIC JAM - MADE IN TWO MINUTES - (Phat Productions Remix),http://www.youtube.com/watch?v=B8bo5jiMGho,t,315
7548,The Plastic Jam - Made In Two Minutes (Instrumental Club Mix),The Plastic Jam - Made In Two Minutes (Instrumental Club Mix),http://www.youtube.com/watch?v=AGCXIMDM0i8,t,339
7548,The Plastic Jam - Made In 2 Minutes (Prodigy Mix),The Plastic Jam - Made In 2 Minutes (Prodigy Mix),http://www.youtube.com/watch?v=IjiDEGJrWnA,t,298
7548,The Plastic Jam - Made In Two Minutes (Foul Play Rmx),The Plastic Jam - Made In Two Minutes (Foul Play Rmx),http://www.youtube.com/watch?v=8N3pW-R6xDM,t,418
7548,the plastic jam - made in two  minutes - dr .s .gachet mix,the plastic jam - made in two  minutes - dr .s .gachet mix,http://www.youtube.com/watch?v=X1JXHXZHPn8,t,368
7548,Bug Kann and the Plastic Jam - Made in Two Minutes,Bug Kann and the Plastic Jam - Made in Two Minutes,http://www.youtube.com/watch?v=9zP7rRms3y8,t,373
7548,Bug Kann  amp; The Plastic Jam   Made In Two Minutes Original Bleep Version,Bug Kann  amp; The Plastic Jam   Made In Two Minutes Original Bleep Version,http://www.youtube.com/watch?v=R5jEnf87O1k,t,366
29711,Michael Shrieve with Kevin Shrieve and Klaus Schulze - Transfer Station Blue (1),Michael Shrieve with Kevin Shrieve and Klaus Schulze - Transfer Station Blue (1),http://www.youtube.com/watch?v=uhMZ57BNxU4,t,339
29711,Michael Shrieve with Kevin Shrieve and Klaus Schulze - Transfer Station Blue (2),Michael Shrieve with Kevin Shrieve and Klaus Schulze - Transfer Station Blue (2),http://www.youtube.com/watch?v=7w9jlVKAAiE,t,389
29711,Michael Shrieve with Kevin Shrieve and Klaus Schulze - View from the Window,Michael Shrieve with Kevin Shrieve and Klaus Schulze - View from the Window,http://www.youtube.com/watch?v=EkwTGBWFMt8,t,437
241121,mistura ft. maxine mcclain - tonight (todd edwards club mix),mistura ft. maxine mcclain - tonight (todd edwards club mix),http://www.youtube.com/watch?v=G4I0KV6-_gM,t,466
241121,Mistura - Tonight (joey negro etagui mix),Mistura - Tonight (joey negro etagui mix),http://www.youtube.com/watch?v=fEShzcpNvnA,t,381
32058,Jane's Addiction - Jane Says,Jane's Addiction - Jane Says,http://www.youtube.com/watch?v=xh-5FI21s6M,t,288
79543,Ali - Feelin' You,Ali - Feelin' You,http://www.youtube.com/watch?v=huOJHLjMUzM,t,290
79543,Ali - Feelin' you (Booker T Feelin' Lick Short edit),Ali - Feelin' you (Booker T Feelin' Lick Short edit),http://www.youtube.com/watch?v=zyDZp8QZAL8,t,236
79543,ALI - Feelin ' You,ALI - Feelin ' You,http://www.youtube.com/watch?v=TIU2OZWkWKM,t,273
79543,Ali - Feelin' You (Booker T Feelin' Lick Edit),Ali - Feelin' You (Booker T Feelin' Lick Edit),http://www.youtube.com/watch?v=Etf3kga_Rdo,t,409
5516,Ultravox Rage In Eden Live@Admiralspalast - Berlin 2010.04.24,Ultravox Rage In Eden Live@Admiralspalast - Berlin 2010.04.24,http://www.youtube.com/watch?v=7-hIAuG0C74,t,252
5516,Ultravox-Rage in Eden (Live at Hammersmith Apollo),Ultravox-Rage in Eden (Live at Hammersmith Apollo),http://www.youtube.com/watch?v=Y9fpt6W_euE,t,248
5516,Ultravox - The Voice,Ultravox - The Voice,http://www.youtube.com/watch?v=R0CI7_3ufDM,t,363
5516,Ultravox - We Stand Alone,Ultravox - We Stand Alone,http://www.youtube.com/watch?v=tsbUT-5swgI,t,341
5516,Ultravox - Rage In Eden - 1981,Ultravox - Rage In Eden - 1981,http://www.youtube.com/watch?v=UaN5JqUSTQw,t,260
5516,Ultravox - I Remember (Death in the Afternoon),Ultravox - I Remember (Death in the Afternoon),http://www.youtube.com/watch?v=fbhMGlHC4uw,t,292
10122,Spandau Ballet  -Highl Restrung 12 single -1984,Spandau Ballet  -Highl Restrung 12 single -1984,http://www.youtube.com/watch?v=b6ai3Y9JnnY,t,332
10122,Spandau Ballet - Highly Strung Official Music Video (c) 1984,Spandau Ballet - Highly Strung Official Music Video (c) 1984,http://www.youtube.com/watch?v=w5tNxxs8VWg,t,288
75818,Jean Michel Jarre - Magnetic Fields Part 2 (7/Remix) / Les Chants Magnétiques,Jean Michel Jarre - Magnetic Fields Part 2 (7/Remix) / Les Chants Magnétiques,http://www.youtube.com/watch?v=Pbp8_Vf_kvY,t,237
75818,Jean Michel Jarre - Magnetic Fields Part 1 (Excerpt) / Les Chants Magnétiques (Extrait),Jean Michel Jarre - Magnetic Fields Part 1 (Excerpt) / Les Chants Magnétiques (Extrait),http://www.youtube.com/watch?v=t0Y6ItXOsn8,t,173
75818,Jean Michel Jarre - Magnetic Fields 2,Jean Michel Jarre - Magnetic Fields 2,http://www.youtube.com/watch?v=Pof4qDdgzc0,t,214
75818,"Jean-Michel Jarre - Magnetic Fields, Part 2","Jean-Michel Jarre - Magnetic Fields, Part 2",http://www.youtube.com/watch?v=ttIL4EnqXdU,t,282
75818,Jean-Michel Jarre  - Magnetic Fields Part 1,Jean-Michel Jarre  - Magnetic Fields Part 1,http://www.youtube.com/watch?v=9yNYCzr5B-o,t,392
75818,Magnetic Fields part 1 - JM Jarre - (DAVID FANDOS) live cover 2010,Magnetic Fields part 1 - JM Jarre - (DAVID FANDOS) live cover 2010,http://www.youtube.com/watch?v=9mIUUZDbCuo,t,325
202927,Sherree Ford Payne - Shoulda Coulda Woulda(Extended Mix),Sherree Ford Payne - Shoulda Coulda Woulda(Extended Mix),http://www.youtube.com/watch?v=jBCCDTVyoXA,t,313
12333,Smack My Bitch Up (Dj Hype Remix),Smack My Bitch Up (Dj Hype Remix),http://www.youtube.com/watch?v=kDLz2uvXJkA,t,444
12333,Prodigy-Smack My Bitch Up (Slacker Remix),Prodigy-Smack My Bitch Up (Slacker Remix),http://www.youtube.com/watch?v=qqHwQGL7cMQ,t,393
12333,The Prodigy - Smack My Bitch Up (Slacker Mix),The Prodigy - Smack My Bitch Up (Slacker Mix),http://www.youtube.com/watch?v=ZwB3qupQG88,t,403
261002,Tortured Soul - Fall In Love,Tortured Soul - Fall In Love,http://www.youtube.com/watch?v=zTbBf1996dk,t,362
261002,Fall In Love (Eric Kupper Remix) Soul Lounge,Fall In Love (Eric Kupper Remix) Soul Lounge,http://www.youtube.com/watch?v=WKYGQvcMOn0,t,480
115729,Murphy's Law - Murphy's Law,Murphy's Law - Murphy's Law,http://www.youtube.com/watch?v=T6dGOiIObx8,t,108
215054,Fat Larry's Band - Zoom,Fat Larry's Band - Zoom,http://www.youtube.com/watch?v=nX9LSOshOYY,t,267
