label_id,label
1000,Maverick
1000,Merrie Melodies
1000,Opal Records
1000,Paisley Park
1000,Paradise Records (8)
1000,Premeditated Records
1000,Qwest Records
1000,Record Collection
1000,Reprise Records
1000,RFC Records
1000,Ruffnation Records
1000,Sire
1000,Tetragrammaton Records
1000,The Cars Mini LP SHM-CD Collection
1000,The Warner Bros. Music Show
1000,Warner Alliance
1000,Warner Archives
1000,Warner Bros. - Seven Arts Records
1000,Warner Bros. Records Nashville
1000,Warner Music Video
1000,Warner Reprise Video
1000,Warner Resound
1000,Warner Special Products
1000,Warner-Spector
1000,Wb Music Corp.
1000,Whitfield Records
1060,American Series (2)
1060,Ducretet-Thomson Records (London)
1060,Essential Recordings
1060,FFRR
1060,Forbidden Fruit
1060,Jubilee (2)
1060,Jugula
1060,Lejoint
1060,London
1060,London American Recordings
1060,London Atlantic
1060,London Disco
1060,London Disques
1060,London Globe Records
1060,London International
1060,London Viva
1060,Parrot
1060,Press Records (2)
1060,Richmond
1060,Swamplands
1060,Systematic
1060,Treasury Series
1060,UK Records
1175,Palm Beats
1175,"Palm Pictures, LLC"
1175,RX Records
1412,Mainline (2)
1610,2 Super Oldies
1610,Atlas Recordings (2)
1610,B
1610,&
1610,M Music
1610,Boiling Point
1610,Brownstone Records
1610,Carpet Records
1610,Cheese Music
1610,Circle Of Sound
1610,Club Zone
1610,Contour
1610,Deep Zone
1610,Fascination
1610,Fiction Records
1610,Hi Life Recordings
1610,International Polydor Production
1610,J.M.B. Records
1610,Kosmodrom
1610,Love Records
1610,Marmalade
1610,MGM Records
1610,Mother Records
1610,Music India Ltd.
1610,Nap
1610,Network Music
1610,Open-Dor Records
1610,Polydor Contact
1610,Polydor Denmark
1610,Polydor Medium
1610,Polydor Prisma
1610,Polydor Privilege
1610,Polydor Records Ltd.
1610,Polydor Special
1610,Polydor Starstunden
1610,Polyphon
1610,Reaction
1610,Remark Records
1610,Slamm Records
1610,Spaghetti Recordings
1610,Spook
1610,State Records (3)
1610,Stifled Aardvark Records
1610,The Beat Goes On (2)
1610,The Collection (5)
1610,Urban (2)
1610,Wildcard
1610,Wonderland (3)
1624,Cupido Disque
1624,Labello Dance
1624,Labello Trax
1624,Urban Culture Recordings
1624,Urban Gorilla Recordings
1676,Refreshing
2739,Another Planet Records (2)
2739,Blue Chip Records (2)
2739,City Street Records
2739,Invasion Recordings
2739,Orphan Records
2739,Park Place Records
2739,Rock Hotel Records
2739,Sea Bright Records
2739,Sm:)e Communications
2739,TNT Records (4)
2739,Twinn Records
2739,Zakia Records
3198,Air (3)
3198,Animal Records
3198,Blue Guitar Records
3198,Chrysalis Music
3198,Chrysalis Music Ltd.
3198,Cooltempo
3198,Dover Records
3198,Echo
3198,Ensign Records
3198,Musicfest
3198,Style Disques
3198,The Hit Label
3198,Two-Tone Records
3650,Archival Series
3650,Composer Series
3650,Film Music
3650,John Zorn 50th Birthday Celebration
3650,Key Series
3650,Lunatic Fringe
3650,New Japan
3650,Oracles
3650,Radical Jewish Culture
4293,Brain-Food-Music
4293,DigIt Music
4293,Edition Innovative Communication / IC-Edition / IC-Catalogue
4293,I.C. Records (Australia)
4293,J.U.IC.E.
5857,Creat Records
7483,Hot Rocks (2)
7483,Hot Tracks Series
7483,Love Tracks
7483,Roadkill!
7483,XL Series
8377,4th
8377,&
8377,Broadway
8377,Al's Records
8377,Antilles New Directions
8377,Apollo Recordings
8377,Axiom
8377,Black Swan
8377,Blue (Island)
8377,Blue Mountain
8377,Blunted
8377,Boogie Food
8377,Dancin' Music
8377,Europa Recordings
8377,Gee Street
8377,Great Jones
8377,Grove Muzic
8377,Indigo (5)
8377,Island Black Music
8377,Island Independent
8377,Island Jamaica
8377,Island Life Collection
8377,Island Masters
8377,Island Red Label
8377,Island Remasters
8377,Island Studios
8377,Island Tapes
8377,Island Visual Arts
8377,Mango
8377,Sense
8377,Smash Records
8377,Supreme Recordings
8377,Temptation Records (3)
8377,Trade 2
8377,Tuxedo Music Ltd.
10867,Lowell Records
10867,Pure (4)
10867,Recycled Music
10867,RRRip
10867,Statutory Tape
34299,Mode Disques
34299,Pyramid Recording (France)
34299,Vogue (Italy)
34299,Vogue Belgique
34299,Vogue Coral
34299,Vogue Productions
39357,Atlanta Artists
39357,Atletico Records
39357,Blue Gorilla
39357,Blue Rock
39357,Celebrity Country Series
39357,Chemistry Records (2)
39357,Chemistry Records LTD
39357,Childcraft Records
39357,Compact Jazz
39357,Fader Records
39357,Fontana
39357,Intrepid (3)
39357,Jambco Records
39357,Limelight
39357,Manifesto
39357,Mercury Beats
39357,Mercury Black Vinyl
39357,Mercury International
39357,Mercury Latino
39357,Mercury Living Presence
39357,Mercury Records Limited
39357,Mercury Records Ltd
39357,Mercury Records Ltd.
39357,Mercury Records Ltd. (London)
39357,Mister Chand
39357,Outburst Records (2)
39357,Perfect Presence Sound Series
39357,Smash Records (4)
39357,Sonovox Records
39357,Stardog Records
39357,Super Stereo Sound
39357,Talkin' Loud
39357,Talkin' Loud Classics
39357,Teutonic Beats
39357,Twelve Seventeen
39357,Wing Records
64452,Far From Showbiz
64452,TrashFuck Net
190753,Naim Edge
346838,Silence Studio
