artist_credit,position,artist,name,join_phrase
205715,0,205715,Martin Böttcher,""
170912,0,170912,Emetrex,""
977507,0,888606,Infect Insect,""
3382,0,3382,Ali Khan,""
506278,0,506278,Dave,""
51778,0,51778,Mike Brant,""
1104,0,1104,Megadeth,""
153623,0,153623,שלמה ארצי,""
1154853,0,22429,Sir Mix‐A‐Lot,""
828703,0,298892,Giuseppe Ottaviani, & 
828703,1,82031,Marc van Linden,""
181957,0,181957,2 Vibez,""
187651,0,9811,DJ Sakin & Friends,""
51840,0,51840,Armin van Buuren,""
325605,0,325605,Tracy Conover,""
10293,0,10293,Gustav Mahler,""
5025,0,5025,Glenn Hughes,""
1159548,0,1002691,Bandsoc,""
94820,0,94820,Planet B.E.N.,""
125575,0,125575,C.C. Adcock,""
219729,0,219729,Διονύσης Τσακνής,""
203582,0,203582,George DeVore,""
618948,0,618948,MaxNRG,""
754747,0,754747,Playbright,""
335106,0,335106,Dream Dance Alliance,""
3527,0,3527,Motörhead,""
232365,0,232365,Kino,""
645347,0,645347,Music Angle,""
77158,0,77158,The Kills,""
335589,0,335589,Ferrin & Low,""
469473,0,469473,Otis Jackson Jr. Trio,""
540530,0,540530,Assure,""
1007607,0,10293,Gustav Mahler,; 
1007607,1,45573,Neeme Järvi,""
707464,0,707464,Solipsism,""
157129,0,157129,Tobias Schmidt,""
455273,0,455273,Future Rock,""
71117,0,80070,Yesterdays New Quintet,""
352987,0,352987,Kalwi & Remi,""
64074,0,64074,Hater,""
325604,0,325604,Jonas Wilson,""
470869,0,470869,Deniz Koyu,""
33866,0,33866,Adrian Belew,""
53232,0,53232,Gov't Mule,""
100768,0,100768,King Curtis & The Kingpins,""
1366,0,1366,Feeder,""
84,0,84,Cypress Hill,""
328322,0,328322,Cataldo,""
166923,0,166923,The Hitmen,""
14839,0,14839,Widespread Panic,""
1206709,0,45914,Heinrich Schütz,; 
1206709,1,986026,Chapelle Rhénane,", "
1206709,2,476825,Benoit Haller,""
356640,0,356640,Golden Tone Radio,""
196143,0,196143,Weathertunes,""
15883,0,15883,Steve Vai,""
212213,0,212213,A Dozen Furies,""
6075,0,6075,Jesse Dayton,""
9503,0,9503,Ziggy Marley & The Melody Makers,""
811436,0,348532,Till West, & 
811436,1,138861,DJ Delicious,""
246398,0,246398,Thomas Datt,""
2778,0,2778,Asia,""
946650,0,48543,DJ Shog, / 
946650,1,111355,Shaun Baker,""
46394,0,46394,Drivin' N' Cryin',""
754766,0,754766,Piston,""
105725,0,105725,[no artist],""
962,0,962,Marvin Gaye,""
841922,0,31507,Ol’ Dirty Bastard,""
37921,0,37921,Hall & Oates,""
