id,name,artist_count,ref_count,created
314600,Klubbdriver,1,20,2011-05-16 18:32:11.963929+02
618958,Infuzoria,1,16,2011-05-16 18:32:11.963929+02
205714,Joe McDuphrey Experience,1,25,2011-05-16 18:32:11.963929+02
1151,Sacred Reich,1,489,2011-05-16 18:32:11.963929+02
818553,Mike Foyle vs. Signalrunners,2,57,2011-05-16 18:32:11.963929+02
11340,Ram Jam,1,586,2011-05-16 18:32:11.963929+02
31292,Soulwax,1,838,2011-05-16 18:32:11.963929+02
42933,DJ Tatana,1,480,2011-05-16 18:32:11.963929+02
222898,Frankman,1,90,2011-05-16 18:32:11.963929+02
305679,Mr. Sam,1,233,2011-05-16 18:32:11.963929+02
64076,Raging Slab,1,220,2011-05-16 18:32:11.963929+02
187353,Monk Hughes & The Outer Realm,1,27,2011-05-16 18:32:11.963929+02
112308,Beam,1,81,2011-05-16 18:32:11.963929+02
170912,Emetrex,1,52,2011-05-16 18:32:11.963929+02
506278,Dave,1,58,2011-05-16 18:32:11.963929+02
1159548,Bandsoc,1,24,2013-05-01 17:30:58.849982+02
94820,Planet B.E.N.,1,199,2011-05-16 18:32:11.963929+02
125575,C.C. Adcock,1,35,2011-05-16 18:32:11.963929+02
754747,Playbright,1,6,2011-05-16 18:32:11.963929+02
100768,King Curtis & The Kingpins,1,23,2011-05-16 18:32:11.963929+02
84,Cypress Hill,1,2189,2011-05-16 18:32:11.963929+02
196143,Weathertunes,1,246,2011-05-16 18:32:11.963929+02
15883,Steve Vai,1,1260,2011-05-16 18:32:11.963929+02
246398,Thomas Datt,1,46,2011-05-16 18:32:11.963929+02
754767,DJ Nevidomy,1,2,2011-05-16 18:32:11.963929+02
43671,Moguai,1,422,2011-05-16 18:32:11.963929+02
1139422,"Stora Teaterns Orkester, Göteborgs Symfoniker, Neeme Järvi",3,24,2013-03-14 18:49:54.801241+01
57588,Kenny Wheeler,1,250,2011-05-16 18:32:11.963929+02
127468,Sandra Flyn,1,25,2011-05-16 18:32:11.963929+02
132349,Herborg Kråkevik,1,140,2011-05-16 18:32:11.963929+02
826231,Roll It Over,1,25,2011-06-04 19:42:04.808022+02
34480,DJ Jean,1,757,2011-05-16 18:32:11.963929+02
20422,Julio Iglesias,1,2620,2011-05-16 18:32:11.963929+02
111355,Shaun Baker,1,286,2011-05-16 18:32:11.963929+02
1,Various Artists,1,239728,2011-05-16 18:32:11.963929+02
55951,Pedro Del Mar,1,119,2011-05-16 18:32:11.963929+02
79302,Monte Montgomery,1,284,2011-05-16 18:32:11.963929+02
618957,IBS Faction,1,40,2011-05-16 18:32:11.963929+02
363392,Zirenz,1,18,2011-05-16 18:32:11.963929+02
360,311,1,1699,2011-05-16 18:32:11.963929+02
608372,Kind of Zero,1,28,2011-05-16 18:32:11.963929+02
3214,Merzbow,1,2396,2011-05-16 18:32:11.963929+02
89460,Atlas,1,37,2011-05-16 18:32:11.963929+02
204412,Teddy Morgan,1,14,2011-05-16 18:32:11.963929+02
113298,Kasabian,1,1055,2011-05-16 18:32:11.963929+02
1660,Judas Priest,1,5031,2011-05-16 18:32:11.963929+02
112011,Big Mama,1,189,2011-05-16 18:32:11.963929+02
318914,Carolyn Wonderland,1,121,2011-05-16 18:32:11.963929+02
193232,Soul Central,1,196,2011-05-16 18:32:11.963929+02
501086,Arizona,1,4,2011-05-16 18:32:11.963929+02
2043,Bob Sinclar,1,2222,2011-05-16 18:32:11.963929+02
472141,Heart of Stone,1,4,2011-05-16 18:32:11.963929+02
158469,Anagram,1,122,2011-05-16 18:32:11.963929+02
9811,DJ Sakin & Friends,1,490,2011-05-16 18:32:11.963929+02
205715,Martin Böttcher,1,314,2011-05-16 18:32:11.963929+02
977507,Infect Insect,1,48,2012-04-30 10:26:01.925511+02
153623,שלמה ארצי,1,688,2011-05-16 18:32:11.963929+02
1154853,Sir Mix‐A‐Lot,1,395,2013-04-19 20:00:24.079323+02
219729,Διονύσης Τσακνής,1,518,2011-05-16 18:32:11.963929+02
3527,Motörhead,1,7543,2011-05-16 18:32:11.963929+02
71117,Yesterdays New Quintet,1,238,2011-05-16 18:32:11.963929+02
325604,Jonas Wilson,1,2,2011-05-16 18:32:11.963929+02
470869,Deniz Koyu,1,109,2011-05-16 18:32:11.963929+02
328322,Cataldo,1,20,2011-05-16 18:32:11.963929+02
166923,The Hitmen,1,84,2011-05-16 18:32:11.963929+02
1206709,"Heinrich Schütz; Chapelle Rhénane, Benoit Haller",3,51,2013-08-17 20:20:17.387859+02
356640,Golden Tone Radio,1,4,2011-05-16 18:32:11.963929+02
212213,A Dozen Furies,1,43,2011-05-16 18:32:11.963929+02
6075,Jesse Dayton,1,193,2011-05-16 18:32:11.963929+02
105725,[no artist],1,22902,2011-05-16 18:32:11.963929+02
962,Marvin Gaye,1,8869,2011-05-16 18:32:11.963929+02
841922,Ol’ Dirty Bastard,1,312,2011-07-22 12:55:54.84109+02
37921,Hall & Oates,1,3670,2011-05-16 18:32:11.963929+02
