author_1,author_2,author_3,author_4,title,venue,year
abdelsalam helal,hua li,,,rainbow distributed database system for classroom education and experimental research,vldb,2000.0
claude delobel,sophie cluet,sihem ameryahia,,bulkloading techniques for object databases and an application to relational data,vldb,1998.0
boualem benatallah,anne h h ngu,phuong nguyen,liangzhao zeng,agflow agentbased crossenterprise workflow management system,vldb,2001.0
alfons kemper,,,,databases and transaction processing an applicationoriented approach book review,sigmod record,2002.0
philip a bernstein,erhard rahm,,,a survey of approaches to automatic schema matching,vldb j,2001.0
qi cheng,hamid pirahesh,linqi liu,kwai wong,winmagic subquery elimination using window aggregation,sigmod conference,2003.0
objectivity,,,,objectivity industrial exhibit,vldb,1998.0
leonardo tininini,antonia bezenchek,maurizio rafanelli,,the aggregate data problem a system for their definition and management,sigmod record,1996.0
terrance swift,konstantinos f sagonas,david scott warren,,xsb as a deductive database,sigmod conference,1994.0
dale a stirling,,,,information rules,sigmod record,2003.0
anja theobald,gerhard weikum,,,the xxl search engine ranked retrieval of xml data using indexes and ontologies,sigmod conference,2002.0
oscar daz,arturo jaime,ghassan alqaimari,norman w paton,supporting dynamic displays using active rules,sigmod record,1994.0
chris miller,ron musick,,,report on the second ieee metadata conference metadata 97,sigmod record,1998.0
tok wang ling,sin yeung lee,,,unrolling cycles to decide trigger termination,vldb,1999.0
edward y chang,hector garciamolina,,,effective memory use in a media server,vldb,1997.0
gale martin,ray shea,tomasz ksiezyk,roberto j bayardo jr,infosleuth semantic integration of information in open and dynamic environments experience paper,sigmod conference,1997.0
shore team,,,,shore combining the best features of oodbms and file systems,sigmod conference,1995.0
miron livny,yannis e ioannidis,nagavamsi ponnekanti,shivani gupta,zoo a desktop experiment management environment,vldb,1996.0
bharat k bhargava,evaggelia pitoura,,,a framework for providing consistent and recoverable agentbased access to heterogeneous in mobile databases,sigmod record,1995.0
peter j haas,lynne stokes,s seshadri,jeffrey f naughton,samplingbased estimation of the number of distinct values of an attribute,vldb,1995.0
michael j franklin,,,,editors notes,sigmod record,1998.0
wes cowley,dimitris plexousakis,,,temporal integrity constraints with indeterminacy,vldb,2000.0
alin deutsch,jrgen zimmermann,m higa,alejandro p buchmann,the reach active oodbms,sigmod conference,1995.0
d butler,boris klots,roger bamford,n macnaughton,architecture of oracle parallel server,vldb,1998.0
narendra mohan,,,,dwms data warehouse management system,vldb,1996.0
fernando berzal galiano,nicols marn,,,review of data on the web from relational to semistructured data and xml by serge abitebou peter bunema and dan suciu morgan kaufmann 1999,sigmod record,2003.0
luis gravano,panagiotis g ipeirotis,,,distributed search over the hidden web hierarchical database sampling and selection,vldb,2002.0
edward chan,teiwei kuo,s w ng,dick hung,retina a realtime traffic navigation system,sigmod conference,2001.0
rajeev motwani,sergey brin,craig silverstein,,beyond market baskets generalizing association rules to correlations,sigmod conference,1997.0
ugo capuozzo,elena ferrari,vijayalakshmi atluri,elisa bertino,an authorization system for digital libraries,vldb j,2002.0
goetz graefe,diane l davison,,,memorycontention responsive hash joins,vldb,1994.0
yahui chang,,,,a graphical query language for mobile information systems,sigmod record,2003.0
elisa bertino,elena ferrari,silvana castano,,securing xml documents the authorx project demonstration,sigmod conference,2001.0
gio wiederhold,erhard rahm,matthias jarke,laura m haas,panel is generic metadata management feasible,vldb,2000.0
georgios evangelidis,betty salzberg,david b lomet,,the hbptree a modified hbtree supporting concurrenc recovery and node consolidation,vldb,1995.0
prabhakar raghavan,byron dom,rakesh agrawal,soumen chakrabarti,scalable feature selectio classification and signature generation for organizing large text databases into hierarchical topic taxonomies,vldb j,1998.0
david j dewitt,navin kabra,,,efficient midquery reoptimization of suboptimal query execution plans,sigmod conference,1998.0
a prasad sistla,isabel f cruz,ashfaq a khokhar,clement t yu,research activities in database management and information retrieval at the university of illinois at chicago,sigmod record,2002.0
wei wang,philip s yu,jiong yang,jiawei han,mining long sequential patterns in a noisy environment,sigmod conference,2002.0
laks v s lakshmanan,h v jagadish,divesh srivastava,,what can hierarchies do for data warehouses,vldb,1999.0
s seshadri,rajeev rastogi,abraham silberschatz,philip bohannon,logical and physical versioning in main memory databases,vldb,1997.0
david b lomet,gerhard weikum,,,efficient and transparent application recovery in clientserver information systems,sigmod conference,1998.0
luis gravano,surajit chaudhuri,,,optimizing queries over multimedia repositories,sigmod conference,1996.0
h olivie,r maelbrancke,,,optimizing jan janninks implementation of btree deletion,sigmod record,1995.0
kevin smith,athman bouguettaya,mourad ouzzani,james beard,world wide database integrating the we corb and databases,sigmod conference,1999.0
huagang li,sin yeung lee,tok wang ling,,hierarchical compact cube for rangemax queries,vldb,2000.0
narayanan shivakumar,junghoo cho,hector garciamolina,,finding replicated web collections,sigmod conference,2000.0
jennifer widom,sudarshan s chawathe,hector garciamolina,anand rajaraman,change detection in hierarchically structured information,sigmod conference,1996.0
kirby zhang,isabel f cruz,michael averbuch,wendy t lucas,delaunay a database visualization system,sigmod conference,1997.0
alexei p stolboushkin,michael a taitslin,,,safe stratified datalog with integer order does not have syntax,acm trans database syst,1998.0
nam huyn,,,,data analysis and mining in the life sciences,sigmod record,2001.0
michael j franklin,,,,editors notes,sigmod record,1998.0
omar boucelma,zo lacroix,,,report on the first international workshop an efficient webbased information systems,sigmod record,2003.0
peter baumann,,,,management of multidimensional discrete data,vldb j,1994.0
jan van den bussche,,,,constraint databases a tutorial introduction,sigmod record,2000.0
,,,,calls for papers announcements,sigmod record,1994.0
karl aberer,,,,report on the first international conference on ontologie databases and applications of semantics,sigmod record,2003.0
jeffrey f naughton,,,,sigmod2000 program chairs message,sigmod record,2000.0
,,,,proceedings of the 2003 acm sigmod international conference on management of dat san dieg californi us june 91 2003,sigmod conference,2003.0
shashi k gadia,christian s jensen,patrick j hayes,ramez elmasri,a consensus glossary of temporal database concepts,sigmod record,1994.0
ning jing,yunwu huang,elke a rundensteiner,,spatial joins using rtrees breadthfirst traversal with global optimizations,vldb,1997.0
motomichi toyama,,,,supersql an extended sql for database publishing and presentation,sigmod conference,1998.0
george v moustakides,vassilios s verykios,mohamed g elfeky,,a bayesian decision model for cost optimal record matching,vldb j,2003.0
brajesh goyal,s seshadri,v srinivasan,jayant r haritsa,index concurrency control in firm realtime database systems,vldb,1995.0
richard t snodgrass,christian s jensen,michael h bhlen,,temporal statement modifiers,acm trans database syst,2000.0
eric n hanson,,,,statement from the treasurer,sigmod record,1999.0
perke larson,jonathan goldstein,,,optimizing queries using materialized views a practica scalable solution,sigmod conference,2001.0
yannis papakonstantinou,richard marciano,chaitanya k baru,pavel velikhov,xmlbased information mediation with mix,sigmod conference,1999.0
eamonn j keogh,,,,exact indexing of dynamic time warping,vldb,2002.0
k bernhard schiefer,karen brannon,guy m lohman,gene fuh,ibms db2 universal database demonstrations at vldb98,vldb,1998.0
christian bhm,,,,a cost model for query processing in high dimensional data spaces,acm trans database syst,2000.0
gonzalo navarro,,,,searching in metric spaces by spatial approximation,vldb j,2002.0
brian babcock,shivnath babu,rajeev motwani,mayur datar,chain operator scheduling for memory minimization in data stream systems,sigmod conference,2003.0
amit p sheth,vipul kashyap,satish thatte,leon a shklar,infoharness a system for search and retrieval of heterogeneous information,sigmod conference,1995.0
henry f korth,jerry baulier,abraham silberschatz,stephen blott,a database system for realtime event aggregation in telecommunication,vldb,1998.0
alon y halevy,,,,guest editorial,vldb j,2002.0
hector garciamolina,patricia g selinger,tomasz imielinski,david maier,reminiscences on influential papers,sigmod record,1998.0
matthias jarke,dirk lehmann,gunter michalk,guido blees,improving oltp data quality using data warehouse mechanisms,sigmod conference,1999.0
uwe rhm,klemens bhm,hansjrg schek,heiko schuldt,fas a freshnesssensitive coordination middleware for a cluster of olap components,vldb,2002.0
carole a goble,omar boucelma,silvana castano,vanja josifovski,report on the edbt02 panel on scientific data integration,sigmod record,2002.0
z meral zsoyoglu,gultekin zsoyoglu,abdullah alhamdani,zgr ulusoy,sideway value algebra for objectrelational databases,vldb,2002.0
isabel f cruz,,,,sigmod digital symposium collection disc editors message,sigmod record,2000.0
martin pfeifle,hanspeter kriegel,stefan brecheisen,peer krger,using sets of feature vectors for similarity search on voxelized cad objects,sigmod conference,2003.0
yannis e ioannidis,marvin h solomon,odysseas g tsatalos,,the gmap a versatile tool for physical data independence,vldb j,1996.0
antara ghosh,vibhuti s sengar,jayant r haritsa,jignashu parikh,plan selection based on query clustering,vldb,2002.0
david buttler,wei han,calton pu,,wrapping web data into xml,sigmod record,2001.0
paul w p j grefen,peter m g apers,jochem vonk,,global transaction support for workflow management systems from formal specification to practical implementation,vldb j,2001.0
jack a orenstein,,,,starting and sometimes ending a database company,vldb,1998.0
jrg sander,hanspeter kriegel,markus m breunig,mihael ankerst,optics ordering points to identify the clustering structure,sigmod conference,1999.0
stefano paraboschi,stefano ceri,fabio casati,giuseppe pozzi,specification and implementation of exceptions in workflow management systems,acm trans database syst,1999.0
andrew eisenberg,,,,new standard for stored procedures in sql,sigmod record,1996.0
khaled yagoub,dan suciu,alon y levy,daniela florescu,optimization of runtime management of data intensive websites,vldb,1999.0
ioana manolescu,serge abiteboul,tova milo,angela bonifati,dynamic xml documents with distribution and replication,sigmod conference,2003.0
thinfong tsuei,allan packer,kengtai ko,,database buffer size investigation for oltp workloads experience paper,sigmod conference,1997.0
patrick valduriez,serge abiteboul,sophie cluet,kenneth a ross,reminiscences on influential papers,sigmod record,1999.0
sridhar rajagopalan,bruce g lindsay,gurmeet singh manku,,random sampling techniques for space efficient online computation of order statistics of large datasets,sigmod conference,1999.0
m tamer zsu,,,,new partnership with acm and update on the journal,vldb j,2003.0
stphane bressan,kianlee tan,beng chin ooi,chong leng goh,integrating replacement policies in storm an extensible approach,sigmod conference,2000.0
kestutis ivinskis,,,,high availability of commercial applications,sigmod conference,1995.0
d janaki ram,r ramakrishnan,,,modeling design versions,vldb,1996.0
daniel a keim,stefan berchtold,,,highdimensional index structure database support for next decades applications tutorial,sigmod conference,1998.0
sungran cho,laks v s lakshmanan,divesh srivastava,sihem ameryahia,lockx a system for efficiently querying secure xml,sigmod conference,2003.0
marianne winslett,,,,david dewitt speaks out,sigmod record,2002.0
richard frank,gopalan arun,richard anderson,,oracle rdbs record caching model,sigmod conference,1998.0
ramesh c agarwal,,,,a super scalar sort algorithm for risc processors,sigmod conference,1996.0
goetz graefe,richard l cole,,,fast algorithms for universal quantification in large databases,acm trans database syst,1995.0
richard t snodgrass,,,,chairs message,sigmod record,1999.0
umeshwar dayal,gerhard weikum,rakesh agrawal,johannes klein,are web services the next revolution in ecommerce panel,vldb,2001.0
hongyan liu,hongjun lu,,,decision tables scalable classification exploring rdbms capabilities,vldb,2000.0
jun rao,kenneth a ross,,,reusing invariants a new strategy for correlated queries,sigmod conference,1998.0
munir cochinwala,francesco caruso,paolo missier,uma ganapathy,telcordias database reconciliation and data quality analysis tool,vldb,2000.0
kenneth a ross,damianos chatziantoniou,,,groupwise processing of relational queries,vldb,1997.0
thorsten fiebig,till westmann,robert schiele,guido moerkotte,anatomy of a native xml base management system,vldb j,2002.0
henrique paques,wei tang,calton pu,wei han,aqrtoolkit an adaptive query routing middleware for distributed data intensive systems,sigmod conference,2000.0
stefan seltzsam,donald kossmann,markus keidl,reinhard braumandl,objectglobe ubiquitous query processing on the internet,vldb j,2001.0
gerard rodrguezmul,andreas paepcke,junghoo cho,hector garciamolina,beyond document similarity understanding valuebased search and browsing technologies,sigmod record,2000.0
jeanine weienfels,dirk wodtke,angelika kotz dittrich,gerhard weikum,the mentor workbench for enterprisewide workflow management,sigmod conference,1997.0
luis gravano,anthony tomasic,hector garciamolina,,the effectiveness of gloss for the text database discovery problem,sigmod conference,1994.0
david elliot shaw,,,,technology and the future of commerce and finance abstract,vldb,1998.0
alon y levy,daniela florescu,daphne koller,,using probabilistic information in data integration,vldb,1997.0
surajit chaudhuri,ashish kumar gupta,vivek r narasayya,,compressing sql workloads,sigmod conference,2002.0
bernhard mitschang,tobias kraft,holger schwarz,ralf rantzau,coarsegrained optimization techniques for rewriting sql statement sequences,vldb,2003.0
achim kraiss,gerhard weikum,,,integrated document caching and prefetching in storage hierarchies based on markovchain predictions,vldb j,1998.0
ouri wolfson,s a m makki,kia makki,charles e perkins,report on the nsf workshop on building an infrastructure for mobile and wireless systems,sigmod record,2002.0
michael stonebraker,,,,are we working on the right problems panel,sigmod conference,1998.0
,,,,ordering informatio conference organizer program committee additional reviewer additional demonstrations reviewer sponsor vldb endowmen prefac foreword,vldb,2000.0
wolfgang may,bertram ludscher,,,understanding the global semantics of referential actions using logic rules,acm trans database syst,2002.0
ling liu,,,,editors notes,sigmod record,2002.0
gerhard weikum,patrick e oneil,peter muth,achim pick,the lham logstructured history data access method,vldb j,2000.0
randal j peters,m tamer zsu,boman irani,adriana muoz,tigukat a uniform behavioral objectbase management system,vldb j,1995.0
chungsheng li,vittorio castelli,lawrence d bergman,john r smith,the onion technique indexing for linear optimization queries,sigmod conference,2000.0
rajeev rastogi,kyuseok shim,apostol natsev,,walrus a similarity retrieval algorithm for image databases,sigmod conference,1999.0
jeffrey d ullman,,,,improving the efficiency of databasesystem teaching,sigmod conference,2003.0
manfred a jeusfeld,ling feng,jeroen hoppenbrouwers,,towards knowledgebased digital libraries,sigmod record,2001.0
csar a galindolegaria,,,,outerjoins as disjunctions,sigmod conference,1994.0
curtis e dyreson,,,,information retrieval from an incomplete data cube,vldb,1996.0
mohamed zat,benot dageville,,,sql memory management in oracle9i,vldb,2002.0
perke larson,weiye zhang,,,buffering and readahead strategies for external mergesort,vldb,1998.0
vivek r narasayya,rajeev motwani,surajit chaudhuri,,random sampling for histogram construction how much is enough,sigmod conference,1998.0
dimitris papadias,timos k sellis,,,qualitative representation of spatial knowledge in twodimensional space,vldb j,1994.0
bertram ludscher,maryann e martone,amarnath gupta,,birnm a semantic mediator for solving realworld neuroscience problems,sigmod conference,2003.0
anindya datta,kaushik dutta,helen m thomas,debra e vandermeer,a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration,vldb,2001.0
giuseppe psaila,stefano ceri,rosa meo,,a new sqllike operator for mining association rules,vldb,1996.0
c mohan,,,,tutorial application servers and associated technologies,sigmod conference,2002.0
xiaoyang sean wang,duminda wijesekera,claudio bettini,sushil jajodia,provisions and obligations in policy management and security applications,vldb,2002.0
michael j franklin,samuel madden,joseph m hellerstein,mehul a shah,java support for dataintensive systems experiences building the telegraph dataflow system,sigmod record,2001.0
guido moerkotte,jens clauen,klaus peithner,alfons kemper,optimizing queries with universal quantification in objectoriented and objectrelational databases,vldb,1997.0
chee yong chan,yannis e ioannidis,,,an efficient bitmap encoding scheme for selection queries,sigmod conference,1999.0
c j date,hugh darwen,,,the third manifesto,sigmod record,1995.0
manish mehta,david j dewitt,,,data placement in sharednothing parallel database systems,vldb j,1997.0
alexandros biliris,euthimios panagos,,,the bess object storage manager architecture overview,sigmod record,1996.0
agathoniki trigoni,rajmohan rajaraman,alan j demers,yong yao,the cougar project a workinprogress report,sigmod record,2003.0
bertram ludscher,amarnath gupta,maryann e martone,,modelbased information integration in a neuroscience mediator system,vldb,2000.0
sanjeev khanna,michael greenwald,,,spaceefficient online computation of quantile summaries,sigmod conference,2001.0
philippe pucheral,lilan wu,luc bouganim,franois dang ngoc,chipsecured data access reconciling access rights with data encryption,vldb,2003.0
vibha dayal,satish ramakrishnan,,,the pointcast network,sigmod conference,1998.0
moira c norrie,,,,integration approaches for cim,sigmod conference,1995.0
joseph m hellerstein,,,,toward network data independence,sigmod record,2003.0
david buttler,tong zhou,ling liu,paul benninghoff,cq a personalized update monitoring toolkit,sigmod conference,1998.0
hansjrg schek,michael stonebraker,jim gray,jeffrey d ullman,the lowell report,sigmod conference,2003.0
samuel madden,joseph m hellerstein,,,distributing queries over lowpower wireless sensor networks,sigmod conference,2002.0
yannis theodoridis,yannis manolopoulos,antonio corral,michael vassilakopoulos,closest pair queries in spatial databases,sigmod conference,2000.0
lionel brunie,harald kosch,,,control strategies for complex relational query processing in shared nothing systems,sigmod record,1996.0
xi s guo,jack g conrad,peter jackson,monem meziou,database selection using actual physical and acquired logical collection resources in a massive domainspecific operational environment,vldb,2002.0
philip a bernstein,erhard rahm,jayant madhavan,,generic schema matching with cupid,vldb,2001.0
gerd g hillebrand,peter buneman,susan b davidson,dan suciu,a query language and optimization techniques for unstructured data,sigmod conference,1996.0
william oconnell,thomas a funkhouser,alexandros biliris,euthimios panagos,bess storage support for interactive visualization systems,sigmod conference,1996.0
leonidas fegaras,david maier,,,optimizing object queries using an effective calculus,acm trans database syst,2000.0
andrew eisenberg,jim melton,,,an early look at xquery,sigmod record,2002.0
csar a galindolegaria,martin l kersten,arjan pellenkoft,,the complexity of transformationbased join enumeration,vldb,1997.0
amarnath gupta,simone santini,,,gembase a geometric mediator for brain analysis with surface ensembles,vldb,2002.0
susan b davidson,limsoon wong,kyle hart,peter buneman,a data transformation system for biological data sources,vldb,1995.0
rajeev motwani,aristides gionis,piotr indyk,,similarity search in high dimensions via hashing,vldb,1999.0
zahir tari,stefano spaccapietra,john stokes,,object normal forms and dependency constraints for objectoriented schemata,acm trans database syst,1997.0
wangpin hsiung,kunihiro taniguchi,yusuf akca,oliver po,cacheportal ii acceleration of very large scale data centerhosted databasedriven web applications,vldb,2003.0
junki min,chinwan chung,changwon park,,structural function inlining technique for structurally recursive xml queries,vldb,2002.0
jennifer widom,chris olston,,,offering a precisionperformance tradeoff for aggregation queries over replicated data,vldb,2000.0
subbu n subramanian,srinivasa narayanan,,,tavant system architecture for sellside channel management,vldb,2001.0
michalis vazirgiannis,maria halkidi,yannis batistakis,,clustering validity checking methods part ii,sigmod record,2002.0
theodore johnson,amr el abbadi,richard t snodgrass,kenneth a ross,reminiscences on influential papers,sigmod record,2002.0
tolga urhan,laura bright,vladimir zadorozhny,mariaesther vidal,efficient evaluation of queries in a mediator for websources,sigmod conference,2002.0
chen qun,andrew lim,kian win ong,,dkindex an adaptive structural summary for graphstructured data,sigmod conference,2003.0
bettina kemme,ricardo jimnezperis,marta patiomartnez,gustavo alonso,are quorums an alternative for data replication,acm trans database syst,2003.0
alex dekhtyar,robert ross,v s subrahmanian,,probabilistic temporal database i algebra,acm trans database syst,2001.0
paul brown,,,,implementing the spirit of sql99,sigmod conference,1999.0
joseph m hellerstein,michael stonebraker,,,content integration for ebusiness,sigmod conference,2001.0
alexander s szalay,donald r slutz,ani thakar,jim gray,designing and mining multiterabyte astronomy archives the sloan digital sky survey,sigmod conference,2000.0
ramesh c agarwal,mahesh v joshi,,,mining needle in a haystack classifying rare classes via twophase rule induction,sigmod conference,2001.0
paul cereghini,carlos ordonez,,,sqlem fast clustering in sql using the em algorithm,sigmod conference,2000.0
ioana burcea,milenko petrovic,hansarno jacobsen,,stopss semantic toronto publishsubscribe system,vldb,2003.0
frank leymann,,,,managing business processes via workflow technology,vldb,2001.0
bruce lo,tali roth,ron avnur,joseph m hellerstein,control continuous output and navigation technology with refinement online,sigmod conference,1998.0
yasushi kiyoki,takanari hayama,takashi kitagawa,,a metadatabase system for semantic image search by a mathematical model of meaning,sigmod record,1994.0
huii hsiao,inderpal narang,,,dlfm a transactional resource manager,sigmod conference,2000.0
soumen chakrabarti,,,,hypertext databases and data mining,sigmod conference,1999.0
matthias klusch,katia p sycara,seth widoff,jianguo lu,dynamic service matchmaking among agents in open information environments,sigmod record,1999.0
waqar hasan,patrick valduriez,daniela florescu,,open issues in parallel query optimization,sigmod record,1996.0
ilsoo ahn,,,,database issues in telecommunications network management,sigmod conference,1994.0
chebel mina,,,,mapinfo spatialware a spatial information server for rdbms,vldb,1998.0
kien a hua,junghwan oh,,,efficient and costeffective techniques for browsing and indexing large video databases,sigmod conference,2000.0
timos k sellis,aris tsois,,,the generalized pregrouping transformation aggregatequery optimization in the presence of dependencies,vldb,2003.0
,,,,minesettm a system for highend data mining and visualization,vldb,1996.0
alexander borgida,martin staudt,vinay k chaudhri,,krdb 98 the 5th international workshop on knowledge representation meets databases,sigmod record,1998.0
peter a boncz,tim rhl,fred kwakkel,,the drill down benchmark,vldb,1998.0
arjan pellenkoft,csar a galindolegaria,martin l kersten,,fas randomized joinorder selection why use transformations,vldb,1994.0
ronald g ross,,,,expressing business rules,sigmod conference,2000.0
kenneth a ross,zhe li,,,fast joins using join indices,vldb j,1999.0
sanjeev saluja,hannu toivonen,roni khardon,heikki mannila,discovering all most specific sentences,acm trans database syst,2003.0
sukho lee,bongki moon,hyoseop shin,,adaptive multistage distance join processing,sigmod conference,2000.0
christos faloutsos,leejay wu,katia p sycara,terry r payne,falcon feedback adaptive loop for contentbased retrieval,vldb,2000.0
kianlee tan,son dao,hongjun lu,,the fittest survives an adaptive approach to query optimization,vldb,1995.0
sherif danish,,,,building databasedriven electronic catalogs,sigmod record,1998.0
