actor_1,actor_2,actor_3,color,content_rating,director,original_language,production_countries,title,vote_average,year
kelli garner,piper mackenzie harris,niecy nash,color,pg,hoyt yeatman,english,usa,gforce,5.0,2009.0
liam neeson,edgar ramrez,lily james,color,pg13,jonathan liebesman,english,usa,wrath of the titans,6.0,2012.0
johnny depp,chlo grace moretz,christopher lee,color,pg13,tim burton,english,usa,dark shadows,6.0,2012.0
tom cruise,jeremy renner,sean harris,color,pg13,christopher mcquarrie,english,china,mission impossible rogue nation,7.0,2015.0
anthony hopkins,simon merrells,art malik,color,r,joe johnston,english,usa,the wolfman,6.0,2010.0
matthew broderick,oprah winfrey,rip torn,color,pg,steve hickner,english,usa,bee movie,6.0,2007.0
angelina jolie pitt,gary oldman,mike bell,color,pg,jennifer yuh nelson,english,usa,kung fu panda 2,7.0,2011.0
seychelle gabriel,noah ringer,aasif mandvi,color,pg,m night shyamalan,english,usa,the last airbender,4.0,2010.0
philip seymour hoffman,tom cruise,eddie marsan,color,pg13,jj abrams,english,usa,mission impossible iii,7.0,2006.0
channing tatum,jake weber,matt craven,color,pg13,roland emmerich,english,usa,white house down,6.0,2013.0
elisabeth harnois,dan fogler,tom everett scott,color,pg,simon wells,english,usa,mars needs moms,5.0,2011.0
hugh jackman,kate winslet,david suchet,color,pg,david bowers,english,uk,flushed away,7.0,2006.0
hugh jackman,cara delevingne,nonso anozie,color,pg,joe wright,english,usa,pan,6.0,2015.0
ty burrell,zach callison,karan brar,color,pg,rob minkoff,english,usa,mr peabody sherman,7.0,2014.0
brad pitt,orlando bloom,julian glover,color,r,wolfgang petersen,english,usa,troy,7.0,2004.0
jada pinkett smith,martin short,cedric the entertainer,color,pg,eric darnell,english,usa,madagascar 3 europes most wanted,7.0,2012.0
toby stephens,colin salmon,rick yune,black and white,pg13,lee tamahori,english,uk,die another day,6.0,2002.0
ed begley jr,kate mckinnon,zach woods,color,pg13,paul feig,english,usa,ghostbusters,6.0,2016.0
bruce willis,steve buscemi,will patton,color,pg13,michael bay,english,usa,armageddon,7.0,1998.0
will smith,rosario dawson,rip torn,color,pg13,barry sonnenfeld,english,usa,men in black ii,6.0,2002.0
robin wright,anthony hopkins,sebastian roch,color,pg13,robert zemeckis,english,usa,beowulf,6.0,2007.0
jk simmons,angelina jolie pitt,wayne knight,color,pg,alessandro carloni,english,usa,kung fu panda 3,7.0,2016.0
tom cruise,jeremy renner,michael nyqvist,color,pg13,brad bird,english,usa,mission impossible ghost protocol,7.0,2011.0
hugh jackman,kamil mcfadden,khamani griffin,color,pg,peter ramsey,english,usa,rise of the guardians,7.0,2012.0
john michael higgins,richard burgi,david herman,color,pg13,dean parisot,english,usa,fun with dick and jane,6.0,2005.0
tom cruise,tony goldwyn,chad lindberg,color,r,edward zwick,english,usa,the last samurai,8.0,2003.0
christian bale,mara valverde,ben mendelsohn,color,pg13,ridley scott,english,uk,exodus gods and kings,6.0,2014.0
chris hemsworth,leonard nimoy,bruce greenwood,color,pg13,jj abrams,english,usa,star trek,8.0,2009.0
jk simmons,james franco,kirsten dunst,color,pg13,sam raimi,english,usa,spiderman,7.0,2002.0
gerard butler,djimon hounsou,america ferrera,color,pg,dean deblois,english,usa,how to train your dragon 2,8.0,2014.0
gerard butler,elodie yung,bryan brown,color,pg13,alex proyas,english,usa,gods of egypt,6.0,2016.0
sam shepard,joe morton,richard roxburgh,color,pg13,rob cohen,english,usa,stealth,5.0,2005.0
matt frewer,billy crudup,stephen mchattie,color,r,zack snyder,english,usa,watchmen,8.0,2009.0
jet li,rene russo,darlene love,color,r,richard donner,english,usa,lethal weapon 4,7.0,1998.0
kevin rankin,regi davis,celia weston,color,pg13,ang lee,english,usa,hulk,6.0,2003.0
channing tatum,dwayne johnson,elodie yung,color,pg13,jon m chu,english,usa,gi joe retaliation,6.0,2013.0
matthew mcconaughey,rainn wilson,delroy lindo,color,pg13,breck eisner,english,uk,sahara,6.0,2005.0
steve buscemi,mingna wen,jean simmons,color,pg13,hironobu sakaguchi,english,usa,final fantasy the spirits within,6.0,2001.0
chris evans,dominic cooper,hayley atwell,color,pg13,joe johnston,english,usa,captain america the first avenger,7.0,2011.0
colin salmon,maria grazia cucinotta,desmond llewelyn,color,pg13,michael apted,english,uk,the world is not enough,6.0,1999.0
james darcy,lee ingleby,david threlfall,color,pg13,peter weir,english,usa,master and commander the far side of the world,7.0,2003.0
robert pattinson,kristen stewart,taylor lautner,color,pg13,bill condon,english,usa,the twilight saga breaking dawn part 2,6.0,2012.0
robin williams,brad pitt,common,color,pg,george miller,english,australia,happy feet 2,6.0,2011.0
ty burrell,peter mensah,william hurt,color,pg13,louis leterrier,english,usa,the incredible hulk,7.0,2008.0
mark rylance,penelope wilton,rafe spall,color,pg,steven spielberg,english,uk,the bfg,7.0,2016.0
leonardo dicaprio,tom hardy,lukas haas,color,r,alejandro g irritu,english,usa,the revenant,8.0,2015.0
ryan reynolds,snoop dogg,ben schwartz,color,pg,david soren,english,usa,turbo,6.0,2013.0
johnny depp,ray winstone,stephen root,color,pg,gore verbinski,english,usa,rango,7.0,2011.0
benedict cumberbatch,annet mahendru,andy richter,color,pg,eric darnell,english,usa,penguins of madagascar,7.0,2014.0
matt damon,edgar ramrez,albert finney,color,pg13,paul greengrass,english,usa,the bourne ultimatum,8.0,2007.0
angelina jolie pitt,wayne knight,dan fogler,color,pg,mark osborne,english,usa,kung fu panda,8.0,2008.0
judy greer,hayley atwell,ti,color,pg13,peyton reed,english,usa,antman,7.0,2015.0
jennifer lawrence,josh hutcherson,sandra ellis lafferty,color,pg13,francis lawrence,english,usa,the hunger games catching fire,8.0,2013.0
jim parsons,matt jones,april winchell,color,pg,tim johnson,english,usa,home,7.0,2015.0
tom cruise,lisa ann walter,rick gonzalez,color,pg13,steven spielberg,english,usa,war of the worlds,6.0,2005.0
will smith,henry rollins,jordi moll,color,r,michael bay,english,usa,bad boys ii,7.0,2003.0
salma hayek,constance marie,amy sedaris,color,pg,chris miller,english,usa,puss in boots,7.0,2011.0
angelina jolie pitt,andre braugher,august diehl,color,pg13,phillip noyce,english,usa,salt,6.0,2010.0
anthony hopkins,emma watson,logan lerman,color,pg13,darren aronofsky,english,usa,noah,6.0,2014.0
toby jones,mackenzie crook,tony curran,color,pg,steven spielberg,english,usa,the adventures of tintin,7.0,2011.0
daniel radcliffe,gary oldman,rupert grint,color,pg,alfonso cuarn,english,uk,harry potter and the prisoner of azkaban,8.0,2004.0
essie davis,bryan brown,eddie baroo,color,pg13,baz luhrmann,english,australia,australia,7.0,2008.0
will smith,zo kravitz,glenn morshower,color,pg13,m night shyamalan,english,usa,after earth,5.0,2013.0
alfre woodard,db sweeney,della reese,color,pg,eric leighton,english,usa,dinosaur,6.0,2000.0
robin williams,rami malek,steve coogan,color,pg,shawn levy,english,usa,night at the museum secret of the tomb,6.0,2014.0
jk simmons,brad pitt,will ferrell,color,pg,tom mcgrath,english,usa,megamind,7.0,2010.0
daniel radcliffe,fiona shaw,verne troyer,color,pg,chris columbus,english,uk,harry potter and the sorcerers stone,8.0,2001.0
ryan reynolds,jeff bridges,stephanie szostak,color,pg13,robert schwentke,english,usa,ripd,6.0,2013.0
johnny depp,orlando bloom,jack davenport,color,pg13,gore verbinski,english,usa,pirates of the caribbean the curse of the black pearl,8.0,2003.0
jennifer lawrence,philip seymour hoffman,josh hutcherson,color,pg13,francis lawrence,english,usa,the hunger games mockingjay part 1,7.0,2014.0
tom hanks,seth gabel,jrgen prochnow,color,pg13,ron howard,english,usa,the da vinci code,7.0,2006.0
miguel ferrer,rachel crow,jeffrey garcia,color,g,carlos saldanha,english,usa,rio 2,6.0,2014.0
hugh jackman,bruce davison,aaron stanford,color,pg13,bryan singer,english,canada,xmen 2,8.0,2003.0
paul walker,vin diesel,dwayne johnson,color,pg13,justin lin,english,usa,fast five,7.0,2011.0
robert downey jr,eddie marsan,paul anderson,color,pg13,guy ritchie,english,usa,sherlock holmes a game of shadows,8.0,2011.0
liam neeson,jason flemyng,alexa davalos,color,pg13,louis leterrier,english,usa,clash of the titans,6.0,2010.0
ronny cox,rachel ticotin,marshall bell,color,r,paul verhoeven,english,usa,total recall,8.0,1990.0
tony curran,vladimir kulich,clive russell,color,r,john mctiernan,english,usa,the 13th warrior,7.0,1999.0
jeremy renner,scott glenn,stacy keach,color,pg13,tony gilroy,english,usa,the bourne legacy,7.0,2012.0
michael gough,vivica a fox,john glover,color,pg13,joel schumacher,english,usa,batman robin,4.0,1997.0
clint howard,tj thyne,molly shannon,color,pg,ron howard,english,usa,how the grinch stole christmas,6.0,2000.0
jake gyllenhaal,dennis quaid,sela ward,color,pg13,roland emmerich,english,usa,the day after tomorrow,6.0,2004.0
tom cruise,dougray scott,richard roxburgh,color,pg13,john woo,english,usa,mission impossible ii,6.0,2000.0
karen allen,mary elizabeth mastrantonio,bob gunton,color,pg13,wolfgang petersen,english,usa,the perfect storm,6.0,2000.0
chris evans,ioan gruffudd,andre braugher,color,pg,tim story,english,usa,fantastic 4 rise of the silver surfer,6.0,2007.0
suraj sharma,rafe spall,tabu,color,pg,ang lee,english,usa,life of pi,8.0,2012.0
nicolas cage,matt long,peter fonda,color,pg13,mark steven johnson,english,usa,ghost rider,5.0,2007.0
matt damon,riz ahmed,ato essandoh,color,pg13,paul greengrass,english,uk,jason bourne,7.0,2016.0
demi moore,bernie mac,justin theroux,color,pg13,mcg,english,usa,charlies angels full throttle,5.0,2003.0
michael fassbender,charlize theron,sean harris,color,r,ridley scott,english,usa,prometheus,7.0,2012.0
nathan lane,brad garrett,melanie griffith,color,pg,rob minkoff,english,usa,stuart little 2,5.0,2002.0
matt damon,sharlto copley,alice braga,color,r,neill blomkamp,english,usa,elysium,7.0,2013.0
vin diesel,alexa davalos,christina cox,color,pg13,david twohy,english,usa,the chronicles of riddick,7.0,2004.0
gary oldman,abbie cornish,jennifer ehle,color,pg13,jos padilha,english,usa,robocop,6.0,2014.0
scott porter,kick gurry,nicholas elia,color,pg,lana wachowski,english,usa,speed racer,6.0,2008.0
shelley conn,domenick lombardozzi,teyonah parris,color,pg13,james l brooks,english,usa,how do you know,5.0,2010.0
tom cruise,marc blucas,jordi moll,color,pg13,james mangold,english,usa,knight and day,6.0,2010.0
morgan freeman,tom cruise,zo bell,color,pg13,joseph kosinski,english,usa,oblivion,7.0,2013.0
natalie portman,christopher lee,hayden christensen,color,pg13,george lucas,english,usa,star wars episode iii revenge of the sith,8.0,2005.0
natalie portman,christopher lee,hayden christensen,color,pg,george lucas,english,usa,star wars episode ii attack of the clones,7.0,2002.0
steve buscemi,john ratzenberger,james coburn,color,g,pete docter,english,usa,monsters inc,8.0,2001.0
hugh jackman,tao okamoto,rila fukushima,color,pg13,james mangold,english,usa,the wolverine,7.0,2013.0
natalie portman,liam neeson,ian mcdiarmid,color,pg,george lucas,english,usa,star wars episode i the phantom menace,6.0,1999.0
ryan reynolds,emma stone,nicolas cage,color,pg,kirk de micco,english,usa,the croods,7.0,2013.0
nicolas cage,roger willie,noah emmerich,color,r,john woo,english,usa,windtalkers,6.0,2002.0
chris hemsworth,sam claflin,charlize theron,color,pg13,cedric nicolastroyan,english,usa,the huntsman winters war,6.0,2016.0
noel fisher,danny woodburn,jeremy howard,color,pg13,jonathan liebesman,english,usa,teenage mutant ninja turtles,6.0,2014.0
phaldut sharma,basher savage,amy warren,color,pg13,alfonso cuarn,english,uk,gravity,8.0,2013.0
jamie rene smith,grant heslov,tzi ma,color,pg13,roger donaldson,english,usa,dantes peak,6.0,1997.0
stephen amell,noel fisher,brad garrett,color,pg13,dave green,english,usa,teenage mutant ninja turtles out of the shadows,6.0,2016.0
tim blake nelson,reg e cathey,tim heidecker,color,pg13,josh trank,english,usa,fantastic four,4.0,2015.0
robin williams,rami malek,steve coogan,color,pg,shawn levy,english,usa,night at the museum,6.0,2006.0
dwayne johnson,ioan gruffudd,archie panjabi,color,pg13,brad peyton,english,usa,san andreas,6.0,2015.0
vincent schiavelli,colin salmon,joe don baker,color,pg13,roger spottiswoode,english,uk,tomorrow never dies,6.0,1997.0
heath ledger,adam baldwin,tom wilkinson,color,r,roland emmerich,english,usa,the patriot,7.0,2000.0
brad pitt,julia roberts,mini anden,color,pg13,steven soderbergh,english,usa,oceans twelve,6.0,2004.0
brad pitt,angelina jolie pitt,stephanie march,color,pg13,doug liman,english,usa,mr mrs smith,6.0,2005.0
kate winslet,theo james,mekhi phifer,color,pg13,robert schwentke,english,usa,insurgent,6.0,2015.0
leonardo dicaprio,adam scott,frances conroy,black and white,pg13,martin scorsese,english,usa,the aviator,8.0,2004.0
james corden,catherine tate,olly alexander,color,pg,rob letterman,english,usa,gullivers travels,5.0,2010.0
christoph waltz,tom wilkinson,chad l coleman,color,pg13,michel gondry,english,usa,the green hornet,6.0,2011.0
eva green,sullivan stapleton,peter mensah,color,r,noam murro,english,usa,300 rise of an empire,6.0,2014.0
mahadeo shivraj,tim gunn,madison mckinley,color,pg,raja gosnell,english,usa,the smurfs,6.0,2011.0
steve buscemi,roseanne barr,gw bailey,color,pg,will finn,english,usa,home on the range,5.0,2004.0
naomi watts,theo james,zo kravitz,color,pg13,robert schwentke,english,usa,allegiant,6.0,2016.0
hugh jackman,torey michael adkins,olga fonda,color,pg13,shawn levy,english,usa,real steel,7.0,2011.0
jacob tremblay,nancy odell,vanessa matsui,color,pg,raja gosnell,english,usa,the smurfs 2,5.0,2013.0
jason patric,temuera morrison,lois chiles,color,pg13,jan de bont,english,usa,speed 2 cruise control,4.0,1997.0
harrison ford,moises arias,aramis knight,color,pg13,gavin hood,english,usa,enders game,7.0,2013.0
bruce willis,jonathan sadowski,cyril raffaelli,color,pg13,len wiseman,english,usa,live free or die hard,7.0,2007.0
