master_id,uri,type,height,width,uri150
72617,http://api.discogs.com/image/R-48209-1297016244.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-48209-1297016244.jpeg
23055,http://api.discogs.com/image/R-2025509-1335024387.jpeg,primary,600,600,http://api.discogs.com/image/R-150-2025509-1335024387.jpeg
123237,http://api.discogs.com/image/R-176915-1308766192.jpeg,secondary,471,476,http://api.discogs.com/image/R-150-176915-1308766192.jpeg
123237,http://api.discogs.com/image/R-176915-1308766249.jpeg,primary,471,476,http://api.discogs.com/image/R-150-176915-1308766249.jpeg
396484,http://api.discogs.com/image/R-9552-1355751145-7954.jpeg,primary,600,600,http://api.discogs.com/image/R-150-9552-1355751145-7954.jpeg
396484,http://api.discogs.com/image/R-9552-1333183989.jpeg,secondary,597,600,http://api.discogs.com/image/R-150-9552-1333183989.jpeg
396484,http://api.discogs.com/image/R-9552-1177930432.jpeg,secondary,598,600,http://api.discogs.com/image/R-150-9552-1177930432.jpeg
396484,http://api.discogs.com/image/R-9552-1177930122.jpeg,secondary,598,600,http://api.discogs.com/image/R-150-9552-1177930122.jpeg
332215,http://api.discogs.com/image/R-696234-1248429559.jpeg,primary,464,464,http://api.discogs.com/image/R-150-696234-1248429559.jpeg
47305,http://api.discogs.com/image/R-2265584-1273257656.jpeg,primary,500,500,http://api.discogs.com/image/R-150-2265584-1273257656.jpeg
69474,http://api.discogs.com/image/R-622756-1139760148.jpeg,primary,591,600,http://api.discogs.com/image/R-150-622756-1139760148.jpeg
69474,http://api.discogs.com/image/R-622756-1139760165.jpeg,secondary,463,600,http://api.discogs.com/image/R-150-622756-1139760165.jpeg
69474,http://api.discogs.com/image/R-622756-1139760198.jpeg,secondary,590,600,http://api.discogs.com/image/R-150-622756-1139760198.jpeg
175618,http://api.discogs.com/image/R-137790-001.jpg,primary,250,250,http://api.discogs.com/image/R-150-137790-001.jpg
71388,http://api.discogs.com/image/R-1747167-1247344628.jpeg,primary,600,600,http://api.discogs.com/image/R-150-1747167-1247344628.jpeg
71388,http://api.discogs.com/image/R-1747167-1247344639.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-1747167-1247344639.jpeg
71388,http://api.discogs.com/image/R-1747167-1247344654.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-1747167-1247344654.jpeg
71388,http://api.discogs.com/image/R-1747167-1247344694.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-1747167-1247344694.jpeg
153588,http://api.discogs.com/image/R-775137-1161080818.jpeg,primary,562,565,http://api.discogs.com/image/R-150-775137-1161080818.jpeg
7548,http://api.discogs.com/image/R-122008-1190639262.jpeg,primary,598,595,http://api.discogs.com/image/R-150-122008-1190639262.jpeg
7548,http://api.discogs.com/image/R-122008-1074845361.jpg,secondary,290,300,http://api.discogs.com/image/R-150-122008-1074845361.jpg
37149,http://api.discogs.com/image/R-474487-1267180421.jpeg,primary,600,600,http://api.discogs.com/image/R-150-474487-1267180421.jpeg
37149,http://api.discogs.com/image/R-474487-1267180310.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-474487-1267180310.jpeg
29711,http://api.discogs.com/image/R-508465-1260822980.jpeg,primary,600,600,http://api.discogs.com/image/R-150-508465-1260822980.jpeg
29711,http://api.discogs.com/image/R-508465-1260823006.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-508465-1260823006.jpeg
29711,http://api.discogs.com/image/R-508465-1172444570.jpeg,secondary,498,500,http://api.discogs.com/image/R-150-508465-1172444570.jpeg
29711,http://api.discogs.com/image/R-508465-1172444583.jpeg,secondary,498,500,http://api.discogs.com/image/R-150-508465-1172444583.jpeg
241121,http://api.discogs.com/image/R-129290-1165234291.jpeg,secondary,472,472,http://api.discogs.com/image/R-150-129290-1165234291.jpeg
261540,http://api.discogs.com/image/R-283148-1351176581-1814.jpeg,primary,600,600,http://api.discogs.com/image/R-150-283148-1351176581-1814.jpeg
32058,http://api.discogs.com/image/R-1983342-1327352633.jpeg,primary,599,599,http://api.discogs.com/image/R-150-1983342-1327352633.jpeg
32058,http://api.discogs.com/image/R-1983342-1327355022.jpeg,secondary,568,600,http://api.discogs.com/image/R-150-1983342-1327355022.jpeg
32058,http://api.discogs.com/image/R-1983342-1327346977.jpeg,secondary,480,479,http://api.discogs.com/image/R-150-1983342-1327346977.jpeg
32058,http://api.discogs.com/image/R-1983342-1327346981.jpeg,secondary,480,477,http://api.discogs.com/image/R-150-1983342-1327346981.jpeg
5516,http://api.discogs.com/image/R-1583649-1254821544.jpeg,primary,481,480,http://api.discogs.com/image/R-150-1583649-1254821544.jpeg
5516,http://api.discogs.com/image/R-1583649-1248796609.jpeg,secondary,795,600,http://api.discogs.com/image/R-150-1583649-1248796609.jpeg
5516,http://api.discogs.com/image/R-1583649-1281003613.jpeg,secondary,590,590,http://api.discogs.com/image/R-150-1583649-1281003613.jpeg
5516,http://api.discogs.com/image/R-1583649-1281003626.jpeg,secondary,590,590,http://api.discogs.com/image/R-150-1583649-1281003626.jpeg
292884,http://api.discogs.com/image/R-698248-1297879068.jpeg,primary,497,500,http://api.discogs.com/image/R-150-698248-1297879068.jpeg
292884,http://api.discogs.com/image/R-698248-1297879199.jpeg,secondary,552,555,http://api.discogs.com/image/R-150-698248-1297879199.jpeg
292884,http://api.discogs.com/image/R-698248-1297879433.jpeg,secondary,217,560,http://api.discogs.com/image/R-150-698248-1297879433.jpeg
292884,http://api.discogs.com/image/R-698248-1297879451.jpeg,secondary,266,560,http://api.discogs.com/image/R-150-698248-1297879451.jpeg
10122,http://api.discogs.com/image/R-672085-1161084616.jpeg,secondary,606,600,http://api.discogs.com/image/R-150-672085-1161084616.jpeg
10122,http://api.discogs.com/image/R-672085-1161084663.jpeg,secondary,606,600,http://api.discogs.com/image/R-150-672085-1161084663.jpeg
75818,http://api.discogs.com/image/R-323870-1266729542.jpeg,primary,604,599,http://api.discogs.com/image/R-150-323870-1266729542.jpeg
75818,http://api.discogs.com/image/R-323870-1266729568.jpeg,secondary,602,600,http://api.discogs.com/image/R-150-323870-1266729568.jpeg
75818,http://api.discogs.com/image/R-323870-1266729586.jpeg,secondary,608,600,http://api.discogs.com/image/R-150-323870-1266729586.jpeg
75818,http://api.discogs.com/image/R-323870-1266729618.jpeg,secondary,606,600,http://api.discogs.com/image/R-150-323870-1266729618.jpeg
202927,http://api.discogs.com/image/R-1579457-1229869567.jpeg,secondary,490,600,http://api.discogs.com/image/R-150-1579457-1229869567.jpeg
12333,http://api.discogs.com/image/R-20688-1343488688-5201.jpeg,primary,601,600,http://api.discogs.com/image/R-150-20688-1343488688-5201.jpeg
12333,http://api.discogs.com/image/R-20688-1343488697-2264.jpeg,secondary,5,600,http://api.discogs.com/image/R-150-20688-1343488697-2264.jpeg
12333,http://api.discogs.com/image/R-20688-1343488672-1781.jpeg,secondary,597,600,http://api.discogs.com/image/R-150-20688-1343488672-1781.jpeg
12333,http://api.discogs.com/image/R-20688-1343488625-1465.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-20688-1343488625-1465.jpeg
12333,http://api.discogs.com/image/R-20688-1343488642-6621.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-20688-1343488642-6621.jpeg
261002,http://api.discogs.com/image/R-348966-1110925435.jpg,secondary,193,189,http://api.discogs.com/image/R-150-348966-1110925435.jpg
115729,http://api.discogs.com/image/R-514259-1353272690-3292.jpeg,primary,454,456,http://api.discogs.com/image/R-150-514259-1353272690-3292.jpeg
115729,http://api.discogs.com/image/R-514259-1353272721-6659.jpeg,secondary,454,499,http://api.discogs.com/image/R-150-514259-1353272721-6659.jpeg
215054,http://api.discogs.com/image/R-512936-1287348059.jpeg,primary,600,600,http://api.discogs.com/image/R-150-512936-1287348059.jpeg
215054,http://api.discogs.com/image/R-512936-1287348070.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-512936-1287348070.jpeg
215054,http://api.discogs.com/image/R-512936-1219059809.jpeg,secondary,311,290,http://api.discogs.com/image/R-150-512936-1219059809.jpeg
215054,http://api.discogs.com/image/R-512936-1219059818.jpeg,secondary,309,305,http://api.discogs.com/image/R-150-512936-1219059818.jpeg
