id,label,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
3309,6847,Sony BMG Music Entertainment (Switzerland),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Switzerland),,,,,,,f,f
3314,6847,Sony BMG Music Entertainment (France),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (France),,,,,,,f,f
3323,5959,Sanctuary Records US,,0,2012-05-15 20:57:13.252186+02,,Sanctuary Records US,,,,,,,f,f
3401,6847,Sony BMG Music Entertainment (Canada),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Canada),,,,,,,f,f
3402,467,RCA Schallplatten GmbH,,0,2012-05-15 20:57:13.252186+02,,RCA Schallplatten GmbH,,,,,,,f,f
3482,6847,Sony BMG Music Entertainment Inc.,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment Inc.,,,,,,,f,f
3536,6847,"SONY BMG Music Entertainment España, S.L.",,0,2012-05-15 20:57:13.252186+02,,"SONY BMG Music Entertainment España, S.L.",,,,,,,f,f
3554,6847,Sony Music Entertainment Mexico S.A. de C.V.,,0,2012-05-15 20:57:13.252186+02,,Sony Music Entertainment Mexico S.A. de C.V.,,,,,,,f,f
3615,6847,Sony BMG Music Entertaiment (Norway) AS,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertaiment (Norway) AS,,,,,,,f,f
5810,33,Atlantic Recording Corp.,,0,2012-05-15 20:57:13.252186+02,,Atlantic Recording Corp.,,,,,,,f,f
3671,3284,Legacy Entertainment,,0,2012-05-15 20:57:13.252186+02,,Legacy Entertainment,,,,,,,f,f
3683,1511,Klubbstyle Records,,0,2012-05-15 20:57:13.252186+02,,Klubbstyle Records,,,,,,,f,f
3749,467,RCA Records Label Group,,0,2012-05-15 20:57:13.252186+02,,RCA Records Label Group,,,,,,,f,f
3877,6847,Sony BMG Music Entertainment (Hungary),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Hungary),,,,,,,f,f
3915,3284,Sony BMG Legacy,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Legacy,,,,,,,f,f
3970,6847,Sony BMG Music Entertainment (Česká Republika),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Česká Republika),,,,,,,f,f
4009,6847,Sony BMG Music (Canada) Inc.,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music (Canada) Inc.,,,,,,,f,f
4113,6847,Sony BMG Music Entertainment Germany GmbH,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment Germany GmbH,,,,,,,f,f
4141,6847,Sony BMG Music Entertainment (Russia),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Russia),,,,,,,f,f
4182,6847,Sony BMG Music Spain SA,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Spain SA,,,,,,,f,f
4265,467,RCA,,0,2012-05-15 20:57:13.252186+02,,RCA,,,,,,,f,f
4335,467,RCA Label Group,,0,2012-05-15 20:57:13.252186+02,,RCA Label Group,,,,,,,f,f
4361,6847,Sony BMG M.E. Argentina,,0,2012-05-15 20:57:13.252186+02,,Sony BMG M.E. Argentina,,,,,,,f,f
4542,6847,SONY BMG MUSIC ENTERTAINMENT (GERMANY) GmbH,,0,2012-05-15 20:57:13.252186+02,,SONY BMG MUSIC ENTERTAINMENT (GERMANY) GmbH,,,,,,,f,f
4630,3284,Legacy Recordings,,0,2012-05-15 20:57:13.252186+02,,Legacy Recordings,,,,,,,f,f
4730,6847,Sony BMG Music Entertainment Netherlands BV,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment Netherlands BV,,,,,,,f,f
4735,6847,Sony BMG Music Entertainment (Chile),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Chile),,,,,,,f,f
4781,467,RCA (UK),,0,2012-05-15 20:57:13.252186+02,,RCA (UK),,,,,,,f,f
4832,6847,Sony BMG Music Entertainment NV,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment NV,,,,,,,f,f
4833,6847,Sony BMG UK & Ireland,,0,2012-05-15 20:57:13.252186+02,,Sony BMG UK & Ireland,,,,,,,f,f
4874,6847,Sony BMG Music Entertainment (Sweden),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Sweden),,,,,,,f,f
4878,467,RCA Ltd. Australia and New Zealand,,0,2012-05-15 20:57:13.252186+02,,RCA Ltd. Australia and New Zealand,,,,,,,f,f
4891,3284,Columbia/Legacy,,0,2012-05-15 20:57:13.252186+02,,Columbia/Legacy,,,,,,,f,f
4932,3267,MSK.fm,,0,2012-05-15 20:57:13.252186+02,,MSK.fm,,,,,,,f,f
4952,6847,Sony BMG Music Entertainment (Netherlands) B.V.,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Netherlands) B.V.,,,,,,,f,f
5015,6847,Sony BMG Music Entertainment (Korea),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Korea),,,,,,,f,f
5073,6847,Sony BMG Music Entertainment (Netherlands) BV,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Netherlands) BV,,,,,,,f,f
5166,3267,Auto-Product,,0,2013-09-08 11:39:22.371721+02,2,Auto-Product,,,,,,,f,f
5157,6847,Sony BMG Music Entertainment (Argentina),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Argentina),,,,,,,f,f
5171,6847,Sony BMG Music Entertainment (UK) Ltd,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (UK) Ltd,,,,,,,f,f
5179,3284,Epic/Legacy,,0,2012-05-15 20:57:13.252186+02,,Epic/Legacy,,,,,,,f,f
5233,6847,Sony BMG Music Entertainment (Greece),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Greece),,,,,,,f,f
5310,6847,Sony BMG Music Entertainment (Turkey),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Turkey),,,,,,,f,f
5328,6847,Sony BMG Music Entertainment (UK & Ireland),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (UK & Ireland),,,,,,,f,f
5521,3598,BIS Records AB,,0,2012-05-15 20:57:13.252186+02,,BIS Records AB,,,,,,,f,f
5530,41,Atco,,0,2012-05-15 20:57:13.252186+02,,Atco,,,,,,,f,f
5489,3267,Self-released,,0,2012-09-23 21:00:58.102617+02,2,Self-released,,,,,,,f,f
5512,25,Elektra / Wea,,0,2012-05-15 20:57:13.252186+02,,Elektra / Wea,,,,,,,f,f
5513,25,Elektra / WEA,,0,2012-05-15 20:57:13.252186+02,,Elektra / WEA,,,,,,,f,f
5682,6847,Sony BMG,,0,2012-05-15 20:57:13.252186+02,,Sony BMG,,,,,,,f,f
5932,1511,Klubbstyle Media,,0,2012-05-15 20:57:13.252186+02,,Klubbstyle Media,,,,,,,f,f
5985,3267,autoprod.,,0,2013-09-08 11:39:58.2577+02,2,autoprod.,,,,,,,f,f
6035,6847,SONY BMG MUSIC ENTERTAINMENT (ITALY) S.P.A.,,0,2012-05-15 20:57:13.252186+02,,SONY BMG MUSIC ENTERTAINMENT (ITALY) S.P.A.,,,,,,,f,f
6043,3267,Indie,,0,2013-09-08 11:40:28.763968+02,2,Indie,,,,,,,f,f
5946,3267,Indepandant,,0,2012-09-23 21:00:13.503698+02,2,Indepandant,,,,,,,f,f
5960,3267,self,,0,2012-09-23 21:01:27.25161+02,2,self,,,,,,,f,f
6236,33,アトランティック,,0,2012-05-15 20:57:13.252186+02,,アトランティック,,,,,,,f,f
6238,33,アトランティックレコード,,0,2012-05-15 20:57:13.252186+02,,アトランティックレコード,,,,,,,f,f
6240,33,アトランティック・レコード,,0,2012-05-15 20:57:13.252186+02,,アトランティック・レコード,,,,,,,f,f
6387,3267,Not On Label,,0,2012-09-23 20:59:12.971938+02,2,Not On Label,,,,,,,f,f
6358,3267,Self Released,,0,2012-09-23 20:59:31.335176+02,2,Self Released,,,,,,,f,f
