id,discid,freedb_id,track_count,leadout_offset,track_offset,degraded,created
80424,76o0TYDJwMy336UCvx52IcrlYrA-,d70f160e,14,289858,"{150,23085,57379,82419,99850,127386,129562,146997,166248,186512,208432,232032,250124,270094}",f,2011-05-16 16:57:06.530063+02
218825,RnXjRHd_ttS2dE3VvNHm1c6Mj_E-,8708e50b,11,170963,"{150,20775,50098,70030,85253,91195,92685,109985,128365,142980,150553}",f,2011-05-16 16:57:06.530063+02
141061,Ir6_DZjUby0FKGyu2CNzcLxK51Q-,3e07ca05,5,149725,"{182,27627,58335,82272,112522}",f,2011-05-16 16:57:06.530063+02
179563,_QCyM74DjQ1j5Ma.Wz8n.2xNUtY-,0e018902,2,29652,"{182,11735}",f,2011-05-16 16:57:06.530063+02
549324,3ct5TpR2nORwFrNVO15vmVSOX3k-,8108eb0b,11,171390,"{150,20772,50035,69950,85152,91035,92517,109792,128229,142875,150425}",f,2013-08-13 04:07:19.850847+02
162422,goUltamTJArDfZ4m8VODJ1NY7SU-,26112915,21,329630,"{150,15287,30772,42647,68337,82115,96202,110750,124707,139265,154655,169875,184305,199705,224870,238675,254017,265670,287662,300152,315390}",f,2011-05-16 16:57:06.530063+02
395717,OEvMMZbWGnrP2TRyHNf9ZD4glj4-,8b10f219,25,325500,"{150,6262,19940,29552,35610,46417,65397,79205,93297,119067,132475,150002,155927,175447,179757,187445,195302,200347,217357,231180,251122,254797,267567,295122,318355}",f,2011-05-16 16:57:06.530063+02
209556,BsZ.Elnzqzp8tV64tK0Us7zR1qA-,b70f390c,12,292456,"{150,36046,59160,89611,93607,119174,137957,159148,188752,221633,244748,265953}",f,2011-05-16 16:57:06.530063+02
193556,cWGxJZMgckKPVwV3NH38o6JiS_E-,20117a12,18,335772,"{150,21776,43011,58865,79827,96797,112545,133461,147815,164915,182759,207424,227240,244849,265324,283477,299419,318736}",f,2011-05-16 16:57:06.530063+02
539566,yzTUafc58vFkVeDhi.w8yQoD2iY-,b70d100b,11,250994,"{150,14388,33732,55299,71798,122953,147561,168634,188552,205913,224780}",f,2013-05-01 17:30:58.849982+02
356995,UGR0U_dQ2bh98XUhjcM4h6mNRLg-,9b08ea0d,13,171310,"{150,2215,18990,31325,48664,63105,77157,91505,106777,120502,133652,144262,163984}",f,2011-05-16 16:57:06.530063+02
549311,koWC8oMmbNQp15cpkMrcONBvM6Q-,75080e09,9,154832,"{150,16112,34262,51700,69117,86752,101700,121935,139587}",f,2013-08-13 00:54:04.19374+02
118820,gWS48PmUTLb_YVcXla6JPcIhL3I-,65091709,9,174715,"{150,18425,36020,54480,73545,94572,120130,138650,157742}",f,2011-05-16 16:57:06.530063+02
6834,SP0Wed9JMFwlI9ECuYAMM2hvbCk-,10019102,2,30277,"{150,11852}",f,2011-05-16 16:57:06.530063+02
309707,BVMdN9vSlYG0yiWrxdrwMU_nmwA-,6e091909,9,174877,"{187,18512,36107,54567,73632,94660,120217,138737,157830}",f,2011-05-16 16:57:06.530063+02
70298,3QDhHl1yhYu8E.a76viCmm6VpoI-,b00f360e,14,292272,"{150,24760,45587,70512,92640,115815,135610,156512,177225,191467,211745,225792,246480,267372}",f,2011-05-16 16:57:06.530063+02
358284,NyWCBKZBTZJUevnR7WEzFqig4os-,8008eb0b,11,171400,"{150,20768,50030,69938,85145,91028,92508,109785,128223,142860,150420}",f,2011-05-16 16:57:06.530063+02
234720,W_uoDCN1sgbt.RAWUPyTOoyryxg-,b60b900e,14,222178,"{150,20862,50113,70000,85287,91087,92571,109887,128288,142825,150384,171575,187925,208850}",f,2011-05-16 16:57:06.530063+02
362599,.QgZ4csWbb.2LmgDllEl9L_2VBU-,fc129312,18,356791,"{150,9757,26219,46795,66341,91483,114363,137548,158688,180867,204313,222713,241359,263520,283677,302827,324625,335961}",f,2011-05-16 16:57:06.530063+02
